"funding_program","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open_yr_1","application_closed_yr_1","application_open_yr_2","application_closed_yr_2","funding_award_duration","additional_application","supplemental_information","last_updated"
"National Coastal Wetlands Conservation Grant Program (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Wetlands-conservation-grants","U.S. Fish and Wildlife Service","Active","Heather Kapust; (360) 407-0239; heather.kapust@ecy.wa.gov","Chris Swenson; (503) 231-6758; chris_swenson@fws.gov","Grant","This funding program provides grants to acquire, restore, and enhance wetlands of the U.S. coastal states and territories.","Acquisition, restoration, or enhancement of coastal wetlands.","Washington State Department of Ecology (Shorelands  and Environmental Assistance Program)","25%","Minimum 25% non-federal match with additional points awarded for increased match.","$   1,000,000","$1M maximum federal award.","2018-02-01T00:00:00.000","2018-06-29T00:00:00.000","2019-02-01T00:00:00.000","2019-06-29T00:00:00.000","2 years with potential extension.","Application dates are estimates at this time, pending publication of federal Notice of Funding Opportunity.","State agencies only, however, Ecology will partner with Tribes, non-governmental organizations, local governments, and others as subgrantees for funds awarded.","2018-08-19T00:00:00.000"
"Terry Husseman Account, Coastal Protection fund (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Coastal-protection-fund","Washington State Department of Ecology","Active","Amy Krause; 360-407-7107; amy.krause@ecy.wa.gov","Sara Hunt; 509-329-3561; sara.hunt@ecy.wa.gov","Grant","Terry Husseman Account grants support locally sponsored projects to restore or enhance the natural environment.  Typical projects address water quality issues and fish and wildlife habitat protection or enhancement in or adjacent to waters of the state, i.e., streams, lakes, wetlands or the ocean.","Additional Eligible Project Types: Fish and Wildlife habitat enhancement; Livestock Exclusion Fencing; Low Impact Development (LID); Stream bank Stabilization.","Shorelands and Environmental Assistance Program","0%","n/a","$   50,000","Awards can be up to a maximum of $50M. The typical grant award is less than $20M.","2017-07-14T00:00:00.000","2017-08-14T00:00:00.000","2019-01-14T00:00:00.000","2019-02-14T00:00:00.000","18 months (maximum)","Apply via the annual Terry Husseman Account Funding Cycle process","n/a","2018-08-19T00:00:00.000"
"Aquatic Lands Enhancement Account","http://www.rco.wa.gov/grants/alea.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports the acquisition, improvement, or protection of aquatic lands for public purpose; for providing and improving access to such lands.","Development or renovation, land acquisition, restoration","n/a","50%","Applicants must contribute matching resources at least equal to the amount of the grant requested. Applicants must provide a minimum of 10 percent of the total cost of a project in the form of a local contribution, not from a state or federal source. This policy does not apply to Native American tribes","$500,000 (Development); $1,000,000 (Acquisition); $1,000,000 (Combination)","Combination project (acquisition with either development or restoration)
$1 million, not more than $500,000 may be for development or restoration costs; Combination project (development and restoration)
$500,000","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Boating Infrastructure Grant - Tier1","http://www.rco.wa.gov/grants/big.shtml","Washington State Recreation and Conservation Office","Active","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Grant","Funding supports development and renovation of boating facilities targeting transient recreational boats 26 feet and larger.","Development and renovation, education; Maintenance;","U.S. Fish and Wildlife Service, U.S. Department of Interior","25%","25 %. Projects with a match higher than 25 % will receive additional points during evaluation; Except for state agencies and Native American tribes, at least 10 percent of the total project cost must be provided in the form of a non-state, non-federal contribution.","$   192,086","An applicant may request a grant of at least $5,000 and not more than $192,086 per project.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2019-02-01T00:00:00.000","2019-05-01T00:00:00.000","2-3 years with potential extension","Application dates are estimates at this time, pending publication of federal Notice of Funding Opportunity.","Transient means travel to a single facility for day use or staying at a single facility for up to 15 days.","2018-10-15T00:00:00.000"
"Boating Infrastructure Grant - Tier2","http://www.rco.wa.gov/grants/big.shtml","Washington State Recreation and Conservation Office","Active","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Grant","Funding supports development and renovation of boating facilities targeting transient recreational boats 26 feet and larger.","Development and renovation, education; Maintenance with development or restoration;","U.S. Fish and Wildlife Service, U.S. Department of Interior","25%","25 %. Projects with a match higher than 25 % will receive additional points during evaluation; Except for state agencies and Native American tribes, at least 10 percent of the total project cost must be provided in the form of a non-state, non-federal contribution.","$   1,440,645","An applicant may request a grant of at least $200,001 and not more than $1,440,645 per project.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2019-02-01T00:00:00.000","2019-05-01T00:00:00.000","2-3 years with potential extension","Application dates are estimates at this time, pending publication of federal Notice of Funding Opportunity.","Transient means travel to a single facility for day use or staying at a single facility for up to 15 days.","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Water Access Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and development of recreation lands.","Acquisition,
Development or renovation,
Combination of acquisition and development or renovation","n/a","50%","Exceptions: Match may be reduced for communities in need, underserved populations, counties in need, or communities providing facilities in federal disaster areas.","NULL","n/a","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Boating Facilities Program - Local","http://www.rco.wa.gov/grants/bfp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition, development , and planning of areas for motorized recreational boating facilities and support elements on fresh or salt water.","Development or renovation, land acquisition, planning","n/a","25%","Local agencies and Native American tribes must pay at least 25 percent of a project’s cost. In addition, local agencies must contribute at least 10 percent of the total project cost in the form of a non-state, non-federal contribution.","$1,000,000 (Development); $1,000,000 (Land Acquisition); $1,000,000 (Combination); $200,000 (Planning)","$1,000,000 for a development project;
$1,000,000 for a land acquisition project;
$1,000,000 for a project that combines acquisition and planning OR acquisition and development;
$200,000 for a planning project (Planning means architecture and engineering, environmental review, cultural resources, and permitting; Grant limit will be 20 percent)","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Boating Facilities Program - State","http://www.rco.wa.gov/grants/bfp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition, development , and planning of areas for motorized recreational boating facilities and support elements on fresh or salt water.","Development or renovation, land acquisition, planning","n/a","0%","State agencies do not need to provide a match.","NULL","The total of all BFP dollars requested by any single state agency may not exceed twice that estimated by the Recreation and Conservation Funding Board to be available for state agencies in a grant cycle.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Firearms and Archery Range Recreation Program","http://www.rco.wa.gov/grants/farr.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition, development, renovation of firearm and archery range recreational facilities for increased public access to ranges.","Land acquisition, Development or renovation, combination (acquisition and development/renovation)","n/a","50% for local agencies;
33 % for local agencies’ noise abatement or safety improvement projects (existing range facilities only); No match required for state agencies","33 % match for noise abatement or safety improvement projects or project elements (existing range facilities only).
50 % match for all other projects or project elements.
Locals and nonprofits – At least 10 percent of the total project cost must be provided in the form of a non-state, non-federal contribution.","$   150,000","While an applicant may submit more than one application, RCO’s contribution to any single project will not exceed $150,000.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Land and Water Conservation Fund","http://www.rco.wa.gov/grants/lwcf.shtml","Washington State Recreation and Conservation Office","Active","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Grant","Funding supports acquisition, development and renovation for public outdoor recreation and funds may be used for open space, forest, wildlife areas, beaches, and water access sites.","Development or renovation, Land acquisition, Combination of acquisition and development or renovation","The National Park Service, U.S. Department of Interior","50%","Applicants must provide a minimum of 10 percent of the total cost of a project in the form of a local contribution, not from a state or federal source.","$   500,000","Grant requests must be between $25,000 and $500,000 for each application","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"LWCF Outdoor Recreation Legacy Partnership Program","http://www.rco.wa.gov/grants/lwcf.shtml","Washington State Recreation and Conservation Office","Active","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Grant","Funding supports acquisition, development and renovation for public outdoor recreation and funds may be used for open space, forest, wildlife areas, beaches, and water access sites.","Development or renovation, Land acquisition, Combination of acquisition and development or renovation","The National Park Service, U.S. Department of Interior","50%","Projects must be cost- shared with non-federal funds at a minimum ratio of 1:1. Matching funds may be derived from state, local, non-governmental, or private sources in the form of cash or in-kind contributions of land, services, materials, etc.","$   720,323","Grant requests must be between $250,000 and $720,323 for each application","2018-06-01T00:00:00.000","2018-07-17T00:00:00.000","2019-05-01T00:00:00.000","2019-07-01T00:00:00.000","2-3 years with potential extension","Application dates are estimates at this time, pending publication of federal Notice of Funding Opportunity.","Projects must be located within or serve jurisdictions with a population of 50,000 or more (2010 Census) and consist of a densely settled area. Projects also should be in or directly accessible to neighborhoods or communities that are underserved in terms of parks and recreation resources, and where there are significant populations of people who are economically disadvantaged.","2018-10-15T00:00:00.000"
"No Child Left Inside Tier 1","http://www.rco.wa.gov","Washington State Recreation and Conservation Office","Active","Kyle Guzlas; (360) 725-3937; Kyle.Guzlas@rco.wa.gov","Julia Marshburn; (360) 902-3083; Julia.Marshburn@rco.wa.gov","Grant","Grant funds are available for outdoor environmental, ecological, agricultural, or other natural resource-based education and recreation programs serving youth.","Youth outdoor education and recreation","Washington State Parks and Recreation Commission","0%","Although match is not required, applicants are strongly encouraged to provide matching resources to demonstrate a local commitment to the project and to make funds available to more projects. Project scores are weighted to reward projects that include matching shares.","$   25,000","$5,000-$35,000 per project","2019-01-01T00:00:00.000","2019-04-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2 years","Application dates are estimates at this time","The No Child Left Inside Grant Program is a WA State Parks and Recreation Commission grant program administered and managed by the Recreation and Conservation Office","2018-10-15T00:00:00.000"
"Youth Athletic Facilities - Large","http://www.rco.wa.gov/grants/yaf.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Provides grants to buy land and develop or renovate outdoor athletic facilities serving youth.","Development and renovation,
Combined land acquisition and development or renovation","n/a","50%","Exceptions: Match may be reduced for communities in need, underserved populations, counties in need, or communities providing facilities in federal disaster areas.","$   350,000","n/a","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"No Child Left Inside Tier 2","http://www.rco.wa.gov","Washington State Recreation and Conservation Office","Active","Kyle Guzlas; (360) 725-3937; Kyle.Guzlas@rco.wa.gov","Julia Marshburn; (360) 902-3083; Julia.Marshburn@rco.wa.gov","Grant","Grant funds are available for outdoor environmental, ecological, agricultural, or other natural resource-based education and recreation programs serving youth.","Youth outdoor education and recreation","Washington State Parks and Recreation Commission","0%","Although match is not required, applicants are strongly encouraged to provide matching resources to demonstrate a local commitment to the project and to make funds available to more projects. Project scores are weighted to reward projects that include matching shares.","$   75,000","$5,000-$75,000 per project","2019-01-01T00:00:00.000","2019-04-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2 years","Application dates are estimates at this time","The No Child Left Inside Grant Program is a WA State Parks and Recreation Commission grant program administered and managed by the Recreation and Conservation Office","2018-10-15T00:00:00.000"
"Nonhighway and Off-Road Vehicle Activities Program - Education and Enforcement","http://www.rco.wa.gov/grants/nova.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports education and enforcement activities related to motorized recreation.","Education and Enforcement","n/a","0%","n/a","$   200,000","n/a","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2 years with potential extension.","n/a","n/a","2018-10-15T00:00:00.000"
"Nonhighway and Off-Road Vehicle Activities Program - Nonhighway Road","http://www.rco.wa.gov/grants/nova.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition, development, planning of non-highway road recreation opportunities.","Land acquisition,
Development or renovation,
Maintenance and operation, Planning","n/a","0%","n/a","$   200,000","Nonhighway road and nonmotorized: $200,000 for each project with maintenance and operation projects limited to $150,000.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2 years with potential extension.","n/a","n/a","2018-10-15T00:00:00.000"
"Nonhighway and Off-Road Vehicle Activities Program - Nonmotorized","http://www.rco.wa.gov/grants/nova.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition, development, planning of nonmotorized recreation opportunities.","Land acquisition,
Development or renovation,
Maintenance and operation, Planning","n/a","0%","n/a","$   200,000","Nonhighway road and nonmotorized: $200,000 for each project with maintenance and operation projects limited to $150,000.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2 years with potential extension.","n/a","n/a","2018-10-15T00:00:00.000"
"Nonhighway and Off-Road Vehicle Activities Program - Off-Road Vehicle","http://www.rco.wa.gov/grants/nova.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition, development, planning of ORV recreation opportunities.","Land acquisition,
Development or renovation,
Maintenance and operation, Planning","n/a","0%","n/a","$   200,000","Off-road vehicle: Maintenance and operation projects limited to $200,000, no limit for other project types.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2 years with potential extension.","n/a","n/a","2018-10-15T00:00:00.000"
"Recreational Trails Program - Education","http://www.rco.wa.gov/grants/rtp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports maintenance and renovation of trails that provide a ""backcountry experience,"" for both motorized and non -motorized trail users. Education projects are also eligible.","Education","RTP is a federal assistance program","20%","n/a","$   20,000","Education: $5,000-$20,000","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2 years with potential extension.","n/a","n/a","2018-10-15T00:00:00.000"
"Recreational Trails Program - General","http://www.rco.wa.gov/grants/rtp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports maintenance and renovation of trails that provide a ""backcountry experience,"" for both motorized and non -motorized trail users. Education projects are also eligible.","Development, Maintenance","RTP is a federal assistance program","20%","n/a","$   150,000","Development and maintenance: $5,000-$150,000","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000","2020-08-01T00:00:00.000","2020-11-01T00:00:00.000","2 years with potential extension.","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Critical Habitat Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and development of conservation lands.","Acquisition,
Development,
Combination (acquisition and development)","n/a","50%","By statute, local agencies, Native American tribes, and eligible nonprofit organizations, must contribute matching resources at least equal to the amount of the grant requested. Applicants must provide a minimum of 10 percent of the total cost of a project in the form of a local contribution, not from a state or federal source. State agencies do not need to provide a match.","NULL","n/a","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Farmland Preservation Category","http://www.rco.wa.gov/grants/farmland.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and restoration of farmlands.","Acquisition of property rights through a conservation easement,
Combination of acquisition with either restoration or enhancement","n/a","50%","50 percent for local agencies and nonprofits.
No match required for the state agency.","NULL","n/a","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Youth Athletic Facilities - Small","http://www.rco.wa.gov/grants/yaf.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Provides grants to develop or renovate outdoor athletic facilities serving youth.","Development and renovation","n/a","50%","Exceptions: Match may be reduced for communities in need, underserved populations, counties in need, or communities providing facilities in federal disaster areas.","$   75,000","$75,000
Total project cost may not exceed $150,000.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
