"districts","project_description","applicant","funding_source","previous_allocations","fy20","fy21","fy22","fy23","fy24","fy25","total_programmed","na_count","title"
"s/b ""Transforming Rail in VA""","4th Track","78520-01","Federal - FastLane","13912000","31088000.0","0.0","0.0","0.0","0.0","0.0","45000000.0","0",
"Shape needs to be updated.","4th Track","78520-01","Federal - Other","21808093","11323943.0","12528525.0","9754641.0","2985618.0","0.0","0.0","58400820.0","0",
,"4th Track","78520-01","VDOT - TTF","2329064","2830986.0","3132131.0","2438661.0","746405.0","0.0","0.0","11477247.0","1",
,"I-95 Corridor Improvements","78520-01","Local / Private","37500000","7500000.0","0.0","0.0","0.0","0.0","0.0","45000000.0","1",
,,,"Subtotal","162008818","117568277.0","78672984.0","75828588.0","67918220.0","32620919.0","0.0","534617806.0","3",
"Nova","Long Bridge and Related Statewide Improvements","CSX/Norfolk Southern Railway","REF","0","777473.0","5441453.0","14750000.0","21000000.0","15000000.0","25000000.0","81968926.0","0",
,,,"Local / Private",,"333203.0","2561551.0","6321429.0","9000000.0","6428571.0","10714286.0","35359040.0","4",
,,,"IPROC","0","12956082.0","11180813.0","13542439.0","13361626.0","39310664.0","41456576.0","131808200.0","3",
,,,"Subtotal","0","14066758.0","19183817.0","34613868.0","43361626.0","60739235.0","77170862.0","249136166.0","3",
"Nova","Service Rd and Long Bridge ROW Access","CSX","IPROC","700000","0.0","0.0","0.0","0.0","0.0","0.0","700000.0","0",
,,,"Local / Private","100000","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","3",
,,,"Subtotal","800000","0.0","0.0","0.0","0.0","0.0","0.0","800000.0","3",
"Nova, Fredericksburg, Richmond","I-95 Corridor MAS 90 Tier II EIS/PE","DRPT","REF","6944000","0.0","0.0","0.0","0.0","0.0","0.0","6944000.0","0",
,,,"Federal","44308000","0.0","0.0","0.0","0.0","0.0","0.0","44308000.0","3",
,,,"Local / Private","4133000","0.0","0.0","0.0","0.0","0.0","0.0","4133000.0","3",
,,,"Subtotal","55385000","0.0","0.0","0.0","0.0","0.0","0.0","55385000.0","3",
"Nova","Crystal City Platform Study","VRE","REF","707000","0.0","0.0","0.0","0.0","0.0","0.0","707000.0","0",
,,,"Local / Private","303000","0.0","0.0","0.0","0.0","0.0","0.0","303000.0","3",
,,,"Subtotal","1010000","0.0","0.0","0.0","0.0","0.0","0.0","1010000.0","3",
"Nova","L'Enfant Platform Study","VRE","REF","2226000","0.0","0.0","0.0","0.0","0.0","0.0","2226000.0","0",
,,,"Local / Private","954000","0.0","0.0","0.0","0.0","0.0","0.0","954000.0","3",
,,,"Subtotal","3180000","0.0","0.0","0.0","0.0","0.0","0.0","3180000.0","3",
"Fredericksburg, Nova","Brooke, Leeland, Potomac Shores Station Expansion Study and Design","VRE","REF","2821600","0.0","0.0","0.0","0.0","0.0","0.0","2821600.0","0",
,,,"Local / Private","1209257","0.0","0.0","0.0","0.0","0.0","0.0","1209257.0","3",
,,,"Subtotal","4030857","0.0","0.0","0.0","0.0","0.0","0.0","4030857.0","3",
"Fredericksburg, Nova","Brooke, Leeland, Potomac Shores Station Expansion Construction","VRE","REF","10282000","4900000.0","0.0","0.0","0.0","0.0","0.0","15182000.0","0",
,,,"Local / Private","10608000","5100000.0",,"0.0","0.0","0.0","0.0","15708000.0","4",
,,,"Subtotal","20890000","10000000.0","0.0","0.0","0.0","0.0","0.0","30890000.0","3",
"Nova","Crystal City Station Improvements","VRE","REF","0",,"0.0",,,,"0.0","0.0","4",
,,,"Local / Private","0",,,,,,"0.0","0.0","8",
,,,"Subtotal","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3",
"Nova","Quantico Station and Track Work","VRE","IPROC","13622204","0.0","0.0","0.0","0.0","0.0","0.0","13622204.0","0",
"Fredericksburg, Nova","Arkendale to Powell's Creek Third Track Construction and Island Platforms","CSX","IPROC","26537677","0.0","0.0","0.0","0.0","0.0","0.0","26537677.0","0",
"Richmond","ACCA Yard, Carson to Reams, Crossover Improvements","CSX","IPROC","38400000","0.0","0.0","0.0","0.0","0.0","0.0","38400000.0","0",
,,,"REF","74900000","3700000.0","0.0","0.0","0.0","0.0","0.0","78600000.0","3",
,,,"Local / Private","15000000","0.0","0.0","0.0","0.0","0.0","0.0","15000000.0","3",
,,,"Subtotal","128300000","3700000.0","0.0","0.0","0.0","0.0","0.0","132000000.0","3",
"Richmond","Amtrak PIDS: Ashland, Richmond Main Street, Staples Mill Station","Amtrak/DRPT","IPROC","0","180000.0","450000.0","600000.0","0.0","0.0","0.0","1230000.0","0",
,,,"Local / Private","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3",
,,,"Subtotal","0","180000.0","450000.0","600000.0","0.0","0.0","0.0","1230000.0","3",
"Richmond","Ettrick Station Improvements","DRPT","IPROC","0","1430000.0","0.0","0.0","0.0","0.0","0.0","1430000.0","0",
,,,"Amtrak",,"1377000.0","0.0","0.0","0.0","0.0","0.0","1377000.0","4",
,,,"FRA SOGR","0","2882000.0","0.0","0.0","0.0","0.0","0.0","2882000.0","3",
,,,"Local / Private","0","75000.0","0.0","0.0","0.0","0.0","0.0","75000.0","3",
,,,"Subtotal","0","5764000.0","0.0","0.0","0.0","0.0","0.0","5764000.0","3",
"Richmond","Staples Mill Planning Grant and Design Work","DRPT","IPROC",,"625000.0","625000.0","0.0","0.0","0.0","0.0","1250000.0","1",
,,,"Amtrak",,"625000.0","625000.0","0.0","0.0","0.0","0.0","1250000.0","4",
,,,"FRA CRISI",,"2500000.0","0.0","0.0","0.0","0.0","0.0","2500000.0","4",
,,,"Local / Private","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3",
,,,"Subtotal","0","3750000.0","1250000.0","0.0","0.0","0.0","0.0","5000000.0","3",
"Richmond","Staples Mill Parking Lot Expansion","DRPT / VDOT","IPROC","2363517","0.0","0.0","0.0","0.0","0.0","0.0","2363517.0","0",
,,,"VTA","6192670","0.0","0.0","0.0","0.0","0.0","0.0","6192670.0","3",
,,,"Subtotal","8556187","0.0","0.0","0.0","0.0","0.0","0.0","8556187.0","3",
"Nova, Fredericksburg, Richmond","Planning for the RF&P Corridor","Various","IPROC","3150780","0.0","0.0","0.0","0.0","0.0","0.0","3150780.0","0",
"Norfolk Southern Shenandoah/Crescent Lines / I-81 and Route 29 Corridor",,,,,,,,,,,,"11","1.0"
"Nova, Culpeper","Postitive Train Control Payment to Amtrak and Other Amtrak Service Improvements","Amtrak","IPROC","0","216211.31","1000000.0","1000000.0","1000000.0","1000000.0","1000000.0","5216211.3100000005","0",
,,,"Match","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3",
,,,"Subtotal","0","216211.31","1000000.0","1000000.0","1000000.0","1000000.0","1000000.0","5216211.3100000005","3",
"Lynchburg, Salem","Improvements Lynchburg to Roanoke for Extension of Service","Norfolk Southern Railway","IPROC","77186311","0.0","0.0","0.0","0.0","0.0","0.0","77186311.0","0",
,,,"REF","24136601","0.0","0.0","0.0","0.0","0.0","0.0","24136601.0","3",
,,,"VTA","800000","0.0","0.0","0.0","0.0","0.0","0.0","800000.0","3",
,,,"Subtotal","102122912","0.0","0.0","0.0","0.0","0.0","0.0","102122912.0","3",
"Lynchburg, Culpeper, Nova","Route 29 Rail Corridor Improvements","Norfolk Southern Railway","IPROC","13344507",,"0.0","0.0","0.0","0.0","0.0","13344507.0","1",
,,,"VDOT - TTF","0","0.0","1668052.0","235616.0","199280.0","697071.0","859080.0","3659099.0","3",
,,,"Federal","0","0.0","6672209.0","942463.0","797119.0","2788284.0","3436319.0","14636394.0","3",
,,,"Subtotal","13344507","0.0","8340261.0","1178079.0","996399.0","3485355.0","4295399.0","31640000.0","3",
"Salem, Lynchburg","Bedford Amtrak Thruway Intercity Bus Connector","Amtrak","IPROC","0","325000.0","325000.0","0.0","0.0","0.0","0.0","650000.0","0",
"Salem","Bedford Station & Site Analysis","Town of Bedford","IPROC","0","300000.0","0.0","0.0","0.0","0.0","0.0","300000.0","0",
"Richmond","Crewe Yard Fluidity Expansion","Norfolk Southern Railway","REF","2100000","8400000.0","4900000.0","0.0","0.0","0.0","0.0","15400000.0","0",
,,,"Local / Private","900000","3600000.0","2100000.0","0.0","0.0","0.0","0.0","6600000.0","3",
,,,"Subtotal","3000000","12000000.0","7000000.0","0.0","0.0","0.0","0.0","22000000.0","3",
"Lynchburg, Culpeper, Nova","Alexandria to Danville Equilateral Switch Replacement","Norfolk Southern Railway","REF","6435100","0.0","0.0","0.0","0.0","0.0","0.0","6435100.0","0",
,,,"Local / Private","2757900","0.0","0.0","0.0","0.0","0.0","0.0","2757900.0","3",
,,,"Subtotal","9193000","0.0","0.0","0.0","0.0","0.0","0.0","9193000.0","3",
"Bristol, Salem, Staunton","Montgomery Tunnel","Norfolk Southern Railway","REF","3570000","0.0","0.0","0.0","0.0","0.0","0.0","3570000.0","0",
,,,"Local / Private","1530000","0.0","0.0","0.0","0.0","0.0","0.0","1530000.0","3",
,,,"Subtotal","5100000","0.0","0.0","0.0","0.0","0.0","0.0","5100000.0","3",
"Bristol, Salem, Staunton","Clark Siding","Norfolk Southern Railway","REF","5460000","0.0","0.0","0.0","0.0","0.0","0.0","5460000.0","0",
,,,"Local / Private","2340000","0.0","0.0","0.0","0.0","0.0","0.0","2340000.0","3",
,,,"Subtotal","7800000","0.0","0.0","0.0","0.0","0.0","0.0","7800000.0","3",
"Bristol, Salem, Staunton","Glade Spring Siding","Norfolk Southern Railway","REF","4620000","0.0","0.0","0.0","0.0","0.0","0.0","4620000.0","0",
,,,"Local / Private","1980000","0.0","0.0","0.0","0.0","0.0","0.0","1980000.0","3",
,,,"Subtotal","6600000","0.0","0.0","0.0","0.0","0.0","0.0","6600000.0","3",
"Culpeper, Nova","Amtrak Charlottesville Station Study","City of Charlottesville/TJPDC","IPROC","0","100000.0",,,,,,"100000.0","5",
,,,"Local / Private","0","50000.0",,,,,,"50000.0","8",
,,,"Subtotal","0","150000.0","0.0","0.0","0.0","0.0","0.0","150000.0","3",
"Lynchburg, Nova","RTC Model Study - Lynchburg 2nd Train","Norfolk Southern Railway","IPROC","330000","0.0","0.0","0.0","0.0","0.0","0.0","330000.0","0",
"Salem, Bristol","RTC Study - Extension South of Roanoke","DRPT/Norfolk Southern Railway","IPROC","350000","0.0","0.0","0.0","0.0","0.0","0.0","350000.0","0",
"Hampton Roads Passenger Rail Improvements",,,,,,,,,,,,"11","1.0"
"Hampton Roads","Bland Boulevard, Newport News Station Platform, Terminal Track, Turning, and Storage Facility","City of Newport News","IPROC","20500000","0.0","0.0","0.0","0.0","0.0","0.0","20500000.0","0",
,,,"Regional Funds","21270420","0.0","0.0","0.0","0.0","0.0","0.0","21270420.0","3",
,,,"Local / Private","2166712","0.0","0.0","0.0","0.0","0.0","0.0","2166712.0","3",
,,,"Subtotal","43937132","0.0","0.0","0.0","0.0","0.0","0.0","43937132.0","3",
"Port of Virginia and Serving Railroad Improvements",,,,,,,,,,,,"11","1.0"
"Hampton Roads","NIT Central Rail Yard Expansion","Virginia Port Authority","REF","10583020","0.0","3075000.0","3075000.0","0.0","0.0","0.0","16733020.0","0",
,,,"Local / Private","4535580","0.0","1425000.0","1425000.0","0.0","0.0","0.0","7385580.0","3",
,,,"Subtotal","15118600","0.0","4500000.0","4500000.0","0.0","0.0","0.0","24118600.0","3",
"Hampton Roads","Commonwealth Railway Marshalling Yard Expansion","Virginia Port Authority","REF","10357276","6363889.0","3343421.0","0.0","0.0","0.0","0.0","20064586.0","0",
,,,"Local / Private","4438832","2727381.0","1432895.0","0.0","0.0","0.0","0.0","8599108.0","3",
,,,"Subtotal","14796108","9091270.0","4776316.0","0.0","0.0","0.0","0.0","28663694.0","3",
"Hampton Roads","Rehabilitation of SunRay-Portlock and Bridge 6.8","Norfolk Southern Railway","REF","1423100","0.0","0.0","0.0","0.0","0.0","0.0","1423100.0","0",
,,,"Local / Private","609900","0.0","0.0","0.0","0.0","0.0","0.0","609900.0","3",
,,,"Subtotal","2033000","0.0","0.0","0.0","0.0","0.0","0.0","2033000.0","3",
"Staunton","VIP Capacity Expansion - Front Royal","Virginia Port Authority","REF","2730000","3423273.0","1562582.0","0.0","0.0","0.0","0.0","7715855.0","0",
,,,"Local / Private","1170000","1467117.0","669678.0","0.0","0.0","0.0","0.0","3306795.0","3",
,,,"Subtotal","3900000","4890390.0","2232260.0","0.0","0.0","0.0","0.0","11022650.0","3",
"Hampton Roads","CenterPoint Intermodal Study","CenterPoint Properties","REF","740765","493844.0","0.0","0.0","0.0","0.0","0.0","1234609.0","0",
,,,"Local / Private","317471","211647.0","0.0","0.0","0.0","0.0","0.0","529118.0","3",
,,,"Subtotal","1058236","705491.0","0.0","0.0","0.0","0.0","0.0","1763727.0","3",
"Hampton Roads","Shoulders Hill Road Siding","Commonwealth Railway","REF","324214","2922835.0","462951.0","0.0","0.0","0.0","0.0","3710000.0","0",
,,,"Local / Private","138949","1252644.0","198408.0","0.0","0.0","0.0","0.0","1590001.0","3",
,,,"Subtotal","463163","4175479.0","661359.0","0.0","0.0","0.0","0.0","5300001.0","3",
"Norfolk Southern Other Network Improvements",,,,,,,,,,,,"11","1.0"
"Staunton","Chesapeake & Western Span Upgrade","Norfolk Southern Railway","REF","210000","0.0","0.0","0.0","0.0","0.0","0.0","210000.0","0",
,,,"Local / Private","90000","0.0","0.0","0.0","0.0","0.0","0.0","90000.0","3",
,,,"Subtotal","300000","0.0","0.0","0.0","0.0","0.0","0.0","300000.0","3",
"Fredericksburg, Richmond","Richmond to West Point F-Line Clearances","Norfolk Southern Railway","REF","1750000","0.0","0.0","0.0","0.0","0.0","0.0","1750000.0","0",
,,,"Local / Private","750000","0.0","0.0","0.0","0.0","0.0","0.0","750000.0","3",
,,,"Subtotal","2500000","0.0","0.0","0.0","0.0","0.0","0.0","2500000.0","3",
"Various","Passenger Rail Project Contingency","DRPT","IPROC","0","0.0","0.0","0.0","0.0","0.0",,"0.0","1",
,,,"Total Capacity and Speed Improvements","659418181","186882876.31","128391997.0","117720535.0","113276245.0","97845509.0","82466261.0","1386001604.31","3",
,,,"Total Intercity Passenger and Freight Rail","671340696","199996516.73749998","145284504.33711874","137684608.40220392","133696329.45875351","118732674.55407546","103831854.72904216","1510567184.218694","3",
