"project_name","preserve","vicinity","latitude","longitude","approx_size_in_acres","species_common_name","objectives","status","year","season","ipm_method_type","methods","crew","notes","upload_date","geo_location"
"Maintenance: Mt Burdell Mow","Mt Burdell","San Mateo Way","38.124726","-122.597396","0.14","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.597396 38.124726)"
"Maintenance: King Mountain Prune","King Mountain","Citron Fire Road","37.939053","-122.543491","2.1","Mixed woody vegetation","Emergency Access",,"2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.543491 37.939053)"
"Maintenance: Deer Island Mow","Deer Island","Deer Island Loop trailhead and entrance gate","38.102025","-122.538399","0.34","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.538399 38.102025)"
"Maintenance: Lucas Valley Mow","Lucas Valley","Big Rock Trail","38.047891","-122.62134","0.3","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.62134 38.047891)"
"Ring Mountain Broom Control","Ring Mountain","Phyllis Ellman Trail, Loop Trail, Taylor Fire Road, Ring Mountain Fire Road, Reed Ranch Fire Road, Shepherd Way Fire Road","37.91252","-122.49155","14.3","Broom","Invasive species control, Fire fuel reduction","Completed","2021","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49155 37.91252)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2006","Summer","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Districtwide Stinkwort Control","All preserves","All preserves","38.08","-122.45",,"Stinkwort","Invasive species control","Upcoming","2022","Fall","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45 38.08)"
"King Mountain Fuelbreak","King Mountain","Above Citron Fire Road","37.939359","-122.542514","10","Acacia, Broom","Fire fuel reduction, Invasive species control","Completed","2018","Fall","Chemical","Triclopyr (Garlon)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.542514 37.939359)"
"Maintenance: Camino Alto Mow","Camino Alto","Camino Alto Fire Road","37.914398","-122.528349","2.31","Mixed vegetation","Fire fuel reduction","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.528349 37.914398)"
"Maintenance: Agate Beach Mow","Agate Beach","Agate Beach bench","37.896219","-122.708059","0.02","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.708059 37.896219)"
"Old Saint Hilary's Pampas Grass Control","Old St. Hilary's","Vistazo Fire Road","37.88294","-122.45428",,"Pampas/jubata grass","Invasive species control","Upcoming","2022","Fall","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45428 37.88294)"
"Maintenance: Agate Beach Mow","Agate Beach","Agate Beach parking lot","37.8965","-122.708344","0.08","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.708344 37.8965)"
"Districtwide Thoroughwort Control","All preserves","All preserves","38.06","-122.45","0.5","Thoroughwort","Invasive species control","Completed","2020","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45 38.06)"
"Maintenance: Stafford Lake Mow","Stafford Lake","Upper Areas overflow lot","38.116948","-122.648156","0.72","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"flail mower as needed","2022-01-04T00:00:00.000","POINT (-122.648156 38.116948)"
"Maintenance: Roy's Redwoods Mow","Roy's Redwoods","Roy's Loop","38.01563","-122.6586","1.62","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.6586 38.01563)"
"Sausalito Street","Alto Bowl","Sausalito Street","37.91765246","-122.5192394","0.2","Eucalyptus","Fire fuel reduction, defensible space","Completed","2019","Winter","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5192394 37.91765246)"
"Distaff Thistle Control","Indian Tree, Lucas Valley, Loma Alta","Indian Tree Fire Road, Luiz Fire Road, 680 Trail","38.043536","-122.591063","0.14","Distaff thistle","Invasive species control","Completed","2021","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.591063 38.043536)"
"Maintenance: Maurice Thorner Mow","Maurice Thorner","Thorner Ridge Trail","38.01751","-122.672553","0.19","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger Seasonal",,"2022-01-04T00:00:00.000","POINT (-122.672553 38.01751)"
"Maintenance: Old St. Hilary's Mow","Old St. Hilary's","End of Lyford","37.88671","-122.45593","0.01","Mixed vegetation","Ignition Prevention",,"2022",,"Non-chemical","Mow","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.45593 37.88671)"
"Crown to Coronet Fuelbreak","Baltimore Canyon","Crown Road, Coronet Way","37.947609","-122.5692","4","Broom, Acacia","Emergency access, Fire fuel reduction","Completed","2010","Spring","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5692 37.947609)"
"Maintenance: Cal Park Tunnel Mow","Cal Park Tunnel","Cal Park Tunnel South","37.949657","-122.511189","1.98","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.511189 37.949657)"
"Overhill","Camino Alto","Overhill Road","37.90969706","-122.5292826","1.4","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2019","Fall","Non-chemical","Thinning","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5292826 37.90969706)"
"Maintenance: N Redwood Drive Mow","N Redwood Drive","Around building and off of roadway","38.021137","-122.536428","2.48","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.536428 38.021137)"
"Maintenance: Upton Beach Mow","Upton Beach","Walla Vista","37.903798","-122.652624","0.14","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.652624 37.903798)"
"Maintenance: Stafford Lake Mow","Stafford Lake","From the Eastern entrance via Novato Blvd Bike Path, to the beginnig of the Upper Areas parking lot.","38.118109","-122.645888","0.53","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"As Needed","2022-01-04T00:00:00.000","POINT (-122.645888 38.118109)"
"Maintenance: Stafford Lake Mow","Stafford Lake","overflow lot adjacent the gatehouse entrance","38.115891","-122.650139","0.55","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"flail mower as needed","2022-01-04T00:00:00.000","POINT (-122.650139 38.115891)"
"Maintenance: Santa Venetia Marsh Mow","Santa Venetia Marsh","Estancia Way","38.016151","-122.511772","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.511772 38.016151)"
"Old Saint Hilary’s Acacia Control","Old St. Hilary's","Vistazo Fire Road, Mar West Street","37.88193","-122.45747","1","Acacia","Fire fuel reduction, Invasive species control","Completed","2021","Spring, Summer, Fall, Winter","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45747 37.88193)"
"Maintenance: King Mountain Mow","King Mountain","Cedar Fire Road east end","37.938871","-122.538896","0.31","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.538896 37.938871)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2011","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Maintenance: Pacheco Valle Mow","Pacheco Valle","Chicken Shack Fire Road gate","38.048959","-122.534215","0.18","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.534215 38.048959)"
"Horse Hill Fuels Management","Horse Hill","Preserve-wide","37.909654","-122.518352","54.176896","Mixed vegetation","Fire fuel reduction","Upcoming","2022","Spring, Summer, Fall, Winter","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.518352 37.909654)"
"Camino Alto Fuelbreak: Phase III","Camino Alto","East of Camino Alto Fire Road in the north, plus areas east of Escalon Fire Road in the region north of the intersection with Del Casa Fire Road","37.9155003","-122.5273579","15","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2017","Spring","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5273579 37.9155003)"
"Maintenance: Cascade Canyon Mow","Cascade Canyon","Toyon Tanks Fire Road entry","37.979754","-122.604552","0.08","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.604552 37.979754)"
"Maintenance: Miller Boat Launch Mow","Miller Boat Launch",,"38.200452","-122.92122","3.05","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.92122 38.200452)"
"Lucas Valley Vernal Pool Restoration & Stewardship","Terra Linda Sleepy Hollow","Lucas Valley Road","38.02601","-122.54771","0.25","Pennyroyal","Invasive species control","Completed","2020","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.54771 38.02601)"
"Maintenance: Blithedale Summit Mow","Blithedale Summit","Blithedale Ridge Fire Road","37.930498","-122.558271","3.33","Mixed vegetation","Fire fuel reduction","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.558271 37.930498)"
"Maintenance: Mt Burdell Mow","Mt Burdell","Nunes Ct. (461 Woodhollow Dr.)","38.129459","-122.57326","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.57326 38.129459)"
"Maintenance: Hamilton Path Mow","Hamilton Path","Pathway","38.057992","-122.512423","7.66","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.512423 38.057992)"
"Maintenance: Mt Burdell Mow","Mt Burdell","San Marin Drive","38.121275","-122.575794","0.08","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.575794 38.121275)"
"Old Saint Hilary's Broom Control","Old St. Hilary's","Heathcliff Fire Road, Vistazo Fire Road","37.88367","-122.45436","1.1","Broom","Invasive species control, Fire fuel reduction","Completed","2020","Spring","Non-chemical","Hand pull","Parks Resources Team, Volunteers",,"2022-01-04T00:00:00.000","POINT (-122.45436 37.88367)"
"Kent Woodlands Defensible Space Fuelbreak","Baltimore Canyon","Evergreen Drive, Southern Marin Line Fire Road","37.940274","-122.563354","4","Mixed woody vegetation","Defensible space, Fire fuel reduction","Completed","2020","Fall","Non-chemical","Thinning, Chipping","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.563354 37.940274)"
"Maintenance: Terra Linda/Sleepy Hollow Prune","Terra Linda Sleepy Hollow","Tomahawk Fire Road","37.993761","-122.565082","1.47","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.565082 37.993761)"
"Ryder Ridge Access and Fuelbreak","Blithedale Summit","Blithedale Ridge Fire Road from south end to Corte Madera Ridge Fire Road intersection","37.91938","-122.547433","16","Mixed vegetation","Fire fuel reduction","Completed","2020","Summer","Non-chemical","Weed whip","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.547433 37.91938)"
"King Mountain Fuelbreak","King Mountain","Above Citron Fire Road","37.939359","-122.542514","10","Acacia, Broom","Fire fuel reduction, Invasive species control","Completed","2014","Spring","Non-chemical","Cut","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.542514 37.939359)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Manuel T. Frietas End","38.007166","-122.569114","0.66","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.569114 38.007166)"
"Pinchpoint Emergency Access","Baltimore Canyon","Blithedale Ridge Fire Road","37.947609","-122.5595","3","Broom, Mixed woody vegetation","Emergency access, Invasive species control","Completed","2012","Fall","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5595 37.947609)"
"Maintenance: Stafford Lake Mow","Stafford Lake","upper areas lawn","38.116242","-122.647726","3.28","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"As Needed","2022-01-04T00:00:00.000","POINT (-122.647726 38.116242)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Vallejo to Bolanos","38.017397","-122.571773","1.96","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.571773 38.017397)"
"Maintenance: Mount Burdell Mow","Mount Burdell","TWO BRICK SPRINGS","38.134067","-122.58577","0.17","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.58577 38.134067)"
"Maintenance: Pacheco Valle Prune","Pacheco Valle","Chicken Shack Fire Road","38.05343","-122.560612","18.54","Mixed woody vegetation","Emergency Access",,"2022","Fall","Non-chemical","Prune","Ranger, Conservation Corps North Bay","As Needed","2022-01-04T00:00:00.000","POINT (-122.560612 38.05343)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Vallejo to Bolanos","38.016277","-122.569202","0.89","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.569202 38.016277)"
"Camino Alto Fuelbreak: Phase I","Camino Alto","East of Camino Alto Fire Road (excluding northern portion)","37.91252521","-122.5280128","16","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2013","Spring","Chemical","Glyphosate (Aquamaster)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5280128 37.91252521)"
"Camino Alto Fuelbreak: Phase III","Camino Alto","East of Camino Alto Fire Road in the north, plus areas east of Escalon Fire Road in the region north of the intersection with Del Casa Fire Road","37.9155003","-122.5273579","15","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2012","Fall","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5273579 37.9155003)"
"Maintenance: McNear's Beach Park Mow","McNear's Beach Park","Fire roads","37.994756","-122.455035","0.7","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.455035 37.994756)"
"Maintenance: Mt Burdell Mow","Mt Burdell","Behind Partridge Knolls Houses","38.127303","-122.583537","0.2","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.583537 38.127303)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2017","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2011","Summer","Chemical","Glyphosate (Aquamaster)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Maintenance: Blithedale Summit Prune","Blithedale Summit","Southern Marin Line Fire Road","37.9284","-122.546573","6.55","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.546573 37.9284)"
"French Ranch Broom Control","French Ranch","Moon Hill Trail, Barnabe Mountain Fire Road, Top Flight Trail, School Trail","38.02417","-122.672","3","Broom","Invasive species control, Fire fuel reduction","Completed","2020","Spring, Fall","Non-chemical","Hand pull, Cut","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.672 38.02417)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Canyon Oak/Upper Oak/Cedar Hill","38.026255","-122.550792","1.38","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.550792 38.026255)"
"Maintenance: Lucas Valley Field Office Mow","Lucas Valley Field Office","Lucas Valley park and field office","38.026249","-122.566185","19.22","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.566185 38.026249)"
"Mount Burdell Grazing","Mount Burdell","Preserve-wide, excluding areas near Dwarf Oak Trail and southeast of Creekside Fire Road","38.135996","-122.593221","1270","Mixed vegetation","Fire fuel reduction","Completed","2019","Spring","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.593221 38.135996)"
"Maintenance: Stafford Lake Mow","Stafford Lake","Stafford Disc Golf Course and trails","38.107866","-122.65048","44.79","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow","Ranger - Parks","As Needed","2022-01-04T00:00:00.000","POINT (-122.65048 38.107866)"
"Maintenance: Ignacio Valley Mow","Ignacio Valley","Pebble Beach Fire Rd gate","38.064643","-122.551367","0.04","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.551367 38.064643)"
"Manzanita Fire Road","Gary Giacomini","Manzanita Drive","38.01081335","-122.6787461","0.9","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2019","Fall","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.6787461 38.01081335)"
"Kent Woodlands Shaded Fuelbreak","Baltimore Canyon","Southern Marin Line Fire Road, Dawn Falls Trail, Blue Ridge Road","37.949293","-122.570355","29","Broom","Fire fuel reduction, Invasive species control","Upcoming","2022","Fall","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.570355 37.949293)"
"Maintenance: Old St. Hilary's Mow","Old St. Hilary's","Vistazo West","37.882981","-122.45682","0.03","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.45682 37.882981)"
"Mount Burdell Grazing","Mount Burdell","Preserve-wide, excluding areas near Dwarf Oak Trail and southeast of Creekside Fire Road; includes western Bowman acquisition","38.135996","-122.593221","1679","Mixed vegetation","Fire fuel reduction","Completed","2021","Spring","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.593221 38.135996)"
"Maintenance: Gary Giacomini Mow","Gary Giacomini","East Sylvestris Fire Road","38.009545","-122.666866","0.06","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.666866 38.009545)"
"Maintenance: Loma Alta Mow","Loma Alta","680 Trail","38.024948","-122.607545","3.51","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.607545 38.024948)"
"Horse Hill Fuels Management","Horse Hill","Preserve-wide","37.909654","-122.518352","54.176896","Mixed vegetation","Fire fuel reduction","Completed","2020","Spring, Summer, Fall, Winter","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.518352 37.909654)"
"Maintenance: Gary Giacomini Prune","Gary Giacomini","Conifer Fire Road","38.002349","-122.651184","2.66","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.651184 38.002349)"
"Maintenance: Mt Burdell Mow","Mt Burdell","445 Woodhollow","38.128645","-122.573464","0.06","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.573464 38.128645)"
"Districtwide Stinkwort Control","All preserves","All preserves","38.08","-122.45","7.7","Stinkwort","Invasive species control","Completed","2021","Fall","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45 38.08)"
"Alto Bowl Fuelbreak","Alto Bowl","Bob Middagh Trail, Horse Hill Trail","37.916609","-122.52044","18","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2012","Fall","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.52044 37.916609)"
"Maintenance: Loma Verde Mow","Loma Verde","Corte Norte","38.060642","-122.548164","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger Seasonal",,"2022-01-04T00:00:00.000","POINT (-122.548164 38.060642)"
"680 Trail Mitigation","Loma Alta","680 Trail","38.023484","-122.589233","0.5","Purple starthistle","Invasive species control","Completed","2016","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.589233 38.023484)"
"Pinchpoint Emergency Access","Baltimore Canyon","Blithedale Ridge Fire Road","37.947609","-122.5595","3","Broom","Emergency access, Invasive species control","Completed","2019","Winter","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5595 37.947609)"
"Camino Alto Fuelbreaks: Phases I-III","Camino Alto","Eastern portions of the preserve","37.91240262","-122.5293301","46","Broom","Fire fuel reduction, Invasive species control, Defensible space","Upcoming","2022","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5293301 37.91240262)"
"Maintenance: Deer Island Mow","Deer Island","Residence Compound","38.102122","-122.539496","0.38","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.539496 38.102122)"
"Maintenance: Rush Creek Park Mow","Rush Creek Park",,"38.119397","-122.548999","0.98","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.548999 38.119397)"
"680 Trail Mitigation","Loma Alta","680 Trail","38.023484","-122.589233","0.5","Purple starthistle","Invasive species control","Completed","2020","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.589233 38.023484)"
"Lucas Valley Vernal Pool Restoration & Stewardship","Terra Linda Sleepy Hollow","Lucas Valley Road","38.02601","-122.54771","0.25","Pennyroyal","Invasive species control","Completed","2021","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.54771 38.02601)"
"Ring Mountain Mayten Control","Ring Mountain","Taylor Road, Ring Mountain Fire Road","37.91152","-122.48642",,"Mayten","Invasive species control, Fire fuel reduction","Upcoming","2022","Fall","Chemical","Imazapyr (Habitat)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.48642 37.91152)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Terra Linda Ridge Fire Road Gate","38.026578","-122.573761","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.573761 38.026578)"
