"fiscal_year","type","revenue_type","sub_type","function","amount","adjusted_for_thousands"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","357050","357050000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","50308","50308000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","538899","538899000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","223176","223176000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Education","9225","9225000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","184587","184587000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","59871","59871000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","41170","41170000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","56913","56913000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","16322","16322000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","70530","70530000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","23249","23249000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","19302","19302000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","3812","3812000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","11586","11586000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","487571","487571000"
"2015-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","138408","138408000"
"2015-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","966897","966897000"
"2015-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1102886","1102886000"
"2015-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","46952","46952000"
"2015-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","18598","18598000"
"2015-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","20643","20643000"
"2015-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","56369","56369000"
"2015-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","-39105","-39105000"
"2015-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-7315397","-7315397000"
"2015-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-7354502","-7354502000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","10940","10940000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","78144","78144000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","851284","851284000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","821444","821444000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Health","215975","215975000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","399406","399406000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","55039","55039000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","560347","560347000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","240124","240124000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Education","10753","10753000"
"2014-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","180197","180197000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Legislative","121","121000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","83316","83316000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","40856","40856000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","47200","47200000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","13012","13012000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","52563","52563000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","19898","19898000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","25870","25870000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","4070","4070000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","13162","13162000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","466201","466201000"
"2014-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","74945","74945000"
"2014-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","937709","937709000"
"2014-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1090809","1090809000"
"2014-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","43595","43595000"
"2014-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","21733","21733000"
"2014-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","19384","19384000"
"2014-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","30978","30978000"
"2014-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","-438231","-438231000"
"2014-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-6868903","-6868903000"
"2014-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-7307134","-7307134000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","11010","11010000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","67275","67275000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","231868","231868000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","806103","806103000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Health","218889","218889000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","425228","425228000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","48321","48321000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","567342","567342000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","248781","248781000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Education","11375","11375000"
"2013-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","176723","176723000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","59908","59908000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","57149","57149000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","47199","47199000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","21391","21391000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","51436","51436000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","19463","19463000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","20833","20833000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","4369","4369000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","19149","19149000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","534653","534653000"
"2013-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","13641","13641000"
"2013-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","928034","928034000"
"2013-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1135245","1135245000"
"2013-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","45618","45618000"
"2013-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","19210","19210000"
"2013-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","1748","1748000"
"2013-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","32810","32810000"
"2013-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","198914","198914000"
"2013-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-7021408","-7021408000"
"2013-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-6822467","-6822467000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","10722","10722000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","66479","66479000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","758742","758742000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","811733","811733000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Health","239524","239524000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","342764","342764000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","48082","48082000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","562832","562832000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","247123","247123000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Education","5692","5692000"
"2012-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","207353","207353000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","44374","44374000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","93752","93752000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","46824","46824000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","31646","31646000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","9910","9910000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","19852","19852000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","17370","17370000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","8633","8633000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","3656","3656000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","563964","563964000"
"2012-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","42715","42715000"
"2012-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","943624","943624000"
"2012-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1066012","1066012000"
"2012-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","41352","41352000"
"2012-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","19222","19222000"
"2012-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","15058","15058000"
"2012-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","29134","29134000"
"2012-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","-303948","-303948000"
"2012-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-6379278","-6379278000"
"2012-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-6683226","-6683226000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","10554","10554000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","64004","64004000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","1494399","1494399000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","763528","763528000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Health","255959","255959000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","251139","251139000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","39768","39768000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","576297","576297000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","271170","271170000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Education","9826","9826000"
"2011-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","186056","186056000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","49008","49008000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","74097","74097000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","42060","42060000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","23475","23475000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","6119","6119000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","19875","19875000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","19046","19046000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","9014","9014000"
"2011-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","463523","463523000"
