"organization_name","type","website","headquarters_country","regional_focus_primary","regional_focus_secondary","impact_orientation_tiered","year_began_investing_in","notes_on_investment_thesis","fund_size_us_mm_unless_other","sector_focus","stage_of_investments","average_investment_size","type_of_investment","number_of_health_investments","sample_investments"
"Bamboo Finance","Fund","www.bamboofinance.com/","Switzerland","Global",,"Yes, explicit","2007.0",,"53","Health as a vertical",,"$1 - $3M","Multiple",,
"Bank of Abyssinia","Local/regional bank","http://www.bankofabyssinia.com/","Ethiopia","Ethiopia",,"No",,"Traditional local bank",,"General","Mature",,"Debt",,
"Beyond Capital Fund","Fund","http://beyondcapitalfund.org",,"Global",,"Yes, explicit",,"Health, Water, Energy",,"Health as a vertical","Multiple","$250 - $500K","Equity",,
"Big Issue Social Investments Ltd.","Fund","http://www.bigissueinvest.com","United Kingdom","Global",,,,,"8.5","Health as a vertical",,"$250 - $500K","Multiple",,
"Creation Investments","Fund","www.creationinvestments.com","United States","Global",,,,"Microfinance/Low-Income Financial Services, SME Development, Health, Agriculture, Housing, Clean Tech, Conservation","34","Health as a vertical","Early",,,,"Aspire, Eko Financial Services, Forus Bank, Inicjatywa Mikro, NOA"
"d.o.b.","Fund","http://www.dobfoundation.com","Nairobi","Pan-Africa","SS Africa","Yes, explicit",,"d.o.b is a Dutch organization investing equity in small and medium sized businesses in East Africa (investment size  (250,000 to  2 million and above). As we are a small and famliy funded organization, d.o.b is flexible and can offer tailor-made solutions to your financial needs. d.o.b has the mission to support innovative private sector initiatives that contribute to the quality of life of low income people in Africa through: - income generation for at least 1,000 people - affordable products and services for at least 10,000 people",,"SMEs","Growth","$500K - $1M","Multiple",,
"David Weekley Family Foundation","Foundation",,,"SS Africa",,,,"Health, Education, Private Enterprise Development",,,,,"Grant",,
"Department for International Development (DFID), U.K.","DFI","https://www.gov.uk/government/organisations/department-for-international-development","UK","Global","SS Africa","Yes, explicit",,"The UK's DFI",,,,,,,"https://www.gov.uk/browse/citizenship/international-development"
"Deshpande Foundation","Foundation","www.deshpandefoundation.org/","India","Global",,,,"Health, education, agriculture, livelihood",,"Health as a vertical",,"$250 - $500K","Grant",,
"Fanisi Venture Capital","Fund","http://fanisi.com/","Luxembourg","SS Africa",,"No",,"Fanisi expects to invest $50 million in high growth businesses in Kenya, Rwanda, Tanzania and Uganda thus catalysing the growth of East African entrepreneurs, transforming them into key actors in their industries, regionally and globally.","50","General","Multiple",,,,
"Bill and Melinda Gates Foundation, The","Foundation",,"USA","Global","Frontier / Emerging","Yes, explicit",,"The Bill & Melinda Gates Foundation works to help all people lead healthy, productive lives. In developing countries, it focuses on improving people's health and giving them the chance to lift themselves out of hunger and extreme poverty. In the United States, it seeks to ensure that all people--especially those with the fewest resources--have access to the opportunities they need to succeed in school and life. Based in Seattle, WA, the foundation is led by CEO Jeff Raikes and Co-chair William H. Gates Sr., under the direction of Bill and Melinda Gates and Warren Buffett.
The foundation has allocated USD 1 billion to program-related investments (PRI) in the form of guarantees, debt, and equity investments. Through this initiative, the foundation structures its investments as assets or contingent liabilities on its balance sheet; returns generated from debt and equity investments are allocated back to the USD 1 billion fund. The foundation has made investments across a variety of asset classes and in support of each of its program areas (Global Health, Global Development, and the U.S. Program).","1000","Health as a vertical","Multiple","Varies widely","Multiple","Numerous","Global Health Investment Fund, Medical Credit Fund, Africa Health Fund, etc. http://www.gatesfoundation.org/How-We-Work/Quick-Links/Program-Related-Investments"
"Business Partners International","Fund","www.businesspartners.co.za","South Africa","Frontier / Emerging","SS Africa","No",,"Business Partners International (BPI) is a fund management company that supports SME growth by providing financing, specialist sectoral knowledge and added-value services to viable small and medium businesses (SMEs) in sub-Sahara Africa.  BPI was established in 2004 as a subsidiary of Business Partners Limited, to apply the investment model refined in South Africa to other African countries. Funds have been established in Madagascar, Kenya, Rwanda and Mozambique, with a fund being developed in Southern Africa.

BPI was established in 2004 as a subsidiary of Business Partners Limited, to apply the investment model refined in South Africa to other African countries. Funds have been established in Madagascar, Kenya, Rwanda and Mozambique, with a fund being developed in Southern Africa.

The Business Partners International Kenya SME Fund, is a US$14.1 million investment fund for SMEs in Kenya, with a parallel US$2.5 million Technical Assistance Facility.

The Business Partners International Rwanda SME Fund is a US$8 million investment fund for SME's in Rwanda, together with a parrallel US$300,000 Technical Assistance Facility.","414.3","SMEs","Multiple","$250 - $500K","Multiple",,
"Calvert Foundation","Fund","http://www.calvertfoundation.org/","USA","Global","Frontier / Emerging","Yes, explicit","2000.0","Calvert Foundation was founded 15 years ago on the principle that poverty can be alleviated through investment. As a trusted financial partner, Calvert Foundation manages more than $500 million of investments while helping its clients improve the lives of people around the world. Like a traditional financial institution, Calvert Foundation provides loans to clients, specifically community organizations with a proven track record of making a difference. What makes Calvert Foundation unique is its Community Investment Note, which starts at just $20 and is available in various terms and rates up to 2 percent. At maturity, investors get their money back with interest. While invested, their dollars are hard at work revitalizing poor communities in all 50 U.S. states and over 100 countries, reversing inequality and creating hope and opportunity where it's needed most.","250","Health as a vertical","Multiple","$3 - $5M","Debt","Numerous","HealthPoint Services, Medical Credit Fund, domestic health clinics and facilities"
"Carter Center","Foundation","http://www.cartercenter.org/index.html","United States","Global","Pan-Africa","No",,"Health and Peace",,"Health as a vertical",,,"Grant",,
"CASEIF II - Lafise Investment Management","Fund",,,,,,,,,,,,,,
"CDC","DFI","http://www.cdcgroup.com/

http://www.cdcgroup.com/list-of-fund-managers.aspx","UK","SS Africa","South Asia (sans India)","Yes, explicit",,"CDC is the United Kingdom (U.K.) government's development finance institution, owned by the Department for International Development (DFID). CDC is a provider of scarce long-term capital to private sector entrepreneurs in developing countries, and as such is one element of the U.K.'s endeavor to reduce poverty and help people prosper in the poorest countries in the world.
Under a new business plan announced in May 2011, CDC redefined its investment policy to focus exclusively on the poorest countries in sub-Saharan Africa and South Asia, where 70 percent of the world's poor live. CDC's aim in India is to invest in the eight poorest states. To maximize development impact, CDC will avoid sectors that are already well-served by other investors. It will also utilize a wider range of investment instruments, enabling capital to be put to work in more difficult markets. This mix of instruments will include debt, direct equity investments, and guarantees. From 2011 to 2015, the CDC aims to invest GBP 2 billion, averaging GBP 400 million per year. Debt and direct investments will each represent up to 20 percent of CDC's portfolio by 2015.",,"General","Multiple","Varies widely","Multiple",,
"CDC Group","Parastatal","http://www.cdcgroup.com/",,"Global",,"No",,"Agribusiness and food, Consumer services, education, extractive industries, financials, healthcare, IT and communications technology, industrials, infrastructure, real estate",,"Health as a vertical",,,"Multiple",,
"CIFF (Children's Investment Fund Foundation)","Foundation","http://www.ciff.org/",,"Global",,,,"Child survival, huger alleviation & nutrition, adolescent reproductive health, early childhood development, educational achievement, economic readiness, care environment",,,,,"Grant",,
"Coast2Coast",,"http://coast2coast.co.za","London","SS Africa",,,,"Consumer products (FMCG) sector (including health, personal care, foods and homecare products)","10","Health as a vertical","Multiple",,"Equity",,
"Coca-Cola Foundation","Foundation","http://www.thecoca-colacompany.com/citizenship/foundation_coke.html","United States","Global",,,,"Water stewardship, healthy and active lifestyles, community recycling, education, women",,"Health as a vertical",,,"Grant",,
"Coca-Cola India Foundation","Foundation",,,,,,,,,,,,,,
"Commons Capital","Fund","http://www.commonscapital.com","United States","Global",,,,"Healthcare, energy, environment, education",,"Health as a vertical","Early",,"Equity",,"Claros Diagnostics, HistoRx, Inc, OutStart Inc, Niman Ranch, Solstice Capital II LP, Sun & Earth Inc"
"Dell Foundation","Foundation","http://www.msdf.org/",,"Global",,,,"Urban Education, Childhood Health, Family Economic Stability",,"Health as a vertical",,,"Grant",,"Path, People's Community Clinic, El Buen Samaritano, Swadhaar, Mahila Housing SEWA Trust"
"Dell Social Innovation Challenge","Foundation","http://www.dellchallenge.org/",,"Global",,,,"Economic development, education, energy & development, food & sustenance, health, human rights",,,"Seed",,"Grant",,
"Deutsche Bank Global Social Investment Funds","Local/regional bank","https://www.db.com/us/content/en/social_investments.html","USA","Global","Frontier / Emerging","Yes, explicit",,"Deutsche Bank's impact investing activities are concentrated in community development and microfinance, and are carried out by the bank's New York City-based Community Development Finance Group. In the U.S., Deutsche Bank has invested more than USD 1 billion in community development, which includes affordable housing, green real estate, new business development, and support services. Internationally, Deutsche Bank has provided loans, sub-debt, guarantees, and other financial products to microcredit institutions since 1997 and currently manages five microfinance funds totaling approximately USD 200 million. In addition, Deutsche Bank has a community development loan and investment portfolio of USD 400 million. Separately, the Deutsche Bank Americas Foundation has an USD 8.8 million program-related investment portfolio, which supports social enterprises in education, housing, environment, and community development throughout the world.","200","Health as a vertical","Growth","$500K - $1M","Debt",,"Medical Credit Fund, creating a $50M fund where healthcare will be one of three verticals"
"DFJ India (Draper Richards Jurvetson)","Fund","http://www.dfj.com/about/index.php",,"Global",,"No",,"DFJ is a venture capital firm that was founded in 1985. DFJ has backed more than 400 companies in enterprise, software, mobile, cleantech, energy, health care, and other disruptive categories. DFJ's team operates across the globe and specializes in many industries and geographies. DFJ works with companies in seed, early, and growth stages.",,"General","Multiple",,"Equity",,"Tesla, Twitter, SolarCity, Tumblr, etc"
"Drs. Kiran & Pallavi Patel Family Foundation, Inc.","Foundation",,"Russia","Global",,,,"Education, Health care, Hospitals (general), Human services, International development, International human rights, International relief",,"Health as a vertical",,,,,
"Eleos Foundation and Eleos Investment Management",,"http://www.theeleosfoundation.com/","United States","Global",,,,"""Health, Sanitation, Education, Extreme Poverty""",,"Health as a vertical",,"$250 - $500K",,,
"Elevar Equity","Fund","http://www.elevarequity.com","United States","Global","India","Yes, explicit",,"Elevar Equity is a thesis based investor focused on generating outstanding investment returns by delivering essential services to disconnected communities underserved by global networks. Founded by four partners with 60 years of experience in venture capital, private equity, emerging markets, corporate law and impacting investing, Elevar is one of the most seasoned, commercially focused investment firms in the impact space. A team with different backgrounds, nationalities and experiences, Elevar is able to leverage this diversity to partner with entrepreneurs to create the next generation of companies focused on the base of the pyramid markets. As an investor, Elevar provides equity capital to entrepreneurs who deliver innovative market-based solutions that provide valued services to millions of customers. Elevar has been actively involved in all phases of company creation and currently manages Elevar Equity II LP (2008) and Unitus Equity Fund (2006) with portfolio companies operating in India, Latin America, North America and Europe.","45","Health as a vertical","Growth",,"Equity",,
"Elevar Equity","Fund","www.elevarequity.com","India/Cayman Islands","Global",,"Yes, explicit",,,,"General","Multiple",,,,"SKS Microfinance, Ujjivan Financial Services, Grama Vidiyal, Madura Micro Finance, Credex Microfinanzas, Glocal Healthcare, Swadhaar Fin Serve, Moksha Yug Access"
"Emerging Capital Partners","Fund","http://www.ecpinvestments.com/fund.xml?id=1009&p=1010&d=1057",,"Global",,,,"ECP MENA Growth Fund LLC targets healthcare as a vertical","150","Health as a vertical",,"$3 - $5M","Multiple",,
"Emerging Capital Partners","Fund","http://www.ecpinvestments.com/index.php/responsible-investing/the-principles/","Global offices","Pan-Africa",,"No",,"We are a pan-African private equity firm that has raised over US$2 billion for investment across the African continent, including the Francophone regions. We have put our investors capital to work in over 40 countries in all major regions of the continent, directly supporting over 50,000 jobs.","2000","General","Growth",,"Equity",,"http://www.ecpinvestments.com/index.php/portfolio-companies/map/"
"EMpower - The Emerging Markets Foundation","Foundation","www.empowerweb.org","United States","Global",,,,"Livelihoods, education, leadership and community engagement, and health and wellbeing",,,,,"Grant",,"Akshara, Asociación Aurora Vivar, CAI, Centro Mujeres, Community to Children, Bolshaya Peremena"
"Encore Careers (Purpose Prize)",,"http://www.encore.org/prize","United States",,,,,"Children and Youth, Health and Medicine, Environment and Energy Conservation, Other social issues",,,,"$250 - $500K",,,
"Ennovent",,"www.ennovent.com/",,"India",,,,,,,,"Varies widely","Multiple",,"invest at an earlier stage, providing a EUR 50k seed investment in startups even before they have achieved proof of concept. Successful companies can receive a EUR 250k follow-up round"
"Epiphany Ventures","Fund","http://epiphanyventures.in/about.asp","India","India",,,,"Sector-agnostic -Education and Healthcare",,"Health as a vertical","Early","Varies widely","Equity",,
"Epiphany Ventures","Fund","http://epiphanyventures.in/about.asp","India","India",,"No",,"Epiphany Ventures has raised $25 million to invest in early stage, path-breaking businesses. Our fund is sector-agnostic, and aims to invest in value-driven, innovative, and scalable business opportunities. We like to work with highly motivated, creative and focused groups of people who readily possess the intelligence, determination, and perseverance to create the ""next big thing"" in their sector. Epiphany Ventures, typically, invests at a stage where the company has successfully demonstrated a strong proof of concept, through customer acceptance. Epiphany regularly networks with industry and thought leaders, and therefore, backs financial capital with expertise gained from years of experience, and a plethora of knowledge. The ticket size of our investments ranges from $0.5 million to $3 million. Epiphany is open to co-investing in larger deals, by collaborating with other funds or HNIs from its network.",,"General","Early","$500K - $1M","Equity",,"http://epiphanyventures.in/portfolio.asp"
"Eventures Africa Fund (eVA)","Fund","http://www.eva-fund.com/about",,"SS Africa",,"No",,"eVA Fund is dedicated to mobilize capital and experience in the Netherlands/Europe to invest in small and medium sized African internet related companies. eVA Fund focusses on development in terms of capital and business development support, i.e. knowledge, experience, access to proven business concepts/applications, and network.",,"General","Early",,"Equity",,"http://www.eva-fund.com/investments"
"Fanisi Capital Limited","Fund","fanisi.com/",,"SS Africa",,,,"Agribusiness, Information, Communication, Technology, Retail, Financial Services, Real Estate, Health, Tourism.","50","Health as a vertical",,"Varies widely","Equity",,
"Flora Family Foundation","Foundation","http://www.florafamily.org/","Norway","Global",,,,"Education, health, arts and culture, the environment, global security, civic engagement, and the advancement of women",,"Health as a vertical",,,"Grant",,
"Footprint Ventures","Fund",,,"India",,,,"Education & Training, Health, Energy & Environment, Media & Communications",,"Health as a vertical",,,,,"Ticket Vala, Educational Initiatives, Mast Kalandar, Promethean, v-shesh, Sabras, Bookbox, UTMT, Windhorse"
"Global Impact Investors",,,,,,"Yes, explicit",,"Healthcare in India",,"Health-only",,,,,
"Good Capital","Fund","http://goodcap.net","United States","Global",,"Yes, explicit",,"Health Address economic inequality, Promote health, SME","13","Health as a vertical","Multiple","$1 - $3M","Equity",,
"Goodwell Investments BV 
Goodwell West Africa","Fund","http://www.goodwell.nl/","The Netherlands","India","SS Africa","Yes, explicit",,"Building on the strategy and track record of the successor fund, AGIMDC II has been designed keeping in mind the dynamic Indian microfinance landscape. The Company seeks to make investments in the following segments:
1) mature and medium sized MFIs market
2) start-up and early stage MFIs market segment
3) other financial intermediaries providing financial products and services for the BoP","85","General","Multiple","Varies widely","Equity",,
"Grassroots Business Fund","Fund","http://gbfund.org",,"Global",,"Yes, explicit",,"Agribusiness, Artisanal, Base of the Pyramid Services, Innovations in Finance.  http://www.gbfund.org/investment-criteria, look for companies with years of operating history and ones who have generated revs about as much as they are raising","21",,,"Varies widely","Multiple",,
"Grey Ghost","Fund","http://www.grayghostventures.com/about/history.html","USA","India","SS Africa","Yes, explicit",,"GGV is a pioneer of the global impact investing movement and continues to be a vanguard in furthering its expansion according to the vision of its founder, Bob Pattillo. With the establishment of Gray Ghost Microfinance Fund in 2003, GGV became one of the earliest private investors in microfinance, whose purpose is to eliminate poverty and strengthen communities through investments in small-and-micro businesses in the developing world.","60","General","Growth",,"Equity",,"http://www.grayghostventures.com/portfolio/portfolioImpactVentures.aspx"
"GroFin","Fund","http://www.grofin.com/home.aspx",,"Global","SS Africa","No",,"GroFin is a leading multi-national financier and advisor to small and medium enterprises., providing business support and finance to viable entrepreneur-owned businesses in South Africa, Nigeria, Kenya, Tanzania, Uganda, Ghana, Rwanda and Oman. Its offices manage funds from a cross-section of investors including several international finance institutions, banks and multi-national companies. On the ground GroFin teams of business development and investment professionals and local network partners actively work with entrepreneurs towards the goal of building better businesses and in so doing realizing both attractive returns for investors and creating much-needed jobs.",,"Health as a vertical","Growth",,,,
"Health Enterprise Fund","Fund","http://www.healthenterprisefund.org",,"Ethiopia","Kenya","Yes, explicit",,,,,,,,,
"ICICI Foundation for Inclusive Growth","Foundation","http://www.icicifoundation.org/","United States","India",,"Yes, explicit",,"Elementary Education, Sustainable Livelihood, Primary Health, Access to Finance. The foundation designs its projects in its areas of focus and implements them through partners who specialize in those fields. They do not accept any direct requests for funding.",,"Health as a vertical",,,,,
"Impact First Investments","Fund","www.impact1st.com","Israel","Global",,"Yes, explicit",,"Establish the first Israeli high tech investment vehicle specifically designed to channel local innovation and entrepreneurship to create global social impact",,"Health as a vertical","Multiple","Varies widely","Equity",,
"Impact Investment Partners","Fund","www.impactinvestmentpartners.com","United Kingdom","India",,"Yes, explicit",,"IIP India Health Fund I aims to deliver attractive financial returns while improving the overall health and well-being of millions of Indians.",,"Health-only",,"$3 - $5M","Equity",,
"InReturn Capital","Fund","www.inreturncapital.com/",,"SS Africa",,,,"Agricultural/food processing, ICT, media, energy, manufacturing, logistics and finance industries","25",,,"Varies widely","Multiple",,
"Intellegrow","Fund","http://www.intellegrow.com/","India","India",,"Yes, explicit",,"http://intellegrow.com/images/download/publication/IntelleGrow%20Brochure.pdf",,"Health as a vertical","Growth","$250 - $500K","Debt","Numerous","http://www.intellegrow.com/our-portfolio.php#category-healthcare"
"International Finance Corporation (IFC)","DFI","http://www.ifc.org/wps/wcm/connect/corp_ext_content/ifc_external_corporate_site/home",,"Global",,"Yes, explicit",,"The International Finance Corporation (IFC), a member of the World Bank Group, is the largest global development institution focused exclusively on the private sector. Established in 1956, IFC is owned by 184 member countries with offices in nearly 100 countries. IFCs vision is that people should have the opportunity to escape poverty and improve their lives. IFC addresses development challenges in emerging markets through direct investments and advisory services to firms. IFC also works at a policy level to improve business environments and set standards of social and environmental practice.

As of June 30, 2012, IFC had a committed portfolio of USD 45.3 billion, and in fiscal year 2012 it invested 15.5 billion in 576 projects. IFCs financial products and investment services include loans, syndicated loans, equity finance, structured finance, risk management products, local currency financing, and trade finance. Through the IFC Asset Management Company, a wholly owned subsidiary of IFC, the IFC raises funds targeted at large institutional investors interested in increasing their exposure to emerging markets. These funds include the IFC Capitalization Fund; the IFC African, Latin American, and Caribbean Fund; IFC Russian Bank Capitalization Fund; and the Africa Capitalization Fund. All IFC investments adopt the IFC Performance Standards and corresponding performance indicators which reflect the IFCs commitment to sustainability and which are intended to identify social and environmental impact and risks for each investment.","45300","General","Growth",,"Multiple",,
"Medtronic Foundation","Foundation","www.medtronic.com/foundation",,"India",,,,"focus on healthcare system capacity building. target diabetes and heart disease; involve health professionals in the project country in defining the problem and designing the educational initiative; support skill development to sustain a high quality of care over the long term; create a ""center of excellence"" in a specific disease area that could in turn be used as a training facility for others in the region; and focus on specific needs appropriate to that country's stage of development.","26.57","Health-only",,"$250 - $500K",,,
"Invested Development","Fund","http://investeddevelopment.com/",,"Global","India","Yes, explicit",,"Invested Development is an impact investment management firm. Founded in 2009, ID is a leading innovator in early-stage financing for tech start-ups. ID funds start-ups that are committed to serving the worlds underserved markets. In 2011, ID launched the BSP Fund, a seed-stage equity fund for mobile/ICT, alternative energy, and agricultural technology start-ups. To date, the BSP Fund has made eleven investments across eight countries. After seeing the working capital strain that start-ups face in emerging markets, ID responded with the Impact Factoring Fund (IFF) in 2012. The IFF provides working capital to growth-stage technology companies in emerging markets. - See more at: http://investeddevelopment.com/about/#sthash.Y7iJjR8k.dpuf",,"General","Multiple",,"Multiple",,"http://investeddevelopment.com/portfolio/"
"Investment Fund for Healthcare in Africa",,"www.ifhafund.com/",,"SS Africa",,"Yes, explicit",,,"70","Health-only",,"Varies widely",,,
"Investors' Circle",,,,,,"Yes, explicit",,,,,,,,,
"J.P. Morgan Social Finance; Global Health Investment Fund","Fund","http://ghif.com/","US & UK","Global","SS Africa","Yes, explicit",,"GHIFs main purpose is to improve the quality of peoples lives in low-income countries through the eradication of preventable diseases. This new $108mm USD Fund aims to achieve its purpose by facilitating partnerships to offer a sound investment that will fund life-saving medical research and development. Repayment is achieved via a combination of milestones and royalties. Investors benefit from a partial guarantee for up to 60% of their invested capital. The fund was developed by the Bill & Melinda Gates Foundation, Lions Head Global Partners and JPMorgan Chase & Co. to catalyze investment activity that can deliver new technologies to address urgent global health challenges and improve livelihoods around the world.","108","Health-only","Growth",,"Equity",,
"Jacana Partners","Fund","www.jacanapartners.com","United Kingdom","Pan-Africa",,"Yes, explicit",,"Create economic growth and employment in emerging markets by financing growing small and medium enterprises and generating financial and social returns for investors and stakeholders.",,"SMEs","Multiple","Varies widely",,,
"Kae Capital",,"http://www.kae-capital.com/",,"India",,,,"e-commerce, healthcare, education, mobile, services, technology",,"Health as a vertical","Early",,,,
"KCB Foundation","Foundation","http://www.kcbfoundation.org/",,"Global",,,,"""Environment Education Enterprise Development Health Humanitarian Intervention""",,"Health as a vertical",,,"Grant",,
"Kenya Commercial Bank","Local/regional bank","http://www.kcbbankgroup.com/","Kenya","Kenya",,"No",,"Traditional local bank",,"General","Mature",,"Debt",,
"KfW","DFI","https://www.kfw-entwicklungsbank.de/International-financing/KfW-Entwicklungsbank/","Germany","Global","Frontier / Emerging","Yes, explicit",,,,"Health as a vertical","Multiple",,"Multiple","Numerous","https://www.kfw-entwicklungsbank.de/International-financing/KfW-Entwicklungsbank/Sectors/Gesundheit/"
"Khosla Impact","Fund","http://www.khoslaimpact.com/our-focus.html","USA","South Asia (sans India)","Global","Yes, explicit",,"We invest in world-class entrepreneurs who are passionate about solving challenging, often intractable socio-economic problems through careful application of science, technology, and design or through creative business models. We believe in experimentation and encourage this approach among our entrepreneurs.  We evaluate a wide range of opportunities but are primarily focused on for-profit enterprises serving people at the bottom half of the worlds economic pyramid: low-income laborers, farmers and families, as well as small businesses in emerging markets.  Given our experience, South Asia is our initial, but not exclusive, geography of focus. We welcome entrepreneurs and business plans from all countries and regions.",,"Health as a vertical","Growth",,"Equity",,"http://www.khoslaimpact.com/our-portfolio.html"
"Social Venture Management GmbH",,"http://www.socialventurefund.com/eng/home/","Germany","Global",,"Yes, explicit",,"Agriculture & Food, Education & Training, Energy & Environment, Health Basic services for underserved, Promote health, Promote health, Conserve the environment, Promote sustainable agriculture","5",,,,,,
"KREP Bank","Local/regional bank","http://www.k-repbank.com/","Kenya","Kenya",,"No",,"K-Rep Bank is a leading and fast growing Commercial Bank that targets the Micro Finance sector but also provides a wide range of banking services. K-Rep Banks mission is to provide exceptional financial services that create value and enrich the lives of our customers, shareholders, employees and the community.",,"Health as a vertical","Mature",,"Debt",,"http://www.k-repbank.com/"
"Labadens Private Equity","Fund","http://labadens.org/web/","France","Global","SS Africa","No",,"Labadens Private Equity est une organisation indépendante créée en 2008, dont la mission est de lutter pour le développement économique et social des pays émergents.

En tant quacteur spécialiste du capital investissement, Labadens répond aux besoins de financement et daccompagnement des petites et moyennes entreprises, et les aide à réaliser leur potentiel de croissance.",,"General","Early",,"Equity",,
"Lion's Head Capital Partners LLP","Fund","http://www.lhgp.com/","London","SS Africa",,"Yes, explicit",,"Innovative investment structure that introduces private sector investment as an alternative to traditional grant-based funding for global health. Bill and Melinda Gates Foundation and Swedish International Development Agency committed to a guarantee and loss sharing
mechanism to leverage investment into the fund at scale.","100","Health as a vertical",,,,,
"Lok Capital","Fund","http://www.lokcapital.com/",,"India",,,,"Microfinance, BoP, Healthcare","85",,,,"Multiple",,
"Lundin for Africa","Foundation","http://www.lundinfoundation.org/s/home.asp",,"SS Africa",,,,"Agriculture, Financial Services, and Capital for SMEs",,"SMEs","Multiple","Varies widely","Multiple",,
"ManoCap","Fund","http://manocap.com/","Sierra Leone","SS Africa",,"No",,"ManoCap is a private equity fund manager that makes equity investments in small to mid-cap enterprises in West Africa.

Our aim is to deliver outstanding returns to our investors while creating wealth and employment in the countries in which we work. Were not an NGO. All things being equal, we will always prioritize a 70% IRR over a 20% IRR. Underlying the creation of our business is the belief that meeting development goals is impossible without investing in profitable businesses.",,"General","Growth","$1 - $3M","Equity",,
"Venture Partners Botswana","Fund","http://www.venture-p.com/",,"SS Africa",,,,"Resources beneficiation, manufacturing, agroindustrial and agro-processing, construction materials, healthcare/pharmaceuticals, tourism and hospitality, information and communication technologies, financial services, education",,,,"Varies widely",,,"Cabling for Africa, PG Industries, ZS Botswana, Airway Express, Delta Dairies, Latex Medical"
