"year","region","country","total_perf_measure_actual","total_staff_actual","percentage"
"FY 14","Africa","Liberia","33","66","0.50"
"FY 14","Africa","Madagascar","0","0",
"FY 14","Africa","Malawi","57","68","0.838"
"FY 14","Africa","Mali","7","57","0.123"
"FY 14","Africa","Mozambique","82","95","0.863"
"FY 14","Africa","Namibia","10","12","0.833"
"FY 14","Africa","Nigeria","86","93","0.925"
"FY 14","Africa","Rwanda","42","55","0.764"
"FY 14","Africa","Senegal","64","130","0.492"
"FY 14","Africa","South Africa","0","0",
"FY 14","Africa","South Sudan","41","48","0.854"
"FY 14","Africa","Sudan","12","23","0.522"
"FY 14","Africa","Tanzania","44","85","0.518"
"FY 14","Africa","Uganda","77","101","0.762"
"FY 14","Africa","West Africa Regional Program","56","106","0.528"
"FY 14","Africa","Zambia","45","54","0.833"
"FY 14","Africa","Zimbabwe","21","44","0.477"
"FY 14","Asia","Bangladesh","98","125","0.784"
"FY 14","Asia","Burma","12","24","0.50"
"FY 14","Asia","Cambodia","31","45","0.689"
"FY 14","Asia","Central Asia Regional","0","0",
"FY 14","Asia","India","51","61","0.836"
"FY 14","Asia","Indonesia","35","46","0.761"
"FY 14","Asia","Kyrgyzstan","17","19","0.895"
"FY 14","Asia","Mongolia","2","2","1.00"
"FY 14","Asia","Nepal","38","64","0.594"
"FY 14","Asia","Philippines","75","92","0.815"
"FY 14","Asia","Regional Development Mission Asia","55","104","0.529"
"FY 14","Asia","Sri Lanka","20","27","0.741"
"FY 14","Asia","Timor-Leste","10","18","0.556"
"FY 14","Asia","Vietnam","30","40","0.75"
"FY 14","Europe and Eurasia","Albania","9","11","0.818"
"FY 14","Europe and Eurasia","Armenia","24","29","0.828"
"FY 14","Europe and Eurasia","Azerbaijan","11","14","0.786"
"FY 14","Europe and Eurasia","Belarus","5","10","0.50"
"FY 14","Europe and Eurasia","Bosnia","34","37","0.919"
"FY 14","Europe and Eurasia","Georgia","29","56","0.518"
"FY 14","Europe and Eurasia","Kosovo","23","44","0.523"
"FY 14","Europe and Eurasia","Macedonia","14","19","0.737"
"FY 14","Europe and Eurasia","Moldova","13","14","0.929"
"FY 14","Europe and Eurasia","Montenegro","0","0",
"FY 14","Europe and Eurasia","Russia","0","0",
"FY 14","Europe and Eurasia","Serbia","23","25","0.92"
"FY 14","Europe and Eurasia","Ukraine","15","85","0.176"
"FY 14","Latin America and Caribbean","Barbados","0","0",
"FY 14","Latin America and Caribbean","Bolivia","0","0",
"FY 14","Latin America and Caribbean","Brazil","9","9","1.00"
"FY 14","Latin America and Caribbean","Central America and Mexico","0","0",
"FY 14","Latin America and Caribbean","Colombia","49","50","0.98"
"FY 14","Latin America and Caribbean","Dominican Republic","0","0",
"FY 14","Latin America and Caribbean","Ecuador","0","0",
"FY 14","Latin America and Caribbean","El Salvador","40","79","0.506"
"FY 14","Latin America and Caribbean","Guatemala","39","67","0.582"
"FY 14","Latin America and Caribbean","Haiti","0","0",
"FY 14","Latin America and Caribbean","Honduras","34","34","1.00"
"FY 14","Latin America and Caribbean","Jamaica","18","18","1.00"
"FY 14","Latin America and Caribbean","Mexico","0","0",
"FY 14","Latin America and Caribbean","Nicaragua","20","27","0.741"
"FY 14","Latin America and Caribbean","Paraguay","12","12","1.00"
"FY 14","Latin America and Caribbean","Peru","66","86","0.767"
"FY 14","Latin America and Caribbean","South America Regional","0","0",
"FY 14","Middle East","Egypt","64","128","0.50"
"FY 14","Middle East","Iraq","18","24","0.75"
"FY 14","Middle East","Jordan","76","95","0.80"
"FY 14","Middle East","Lebanon","16","20","0.80"
"FY 14","Middle East","Morocco","11","15","0.733"
"FY 14","Middle East","West Bank and Gaza","54","84","0.643"
"FY 14","Middle East","Yemen","4","19","0.211"
"FY 15","Africa","Angola","11","14","0.786"
"FY 15","Africa","Benin","7","17","0.412"
"FY 15","Africa","Botswana*","0","0",
"FY 15","Africa","Burkina Faso*","8","8","1.00"
"FY 15","Africa","Burundi*","0","6","0.00"
"FY 15","Africa","Cote d'Ivoire*","18","19","0.947"
"FY 15","Africa","Djibouti*","0","0",
"FY 15","Africa","Democratic Republic of Congo","49","108","0.454"
"FY 15","Africa","East Africa Regional","0","0",
"FY 15","Africa","Ethiopia","73","126","0.579"
"FY 15","Africa","Ghana","46","46","1.00"
"FY 15","Africa","Guinea","0","0",
"FY 15","Africa","Kenya","98","169","0.58"
"FY 15","Africa","Liberia","42","54","0.778"
"FY 15","Africa","Madagascar","0","0",
"FY 15","Africa","Malawi","67","76","0.882"
"FY 15","Africa","Mali","14","102","0.137"
"FY 15","Africa","Mozambique","72","102","0.706"
"FY 15","Africa","Namibia","8","8","1.00"
"FY 15","Africa","Niger","4","10","0.40"
"FY 15","Africa","Nigeria","76","0",
"FY 15","Africa","Rwanda","44","62","0.71"
"FY 15","Africa","Senegal","72","117","0.615"
"FY 15","Africa","South Africa","88","119","0.739"
"FY 15","Africa","South Sudan","41","41","1.00"
"FY 15","Africa","Sudan","18","24","0.75"
"FY 15","Africa","Tanzania","44","90","0.489"
"FY 15","Africa","Uganda","80","104","0.769"
"FY 15","Africa","West Africa Regional","59","106","0.557"
"FY 15","Africa","Zambia","49","57","0.86"
"FY 15","Africa","Zimbabwe","31","51","0.608"
"FY 15","Asia","Bangladesh","108","141","0.766"
"FY 15","Asia","Burma","23","23","1.00"
"FY 15","Asia","Cambodia","36","49","0.735"
"FY 15","Asia","Central Asia Regional","0","0",
"FY 15","Asia","India","50","61","0.82"
"FY 15","Asia","Indonesia","47","48","0.979"
"FY 15","Asia","Kyrgyzstan","19","20","0.95"
"FY 15","Asia","Mongolia","0","0",
"FY 15","Asia","Nepal","0","0",
"FY 15","Asia","Philippines","75","92","0.815"
"FY 15","Asia","Regional Developmet Mission of Asia","0","0",
"FY 15","Asia","Sri Lanka","12","19","0.632"
"FY 15","Asia","Timor-Leste","17","17","1.00"
"FY 15","Asia","Vietnam","35","43","0.814"
"FY 15","E&E","Albania","2","11","0.182"
"FY 15","E&E","Armenia","26","29","0.897"
"FY 15","E&E","Azerbaijan","10","14","0.714"
"FY 15","E&E","Belarus","6","10","0.60"
"FY 15","E&E","Bosnia","0","0",
"FY 15","E&E","Georgia","0","0",
"FY 15","E&E","Kosovo","26","45","0.578"
"FY 15","E&E","Macedonia","13","17","0.765"
"FY 15","E&E","Moldova","13","14","0.929"
"FY 15","E&E","Montenegro","0","0",
"FY 15","E&E","Russia","0","0",
"FY 15","E&E","Serbia","23","25","0.92"
"FY 15","E&E","Ukraine","0","0",
"FY 15","LAC","Eastern and Southern Caribbean","0","0",
"FY 15","LAC","Bolivia","0","0",
"FY 15","LAC","Brazil","9","9","1.00"
"FY 15","LAC","Central America and Mexico","0","0",
"FY 15","LAC","Colombia","37","66","0.561"
"FY 15","LAC","Dominican Republic","0","0",
"FY 15","LAC","Ecuador","0","0",
"FY 15","LAC","El Salvador","40","79","0.506"
"FY 15","LAC","Guatemala","42","67","0.627"
"FY 15","LAC","Haiti","0","0",
"FY 15","LAC","Honduras","58","58","1.00"
"FY 15","LAC","Jamaica","16","16","1.00"
"FY 15","LAC","Mexico","0","0",
"FY 15","LAC","Nicaragua","18","18","1.00"
"FY 15","LAC","Paraguay","13","13","1.00"
"FY 15","LAC","Peru","56","67","0.836"
"FY 15","LAC","South America Regional","0","0",
"FY 15","ME","Egypt","53","75","0.707"
"FY 15","ME","Iraq","4","13","0.308"
"FY 15","ME","Jordan","81","123","0.659"
"FY 15","ME","Lebanon","16","20","0.80"
"FY 15","ME","Morocco","6","17","0.353"
"FY 15","ME","West Bank/Gaza","75","75","1.00"
"FY 15","ME","Yemen","0","0",
"FY 15","Afghanistan and Pakistan","Afghanistan","5","285","0.018"
"FY 15","Afghanistan and Pakistan","Pakistan","146","166","0.88"
"FY16","Africa","Angola","12","14","0.857"
"FY16","Africa","Benin","2","11","0.182"
"FY16","Africa","Botswana","6","8","0.75"
"FY16","Africa","Burkina Faso","1","1","1.00"
"FY16","Africa","Burundi","1","10","0.10"
"FY16","Africa","Cote d'Ivoire","0","13","0.00"
"FY16","Africa","Djibouti","0","6","0.00"
"FY16","Africa","Democratic Republic of Congo","48","140","0.343"
"FY16","Africa","East Africa Regional","0","0",
"FY16","Africa","Ethiopia","82","130","0.631"
"FY16","Africa","Ghana","39","62","0.629"
"FY16","Africa","Guinea","8","17","0.471"
"FY16","Africa","Kenya","111","218","0.509"
"FY16","Africa","Liberia","21","53","0.396"
"FY16","Africa","Madagascar","0","33","0.00"
"FY16","Africa","Malawi","69","82","0.841"
"FY16","Africa","Mali","0","68","0.00"
"FY16","Africa","Mozambique","66","110","0.60"
"FY16","Africa","Namibia","6","6","1.00"
"FY16","Africa","Niger","1","2","0.50"
"FY16","Africa","Nigeria","68","77","0.883"
"FY16","Africa","Rwanda","26","55","0.473"
"FY16","Africa","Sahel","4","4","1.00"
"FY16","Africa","Senegal","30","111","0.27"
"FY16","Africa","South Africa","108","128","0.844"
"FY16","Africa","South Sudan","0","52","0.00"
"FY16","Africa","Sudan","0","0",
"FY16","Africa","Tanzania","55","93","0.591"
"FY16","Africa","Uganda","80","104","0.769"
"FY16","Africa","West Africa Regional","16","91","0.176"
"FY16","Africa","Zambia","42","66","0.636"
"FY16","Africa","Zimbabwe","40","63","0.635"
"FY16","Asia","Bangladesh","52","102","0.51"
"FY16","Asia","Burma","23","24","0.958"
"FY16","Asia","Cambodia","36","52","0.692"
"FY16","Asia","Central Asia Regional","33","107","0.308"
"FY16","Asia","India","55","71","0.775"
"FY16","Asia","Indonesia","50","51","0.98"
"FY16","Asia","Kyrgyzstan","16","21","0.762"
"FY16","Asia","Mongolia","0","0",
"FY16","Asia","Nepal","70","96","0.729"
"FY16","Asia","Philippines","74","96","0.771"
"FY16","Asia","Regional Developmet Mission of Asia","40","99","0.404"
"FY16","Asia","Sri Lanka","8","22","0.364"
"FY16","Asia","Timor-Leste","16","18","0.889"
"FY16","Asia","Vietnam","36","48","0.75"
"FY16","E&E","Albania","10","13","0.769"
"FY16","E&E","Armenia","24","28","0.857"
"FY16","E&E","Azerbaijan","12","14","0.857"
"FY16","E&E","Belarus","5","9","0.556"
"FY16","E&E","Bosnia","5","40","0.125"
"FY16","E&E","Georgia","33","57","0.579"
"FY16","E&E","Kosovo","26","45","0.578"
"FY16","E&E","Macedonia","13","22","0.591"
"FY16","E&E","Moldova","14","14","1.00"
"FY16","E&E","Montenegro","0","0",
"FY16","E&E","Russia","0","0",
"FY16","E&E","Serbia","19","43","0.442"
"FY16","E&E","Ukraine","53","87","0.609"
"FY16","LAC","Eastern and Southern Caribbean","7","12","0.583"
"FY16","LAC","Bolivia","0","0",
"FY16","LAC","Brazil","9","9","1.00"
"FY16","LAC","Central America and Mexico","0","0",
"FY16","LAC","Colombia","45","69","0.652"
"FY16","LAC","Dominican Republic","28","79","0.354"
"FY16","LAC","Ecuador",,,
"FY16","LAC","El Salvador","53","89","0.596"
"FY16","LAC","Guatemala","46","68","0.676"
"FY16","LAC","Haiti","51","155","0.329"
"FY16","LAC","Honduras","45","74","0.608"
"FY16","LAC","Jamaica","18","26","0.692"
"FY16","LAC","Mexico","0","0",
"FY16","LAC","Nicaragua","15","18","0.833"
"FY16","LAC","Paraguay","13","13","1.00"
"FY16","LAC","Peru","58","67","0.866"
"FY16","LAC","South America Regional","0","0",
"FY16","ME","Egypt","61","88","0.693"
"FY16","ME","Iraq","9","13","0.692"
"FY16","ME","Jordan","71","90","0.789"
"FY16","ME","Lebanon","0","0",
"FY16","ME","Morocco","8","25","0.32"
"FY16","ME","Tunisia","0","5","0.00"
"FY16","ME","West Bank/Gaza","58","73","0.795"
"FY16","ME","Yemen","0","0",
"FY16","Afghanistan and Pakistan","Afghanistan","128","201","0.637"
"FY16","Afghanistan and Pakistan","Pakistan","157","170","0.924"
