"fiscal_year","region","country","obligations_actual_numerator","obligations_actual_denominator","_","leveraging_actual"
"FY 2016","Asia","Kyrgyzstan","0","34360618","0.0","-"
"FY 2016","Asia","Mongolia","0","0",,"-"
"FY 2016","Asia","Nepal","0","118095941","0.0","-"
"FY 2016","Asia","Philippines","2138064","106824797","0.02","365,450"
"FY 2016","Asia","Regional Development Mission Asia","0","80409320","0.0","0"
"FY 2016","Asia","Sri Lanka","0","8085348","0.0","0"
"FY 2016","Asia","Timor-Leste","0","8293089","0.0","0"
"FY 2016","Asia","Vietnam","1895000","64867270","0.029","13,616,270"
"FY 2016","Europe and Eurasia","Albania","350000","9739090","0.036","1,881,250"
"FY 2016","Europe and Eurasia","Armenia","30000","10249197","0.003","30,000"
"FY 2016","Europe and Eurasia","Azerbaijan","0","8450715","0.0","-"
"FY 2016","Europe and Eurasia","Belarus","0","6050884","0.0","-"
"FY 2016","Europe and Eurasia","Bosnia","0","15154230","0.0","0"
"FY 2016","Europe and Eurasia","Georgia","1052060","40530551","0.026","5,427,156"
"FY 2016","Europe and Eurasia","Kosovo","0","37269051","0.0","-"
"FY 2016","Europe and Eurasia","Macedonia","0","9187458","0.0","0"
"FY 2016","Europe and Eurasia","Moldova","2595000","14733556","0.176","0"
"FY 2016","Europe and Eurasia","Montenegro","0","0",,"-"
"FY 2016","Europe and Eurasia","Russia","0","0",,"-"
"FY 2016","Europe and Eurasia","Serbia","0","5560642","0.0","0"
"FY 2016","Europe and Eurasia","Ukraine","0","395830490","0.0","0"
"FY 2016","Latin America and Caribbean","Barbados",,"28250971","0.0",
"FY 2016","Latin America and Caribbean","Bolivia","0","0",,"-"
"FY 2016","Latin America and Caribbean","Brazil","909623","1516641","0.6","2,477,821"
"FY 2016","Latin America and Caribbean","Central America and Mexico","0","46033005","0.0","0"
"FY 2016","Latin America and Caribbean","Colombia","0","166765557","0.0","171,879"
"FY 2016","Latin America and Caribbean","Dominican Republic","0","17784294","0.0","0"
"FY 2016","Latin America and Caribbean","Ecuador","0","0",,"-"
"FY 2016","Latin America and Caribbean","El Salvador","7879748","46972033","0.168","0"
"FY 2016","Latin America and Caribbean","Guatemala","905132","98332815","0.009","0"
"FY 2016","Latin America and Caribbean","Haiti","0","193529814","0.0","0"
"FY 2016","Latin America and Caribbean","Honduras","0","94893375","0.0","0"
"FY 2016","Latin America and Caribbean","Jamaica","0","10425648","0.0","0"
"FY 2016","Latin America and Caribbean","Mexico","1500000","54489369","0.028","3,735,687"
"FY 2016","Latin America and Caribbean","Nicaragua","0","15146754","0.0","0"
"FY 2016","Latin America and Caribbean","Paraguay","146573","7460323","0.02","436,027"
"FY 2016","Latin America and Caribbean","Peru","1500000","39581927","0.038","4,541,000"
"FY 2016","Latin America and Caribbean","South America Regional","0","5585699","0.0","0"
"FY 2016","Middle East","Egypt","0","96478629","0.0","0"
"FY 2016","Middle East","Iraq","0","100366980","0.0","-"
"FY 2016","Middle East","Jordan","1590407","472705866","0.003","8,991,279"
"FY 2016","Middle East","Lebanon","0","65817218","0.0","0"
"FY 2016","Middle East","Morocco","550000","25838934","0.021","0"
"FY 2016","Middle East","Tunisia","0","41819106","0.0","0"
"FY 2016","Middle East","West Bank and Gaza","344914","288586336","0.001","74,174"
"FY 2016","Middle East","Yemen","0","0",,"-"
"FY 2015","Afghanistan and Pakistan","Afghanistan","13581723","1366953918","0.01","98,826,796"
"FY 2015","Afghanistan and Pakistan","Pakistan","4000000","520489289","0.008","0"
"FY 2015","Africa","Angola","550000","39812302","0.014","0"
"FY 2015","Africa","Benin","0","20544911","0.0","0"
"FY 2015","Africa","Botswana","0","17353978","0.0","0"
"FY 2015","Africa","Burkina Faso","0","10817402","0.0","0"
"FY 2015","Africa","Burundi","0","20160470","0.0","0"
"FY 2015","Africa","Cote d'Ivoire","0","25998800","0.0","0"
"FY 2015","Africa","Djibouti","0","1531007","0.0","0"
"FY 2015","Africa","Democratic Republic of Congo","1332000","197503655","0.007","3,000,000"
"FY 2015","Africa","East Africa Regional","0","55733424","0.0","0"
"FY 2015","Africa","Ethiopia","0","299676167","0.0","2,000,000"
"FY 2015","Africa","Ghana","1993628","197115279","0.01","2,584,827"
"FY 2015","Africa","Guinea","0","22869030","0.0","0"
"FY 2015","Africa","Kenya","3621036","471221069","0.008","0"
"FY 2015","Africa","Liberia","0","155215043","0.0","0"
"FY 2015","Africa","Madagascar","0","46120799","0.0","0"
"FY 2015","Africa","Malawi","20000","155058954","0.0","0"
"FY 2015","Africa","Mali","750000","94756453","0.008","750,000"
"FY 2015","Africa","Mozambique","13415772","186289361","0.072","28,547,346"
"FY 2015","Africa","Namibia","0","23844982","0.0","0"
"FY 2015","Africa","Niger","0","4142016","0.0","0"
"FY 2015","Africa","Nigeria","3644221","340890100","0.011","0"
"FY 2015","Africa","Rwanda","500099","149087346","0.003","2,000,000"
"FY 2015","Africa","Senegal","255220","85287891","0.003","11,072,250"
"FY 2015","Africa","South Africa","578292","206406117","0.003","325,000"
"FY 2015","Africa","Southern Africa Regional","4264272","30564986","0.14","4,950,000"
"FY 2015","Africa","South Sudan","0","193202133","0.0","0"
"FY 2015","Africa","Sudan","377192","5996670","0.063","377,192"
"FY 2015","Africa","Tanzania","2505000","324390436","0.008","0"
"FY 2015","Africa","Uganda","1500000","257299457","0.006","3,185,552"
"FY 2015","Africa","West Africa Regional Program","999215","105985960","0.009","0"
"FY 2015","Africa","Zambia","0","126271647","0.0","0"
"FY 2015","Africa","Zimbabwe","0","104145863","0.0","0"
"FY 2015","Asia","Bangladesh","2000000","181096832","0.011","3,500,000"
"FY 2015","Asia","Burma","1000000","64150707","0.016","0"
"FY 2015","Asia","Cambodia","1075105","53476565","0.02","0"
"FY 2015","Asia","Central Asia Regional","0","51204439","0.0","0"
"FY 2015","Asia","India","13210000","54758525","0.241","68,425,222"
"FY 2015","Asia","Indonesia","1300000","153736639","0.008","1,300,000"
"FY 2015","Asia","Kyrgyzstan","0","29396180","0.0","0"
"FY 2015","Asia","Mongolia","0","2459803","0.0","0"
"FY 2015","Asia","Nepal","0","147493814","0.0","0"
"FY 2015","Asia","Philippines","3820214","102744116","0.037","75,965,221"
"FY 2015","Asia","Regional Development Mission Asia","7290000","77245734","0.094","0"
"FY 2015","Asia","Sri Lanka","0","0",,"0"
"FY 2015","Asia","Timor-Leste","0","15348220","0.0","0"
"FY 2015","Asia","Vietnam","591743","59796003","0.01","0"
"FY 2015","Europe and Eurasia","Albania","0","4555035","0.0","0"
"FY 2015","Europe and Eurasia","Armenia","1108568","23532992","0.047","2,891,900"
"FY 2015","Europe and Eurasia","Azerbaijan","0","10370477","0.0","0"
"FY 2015","Europe and Eurasia","Belarus","0","10954001","0.0","0"
"FY 2015","Europe and Eurasia","Bosnia","800000","24271021","0.033","3,027,325"
"FY 2015","Europe and Eurasia","Georgia","1054415","32299544","0.033","3,220,256"
"FY 2015","Europe and Eurasia","Kosovo","0","24494469","0.0","0"
"FY 2015","Europe and Eurasia","Macedonia","250000","8631655","0.029","250,160"
"FY 2015","Europe and Eurasia","Moldova","2760000","15801888","0.175","0"
"FY 2015","Europe and Eurasia","Montenegro","0","-478037","0.0","0"
"FY 2015","Europe and Eurasia","Russia","0","-1771055","0.0","0"
"FY 2015","Europe and Eurasia","Serbia","300000","13013027","0.023","539,200"
"FY 2015","Europe and Eurasia","Ukraine","6000","498806980","0.0","0"
"FY 2015","Latin America and Caribbean","Barbados","0","18469443","0.0","0"
"FY 2015","Latin America and Caribbean","Bolivia","0","-19598","0.0","0"
"FY 2015","Latin America and Caribbean","Brazil","0","5073150","0.0","0"
"FY 2015","Latin America and Caribbean","Central America and Mexico","3795907","48562902","0.078","0"
"FY 2015","Latin America and Caribbean","Colombia","4273813","138134219","0.031","58,831,754"
"FY 2015","Latin America and Caribbean","Dominican Republic","250000","35379232","0.007","250,000"
"FY 2015","Latin America and Caribbean","Ecuador","0","1746986","0.0","0"
"FY 2015","Latin America and Caribbean","El Salvador","8030424","40521142","0.198","0"
"FY 2015","Latin America and Caribbean","Guatemala","1983972","76472178","0.026","2,142,301"
"FY 2015","Latin America and Caribbean","Haiti","550000","371808648","0.001","0"
"FY 2015","Latin America and Caribbean","Honduras","2975000","75629296","0.039","4,975,000"
"FY 2015","Latin America and Caribbean","Jamaica","0","15559838","0.0","0"
"FY 2015","Latin America and Caribbean","Mexico","1841445","50129943","0.037","3,667,000"
"FY 2015","Latin America and Caribbean","Nicaragua","0","10389893","0.0","0"
"FY 2015","Latin America and Caribbean","Paraguay","117857","5895927","0.02","174,242"
"FY 2015","Latin America and Caribbean","Peru","5785384","35554710","0.163","0"
"FY 2015","Latin America and Caribbean","South America Regional","1500000","14534483","0.103",
"FY 2015","Middle East","Egypt","3800000","177408878","0.021","5,974,082"
"FY 2015","Middle East","Iraq","0","39187163","0.0","0"
"FY 2015","Middle East","Jordan","66000","774494882","0.0","4,060,000"
"FY 2015","Middle East","Lebanon","0","64543103","0.0","0"
"FY 2015","Middle East","Morocco","1200000","26057112","0.046","2,629,500"
"FY 2015","Middle East","West Bank and Gaza","0","320756998","0.0","278,300"
"FY 2015","Middle East","Yemen","0","6230109","0.0","0"
"FY 2014","Afghanistan and Pakistan","Afghanistan","16694881","1021904550","0.02","63,768,368"
"FY 2014","Afghanistan and Pakistan","Pakistan","750000","494733799","0","0"
"FY 2014","Africa","Angola","300000","32513257","0.01","0"
"FY 2014","Africa","Benin","475000","30982621","0.02","475,000"
"FY 2014","Africa","Democratic Republic of Congo","118850","152445351","0","0"
"FY 2014","Africa","East Africa Regional","708225","64663406","0.01","0"
"FY 2014","Africa","Ethiopia","499860","312490781","0","0"
"FY 2014","Africa","Ghana","300000","128433614","0","3,200,000"
"FY 2014","Africa","Guinea","0","8907717","0","0"
"FY 2014","Africa","Kenya","8966840","406385643","0.02","33,104,204"
"FY 2014","Africa","Liberia","0","138115345","0","0"
"FY 2014","Africa","Madagascar","0","40140995","0","0"
"FY 2014","Africa","Malawi","0","107231351","0","0"
"FY 2014","Africa","Mali","0","65195557","0","0"
"FY 2014","Africa","Mozambique","435204","197985545","0","435,204"
"FY 2014","Africa","Namibia","0","22966964","0","0"
"FY 2014","Africa","Nigeria","9416665","338546682","0.03","8,000,000"
"FY 2014","Africa","Rwanda","1000000","111921354","0.01","1,000,000"
"FY 2014","Africa","Senegal","0","73332266","0","0"
"FY 2014","Africa","South Africa","2800000","289509510","0.01","2,800,000"
"FY 2014","Africa","Southern Africa","800000","28396383","0.03","896,334"
"FY 2014","Africa","South Sudan","0","233582503","0","0"
"FY 2014","Africa","Sudan","0","6395721","0","0"
"FY 2014","Africa","Tanzania","0","329118438","0","6,024,824"
"FY 2014","Africa","Uganda","2121669","269596690","0.01","9,048,428"
"FY 2014","Africa","West Africa Regional Program","1546372","85970437","0.02","3,199,247"
"FY 2014","Africa","Zambia","2357596","182131384","0.01","3,789,590"
"FY 2014","Africa","Zimbabwe","0","86115890","0","0"
"FY 2014","Asia","Bangladesh","350000","166288629","0","3,000,000"
"FY 2014","Asia","Burma","350000","62706958","0.01","900,000"
"FY 2014","Asia","Cambodia","0","69771546","0","0"
"FY 2014","Asia","Central Asia Regional","0","76432939","0","200,000"
"FY 2014","Asia","India","6794842","94689853","0.07","14,835,938"
"FY 2014","Asia","Indonesia","2537102","120809661","0.02","0"
"FY 2014","Asia","Kyrgyzstan","10000","43577697","0","242,000"
"FY 2014","Asia","Mongolia","0","3033989","0","0"
"FY 2014","Asia","Nepal","0","47273848","0","0"
"FY 2014","Asia","Philippines","1032649","132712217","0.01","2,324,018"
"FY 2014","Asia","Regional Development Mission Asia","2430000","85921277","0.03","26,615,000"
"FY 2014","Asia","Sri Lanka","0","16961676","0","0"
"FY 2014","Asia","Timor-Leste","500000","15055631","0.03","500,000"
"FY 2014","Asia","Vietnam","981000","50372999","0.02","3,598,315"
"FY 2014","Europe and Eurasia","Albania","0","10402439","0","0"
"FY 2014","Europe and Eurasia","Armenia","532615","20553049","0.03","170,732"
"FY 2014","Europe and Eurasia","Azerbaijan","0","8059537","0","0"
"FY 2014","Europe and Eurasia","Belarus","0","7279933","0","0"
"FY 2014","Europe and Eurasia","Bosnia","276880","28806412","0.01","1,696,733"
"FY 2014","Europe and Eurasia","Georgia","25000","73403874","0","31,000"
"FY 2014","Europe and Eurasia","Kosovo","0","45718678","0","0"
"FY 2014","Europe and Eurasia","Macedonia","250000","12345598","0.02","250,000"
"FY 2014","Europe and Eurasia","Moldova","3680000","25435290","0.14","3,680,000"
"FY 2014","Europe and Eurasia","Montenegro","0","-18253","0","0"
"FY 2014","Europe and Eurasia","Russia","0","-14977930","0","0"
"FY 2014","Europe and Eurasia","Serbia","300000","17717590","0.02","405,000"
"FY 2014","Europe and Eurasia","Ukraine","1160","78239630","0","159,900"
"FY 2014","Latin America and Caribbean","Barbados","0","25447297","0","0"
"FY 2014","Latin America and Caribbean","Bolivia","0","-381911","0","0"
"FY 2014","Latin America and Caribbean","Brazil","339200","7018525","0.05","692,000"
"FY 2014","Latin America and Caribbean","Central America and Mexico","734960","36376249","0.02","1,950,000"
"FY 2014","Latin America and Caribbean","Colombia","3659452","157765740","0.02","7,396,446"
"FY 2014","Latin America and Caribbean","Dominican Republic","0","17361277","0","0"
"FY 2014","Latin America and Caribbean","Ecuador","0","1424604","0","0"
"FY 2014","Latin America and Caribbean","El Salvador","9333406","53028693","0.18","15,000,000"
"FY 2014","Latin America and Caribbean","Guatemala","0","64432832","0","0"
"FY 2014","Latin America and Caribbean","Haiti","1300000","172973378","0.01","12,770,570"
"FY 2014","Latin America and Caribbean","Honduras","2080618","57768619","0.04","0"
"FY 2014","Latin America and Caribbean","Jamaica","0","12684892","0","0"
"FY 2014","Latin America and Caribbean","Mexico","1679762","27059234","0.06","0"
"FY 2014","Latin America and Caribbean","Nicaragua","0","8977334","0","0"
"FY 2014","Latin America and Caribbean","Paraguay","0","7466175","0","200,000"
"FY 2014","Latin America and Caribbean","Peru","6021000","56485617","0.11","18,510,720"
"FY 2014","Latin America and Caribbean","South America Regional","0","20590664","0","0"
"FY 2014","Middle East","Egypt","0","121042530","0","0"
"FY 2014","Middle East","Iraq","820703","48511873","0.02","0"
"FY 2014","Middle East","Jordan","26855","518752375","0","93,500"
"FY 2014","Middle East","Lebanon","0","68425903","0","0"
"FY 2014","Middle East","Morocco","0","8694322","0","0"
"FY 2014","Middle East","West Bank and Gaza","0","75204327","0","0"
"FY 2014","Middle East","Yemen","0","48441328","0","0"
"FY 2013","Afghanistan and Pakistan","Afghanistan","5483478","1591138423","0.003","30,668,600"
"FY 2013","Afghanistan and Pakistan","Pakistan","40000000","543992320","0.074","51,500,000"
"FY 2013","Africa","Angola","0","28569753","0.0","0"
"FY 2013","Africa","Benin","0","9724191","0.0","0"
"FY 2013","Africa","Democratic Republic of Congo","1465000","126540521","0.012","1,895,000"
"FY 2013","Africa","East Africa Regional","100000","35001798","0.003","0"
"FY 2013","Africa","Ethiopia","2000000","310659036","0.006","2,500,140"
"FY 2013","Africa","Ghana","1983039","115720884","0.017","3,182,506"
"FY 2013","Africa","Guinea","0","23760344","0.0","0"
"FY 2013","Africa","Kenya","3750014","337182135","0.011","50,953,280"
"FY 2013","Africa","Liberia","467385","131005847","0.004","1,250,000"
"FY 2013","Africa","Madagascar","0","26731858","0.0","0"
"FY 2013","Africa","Malawi","0","115318669","0.0","0"
"FY 2013","Africa","Mali","0","131449375","0.0","0"
"FY 2013","Africa","Mozambique","1510000","142837260","0.011","1,411,211"
"FY 2013","Africa","Namibia","714982","23026635","0.031","1,000,000"
"FY 2013","Africa","Nigeria","5177270","303851563","0.017","62,922,728"
"FY 2013","Africa","Rwanda","500000","82658358","0.006","500,000"
"FY 2013","Africa","Senegal","0","78749840","0.0","0"
"FY 2013","Africa","South Africa","3200000","224690071","0.014","6,400,000"
"FY 2013","Africa","Southern Africa","0","20291492","0.0","0"
"FY 2013","Africa","South Sudan","0","244294285","0.0","0"
"FY 2013","Africa","Sudan","0","10102595","0.0","0"
"FY 2013","Africa","Tanzania","6599000","243390998","0.027","6,849,000"
"FY 2013","Africa","Uganda","2500000","274110122","0.009","11,577,193"
"FY 2013","Africa","West Africa Regional Program","2150000","79547198","0.027","2,805,000"
"FY 2013","Africa","Zambia","2700000","194998783","0.014","1,190,000"
"FY 2013","Africa","Zimbabwe","0","72538278","0.0","0"
"FY 2013","Asia","Bangladesh","2125000","154463332","0.014","10,200,000"
"FY 2013","Asia","Burma","2000000","32194092","0.062","1,906,000"
"FY 2013","Asia","Cambodia","0","43336222","0.0","0"
"FY 2013","Asia","Central Asia Regional","505000","57014906","0.009","0"
"FY 2013","Asia","India","5750000","47961800","0.12","14,021,187"
"FY 2013","Asia","Indonesia","2595000","110696513","0.023","910,000"
"FY 2013","Asia","Kyrgyzstan","0","25807925","0.0","0"
"FY 2013","Asia","Mongolia","0","9798118","0.0","0"
"FY 2013","Asia","Nepal","0","77061681","0.0","0"
"FY 2013","Asia","Philippines","2905305","98079236","0.03","6,096,399"
"FY 2013","Asia","Regional Development Mission Asia","1844000","62691428","0.029","30,907,728"
"FY 2013","Asia","Sri Lanka","0","24742000","0.0","0"
"FY 2013","Asia","Timor-Leste","0","18218681","0.0","0"
"FY 2013","Asia","Vietnam","1305811","46604493","0.028","67,563,192"
"FY 2013","Europe and Eurasia","Albania","499107","10051676","0.05","600,000"
"FY 2013","Europe and Eurasia","Armenia","1479000","22431538","0.066","0"
"FY 2013","Europe and Eurasia","Azerbaijan","150000","8982001","0.017","150,000"
"FY 2013","Europe and Eurasia","Belarus","0","7759246","0.0","0"
"FY 2013","Europe and Eurasia","Bosnia","1500000","24349063","0.062","20,000,000"
"FY 2013","Europe and Eurasia","Georgia","815363","69935947","0.012","894,052"
"FY 2013","Europe and Eurasia","Kosovo","0","39290212","0.0","0"
"FY 2013","Europe and Eurasia","Macedonia","0","17783442","0.0","0"
"FY 2013","Europe and Eurasia","Moldova","0","10442668","0.0","0"
"FY 2013","Europe and Eurasia","Montenegro","0","-183877","0.0","0"
"FY 2013","Europe and Eurasia","Russia","0","-3544952","0.0","0"
"FY 2013","Europe and Eurasia","Serbia","166000","19580306","0.008","1,136,000"
"FY 2013","Europe and Eurasia","Ukraine","3599342","61522884","0.059","4,637,094"
"FY 2013","Latin America and Caribbean","Barbados","0","22107320","0.0","0"
"FY 2013","Latin America and Caribbean","Bolivia","0","-4412017","0.0","0"
"FY 2013","Latin America and Caribbean","Brazil","440000","11159307","0.039","852,000"
"FY 2013","Latin America and Caribbean","Central America and Mexico","2425000","25112725","0.097","2,500,000"
"FY 2013","Latin America and Caribbean","Colombia","2871805","99367835","0.029","6,012,243"
"FY 2013","Latin America and Caribbean","Dominican Republic","0","20345369","0.0","0"
"FY 2013","Latin America and Caribbean","Ecuador","0","16244030","0.0","0"
"FY 2013","Latin America and Caribbean","El Salvador","4166000","51978814","0.08","0"
"FY 2013","Latin America and Caribbean","Guatemala","3011278","51284552","0.059","0"
"FY 2013","Latin America and Caribbean","Haiti","9058636","198151348","0.046","21,338,930"
"FY 2013","Latin America and Caribbean","Honduras","1800000","61923834","0.029","6,155,320"
"FY 2013","Latin America and Caribbean","Jamaica","1022346","14622322","0.07","1,377,576"
"FY 2013","Latin America and Caribbean","Mexico","5214858","76153205","0.068","6,020,528"
"FY 2013","Latin America and Caribbean","Nicaragua","561508","17577809","0.032","4,810,207"
"FY 2013","Latin America and Caribbean","Paraguay","0","4840893","0.0","0"
"FY 2013","Latin America and Caribbean","Peru","9316581","69547074","0.134","38,971,792"
"FY 2013","Latin America and Caribbean","South America Regional","2000000","19273109","0.104","3,500,000"
"FY 2013","Middle East","Egypt","0","293898044","0.0","0"
"FY 2013","Middle East","Iraq","0","108590063","0.0","0"
"FY 2013","Middle East","Jordan","5971669","543125760","0.011","8,317,639"
"FY 2013","Middle East","Lebanon","0","74657203","0.0","0"
"FY 2013","Middle East","Morocco","0","17349619","0.0","0"
"FY 2013","Middle East","West Bank and Gaza","800000","743551360","0.001","2,900,000"
"FY 2013","Middle East","Yemen","0","63637131","0.0","0"
"FY 2012","Africa","Angola","0","42431265","0.0","0"
"FY 2012","Africa","Benin","0","34157461","0.0","0"
"FY 2012","Africa","Democratic Republic of Congo","364465","166101688","0.002","597,144"
"FY 2012","Africa","East Asia Regional","750000","42450584","0.018","1,250,000"
"FY 2012","Africa","Ethiopia","6200000","288511751","0.021","6,600,000"
"FY 2012","Africa","Ghana","1830168","121117576","0.015","2,699,264"
"FY 2012","Africa","Guinea","250000","28219395","0.009","350,000"
"FY 2012","Africa","Kenya","7575890","474934614","0.016","13,932,990"
"FY 2012","Africa","Liberia","664250","113108010","0.006","664,250"
"FY 2012","Africa","Madagascar","0","45110785","0.0","0"
"FY 2012","Africa","Malawi","10218137","109457001","0.093","62,257,532"
"FY 2012","Africa","Mali","0","53948136","0.0","0"
"FY 2012","Africa","Mozambique","1234856","204176284","0.006","2,459,600"
"FY 2012","Africa","Namibia","1000000","44228866","0.023","514,000"
"FY 2012","Africa","Nigeria","2900000","285838643","0.01","2,800,000"
"FY 2012","Africa","Rwanda","709000","113963681","0.006","945,341"
"FY 2012","Africa","Senegal","483000","114912007","0.004","494,050"
"FY 2012","Africa","South Africa","8200000","319259016","0.026","18,800,000"
"FY 2012","Africa","South Sudan","0","235616518","0.0","0"
"FY 2012","Africa","Sudan","0","2147525","0.0","0"
"FY 2012","Africa","Tanzania","15550000","245665323","0.063","15,550,000"
"FY 2012","Africa","Uganda","1159000","244879954","0.005","2,331,982"
"FY 2012","Africa","West Africa Regional Program","0","78025702","0.0","0"
"FY 2012","Africa","Zambia","4652114","221154161","0.021","4,652,114"
"FY 2012","Africa","Zimbabwe","250000","70045903","0.004","80,000"
"FY 2012","Asia","Cambodia","565000","79346509","0.007","661,000"
"FY 2012","Asia","Indonesia","3149600","197981511","0.016","3,721,000"
"FY 2012","Asia","Mongolia","0","5415551","0.0","0"
"FY 2012","Asia","Philippines","2480000","100131428","0.025","6,716,000"
"FY 2012","Asia","Timor-Leste","450000","21069994","0.021","450,000"
"FY 2012","Asia","Vietnam","2450000","70545564","0.035","2,450,000"
"FY 2012","Asia","Regional Development Mission Asia","2944000","149411675","0.02","24,708,381"
"FY 2012","Asia","Bangladesh","12874000","216476895","0.059","25,235,000"
"FY 2012","Asia","India","8200000","97804192","0.084","8,200,000"
"FY 2012","Asia","Nepal","557798","42549839","0.013","557,798"
"FY 2012","Asia","Sri Lanka","0","12462896","0.0","0"
"FY 2012","Asia","Central Asia Regional","0","69698131","0.0","0"
"FY 2012","Asia","Kyrgyzstan","0","50591757","0.0","0"
"FY 2012","Europe and Eurasia","Albania","500000","10159955","0.049","2,500,000"
"FY 2012","Europe and Eurasia","Armenia","1501670","22757654","0.066","2,405,139"
"FY 2012","Europe and Eurasia","Azerbaijan","100000","14770478","0.007","100,000"
"FY 2012","Europe and Eurasia","Belarus","0","8914837","0.0","0"
"FY 2012","Europe and Eurasia","Bosnia","1500000","20769038","0.072","2,500,000"
"FY 2012","Europe and Eurasia","Georgia","1478000","104302166","0.014","1,709,877"
"FY 2012","Europe and Eurasia","Kosovo","0","18220284","0.0","0"
"FY 2012","Europe and Eurasia","Macedonia","0","14118414","0.0","0"
"FY 2012","Europe and Eurasia","Moldova","2014357","17580307","0.115","2,014,357"
"FY 2012","Europe and Eurasia","Montenegro","0","913365","0.0","0"
"FY 2012","Europe and Eurasia","Russia","4630525","29887893","0.155","40,000,000"
"FY 2012","Europe and Eurasia","Serbia","5000","15069727","0.0","15,000"
"FY 2012","Europe and Eurasia","Ukraine","11505702","81887134","0.141","8,843,273"
"FY 2012","Latin America","Barbados","0","15614011","0.0","0"
"FY 2012","Latin America","Bolivia","275315","16172402","0.017","814,125"
"FY 2012","Latin America","Brazil","682920","8392008","0.081","1,490,724"
"FY 2012","Latin America","Central America and Mexico","0","21402975","0.0","0"
"FY 2012","Latin America","Colombia","7388200","226373881","0.033","27,104,164"
"FY 2012","Latin America","Dominican Republic","409596","37405998","0.011","531,257"
"FY 2012","Latin America","Ecuador","1502059","7507625","0.2","23,640,228"
"FY 2012","Latin America","El Salvador","2590000","32827319","0.079","1,593,083"
"FY 2012","Latin America","Guatemala","13683241","75164472","0.182","13,262,490"
"FY 2012","Latin America","Haiti","750000","209460527","0.004","6,075,650"
"FY 2012","Latin America","Honduras","1500000","35567306","0.042","916,545"
"FY 2012","Latin America","Jamaica","1861014","11767076","0.158","1,250,000"
"FY 2012","Latin America","Mexico","3989726","62437974","0.064","2,818,997"
"FY 2012","Latin America","Nicaragua","2832085","11021028","0.257","6,727,003"
"FY 2012","Latin America","Paraguay","0","9927968","0.0","12,235,662"
"FY 2012","Latin America","Peru","2900000","40469167","0.072","5,697,090"
"FY 2012","Latin America","South America Regional","0","5466137","0.0","0"
"FY 2012","Middle East","Egypt","0","68238696","0.0","0"
"FY 2012","Middle East","Iraq","0","274598116","0.0","0"
