"uuid","region","country","proj_nm","st_date","end_date","awd_amount","awd_value","implementer","sector","intervention","intervention_type","proj_desc","proj_res","rfp_rftop","final_res","mind_eval","final_eval","audit","interim_rep","addl_docs","addl_info","corruption","stability"
"83","East Asia and Pacific (EAP)","East Timor","MCC Timor-Leste Threshold Program","2010","2012","d) $10 M-$25 M","10496000","Casals & Associates","Rule of Law, Local Government, Healthcare","Court Ethics, Public Information, Service Delivery, Citizen Participation","Transparency, Accountability, Participation","The Timor-Leste threshold program aimed to reduce corruption by building a network of functioning and effective anti-corruption institutions and actors.  It aimed to support the Anti-Corruption Commission (ACC) to become the lead agency for anti-corruption education, prevention, and investigation, and to build the Office of Prosecutor General (OPG)'s investigative and prosecutorial skills, particularly for corruption cases and economic crimes. Moreover, it aimed to strengthen the auditing capabilities of internal government audit entities and establish an external audit authority to improve the Government of Timor-Leste's ability to prevent and detect instances of corruption, and strengthen Parliament's role through increased oversight of the government's fiscal management practices.  Furthermore, the program aimed to improve access to immunization services by creating a more capable and effective community health system.  The main goal was to strengthen service delivery and identification of unimmunized children by identifying underserved areas, developing long-term solutions to improve, maintain higher coverage rates, immunize chronically low-coverage areas, and institutionalize the Integrated Community Health Services Units (SISCa) as functional healthcare service units in all project supported districts.","With the support of the project, the country passed a key anti-money laundering law in December 2011 and further improved it bringing the legislation into compliance with international standards. The amendments expanded the tools to tackle money laundering to cover a greater number of criminal offenses, including corruption, embezzlement, drugs and arms trafficking, child pornography and other crimes. A more effective procedure to suspend suspicious transactions was put in place along with new tools to collect evidence, such as telephone wiretaps, email surveillance, controlled deliveries and the use of undercover agents. The threshold program's work also supported a grass-roots approach to motivate the public and government to act against corruption. The program made strides to raise awareness and understanding of the causes and consequences of corruption throughout the country. Outreach included radio and TV shows, a music CD, a YouTube channel, an illustrated storybook for children and a guide written for the general public on how to recognize and report corruption. Events were held across Timor-Leste to launch anti-corruption awareness campaigns. The government of Timor-Leste promoted the campaign as well. Public schools nationwide, for example, will include the illustrated storybook in the fifth- and sixth-grade curriculums; the threshold program funded 64,000 copies of the book, which seeks to instill anti-corruption values among children and teenagers by making them think about the ethical dilemmas faced by the book's protagonists.",,,,,,,"http://www.mcc.gov/pages/countries/program/timor-leste-threshold-program","http://iipdigital.usembassy.gov/st/english/article/2014/06/20140608300961.html","High Corruption","Unstable"
"88","East Asia and Pacific (EAP)","East Timor","Corruption Assessment: Timor-Leste","2009","2009","a) <$1 M",,"Management Systems International (MSI)","Governance","Assessment","Assessment","This report analyzed the status of corruption and anticorruption programs in Timor-Leste, focusing on particular vulnerabilities to corruption abuses. It offered priority programming options for use by USAID, the Government, other donors, and non-governmental organizations to consider in subsequent years.","Conducted anticorruption assessment, provided recommendations for future programming.",,,,,,,,,"High Corruption","Unstable"
"84","East Asia and Pacific (EAP)","East Timor","Support to Local Governance, Elections and Civil Society in Timor-Leste","2008","2010","b) $1 M-$5 M","3000000","The Asia Foundation","Local Government, Civil Society","Legal/Institutional Strengthening/Reform, Citizen Participation, Public Awareness","Awareness, Participation","The Support to Local Governance, Elections and Civil Society in Timor-Leste program set a goal to enhance the capacity of newly-elected suco councils and to strengthen citizen participation in village and municipal governance. The program was focused on strengthening the capacity of 150 suco councils in the four municipalities of Oecusse, Bobonaro, Ainaro, and Baucau strengthen citizen participation in village and municipal governance.","The Support to Local Governance, Elections and Civil Society in Timor-Leste program conducted an orientation training to orient newly elected council members with their duties and clarify their working relationships with new municipal governments. It implemented the Suco Governance Performance Scale to provide clear performance measures to enable partner councils to track improved performance year-to-year. Suco participatory planning and implementation workshops also brought Council members and citizens together to establish a shared vision, set priorities, and make action plans. Flexible follow-on training were conducted to respond to needs as they emerged, focusing on the broad areas of updating traditional practices and building operational skill.","https://www.devex.com/projects/tenders/support-for-local-governance-elections-and-civil-society-in-timor-leste/9642",,,,,,"http://asiafoundation.org/resources/pdfs/TimorLesteGovernance.pdf",,"High Corruption","Unstable"
"85","East Asia and Pacific (EAP)","East Timor","Justice Institutions Strengthening Project (JISP)","2005","2012","c) $5 M-$10 M","6900000","MSD","Rule of Law, Local Government","Court Administration, Citizen Participation","Accountability, Participation","The project's anticorruption element focused on providing professional advice and assistance to the first Anticorruption commissioner. The project's support ranged from strategic advice and planning, start-up administrative support and training, investigations training, and international exposure, to procurements and the delivery of a customized management information system. The project also aimed to inform the population about the judicial system and the public's role in anticorruption efforts.","The project's objectives led to the creation of an anticorruption forum designed to engage the public. It also successfully trained investigators within Anticorruption Commissioner's office by building capacity for the Commissioner's work. Similarly, the project provided general support and assistance to the Commissioner's office and particularly to its IT operations. The project provided training experts and created a system that would be capable of receiving sensitive and confidential information and intelligence from multiple sources, analyzing it, and producing reports which would facilitate and guide operational activities.",,"http://pdf.usaid.gov/pdf_docs/PDACW962.pdf",,,,,,,"High Corruption","Unstable"
"126","East Asia and Pacific (EAP)","Indonesia","Democratic Reform Support Program (DRSP)","2005","2010","d) $10 M-$25 M","17216018","RTI International","Local Government, Civil Society, Independent Agencies","Management Systems, Service Delivery, Fiscal Management, Advocacy, Public Awareness, Political Party/Election Oversight","Transparency, Accountability","The Democratic Reform Support Program (DRSP) aimed to support leading advocates of democratic reform from the public and private sector, and civil society to advance and safeguard key democratic reforms, including the rule of law, freedom of information, justice sector reform, free and fair elections and decentralization. DRSP also supported the development of a framework to directly elect local government heads, provide technical assistance to key government agencies to improve decentralization legislation, support efforts to fight local level corruption, and support efforts to implement special autonomy in Aceh and Papua.","This program assisted Indonesia in its commitment to create a stable democracy through open institutions, citizen participation, and increased transparency.  It collaborated with local implementing agencies and civil society organizations to strengthen key democratic institutions and policies, while promoting government accountability, transparency, and citizen involvement.  Local initiatives to increase accountability within national election systems, safeguard media freedoms, improve the quality of and public participation in the legislative process, and foster openness in the court system were all supported.  For example, there was support for the passage of a freedom of information law and collaboration with the Ministry of Communications and Information on its implementation. This would strengthen the country's anti-corruption effort while also keeping citizens better informed.  Other efforts included support for an Integrity Pact between Transparency International Indonesia and the National Election Commission on campaign and political party finance oversight, support for the National Legislature to develop a new budget system open to public scrutiny, and work on a new Village Governance Law that would establish direct citizen involvement in selecting and managing local councils.",,,,,,,"http://pdf.usaid.gov/pdf_docs/pnadh311.pdf","http://www.rti.org/page.cfm?nav=369&obj=8339AF85-B557-4432-8248A401E2707FB2","High Corruption","Very Unstable"
"86","East Asia and Pacific (EAP)","East Timor","Rule of Law in Timor-Leste Assessment","2007","2007","a) <$1 M",,"American Bar Association Rule of Law Initiative (ABA ROLI)","Rule of Law","Assessment","Assessment","The tri-national, multi-disciplinary assessment team spent three weeks conducting open-ended interviews with over 100 relevant actors at both state and local levels, including: village elders and Suco leaders; representatives from government ministries, media outlets, religious organizations, civil society, and myriad nongovernmental organizations.  In addition, they interviewed representatives from the United Nations Mission in Timor-Leste (UNMIT) and other international agencies and missions. Though based in Dili, team members traveled to both Suai (and the nearby border with Indonesia) and Baucau. Led by its Timor-Leste assessment team members, they identified the over-arching factors and system breakdowns impeding progress toward the Rule of Law, and devised recommendations to address those breakdowns.","Foreign assistance to advance the Rule of Law in Timor-Leste had a vital impact given the lack of institutions and shortages of qualified legal and judicial personnel after independence. Timor-Leste inherited a barely functioning legal system that was plagued by systemic weaknesses. The program was able to provide targeted, foundational, cost-efficient assistance to key justice actors, ministries, and agencies.",,"http://pdf.usaid.gov/pdf_docs/pnadk366.pdf",,,,,,,"High Corruption","Unstable"
"87","East Asia and Pacific (EAP)","East Timor","Access to Justice and Legislative Development","2002","2012","-",,"The Asia Foundation","Rule of Law, Civil Society","Court Administration, Watchdog","Transparency, Awareness, Participation","This program aimed to build an independent judicial system through performance monitoring by civil society organizations and the media. The project was also set to support legal advocacy campaigns to facilitate collaboration between governmental institutions and civil society. It also aimed at establishing competent, accessible legal aid services and dispute resolution mechanisms at the community level which would strengthen capacity to resist administrative corruption. Finally, the project aimed to increase transparency of the judicial process and information for citizens to access the justice system, particularly for marginalized populations.","The project was able to monitor the openness and willingness of the MOJ, Court of Appeal, and other justice sector institutions to cooperate on more structural issues in the justice sector. The project has worked to improve the production and dissemination of information to promote more informed court judgments, including better compliance with East Timorese law, and greater transparency about Timor-Leste's evolving legal framework.",,"http://pdf.usaid.gov/pdf_docs/PDACX856.pdf",,,,,"http://asiafoundation.org/resources/pdfs/TimorLesteAccesstoJustice.pdf",,"High Corruption","Unstable"
"89","Latin America and Caribbean (LAC)","Ecuador","Project ""Si, se puede! Anti-Corruption - Ecuador""","2003","2006","b) $1 M-$5 M","3600000","Management Systems International (MSI)","Local Government, Civil Society","Citizen Participation, Internal Controls, Advocacy","Transparency, Accountability","The program combated corruption by improving the transparency and accountability of key democratic institutions, increasing the oversight capacity of civil society, and increasing policy consensus in key democracy areas. These project objectives directly supported the strategic objective of ""Increased citizen support for democracy"" which is measured by the level of citizens' perception of corruption.","The program trained over 20,000 individuals through courses, seminars, workshops, forums and conferences. These courses trained public servants, business leaders, university professors and students, and the general Ecuadorian society, in techniques and practices to detect, prevent and investigate corruption at all levels. The program achieved diffusion of programmatic messages among various audiences through innovative means. The Program also strengthened investigative and influential abilities for the mass media, journalists and university students in communications. Lastly, the program successfully implemented a system to access the information through the broadcast and application of the Law of Access to Public Information.",,"http://pdf.usaid.gov/pdf_docs/PDACI038.pdf",,,,,,,"High Corruption","Unstable"
"90","Latin America and Caribbean (LAC)","Ecuador","Decentralization and Democratic Local Governance Project (DDLGP)","2001","2006","d) $10 M-$25 M","11359000","TetraTech ARD","Local Government, Civil Society","Management Systems, Service Delivery, Internal Controls, Citizen Participation, Public Awareness","Transparency, Awareness","The Decentralization and Democratic Local Governance Project (DDLGP) in Ecuador aimed to strengthen democratic local governance and the operations of Ecuadorian municipalities. In Ecuador, DDLGP was known as the 3D project (Democracy, Decentralization, Development). DDLGP had three integrated components: municipal strengthening (through technical training and stakeholder participation), citizen participation (focused on the mechanisms of citizen participation in local government decision making to help ensure that resources and projects were directed at solving the priority concerns of the community), and decentralization policy reform (in support of the transfer of authority to subnational government units, legal and regulatory reform, and coordination of policy reform initiatives.)","Through small grants the program supported social infrastructure and equipment for specific municipal services. Working with mayors, council members, and representatives of civil society organizations within the municipalities the program organized strategic planning workshops in each locality.  Using the Advanced Participation Methods manual, trained facilitators led groups of up to 100 local sector participants in identifying major problem areas confronting the community and reaching consensus on priority public services. The Decentralization Advisory Committee devised effective strategies to move the decentralization agenda forward and give the project credibility in political circles and in the donor community.",,,,"http://pdf.usaid.gov/pdf_docs/PDACH794.pdf",,,"http://www.tetratechintdev.com/intdev/index.php?option=com_k2&view=item&id=154%3Aecuador-decentralization-and-democratic-local-governance-project-ddlgp&Itemid=60&lang=us",,"High Corruption","Unstable"
"127","East Asia and Pacific (EAP)","Indonesia","Justice Sector Reform Program (JSRP)","2006","2010","c) $5 M-$10 M","9000000","The Asia Foundation","Rule of Law","Court Administration, Professional Legal Education/Training, Public Information","Transparency, Awareness","The Justice Sector Reform Program (JSRP) in Indonesia was responsible for ensuring achievement of the program objectives of developing a more effective, transparent, accountable and independent judicial branch of government and assisting in the implementation of the roadmap for reform of the public prosecution system.  In addition, a sub-grant was made to conduct the Indonesia Corruption Perception Index 2010 Survey and a public awareness campaign on corruption levels in Indonesia.  The survey aimed to measure corruption levels in 50 cities around Indonesia.","Not available","http://www.grants.gov/custom/viewOppDetails.jsp?oppId=50225",,,,,,"http://asiafoundation.org/in-asia/2009/04/29/justice-sector-coordination-is-antidote-for-corruption-in-indonesia/","http://asiafoundation.org/resources/pdfs/indolegalreform07.pdf","High Corruption","Very Unstable"
"91","Latin America and Caribbean (LAC)","Ecuador","Municipal Strengthening Project","2010","2013","-",,"RTI International","Local Government, Civil Society","Management Systems, Service Delivery, Internal Controls, Citizen Participation, Public Awareness","Transparency, Accountability, Awareness","The purpose of the Municipal Strengthening Project (PROMUNI) in Ecuador was to provide technical expertise to municipal governments, primarily to promote effective and accountable governance at the local level and to formalize citizen participation in the decision-making and oversight processes. PROMUNI's primary objective was to increase local governments' capacity in public management in 30 municipalities. In addition, the program enhanced public participation by including citizens in strategic planning processes and fostered transparency by improving access to information.","The project strengthened national-level democratic processes and institutions in Ecuador by demonstrating the benefits of better local governance and by promoting values of responsible public management and active citizenry at the local level. And by strengthening local governments, PROMUNI encouraged more responsive and effective governance that advanced the priorities of communities in a transparent manner and improved citizens' lives. The PROMUNI served as facilitators working through Ecuadorean organizations in order to ensure effective and sustainable results.",,,,,,"http://pdf.usaid.gov/pdf_docs/PA00JKFM.pdf","http://www.rti.org/page.cfm?objectid=82C8991F-5056-B100-3110207C83CA0021",,"High Corruption","Unstable"
"92","Middle East and North Africa (MENA)","Egypt","Egypt Competitiveness Project (ECP)","2010","2014","e) $25 M-$50 M","26582103","Chemonics","Economic Growth, Private Sector, Public Finance","Professional Education, Corporate Governance, Advocacy, Customs","Accountability","The ECP program built on previous reforms through Egypt's Competitiveness Project, providing technical assistance to enhance Egypt's competiveness through regulatory reform, streamlined business processes, improved labor skills and productivity, and modernization of the financial sector. The project supported Egypt's goal of promoting a globally competitive, educated, and innovative human resources-based economy that benefits Egyptians equitably. The focus was on four broad productivity drivers of competitiveness, including conducive regulatory reforms, streamlining business processes, improving labor skills/productivity, and strengthening the financial sector.","As of September 2013, ECP finished the TA, software, and training to the Commercial Registry (formerly known as the Unified Business Registry) and provided support regional registration centers. It made some headway in restructuring the Integrated Tax Management Accounting System (ITMAS). ECP set up School Based Training Units (SBTUs) and School Based Employment Units (SBTUs) in 23 schools across Egypt, and developed and conducted trainings in all of these units under agreements with the Ministry of Education (MOE).  The project worked with the Egyptian Financial Supervisory Authority (EFSA) and its Financial Sector Institute (FSI) to strengthen the non-bank financial supervision, and train its employees and the private sector. ECP also trained thousands of entrepreneurs and would be entrepreneurs on starting, growing, and providing financing/equity capital for entrepreneurs with high-growth potential in Egypt.","http://egateg.usaid.gov/sites/default/files/Egypt Competitiveness Project (ECP) SOW.pdf",,,,,"http://pdf.usaid.gov/pdf_docs/PA00JT2G.pdf","http://www.chemonics.com/OurWork/OurProjects/Pages/Egypt%E2%80%99s-Competitiveness-Program.aspx",,"High Corruption","Unstable"
"135","East Asia and Pacific (EAP)","Indonesia","Local Governance Support Program (LGSP)","2005","2009","f) $50 M-$100 M","61800000","RTI International","Local Government, Civil Society","Public Awareness, Budget, Citizen Participation","Transparency, Accountability","The Local Governance Support Program (LGSP) was to support expanding participatory, effective and accountable governance through an integrated set of assistance activities engaged with local governments (LGs), legislative councils, and civil society organizations (CSOs). Specifically, LGSP sought to strengthen the core competencies of local administrations in strategic and participatory planning, finance, budgeting, and accounting; and management systems for public service delivery. It also sought to strengthen demand for democratic governance at a local level by working with local councils and civil society and media.","The project facilitated adoption of 49 local regulations related to participatory and transparent planning and budgeting and helped 29 local governments develop a strategic plan through a participatory process. It assisted local governments with developing accounting and financial management systems that led to 121% improvement in local government performance in the accounting function, 55% improvement in performance-based budgeting, and 66% improvement in asset management. In collaboration with the Millennium Challenge Corporation's Indonesia Control of Corruption (ICC) Project, which installed hardware and systems for government e-procurement in several provinces, LGSP assisted in establishing a regional electronic procurement agency in West Java that resulted in  30% savings in the provincial administrative budget. LGSP assisted in drafting local regulations on improving service delivery in 29 local governments, and developed, field tested, and advised the Ministry of Home Affairs on legislation on application of the service improvement action planning model, electronic citizen information service (e-CIS, or ""SPIPM"" as known in Indonesian), public service contracting and development of plans to achieve minimum service standards in provision of local public services. LGSP prepared five handbooks to monitor public procurement and increase its transparency: anticorruption toolkit-tools for watchdog organizations; monitoring checklist-tracking of government procurement processes; basic principles and legal framework-primer to improve understanding; national strategy on prevention and eradication of corruption-practical guidance; and integrity pact implementation manual-how to adopt this instrument. The project also built the capacity of CSOs to monitor and report on service delivery performance of local governments and supported CSO advocacy, watchdog, and awareness projects including citizen report cards that were launched in 19 LGSP jurisdictions to survey citizen satisfaction with public services and electronic citizen information services (""SMS gateways"") established in 9 districts.",,"http://pdf.usaid.gov/pdf_docs/PDACP359.pdf",,,,,,,"High Corruption","Unstable"
"93","Middle East and North Africa (MENA)","Egypt","Water and Wastewater Sector Support (WWSS)","2008","2013","d) $10 M-$25 M","20443824","Chemonics","Environment, Local Government","Management Systems, Service Delivery, Fiscal Management","Accountability, Participation","The Water and Wastewater Sector Support program objectives were to promote the sustainability of water and sanitation utilities through technical assistance and training to the Holding Company for Water and Wastewater and its operating subsidiaries. The project aimed to build these organizations' capacity in water production and distribution, wastewater collection/treatment/disposal, and related capital improvements. The project was sought to assist to increase the financial and commercial viability of the utilities, develop and implement capital investment planning and program management, improve human resources management, increase managerial, technical, and operational efficiency, and improve service quality.","The project improved the capacity for local wastewater and water subsidiaries by developing utility-based educational initiatives.  It offered a train-the-trainer program and facilitated courses covering topics such as water leak detection, operation and maintenance of water and sanitation plants, and optimization of energy and chemical use. The project found success in job creation through essential service delivery program and public outreach campaigns. It developed a series of program management tools that led to $1.9 million of small-scale investments in water and sanitation networks, created and implemented the first-ever business plans for 11 water and wastewater companies, designed and launched five training programs tailored towards leadership development for junior-, mid-, and executive-level professionals, and assisted nine companies in streamlining financial planning, management, and reporting.",,"http://pdf.usaid.gov/pdf_docs/PA00JQXT.pdf","http://pdf.usaid.gov/pdf_docs/PDACT561.pdf",,,,"http://www.chemonics.com/OurWork/OurProjects/Pages/Water-and-Wastewater-Sector-Support-Project.aspx","http://www.usaid.gov/news-information/videos/water-wastewater-sector-support-project-egypt","High Corruption","Unstable"
"94","Middle East and North Africa (MENA)","Egypt","Water Policy and Regulatory Reform (WPRR)","2008","2013","d) $10 M-$25 M","19581027","Chemonics","Environment, Local Government, Legislature","Management Systems, Service Delivery, Fiscal Management, Public Information","Enforcement, Participation","The project goal was to solidify reform, develop clear implementation approaches, and achieve measurable results by providing technical services and related resources to strengthen the policy, legal, and regulatory framework for water and wastewater. The development and implementation of key reforms would be supported and the government's capacity to provide policy direction and effective oversight to the sector would be strengthened. Activities included developing a strategic plan for the sector, creating a framework for public-private partnerships, and improving capital-investment planning. These efforts aimed to improve the quality of water and wastewater services and extend their benefits to new customers.","WPRR staff drafted and compiled three volumes of standard contracting/construction management documents for use by the Government of Egypt in executing capital investment projects. A 12 session Project Management Professional training course was conducted for 15 members of the Ministry of Housing, Utilities, and Urban Development. Project staff and consultants developed and tested a prioritization model to help water and wastewater agencies plan, evaluate, and conduct a strategic capital investment program.  WPRR also provided oversight to an additional Ministry of Housing construction activity for the New Cairo raw water pipeline project.",,"http://www.chemonics.com/OurWork/OurProjects/Documents/Egypt WPRR Final Report September 2013.pdf",,,,,"http://www.chemonics.com/OurWork/OurProjects/Pages/Water-Policy-and-Regulatory-Reform.aspx","http://www.wprregypt.com/","High Corruption","Unstable"
"109","Europe and Eurasia (E&E)","Georgia","Georgia Business Climate Reform (GBCR)","2005","2009","d) $10 M-$25 M","12900000","Chemonics","Rule of Law, Economic Growth","Business Environment, Public Information","Transparency, Accountability","The Georgia Business Climate Reform (GBCR) project worked with the Georgian government to improve public management and streamline services for businesses and the public, including simplifying administrative procedures. The project also partnered with the government to improve tax and customs administration as well as to assist in the analysis, drafting, amendment, and implementation of commercial laws and improved business regulations.","GBCR contributed to the improved business environment by improving procedures and regulations of many governmental agencies. The project resulted in $743.7 million in annual monetized benefits to the public and private sectors; 121% increase in number of registered taxpayers from 2005 to 2008; 97% increase in total tax revenues from 2005 to 2008; 92% increase in foreign trade from 2005 to 2008; 67% percent increase in businesses registered from January 2005 to May 2009; and foreign direct investment increased from seven percent of gross domestic product in 2005 to 12 percent in 2008.",,"http://www.chemonics.com/OurWork/OurProjects/Documents/Georgia Business Climate Reform Final Report.pdf",,,,,"http://www.chemonics.com/OurWork/OurProjects/Pages/Georgia-Business-Climate-Reform.aspx",,"High Corruption","Unstable"
"95","Middle East and North Africa (MENA)","Egypt","Combatting Corruption and Promoting Transparency","2008","2012","b) $1 M-$5 M","1959935","Center for International Private Enterprise (CIPE)","Private Sector, Media","Corporate Governance, Investigative Reporting, Advocacy","Transparency, Accountability, Participation","The Combating Corruption and Promoting Transparency program was a multi-pronged approach effort to fight corruption in Egypt, and it involved prominent Egyptian experts representing business associations, civil society organizations, multinational corporations, political parties, academic institutions, and media outlets.  Furthermore, the program worked to empower partners to make the case for democratic, market-oriented reform, to advocate for economic policy reforms, and to combat corruption.","Two surveys on corruption in Egypt were conducted.  Four policy papers were produced - they covered government decentralization and corruption, access to information, bureaucratic reform, and government procurement reform. Moreover, In 2010, a Guide to Transparency for the Private Sector, which spelled out a process for firms to develop employee codes of financial conduct that met national and international standards, was produced and distributed to 1,000 associations and firms.  Finally, in 2009 and 2010, workshops were conducted for over 100 journalists from 20 media outlets, designed to enhance the journalists' investigative reporting skills, particularly in covering corruption. 'Investigating in Egypt: A Reporter's Toolkit' was also published and 1,000 copies were distributed.",,,,,,,"http://www.cipe.org/sites/default/files/publication-docs/egyptFlyer_090211.pdf",,"High Corruption","Unstable"
"136","East Asia and Pacific (EAP)","Indonesia","Democratic Decentralization Strategic Assessment","2008","2009","a) <$1 M","102600","TetraTech ARD","Local Government","Assessment","Assessment","The project aimed to review a large collection of documents on the recent history and current status of Indonesian decentralization prior to field work. This assessment is the first of a series that will apply an analytical framework developed in DCHA/DG.1 The assessment begins by identifying salient features of the Indonesian context and tracing the historical evolution of decentralization in the country. This allows for an appreciation of the goals that prompted the government to engage in decentralization reform. Section 2 of the assessment identifies the key decentralization deficits that continue to confront reform by examining the four principal characteristics of Democratic Decentralized Local Governance (DDLG), namely authority, autonomy, accountability, and capacity. This leads to an identification of the range of constraints that might be addressed by an assistance program. Section 3 then examines the feasibility of various types of reform by utilizing a political economy optic that identifies the key actors and the interests that condition their perspective on decentralization reform. Distinguishing winners and losers from decentralization helps to gauge the likely support for and opposition to various paths of reform. Section 4 delves into the three institutional arenas in which the decentralization process plays out - the national, subnational, and civil society arenas.","The project results aim to provide next steps on decentralization in Indonesia. The recommended strategic approach is for a local governance program to concentrate on the promotion of autonomy and accountability. The autonomy objective would seek to improve service delivery in select sectors, increase community participation in setting visions and planning, and enhance the collection of own source revenues. The best way for the central government to support autonomy for local governments is to grant them the right to assess and collect taxes with significant potential for expansion, and to encourage them to bargain with local businesses and ordinary citizens to gradually ratchet up taxes and fees in exchange for better services and more favorable policies. Secondly, the Mission strategy would ideally focus on improving the accountability of local government, specifically in regards to transparency and oversight of service delivery in select sectors.",,"http://pdf.usaid.gov/pdf_docs/pnadq231.pdf",,,,,,,"High Corruption","Unstable"
"96","Middle East and North Africa (MENA)","Egypt","Combating Violence against Women and Children Project (CVAWC)","2007","2012","d) $10 M-$25 M","17823999","Chemonics","Civil Society, Rule of Law","Public Information, Legal Assistance, Legal/Institutional Strengthening/Reform","Participation","The Combating Violence against Women and Children Project in Egypt worked with the National Council for Women to commission a ground-breaking study of violence against women.  Based on recommendations from the study, it supported the development of a national strategy to combat violence against women. The project also supported implementation of the 2008 Amended Child Law, particularly provisions that establish a nation-wide child protection network - it has trained child protection committees, the local bodies set up to implement the law. The project also provided grant funds, technical assistance, and training to non-governmental organizations that provided legal and other services to vulnerable children.","With the support of the project, the government and civil society organizations possessed data and a detailed plan to combat violence against women (VAW). The project supported the Egypt Violence against Women Study that provided Egyptian institutions have the factual and expert grounding to advance the nation's efforts to reduce VAW. The project educated judges, prosecutors, social workers, and NGO lawyers about the amended Child Law. It also supported networks of individuals and organizations that actively raised public awareness about VAW and violence against children (VAC), and provided urgently needed services to its victims and at-risk children. 7,192 women received services and training on violence against women and 21,317 people attended awareness-raising/training on general VAW Issues. 5,297 children were provided with legal assistance and 2,595 - with social and psychological counseling. 984 community leaders were trained on raising awareness on children's rights and 13,414 people attended awareness seminars.",,"http://pdf.usaid.gov/pdf_docs/PA00JTRC.pdf",,,,,"http://www.chemonics.com/OurWork/OurProjects/Pages/Combating-Violence-against-Women-and-Children.aspx",,"High Corruption","Unstable"
"97","Middle East and North Africa (MENA)","Egypt","Administration of Criminal Justice Project (AOCJ)","2006","2011","d) $10 M-$25 M","18252815","Chemonics","Rule of Law","Court Administration, Case Management, Professional Legal Education/Training","Transparency, Awareness","The Administration of Criminal Justice (AOCJ) Project worked with the Egyptian government to improve the administration of criminal justice. The project helped to automate prosecutorial files to ensure that they were complete and that cases could be efficiently and fairly processed. It also helped to strengthen the system provided by law for appointing qualified counsel to represent defendants. The project also helped train prosecutors on the right to counsel, as well as human rights issues.","This project helped to create a customized case management system software.  It established the Prosecution Information Center (PIC) to serve as a state of the art IT support center for the public prosecution.  It also established public information desks in 19 prosecution offices across the country, trained prosecutors on human rights in criminal justice, and created a new human rights in criminal justice training curriculum.",,,,,,"http://pdf.usaid.gov/pdf_docs/PDACM277.pdf","http://www.chemonics.com/OurWork/OurProjects/Pages/Egypt-Administration-of-Criminal-Justice-Project.aspx",,"High Corruption","Unstable"
"98","Middle East and North Africa (MENA)","Egypt","Technical Assistance for Policy Reform II (TAPR-II)","2005","2010","g) >$100 M","138245857","BearingPoint Inc.","Economic Growth","Taxation, Customs, Financial Management Systems","Transparency, Accountability","The project's objectives were to promote investment, improve Egypt's financial structure and services, support macroeconomic stabilization, increase trade and investment, and strengthen the private sector. The project sought to reduce government's role, deregulate burdensome regimes, streamline processes, and harmonize policies, laws, and regulations that govern economic institutions. It also was tasked to build the capacity of individuals and institutions that were necessary to support the implementation of these reforms to assure that policies, processes and procedures, that were implemented and adopted, will be appropriately sustained and institutionalized.","The project resulted in increased efficiency and institutional capabilities of border agencies; improved commercial legislation and policies and strengthened the governance practices body to create an enabling environment for business. It also contributed to transforming the Egyptian National Competitiveness Council into a globally recognized entity and a founding member of the Global Federation of Competitiveness Councils.","https://www.fbo.gov/index?s=opportunity&mode=form&id=cb8c331035a23fe791532550037cdaac&tab=core&_cview=1","http://pdf.usaid.gov/pdf_docs/PDACQ924.pdf","http://pdf.usaid.gov/pdf_docs/PA00JMXB.pdf",,,,"http://www.deloitte.com/view/en_US/us/Insights/Browse-by-Content-Type/Case-Studies/8ff5e42c180da310VgnVCM2000003356f70aRCRD.htm",,"High Corruption","Unstable"
"99","Middle East and North Africa (MENA)","Egypt","Egypt Financial Services Project (FSP)","2004","2010","e) $25 M-$50 M","33877672","Chemonics","Economic Growth","Public Finance, Business Environment","Transparency, Accountability","The goal of the FSP was to build the market infrastructure required for real estate financing and other forms of secured lending through technical assistance aimed at institutional strengthening, regulatory reform, and professional development. The overall goal was to be achieved through: 1) technical assistance for the development of real estate finance channels, that includes a sound legal framework, consistently applied credit underwriting procedures, access to long-term funding for real estate activities and support to financial institutions; 2) technical support for improving the legal and institutional process for collateralized financing which includes modernization of the system of registration of real property and introducing improved procedures for recording liens and repossessing collateral; 3) support for an improved credit information system which will produce a state-of-the art low-cost collection, retrieval and management of information system; and  4) assistance with development of innovations in financial instruments which will seek to broaden the range of financial instruments that mobilize resources for productive investment.","The project helped to strengthen the regulatory capabilities of Egypt's Mortgage Finance Authority by standardizing mortgage lending and underwriting processes to promote Egypt's use of secured lending instruments to increase the use of proper mortgages. It also succeeded in assisting the Central Bank of Egypt to strengthen its oversight and supervision of the Egyptian private credit bureau. The project assisted with establishing a framework for the real estate finance industry, providing support to the Capital Markets Authority for developing new financial instruments such as asset-backed securities, and assisting in drafting model legislation and regulatory procedures for the protection of consumers' rights for the first private credit bureau established in Egypt. It also assisted with drafting regulations and procedures governing mortgage loan underwriting and preparing underwriting documentation; providing technical assistance to mortgage industry professionals who have administrative, regulatory, and banking responsibilities; and training mortgage industry professionals. The project also established a model property registry office and provided technical assistance to re-engineer Egyptian business processes for property registration.","https://www.fbo.gov/?s=opportunity&mode=form&tab=core&id=8f78665e126d63edb9529f1d52c3e36a&_cview=1",,,,"http://oig.usaid.gov/sites/default/files/audit-reports/6-263-10-002-p.pdf",,,,"High Corruption","Unstable"
