"country","policy_area","secondary_policy_area_with","progress_to_date"
"ECAM","Institutional Architecture for Improved Policy Formulation","Institutional Architecture","7- In progress - on target"
"ECAM","Institutional Architecture for Improved Policy Formulation","Land & Resilience","7- In progress - on target"
"ECAM","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","7- In progress - on target"
"Guatemala","Markets & Trade","Institutional Architecture","Completed"
"ECAM","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","7- In progress - on target"
"Ethiopia","Agricultural Inputs","Markets & Trade","In progress - behind target"
"Ethiopia","Agricultural Inputs","Enabling Environment","Completed"
"Ethiopia","Agricultural Inputs","Enabling Environment","Completed"
"Ethiopia","Agricultural Inputs","Enabling Environment","Completed"
"Ethiopia","Agricultural Inputs","Enabling Environment","Completed"
"Ethiopia","Agricultural Inputs","Enabling Environment","In progress - on target"
"Ethiopia","Agricultural Inputs","Same","Completed"
"Ethiopia","Markets & Trade","Mutual Accountability","On hold"
"Ethiopia","Enabling Environment for Private Sector Investment","Same","On hold"
"Ethiopia","Enabling Environment for Private Sector Investment","Same","In progress - on target"
"Ethiopia","Enabling Environment for Private Sector Investment","Same","On hold"
"Ethiopia","Enabling Environment for Private Sector Investment","Same","In progress - behind target"
"Ethiopia","Enabling Environment for Private Sector Investment","Same","In progress - behind target"
"Ethiopia","Enabling Environment for Private Sector Investment","Same","Completed"
"Ethiopia","Enabling Environment for Private Sector Investment","Same","Completed"
"Ethiopia","Enabling Environment for Private Sector Investment","Land & Resilience","Completed"
"Ethiopia","Enabling Environment for Private Sector Investment","Markets & Trade","On hold"
"Ethiopia","Enabling Environment for Private Sector Investment","Same",
"Ethiopia","Enabling Environment for Private Sector Investment","Same","In progress - behind target"
"Ethiopia","Markets & Trade","Agricultural Inputs","In progress - behind target"
"Ethiopia","Enabling Environment for Private Sector Investment","Agricultural Inputs","In progress - behind target"
"Ethiopia","Enabling Environment for Private Sector Investment","Agricultural Inputs","In progress - behind target"
"Ethiopia","Enabling Environment for Private Sector Investment","Institutional Architecture",
"Ethiopia","Institutional Architecture for Improved Policy Formulation","Markets & Trade","In progress - behind target"
"Ethiopia","Land","Enabling Environment","On hold"
"Ethiopia","Land","Institutional Architecture","In progress - behind target"
"Ethiopia","Land","Institutional Architecture","In progress - behind target"
"Ethiopia","Land","Same","In progress - behind target"
"Ethiopia","Land","Mutual Accountability","In progress - behind target"
"Ethiopia","Land","Enabling Environment","In progress - on target"
"Ethiopia","Nutrition Policy","Institutional Architecture","On hold"
"Ethiopia","Nutrition Policy","Institutional Architecture","In progress - on target"
"Ethiopia","Risk & Resilience","Same","Completed"
"Ethiopia","Risk & Resilience","Institutional Architecture","Completed"
"Ethiopia","Risk & Resilience","Institutional Architecture","Completed"
"Ethiopia","Risk & Resilience","Same","Completed"
"Ethiopia","Risk & Resilience","Markets & Trade","In progress - on target"
"Ghana","Agricultural Inputs","Enabling Environment","In progress - behind target"
"Ghana","Agricultural Inputs","Enabling Environment","In progress - on target"
"Ghana","Agricultural Inputs","Institutional Architecture","In progress - on target"
"Ghana","Agricultural Inputs","Enabling Environment","In progress - behind target"
"Ghana","Agricultural Inputs","Enabling Environment","In progress - behind target"
"Ghana","Agricultural Inputs","Enabling Environment","In progress - on target"
"Ghana","Agricultural Inputs","Enabling Environment","In progress - on target"
"Ghana","Agricultural Inputs","Enabling Environment","Completed"
"Ghana","Institutional Architecture for Improved Policy Formulation","Enabling Environment","Completed"
"Ghana","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - on target"
"Ghana","Institutional Architecture for Improved Policy Formulation","Enabling Environment","On hold"
"Ghana","Land","Enabling Environment","Completed"
"Ghana","Land","Institutional Architecture","In progress - on target"
"Ghana","Land","Enabling Environment","Completed"
"Ghana","Land","Enabling Environment","On hold"
"Ghana","Nutrition Policy","Institutional Architecture","In progress - on target"
"Ghana","Nutrition Policy","Institutional Architecture","In progress - on target"
"Guatemala","Agricultural Inputs","Same","In progress - on target"
"Guatemala","Agricultural Inputs","Same","In progress - on target"
"Guatemala","Agricultural Inputs","Institutional Architecture","In progress - on target"
"Guatemala","Agricultural Inputs","Same","In progress - on target"
"Guatemala","Agricultural Inputs","Institutional Architecture","In progress - on target"
"Guatemala","Markets & Trade","Markets & Trade","Completed"
"Guatemala","Markets & Trade","Same","Completed"
"Guatemala","Markets & Trade","Same","Completed"
"Guatemala","Markets & Trade","Same","Completed"
"Guatemala","Markets & Trade","Institutional Architecture","Completed"
"Guatemala","Markets & Trade","Institutional Architecture","Completed"
"Guatemala","Enabling Environment for Private Sector Investment","Institutional Architecture","Completed"
"Guatemala","Enabling Environment for Private Sector Investment","Institutional Architecture","Completed"
"Honduras","Markets & Trade","Markets & Trade","Completed"
"Honduras","Markets & Trade","Same","In progress - on target"
"Honduras","Markets & Trade","Enabling Environment","Completed"
"Honduras","Enabling Environment for Private Sector Investment","Land & Resilience","Completed"
"Honduras","Enabling Environment for Private Sector Investment","Institutional Architecture","Completed"
"Honduras","Enabling Environment for Private Sector Investment","Institutional Architecture","Completed"
"Honduras","Enabling Environment for Private Sector Investment","Markets & Trade","Completed"
"Honduras","Enabling Environment for Private Sector Investment","Institutional Architecture","Completed"
"Honduras","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - on target"
"Honduras","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - behind target"
"Honduras","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - on target"
"Kenya","Agricultural Inputs","Markets & Trade","In progress - behind target"
"Kenya","Agricultural Inputs","Enabling Environment","On hold"
"Kenya","Agricultural Inputs","Enabling Environment","In progress - behind target"
"Kenya","Agricultural Inputs","Same","In progress - behind target"
"Kenya","Agricultural Inputs","Same","On hold"
"Kenya","Agricultural Inputs","Enabling Environment","In progress - behind target"
"Kenya","Agricultural Inputs","Same","On hold"
"Kenya","Markets & Trade","Same",
"Kenya","Markets & Trade","Same","On hold"
"Kenya","Markets & Trade","Same","On hold"
"Kenya","Markets & Trade","Same","In progress - behind target"
"Kenya","Markets & Trade","Same","In progress - behind target"
"Kenya","Markets & Trade","Same","In progress - behind target"
"Kenya","Enabling Environment for Private Sector Investment","Agricultural Inputs",
"Kenya","Enabling Environment for Private Sector Investment","Markets & Trade",
"Kenya","Enabling Environment for Private Sector Investment","Markets & Trade",
"Kenya","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","On hold"
"Kenya","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - on target"
"Kenya","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - behind target"
"Kenya","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - behind target"
"Kenya","Risk & Resilience","Same","In progress - behind target"
"Kenya","Risk & Resilience","Institutional Architecture","In progress - behind target"
"Kenya","Risk & Resilience","Institutional Architecture","Completed"
"Kenya","Risk & Resilience","Land & Resilience","In progress - on target"
"Kenya","Risk & Resilience","Institutional Architecture","On hold"
"Kenya","Risk & Resilience","Same","In progress - on target"
"Liberia","Agricultural Inputs","Institutional Architecture",
"Liberia","Agricultural Inputs","Enabling Environment","Completed"
"Liberia","Agricultural Inputs","Same","Completed"
"Liberia","Agricultural Inputs","Markets & Trade","Completed"
"Liberia","Markets & Trade","Same","In progress - behind target"
"Liberia","Markets & Trade","Agricultural Inputs","On hold"
"Liberia","Institutional Architecture for Improved Policy Formulation","Same","On hold"
"Liberia","Institutional Architecture for Improved Policy Formulation","Same","On hold"
"Liberia","Institutional Architecture for Improved Policy Formulation","Same","In progress - behind target"
"Liberia","Land","Same",
"Liberia","Land","Institutional Architecture","Completed"
"Malawi","Agricultural Inputs","Institutional Architecture","On hold"
"Malawi","Agricultural Inputs","Markets & Trade","In progress - behind target"
"Malawi","Enabling Environment for Private Sector Investment","Institutional Architecture","Completed"
"Malawi","Agricultural Inputs","Enabling Environment","In progress - on target"
"Malawi","Markets & Trade","Enabling Environment","In progress - on target"
"Malawi","Markets & Trade","Enabling Environment","In progress - behind target"
"Malawi","Markets & Trade","Same","In progress - on target"
"Malawi","Institutional Architecture for Improved Policy Formulation","Enabling Environment","Completed"
"Malawi","Institutional Architecture for Improved Policy Formulation","Enabling Environment","In progress - on target"
"Malawi","Nutrition Policy","Institutional Architecture","In progress - behind target"
"Malawi","Nutrition Policy","Institutional Architecture","In progress - behind target"
"Malawi","Nutrition Policy","Institutional Architecture","In progress - on target"
"Mali","Agricultural Inputs","Institutional Architecture",
"Mali","Agricultural Inputs","Enabling Environment","In progress - on target"
"Mali","Agricultural Inputs","Enabling Environment","In progress - on target"
"Mali","Agricultural Inputs","Markets & Trade","In progress - on target"
"Mali","Markets & Trade","Institutional Architecture",
"Mali","Markets & Trade","Institutional Architecture",
"Mali","Markets & Trade","Same",
"Mali","Enabling Environment for Private Sector Investment","Same","In progress - on target"
"Mali","Enabling Environment for Private Sector Investment","Same","In progress - on target"
"Mali","Institutional Architecture for Improved Policy Formulation","Same",
"Mali","Institutional Architecture for Improved Policy Formulation","Same","Completed"
"Mali","Institutional Architecture for Improved Policy Formulation","Same","Completed"
"Mali","Land","Same",
"Mali","Nutrition Policy","Same","In progress - on target"
"Mozambique","Agricultural Inputs","Same","Completed"
"Mozambique","Agricultural Inputs","Institutional Architecture","Completed"
"Mozambique","Agricultural Inputs","Enabling Environment","Completed"
"Mozambique","Agricultural Inputs","Enabling Environment","Completed"
"Mozambique","Agricultural Inputs","Enabling Environment","Completed"
"Mozambique","Markets & Trade","Enabling Environment","In progress - behind target"
"Mozambique","Markets & Trade","Enabling Environment","In progress - behind target"
"Mozambique","Markets & Trade","Agricultural Inputs","On hold"
"Mozambique","Markets & Trade","Enabling Environment","On hold"
"Mozambique","Markets & Trade","Enabling Environment","In progress - behind target"
"Mozambique","Markets & Trade","Enabling Environment","In progress - behind target"
"Mozambique","Markets & Trade","Enabling Environment","In progress - behind target"
"Mozambique","Markets & Trade","Enabling Environment","In progress - on target"
"Mozambique","Enabling Environment for Private Sector Investment","Enabling Environment","Completed"
"Mozambique","Enabling Environment for Private Sector Investment","Mutual Accountability","On hold"
"Mozambique","Enabling Environment for Private Sector Investment","Same","In progress - behind target"
"Mozambique","Enabling Environment for Private Sector Investment","Same","In progress - behind target"
"Mozambique","Land","Enabling Environment","In progress - behind target"
"Mozambique","Land","Land & Resilience","In progress - on target"
"Mozambique","Land","Markets & Trade","Completed"
"Mozambique","Land","Same","In progress - behind target"
"Mozambique","Land","Same","In progress - behind target"
"Mozambique","Land","Same","On hold"
"Mozambique","Land","Institutional Architecture","Completed"
"Mozambique","Nutrition Policy","Institutional Architecture","Completed"
"Mozambique","Nutrition Policy","Markets & Trade","In progress - behind target"
"Mozambique","Nutrition Policy","Institutional Architecture","Completed"
"Nepal","Agricultural Inputs","Same","In progress - behind target"
"Nepal","Agricultural Inputs","Same",
"Nepal","Agricultural Inputs","Same",
"Nepal","Agricultural Inputs","Same",
"Nepal","Agricultural Inputs","Same",
"Nepal","Agricultural Inputs","Same",
"Nepal","Agricultural Inputs","Enabling Environment",
"Nepal","Markets & Trade","Institutional Architecture","In progress - on target"
"Nepal","Markets & Trade","Institutional Architecture","Completed"
"Nepal","Markets & Trade","Institutional Architecture",
"Nepal","Markets & Trade","Same","In progress - behind target"
"Nepal","Markets & Trade","Same","In progress - behind target"
"Nepal","Enabling Environment for Private Sector Investment","Land & Resilience","Completed"
"Nepal","Enabling Environment for Private Sector Investment","Institutional Architecture","Completed"
"RDMA","Markets & Trade","Agricultural Inputs","Completed"
"RDMA","Markets & Trade","Same","On hold"
"RDMA","Markets & Trade","Agricultural Inputs","In progress - on target"
"RDMA","Markets & Trade","Same","On hold"
"RDMA","Markets & Trade","Enabling Environment","In progress - on target"
"RDMA","Markets & Trade","Enabling Environment","On hold"
"RDMA","Markets & Trade","Enabling Environment","On hold"
"Rwanda","Agricultural Inputs","Mutual Accountability","Completed"
"Rwanda","Agricultural Inputs","Enabling Environment","Completed"
"Rwanda","Agricultural Inputs","Enabling Environment","In progress - on target"
"Rwanda","Agricultural Inputs","Enabling Environment","In progress - on target"
"Rwanda","Agricultural Inputs","Enabling Environment","Completed"
"Rwanda","Enabling Environment for Private Sector Investment","Markets & Trade","In progress - on target"
"Rwanda","Enabling Environment for Private Sector Investment","Markets & Trade","In progress - behind target"
"Rwanda","Enabling Environment for Private Sector Investment","Land & Resilience","Completed"
"Rwanda","Enabling Environment for Private Sector Investment","Markets & Trade","In progress - on target"
"Rwanda","Enabling Environment for Private Sector Investment","Markets & Trade","In progress - on target"
"Rwanda","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - on target"
"Rwanda","Institutional Architecture for Improved Policy Formulation","Enabling Environment",
"Rwanda","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","Completed"
"Rwanda","Institutional Architecture for Improved Policy Formulation","Enabling Environment","In progress - behind target"
"Rwanda","Land","Institutional Architecture","In progress - on target"
"Rwanda","Land","Same","Completed"
"Rwanda","Land","Same","In progress - on target"
"Rwanda","Land","Institutional Architecture","In progress - behind target"
"Senegal","Agricultural Inputs","Same","In progress - on target"
"Senegal","Agricultural Inputs","Markets & Trade","In progress - behind target"
"Senegal","Enabling Environment for Private Sector Investment","Institutional Architecture","On hold"
"Senegal","Enabling Environment for Private Sector Investment","Same","On hold"
"Senegal","Enabling Environment for Private Sector Investment","Same","In progress - behind target"
"Senegal","Enabling Environment for Private Sector Investment","Same",
"Senegal","Enabling Environment for Private Sector Investment","Same","In progress - on target"
"Southern Africa Regional","Markets & Trade","Agricultural Inputs","In progress - on target"
"Southern Africa Regional","Markets & Trade","Agricultural Inputs","In progress - on target"
"Southern Africa Regional","Markets & Trade","Agricultural Inputs","In progress - on target"
"Southern Africa Regional","Markets & Trade","Agricultural Inputs","Completed"
"Southern Africa Regional","Markets & Trade","Institutional Architecture","In progress - behind target"
"Southern Africa Regional","Markets & Trade","Institutional Architecture","In progress - behind target"
"Southern Africa Regional","Markets & Trade","Enabling Environment","In progress - behind target"
"Southern Africa Regional","Markets & Trade","Enabling Environment","In progress - behind target"
"Southern Africa Regional","Markets & Trade","Enabling Environment","On hold"
"Southern Africa Regional","Markets & Trade","Enabling Environment","On hold"
"Southern Africa Regional","Markets & Trade","Enabling Environment","Completed"
"Southern Africa Regional","Markets & Trade","Enabling Environment","Completed"
"Southern Africa Regional","Institutional Architecture for Improved Policy Formulation","Markets & Trade","In progress - behind target"
"Tajikistan","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - behind target"
"Tajikistan","Land","Same","In progress - on target"
"Tajikistan","Land","Same","In progress - on target"
"Tajikistan","Land","Same","In progress - on target"
"Tajikistan","Land","Enabling Environment","In progress - on target"
"Tajikistan","Land","Same","In progress - on target"
"Tajikistan","Land","Same","In progress - behind target"
"Tajikistan","Land","Same","In progress - on target"
"Tanzania","Agricultural Inputs","Markets & Trade","In progress - behind target"
"Tanzania","Agricultural Inputs","Same","In progress - behind target"
"Tanzania","Markets & Trade","Land & Resilience","In progress - on target"
"Tanzania","Markets & Trade","Land & Resilience","In progress - on target"
"Tanzania","Markets & Trade","Agricultural Inputs","In progress - behind target"
"Tanzania","Enabling Environment for Private Sector Investment","Agricultural Inputs","In progress - behind target"
"Tanzania","Enabling Environment for Private Sector Investment","Markets & Trade","In progress - behind target"
"Zambia","Land","Same","In progress - behind target"
"Tanzania","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - on target"
"Tanzania","Land","Same","On hold"
"Tanzania","Nutrition Policy","Institutional Architecture","In progress - on target"
"Uganda","Agricultural Inputs","Markets & Trade","In progress - behind target"
"Uganda","Agricultural Inputs","Institutional Architecture","In progress - behind target"
"Uganda","Agricultural Inputs","Same","On hold"
"Uganda","Agricultural Inputs","Enabling Environment","In progress - on target"
"Uganda","Agricultural Inputs","Same","In progress - behind target"
"Uganda","Markets & Trade","Agricultural Inputs","In progress - on target"
"Uganda","Markets & Trade","Agricultural Inputs","In progress - on target"
"Uganda","Markets & Trade","Enabling Environment","In progress - on target"
"Uganda","Enabling Environment for Private Sector Investment","Same","In progress - behind target"
"Uganda","Enabling Environment for Private Sector Investment","Land & Resilience","In progress - on target"
"Uganda","Enabling Environment for Private Sector Investment","Markets & Trade","In progress - on target"
"Uganda","Enabling Environment for Private Sector Investment","Markets & Trade","In progress - on target"
"Uganda","Institutional Architecture for Improved Policy Formulation","Same","In progress - on target"
"Uganda","Institutional Architecture for Improved Policy Formulation","Same","In progress - behind target"
"Uganda","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - behind target"
"Uganda","Nutrition Policy","Institutional Architecture","In progress - on target"
"Uganda","Nutrition Policy","Same","In progress - on target"
"Uganda","Nutrition Policy","Institutional Architecture","In progress - on target"
"Uganda","Risk & Resilience","Institutional Architecture","In progress - on target"
"Uganda","Risk & Resilience","Mutual Accountability","In progress - on target"
"Uganda","Risk & Resilience","Mutual Accountability","In progress - behind target"
"West Africa Regional","Agricultural Inputs","Markets & Trade","Completed"
"West Africa Regional","Agricultural Inputs","Markets & Trade","In progress - behind target"
"West Africa Regional","Agricultural Inputs","Markets & Trade","In progress - on target"
"West Africa Regional","Agricultural Inputs","Markets & Trade","In progress - behind target"
"West Africa Regional","Agricultural Inputs","Markets & Trade","In progress - behind target"
"West Africa Regional","Agricultural Inputs","Institutional Architecture","In progress - on target"
"West Africa Regional","Agricultural Inputs","Markets & Trade","In progress - on target"
"West Africa Regional","Agricultural Inputs","Markets & Trade","In progress - behind target"
"West Africa Regional","Markets & Trade","Same","In progress - behind target"
"West Africa Regional","Markets & Trade","Same","In progress - behind target"
"West Africa Regional","Markets & Trade","Enabling Environment","In progress - behind target"
"West Africa Regional","Markets & Trade",,"In progress - on target"
"West Africa Regional","Markets & Trade","Enabling Environment","In progress - on target"
"West Africa Regional","Institutional Architecture for Improved Policy Formulation","Same","In progress - on target"
"West Africa Regional","Institutional Architecture for Improved Policy Formulation","Markets & Trade","Completed"
"West Africa Regional","Institutional Architecture for Improved Policy Formulation","Markets & Trade","In progress - on target"
"West Africa Regional","Institutional Architecture for Improved Policy Formulation","Markets & Trade","In progress - behind target"
"West Africa Regional","Institutional Architecture for Improved Policy Formulation","Markets & Trade","In progress - behind target"
"West Africa Regional","Agricultural Inputs","Same","In progress - on target"
"West Africa Regional","Institutional Architecture for Improved Policy Formulation","Enabling Environment","In progress - on target"
"West Africa Regional","Nutrition Policy","Markets & Trade","In progress - on target"
"West Africa Regional","Nutrition Policy","Markets & Trade","In progress - on target"
"West Africa Regional","Nutrition Policy","Markets & Trade","In progress - on target"
"Zambia","Agricultural Inputs","Same","In progress - behind target"
"Zambia","Agricultural Inputs","Enabling Environment","In progress - on target"
"Zambia","Agricultural Inputs","Enabling Environment","In progress - on target"
"Zambia","Markets & Trade","Enabling Environment","In progress - behind target"
"Zambia","Markets & Trade","Enabling Environment","In progress - on target"
"Zambia","Markets & Trade","Institutional Architecture","In progress - on target"
"Zambia","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - on target"
"Zambia","Institutional Architecture for Improved Policy Formulation","Mutual Accountability","In progress - behind target"
"Zambia","Land","Institutional Architecture","In progress - on target"
"Zambia","Land","Same","In progress - on target"
"Zambia","Nutrition Policy","Land & Resilience","In progress - on target"
"Zambia","Nutrition Policy","Land & Resilience","In progress - on target"
