SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,ReasonCode,ResolutionCode,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-410371911,12/30/2016 03:38:00 PM,01/07/2017 12:20:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,,Y,WV,01/07/2017 12:00:00 AM,01/07/2017 12:20:00 PM,,A,Y,N,"7139 N CANOGA AVE, 91303",7139,N,CANOGA,AVE,91303,34.20032247,-118.5979212,"(34.2003224691, -118.597921155)",530,B,5,South Valley APC,3,Bob Blumenfield,13,CANOGA PARK NC,TOPANGA,4278,286,1472,,4,37
1-410355421,12/30/2016 03:29:00 PM,01/06/2017 02:10:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,EV,01/06/2017 12:00:00 AM,01/06/2017 02:10:00 PM,,A,Y,N,"15338 W VOSE ST, 91406",15338,W,VOSE,ST,91406,34.1983298,-118.467731,"(34.1983297985, -118.467731019)",531,H,5,South Valley APC,6,Nury Martinez,20,VAN NUYS NC,VAN NUYS,19733,228,295,,3,18
1-410330991,12/30/2016 03:13:00 PM,01/04/2017 12:01:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,WLA,01/04/2017 12:00:00 AM,01/04/2017 12:01:00 PM,,A,Y,N,"833 E VICTORIA AVE, 90291",833,E,VICTORIA,AVE,90291,33.99259312,-118.4567414,"(33.9925931229, -118.456741417)",671,J,5,West Los Angeles APC,11,Mike Bonin,68,VENICE NC,PACIFIC,25073,910,851,10,10,30
1-410329791,12/30/2016 03:12:00 PM,12/30/2016 03:13:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,SLA,01/07/2017 12:00:00 AM,12/30/2016 03:13:00 PM,,A,Y,N,"314 E 90TH ST, 90003",314,E,90TH,ST,90003,33.95456033,-118.2689896,"(33.9545603334, -118.268989594)",704,D,3,South Los Angeles APC,9,Curren D. Price Jr.,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,SOUTHEAST,22352,799,1173,7,13,45
1-410327611,12/30/2016 03:09:00 PM,01/03/2017 02:16:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,SLA,01/03/2017 12:00:00 AM,01/03/2017 02:16:00 PM,,A,Y,N,"4312 W 28TH ST, 90018",4312,W,28TH,ST,90018,34.03098456,-118.333231,"(34.0309845631, -118.333231032)",633,E,7,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",SOUTHWEST,23079,662,920,7,12,19
1-410321171,12/30/2016 03:08:00 PM,12/30/2016 03:09:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,SLA,01/07/2017 12:00:00 AM,12/30/2016 03:09:00 PM,,A,Y,N,"84TH ST AT GRAND AVE, 90003",,,,,90003,33.96322594,-118.2803619,"(33.9632259415, -118.280361869)",704,C,2,South Los Angeles APC,9,Curren D. Price Jr.,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,77TH STREET,22352,795,1002,7,13,45
1-410309491,12/30/2016 03:02:00 PM,12/30/2016 03:03:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,SLA,01/07/2017 12:00:00 AM,12/30/2016 03:03:00 PM,,A,Y,N,"GRAND AVE AT 90TH ST, 90003",,,,,90003,33.95507653,-118.2803415,"(33.9550765316, -118.280341546)",704,C,3,South Los Angeles APC,8,Marqueece Harris-Dawson,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,SOUTHEAST,22352,800,358,7,14,45
1-410306331,12/30/2016 02:56:00 PM,01/07/2017 09:38:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Mobile App,iOS,Y,NC,01/07/2017 12:00:00 AM,01/07/2017 09:38:00 AM,,A,Y,,"6327 W PRIMROSE AVE, 90068",6327,W,PRIMROSE,AVE,90068,34.10984932,-118.3276718,"(34.1098493169, -118.32767177)",593,F,3,Central APC,4,David Ryu,30,HOLLYWOOD UNITED NC,HOLLYWOOD,24033,406,716,,7,64
1-410265391,12/30/2016 02:35:00 PM,01/07/2017 02:05:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,EV,01/07/2017 12:00:00 AM,01/07/2017 02:05:00 PM,,A,Y,N,"10159 N ARLETA AVE, 91331",10159,N,ARLETA,AVE,91331,34.25520401,-118.4403114,"(34.2552040119, -118.440311411)",502,B,4,North Valley APC,6,Nury Martinez,6,ARLETA NC,MISSION,18907,131,399,,3,41
1-410259571,12/30/2016 02:28:00 PM,01/07/2017 01:03:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,WLA,01/07/2017 12:00:00 AM,01/07/2017 01:03:00 PM,,A,Y,N,"1528 S CLOVERDALE AVE, 90019",1528,S,CLOVERDALE,AVE,90019,34.04573327,-118.3524306,"(34.0457332715, -118.352430629)",633,C,5,Central APC,10,Herb J. Wesson Jr.,60,P.I.C.O. NC,WILSHIRE,23080,646,1352,,12,23
1-410234891,12/30/2016 02:15:00 PM,01/06/2017 02:13:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,EV,01/06/2017 12:00:00 AM,01/06/2017 02:13:00 PM,,A,Y,N,"5640 N KESTER AVE, 91411",5640,N,KESTER,AVE,91411,34.17333842,-118.4572794,"(34.1733384197, -118.457279442)",561,J,1,South Valley APC,4,David Ryu,20,VAN NUYS NC,VAN NUYS,19735,241,1337,,7,18
1-410223761,12/30/2016 02:07:00 PM,01/07/2017 11:57:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,NC,01/07/2017 12:00:00 AM,01/07/2017 11:57:00 AM,,Q,Y,N,"SELMA AVE AT SCHRADER BLVD, 90028",,,,,90028,34.09975056,-118.3325101,"(34.0997505566, -118.332510114)",593,E,4,Central APC,13,Mitch O'Farrell,32,CENTRAL HOLLYWOOD NC,HOLLYWOOD,23446,422,468,,8,34
1-410215751,12/30/2016 02:01:00 PM,01/06/2017 02:52:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,,N,EV,01/06/2017 12:00:00 AM,01/06/2017 02:52:00 PM,,A,Y,N,"6812 N TYRONE AVE, 91405",6812,N,TYRONE,AVE,91405,34.19436058,-118.4442616,"(34.1943605755, -118.444261642)",532,A,5,South Valley APC,6,Nury Martinez,20,VAN NUYS NC,VAN NUYS,19733,233,880,,3,18
1-410215571,12/30/2016 02:00:00 PM,01/07/2017 02:26:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,HB,01/07/2017 12:00:00 AM,01/07/2017 02:26:00 PM,,A,Y,N,"942 W 12TH ST, 90731",942,W,12TH,ST,90731,33.73344853,-118.2978019,"(33.7334485344, -118.297801884)",824,A,6,Harbor APC,15,Joe Buscaino,95,CENTRAL SAN PEDRO NC,HARBOR,3342,977,1210,,15,36
1-410184211,12/30/2016 01:48:00 PM,01/05/2017 09:21:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,EV,01/05/2017 12:00:00 AM,01/05/2017 09:21:00 AM,,A,Y,N,"4525 N MURIETTA AVE, 91423",4525,N,MURIETTA,AVE,91423,34.15359718,-118.4384405,"(34.1535971845, -118.438440524)",562,B,4,South Valley APC,4,David Ryu,26,SHERMAN OAKS NC,VAN NUYS,19736,333,692,,7,83
1-410182321,12/30/2016 01:45:00 PM,01/03/2017 10:18:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,SLA,01/03/2017 12:00:00 AM,01/03/2017 10:18:00 AM,,Q,Y,N,"3754 S SOMERSET DR, 90016",3754,S,SOMERSET,DR,90016,34.01842401,-118.3372135,"(34.0184240055, -118.337213536)",673,E,1,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,663,1007,7,12,17
1-410178959,12/30/2016 01:43:00 PM,01/06/2017 10:55:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Mobile App,Android,Y,WV,01/06/2017 12:00:00 AM,01/06/2017 10:55:00 AM,,A,Y,,"5504 N QUAKERTOWN AVE, 91364",5504,N,QUAKERTOWN,AVE,91364,34.17079908,-118.5696682,"(34.1707990768, -118.569668181)",560,E,2,South Valley APC,3,Bob Blumenfield,16,WOODLAND HILLS-WARNER CENTER NC,TOPANGA,19346,311,1492,6,4,49
1-410171381,12/30/2016 01:39:00 PM,01/07/2017 08:59:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WLA,01/07/2017 12:00:00 AM,01/07/2017 08:59:00 AM,,A,Y,N,"1871 S CLOVERDALE AVE, 90019",1871,S,CLOVERDALE,AVE,90019,34.04216708,-118.353745,"(34.0421670831, -118.353744977)",633,C,5,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE,23080,652,1110,,12,69
1-410166511,12/30/2016 01:32:00 PM,01/06/2017 12:14:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,SLA,01/06/2017 12:00:00 AM,01/06/2017 12:14:00 PM,,Q,Y,N,"2036 W 81ST ST, 90047",2036,W,81ST,ST,90047,33.96536259,-118.3146685,"(33.9653625859, -118.314668483)",703,H,2,South Los Angeles APC,8,Marqueece Harris-Dawson,84,EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,77TH STREET,23678,780,1073,7,14,20
1-410161811,12/30/2016 01:30:00 PM,01/05/2017 09:18:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,EV,01/05/2017 12:00:00 AM,01/05/2017 09:18:00 AM,,A,Y,N,"12745 W MOORPARK ST, 91604",12745,W,MOORPARK,ST,91604,34.150527,-118.410837,"(34.1505269991, -118.410836975)",562,E,4,South Valley APC,2,Paul Krekorian,27,STUDIO CITY NC,NORTH HOLLYWOOD,8492,345,966,,5,84
1-410128201,12/30/2016 01:12:00 PM,01/09/2017 03:27:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,SLA,01/06/2017 12:00:00 AM,01/09/2017 03:27:00 PM,56,A,Y,N,"722 E 79TH ST, 90001",722,E,79TH,ST,90001,33.96722396,-118.2621985,"(33.9672239636, -118.262198493)",704,E,1,South Los Angeles APC,9,Curren D. Price Jr.,86,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),77TH STREET,22350,796,999,7,13,46
1-410129831,12/30/2016 01:12:00 PM,01/05/2017 09:36:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,SLA,01/05/2017 12:00:00 AM,01/05/2017 09:36:00 AM,,A,Y,N,"230 E 51ST ST, 90011",230,E,51ST,ST,90011,33.99619681,-118.2707288,"(33.9961968105, -118.270728841)",674,D,4,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON,22727,724,895,7,13,
1-410122480,12/30/2016 01:07:00 PM,01/04/2017 01:41:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Mobile App,Android,Y,EV,01/04/2017 12:00:00 AM,01/04/2017 01:41:00 PM,,A,Y,,"BECK AVE AT COHASSET ST, 91605",,,,,91605,34.20663007,-118.3834584,"(34.2066300655, -118.383458401)",532,H,4,North Valley APC,2,Paul Krekorian,23,NORTH HOLLYWOOD NORTHEAST NC,NORTH HOLLYWOOD,8888,169,478,,5,14
1-410084501,12/30/2016 12:45:00 PM,01/04/2017 08:18:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,SLA,01/04/2017 12:00:00 AM,01/04/2017 08:18:00 AM,51,A,Y,N,"4174 SOMERSET DR, 90008",4174,,SOMERSET,DR,90008,34.01010267,-118.3427521,"(34.0101026686, -118.34275213)",673,D,3,South Los Angeles APC,10,Herb J. Wesson Jr.,79,EMPOWERMENT CONGRESS WEST AREA NDC,SOUTHWEST,22725,761,1032,7,12,54
1-410077851,12/30/2016 12:42:00 PM,01/04/2017 09:30:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,EV,01/04/2017 12:00:00 AM,01/04/2017 09:30:00 AM,,A,Y,N,"5312 N CORTEEN PL, 91607",5312,N,CORTEEN,PL,91607,34.16712591,-118.4018946,"(34.1671259108, -118.401894591)",562,F,2,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD,8890,205,637,17,5,39
1-410064991,12/30/2016 12:33:00 PM,01/10/2017 01:04:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WLA,01/09/2017 12:00:00 AM,01/10/2017 01:04:00 PM,71,A,Y,N,"315 N FORMOSA AVE, 90036",315,N,FORMOSA,AVE,90036,34.07674744,-118.3463923,"(34.0767474445, -118.346392338)",593,D,7,Central APC,5,Paul Koretz,58,MID CITY WEST CC,WILSHIRE,23667,623,1080,,6,26
1-410046401,12/30/2016 12:24:00 PM,01/03/2017 11:44:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WV,01/03/2017 12:00:00 AM,01/03/2017 11:44:00 AM,,A,Y,N,"7900 N RESEDA BLVD, 91335",7900,N,RESEDA,BLVD,91335,34.21425408,-118.5359181,"(34.2142540794, -118.535918143)",530,J,3,South Valley APC,12,Mitchell Englander,15,RESEDA NC,WEST VALLEY,18909,254,283,,2,12
1-410033261,12/30/2016 12:16:00 PM,01/04/2017 03:27:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,NC,01/03/2017 12:00:00 AM,01/04/2017 03:27:00 PM,,Q,Y,N,"2016 N DALY ST, 90031",2016,N,DALY,ST,90031,34.06807483,-118.2153762,"(34.0680748254, -118.215376245)",635,A,1,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK,23448,493,721,,11,1
1-410023141,12/30/2016 12:12:00 PM,01/07/2017 01:17:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,WLA,01/07/2017 12:00:00 AM,01/07/2017 01:17:00 PM,,Q,Y,N,"3300 S DURANGO AVE, 90034",3300,S,DURANGO,AVE,90034,34.03107219,-118.3933621,"(34.0310721883, -118.393362139)",632,G,7,West Los Angeles APC,5,Paul Koretz,61,SOUTH ROBERTSON NC,WEST LOS ANGELES,23451,879,1006,,6,95
1-410008071,12/30/2016 12:02:00 PM,01/09/2017 01:21:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,,N,NC,01/05/2017 12:00:00 AM,01/09/2017 01:21:00 PM,,Q,Y,N,"2727 W 6TH ST, 90057",2727,W,6TH,ST,90057,34.06302791,-118.2822972,"(34.0630279085, -118.282297166)",634,B,2,Central APC,1,Gilbert Cedillo,53,RAMPART VILLAGE NC,RAMPART,24352,557,1318,,11,80
1-410001361,12/30/2016 12:00:00 PM,01/09/2017 01:33:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,NC,01/06/2017 12:00:00 AM,01/09/2017 01:33:00 PM,,A,Y,N,"1847 W SILVER LAKE DR, 90026",1847,W,SILVER LAKE,DR,90026,34.09249965,-118.2670828,"(34.0924996452, -118.26708284)",594,D,5,East Los Angeles APC,13,Mitch O'Farrell,38,SILVER LAKE NC,NORTHEAST,23444,468,905,,8,90
1-409989841,12/30/2016 11:49:00 AM,01/09/2017 01:15:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,NC,01/05/2017 12:00:00 AM,01/09/2017 01:15:00 PM,,Q,Y,N,"1135 S GRAND VIEW ST, 90006",1135,S,GRAND VIEW,ST,90006,34.05032876,-118.2837069,"(34.0503287558, -118.283706864)",634,B,4,Central APC,1,Gilbert Cedillo,76,PICO UNION NC,RAMPART,22723,574,908,,11,8
1-409969371,12/30/2016 11:43:00 AM,01/30/2017 12:20:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,NC,01/05/2017 12:00:00 AM,01/30/2017 12:20:00 PM,56,A,Y,N,"1920 W 7TH ST, 90057",1920,W,7TH,ST,90057,34.05544543,-118.2748822,"(34.0554454319, -118.27488218)",634,C,3,Central APC,1,Gilbert Cedillo,121,WESTLAKE SOUTH NC,RAMPART,24352,570,628,,11,68
1-409953726,12/30/2016 11:32:00 AM,01/04/2017 03:24:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Mobile App,iOS,N,NC,01/03/2017 12:00:00 AM,01/04/2017 03:24:00 PM,,Q,Y,N,"2352 N BLOCK PL, 90032",2352,N,BLOCK,PL,90032,34.07297775,-118.1701261,"(34.0729777539, -118.170126142)",635,F,1,East Los Angeles APC,14,Jose Huizar,48,LA-32 NC,HOLLENBECK,23449,507,1215,,9,91
1-409933661,12/30/2016 11:18:00 AM,01/05/2017 02:25:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,,N,HB,01/05/2017 12:00:00 AM,01/05/2017 02:25:00 PM,,Q,Y,N,"1045 W 24TH ST, 90731",1045,W,24TH,ST,90731,33.72235185,-118.3001252,"(33.7223518526, -118.300125242)",824,A,7,Harbor APC,15,Joe Buscaino,96,COASTAL SAN PEDRO NC,HARBOR,3342,982,1211,,15,33
1-409926951,12/30/2016 11:14:00 AM,01/09/2017 01:47:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,NC,01/06/2017 12:00:00 AM,01/09/2017 01:47:00 PM,,A,Y,N,"564 N ARDMORE AVE, 90004",564,N,ARDMORE,AVE,90004,34.08180874,-118.3015682,"(34.0818087419, -118.301568155)",593,J,7,Central APC,13,Mitch O'Farrell,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC,22721,452,932,,8,89
1-409917211,12/30/2016 11:10:00 AM,01/07/2017 09:47:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WV,01/07/2017 12:00:00 AM,01/07/2017 09:47:00 AM,,A,Y,N,"7246 N MCLAREN AVE, 91307",7246,N,MCLAREN,AVE,91307,34.20239234,-118.624418,"(34.2023923392, -118.62441795)",529,H,5,South Valley APC,12,Mitchell Englander,11,WEST HILLS NC,TOPANGA,4283,283,1470,,2,44
1-409917711,12/30/2016 11:08:00 AM,01/04/2017 09:28:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,EV,01/04/2017 12:00:00 AM,01/04/2017 09:28:00 AM,,Q,Y,N,"6537 N RHODES AVE, 91606",6537,N,RHODES,AVE,91606,34.18964915,-118.4032395,"(34.1896491523, -118.403239516)",532,F,6,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,NORTH HOLLYWOOD,8889,188,406,,5,70
1-409913191,12/30/2016 11:07:00 AM,01/07/2017 06:46:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,,N,WLA,01/07/2017 12:00:00 AM,01/07/2017 06:46:00 AM,,Q,Y,N,"3230 S OVERLAND AVE, 90034",3230,S,OVERLAND,AVE,90034,34.02891272,-118.4146471,"(34.0289127198, -118.414647055)",632,E,7,West Los Angeles APC,5,Paul Koretz,115,PALMS NC,PACIFIC,23451,881,1358,9,6,74
1-409913821,12/30/2016 11:06:00 AM,01/03/2017 12:46:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,SLA,01/03/2017 12:00:00 AM,01/03/2017 12:46:00 PM,,A,Y,N,"4587 W DON TOMASO DR, 90008",4587,W,DON TOMASO,DR,90008,34.00166884,-118.3552811,"(34.0016688449, -118.355281101)",673,C,4,South Los Angeles APC,8,Marqueece Harris-Dawson,79,EMPOWERMENT CONGRESS WEST AREA NDC,SOUTHWEST,22725,765,1027,7,14,54
1-409909401,12/30/2016 11:05:00 AM,01/11/2017 02:15:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,EV,01/11/2017 12:00:00 AM,01/11/2017 02:15:00 PM,57,A,Y,N,"13318 W MULHOLLAND DR, 90210",13318,W,MULHOLLAND,DR,90210,34.12953718,-118.4228446,"(34.1295371834, -118.422844596)",562,D,7,West Los Angeles APC,5,Paul Koretz,64,BEL AIR-BEVERLY CREST NC,WEST LOS ANGELES,24346,826,796,46,6,81
