LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000001436-0287-7,SP PLUS CORPORATION,82259,16027 VENTURA BLVD,ENCINO,91436-2728,16027 VENTURA 91436-2728,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,,4,01/01/2004,"(34.1561, -118.482)",19737,6,338,1500,6,62
0000001436-0330-0,SP PLUS CORPORATION,SP PLUS CORPORATION,2005 N HIGHLAND AVENUE,LOS ANGELES,90068-3238,2005 Highland 90068-3238,3470 WILSHIRE BLVD ##400,LOS ANGELES,90010-2207,Parking lots & garages,4,12/01/2021,"(34.1066, -118.3378)",24033,7,408,717,,82
0000001436-0344-0,SP PLUS CORPORATION,,14724 VENTURA BLVD,SHERMAN OAKS,91403-3501,14724 Ventura 91403-3501,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-3927,Parking lots & garages,4,05/01/2022,"(34.1512, -118.4543)",19732,7,337,680,6,83
0000001478-0014-2,AIDS HEALTHCARE FOUNDATION,OUT OF THE CLOSET THIFT STORE,4905   HOLLYWOOD BLVD,LOS ANGELES,90027-6101,4905 HOLLYWOOD 90027-6101,6255 W SUNSET BLVD   FLOOR #21ST,LOS ANGELES,90028-7403,General merchandise stores,4,04/30/2021,"(34.1021, -118.2964)",23445,7,401,1327,16,3
0000001478-0022-3,AIDS HEALTHCARE FOUNDATION,FOOD FOR HEALTH,4905 HOLLYWOOD BLVD,LOS ANGELES,90027-6101,4905 Hollywood 90027-6101,6255 W SUNSET BLVD FLOOR #21ST,LOS ANGELES,90028-7403,Other health & personal care stores,4,02/02/2022,"(34.1021, -118.2964)",23445,7,401,1327,16,3
0000001482-0001-7,ALBERT J MENASTER,,2315 KENILWORTH AVENUE,LOS ANGELES,90039-3041,2315 KENILWORTH 90039-3041,,,,,4,01/01/1999,"(34.0, -118.0)",9325,,1246,,,
0000001487-0001-0,CINDI M BRASHEAR,,8020 SELMA AVENUE,LOS ANGELES,90046-2505,8020 SELMA 90046-2505,,,,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",4,01/01/1999,"(34.0998, -118.3653)",23677,7,409,728,,82
0000001601-0001-0,MYSTERY TRAIN INC,,12849 MILBANK STREET,STUDIO CITY,91604-1354,12849 MILBANK 91604-1354,12849 MILBANK STREET,STUDIO CITY,91604-1354,Motion picture & video industries (except video rental),4,01/01/1999,"(34.1532, -118.4126)",8492,5,345,966,,84
0000001622-0001-1,YARON ZARAFSHAN,A TO Z NETWORKING,17421 COLLINS STREET,ENCINO,91316-1310,17421 COLLINS 91316-1310,17421 Collins,Encino,91316-1310,Travel arrangement & reservation services,4,04/19/2000,"(34.1738, -118.5126)",4286,6,315,340,,62
0000001658-0001-0,MARILYN T OLIVER,MARILYN T OLIVER,2646 LAKE VIEW TERRACE E,LOS ANGELES,90039-2605,2646 LAKE VIEW 90039-2605,,,,Travel arrangement & reservation services,4,01/01/1999,"(34.1044, -118.2625)",23670,7,463,1057,,90
0000001762-0001-4,JESUS R ROMERO,LEAD EXECUTIVE SEARCH,6260 ZELZAH AVENUE,ENCINO,91316-7150,6260 ZELZAH 91316-7150,,,,Travel arrangement & reservation services,4,08/19/2000,"(34.1833, -118.5229)",4286,6,268,304,,62
0000001875-0001-0,TYANA PARR,TY PARR MUSIC & ENTERTAINMENT,5015 COLDWATER CANYON AVENUE #15,SHERMAN OAKS,91423-1643,5015 COLDWATER CANYON 91423-1643,,,,Travel arrangement & reservation services,4,01/01/1999,"(34.1615, -118.4137)",19736,7,203,689,,
0000002114-0001-3,THE FORD THEATRE FOUNDATION,,2580 CAHUENGA BLVD E,LOS ANGELES,90068-2752,2580 CAHUENGA 90068-2752,,,,Sound recording industries,4,03/13/1995,"(34.116, -118.3364)",24033,7,407,716,11,82
0000002126-0001-6,ROBIN DOUGLASS SHARP,,3393 BENNETT DRIVE,LOS ANGELES,90068-1703,3393 BENNETT 90068-1703,6710 VARNA AVENUE,VAN NUYS,91401-1219,Other consumer goods rental,4,01/15/2000,,,,,,,
0000002144-0001-4,LAS PALMAS FOUNDATION,,1535 N FORMOSA AVENUE,LOS ANGELES,90046-3601,1535 FORMOSA 90046-3601,,,,Office administrative services,4,08/19/2001,,,,,,,
0000002202-0001-9,THE AMERICAS THEATRE ARTS,,7751 CHANDELLE PLACE,LOS ANGELES,90046-1231,7751 CHANDELLE 90046-1231,,,,Employment services,4,08/05/2000,"(34.1263, -118.3643)",23677,7,457,720,11,82
0000002217-0001-5,HOLLYWOOD COMMUNITY HOUSING CORPORATION,,1924 ARGYLE AVENUE,LOS ANGELES,90068-3967,1924 ARGYLE 90068-3967,822 S ROBERTSON BLVD #200,LOS ANGELES,90035-1631,"Management, scientific, & technical consulting services",4,01/31/1989,"(34.1058, -118.3252)",24033,7,405,371,,64
0000002288-0001-5,1771 N VERMONT LP 163,,1771 N VERMONT AVENUE,LOS ANGELES,90027-4342,1771 VERMONT 90027-4342,10100 CULVER BLVD SUITE #D,CULVER CITY,90232-3174,Lessors of real estate (including mini warehouses & self-storage units),4,09/01/1995,"(34.1031, -118.2917)",23445,7,399,1328,16,3
0000002298-0001-9,FULLER AVENUE SENIOR CITIZENS HOUSING CORPORATION,,1633 N FULLER AVENUE,LOS ANGELES,90046-3504,1633 FULLER 90046-3504,,,,Lessors of real estate (including mini warehouses & self-storage units),4,02/16/1983,"(34.1003, -118.3489)",23677,7,412,799,,82
0000002310-0001-1,ROY A SHELLOW,,5060 COLDWATER CANYON AVENUE,SHERMAN OAKS,91423-1672,5060 COLDWATER CANYON 91423-1672,541 N LARCHMONT BLVD,LOS ANGELES,90004-1305,Lessors of real estate (including mini warehouses & self-storage units),4,04/01/1974,"(34.1626, -118.4137)",19736,7,203,645,,
0000002317-0001-3,MLT III LLC,RODNEY MANOR,1933 RODNEY DRIVE,LOS ANGELES,90027-3156,1933 RODNEY 90027-3156,8811 BURTON WAY,WEST HOLLYWOOD,90048-3747,Lessors of real estate (including mini warehouses & self-storage units),4,04/30/1998,"(34.1061, -118.2888)",23445,7,399,1313,,3
0000002622-0001-9,"SOBELMAN, COHEN, MOSS & ASSOCIATES LLP",,15760   VENTURA BLVD   UNIT #1100,ENCINO,91436-3044,15760 VENTURA 91436-3044,15760   VENTURA BLVD   SUITE #1150,ENCINO,91436-3038,Other accounting services,4,01/01/1992,"(34.1548, -118.4766)",19737,6,338,670,6,62
0000002669-0001-5,MAX/ANITA LICHTENBERGER,,6615 LASH LANE,LOS ANGELES,90068-3252,6615 LASH 90068-3252,POST OFFICE BOX #8056,VAN NUYS,91409-8056,Lessors of real estate (including mini warehouses & self-storage units),4,04/01/1974,"(34.1105, -118.3335)",24033,7,406,716,,82
0000002978-0001-9,THE BEST PIZZA INC,QUICKIE'S PIZZA,4362 LAUREL CANYON BLVD,STUDIO CITY,91604-1709,4362 LAUREL CANYON 91604-1709,,,,Full-service restaurants,4,12/01/1999,"(34.1496, -118.3964)",8492,5,347,390,,84
0000003498-0001-2,WILLIAM ELKINS,ALLEY,5064 1/2 LANKERSHIM BLVD,N HOLLYWOOD,91601-4225,5064 LANKERSHIM 91601-4225,,,,Lessors of real estate (including mini warehouses & self-storage units),4,10/01/1974,,,,,,,
0000003569-0001-4,ISE AUTOMOTIVE INC,ISES AUTOMOTIVE SERVICE,1774 HILLHURST AVENUE,LOS ANGELES,90027-4443,1774 HILLHURST 90027-4443,1774 HILLHURST AVENUE,LOS ANGELES,90027-4443,General merchandise stores,4,11/01/1949,"(34.1031, -118.2874)",23445,7,399,1328,16,3
0000003573-0001-1,SHERMAN WAY ASSOCIATES LLC,,15165 VENTURA BLVD SUITE #140,SHERMAN OAKS,91403-3390,15165 VENTURA 91403-3390,15233 Ventura #500,Sherman Oaks,91403-2231,Lessors of real estate (including mini warehouses & self-storage units),4,01/01/2000,"(34.1537, -118.4636)",19732,7,335,883,6,83
0000003640-0001-4,HOLLY BIENIEWSKI,HOLLY BIENIEWSKI ARCHITECT,3226 ROWENA AVENUE,LOS ANGELES,90027-2515,3226 ROWENA 90027-2515,,,,Architectural services,4,01/22/2004,"(34.111, -118.2748)",23445,7,396,547,,3
0000003648-0001-1,"ARCH-SUNSET 1 INVESTMENT COMPANY, LLC",,4100 ARCH DRIVE,STUDIO CITY,91604-3248,4100 ARCH 91604-3248,10660 WHITE OAK AVENUE,GRANADA HILLS,91344-5943,Lessors of real estate (including mini warehouses & self-storage units),4,12/24/1998,"(34.1421, -118.3717)",8492,5,349,389,,84
0000003959-0001-3,JONATHAN B DAKS,JONATHAN B DAKS ATTORNEY AT LAW,16055 VENTURA BLVD UNIT #660,ENCINO,91436-2630,16055 VENTURA 91436-2630,,,,Legal services,4,01/01/1992,"(34.1562, -118.4826)",19737,6,338,1500,6,62
0000004199-0001-0,HEYWOT FASSIL,,334 S GRAMERCY PLACE #204,LOS ANGELES,90020-4554,334 GRAMERCY 90020-4554,POST OFFICE BOX #74224,LOS ANGELES,90004-0224,Other accounting services,4,01/01/2000,,,,,,,
0000004268-0001-2,DAVID M KRAMER,LAW OFFICE OF DAVID M KRAMER,13330 VALLEY VISTA BLVD,SHERMAN OAKS,91423-4311,13330 VALLEY VISTA 91423-4311,13636 VENTURA BLVD #504,SHERMAN OAKS,91423-3700,Legal services,4,06/01/1990,"(34.1436, -118.4236)",19736,7,353,697,,83
0000004276-0001-7,HIGHWAY TO SUCCESS FOUNDATION INC,HIP HOP THRIFT SHOP,520 S BURNSIDE AVENUE #9K,LOS ANGELES,90036-3997,520 BURNSIDE 90036-3997,,,,Used merchandise stores,4,08/15/2003,,,,,,,
0000004277-0001-1,JEVON M PAUL,JEVON PAUL PLUMBING,4121 CUMBERLAND AVENUE,LOS ANGELES,90027-1517,4121 CUMBERLAND 90027-1517,,,,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",4,01/01/1991,"(34.0991, -118.2809)",23445,7,466,601,,3
0000004607-0001-9,PATRICIA BENNETT,MATCHBOOK MEMORIES,4610 VENTURA CANYON AVENUE,SHERMAN OAKS,91423-3130,4610 VENTURA CANYON 91423-3130,204 Pinnacle,Mansfield,76063-5867,,4,01/01/2000,"(34.1539, -118.4289)",19736,7,331,1341,,83
0000004738-0001-2,ZEEV E. LEVAVI,PROFESSIONAL MANAGEMENT SERVICES,4419 CALHOUN AVENUE,SHERMAN OAKS,91423-2701,4419 CALHOUN 91423-2701,13749   CHANDLER BLVD,SHERMAN OAKS,91401-5813,Office administrative services,4,02/25/2000,"(34.1516, -118.4421)",19736,7,333,676,,83
0000004820-0001-1,JOHN J ALAJOV/DOREEN ALAJOV,ALAJOV TEAM PROPERTIES,13351 RIVERSIDE DRIVE #358,SHERMAN OAKS,91423-2542,13351 RIVERSIDE 91423-2542,POST OFFICE BOX #6061,VAN NUYS,91413-6061,Lessors of real estate (including mini warehouses & self-storage units),4,01/05/1999,"(34.1576, -118.4241)",19736,7,202,964,,83
0000004826-0001-8,ALLAN M FENSTEN A PROFESSIONAL CORPORATION,,16542 VENTURA BLVD    #SUITE 315,ENCINO,91436-5048,16542 VENTURA 91436-5048,16542 Ventura #315,Encino,91436-5048,Legal services,4,03/01/2000,"(34.1575, -118.4939)",19737,6,326,1499,6,62
0000004873-0037-3,L & R AUTO PARKS INC,JOES AUTO PARKS,18250 ROSCOE BLVD,NORTHRIDGE,91325-4226,18250 ROSCOE 91325-4226,707 WILSHIRE BLVD SUITE #4700,LOS ANGELES,90017-3601,Parking lots & garages,4,06/01/2020,"(34.2204, -118.5313)",18909,2,254,282,,12
0000005169-0001-6,SHULA MUHLMEISTER,SC VQLLEYHEART APARMENT | STUDIO CITY VALLEY HEART,13000 VALLEYHEART DRIVE,STUDIO CITY,91604-1957,13000 VALLEYHEART 91604-1957,4860   LLANO DRIVE,WOODLAND HILLS,91364-3040,Lessors of real estate (including mini warehouses & self-storage units),4,05/30/1993,"(34.1466, -118.4167)",8492,5,353,421,,84
0000005180-0001-2,RICHARD J DOREN,,12918 VALLEYHEART DRIVE,STUDIO CITY,91604-1990,12918 VALLEYHEART 91604-1990,1240 ARDEN ROAD,PASADENA,91106-4146,Lessors of real estate (including mini warehouses & self-storage units),4,12/04/1998,"(34.1462, -118.4141)",8492,5,353,421,,84
0000005482-0001-6,EDWARD PETKO MD,,4955 VAN NUYS BLVD UNIT #411,SHERMAN OAKS,91403-1824,4955 VAN NUYS 91403-1824,4955 VAN NUYS BLVD UNIT #411,SHERMAN OAKS,91403-1824,Travel arrangement & reservation services,4,10/01/1975,"(34.1603, -118.4487)",19736,7,248,674,,83
0000005566-0001-5,SINGH AND ASSOCIATES LLP,"RUNKE & SINGH, CPA'S",15910   VENTURA BLVD   SUITE #1160,ENCINO,91436-2853,15910 VENTURA 91436-2853,15910   VENTURA BLVD   SUITE #1160,ENCINO,91436-2853,Other accounting services,4,01/01/1992,"(34.1545, -118.4876)",19737,6,327,1500,,62
0000005607-0001-6,ROBERT M BASSMAN,,4930 WOODMAN AVENUE,SHERMAN OAKS,91423-1367,4930 WOODMAN 91423-1367,15442 VENTURA BLVD #200,SHERMAN OAKS,91403-3067,Lessors of real estate (including mini warehouses & self-storage units),4,09/01/1972,"(34.1599, -118.4312)",19736,7,202,964,,83
0000005640-0001-9,"KESTER APARTMENTS INVESTORS, LLC",,5057 KESTER AVENUE,SHERMAN OAKS,91403-1674,5057 KESTER 91403-1674,1010 E UNION STREET SUITE #100,PASADENA,91106-1756,Lessors of real estate (including mini warehouses & self-storage units),4,06/21/2000,"(34.1624, -118.4574)",19732,7,248,674,,83
0000005670-0001-0,WILLIAM E CROCKETT APC,DION-KINDEM & CROCKETT,16000   VENTURA BLVD   UNIT #1000,ENCINO,91436-2762,16000 VENTURA 91436-2762,,,,Legal services,4,01/17/2000,"(34.1556, -118.4818)",19737,6,338,1500,6,62
0000005775-0010-0,PANDHER FAST FOOD INC,SUBWAY,4954 VAN NUYS BLVD UNIT #107,SHERMAN OAKS,91403-1775,4954 Van Nuys 91403-1775,,,,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,10/06/2021,"(34.161, -118.4482)",19736,7,245,562,,83
0000005816-0001-1,MICHAEL R SHAPIRO MD INC,L A KNEE/SPORTS MEDICINE CLINIC,17609   VENTURA BLVD   SUITE #304,ENCINO,91316-5129,17609 VENTURA 91316-5129,,,,Offices of physicians (except mental health specialists),4,02/03/1992,"(34.1625, -118.5166)",4286,6,325,1498,6,62
0000005903-0001-2,WENDY HOFFMAN MFCC,,15720 VENTURA BLVD #407,ENCINO,91436-4701,15720 VENTURA 91436-4701,,,,,4,03/01/1992,"(34.1552, -118.4753)",19737,6,338,670,6,62
0000005906-0001-6,MOLLY BARLEV,ALAM ENTERPRISES,5914 CEDROS AVENUE,VAN NUYS,91411-3102,5914 CEDROS 91411-3102,22647 VENTURA BLVD #353,WOODLAND HILLS,91364-1416,Lessors of real estate (including mini warehouses & self-storage units),4,03/01/2000,"(34.1781, -118.453)",19735,7,241,1337,,18
0000005937-0001-1,RAUL VEGA,,13420   HUSTON STREET   UNIT #C,SHERMAN OAKS,91423-2022,13420 HUSTON 91423-2022,,,,Photographic services,4,06/23/2006,"(34.1594, -118.4255)",19736,7,202,964,,83
0000005941-0001-8,DEANNA A MALONEY,,12260  1/2 VENTURA BLVD,STUDIO CITY,91604-2518,12260 VENTURA 91604-2518,5331 DE ROJA AVENUE,WOODLAND HILLS,91364-1910,Barber shops,4,04/01/2000,"(34.1431, -118.3998)",8492,5,352,710,6,84
0000005964-0001-9,"THE BEVERLY COLLECTION, INC",,13351 RIVERSIDE DRIVE #H,SHERMAN OAKS,91423-2542,13351 RIVERSIDE 91423-2542,13351 RIVERSIDE DRIVE UNIT #H,SHERMAN OAKS,91423-2542,"Machinery, equipment, & supplies",4,02/21/1992,"(34.1576, -118.4241)",19736,7,202,964,,83
0000006019-0001-7,LESLIE KASSOY,LES' FOREIGN AUTO,1912 N CAHUENGA BLVD,HOLLYWOOD,90068-3853,1912 CAHUENGA 90068-3853,8567 WALNUT DRIVE,LOS ANGELES,90046-1949,General merchandise stores,4,01/01/1975,"(34.1056, -118.3303)",24033,7,406,718,,64
0000006036-0001-1,MILLENNIUM DANCE STUDIOS INC,MORO LANDIS MILLENNIUM,11528   VENTURA BLVD,STUDIO CITY,91604-2610,11528 VENTURA 91604-2610,,,,Lessors of real estate (including mini warehouses & self-storage units),4,12/01/1999,"(34.1395, -118.383)",8492,5,351,712,6,84
0000006133-0001-5,SOUTHERN CALIFORNIA TAE KWON DO CENTER INC,,4454 VAN NUYS BLVD SUITE #106A,SHERMAN OAKS,91403-6428,4454 VAN NUYS 91403-6428,4454 VAN NUYS BLVD #106A,SHERMAN OAKS,91403-6428,Travel arrangement & reservation services,4,04/01/2000,"(34.1521, -118.4486)",19732,7,333,676,6,83
0000006358-0001-1,MICHAEL J BORENSTEIN CPA,,15315   MAGNOLIA BLVD   #232,SHERMAN OAKS,91403-1173,15315 MAGNOLIA 91403-1173,15315 MAGNOLIA BLVD SUITE #232,SHERMAN OAKS,91403-1174,Other accounting services,4,12/01/1991,"(34.1652, -118.4666)",19735,7,246,649,,83
0000006496-0002-3,VIKTOR BERDNIK,,14410 MAGNOLIA BLVD,SHERMAN OAKS,91423-1020,14410 MAGNOLIA 91423-1020,,,,Lessors of real estate (including mini warehouses & self-storage units),4,04/22/1998,"(34.1648, -118.4468)",19736,7,245,416,,83
0000006522-0001-0,EDWIN S AND NANCIE S CLARE,,14661 TUSTIN STREET,SHERMAN OAKS,91403-4104,14661 TUSTIN 91403-4104,,,,,4,03/01/1992,"(34.1466, -118.4548)",19732,7,337,680,,83
0000006535-0001-7,"THE SHERMAN OAKS NEIGHBORHOOD SCHOOL, INC",THE NEIGHBORHOOD SCHOOL,4528 MATILIJA AVENUE,SHERMAN OAKS,91423-2919,4528 MATILIJA 91423-2919,4433 MAMMOTH AVENUE,SHERMAN OAKS,91423-3607,Child day care services,4,02/27/1992,"(34.1535, -118.434)",19736,7,332,693,,83
0000006670-0001-7,FORTIS ET FIDUS /C,,2640 CARMAN CREST DRIVE,LOS ANGELES,90068-2607,2640 CARMAN CREST 90068-2607,1049   HAVENHURST DRIVE   SUITE #209,WEST HOLLYWOOD,90046-6002,"Promoters of performing arts, sports, & similar events",4,08/02/1991,"(34.1172, -118.349)",24033,7,456,627,11,82
0000006683-0001-4,MARVIN WORTH PRODUCTIONS,,1670 N DOHENY DRIVE,LOS ANGELES,90069-1106,1670 DOHENY 90069-1106,POST OFFICE BOX #18831,BEVERLY HILLS,90209-4831,Motion picture & video industries (except video rental),4,12/10/1991,"(34.1019, -118.3883)",24034,7,459,729,,81
0000006730-0001-1,INDEPENDENT CITIES ASSOCIATION INC,,14156 MAGNOLIA BLVD #103,SHERMAN OAKS,91423-1162,14156 MAGNOLIA 91423-1162,,,,"Management, scientific, & technical consulting services",4,01/01/1991,"(34.1648, -118.4423)",19736,7,245,562,,83
0000006749-0001-5,LYCEE INTERNATIONAL DE LOS ANGELES /C,,4155 RUSSELL AVENUE,LOS ANGELES,90027-4509,4155 RUSSELL 90027-4509,1105 W RIVERSIDE DRIVE,BURBANK,91506-3214,"Educational services (including schools, colleges, & universities)",4,01/17/1992,"(34.1044, -118.2804)",23445,7,465,1328,,3
0000006757-0001-0,HIGH HOPES NEUROLOGICAL RECOVEY GROUP INC,,18900 WILLARD STREET,RESEDA,91335-1145,18900 WILLARD 91335,661 HAMILTON STREET #300,COSTA MESA,92627-2678,Offices of physicians (except mental health specialists),4,01/01/1992,"(34.2188, -118.5448)",18909,2,249,274,,12
0000006809-0001-9,MARWAHA RESTAURANTS INC,DENNY'S #7213,5525 SEPULVEDA BLVD,SHERMAN OAKS,91411-3438,5525 SEPULVEDA 91411-3438,2551 W WOODLAND DRIVE,ANAHEIM,92801-2608,Full-service restaurants,4,05/01/2003,"(34.1707, -118.4661)",19735,7,246,649,,83
0000006889-0001-8,CASILLAS ENTERPRISES LLC,,8033 W SUNSET BLVD #912,LOS ANGELES,90046-2401,8033 SUNSET 90046-2401,,,,Other financial investment activities (including investment advice),4,01/01/2003,"(34.098, -118.3649)",23677,7,409,728,,82
0000006935-0001-0,DIANE WAYNE,,1290 SUNSET PLAZA DRIVE,LOS ANGELES,90069-1245,1290 SUNSET PLAZA 90069-1245,1801 CENTURY PARKS  E SUITE #1010,LOS ANGELES,90067-2312,Legal services,4,08/01/1999,"(34.0952, -118.3828)",24034,7,459,727,,81
