"location_account","business_name","dba_name","city","zip_code","primary_naics_description","location_start_date"
"0003288716-0001-1","CHEF CHOI, INC.",,"Los Angeles","90006-3919","Special food services (including food service contractors & caterers)","2022-12-28T00:00:00.000"
"0003292005-0001-8","PARKSIDE JERK LA","PARKSIDE JERK LA","Los Angeles","90028-5279","Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)","2022-12-27T00:00:00.000"
"0003291879-0001-0","11921 SHERMAN WAY LLC",,"North Hollywood","91605-3726",,"2022-12-22T00:00:00.000"
"0003287302-0001-9","SPACE XR",,"Long Beach","90802-8170","Specialized design services (including interior, industrial, graphic, & fashion design)","2022-12-21T00:00:00.000"
"0003288704-0001-8","MATTE ARGYLE INC",,"Playa Vista","90094-2990","Clothing accessories stores","2022-12-18T00:00:00.000"
"0003321749-0001-1","SPECTRA GLOBAL CUISINE LLC","ZIP KOREAN BBQ","Northridge","91324-5620",,"2022-12-17T00:00:00.000"
"0003316317-0001-9","COMPASS ROSE WEST COLLECTIVE LP",,"Los Angeles","90026-5618","Full-service restaurants","2022-12-16T00:00:00.000"
"0003316311-0001-1","COMPASS ROSE WEST COLLECTIVE LLC",,"Los Angeles","90026-5618","Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)","2022-12-16T00:00:00.000"
"0003311673-0001-1","OPTIMA CONSTRUCTION INC",,"COSTA MESA","92626-5807","All other specialty trade contractors","2022-12-16T00:00:00.000"
"0003306251-0001-1","ADAM E MUNOZ","AEM ELECTRIC","Whittier","90601-2156","Electrical Contractors (1997 NAICS)","2022-12-15T00:00:00.000"
"0003301895-0001-7","1910 SUNSET BLVD (LA), LP",,"Los Angeles","90010-3853","Real estate property managers","2022-12-15T00:00:00.000"
"0003294656-0001-4","JERETH LLC","JERET LLC","Los Angeles","90035-2127",,"2022-12-15T00:00:00.000"
"0003289723-0001-8","TOROSSIAN LLC",,"Woodland Hills","91364-2006","Other building materials dealers","2022-12-14T00:00:00.000"
"0003306025-0001-2","RG SYNERGY, INC",,"Sherman Oaks","91423-2202","All other personal services","2022-12-13T00:00:00.000"
"0003290280-0001-6","SLIMCOLORIST CORP",,"Venice","90291-3227",,"2022-12-10T00:00:00.000"
"0003310295-0001-7","HOME SOLUTIONS USA",,"LOS ANGELES","90002-1333","Couriers & messengers","2022-12-10T00:00:00.000"
"0003290447-0001-0","QUENTIN FEARS",,"Los Angeles","90035-4324",,"2022-12-10T00:00:00.000"
"0003286159-0001-5","BRIAN WU","BRIAN W STUDIOS","Los Angeles","90015-4397","Photographic services","2022-12-10T00:00:00.000"
"0003309647-0001-0","DMB TRANSPORTATION & INSURANCE SOLUTIONS INC",,"LOS ANGELES","90032-1703","Other insurance related activities","2022-12-03T00:00:00.000"
"0003295653-0001-8","HIEP HOANG","BOBA KAI","Baldwin Park","91706-2471","Limited-service eating places","2022-12-01T00:00:00.000"
"0003308064-0001-7","SONIA VILLANUEVA",,"ALHAMBRA","91801-1224","Beauty salons","2022-12-01T00:00:00.000"
"0003316546-0001-1","ENDLESS SUMMER ANTIQUE AND VINTAGE LLC",,"Chula Vista","91910-3504","Other Clothing Stores","2022-12-01T00:00:00.000"
"0000155172-0013-9","STARBUCKS CORPORATION","STARBUCKS COFFEE #59335","CANOGA PARK","91304-3959","Other food mfg. (including coffee, tea, flavoring, & seasonings)","2022-12-01T00:00:00.000"
"0003298430-0001-2","DRIP AND DIP LLC",,"Marina Del Rey","90292-7449","Home health care services","2022-12-01T00:00:00.000"
"0003321089-0001-9","ALENA SHURE","ALENA GRAE BODYWORK","Los Angeles","90027-4429","All other personal services","2022-12-01T00:00:00.000"
"0003304259-0001-3","BEYOND HEAT LLC",,"Victorville","92392-8318",,"2022-11-30T00:00:00.000"
"0003320972-0001-0","STARRCOX LLC",,"Los Angeles","90036-3288",,"2022-11-25T00:00:00.000"
"0003282518-0001-0","MICHAEL JOHN RAPUANO","MORDRAKE RENTALS","Sunland","91040-2311",,"2022-11-21T00:00:00.000"
"0003325898-0001-2","NELSON PORTILLO TRUCKING INC",,"LOS ANGELES","90043-4509","General freight trucking, local","2022-11-19T00:00:00.000"
"0003322698-0001-4","MEDAID HOME HEALTH",,"Burbank","91506-2819","All other personal services","2022-11-19T00:00:00.000"
"0003316509-0001-1","LA GALS LLC",,"Los Angeles","90065-4934","Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)","2022-11-19T00:00:00.000"
"0003292114-0001-5","MERCHANT ROCKET LLC",,"Long Beach","90813-5815","Engineering services","2022-11-17T00:00:00.000"
"0003306224-0001-4","9388 SANTA MONICA BLVD LLC","FUNKE","BEVERLY HILLS","90210-4885","Full-service restaurants","2022-11-15T00:00:00.000"
"0003289386-0001-1","MADISON ROLLEY","ROLLEY DIGITAL","Los Angeles","90064-1337",,"2022-11-07T00:00:00.000"
"0003314157-0001-2","REAL TRUTH INTERNATIONAL LLC",,"Beverly Hills","90212-3851","Educational services (including schools, colleges, & universities)","2022-11-06T00:00:00.000"
"0003323279-0001-6","EMPRESS ORGANICS LLC",,"Rancho Cucamonga","91730-5259","Other health & personal care stores","2022-11-06T00:00:00.000"
"0003279499-0001-0","FIDEL GONZALEZ BAUTISTA",,"Los Angeles","90004-6801",,"2022-11-05T00:00:00.000"
"0003298448-0001-2","STEPHEN DAVIS","PROVISION CONTRACTING","ARLETA","91331-5442","Multifamily Housing Construction (1997 NAICS)","2022-11-01T00:00:00.000"
"0003239597-0002-1","WWS ACQUSITION LLC","CRI SOCAL","PHOENIX","85034-6851","Other building equipment contractors","2022-11-01T00:00:00.000"
"0003304503-0001-2","NATASHA POST ROSOW",,"Los Angeles","90039-2131",,"2022-11-01T00:00:00.000"
"0003326285-0001-3","SEWN IN L.A. COMPANY",,"Los Angeles","90011-4438","Apparel, piece goods, & notions","2022-11-01T00:00:00.000"
"0003326841-0001-0","DANIELLE CLEMENT","GOLDEN FLOW FITNESS","Los Angeles","90042-2710","All other personal services","2022-11-01T00:00:00.000"
"0003323578-0001-6","GEVORK AELIAN","GRADIANT","Sunland","91040-2405","Other miscellaneous mfg.","2022-10-31T00:00:00.000"
"0003305813-0001-8","SHSH CONSULTING LLC",,"Los Angeles","90046-4219","All other personal services","2022-10-28T00:00:00.000"
"0003316370-0001-9","SHULMEN INC",,"LOS ANGELES","90035-2143","Single Family Housing Construction (1997 NAICS)","2022-10-28T00:00:00.000"
"0003299184-0001-1","ESSENTIAL PROPERTIES MANAGEMENT INC",,"Toluca Lake","91602-2331","Land subdivision","2022-10-22T00:00:00.000"
"0003303932-0001-4","STEPHANIE TORRES","THAT GURL","Los Angeles","90015-3419",,"2022-10-21T00:00:00.000"
"0003212244-0001-3","ATLANTIC TRADING LLC",,"AUSTIN","78731-4257",,"2022-10-20T00:00:00.000"
"0003303122-0001-5","PACIFIC CONSULTING GROUP, LLC",,"Newbury Park","91320-3633","Other activities related to real estate","2022-10-19T00:00:00.000"
"0003327546-0001-5","MARIE LOUISE JACHIMOICZ","THE WHOLENESS COLLECTIVE","Los Angeles","90042-3404","Offices of all other miscellaneous health practitioners","2022-10-17T00:00:00.000"
"0003316000-0001-9","PARADISE AUTO SPORT, INC",,"SAN FERNANDO","91340-3460","Used car dealers","2022-10-15T00:00:00.000"
"0003324788-0001-3","NICOLA HAMILTON",,"Los Angeles","90038-2045","All other personal services","2022-10-14T00:00:00.000"
"0000583927-0005-4","MARIA D SALGADO","AYURVEDA SALUD INFINITA","LOS ANGELES","90033-","Management, scientific, & technical consulting services","2022-10-14T00:00:00.000"
"0003274608-0001-2","ANGEL CITY SOLUTIONS LLC",,"Los Angeles","90024-4300",,"2022-10-13T00:00:00.000"
"0000544074-0005-7","JEFF OH KERN","WHEEL RIDERS","LOS ANGELES","90019-6046","Wholesale trade agents & brokers","2022-10-10T00:00:00.000"
"0002873789-0022-8","EVERYTABLE PBC",,"HARBOR CITY","90710-2645","Limited-service eating places","2022-10-07T00:00:00.000"
"0003303827-0001-5","GT CUTZ BARBERSHOP LLC",,"Los Angeles","90037-1208","Barber shops","2022-10-06T00:00:00.000"
"0003321821-0001-6","CRUX SUBSURFACE INC",,"SPOKANE VALLEY","99027-9600","All other professional, scientific, & technical services","2022-10-05T00:00:00.000"
"0003327531-0001-9","TONY HENRY RYAD JOYEN",,"Los Angeles","90057-1639",,"2022-10-04T00:00:00.000"
"0003309790-0001-4","KYE HARRIS",,"North Hills","91343-5657","Independent artists, writers, & performers","2022-10-04T00:00:00.000"
"0003327209-0001-0","FRANCIS GALLERY LLC",,"Los Angeles","90069-5403","Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)","2022-10-02T00:00:00.000"
"0003327057-0001-2","LENA GRIGORYAN","NOT2SWEET","Sylmar","91342-3231",,"2022-10-01T00:00:00.000"
"0003326052-0001-2","LC FINE WINE LLC",,"Marina Del Rey","90292-5529","Beer, wine & liquor stores","2022-10-01T00:00:00.000"
"0003315288-0001-3","HUBBLE KITCHENS INC",,"Los Angeles","90004-4811","Lessors of real estate (including mini warehouses & self-storage units)","2022-10-01T00:00:00.000"
"0003319911-0001-2","BALL RAW PERFORMANCE LLC",,"FONTANA","92336-5685",,"2022-10-01T00:00:00.000"
"0003272360-0001-9","PHWH2 PROP LLC",,"Los Angeles","90048-4311","Traveler accommodation (including hotels, motels, & bed & breakfast inns)","2022-10-01T00:00:00.000"
"0003319897-0001-1","BOBA THE GREAT LARCHMONT LLC",,"LOS ANGELES","90004-3705","Limited-service eating places","2022-10-01T00:00:00.000"
"0003327537-0001-6","CHRISTIAN YANEZ","AM SMOG CHECK","GARDENA","90247-5023","All other personal services","2022-10-01T00:00:00.000"
"0003327736-0001-8","RT MOBILE DETAIL LLC",,"Los Angeles","90020-3261","Other automotive repair & maintenance (including oil change & lubrication shops & car washes)","2022-10-01T00:00:00.000"
"0003327021-0001-4","HOLT RENEWABLES LLC",,"SAN ANTONIO","78222-3903","Multifamily Housing Construction (1997 NAICS)","2022-10-01T00:00:00.000"
"0003327028-0001-6","DEUCE DEALINGS LLC","PRESTIGE AUTO REPAIR GARAGE","Culver City","90230-4643","Automotive mechanical & electrical repair & maintenance","2022-10-01T00:00:00.000"
"0003066175-0003-7","PARACHUTE HOME INC",,"LOS ANGELES","90069-4708","Other miscellaneous durable goods","2022-10-01T00:00:00.000"
"0003317323-0001-1","IRIS CARRILLO","OFF THIS WORLD","LOS ANGELES","90007-",,"2022-10-01T00:00:00.000"
"0003324475-0001-1","NATIVE SON LA INC",,"Los Angeles","90014-3006",,"2022-10-01T00:00:00.000"
"0003322891-0001-9","MEDICAL FOODS LLC",,"LOS ANGELES","90077-1728","Drugs & druggists' sundries","2022-09-30T00:00:00.000"
"0003286113-0001-3","BALDY'S CLOUD LLC","BALDY'S GROCER","Los Angeles","90066-3814",,"2022-09-30T00:00:00.000"
"0003319487-0001-4","SWEETFIN CULVER CITY LLC",,"CULVER CITY","90232-2361",,"2022-09-30T00:00:00.000"
"0003319494-0001-4","SWEETFIN STUDIO CITY LLC",,"Studio City","91604-2639",,"2022-09-30T00:00:00.000"
"0003317794-0001-4","GYOZA BAR USA INC","GYOZA BAR","Los Angeles","90026-3319",,"2022-09-30T00:00:00.000"
"0000316861-0043-2","FEDEX OFFICE & PRINT SERVICES INC",,"LOS ANGELES","90027-5617","Couriers & messengers","2022-09-29T00:00:00.000"
"0003321763-0001-1","CHATSWORTH HOTEL LP","RESIDENCE INN","CHATSWORTH","91311-4505",,"2022-09-27T00:00:00.000"
"0003327264-0001-9","LEPTON ELECTRIC INCORPORATED",,"LOS ANGELES","90044-5697","Electrical Contractors (1997 NAICS)","2022-09-27T00:00:00.000"
"0003321686-0001-4","EQUINOX FITNESS STUDIO CITY INC",,"Studio City","91604-2368",,"2022-09-26T00:00:00.000"
"0003319758-0001-2","ADAM YOUSSEF ABOU-HAMAD",,"Bell","90201-2319",,"2022-09-24T00:00:00.000"
"0003314150-0001-1","CHILDREN'S  FOREST SCHOOL",,"BEVERLY HILLS","90210-2317","All other personal services","2022-09-23T00:00:00.000"
"0003322597-0001-1","FIAL PELT",,"Los Angeles","90066-5289",,"2022-09-20T00:00:00.000"
"0003326496-0001-8","ELLEN LAZARES","ELLEN LAZARES, L.AC.","Studio City","91602-1066","Offices of all other miscellaneous health practitioners","2022-09-16T00:00:00.000"
"0003326966-0001-8","FRANCISCO D AYALA","ENVIRONMENTAL RESTORATION SYSTEMS","NORTH HILLS","91343-4377","Waste management & remediation services","2022-09-15T00:00:00.000"
"0003327843-0001-6","MILES DIRTY RICE (VERNITA CAREY)","WATERMELON & LEMONADE","LOS ANGELES","90043-2132","Community food & housing, & emergency & other relief services","2022-09-15T00:00:00.000"
"0003326049-0001-1","BASSETT SALON SOLUTIONS INC","BASSETT SALON SOLUTIONS","Encino","91316-3904",,"2022-09-15T00:00:00.000"
"0000155172-0014-7","STARBUCKS CORPORATION","STARBUCKS COFFEE #52259","SUN VALLEY","91352-","Other food mfg. (including coffee, tea, flavoring, & seasonings)","2022-09-15T00:00:00.000"
"0003326296-0001-1","OJAI GENERAL STORE INC","BRENTWOOD SERVICE","Los Angeles","90049-4922","Gasoline stations (including convenience stores with gas)","2022-09-15T00:00:00.000"
"0003326474-0001-1","BUCKY ENTERPRISES LLC","JAMBA 38","Los Angeles","90048-1938",,"2022-09-15T00:00:00.000"
"0002809397-0012-1","EXER MEDICAL CORPORATION",,"PORTER RANCH","91326-4938","Hospitals","2022-09-14T00:00:00.000"
"0003326039-0001-7","PORTER RANCH EXER MANAGEMENT SERVICES LLC",,"Porter Ranch","91326-4937","Management, scientific, & technical consulting services","2022-09-14T00:00:00.000"
"0003323300-0001-8","MIGUEL LIZARDE II","GRAPHIXL","Los Angeles","90063-1781","Apparel mfg.","2022-09-13T00:00:00.000"
"0003312846-0001-7","AC INTERIORS INC",,"SIMI VALLEY","93065-7507","Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)","2022-09-13T00:00:00.000"
"0003314930-0001-9","DAYDREAM FOOD COMPANY",,"Hacienda Heights","91745-1918","Special food services (including food service contractors & caterers)","2022-09-12T00:00:00.000"
"0003326266-0001-1","PRIME EATS LLC","LOTUS VIETNAMESE KITCHEN","LOS ANGELES","90037-1427","Full-service restaurants","2022-09-12T00:00:00.000"
"0000033342-0015-8","MILE HI VALET SERVICE INC","TOWNE PARK","LOS ANGELES","90045-5614","Support activities for transportation (including motor vehicle towing)","2022-09-12T00:00:00.000"
"0003324354-0001-1","ARTHRITIS FOUNDATION INC.",,"ATLANTA","30309-3234","All other professional, scientific, & technical services","2022-09-10T00:00:00.000"
"0003327268-0001-7","ASHLEY YIN","CHOUETTE","Los Angeles","90057-1282","Women's clothing stores","2022-09-08T00:00:00.000"
"0003327816-0001-9","JAMES TRAN","JVSTJAMES","Woodland Hills","91367-5145","Nail salons","2022-09-08T00:00:00.000"
"0003324426-0001-8","TODD SNYDER INC","TODD SNYDER","Los Angeles","90036-6222","Men's clothing stores","2022-09-08T00:00:00.000"
"0003325152-0001-3","MAESTRO MUSIC EDUCATION SERVICES","MAESTRO MUSIC","Northridge","91325-4104","Educational services (including schools, colleges, & universities)","2022-09-07T00:00:00.000"
"0003326574-0001-0","DANA BEAN","AMPLIFY CONSULTING","Los Angeles","90027-2936","All other professional, scientific, & technical services","2022-09-06T00:00:00.000"
"0003327863-0001-3","GOLDEN VIEW TREE CARE",,"NORCO","92860-2396","Landscaping services","2022-09-05T00:00:00.000"
"0003327031-0001-8","TEXEIRA CONTRACTING INC",,"ALTAMONTE SPRINGS","32714-2057","Commercial and Institutional Building Construction (1997 NAICS)","2022-09-05T00:00:00.000"
"0003319754-0001-4","MCSHAN WARD-ROSTON ENTERPRISES INC","REAL PROPERTY MANAGEMENT GENERATIONS","LOS ANGELES","90018-1015","Real estate property managers","2022-09-04T00:00:00.000"
"0003326255-0001-2","KURT AND WHEY LLC","CANYON GROCER","Santa Monica","90402-1103","Grocery stores (including supermarkets & convenience stores without gas)","2022-09-03T00:00:00.000"
"0003324155-0001-0","ELIZABETH RABADAN ESPINOZA",,"Los Angeles","90003-1839","Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)","2022-09-01T00:00:00.000"
"0003325201-0001-9","BOULEVARD BARBERSHOP",,"ENCINO","91436-2032","Barber shops","2022-09-01T00:00:00.000"
"0003327710-0001-3","JASMINE VASQUEZ","ELITE BARBER LOUNGE","Los Angeles","90025-3151","All other personal services","2022-09-01T00:00:00.000"
"0003326120-0001-1","KOBRAN LLC",,"Los Angeles","90041-3318","Other consumer goods rental","2022-09-01T00:00:00.000"
"0003316006-0001-6","KIRKER GLASS, INC.",,"MONTCLAIR","91763-4522","All other personal services","2022-09-01T00:00:00.000"
"0003327369-0001-0","LAYA XUNCAX","MAYA / LINK","Los Angeles","90062-2241","All other personal services","2022-09-01T00:00:00.000"
"0003327462-0001-6","RONA DEXLER","RD COLOUR CONSULTATION","Granada Hills","91344-4921","All other personal services","2022-09-01T00:00:00.000"
"0003319373-0001-4","URAWBAN INC","NONSTOP SUSHI & SAKE BAR","Marina Del Rey","90292-5601",,"2022-09-01T00:00:00.000"
"0003326336-0001-8","CATTAN GROUP LLC","LUNCH THYME","CHATSWORTH","91311-0990","Community food & housing, & emergency & other relief services","2022-09-01T00:00:00.000"
"0003316250-0001-3","WINTECH II LLC","CHA SPA","Santa Monica","90403-1610",,"2022-09-01T00:00:00.000"
"0003326403-0001-1","BACKGROUNDS LIVE SCAN LLC",,"Los Angeles","90039-2031","All other personal services","2022-09-01T00:00:00.000"
"0003324308-0001-1","WEB CON STRUCT LLC",,"CANOGA PARK","91307-3628","All other specialty trade contractors","2022-09-01T00:00:00.000"
"0003319573-0001-1","DTLA NIGHTLIFE INC","VIBE","LOS ANGELES","90014-3000","Beer, wine & liquor stores","2022-09-01T00:00:00.000"
"0003319126-0001-3","TWL CONSTRUCTION INC",,"WINCHESTER","92596-9466","All other specialty trade contractors","2022-09-01T00:00:00.000"
"0003327894-0001-9","LASHANDRIA  LEFFALL","DEAR EARL VINTAGE","Los Angeles","90046-7257","Clothing accessories stores","2022-09-01T00:00:00.000"
"0003327108-0001-7","MAXWELLS HOUSE",,"DALLAS","75226-","Pet care (except veterinary) services","2022-09-01T00:00:00.000"
"0003314048-0001-5","OLYMPUS FITNESS II INC",,"LOS ANGELES","90047-3828","All other professional, scientific, & technical services","2022-09-01T00:00:00.000"
"0003326458-0001-2","TAEJIN BEVERAGE INC","SANS","Los Angeles","90028-8701","Other food mfg. (including coffee, tea, flavoring, & seasonings)","2022-09-01T00:00:00.000"
"0003303139-0001-1","MASIS MESERKHANI","ALMAS IRON WORK","VAN NUYS","91405-1261","Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance","2022-09-01T00:00:00.000"
"0000005318-0002-8","BEGINYANS INC",,"PANORAMA CITY","91402-6502","Wholesale trade agents & brokers","2022-09-01T00:00:00.000"
"0003325333-0001-7","DREAM CURLS LLC","MEMENGWAA","Los Angeles","90018-2716",,"2022-09-01T00:00:00.000"
"0003318546-0001-6","CONVERSANT SOLUTIONS LLC",,"BOULDER","80302-6720","Management, scientific, & technical consulting services","2022-09-01T00:00:00.000"
"0000110879-0009-8","CEDARS-SINAI MEDICAL CARE FOUNDATION /C",,"LOS ANGELES","90027-4749","Hospitals","2022-09-01T00:00:00.000"
"0003321497-0001-6","BRAFIE LLC","MASARAP CAFE","Van Nuys","91405-1025","Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)","2022-09-01T00:00:00.000"
"0003325174-0001-0","PFV UTC LLC","UNCLE TETSU #31012","LOS ANGELES","90020-2567","General merchandise stores","2022-09-01T00:00:00.000"
"0003315315-0001-2","PARCHMENT PAPER LLC",,"LOS ANGELES","90041-1924","Support activities for forestry","2022-09-01T00:00:00.000"
"0003327701-0001-4","ASIANESE EXPRESS INC",,"Panorama City","91402-5426",,"2022-09-01T00:00:00.000"
"0003161899-0002-1","CUCKOO RENTAL AMERICA, INC",,"LOS ANGELES","90006-2268","Bakeries & tortilla mfg.","2022-09-01T00:00:00.000"
"0003306698-0001-1","ANN JOY PEACE","KJP COMPANY","Canoga Park","91304-6230","Other Clothing Stores","2022-09-01T00:00:00.000"
"0003325078-0001-0","OCEAN 22 LLC","TAL'S CAFE","Los Angeles","90043-5139","Limited-service eating places","2022-09-01T00:00:00.000"
"0003327064-0001-2","LAW THREE INC",,"Los Angeles","90017-4112","Legal services","2022-09-01T00:00:00.000"
"0003327866-0001-7","MARTHA H MEDINA","TITAS CLEANING","Torrance","90501-4507","Janitorial services","2022-09-01T00:00:00.000"
"0003326871-0001-1","VP ANESTHESIA PARTNERS INC",,"Van Nuys","91405-4542","Offices of physicians (except mental health specialists)","2022-09-01T00:00:00.000"
"0003326495-0001-3","GSEB CORPORATION","FIREHOUSE SUBS","Van Nuys","91411-2680","Limited-service eating places","2022-09-01T00:00:00.000"
"0003324987-0001-5","HONGTHONGKHAM LLC","CHALALAI THAI SPA","SHERMAN OAKS","91403-3772","All other professional, scientific, & technical services","2022-09-01T00:00:00.000"
"0003325471-0001-1","SHANI COHEN","CLEAR LABEL SKIN CARE","Canoga Park","91303-2130","Cosmetics, beauty supplies, & perfume stores","2022-09-01T00:00:00.000"
"0003319677-0001-7","BOBBLE FINGERS LLC","SAY CHEEZ","Los Angeles","90035-2410",,"2022-09-01T00:00:00.000"
"0003326325-0001-0","MI HAIR LOUNGE INC",,"LOS ANGELES","90036-4810","Beauty salons","2022-09-01T00:00:00.000"
"0003326490-0001-1","NIKU X LOS ANGELES LLC",,"Los Angeles","90017-4701","Full-service restaurants","2022-09-01T00:00:00.000"
"0003324673-0001-9","JAEHYUN LEE","TEDDY LEARNING CENTER","Los Angeles","90017-5070","Translation & interpretation services","2022-09-01T00:00:00.000"
"0003327759-0001-9","ASHLEY PERRY",,"COSTA MESA","92627-1438","All other specialty trade contractors","2022-09-01T00:00:00.000"
"0003327222-0001-5","JASMINE VASQUEZ","ELITE BARBER LOUNGE","Los Angeles","90025-3151","Nail salons","2022-09-01T00:00:00.000"
"0003320465-0001-9","MLC HOMES SERVICES INC",,"LOS ANGELES","90019-3702","All other specialty trade contractors","2022-09-01T00:00:00.000"
"0003327468-0001-3","ANA & ALBERTO MAINTENANCE PROERTY","A&A MAINTENANCE PROPERTY","Los Angeles","90005-3163","All other personal services","2022-09-01T00:00:00.000"
"0003288218-0002-7","DIAMOND FOREVER INC.",,"LOS ANGELES","90012-2341","Jewelry stores","2022-09-01T00:00:00.000"
"0003326536-0001-4","S&P AFFILIATED","KABOB VILLAGE","Woodland Hills","91367-2272","Limited-service eating places","2022-09-01T00:00:00.000"
"0003327285-0001-1","CHINATOWN ACUPUNCTURE TCM INC","CHINATOWN ACUPUNCTURE","LOS ANGELES","90012-2352","Other personal care services (including diet & weight reducing centers)","2022-09-01T00:00:00.000"
"0003327253-0001-1","CORY MARTIN","CORY MARTIN EVENTS CONSULTANT","Los Angeles","90046-1618","Management, scientific, & technical consulting services","2022-09-01T00:00:00.000"
"0003327518-0001-3","HQ AUTOMOTIVE INC",,"Northridge","91324-5118","Automotive body, paint, interior, & glass repair","2022-09-01T00:00:00.000"
"0003316281-0001-9","JIYEON CHOI","ARTISTRACHEL","Los Angeles","90007-4339","Photographic services","2022-09-01T00:00:00.000"
"0003324400-0001-3","ANTONIO BARAJAS","WRAPPED CORN,S","LAWNDALE","90260-","Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)","2022-09-01T00:00:00.000"
"0003326931-0001-4","THAT PMU PLACE LLC",,"Los Angeles","90020-1564","Other personal care services (including diet & weight reducing centers)","2022-09-01T00:00:00.000"
"0000406920-0002-3","KHAJAK BADOYAN","CHLOE JEWELRY","LOS ANGELES","90014-2370","Other personal &  household goods repair & maintenance","2022-09-01T00:00:00.000"
"0003109403-0003-6","TEAM LLC","DOTS SPACE","LOS ANGELES","90025-6250","Special food services (including food service contractors & caterers)","2022-09-01T00:00:00.000"
"0003325219-0001-9","DIANA MORAN","DIANA MORAN THERAPY","RESEDA","91335-4707","Offices of mental health practitioners (except physicians)","2022-09-01T00:00:00.000"
"0003302692-0001-4","MWC GROUP INC.",,"ADELANTO","92301-1703","Structural Steel Erection Contractors (1997 NAICS)","2022-09-01T00:00:00.000"
"0003283471-0001-9","EXTRA ORDINAIRE ADVANTAGE CORPORATION",,"Burbank","91505-5032","All other personal services","2022-09-01T00:00:00.000"
"0003323916-0001-8","STORM HOME HEALTH CARE INC",,"Van Nuys","91401-1445","Home health care services","2022-09-01T00:00:00.000"
"0003319293-0001-3","HOT KEY MEDIA LLC",,"Los Angeles","90024-4112","Motion picture & video industries (except video rental)","2022-09-01T00:00:00.000"
"0003326862-0001-1","LAUREN ECCKER","LAUREN ECCKER THERAPY","ENCINO","91436-4551","Offices of mental health practitioners (except physicians)","2022-09-01T00:00:00.000"
"0003325071-0001-8","INSPECTOR SAMMY INCORPORATED",,"Porter Ranch","91326-1009","Building inspection services","2022-09-01T00:00:00.000"
"0003327525-0001-3","REYES POOLS CO",,"North Hollywood","91605-3963","Poured concrete foundation & structure contractors","2022-09-01T00:00:00.000"
"0003314949-0001-3","SKYSKOPES, INC.",,"CAMARILLO","93010-9123","All other professional, scientific, & technical services","2022-09-01T00:00:00.000"
"0003324821-0001-8","ALICIA HOUN","BRIDGE SPEECH THERAPY SERVICES","LOS ANGELES","90036-6213","Offices of physical, occupational & speech therapists, & audiologists","2022-09-01T00:00:00.000"
