"location_account","business_name","dba_name","street_address","city","zip_code","location_description","mailing_address","mailing_city","mailing_zip_code","naics","primary_naics_description","council_district","location_start_date","location_end_date","location_1"
"0000000171-0002-5","EAST LA COMMUNITY CORP",,"115 N SOTO STREET","LOS ANGELES","90033-2932","115 SOTO 90033-2932","530 S BOYLE AVENUE","LOS ANGELES","90033-3817","531100","Lessors of real estate (including mini warehouses & self-storage units)","14","2007-01-26T00:00:00.000",,"(34.0441, -118.2094)"
"0000000171-0003-3","EAST LA COMMUNITY CORP",,"2917 E 1ST STREET UNIT #101","LOS ANGELES","90033-3667","2917 1st 90033-3667",,,,"531100","Lessors of real estate (including mini warehouses & self-storage units)","14","2021-01-01T00:00:00.000",,"
,  
(34.0409, -118.2027)"
"0000000176-0001-0","FAME GOOD SHEPHERD CENTER HOUSING DEVELOPMENT CORP",,"2420 S WESTERN AVENUE","LOS ANGELES","90018-2650","2420 WESTERN 90018-2650","2270 S HARVARD BLVD","LOS ANGELES","90018-2142","531100","Lessors of real estate (including mini warehouses & self-storage units)","8","1991-04-01T00:00:00.000",,"(34.0333, -118.3089)"
"0000000182-0002-3","HERITAGE AND TRADITION INC",,"3756 ALOHA STREET","LOS ANGELES","90027-3302","3756 ALOHA 90027-3302",,,,,,"4","2005-01-18T00:00:00.000",,"(34.1059, -118.2748)"
"0000000195-0001-2","STEPHEN J POTHIER DDS INC",,"9720 RESEDA BLVD #2","NORTHRIDGE","91324-5513","9720 RESEDA 91324-5513",,,,"621111","Offices of physicians (except mental health specialists)","12","1974-08-01T00:00:00.000",,"(34.2467, -118.536)"
"0000000201-0001-0","DAVID OVED",,"12304 SANTA MONICA BLVD #209","LOS ANGELES","90025-2587","12304 SANTA MONICA 90025-2587",,,,"561300","Employment services","11",,,"(34.0395, -118.4655)"
"0000000208-0001-1","EMPLOYMENT/JOB-SEEKERS INC",,"4205 10TH AVENUE #4","LOS ANGELES","90008-4559","4205 10TH 90008-4559",,,,"561300","Employment services","10","1998-07-21T00:00:00.000",,"(34.0082, -118.3287)"
"0000000212-0002-6","HENRY ZAMORA",,"6730 TUJUNGA AVENUE","NORTH HOLLYWOOD","91606-1910","6730 TUJUNGA 91606-1910","400 ETON DRIVE","BURBANK","91504-2942","531100","Lessors of real estate (including mini warehouses & self-storage units)","2","1997-05-01T00:00:00.000",,"(34.1932, -118.379)"
"0000000223-0001-6","HIGHLAND PARK GUEST HOME INC","HIGHLAND PARK GST. HM INC | HIGHLAND PARK GUEST HOME","345   N AVENUE 57","LOS ANGELES","90042-3403","345 AVENUE 57 90042-3403","POST OFFICE BOX #50950","LOS ANGELES","90050-0950","623000","Nursing & residential care facilities","1","1973-03-01T00:00:00.000",,
"0000000223-0002-4","HIGHLAND PARK GUEST HOME INC",,"346 N AVENUE 57","LOS ANGELES","90042-3404","346 AVENUE 57 90042-3404","POST OFFICE BOX #50950","LOS ANGELES","90050-0950","623000","Nursing & residential care facilities","1","2010-01-01T00:00:00.000",,"
,  
(34.1126, -118.1944)"
"0000000224-0001-1","ARROWHEAD BRASS PRODUCTS,LLC",,"5147 ALHAMBRA AVENUE","LOS ANGELES","90032-3413","5147 ALHAMBRA 90032-3413",,,,"452000","General merchandise stores","14",,,
"0000000225-0001-5","STRATEGIC CONCEPTS IN ORGANIZING AND POLICY EDUCATION /C","SCOPE","1715 W FLORENCE AVENUE","LOS ANGELES","90047-2220","1715 FLORENCE 90047-2220",,,,"611000","Educational services (including schools, colleges, & universities)","8","1997-06-03T00:00:00.000",,"
,  
(34.0, -118.0)"
"0000000226-0001-0","INTERNATIONAL RIGHT OF WAY ASSOCIATION",,"19750 S VERMONT AVENUE #220","TORRANCE","90502-1144","19750 VERMONT 90502-1144",,,,"541600","Management, scientific, & technical consulting services","15","1991-01-01T00:00:00.000",,"(33.8514, -118.2905)"
"0000000228-0001-9","DOLLIE B ROGERS",,"5420 COMPTON AVENUE","LOS ANGELES","90011-4940","5420 COMPTON 90011-4940","10033 S ST ANDREWS PLACE","LOS ANGELES","90047-4164","531100","Lessors of real estate (including mini warehouses & self-storage units)","9","1971-04-01T00:00:00.000",,"(33.9934, -118.2477)"
"0000000230-0001-6","DEBUSSY TRIO MUSIC FOUNDATION /C",,"223 S BUNDY DRIVE","LOS ANGELES","90049-4106","223 BUNDY 90049-4106",,,,"611000","Educational services (including schools, colleges, & universities)","11","2000-02-06T00:00:00.000",,"(34.0582, -118.4758)"
"0000000237-0001-8","JUAREZ AND ASSOCIATES, INC",,"12139 NATIONAL BLVD","LOS ANGELES","90064-3522","12139 NATIONAL 90064-3522",,,,"541600","Management, scientific, & technical consulting services","11","1972-02-01T00:00:00.000",,"(34.0201, -118.4444)"
"0000000238-0001-2","FRIENDS OF EXPO CENTER",,"3980 MENLO AVENUE","LOS ANGELES","90037-1212","3980 MENLO 90037-1212","POST OFFICE BOX #6097","LOS ANGELES","90189-0001","541600","Management, scientific, & technical consulting services","9","1999-01-01T00:00:00.000",,"(34.0121, -118.2901)"
"0000000239-0001-7","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"2518 S CATALINA STREET","LOS ANGELES","90007-1652","2518 CATALINA 90007-1652","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","8","1991-01-01T00:00:00.000",,"(34.0334, -118.2942)"
"0000000244-0001-8","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"207 S WESTERN AVENUE #215","LOS ANGELES","90004-4132","207 WESTERN 90004-4132","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","10","1991-01-01T00:00:00.000",,"(34.0709, -118.3091)"
"0000000246-0001-7","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"863 N VIRGIL AVENUE","LOS ANGELES","90029-2958","863 VIRGIL 90029-2958","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","13","1991-01-01T00:00:00.000",,"(34.0869, -118.2868)"
"0000000247-0001-1","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"3806 W PICO BLVD","LOS ANGELES","90019-4304","3806 PICO 90019-4304","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","10","1991-01-01T00:00:00.000",,
"0000000248-0001-6","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"3607 EDENHURST AVENUE","LOS ANGELES","90039-1731","3607 EDENHURST 90039-1731","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","13","1991-01-01T00:00:00.000",,"(34.1181, -118.2612)"
"0000000249-0001-1","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"1424 GLENDALE BLVD","LOS ANGELES","90026-2429","1424 GLENDALE 90026-2429","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","13","1991-01-01T00:00:00.000",,"(34.0802, -118.26)"
"0000000251-0001-8","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"1435 1/2 S VERMONT AVENUE","LOS ANGELES","90006-4503","1435 VERMONT 90006-4503","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","1","1991-01-01T00:00:00.000",,"(34.0461, -118.2916)"
"0000000253-0001-7","MOSES F ABONAL",,"12340 SANTA MONICA BLVD SUITE #234","LOS ANGELES","90025-2594","12340 SANTA MONICA 90025-2594",,,,"541100","Legal services","11","2003-01-10T00:00:00.000",,"(34.0393, -118.4661)"
"0000000255-0001-6","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"1107 1/2 N WESTERN AVENUE #303","LOS ANGELES","90029-1016","1107 WESTERN 90029-1016","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","13","1991-01-01T00:00:00.000",,"(34.0909, -118.3091)"
"0000000256-0001-1","KEITH D BERSHATSKY",,"1725 ECHO PARK AVENUE","LOS ANGELES","90026-1741","1725 ECHO PARK 90026-1741",,,,"541100","Legal services","13","2002-07-01T00:00:00.000",,"(34.0836, -118.2542)"
"0000000257-0001-5","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"12206 W PICO BLVD","LOS ANGELES","90064-1135","12206 PICO 90064-1135","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","11","1991-01-01T00:00:00.000",,"(34.0289, -118.4511)"
"0000000263-0001-1","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"8752 S BROADWAY","LOS ANGELES","90003-3340","8752 BROADWAY 90003-3340","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","8","1991-01-01T00:00:00.000",,"(33.9578, -118.2782)"
"0000000264-0001-5","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"3006 W 7TH STREET #200A","LOS ANGELES","90005-1420","3006 7TH 90005-1420","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","1","1991-01-01T00:00:00.000",,"(34.0597, -118.2892)"
"0000000265-0001-0","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"260 S UNION AVENUE #1","LOS ANGELES","90026-5452","260 UNION 90026-5452","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","13","1991-01-01T00:00:00.000",,
"0000000267-0001-9","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"3115 VENICE BLVD","LOS ANGELES","90019-6238","3115 VENICE 90019-6238","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","10","1991-01-01T00:00:00.000",,
"0000000274-0001-9","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"835 E 41ST STREET","LOS ANGELES","90011-2730","835 41ST 90011-2730","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","9","1991-01-01T00:00:00.000",,"(34.0092, -118.261)"
"0000000275-0001-3","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"1208 W 8TH STREET","LOS ANGELES","90017-4410","1208 8TH 90017-4410","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","1","1991-01-01T00:00:00.000",,"(34.0497, -118.2679)"
"0000000282-0001-3","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"2601 W PICO BLVD #2","LOS ANGELES","90006-3901","2601 PICO 90006-3901","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","1","1991-01-01T00:00:00.000",,
"0000000284-0001-2","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"1310 MAGNOLIA AVENUE","LOS ANGELES","90006-4706","1310 MAGNOLIA 90006-4706","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","1","1991-01-01T00:00:00.000",,"(34.0468, -118.2863)"
"0000000287-0001-6","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"1804 W 11TH STREET","LOS ANGELES","90006-3708","1804 11TH 90006-3708","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","1","1991-01-01T00:00:00.000",,"(34.0488, -118.2775)"
"0000000299-0001-9","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"1424 W 7TH STREET","LOS ANGELES","90017-2306","1424 7TH 90017-2306","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","1","1991-01-01T00:00:00.000",,"(34.0527, -118.2687)"
"0000000303-0001-7","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"4418 S HOOVER STREET","LOS ANGELES","90037-3006","4418 HOOVER 90037-3006","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","9","1991-01-01T00:00:00.000",,"(34.0035, -118.2871)"
"0000000304-0001-1","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"241 E FLORENCE AVENUE","LOS ANGELES","90003-2119","241 FLORENCE 90003-2119","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","9","1991-01-01T00:00:00.000",,"(33.9747, -118.2708)"
"0000000312-0001-6","ALBERT K MORADIAN","ALBERT'S CONSTRUCTION","10520 MCCLEMONT AVENUE","TUJUNGA","91042-1702","10520 MCCLEMONT 91042-1702",,,,"233210","Single Family Housing Construction (1997 NAICS)","7","2003-01-01T00:00:00.000",,"(34.2597, -118.2951)"
"0000000320-0001-1","PUBLIC STORAGE INC",,"701 WESTERN AVENUE","GLENDALE","91201-2349","701 WESTERN 91201-2349","POST OFFICE BOX #25025","GLENDALE","91221-5025","541600","Management, scientific, & technical consulting services","0","1973-07-01T00:00:00.000",,"(34.1659, -118.2951)"
"0000000320-0002-9","PUBLIC STORAGE INC","PUBLIC STORAGE #00204","3810 EAGLE ROCK BLVD","LOS ANGELES","90065-3638","3810 EAGLE ROCK 90065-3638","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","1","1978-05-30T00:00:00.000",,"(34.1185, -118.2318)"
"0000000320-0004-5","PUBLIC STORAGE INC","PUBLIC STORAGE #21012","20140 SHERMAN WAY","WINNETKA","91306-3207","20140 SHERMAN 91306-3207","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","3","1984-11-01T00:00:00.000",,"(34.201, -118.5721)"
"0000000320-0005-3","PUBLIC STORAGE INC","PUBLIC STORAGE #00203","4889 VALLEY BLVD","LOS ANGELES","90032-3314","4889 VALLEY 90032-3314","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","14","1985-01-01T00:00:00.000",,"(34.0676, -118.1781)"
"0000000320-0007-0","PUBLIC STORAGE INC","PUBLIC STORAGE #40301","3017 N SAN FERNANDO ROAD","LOS ANGELES","90065-1410","3017 SAN FERNANDO 90065-1410","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","13","1985-07-15T00:00:00.000",,"(34.1138, -118.2448)"
"0000000320-0008-8","PUBLIC STORAGE INC","PUBLIC STORAGE #24609","2300 PURDUE AVENUE","LOS ANGELES","90064-1728","2300 PURDUE 90064-1728","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","11","1986-07-01T00:00:00.000",,"(34.0355, -118.4418)"
"0000000320-0009-6","PUBLIC STORAGE INC","PUBLIC STORAGE #20124","9350 TOPANGA CANYON BLVD","CHATSWORTH","91311-5728","9350 TOPANGA CANYON 91311-5728","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","12","1986-12-01T00:00:00.000",,"(34.2399, -118.606)"
"0000000320-0010-0","PUBLIC STORAGE INC","PUBLIC STORAGE 21718","11625 W OLYMPIC BLVD","LOS ANGELES","90064-1407","11625 OLYMPIC 90064-1407","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","11","1987-06-25T00:00:00.000",,"
,  
(34.0351, -118.4464)"
"0000000320-0011-8","PUBLIC STORAGE INC",,"6801 SANTA MONICA BLVD","LOS ANGELES","90038-1113","6801 SANTA MONICA 90038-1113","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","13","1987-08-01T00:00:00.000",,"
,  
(34.0907, -118.3386)"
"0000000320-0012-6","PUBLIC STORAGE INC","PUBLIC STORAGE #27805","1702 S SAN PEDRO STREET","LOS ANGELES","90015-3709","1702 SAN PEDRO 90015-3709","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","14","1988-06-22T00:00:00.000",,"(34.0288, -118.2566)"
"0000000320-0013-4","PUBLIC STORAGE INC","PUBLIC STORAGE #22311","6701 S SEPULVEDA BLVD","LOS ANGELES","90045-1509","6701 SEPULVEDA 90045-1509","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","11","1988-08-17T00:00:00.000",,"(33.9794, -118.3943)"
"0000000320-0014-2","PUBLIC STORAGE INC","PUBLIC STORAGE #22324","4002 N MISSION ROAD","LOS ANGELES","90032-2514","4002 MISSION 90032-2514","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","14","1988-10-02T00:00:00.000",,"
,  
(34.074, -118.1963)"
"0000000320-0015-1","PUBLIC STORAGE INC","PUBLIC STORAGE 27807","6202 WILLOUGHBY AVENUE","LOS ANGELES","90038-2604","6202 WILLOUGHBY 90038-2604","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","13","1988-11-28T00:00:00.000",,"(34.0871, -118.3299)"
"0000000320-0016-9","PUBLIC STORAGE INC","PUBLIC STORAGE #26811","315 4TH AVENUE","VENICE","90291-2619","315 4TH 90291-2619","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","11","1988-11-28T00:00:00.000",,"(33.9972, -118.4747)"
"0000000320-0017-7","PUBLIC STORAGE INC","PUBLIC STORAGE #23218","2370 COLORADO BLVD","LOS ANGELES","90041-1145","2370 COLORADO 90041-1145","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","14","1988-11-30T00:00:00.000",,"(34.1398, -118.2181)"
"0000000320-0018-5","PUBLIC STORAGE INC","PUBLIC STORAGE #26422","10400 SUNLAND BLVD","SUNLAND","91040-1906","10400 SUNLAND 91040-1906","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","7","1989-01-05T00:00:00.000",,"(34.2596, -118.328)"
"0000000320-0019-3","PUBLIC STORAGE INC","PUBLIC STORAGE #21910","649 S BOYLE AVENUE","LOS ANGELES","90023-1268","649 BOYLE 90023-1268","POST OFFICE BOX #25025","GLENDALE","91221-5025",,,"14","1989-03-13T00:00:00.000",,"(34.0386, -118.2197)"
"0000000320-0020-7","PUBLIC STORAGE INC","PUBLIC STORAGE #22002","5570 AIRDROME STREET","LOS ANGELES","90019-3801","5570 AIRDROME 90019-3801","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","10","1989-09-22T00:00:00.000",,"(34.0444, -118.3621)"
"0000000320-0021-5","PUBLIC STORAGE INC","PUBLIC STORAGE #27341","6400 FOOTHILL BLVD","TUJUNGA","91042-2703","6400 FOOTHILL 91042-2703","POST OFFICE BOX #25025","GLENDALE","91221-5025",,,"7","1989-10-01T00:00:00.000",,"(34.2434, -118.271)"
"0000000320-0022-3","PUBLIC STORAGE INC","PUBLIC STORAGE #34101","6467 FOOTHILL BLVD","TUJUNGA","91042-2702","6467 FOOTHILL 91042-2702","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","7","1989-12-19T00:00:00.000",,"(34.2444, -118.2726)"
"0000000320-0023-1","PUBLIC STORAGE INC","PUBLIC STORAGE #21914","5917 BURCHARD AVENUE","LOS ANGELES","90034-1701","5917 BURCHARD 90034-1701","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","10","1990-01-03T00:00:00.000",,"(34.0364, -118.3732)"
"0000000320-0024-0","PUBLIC STORAGE INC","PUBLIC STORAGE #27822","1712 GLENDALE BLVD","LOS ANGELES","90026-1738","1712 GLENDALE 90026-1738","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","13","1990-06-07T00:00:00.000",,"(34.0861, -118.2597)"
"0000000320-0025-8","PUBLIC STORAGE INC","PUBLIC STORAGE #20158","5741 W JEFFERSON BLVD","LOS ANGELES","90016-3106","5741 JEFFERSON 90016-3106","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","10","1993-06-30T00:00:00.000",,"(34.0267, -118.3748)"
"0000000320-0026-6","PUBLIC STORAGE INC","PUBLIC STORAGE #20220","4583 HUNTINGTON DRIVE S","LOS ANGELES","90032-1940","4583 HUNTINGTON 90032-1940","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","14","1994-05-26T00:00:00.000",,"(34.0852, -118.1864)"
"0000000320-0027-4","PUBLIC STORAGE INC","PUBLIC STORAGE #20249","4610 VAN NUYS BLVD","SHERMAN OAKS","91403-2915","4610 VAN NUYS 91403-2915","POST OFFICE BOX #25025","GLENDALE","91221-5025",,,"4","1994-11-01T00:00:00.000",,"(34.1549, -118.4486)"
"0000000320-0028-2","PUBLIC STORAGE INC","PUBLIC STORAGE #20438","5941 VENICE BLVD","LOS ANGELES","90034-1708","5941 VENICE 90034-1708","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","10","1995-01-01T00:00:00.000",,"(34.0393, -118.3708)"
"0000000320-0029-1","PUBLIC STORAGE INC","PUBLIC STORAGE #20473","13300 PAXTON STREET","PACOIMA","91331-2339","13300 PAXTON 91331-2339","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","7","1995-07-01T00:00:00.000",,"(34.2764, -118.4224)"
"0000000320-0030-4","PUBLIC STORAGE INC","PUBLIC STORAGE #20733","3636 BEVERLY BLVD","LOS ANGELES","90004-3515","3636 BEVERLY 90004-3515","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","13","1995-07-01T00:00:00.000",,"(34.0754, -118.2871)"
"0000000320-0031-2","PUBLIC STORAGE INC","PUBLIC STORAGE 20435","18440 BURBANK BLVD","TARZANA","91356-2802","18440 BURBANK 91356-2802","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","3","1995-07-14T00:00:00.000",,"(34.1718, -118.5339)"
"0000000320-0032-1","PUBLIC STORAGE INC","PUBLIC STORAGE #20295","12345 VENTURA COURT","STUDIO CITY","91604-2513","12345 VENTURA 91604-2513","POST OFFICE BOX #25025","GLENDALE","91221-5025","453990","All other miscellaneous store retailers (including tobacco, candle, & trophy shops)","4","1995-08-11T00:00:00.000",,"
,  
(34.1434, -118.4018)"
"0000000320-0033-9","PUBLIC STORAGE INC","PUBLIC STORAGE #20499","6007 VENICE BLVD","LOS ANGELES","90034-2232","6007 VENICE 90034-2232","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","10","1995-09-01T00:00:00.000",,"(34.0373, -118.3743)"
"0000000320-0034-7","PUBLIC STORAGE INC","PUBLIC STORAGE #20630","8200 BALBOA BLVD","VAN NUYS","91406-1137","8200 BALBOA 91406-1137","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","6","1995-10-01T00:00:00.000",,"(34.2179, -118.5013)"
"0000000320-0035-5","PUBLIC STORAGE INC","PUBLIC STORAGE #102","15350 OXNARD STREET","VAN NUYS","91411-2505","15350 OXNARD 91411-2505","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","4","2001-01-02T00:00:00.000",,"(34.1793, -118.4678)"
"0000000320-0036-3","PUBLIC STORAGE INC","PUBLIC STORAGE","11620 SHERMAN WAY","N HOLLYWOOD","91605-5831","11620 SHERMAN 91605-5831","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","2","2001-01-16T00:00:00.000",,"(34.2011, -118.3848)"
"0000000320-0037-1","PUBLIC STORAGE INC","PUBLIC STORAGE","11200 W PICO BLVD","LOS ANGELES","90064-1710","11200 PICO 90064-1710","POST OFFICE BOX #25025","GLENDALE","91221-5025","531100","Lessors of real estate (including mini warehouses & self-storage units)","5","2001-03-01T00:00:00.000",,"(34.0362, -118.4366)"
