SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-1831748241,01/01/2021 01:14:36 AM,01/02/2021 04:46:56 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,Y,NC,01/02/2021 12:00:00 AM,01/02/2021 10:43:41 AM,Y,,"525 S KINGSLEY DR, 90020",525,S,KINGSLEY,DR,90020,34.0646315606,-118.30307586,"(34.0646315606, -118.30307586)",633,J,2,Central APC,10,Mark Ridley-Thomas,55,Wilshire Center Koreatown,OLYMPIC
1-1831745711,01/01/2021 01:16:11 AM,01/04/2021 07:19:25 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,Y,WV,01/04/2021 12:00:00 AM,01/04/2021 07:18:37 AM,Y,,"9121 N VANALDEN AVE, 91324",9121,N,VANALDEN,AVE,91324,34.2361431878,-118.549366642,"(34.2361431878, -118.549366642)",500,G,7,North Valley APC,12,John Lee,113,Northridge West,DEVONSHIRE
1-1831746651,01/01/2021 01:26:45 AM,01/04/2021 05:34:30 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,WLA,01/04/2021 12:00:00 AM,01/04/2021 05:31:30 PM,Y,,"12530 W BARBARA AVE, 90066",12530,W,BARBARA,AVE,90066,34.0001269792,-118.434382973,"(34.0001269792, -118.434382973)",672,C,4,West Los Angeles APC,11,Mike Bonin,67,Mar Vista,PACIFIC
1-1831745881,01/01/2021 01:28:30 AM,01/04/2021 06:54:28 PM,SR Created,LASAN,Metal/Household Appliances,Closed,Mobile App,iOS,N,WLA,01/04/2021 12:00:00 AM,01/04/2021 06:51:36 PM,Y,,"12530 W BARBARA AVE, 90066",12530,W,BARBARA,AVE,90066,34.0001269792,-118.434382973,"(34.0001269792, -118.434382973)",672,C,4,West Los Angeles APC,11,Mike Bonin,67,Mar Vista,PACIFIC
1-1831748421,01/01/2021 01:30:13 AM,01/07/2021 11:42:24 PM,SR Created,LASAN,Bulky Items,Cancelled,Mobile App,iOS,N,WV,01/08/2021 12:00:00 AM,01/07/2021 11:42:23 PM,Y,N,"7459 N DARNOCH WAY, 91307",7459,N,DARNOCH,WAY,91307,34.2047747047,-118.64772157,"(34.2047747047, -118.64772157)",529,E,4,South Valley APC,12,John Lee,11,West Hills,TOPANGA
1-1831748451,01/01/2021 01:31:17 AM,04/27/2021 10:38:49 AM,SR Created,LASAN,Homeless Encampment,Closed,Mobile App,iOS,N,NC,01/04/2021 12:00:00 AM,04/27/2021 10:36:04 AM,Y,,"1729 N BRONSON AVE, 90028",1729,N,BRONSON,AVE,90028,34.1025599129,-118.318170599,"(34.1025599129, -118.318170599)",593,G,4,Central APC,13,Mitch O'Farrell,30,Hollywood United,HOLLYWOOD
1-1831747651,01/01/2021 01:38:03 AM,01/04/2021 08:11:01 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,Android,N,WV,01/04/2021 12:00:00 AM,01/04/2021 11:59:42 AM,Y,,"8105 N WYNNE AVE, 91335",8105,N,WYNNE,AVE,91335,34.2176154469,-118.530213349,"(34.2176154469, -118.530213349)",530,J,2,South Valley APC,12,John Lee,15,Reseda,WEST VALLEY
1-1831750031,01/01/2021 01:39:52 AM,01/08/2021 02:26:39 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,EV,01/07/2021 12:00:00 AM,01/07/2021 07:39:10 AM,Y,,"5455 N VENTURA CANYON AVE, 91401",5455,N,VENTURA CANYON,AVE,91401,34.1700887088,-118.42924783,"(34.1700887088, -118.42924783)",562,C,2,South Valley APC,4,Nithya Raman,26,Sherman Oaks,VAN NUYS
1-1831750281,01/01/2021 01:56:27 AM,01/02/2021 06:44:11 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,WV,01/02/2021 12:00:00 AM,01/02/2021 11:34:32 AM,Y,,"7459 N DARNOCH WAY, 91307",7459,N,DARNOCH,WAY,91307,34.2047747047,-118.64772157,"(34.2047747047, -118.64772157)",529,E,4,South Valley APC,12,John Lee,11,West Hills,TOPANGA
1-1831753001,01/01/2021 02:06:38 AM,01/05/2021 12:35:58 PM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Call,,N,EV,01/05/2021 12:00:00 AM,01/05/2021 12:31:33 PM,Y,N,"12136 W VANOWEN ST, 91605",12136,W,VANOWEN,ST,91605,34.1937760452,-118.397920801,"(34.1937760452, -118.397920801)",532,G,5,South Valley APC,2,Paul Krekorian,23,North Hollywood Northeast,NORTH HOLLYWOOD
1-1831753051,01/01/2021 02:10:38 AM,01/08/2021 12:14:30 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,SLA,01/05/2021 12:00:00 AM,01/08/2021 12:10:02 PM,Y,,"2330 S LA BREA AVE, 90016",2330,S,LA BREA,AVE,90016,34.0356641637,-118.349380484,"(34.0356641637, -118.349380484)",633,D,6,South Los Angeles APC,10,Mark Ridley-Thomas,73,Mid City,WILSHIRE
1-1831750701,01/01/2021 02:21:06 AM,01/01/2021 12:42:35 PM,SR Created,ITA,Other,Closed,Mobile App,iOS,N,,,01/01/2021 12:42:34 PM,Y,N,"7255 N WOODMAN AVE, 91405",7255,N,WOODMAN,AVE,91405,34.2026807572,-118.431514542,"(34.2026807572, -118.431514542)",532,C,4,South Valley APC,2,Paul Krekorian,20,Van Nuys,VAN NUYS
1-1831750771,01/01/2021 02:26:05 AM,01/08/2021 01:11:12 AM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Mobile App,iOS,N,EV,01/07/2021 12:00:00 AM,01/08/2021 12:52:22 AM,Y,,"7142 N WOODMAN AVE, 91405",7142,N,WOODMAN,AVE,91405,34.2005103374,-118.43109849,"(34.2005103374, -118.43109849)",532,C,5,South Valley APC,2,Paul Krekorian,21,Greater Valley Glen,VAN NUYS
1-1831751671,01/01/2021 02:28:00 AM,01/07/2021 08:19:00 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,SLA,01/07/2021 12:00:00 AM,01/07/2021 08:10:53 AM,Y,,"517 W 92ND ST, 90044",517,W,92ND,ST,90044,33.9529275466,-118.283406152,"(33.9529275466, -118.283406152)",704,B,3,South Los Angeles APC,8,Marqueece Harris-Dawson,87,Empowerment Congress Southeast,SOUTHEAST
1-1831752481,01/01/2021 03:12:11 AM,01/02/2021 07:42:18 AM,SR Created,LASAN,Bulky Items,Closed,Call,,N,SLA,01/02/2021 12:00:00 AM,01/02/2021 07:39:06 AM,Y,N,"8716 1/2 S MAIN ST, 90003",8716,S,MAIN,ST,90003,33.9584847846,-118.273743625,"(33.9584847846, -118.273743625)",704,C,3,South Los Angeles APC,8,Marqueece Harris-Dawson,87,Empowerment Congress Southeast,SOUTHEAST
1-1831752501,01/01/2021 03:40:39 AM,01/02/2021 08:27:44 PM,SR Created,LASAN,Homeless Encampment,Closed,Mobile App,iOS,N,WLA,01/02/2021 12:00:00 AM,01/02/2021 03:34:24 PM,Y,,"8985 W VENICE BLVD, 90034",8985,W,VENICE,BLVD,90034,34.0273245834,-118.392453575,"(34.0273245834, -118.392453575)",632,H,7,West Los Angeles APC,5,Paul Koretz,115,Palms,PACIFIC
1-1831751791,01/01/2021 03:43:59 AM,04/17/2021 12:41:05 PM,SR Created,LASAN,Homeless Encampment,Closed,Mobile App,iOS,N,NC,01/08/2021 12:00:00 AM,04/17/2021 12:31:40 PM,Y,,"647 N JUANITA AVE, 90004",647,N,JUANITA,AVE,90004,34.0831953895,-118.290688784,"(34.0831953895, -118.290688784)",594,A,6,Central APC,13,Mitch O'Farrell,34,East Hollywood,RAMPART
1-1831750891,01/01/2021 03:50:10 AM,01/02/2021 09:13:05 PM,SR Created,LASAN,Homeless Encampment,Closed,Mobile App,iOS,N,WLA,01/02/2021 12:00:00 AM,01/02/2021 01:50:32 PM,Y,,"3600 S BAGLEY AVE, 90034",3600,S,BAGLEY,AVE,90034,34.0283097866,-118.396982469,"(34.0283097866, -118.396982469)",632,G,7,West Los Angeles APC,5,Paul Koretz,115,Palms,PACIFIC
1-1831752541,01/01/2021 04:21:27 AM,01/07/2021 06:55:10 AM,SR Created,LASAN,Metal/Household Appliances,Closed,Call,,N,SLA,01/07/2021 12:00:00 AM,01/07/2021 06:52:04 AM,Y,N,"5912 S WEST BLVD, 90043",5912,S,WEST,BLVD,90043,33.9867737912,-118.335063064,"(33.9867737912, -118.335063064)",673,E,6,South Los Angeles APC,8,Marqueece Harris-Dawson,80,Park Mesa Heights,77TH STREET
1-1831753961,01/01/2021 05:08:49 AM,01/02/2021 02:08:06 PM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Mobile App,Android,N,WLA,01/02/2021 12:00:00 AM,01/02/2021 02:00:44 PM,Y,,"1419 S MEADOWBROOK AVE, 90019",1419,S,MEADOWBROOK,AVE,90019,34.0474151061,-118.350830068,"(34.0474151061, -118.350830068)",633,C,4,Central APC,10,Mark Ridley-Thomas,60,P.I.C.O.,WILSHIRE
1-1831752601,01/01/2021 05:27:11 AM,01/01/2021 01:46:34 PM,SR Created,LASAN,Dead Animal Removal,Closed,Call,,N,WV,,01/01/2021 01:45:59 PM,Y,N,"18555 W COLLINS ST, 91356",18555,W,COLLINS,ST,91356,34.174607583,-118.53731419,"(34.174607583, -118.53731419)",560,J,1,South Valley APC,3,Bob Blumenfield,17,Tarzana,WEST VALLEY
1-1831751881,01/01/2021 05:38:37 AM,01/02/2021 01:02:16 PM,SR Created,LASAN,Dead Animal Removal,Closed,Self Service,,N,WV,,01/02/2021 01:02:15 PM,Y,Y,"18555 W COLLINS ST, 91356",18555,W,COLLINS,ST,91356,34.174607583,-118.53731419,"(34.174607583, -118.53731419)",560,J,1,South Valley APC,3,Bob Blumenfield,17,Tarzana,WEST VALLEY
1-1831752631,01/01/2021 05:39:30 AM,01/04/2021 07:19:35 AM,SR Created,LASAN,Bulky Items,Closed,Self Service,,Y,WV,01/04/2021 12:00:00 AM,01/04/2021 07:18:30 AM,Y,N,"19119 W NORDHOFF ST, 91324",19119,W,NORDHOFF,ST,91324,34.2356355328,-118.549854317,"(34.2356355328, -118.549854317)",500,G,7,North Valley APC,12,John Lee,113,Northridge West,DEVONSHIRE
1-1831752661,01/01/2021 06:13:33 AM,04/14/2021 10:19:33 AM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Mobile App,Android,Y,EV,01/14/2021 12:00:00 AM,04/14/2021 10:16:49 AM,Y,,"15607 W NORDHOFF ST, 91343",15607,W,NORDHOFF,ST,91343,34.2357179648,-118.472363935,"(34.2357179648, -118.472363935)",501,G,7,North Valley APC,7,Monica Rodriguez,112,North Hills East,MISSION
1-1831753451,01/01/2021 06:19:34 AM,01/09/2021 12:10:40 AM,SR Created,BSL,Single Streetlight Issue,Closed,Mobile App,Android,Y,NORTH,01/07/2021 12:00:00 AM,01/07/2021 12:00:00 AM,Y,,"7521 N LINDLEY AVE, 91335",7521,N,LINDLEY,AVE,91335,34.20729482,-118.52740243,"(34.20729482, -118.52740243)",531,A,4,South Valley APC,3,Bob Blumenfield,15,Reseda,WEST VALLEY
1-1831755981,01/01/2021 06:28:40 AM,01/06/2021 02:37:03 AM,SR Created,LASAN,Bulky Items,Closed,Self Service,,N,WV,01/05/2021 12:00:00 AM,01/05/2021 04:08:36 PM,Y,N,"8521 N INTERNATIONAL AVE, 91304",8521,N,INTERNATIONAL,AVE,91304,34.2251375647,-118.599616784,"(34.2251375647, -118.599616784)",530,A,1,North Valley APC,3,Bob Blumenfield,13,Canoga Park,TOPANGA
1-1831753511,01/01/2021 06:39:06 AM,01/07/2021 05:39:37 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,Android,N,HB,01/06/2021 12:00:00 AM,01/07/2021 05:39:23 AM,Y,,"3447 S WALKER AVE, 90731",3447,S,WALKER,AVE,90731,33.7163510554,-118.304669366,"(33.7163510554, -118.304669366)",853,J,1,Harbor APC,15,Joe Buscaino,96,Coastal San Pedro,HARBOR
1-1831752691,01/01/2021 06:53:31 AM,01/06/2021 02:37:42 AM,SR Created,LASAN,Metal/Household Appliances,Closed,Call,,N,EV,01/05/2021 12:00:00 AM,01/05/2021 05:57:12 PM,Y,N,"5021 N KLUMP AVE, 91601",5021,N,KLUMP,AVE,91601,34.1613634489,-118.375897258,"(34.1613634489, -118.375897258)",562,J,3,South Valley APC,2,Paul Krekorian,24,NoHo,NORTH HOLLYWOOD
1-1831752741,01/01/2021 06:56:12 AM,01/02/2021 12:32:48 PM,SR Created,LASAN,Bulky Items,Closed,Call,,N,WLA,01/02/2021 12:00:00 AM,01/02/2021 12:30:20 PM,Y,N,"10860 W CHARNOCK ROAD, 90034",10860,W,CHARNOCK,ROAD,90034,34.0203982857,-118.413636593,"(34.0203982857, -118.413636593)",672,E,1,West Los Angeles APC,5,Paul Koretz,115,Palms,PACIFIC
1-1831756071,01/01/2021 06:58:52 AM,01/04/2021 01:29:03 PM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Mobile App,iOS,N,WV,01/04/2021 12:00:00 AM,01/04/2021 01:22:49 PM,Y,,"22708 W ROSCOE BLVD, 91304",22708,W,ROSCOE,BLVD,91304,34.2192364528,-118.621609735,"(34.2192364528, -118.621609735)",529,H,2,South Valley APC,12,John Lee,11,West Hills,TOPANGA
1-1831754151,01/01/2021 07:08:14 AM,01/02/2021 12:24:15 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,Y,WLA,01/02/2021 12:00:00 AM,01/02/2021 12:22:59 PM,Y,,"10915 W VENICE BLVD, 90034",10915,W,VENICE,BLVD,90034,34.0159607815,-118.412462747,"(34.0159607815, -118.412462747)",672,E,2,West Los Angeles APC,5,Paul Koretz,115,Palms,PACIFIC
1-1831754171,01/01/2021 07:11:56 AM,01/01/2021 04:10:37 PM,SR Created,ITA,Other,Closed,Self Service,,N,,,01/01/2021 04:10:36 PM,Y,N,"3300 W SLAUSON AVE, 90043",3300,W,SLAUSON,AVE,90043,33.9875200493,-118.32949735,"(33.9875200493, -118.32949735)",673,F,6,South Los Angeles APC,8,Marqueece Harris-Dawson,80,Park Mesa Heights,77TH STREET
1-1831752791,01/01/2021 07:21:33 AM,01/04/2021 11:24:01 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,WLA,01/04/2021 12:00:00 AM,01/04/2021 11:20:28 AM,Y,,"5314 S PACIFIC AVE, 90292",5314,S,PACIFIC,AVE,90292,33.9673054853,-118.456158136,"(33.9673054853, -118.456158136)",701,J,2,West Los Angeles APC,11,Mike Bonin,68,Venice,PACIFIC
1-1831756141,01/01/2021 07:25:15 AM,01/04/2021 07:46:39 PM,SR Created,LASAN,Bulky Items,Closed,Self Service,,N,NC,01/04/2021 12:00:00 AM,01/04/2021 11:10:39 AM,Y,N,"2547 N LOMBARDY BLVD, 90032",2547,N,LOMBARDY,BLVD,90032,34.0763866151,-118.175105293,"(34.0763866151, -118.175105293)",595,E,7,East Los Angeles APC,14,Kevin de León,48,LA32,HOLLENBECK
1-1831753641,01/01/2021 07:30:16 AM,01/04/2021 11:44:36 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,Android,Y,SLA,01/04/2021 12:00:00 AM,01/04/2021 10:45:38 AM,Y,,"2804 S SOMERSET DR, 90016",2804,S,SOMERSET,DR,90016,34.0309121484,-118.337276768,"(34.0309121484, -118.337276768)",633,E,7,South Los Angeles APC,10,Mark Ridley-Thomas,75,West Adams,SOUTHWEST
1-1831756191,01/01/2021 07:30:57 AM,01/02/2021 12:39:15 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,Android,Y,WLA,01/02/2021 12:00:00 AM,01/02/2021 12:38:08 PM,Y,,"1422 S SHENANDOAH ST, 90035",1422,S,SHENANDOAH,ST,90035,34.0535864037,-118.381576017,"(34.0535864037, -118.381576017)",632,J,4,Central APC,5,Paul Koretz,61,South Robertson,WEST LOS ANGELES
1-1831752871,01/01/2021 07:31:26 AM,01/04/2021 11:44:25 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,Android,Y,SLA,01/04/2021 12:00:00 AM,01/04/2021 10:45:45 AM,Y,,"2804 S SOMERSET DR, 90016",2804,S,SOMERSET,DR,90016,34.0309121484,-118.337276768,"(34.0309121484, -118.337276768)",633,E,7,South Los Angeles APC,10,Mark Ridley-Thomas,75,West Adams,SOUTHWEST
1-1831756251,01/01/2021 07:33:08 AM,01/02/2021 04:02:01 PM,SR Created,LASAN,Bulky Items,Closed,Call,,N,WV,01/02/2021 12:00:00 AM,01/02/2021 10:37:47 AM,Y,N,"7049 N MIDDLESBURY RIDGE CIR, 91307",7049,N,MIDDLESBURY RIDGE,CIR,91307,34.2004062514,-118.646920573,"(34.2004062514, -118.646920573)",529,E,5,South Valley APC,12,John Lee,11,West Hills,TOPANGA
1-1831753741,01/01/2021 07:38:36 AM,01/02/2021 11:53:57 AM,SR Created,LASAN,Bulky Items,Closed,Self Service,,N,WV,01/02/2021 12:00:00 AM,01/02/2021 11:52:25 AM,Y,N,"24423 W CLIPSTONE ST, 91367",24423,W,CLIPSTONE,ST,91367,34.1794572079,-118.657500153,"(34.1794572079, -118.657500153)",559,D,1,South Valley APC,3,Bob Blumenfield,16,Woodland Hills-Warner Center,TOPANGA
1-1831756331,01/01/2021 07:42:59 AM,01/07/2021 08:30:02 PM,SR Created,LASAN,Bulky Items,Closed,Call,,Y,EV,01/07/2021 12:00:00 AM,01/07/2021 08:29:03 PM,Y,N,"15210 W SHERMAN WAY, 91405",15210,W,SHERMAN,WAY,91405,34.2009575397,-118.464550853,"(34.2009575397, -118.464550853)",531,H,5,South Valley APC,6,Nury Martinez,20,Van Nuys,VAN NUYS
1-1831754401,01/01/2021 07:43:19 AM,01/01/2021 10:35:50 AM,SR Created,LASAN,Dead Animal Removal,Closed,Self Service,,N,EV,,01/01/2021 10:35:49 AM,Y,N,"7650 N TEESDALE AVE, 91605",7650,N,TEESDALE,AVE,91605,34.2098213218,-118.409395025,"(34.2098213218, -118.409395025)",532,E,3,North Valley APC,2,Paul Krekorian,22,North Hollywood West,NORTH HOLLYWOOD
1-1831757981,01/01/2021 07:43:56 AM,01/05/2021 08:34:03 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,Android,N,WLA,01/05/2021 12:00:00 AM,01/05/2021 08:30:32 AM,Y,,"615 S HAMPTON DR, 90291",615,S,HAMPTON,DR,90291,33.9945112781,-118.475292446,"(33.9945112781, -118.475292446)",671,G,5,West Los Angeles APC,11,Mike Bonin,68,Venice,PACIFIC
1-1831758011,01/01/2021 07:44:28 AM,01/07/2021 04:30:40 PM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Call,,Y,EV,01/07/2021 12:00:00 AM,01/07/2021 04:28:00 PM,Y,N,"7201 N LENNOX AVE, 91405",7201,N,LENNOX,AVE,91405,34.2016917441,-118.446450649,"(34.2016917441, -118.446450649)",532,A,4,South Valley APC,2,Paul Krekorian,20,Van Nuys,VAN NUYS
1-1831753841,01/01/2021 07:46:00 AM,01/07/2021 05:38:43 PM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Call,,Y,EV,01/07/2021 12:00:00 AM,01/07/2021 05:36:34 PM,Y,N,"14737 W SHERMAN WAY, 91405",14737,W,SHERMAN,WAY,91405,34.2013913756,-118.454253769,"(34.2013913756, -118.454253769)",531,J,4,South Valley APC,6,Nury Martinez,20,Van Nuys,VAN NUYS
1-1831758061,01/01/2021 07:47:18 AM,01/07/2021 12:23:02 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,EV,01/06/2021 12:00:00 AM,01/06/2021 08:59:04 AM,Y,,"11101 W AQUA VISTA ST, 91602",11101,W,AQUA VISTA,ST,91602,34.1450730058,-118.371867606,"(34.1450730058, -118.371867606)",563,A,5,South Valley APC,2,Paul Krekorian,27,Studio City,NORTH HOLLYWOOD
1-1831753871,01/01/2021 07:47:18 AM,01/05/2021 03:40:36 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,GAPBH,01/04/2021 12:00:00 AM,01/05/2021 03:40:35 PM,Y,N,"720 E 2ND ST, 90012",720,E,2ND,ST,90012,34.0470453067,-118.23537778,"(34.0470453067, -118.23537778)",634,H,4,Central APC,14,Kevin de León,46,Arts District Little Tokyo,CENTRAL
1-1831760961,01/01/2021 07:51:38 AM,01/05/2021 03:43:21 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,GAPBH,01/04/2021 12:00:00 AM,01/05/2021 03:43:20 PM,Y,N,"222 S HEWITT ST, 90012",222,S,HEWITT,ST,90012,34.046475758,-118.236032027,"(34.046475758, -118.236032027)",634,G,4,Central APC,14,Kevin de León,46,Arts District Little Tokyo,CENTRAL
1-1831754531,01/01/2021 07:53:00 AM,04/09/2021 01:02:29 PM,SR Created,LASAN,Homeless Encampment,Closed,Mobile App,Android,N,NC,01/04/2021 12:00:00 AM,04/09/2021 01:00:37 PM,Y,,"6130 W SUNSET BLVD, 90028",6130,W,SUNSET,BLVD,90028,34.0977818141,-118.323480787,"(34.0977818141, -118.323480787)",593,F,5,Central APC,13,Mitch O'Farrell,33,Hollywood Studio District,HOLLYWOOD
1-1831761021,01/01/2021 07:53:09 AM,01/04/2021 02:41:30 PM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Self Service,,Y,EV,01/04/2021 12:00:00 AM,01/04/2021 11:37:23 AM,Y,N,"6643 W FOOTHILL BLVD, 91042",6643,W,FOOTHILL,BLVD,91042,34.2468733053,-118.276816373,"(34.2468733053, -118.276816373)",504,B,5,North Valley APC,7,Monica Rodriguez,10,Sunland-Tujunga,FOOTHILL
