Event Name,Event Description,Fee Required,Type of Event,Subject Matter,Age Groupings,Event by Service Area,Event Sponsor,Event Date & Time Start,Event Date & Time Ends,Location Common Name,Location Address,Contact Name,Contact Number,Contact Email,Information Website,Elected Official Office Name,Elected Officials Name,Neighborhood Council,City Reference ID,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
Office of Commuity Beautification ~ Maya Angelou High School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,04/18/2015 08:30:00 AM,04/18/2015 01:00:00 PM,Maya Angelou High School,"300 East 53rd Street
Los Angles, California
(33.994216229000074, -118.27002696899996)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,725,895,7,13,
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA River at Marsh Park.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/18/2015 09:00:00 AM,04/18/2015 12:00:00 PM,Marsh Park,"Marsh Street at the LA River
Elysian Valley
(44.19823141200004, -93.67564606999997)",Paul Racs,213-978-0229,paul.racs@lacity.org,Clink here for registration link. (http://folar.org/events/cleanup-2015/marsh-park-in-elysian-valley/),,,,,9978,,,,,
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA Riverat the Sunnynook Footbridge.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/18/2015 09:00:00 AM,04/18/2015 12:00:00 PM,Sunnynook Footbridge,"Sunnynook Drive at Legion Lane
Atwater Village Area
(40.02416191300006, -105.24804792999998)",Paul Racs,213-978-0229,paul.racs@lacity.org,Clink here for registration link. (http://folar.org/events/cleanup-2015/sunnynook-footbridge-in-atwater-village/),,,,,20986,,,,,
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA River in Atwater Village.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/18/2015 09:00:00 AM,04/18/2015 12:00:00 PM,LA River at Los Feliz,"Los Feliz and Garden
Atwater Village Area
(40.02416191300006, -105.24804792999998)",Paul Racs,213-978-0229,paul.racs@lacity.org,Clink here for registration link. (http://folar.org/events/cleanup-2015/los-feliz-blvd-in-atwater-village/),,,,,20986,,,,,
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA River at the Fletcher Drive and Bowtie Parcel.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/18/2015 09:00:00 AM,04/18/2015 12:00:00 PM,Fletcher Drive and Bowtie Parcel,"Fletcher Drive at the LA River
Cypress Park
(34.09448124700003, -118.22677659399994)",Paul Racs,213-978-0229,paul.racs@lacity.org,Clink here for registration link. (http://folar.org/events/cleanup-2015/the-fletcher-tie-bowtie-parcel/),,,,,24030,381,1364,,11,94
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA River at the Arroyo Seco Confluence.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/18/2015 09:00:00 AM,04/18/2015 12:00:00 PM,Arroyo Seco Confluence,"San Fernando Road at the Arroyo Seco wash
Cypress Park
(34.09448124700003, -118.22677659399994)",Paul Racs,213-978-0229,paul.racs@lacity.org,Clink here for registration link. (http://folar.org/events/cleanup-2015/the-arroyo-seco-confluence/),,,,,24030,381,1364,,11,94
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA River at Steelhead Park.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/18/2015 09:00:00 AM,04/18/2015 12:00:00 PM,Steelhead Park,"Oros Street at Riverside Drive
Elysian Valley
(44.19823141200004, -93.67564606999997)",Paul Racs,213-978-0229,paul.racs@lacity.org,Clink here for registration link. (http://folar.org/events/cleanup-2015/steelhead-park-in-elysian-valley/),,,,,9978,,,,,
Office of Community Beautification ~ Yorkdale Elementary School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,04/25/2015 08:00:00 AM,04/25/2015 01:00:00 PM,Highland Park,"4954 York Blvd
Los Angeles, California
(34.121503404000066, -118.20717472299998)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23673,366,1435,,9,93
Office of Community Beautification ~ With Love Community Programs,Community Clean-Up,No,Volunteerism,,,,BPW OCB,04/25/2015 09:00:00 AM,04/25/2015 11:00:00 AM,With Love Community Programs,"1977 S. Vermont Ave
Los Angeles, California
(34.10727963700003, -118.29183286799997)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23445,402,1326,,7,3
Office of Community Beautification - Ballona Creek Cleanup,Creek Cleanup,,Volunteerism,,,,BPW OCB,04/25/2015 09:00:00 AM,04/25/2015 12:00:00 PM,Ballona Creek Cleanup,"Centinela & Milton
Los Angeles, CA 90066
(34.00215095400006, -118.42903966199998)",Anna Ruiz,213-978-0231,anna.ruiz@lacity.org,http://www.laocb.org,,,,,24031,904,700,10,10,27
Office of Community Beautification ~ St. Patrick Catholic Church,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/02/2015 08:00:00 AM,05/02/2015 11:00:00 AM,St. Patrick Catholic Church,"1046 East 34th Street
Los Angeles, California 90011
(34.012753350000025, -118.25727939399997)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,712,892,7,13,6
Office of Community Beautification ~ Manual Arts High School,Garden Clean-Up,No,Volunteerism,,,,BPW OCB,05/02/2015 08:00:00 AM,05/02/2015 01:00:00 PM,Manual Arts High School,"4131 South Vermont Avenue
Los Angeles, California",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Big Sunday,Community Clean-Up & Gardening,No,Volunteerism,,,,BPW OCB,05/02/2015 08:00:00 AM,05/02/2015 03:00:00 PM,Markham Middle School,"1650 East 104th Street
Los Angeles, California 90002
(33.94141327900007, -118.24603888499996)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22351,822,1182,7,15,40
Office of Community Beautification ~ A Place Call Home,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/02/2015 09:00:00 AM,05/02/2015 12:00:00 PM,A Place Call Homw,"2830 South Central Ave
Los Angeles, California 90011
(34.01587833900004, -118.25610982799998)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,706,971,7,13,6
Office of Community Beautification - Adams/Normandie Association Cleanup,Community Cleanup,,Volunteerism,,,,BPW OCB,05/02/2015 09:00:00 AM,05/02/2015 12:00:00 PM,,"Normandie Ave. & 23rd St.
Los Angeles, CA 90018
(34.030771505000075, -118.31686899999994)",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,23079,686,919,7,12,19
Office of Community Beautification - Emerson Ave. Community Garden,Community Garden,,Volunteerism,,,,BPW OCB,05/02/2015 09:00:00 AM,05/02/2015 12:00:00 PM,Orville Wright Middle School,"Emerson bet. 80th St. & 80th Pl.
Los Angeles, CA 90045
(33.961520807000056, -118.39344972199996)",Anna Ruiz,213-978-0231,anna.ruiz@lacity.org,http://www.laocb.org,,,,,23676,925,218,10,10,16
Office of Community Beautification - Shenandoah Elementary,School Cleanup and Gardening,,Volunteerism,,,,BPW OCB,05/03/2015 09:00:00 AM,05/03/2015 12:00:00 PM,Shenandoah Elementary,"2450
Shenandoah St., 90034",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification - Palms Middle School,School Cleanup,,Volunteerism,,,,BPW OCB,05/03/2015 09:00:00 AM,05/03/2015 12:00:00 PM,Palms Middle School,"10860
Woodbine Street, Los Angeles, CA 90034",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Avalon Green Alley Day of Service,Alley Clean-Up,No,Volunteerism,,,,BPW OCB,05/08/2015 03:30:00 PM,05/08/2015 06:30:00 PM,Maya Angelou High School,"300 East 53rd Street
Los Angeles, California
(33.994216229000074, -118.27002696899996)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,725,895,7,13,
Office of CommunityBeautification ~ Legacy LA,Alley Clean-Up,No,Volunteerism,,,,BPW OCB,05/09/2015 08:00:00 AM,05/09/2015 02:00:00 PM,Legacy LA,"1350 San Pablo Street
Los Angeles, California",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Legacy LA,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/09/2015 08:00:00 AM,05/09/2015 02:00:00 PM,Legacy LA,"1350 San Pablo Street
Los Angeles, California
(34.060326401000054, -118.20396669299998)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23450,510,488,,9,1
Office of Community Beautification ~ Councilmember Jose Huizar and LA 32 Neighborhood Council,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/09/2015 08:00:00 AM,05/09/2015 12:00:00 AM,Buena Vista Furniture,"5338 Alhambra Avenue
Los Angeles, California 90032
(34.07591798300007, -118.16949049899995)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23449,506,1215,,9,91
Office of Community Beautification - Vermont Square Library Cleanup,Cleanup/Beautification Day,,Volunteerism,,,,BPW OCB,05/09/2015 10:00:00 AM,05/09/2015 02:00:00 PM,Vermont Square Library,"1201 W. 48th Street
Los Angeles, CA 90037
(33.99962770800005, -118.29591079399995)",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,23668,740,1155,7,13,2
Office of Community Beautification ~ AmeriCorps,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/15/2015 09:00:00 AM,05/15/2015 12:00:00 PM,,"La Brea between Washington and Adams
Los Angeles, California",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Toland Way School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/16/2015 08:00:00 AM,05/16/2015 01:00:00 PM,Toland Way School,"4545 Toland Way
Los Angeles, Californai 90041
(34.12085812600003, -118.216751338)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23672,367,1433,,11,60
Office of Community Beautification ~ Dahlia Heights Elementary Garden Work Day,Gardening,No,Volunteerism,,,,BPW OCB,05/16/2015 08:00:00 AM,05/16/2015 12:00:00 PM,Dahlia Heights Elementary,"5063 Floristan Avenue
Los Angeles, California 90041
(34.13862631100005, -118.19883220299994)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23672,357,1437,,9,60
Office of Community Beautification ~ West Adams High School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/16/2015 08:00:00 AM,05/16/2015 01:00:00 PM,West Adams High School,"1500 West Washington Blvd
Los Angeles, California
(34.039982922000036, -118.28971958399995)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22724,681,1282,,11,8
Offcie of Community Beautification ~ Office of Los Angeles Mayor's Eric Garcetti ~ 5th Annual Harvey Milk Day of Service,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/23/2015 09:00:00 AM,05/23/2015 01:00:00 PM,Alliance Patty and Peter Neuwirth High School,"4610 South Main Street
Los Angeles, California 90037
(34.00150131800007, -118.27395636799997)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,716,1342,7,13,
Office of Community Beautification ~ Highland Park Veterans Memorial Square Beautification Day,Clean-Up,No,Volunteerism,,,,BPW OCB,05/23/2015 09:00:00 AM,05/23/2015 11:00:00 AM,Veterans Memorial Square,"Corner of York Blvd & Figueroa St
Los Angeles, California 90042
(34.11332226400003, -118.19142869099994)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23673,371,582,28,11,93
Office of Community Beautification ~ Centro Cristiano Jesuscristo ,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/24/2015 08:00:00 AM,05/24/2015 12:00:00 PM,,"219 East 57th Street
Los Angeles, California
(33.99070789500007, -118.27105953199998)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,725,895,7,13,
Office of Community Beautification ~ With Love Community Programs,Community Clean-Up,No,Volunteerism,,,,BPW OCB,05/30/2015 09:00:00 AM,05/30/2015 11:00:00 AM,With Love Community Programs,"1977 South Vermont Avenue
Los Angeles, California
(34.10727963700003, -118.29183286799997)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23445,402,1326,,7,3
Offcie of Community Beautification ~ All City Buff,Community Clean-Up,No,Volunteerism,,,,BPW OCB,06/11/2015 08:00:00 AM,06/11/2015 01:00:00 PM,,"11630 Town Avenue
Los Angeles, California
(34.05349148300007, -118.24531979399995)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22728,543,1183,,9,76
Offcie of Community Beautification ~ Las Palomas,Community Clean-Up,No,Volunteerism,,,,BPW OCB,06/11/2015 09:00:00 AM,06/11/2015 12:00:00 AM,Las Palomas,"2201 East 1st Street
Los Angeles, California
(34.04478563300006, -118.21201661199996)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23450,522,350,,9,38
Offcie of Community Beautification ~ The Community Neighborhood of 90th St and 92nd St,Community Clean-Up,No,Volunteerism,,,,BPW OCB,06/14/2015 08:00:00 AM,06/14/2015 12:00:00 PM,,"242 W. 92nd Street
Los Angeles, California 90003
(33.952763255000036, -118.27745930499998)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22352,800,1172,7,14,45
Offcie of Community Beautification ~ The Church of Jesus Christ of Latter-Day Saints,Community Clean-Up,No,Volunteerism,,,,BPW OCB,06/27/2015 11:00:00 AM,06/27/2015 01:00:00 PM,The Church of Jesus Christ of Latter-Day Saints,"3115 South Vermont Ave
Los Angeles, California 90007
(34.02601035300006, -118.29156208199998)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22724,685,651,7,14,32
Office of Community Beautification ~ With Love Community Programs,Community Clean-Up,No,Volunteerism,,,,BPW OCB,06/30/2015 09:00:00 AM,06/30/2015 11:00:00 AM,With Love Community Programs,"1977 South Vermont Avenue
Los Angeles, California
(34.10727963700003, -118.29183286799997)",Thomas Corrales,213-978-0230,thomas.corrales@laciry.org,http://www.laocb.org,,,,,23445,402,1326,,7,3
Office of Community Beautification ~ Los Angeles Police Department,Community Clean-Up,No,Volunteerism,,,,BPW OCB,07/10/2015 04:00:00 PM,07/10/2015 07:00:00 PM,Lorena Pharmacy,"3400 Whittier Boulevard
Los Angeles, California
(34.02767424800004, -118.20080029999997)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23441,525,957,,9,38
Office of Community Beautification ~ Crenshaw Christian Center,Community Clean-Up,No,Volunteerism,,,,BPW OCB,07/11/2015 08:00:00 AM,07/11/2015 12:00:00 PM,Crenshaw Christian Center,"7901 South Vermont Avenue
Los Angeles, California
(33.96764036500008, -118.29190200499994)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23675,781,1162,7,14,20
Office of Community Beautification - Valley Plaza Park Child Care Center ,Community Cleanup,,Volunteerism,,,,BPW OCB,07/11/2015 10:00:00 AM,07/11/2015 12:00:00 PM,,"6451 St. Claire Avenue
North Hollywood, CA 91606
(34.18823780500003, -118.39982241599995)",Anna Ruiz,2139780231,anna.ruiz@lacity.org,http://www.laocb.org,,,,,8889,189,495,,5,13
Office of Community Beautification ~ LA32NC Beautification Committee,Community Clean-Up,No,Volunteerism,,,,BPW OCB,07/18/2015 09:00:00 AM,07/18/2015 12:00:00 PM,,"4910 Huntington Drive South
Los Angeles, California
(34.08702482700005, -118.17597899799995)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23449,503,611,,9,91
Offcie of Community Beautification ~ LA Neigbohood Land Trust ~ Councilman Curren D. Price Jr Office,Clean-Up,No,Volunteerism,,,,BPW OCB,07/22/2015 09:00:00 AM,07/22/2015 05:00:00 PM,,"4125 South Central Avenue
Los Angeles, California
(34.00853023800005, -118.25654308599997)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,712,664,7,13,
Office of Community Beautification ~ With Love Community Programs,Community Clean-Up,No,Volunteerism,,,,BPW OCB,07/25/2015 09:00:00 AM,07/25/2015 11:00:00 AM,With Love Community Programs,"1977 South Vermont Avenue
Los Angeles, California
(34.10727963700003, -118.29183286799997)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23445,402,1326,,7,3
Offcie of Community Beautification ~ Office of Councilwoman Nury Martinez,Community Clean-Up,No,Volunteerism,,,,BPW OCB,08/01/2015 08:00:00 AM,08/01/2015 12:00:00 PM,North Hills Community,"Orion Avenue and Chase Street
Los Angles
(34.22467082500003, -118.47204942699994)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,18914,124,420,,3,73
Office of Community Beautification ~ Eagle Rock Elementary School,Clean-Up,No,Volunteerism,,,,BPW OCB,08/01/2015 09:00:00 AM,08/01/2015 01:00:00 PM,Eagle Rock Elementary School,"2057 Fair Park Avenue
Los Angeles, California 90041
(34.13583778900005, -118.21358486699995)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23672,356,401,,9,60
Office of Community Beautification ~ Proyecto Pastoral at Dolores Mission ~ Office of Councilmemeber Jose Huizar,Community Clean-Up,No,Volunteerism,,,,BPW OCB,08/08/2015 08:00:00 AM,08/08/2015 12:00:00 PM,Dolores Mission Plaza,"170 South Gless Street
Los Angeles, California 90033
(34.045422, -118.223054)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23450,534,953,,9,38
Office of Community Beautification ~ Office of Councilmember Jose Huizar ~ La Purisima Church,Community Clean-Up,No,Volunteerism,,,,BPW OCB,08/15/2015 08:00:00 AM,08/15/2015 01:00:00 PM,La Purisima Church,"3236 Inez Street
Los Angeles, California 90023
(34.03102, -118.201584)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23441,525,352,,9,38
Office of Community Beautification ~ Office of Councilmember Jose Huizar ~ Highland Park Neighborhood Council,Highland Park - Eagle Rock Community Clean-Up,No,Volunteerism,,,,BPW OCB,08/22/2015 08:00:00 AM,08/22/2015 12:00:00 PM,Annadale Elementary School,"6125 Poppy Peak Dr
Los Angeles, California
(34.12849775400008, -118.18622623999994)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23673,357,437,,9,93
Office of Community Beautification ~ Office of Coucilmember Felipe Fuentes,Community Clean-Up,No,Volunteerism,,,,BPW OCB,08/22/2015 08:00:00 AM,08/22/2015 11:00:00 AM,Stonehurst Park,"9901 Dronfield Avenue
Los Angeles",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ The New 9th Councilmember Curren D. Price Jr ~ LAPD Newton Division,Community Clean-Up,No,Volunteerism,,,,BPW OCB,08/29/2015 08:00:00 AM,08/29/2015 12:00:00 PM,Peublo Del Rio Housing Development,"5350 Alba Street
Los Angeles, California 90058
(33.992385, -118.239034)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,24353,721,1245,7,13,51
Office of Community Beautification - Office of Councilmember Krekorian - NoHo East NC,Hart Street Community Clean Up,,Volunteerism,,,,BPW OCB,08/29/2015 08:00:00 AM,08/29/2015 12:00:00 PM,Fire Station #89,"7063 Laurel Canyon Bl.
North Hollywood, CA 91605",Anna Ruiz,(213) 978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Offcie of Community Beautification ~ A Place Call Home,Community Clean-Up,No,Volunteerism,,,,BPW OCB,08/29/2015 08:00:00 AM,08/29/2015 01:00:00 PM,A Place Call Home,"2830 South Central Avenue
Los Angeles, California 90011
(34.015823, -118.256134)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,706,971,7,13,6
Office of Community Beautification ~ Esperanza Elementary ,Community Clean-Up,No,Volunteerism,,,,BPW OCB,09/05/2015 08:00:00 AM,09/05/2015 12:00:00 PM,Esperanza Elementary,"1433 James M. Wood
Los Angeles, California 90015
(34.050052, -118.271398)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23078,568,1378,,11,68
Office of Community Beautification ~ Office of Councimember Jose Huizar,Hermon Community Clean-Up,No,Volunteerism,,,,BPW OCB,09/12/2015 09:00:00 AM,09/12/2015 12:00:00 PM,Fresco Community Market,"5914 Monterey Road
Los Angeles, California 90042
(34.104868, -118.184517)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23673,373,842,,9,92
Office of Community Beautification - Playa Del Rey Jungle Clean-up,Community Clean-up,,Volunteerism,,,,BPW OCB,09/12/2015 09:00:00 AM,09/12/2015 12:00:00 PM,Playa Del Rey,"Trolleyway bet. Montreal & Sunridge
Los Angeles, 90293",Anna Ruiz,(213) 978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification - Coastal Cleanup Day - CD 6,Community Clean-Up,,Volunteerism,,,,BPW OCB,09/19/2015 08:00:00 AM,09/19/2015 12:00:00 PM,Lake Balboa,"6300 Balboa Bl.
Van Nuys, CA 91406",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Carver Middle School ~ The New 9th Councimember Curren D. Price. Jr,Community Clean-Up,No,Volunteerism,,,,BPW OCB,09/19/2015 09:00:00 AM,09/19/2015 01:00:00 PM,George Washington Carver Middle School,"4410 McKinley Avenue
Los Angeles, California 90011
(34.003092, -118.260855)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,717,893,7,13,
Office of Community Beautification ~ Outlaws Reaching Back ~ The New 9th Councilmember Corren D. Price Jr,Community Clean-Up,No,Volunteerism,,,,BPW OCB,09/26/2015 08:00:00 AM,09/26/2015 12:00:00 PM,,"230 Griffith Avenue
Los Angeles, California 90011",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
