"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"Office of Community Beautification ~ West Adams High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-12-10T08:00:00.000","2016-12-10T13:00:00.000","West Adams High School","1500 West Washington Boulevard
Los Angeles, California 90007
(34.04001, -118.289685)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Los Angeles Convention Center - El Sembrador: Congreso de Niños","Religious Event. Donation of $15 requested.","No","General Event",,,,"Convention Center","2016-12-10T08:00:00.000","2016-12-10T18:00:00.000","Los Angeles Convention Center, Concourse Hall EF","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://elsembradorministries.com/principal.html",,,,
"Los Angeles Convention Center - 2016 International Drone Expo L.A.",,"Yes","Convention / Expo",,,,"Convention Center","2016-12-09T10:00:00.000","2016-12-09T16:00:00.000","Los Angeles Convention Center, South Hall G, 300s Meeting Rooms","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.internationaldroneexpo.com/index.html",,,,
"Los Angeles Convention Center - Ski Dazzle 2016","Paid parking available. Please park in South Hall parking garage.","Yes","Convention / Expo",,,,"Convention Center","2016-12-04T12:00:00.000","2016-12-04T18:00:00.000","Los Angeles Convention Center, South Hall GH","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.skidazzle.com/",,,,
"Los Angeles Convention Center - Sikh Study Circle","Paid parking available. Park in West Hall parking garage. Prayer 7am-5pm. Food Function 11am-4pm. Expo 11am-4pm.  Donations accepted.","No",,,,,"Convention Center","2016-12-04T07:00:00.000","2016-12-04T17:00:00.000","Los Angeles Convention Center, West Hall A","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com",,,,,
"Los Angeles Convention Center - Ski Dazzle 2016","Paid parking available. Please park in South Hall parking garage.","Yes","Convention / Expo",,,,"Convention Center","2016-12-03T11:00:00.000","2016-12-03T22:00:00.000","Los Angeles Convention Center, South Hall GH","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.skidazzle.com/",,,,
"Office of Community Beautification ~ Gerard Lawson Elementary School ","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-12-03T09:00:00.000","2016-12-03T12:00:00.000","Gerard Lawson Elementary School","929 West 69th Street
Los Angeles, California 
(33.977241, -118.290266)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ West Adams High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-12-03T08:00:00.000","2016-12-03T13:00:00.000","West Adams High School","1500 West Washington Boulevard
Los Angeles, California 
(34.04001, -118.289685)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: Love the Neighborhood - Sunland Foursquare Church","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-12-03T08:00:00.000","2016-12-03T10:30:00.000",,"10602 Sherman Grove
Sunland, CA 91040
(34.261764, -118.319558)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Office of Community Beautification ~  Office of Councilman Joe Buscaino ~ Simon Tech High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-12-03T08:00:00.000","2016-12-03T12:00:00.000","Technology Academy High School","10720 Wilmington Avenue
Los Angeles, California 90059
(33.938144, -118.23903)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification - Mar Vista Family Center Clean Up","Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-12-03T08:00:00.000","2016-12-03T13:00:00.000","Mar Vista Family Center","5075 S. Slauson Ave.
Culver City,, CA 90230
(33.993481, -118.406752)","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Los Angeles Convention Center: Yu-Gi-Oh Tournament","Paid parking available. Park in West Hall garage. Registration 7am-12pm. Tournament 10am-11pm","Yes",,,,,"Convention Center","2016-12-03T07:00:00.000","2016-12-03T23:00:00.000","Los Angeles Convention Center, Concourse Hall EF","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com",,,,,
"Los Angeles Convention Center - Ski Dazzle 2016","Paid parking available. Please park in South Hall parking garage.","Yes","Convention / Expo",,,,"Convention Center","2016-12-02T15:00:00.000","2016-12-02T23:00:00.000","Los Angeles Convention Center, South Hall GH","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.skidazzle.com/",,,,
"Office of Community Beautification ~  Office of Councilmember Jose Huizar ","Great Day of Service After Thanksgiving","NO","Volunteerism",,,,"BPW OCB","2016-11-25T09:00:00.000","2016-11-25T12:00:00.000","1st Street Elementary School","2820 East 1st Street
Los Angeles, California 90033
(34.041197, -118.2041)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Westlake North Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-19T09:00:00.000","2016-11-19T13:00:00.000",,"303 S. Loma Drive, Los Angeles
California, 90017 
(34.246766, -116.832904)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,,
"Office of Community Beautification - Ballona Creek Renaissance Clean Up","Creek Clean Up",,"Volunteerism",,,,"BPW OCB","2016-11-19T09:00:00.000","2016-11-19T12:00:00.000","Ballona Creek","Centinela & Milton
Los Angeles, CA 90066","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification - Pico/Union Cleanup & Graffiti Remediation","Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-11-19T08:30:00.000","2016-11-19T12:00:00.000","West Adams High School","1500 W. Washington Bl.
Los Angeles, CA 90007
(34.04001, -118.289685)","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: Eldridge Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-19T08:00:00.000","2016-11-19T12:00:00.000",,"13356 Eldridge Ave
Sylmar, CA 91342
(34.313904, -118.419603)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Panorama City Cleanup ","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-19T08:00:00.000","2016-11-19T10:00:00.000","Panorama Park","8600 Hazeltine Ave, Los Angeles
California, 91402 
(35.110261, -117.97516)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilwoman Nury Martinez","Office of Councilwoman Nury Martinez","Panorama City Neighborhood Council Outreach and Education Committee ",
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Panorama City Cleanup ","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-19T08:00:00.000","2016-11-19T10:00:00.000","Panorama Park","8600 Hazeltine Ave, Los Angeles
California, 91402 
(35.110261, -117.97516)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilwoman Nury Martinez","Office of Councilwoman Nury Martinez","Panorama City Neighborhood Council Outreach and Education Committee ",
"Office of Community Beautification ~ Office of Councilmember Gil Cedillo ~ Estrella Park Community Cleanup ","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-19T08:00:00.000","2016-11-19T12:00:00.000",,"5577 N. Figueroa St.
California, 90004 
(34.108939, -118.194148)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/"," Office of Councilmember Gil Cedillo","Office of Councilmember Gil Cedillo",,
"Office of Community Beautification ~ MacArthur Park Neighborhood ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-19T08:00:00.000","2016-11-19T12:00:00.000",,"MacArthur Park
California, 90057 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,"MacArthur Park Neighborhood Council",
"Office of Community Beautification ~ Office of Councilmember Paul Krekorian ~ Eagle Scout Cleanup (Part II)","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-19T08:00:00.000","2016-11-19T13:00:00.000",,"Chandler Ave. North Hollywood
California, 91601 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Paul Krekorian","Office of Councilmember Paul Krekorian",,
"Board of Public Works Meeting","Regular BPW Meeting",,"Meeting-Board",,,,"BPW","2016-11-16T10:00:00.000","2016-11-16T12:00:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90278
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/11162016_bpwcal.htm",,,,"Los Angeles"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-11-14T10:00:00.000","2016-11-14T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/11142016_bpwcal.htm",,,,
"Office of Community Beautification ~  Office of Councilmember Jose Huizar ~ Eagle Rock Neighborhood Council","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-13T09:00:00.000","2016-11-13T11:00:00.000",,"Yosemite & Floristan Avenue
,  ","Thomas Corrales","213-978-0230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Ultimate Restoration Unlimited","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-13T09:00:00.000","2016-11-13T12:00:00.000",,"4726 Arlington
Los Angeles, California 
(34.000296, -118.318135)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Northwest San Pedro Neighborhood Council","Clean Streets Challenge","No","Volunteerism",,,,"BPW OCB","2016-11-12T09:00:00.000","2016-11-12T14:00:00.000",,"2115 North Gaffey Street
Los Angeles, California 900731
(34.073342, -118.218534)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Office of Councilman Joe Buscaino","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-12T09:00:00.000","2016-11-12T12:00:00.000","Watts Field Office","1513 East 103rd Street
Los Angeles, California 90002
(33.943265, -118.247906)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ MC Francis Garden & Street Cleanup","Community Garden and Cleanup","None","Volunteer",,,,"BPW OCB","2016-11-12T08:30:00.000","2016-11-12T12:00:00.000","Francis Ave, Los Angeles","2909 Francis Ave, Los Angeles
California, 90005 
(34.14365, -117.21311)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Gil Cedillo","Office of Councilmember Gil Cedillo ",,
"Office of Community Beautification - KYCC/Leo Politi Elementary","Tree Planting",,"Volunteerism",,,,"BPW OCB","2016-11-12T08:30:00.000","2016-11-12T12:00:00.000","Leo Politi Elementary School","2481 W. 11th Street
Los Angeles, CA 90006","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification - The Mission Continues/L.A. First Service Platoon","Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-11-12T08:30:00.000","2016-11-12T15:30:00.000","Lafayette Park","625 S. La Fayette Park Pl.
Los Angeles, CA 90057
(34.061421, -118.283224)","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ MacArthur Park Neighborhood ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-12T08:00:00.000","2016-11-12T12:00:00.000",,"MacArthur Park
California, 90057 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,"MacArthur Park Neighborhood Council",
"Office of Community Beautification ~  Office of Councilmember Curren Price ~  The Voices Neighborhood Council","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-12T08:00:00.000","2016-11-12T13:00:00.000","Julian C. Dixon Park","48th Street & Hoover Street
Los Angeles, California ","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Office of Councilmember Gil Cedillo ~ St Thomas Community Cleanup","Community Cleanup","None","Volunteer",,,,"BPW OCB","2016-11-12T08:00:00.000","2016-11-12T12:00:00.000",,"5577 N. Figueroa St. Los Angeles
California, 90006 
(31.000362, -93.983384)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Gil Cedillo","Office of Councilmember Gil Cedillo ",,
"Office of Community Beautification ~ Office of Councilmember Paul Krekorian ~ Strathern Cleanup  ","Community Cleanup","None","Volunteer",,,,"BPW OCB","2016-11-12T08:00:00.000","2016-11-12T12:00:00.000","Strathen Park","12601 Saticoy St. Los Angeles
California, 91605 
(34.207276, -118.408759)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Paul Krekorian ","Office of Councilmember Paul Krekorian ",,
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Panorama City Cleanup ","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-12T08:00:00.000","2016-11-12T10:00:00.000",,"8600 Hazeltine Ave, Los Angeles
California, 91001 
(35.110261, -117.97516)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilwoman Nury Martinez","Office of Councilwoman Nury Martinez",,
"Office of Community Beautification ~ Mujeres de la Tierra ~ Community Cleanup ","Community Cleanup ","None","Volunteerism ",,,,"BPW OCB","2016-11-11T07:30:00.000","2016-11-11T14:00:00.000","Ave 20, Los Angeles","
California, 90031 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,,
"Office of Community Beautification ~ Los Angeles County Bicycle Coalition ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-10T09:30:00.000","2016-11-10T11:30:00.000","Nancy Hoover Pohl Overlook","8401 Mulholland Dr. Los Angeles
California, 90046 
(34.121941, -118.384078)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-11-09T10:00:00.000","2016-11-09T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/11092016_bpwcal.htm",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-11-07T10:00:00.000","2016-11-07T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/11072016_bpwcal.htm",,,,
"Office of Community Beautification ~ Office of Councilmember Gil Cedillo ~ Cypress Avenue Cleanup ","Community Cleanup ","None","Volunteerism ",,,,"BPW OCB","2016-11-07T09:00:00.000","2016-11-07T11:00:00.000",,"929 Cypress Ave, Los Angeles
California, 90065 
(29.783814, -95.545301)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Gil Cedillo","Office of Councilmember Gil Cedillo",,
"Office of Community Beautification ~  Clean Streest Challenge Coastal San Pedro","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-06T09:00:00.000","2016-11-06T14:00:00.000",,"807 West Paseo Del Mar
Los Angeles, California 
(34.11296, -118.20937)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Ultimate Restoration Unlimited","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-06T09:00:00.000","2016-11-06T12:00:00.000",,"4726 Arlington
Los Angeles, California 
(34.000296, -118.318135)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Columbus Ave. Cleanup ","Community Cleanup","None","Volunteerism",,,,"BPW OCB","2016-11-06T08:00:00.000","2016-11-06T12:00:00.000","Columbus Ave and Chase ","Columbus Ave and Chase
California, 91343 
(34.224645, -118.465458)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilwoman Nury Martinez","Office of Councilwoman Nury Martinez","North Hills Each Neighborhood Council ",
"Office of Community Beautification ~ Office of Councilmember Gil Cedillo ~ Alvarado Terrace Community Cleanup","Community Cleanup","None","Volunteerism",,,,"BPW OCB","2016-11-06T08:00:00.000","2016-11-06T12:00:00.000",,"5577 N Figueroa St, Los Angeles
California, 90042 
(33.96788, -84.38984)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Gil Cedillo","Office of Councilmember Gil Cedillo",,
"Office of Community Beautification ~ Glassell Park Neighborhood Council ~ Clean Streets Challenge Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-05T14:00:00.000","2016-11-05T17:00:00.000","Glassell Senior Citizen Center","3750 Verdugo Rd. Los Angeles
California, 90065 
(32.48425, -84.92906)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,"Glassell Park Neighborhood Council ",
"Office of Community Beautification - Eagle Rock Yacht Club","Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-11-05T10:00:00.000","2016-11-05T12:00:00.000",,"7th & Rose
Venice, CA 90291","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Eagle Rock Yacht Club ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-05T10:00:00.000","2016-11-05T12:00:00.000","Southeast Corner of Victory and Troost",,"Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,,
"Office of Community Beautification ~  Eagle Rock Yacht Club","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-05T10:00:00.000","2016-11-05T12:00:00.000","Eagle Rock Yacht Club","632 North Ave 50
Los Angeles, California 90042
(34.110159, -118.205957)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Clean Streets Challenge Central San Pedro","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-05T09:00:00.000","2016-11-05T14:00:00.000",,"100 West 5th Street
Los Angeles, California 
(34.046681, -118.248545)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Little Tokyo Public Safety Assonciation","Nancy Kikuchi Volunteer Day Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-05T09:00:00.000","2016-11-05T12:00:00.000","JACCC","244 South San Pedro Street
Los Angeles, California 90012
(34.048242, -118.24216)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification - Pico Bl. NC Clean Up","Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-11-05T09:00:00.000","2016-11-05T13:00:00.000","Public Storage","5570 Airdrome St.
Los Angeles, CA 90019
(34.044431, -118.361999)","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
