"site","date","interaction_type","interaction_type_2","service_requested_1","service_requested_2","hispanic_ethnicity","gender","langage","time_spent","age","week","week_ending"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Hmong","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) SNAP/EA Assistance ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Healthcare Assistance ",,,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service","Basic question and/or help with forms","(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Westside Service Center","2020-10-05T00:00:00.000","Navigator consultation ",,"Elections",,,,"English","30 minutes or more",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Somali","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Navigator consultation ",,"homeless - discussed shelters ","(FAS) Housing Support/Shelters",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"copies ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"computer","Social Services",,,"English","30 minutes or more",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Subject matter expert consultation",,"Elections",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Karen","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Subject matter expert consultation",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Karen","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Navigator consultation ",,"Computers ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Navigator consultation ",,"Tax/Property",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Subject matter expert consultation",,"(FAS) Healthcare Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"Child care ",,,,"Somali","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"Elections",,,,"English","0-5 minutes",,"week 39","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Navigator consultation ",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) Cash Assistance","(FAS) Healthcare Assistance ",,,"Somali","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service","Basic question and/or help with forms","(FAS) Cash Assistance","(FAS) Healthcare Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) Cash Assistance","(FAS) Healthcare Assistance ",,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Subject matter expert consultation",,"(FAS) SNAP/EA Assistance ",,,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Somali","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Karen","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Somali","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Somali","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
