"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type","amended"
"2021","Youth and Family Development","Youth & Family","Aquatics Programs","Materials & Supplies","100","100","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","100"
"2021","General Government","Executive Branch","Executive Office Admin","Materials & Supplies","500","500","General Fund","Tax Supported Fund","Technology Accessories & Supplies","Office Supplies","500"
"2021","Public Works","Public Works","Building Maintenance","Materials & Supplies","1000","1000","General Fund","Tax Supported Fund","Safety Shoes","Other Materials & Supplies","1000"
"2021","General Government","311 - Call Center","311 Call Center","Salaries","391951","391951","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","391951"
"2021","General Government","Executive Branch","Multicultural Affairs","Salaries","168034","168034","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","168034"
"2021","Economic and Community Development","Economic & Community Development","Code Enforcement Office","Materials & Supplies","100","100","General Fund","Tax Supported Fund","Books","Office Supplies","100"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Cromwell Community Center","Services","1000","1000","General Fund","Tax Supported Fund","Office Machine Rental","Rental Services","1000"
"2021","Public Works","Public Works","Park Mgmt - Admin","Salaries","2325","2325","General Fund","Tax Supported Fund","Longevity","Other Supplements","2325"
"2021","Public Safety","Police","Police Patrol Charlie","Fringe Benefits","24298","24298","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","24298"
"2021","Public Safety","Police","Polygraph","Salaries","800","800","General Fund","Tax Supported Fund","State Training Wages","Salaries & Wages","800"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Hixson","Other Expenses","1156","1156","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","1156"
"2021","Youth and Family Development","Youth & Family","Kidz Kamp","Fringe Benefits","10576.7","10576.69621","General Fund","Tax Supported Fund","Hospitalization","Insurance","10576.69621"
"2021","Public Safety","Police","Police Patrol Charlie","Fringe Benefits","914657.56","914657.562","General Fund","Tax Supported Fund","Fire & Police Pension","Pension","914657.562"
"2021","General Government","Purchasing","Purchasing","Fringe Benefits","865","865","General Fund","Tax Supported Fund","Life Insurance Benefit","Insurance","865"
"2021","Youth and Family Development","Youth & Family","North River Center Programs","Fringe Benefits","2450","2450","General Fund","Tax Supported Fund","FICA (OASDI)","Payroll Taxes","2450"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - North Chattanooga","Fringe Benefits","18646.49","18646.48708","General Fund","Tax Supported Fund","General Pension","Pension","18646.48708"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Glenwood","Services","1800","1800","General Fund","Tax Supported Fund","Water","Utilities","1800"
"2021","Youth and Family Development","Youth & Family","Recreation Admin","Salaries","4875","4875","General Fund","Tax Supported Fund","Longevity","Other Supplements","4875"
