"fiscal_year","service","department","project","project_id","fund_type","fund","thru_fy_actuals","fy_approved"
"2018","Public Works - Enterprise Funds","Water Quality","3500 St. Elmo - Big Dig","FY18-056","User Fees","User Fee Supported Debt",,"3100000"
"2018","General Government","General Government","HR Benefit Enrollment Platform Replacement","FY18-014","Local","Pay-As-You-Go",,"150000"
"2018","Gen Services","Public Works","Fleet Leasing Program Capital","FY16-014","Local","Pay-As-You-Go",,"6000000"
"2018","Youth & Family","Youth & Family Development","East Lake YFD Center Expansion","FY18-061","Local","Tax-Supported Debt",,"1800000"
"2018","Transportation","Transportation","Hwy 58 Shared Use Path","FY17-187","Local","Pay-As-You-Go",,"207468"
"2018","Transportation","Transportation","Roadway Base Failure","FY18-051","Local","Pay-As-You-Go",,"525000"
"2018","Transportation","Transportation","Goodwin Road Extension","FY16-049","Local","Pay-As-You-Go",,"130000"
"2018","Transportation","Transportation","CMAQ Bike Lanes","FY17-185","Local","Pay-As-You-Go",,"239871"
"2018","Transportation","Transportation","Riverwalk Phase 4","FY18-050","External","Federal",,"1019500"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","South Chickamauga River Port New Pump Station","FY18-031","State Revolving Loan Fund","User Fee Supported Debt",,"3500000"
"2018","Transportation","Transportation","One-way to Two-way Conversion","FY17-191","Local","Pay-As-You-Go",,"640000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Wet Weather Combined Sewer Storage - Phase 2","FY18-033","State Revolving Loan Fund","User Fee Supported Debt",,"10000000"
"2018","Public Works - Enterprise Funds","Water Quality","Appling Street","FY18-057","User Fees","Pay-As-You-Go",,"350000"
"2018","Transportation","Transportation","Autonomous Vehicles Planning","FY18-046","Local","Pay-As-You-Go",,"25000"
"2018","Economic & Community Development","Economic & Community Development","South Chick Greenway - Cromwell Connector","FY18-006","Local","Pay-As-You-Go",,"500000"
"2018","Economic & Community Development","Economic & Community Development","Building Neighborhood Business Districts","FY18-001","Local","Pay-As-You-Go",,"1000000"
"2018","Public Works - Enterprise Funds","Water Quality","East Lake WQ Restoration","FY17-27","User Fees","Pay-As-You-Go",,"31000"
"2018","Economic & Community Development","Economic & Community Development","East Lake Park Improvements","FY18-002","Local","Pay-As-You-Go",,"500000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Consent Decree Project Contingency","FY18-019","User Fees","Pay-As-You-Go",,"4000000"
"2018","Public Safety","Police","Real Time Intelligence Center","FY17-3","Local","Pay-As-You-Go",,"192600"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Selected Pump Station Bar Screens and Rakes Upgrades","FY18-029","User Fees","Pay-As-You-Go",,"750000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Patten Parkway CSO Detention","FY18-026","User Fees","Pay-As-You-Go",,"1000000"
"2018","Public Works - Enterprise Funds","Water Quality","Davidson Road","FY18-060","User Fees","User Fee Supported Debt",,"1000000"
"2018","Public Safety","Police","Crime Scene Facility at PSC","FY18-034","Local","Pay-As-You-Go",,"480000"
"2018","Transportation","Transportation","CMAQ Bike Lanes","FY17-185","External","Federal",,"978013"
"2018","Public Works - Enterprise Funds","Water Quality","3469 Brainerd Road","FY18-055","User Fees","Pay-As-You-Go",,"812000"
"2018","Public Safety","Police","In-Car Cameras","FY16-029","Local","Pay-As-You-Go",,"371698"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","CSO Enhancements Phase 1","FY18-020","User Fees","Pay-As-You-Go",,"1000000"
"2017","Public Safety","Police Department",,"FY17-18","Local","Pay-As-You-Go",,"104350"
"2016","General Government","Information Technology","Network Upgrades (NoogaNet)","FY16-022","Local","Tax Supported Debt",,"500000"
"2017","Transportation","Transportation","Roadway Failure","FY17-198","Local","Tax Supported Debt",,"150000"
"2016","Public Safety","Police Department","Portable Digital Radios","FY16-032","Local","Pay-As-You Go",,"225000"
"2017","Economic & Community Development","Economic & Community Development","Alton Park Riverwalk Connector","FY17-205","Local","Pay-As-You-Go",,"35000"
"2017","Transportation","Transportation","Lakeside Safe Routes to School","FY17-990","External","Federal",,"243222"
"2016","Transportation","Transportation","CDBG Sidewalks","FY16-047","Local","Tax Supported Debt",,"100000"
"2017","General Government","General Services","Service Station Relocation","FY17-163","Local","Pay-As-You-Go",,"300000"
"2016","Transportation","Transportation","Virginia Avenue Greenway","FY16-062","External","Lyndhurst Foundation",,"75500"
"2016","Transportation","Transportation","Wilcox Tunnel Rehabilitation","FY16-063","Local","Tax Supported Debt",,"1400000"
"2016","Public Safety","Police Department","Body-worn Cameras","FY16-027","Local","Pay-As-You Go",,"46728"
"2016","General Government","General Government","Asset Management Software","FY16-005","Local","Pay-As-You Go",,"180000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","Brainerd Golf Course Pump Station Safety Upgrade","FY17-95","User Fees","Pay-As-You-Go",,"750000"
"2016","Public Safety","Police Department","In-car Laptops","FY16-030","Local","Pay-As-You Go",,"250000"
"2017","Public Works","Public Works","Parks Capital Equipment","FY17-69","Local","Pay-As-You-Go",,"65000"
"2016","Public Safety","Police Department","Family Justice Center","FY16-028","Local","Tax Supported Debt",,"3000000"
"2016","Transportation","Transportation","Rail Study - TIGER","FY16-057","Local","Pay-As-You Go",,"300000"
"2016","Public Works","Public Works","Park Recycling & Waste Stations","FY16-040","Local","Pay-As-You Go",,"110000"
"2017","Public Works - Enterprise Fund","Water Quality","Patten Parkway Detention Facility","FY17-49","User Fees","Pay-As-You-Go",,"150000"
"2017","Public Works - Enterprise Fund","Solid Waste","Landfill Compactor & Truck Wash","FY17-120","User Fees","Pay-As-You-Go",,"850000"
"2016","General Government","General Government","Finley Stadium Donation","FY16-009","Local","Pay-As-You Go",,"125000"
"2016","Transportation","Transportation","CMAQ Bike Lanes","FY16-056","External","Federal",,"1432393"
"2017","Public Works - Enterprise Fund","Water Quality","Warner Park Sewer Separation","FY17-52","User Fees","Pay-As-You-Go",,"100000"
"2017","Transportation","Transportation","Transit Signal Priority","FY17-19","Local","Pay-As-You-Go",,"250000"
"2017","General Government","General Services","Fleet Leasing Program Capital","FY16-014","Local","Pay-As-You-Go",,"4000000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","Solids Process Optimization Implementation Ph4","FY17-83","State Revolving Loan Fund","User Fee Supported Debt",,"5100000"
"2016","Transportation","Transportation","Riverwalk Extension (Middle Street - the Incline) - TIP","FY16-058","External","Hamilton County",,"55000"
"2017","Transportation","Transportation","Hwy 58 Shared Use Path","FY17-187","Local","Pay-As-You-Go",,"37036"
"2017","Public Safety","Police Department","Body-worn Cameras","FY16-027","Local","Pay-As-You-Go",,"141000"
"2017","Economic & Community Development","Economic & Community Development","Public Art","FY16-002","Local","Pay-As-You-Go",,"50000"
"2016","Public Works","Public Works","Enterprise South Horse Trails","FY16-035","Local","Pay-As-You Go",,"125000"
"2017","Transportation","Transportation","Traffic Signal Equipment","FY17-77","Local","Pay-As-You-Go",,"89000"
"2016","Youth & Family","Youth & Family Development","YFD Building Safety & Security Improvements","FY16-068","Local","Tax Supported Debt",,"100000"
"2016","Public Safety","Fire Department","Apparatus Replacement","FY16-025","Local","Tax Supported Debt",,"1000000"
"2016","Transportation","Transportation","Riverwalk Extension (Middle Street - the Incline) - TIP","FY16-058","External","Federal",,"440000"
"2017","General Government","Information Technology","City Network Rebuild","FY17-26","Local","Pay-As-You-Go",,"700000"
"2016","Public Safety","Fire Department","Quick Response Vehicles","FY16-026","Local","Pay-As-You Go",,"150000"
"2017","Public Works","Public Works","Walnut Street Pedestrian Bridge","FY16-043","Local","Pay-As-You-Go",,"1000000"
"2017","Public Works - Enterprise Fund","Solid Waste","GPS Compaction Equipment","FY17-215","User Fees","Pay-As-You-Go",,"200000"
"2017","Public Works","Public Works","Playground Improvements","FY17-82","Local","Pay-As-You-Go",,"90000"
"2016","Public Safety","Police Department","In-car Cameras","FY16-029","Local","Pay-As-You Go",,"250000"
"2016","Youth & Family","Youth & Family Development","YFD Center Improvements","FY16-070","Local","Tax Supported Debt",,"150000"
"2017","Transportation","Transportation","South Chickamauga Creek Greenway - Caine Lane","FY17-206","External","Federal",,"374928"
"2016","Transportation","Transportation","Intersection Modernization","FY16-044","Local","Tax Supported Debt",,"75000"
"2016","Transportation","Transportation","Goodwin Road Extension","FY16-049","Local","Tax Supported Debt",,"40000"
"2016","Transportation","Transportation","Shepherd Rd Improvements","FY16-060","Local","Tax Supported Debt",,"217707"
"2016","Transportation","Transportation","ITS Development - CMAQ","FY16-045","External","Federal",,"800000"
"2017","Public Safety","Police Department","Family Justice Center","FY16-028","Local","Tax Supported Debt",,"600000"
"2016","Economic & Community Development","Economic & Community Development","Miller Park District","FY16-001","External","River City Company",,"27700"
"2017","Transportation","Transportation","Street Resurfacing & Improvements (Paving)","FY16-061","Local","Pay-As-You-Go",,"3576000"
"2016","Public Safety","Police Department","MobileCAD & GPS AVL","FY16-031","Local","Pay-As-You Go",,"64000"
"2016","Youth & Family","Youth & Family Development","South Chattanooga YFD Center Sign","FY16-065","External","Hamilton County",,"30000"
"2016","Economic & Community Development","Economic & Community Development","Volkswagen Expansion","FY16-003","Local","Pay-As-You Go",,"6250000"
"2017","Public Works - Enterprise Fund","Water Quality","On-Call Landscape Design","FY17-43","User Fees","Pay-As-You-Go",,"100000"
"2017","Public Works - Enterprise Fund","Water Quality","Green Infrastructure SOV Bank","FY17-41","User Fees","Pay-As-You-Go",,"300000"
"2016","Public Works","Public Works","Increase Curbside Recycling","FY16-036","Local","Tax Supported Debt",,"275000"
"2016","Transportation","Transportation","Rail Study - TIGER","FY16-057","External","Federal",,"400000"
"2017","Transportation","Transportation","CDBG Sidewalks","FY16-047","External","Federal",,"200000"
"2016","General Government","General Services","Tivoli HVAC","FY16-017","Local","Pay-As-You Go",,"500000"
"2017","Transportation","Transportation","CMAQ Bike Lanes","FY17-185","Local","Pay-As-You-Go",,"34060"
"2016","Transportation","Transportation","Street Resurfacing & Improvements (Paving)","FY16-061","Local","Pay-As-You Go",,"2931000"
"2017","Public Safety","Police Department","Real Time Intelligence Center","FY17-3","Local","Tax Supported Debt",,"225000"
"2016","General Government","General Services","Fleet Fueling System Upgrade","FY16-013","Local","Pay-As-You Go",,"170000"
"2016","Youth & Family","Youth & Family Development","YFD Maintenance Equipment","FY16-071","Local","Tax Supported Debt",,"42000"
"2016","Public Works","Public Works","Automated Salt Brine Maker","FY16-034","Local","Tax Supported Debt",,"110000"
"2017","Transportation","Transportation","Transit Signal Priority","FY17-19","External","Federal",,"1000000"
"2016","Public Works","Public Works","Street Sweeper","FY16-038","Local","Tax Supported Debt",,"220000"
"2016","Youth & Family","Youth & Family Development","Skatepark Renovation","FY16-064","Local","Pay-As-You Go",,"30000"
"2016","Public Works","Public Works","Knuckle Boom & Multi-use Chassis","FY16-037","Local","Tax Supported Debt",,"500000"
"2016","Youth & Family","Youth & Family Development","YFD Building Repairs","FY16-066","Local","Pay-As-You Go",,"150000"
"2016","Transportation","Transportation","Riverwalk Extension (US27 - Moccasin Bend IC) - TIP","FY16-059","Local","Pay-As-You Go",,"64860"
"2017","Transportation","Transportation","Sidewalks","FY16-055","Local","Tax Supported Debt",,"135000"
"2016","Transportation","Transportation","Neighborhood Traffic Management Program","FY16-054","Local","Pay-As-You Go",,"100000"
"2017","Public Works - Enterprise Fund","Water Quality","East Lake Water Quality Restoration","FY17-27","External","Lyndhurst Foundation",,"100000"
"2017","Public Works - Enterprise Fund","Solid Waste","Wood Grinder Purchase and Upgrade","FY17-212","User Fees","Pay-As-You-Go",,"175000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","Consent Decree Program Implementation","FY17-96","User Fees","Pay-As-You-Go",,"2400000"
"2017","Public Works - Enterprise Fund","Water Quality","CPD/HC Firing Range","FY17-39","User Fees","Pay-As-You-Go",,"40000"
"2016","Public Works","Public Works","Automated Garbage Trucks","FY16-033","Local","Pay-As-You Go",,"2100000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","MBWWTP electrical Switching Center Upgrade Ph2","FY17-89","User Fees","Pay-As-You-Go",,"500000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","Solids Process Optimization Implementation Ph3","FY17-85","State Revolving Loan Fund","User Fee Supported Debt",,"3000000"
"2016","General Government","Information Technology","Application Hosting & Tools","FY16-019","Local","Pay-As-You Go",,"550000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","North St. Elmo Sewer Rehabilitation","FY17-92","User Fees","Pay-As-You-Go",,"600000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","Solids Process Optimization Implementation Ph2","FY17-94","User Fees","Pay-As-You-Go",,"3200000"
"2016","General Government","General Government","Orange Grove Donation","FY16-011","Local","Pay-As-You Go",,"250000"
"2017","Transportation","Transportation","South Chickamauga Creek Greenway - Caine Lane","FY17-206","Local","Tax Supported Debt",,"163732"
"2016","Public Works","Public Works","Increase Curbside Recycling","FY16-036","Local","Pay-As-You Go",,"288000"
"2017","Transportation","Transportation","ADA Bus Stop Connections","FY17-177","External","Federal",,"402978"
"2017","Public Works - Enterprise Fund","Solid Waste","Summit Repairs","FY17-79","User Fees","Pay-As-You-Go",,"900000"
"2016","Transportation","Transportation","MLK Blvd Corridor Improvements","FY16-053","External","Benwood Foundation",,"200000"
"2016","General Government","General Government","HR Training Software","FY16-010","Local","Pay-As-You Go",,"75000"
"2017","Public Works - Enterprise Fund","Water Quality","Commons Blvd Culvert Replacement","FY17-42","User Fees","Pay-As-You-Go",,"250000"
"2016","Transportation","Transportation","Hwy 27 Rossville Blvd Multimodal","FY16-050","Local","Tax Supported Debt",,"130000"
"2017","Transportation","Transportation","MLK Corridor Improvements","FY16-053","Local","Pay-As-You-Go",,"1270000"
"2017","Transportation","Transportation","Hwy 58 Shared Use Path","FY17-187","External","Federal",,"222214"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","Wet Weather Combined Sewer Storage","FY17-87","State Revolving Loan Fund","User Fee Supported Debt",,"10000000"
"2017","Transportation","Transportation","CDBG Sidewalks","FY16-047","Local","Pay-As-You-Go",,"177250"
"2017","General Government","General Government","Finley Stadium Donation","FY16-009","Local","Pay-As-You-Go",,"125000"
"2017","Transportation","Transportation","Neighborhood Traffic Management Program","FY16-054","Local","Pay-As-You-Go",,"100000"
"2017","Public Works - Enterprise Fund","Water Quality","Riverfront Parkway/MLK Jr Drive CSS Separation","FY17-48","User Fees","Pay-As-You-Go",,"350000"
"2017","Transportation","Transportation","CMAQ Bike Lanes","FY17-185","External","Federal",,"136240"
"2016","Transportation","Transportation","Traffic Engineering Capital Equipment","FY16-046","Local","Tax Supported Debt",,"170000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","EQ Blower Replacement","FY17-84","User Fees","Pay-As-You-Go",,"4600000"
"2017","Public Safety","Police Department","In-Car Laptops","FY16-030","Local","Pay-As-You-Go",,"400000"
"2017","Public Works - Enterprise Fund","Water Quality","Water Quality Operations Building","FY17-51","User Fees","Pay-As-You-Go",,"250000"
"2016","Youth & Family","Youth & Family Development","YFD Building Roofs","FY16-067","Local","Tax Supported Debt",,"200000"
"2016","General Government","Public Library","Library HVAC, Remediation, and Lighting Project","FY16-024","Local","Tax Supported Debt",,"349415"
"2016","Public Works","Public Works","Park Restrooms","FY16-041","Local","Tax Supported Debt",,"75000"
"2016","Economic & Community Development","Economic & Community Development","Miller Park District","FY16-001","External","Benwood Foundation",,"200000"
"2016","Transportation","Transportation","CMAQ Bike Lanes","FY16-056","Local","Tax Supported Debt",,"433235"
"2017","General Government","General Services","Tivoli Foundation Annual Capital Appropriation","FY16-016","Local","Pay-As-You-Go",,"250000"
"2016","General Government","General Services","Fleet Mgmt Software","FY16-015","Local","Pay-As-You Go",,"250000"
"2017","Public Safety","Police Department","Conductive Electronic Weapons (CEWs)","FY17-21","Local","Pay-As-You-Go",,"173187"
"2017","Public Safety","Fire Department","Apparatus Replacement","FY16-025","Local","Tax Supported Debt",,"1000000"
"2017","Youth & Family","Youth & Family Development","New Avondale YFD Center","FY17-71","Local","Tax Supported Debt",,"6000000"
"2016","Economic & Community Development","Economic & Community Development","Harriet Tubman","FY16-073","Local","Pay-As-You Go",,"200000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","Collection System Equipment Purchase","FY17-93","User Fees","Pay-As-You-Go",,"1500000"
"2017","General Government","General Government","Library HVAC, Remediation, and Lighting Project","FY16-024","Local","Tax Supported Debt",,"450000"
"2016","General Government","General Services","Zoo Entrance Improvements - Capital Repayment","FY16-018","Local","Pay-As-You Go",,"250000"
"2016","Transportation","Transportation","Central Avenue Extension","FY16-048","External","Federal",,"180000"
"2017","Transportation","Transportation","8th St. Shared Space","FY17-176","Local","Pay-As-You-Go",,"700000"
"2016","General Government","General Services","Fleet Leasing Program Capital","FY16-014","Local","Pay-As-You Go",,"1000000"
"2017","Transportation","Transportation","ADA Bus Stop Connections","FY17-177","Local","Pay-As-You-Go",,"44809"
"2016","Transportation","Transportation","MLK Blvd Corridor Improvements","FY16-053","Local","Tax Supported Debt",,"350000"
"2017","Public Works","Public Works","Paul Clark Building Bathroom Renovations","FY17-166","Local","Pay-As-You-Go",,"75000"
"2016","Transportation","Transportation","Goodwin Road Extension","FY16-049","External","Federal",,"160000"
"2016","General Government","General Government","ESIP Supplier Park Development","FY16-008","Local","Pay-As-You Go",,"223500"
"2016","General Government","Information Technology","Telecommunication Upgrades","FY16-023","Local","Tax Supported Debt",,"500000"
"2017","General Government","General Government","Chambliss Early Childhood Expansion","FY17-38","Local","Pay-As-You-Go",,"500000"
"2016","General Government","General Services","Chattanoogan Hotel Foundation Stabilization","FY16-012","Local","Pay-As-You Go",,"290000"
"2016","Transportation","Transportation","Central Avenue Extension","FY16-048","Local","Pay-As-You Go",,"45000"
"2016","Transportation","Transportation","ITS Development - CMAQ","FY16-045","Local","Tax Supported Debt",,"432000"
"2016","Public Works","Public Works","Walnut Street Pedestrian Bridge","FY16-043","Local","Pay-As-You Go",,"1020563"
"2016","Youth & Family","Youth & Family Development","YFD Center Improvements","FY16-070","Local","Pay-As-You Go",,"400000"
"2016","General Government","CARTA","CARTA Capital Match","FY16-004","Local","Pay-As-You Go",,"100000"
"2017","Transportation","Transportation","Woodmore Safe Routes to School","FY17-200","External","Federal",,"187214"
"2017","Public Safety","Police Department","In-Car Cameras","FY16-029","Local","Pay-As-You-Go",,"386000"
"2016","Public Safety","Police Department","MobileCAD & GPS AVL","FY16-031","Local","Tax Supported Debt",,"200000"
"2017","Youth & Family","Youth & Family Development","YFD Center Improvements","FY16-070","Local","Pay-As-You-Go",,"300000"
"2017","Public Works - Enterprise Fund","Water Quality","Lynnbrook WPA Ditch Improvements","FY17-59","User Fees","Pay-As-You-Go",,"750000"
