"zip_code","age_0_4","ed_visits_age_0_4","average_population_age_0_4","ed_visit_rate_per_10_000_age_0_4","age_0_14","ed_visits_age_0_14","average_population_age_0_14","ed_visit_rate_per_10_000_age_0_14","age_0_17","ed_visits_age_0_17","average_population_age_0_17","ed_visit_rate_per_10_000_age_0_17","age_18_64","ed_visits_age_18_64","average_population_age_18_64","ed_visit_rate_per_10_000_age_18_64","age_65","ed_visits_age_65","average_population_age_65","ed_visit_rate_per_10_000_age_65","total","ed_visits_total","average_population_total","ed_visit_rate_per_10_000_total","location_1"
"Zip Code 10458","(x)","1041","7021","494.2","(x)","2206","19487","377.3","(x)","2420","22893","352.4","(x)","3379","49898","225.7","(x)","224","5903","126.5","(x)","6023","78694","255.1","
,  Zip Code 10458
(40.863069999581, -73.8891599998339)"
"Zip Code 10454","(x)","1031","3511","978.8","(x)","2112","9954","707.3","(x)","2312","11855","650.1","(x)","2593","22140","390.4","(x)","217","3475","208.2","(x)","5122","37470","455.7","
,  Zip Code 10454
(40.807580000117, -73.9184800002516)"
"Zip Code 10469","(x)","459","4416","346.5","(x)","972","13177","245.9","(x)","1049","15881","220.2","(x)","1327","42206","104.8","(x)","110","11733","31.3","(x)","2486","69820","118.7","
,  Zip Code 10469
(40.8709000000351, -73.849370000425)"
"Zip Code 10467","(x)","868","7229","400.2","(x)","2006","20689","323.2","(x)","2177","24590","295.10000000000002","(x)","2848","56238","168.8","(x)","207","10288","67.099999999999994","(x)","5232","91116","191.4","
,  Zip Code 10467
(40.873340000141, -73.871859999739)"
"Zip Code 10462","(x)","671","5627","397.5","(x)","1425","16633","285.60000000000002","(x)","1536","19985","256.2","(x)","2000","49751","134","(x)","151","9490","53","(x)","3687","79227","155.1","
,  Zip Code 10462
(40.8434100003713, -73.8597099997165)"
"Zip Code 10474","(x)","255","1292","657.9","(x)","437","3470","419.8","(x)","468","4795","325.3","(x)","654","20556","106.1","(x)","39","961","135.30000000000001","(x)","1161","26312","147.1","
,  Zip Code 10474
(40.8139299997698, -73.8866399996361)"
"Zip Code 10459","(x)","787","4232","619.9","(x)","1571","12028","435.4","(x)","1726","14367","400.5","(x)","2245","27535","271.8","(x)","163","4298","126.4","(x)","4134","46200","298.3","
,  Zip Code 10459
(40.8251799996574, -73.8941699997455)"
"Zip Code 10470","(x)","68","930","243.7","(x)","147","2826","173.4","(x)","164","3419","159.9","(x)","267","9680","91.9","(x)","27","2358","38.200000000000003","(x)","458","15457","98.8","
,  Zip Code 10470
(40.9006099995519, -73.8607999996201)"
"Zip Code 10455","(x)","1011","3511","959.8","(x)","2218","9932","744.4","(x)","2397","11966","667.7","(x)","2661","23337","380.1","(x)","241","3621","221.9","(x)","5299","38924","453.8","
,  Zip Code 10455
(40.8151399998113, -73.9078500001772)"
"Zip Code 10466","(x)","559","5361","347.6","(x)","1308","15814","275.7","(x)","1436","19067","251","(x)","1851","46022","134.1","(x)","130","9078","47.7","(x)","3417","74167","153.6","
,  Zip Code 10466
(40.8907000003049, -73.8511600002336)"
