"vacancynumber","department","jobtitle","numberofopenings","startdate","enddate","employmentcategory","recruitmenttype","professionalarea"
"IRC50006","Office of Human Resources","Psychologist, (Police) Grade 29","1","2021-08-04T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC55215","Department of Recreation","Recreation Coordinator (Multiple Program Areas), Grade 18","5","2022-08-05T00:00:00.000",,"FULLTIME","Open Continuous","General Professional"
"IRC49343","Department of Housing and Community Affairs","Housing Code Inspector III, Grade 23","8","2021-06-23T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54223","Department of Technology & Enterprise Business Solutions (TEBS) /Office of Broadband Programs, FiberNet Engineering & Operations","Enterprise Technology Expert, Grade 34","1","2022-05-17T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC53706","Department of General Services","Equipment Maintenance Crew Chief, Grade 22","3","2022-03-08T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53706","Department of General Services","Equipment Maintenance Crew Chief, Grade 22","3","2022-03-08T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC55212","Montgomery County Employee Retirement Plans","Retirement Analyst/Senior Retirement Analyst, Grade N23/N26","1","2022-08-04T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55013","Department of Technology & Enterprise Business Solutions","MLS Manager II (Head, Project Management Office), M2","1","2022-07-12T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC46176","Department of Health and Human Services","Therapist I/II (Behavioral Health and Crisis Services), Grade 23/24","10","2020-10-14T00:00:00.000",,"PARTTIME","Closing Date","Health and Social Services"
"IRC55049","Department of Health and Human Services","Social Worker III (Aging and Disability Services, Social Services to Adults), Grade 24","1","2022-07-19T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC53384","Department of General Services","Mechanic Technician I/Apprentice, Grade 16/12","8","2022-02-07T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53960","Department of Technology & Enterprise Business Solutions/Office of Change Management","Change Management Specialist, Grade 27","2","2022-04-08T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC46176","Department of Health and Human Services","Therapist I/II (Behavioral Health and Crisis Services), Grade 23/24","10","2020-10-14T00:00:00.000",,"PARTTIME","Closing Date","Health and Social Services"
"IRC46176","Department of Health and Human Services","Therapist I/II (Behavioral Health and Crisis Services), Grade 23/24","10","2020-10-14T00:00:00.000",,"PARTTIME","Closing Date","Health and Social Services"
"IRC54246","Department of Fire and Rescue Service/Fleet","Emergency Vehicle Mechanic Technician II, Grade 20","1","2022-05-19T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53762","Department of Finance","Accountant/Auditor Supervisor (General Accounting Supervisor), Grade N26","2","2022-03-11T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC53813","Board of Elections","Program Manager I, (Operations Division Chief), Grade 23","1","2022-03-28T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55220","Department of Recreation","Recreation Supervisor (Multiple Program Areas), Grade N23","1","2022-08-05T00:00:00.000",,"FULLTIME","Open Continuous","General Professional"
"IRC50006","Office of Human Resources","Psychologist, (Police) Grade 29","1","2021-08-04T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC55213","Department of Police","Police Officer - Lateral Class","1","2022-08-06T00:00:00.000",,"FULLTIME","Open Until Filled","Public Safety"
"IRC54282","Department of Health and Human Services","Social Worker III (Services to End and Prevent Homelessness), Grade 24","1","2022-05-21T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC55211","Department of Recreation","Recreation Specialist (Multiple Program Areas), Grade 21","5","2022-08-05T00:00:00.000",,"FULLTIME","Open Continuous","General Professional"
