"zta_no","title","zta_file","ordinance_no","ordinance_file","analyst","sponsor_s","co_sponsor_s_","introduction_date","public_hearing_date","public_hearing_time","committee","worksession_date","worksession_date_2","worksession_date_3","worksession_date_4","worksession_date_5","worksession_date_6","worksession_date_7","worksession_date_8","action","adopted_date","disapproved_date","effective_date","amended_sections","comments"
"05-11","Accessory Buildings","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/05-11.pdf",,,"Ralph D. Wilson","Praisner",,"09/13/2005","10/18/2005","1:30 PM",,,,,,,,,,"Expired",,,,,
"05-12","C-2 Zone, Special Development Procedure","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/05-12.pdf","15-68","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/15-68.pdf","Ralph D. Wilson","Leventhal",,"09/20/2005","10/25/2005","1:30 PM","PHED","12/12/2005","02/03/2006","03/10/0006",,,,,,"Adopted","04/18/2006",,"05/08/2006",,
"05-13","Sign Review - Fees",,"15-55","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-55.pdf","Ralph D. Wilson","Leventhal",,"09/27/2005","11/01/2005","1:30 PM","PHED","11/28/2005",,,,,,,,"Adopted","12/06/2005",,"12/26/2005",,
"05-14","Sign Ordinance - Limited Duration Signs","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-14.pdf","15-59","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-59.pdf","Ralph D. Wilson","Denis",,"09/27/2005","11/01/2005","1:30 PM","PHED","11/28/2005",,,,,,,,"Adopted","01/24/2006",,"02/13/2005",,
"05-15","Building coverage and impervious surface limits","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/05-15.pdf",,,"Ralph D. Wilson","District Council",,"10/03/2005","11/08/2005","7:00 PM","PHED, T&E","11/10/2005",,,,,,,,"Expired",,,,,
"05-16","Workforce Housing","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-16.pdf","15-77","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-77.pdf","Ralph D. Wilson","Silverman, Floreen & Subin",,"10/11/2005","11/22/2005","7:30 PM","PHED","12/12/2005","03/27/2006","03/31/0006","04/28/0006","06/12/0006",,,,"Adopted","07/11/2006",,"12/01/2006",,
"05-17","Site Plan Enforcement","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/05-17.pdf",,,"Michael Faden","Dennis, Floreen & Knapp",,"11/01/2005","01/17/2006","7:00 PM","PHED","01/30/2006","02/02/2006",,,,,,,"Expired",,,,,
"05-18","Planning Board Public Hearings - Hearing Examiner","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-18.pdf","15-64","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-64.pdf","Ralph D. Wilson","Praisner",,"11/01/2005","01/17/2006","7:00  PM","PHED","01/30/2006","02/02/2006",,,,,,,"Adopted","02/28/2006",,"03/01/2006",,
"05-19","Site Plan Enforcement","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/05-19.pdf",,,"Michael Faden","Council President at the request of the County Executive",,"11/01/2005","01/17/2006","7:00 PM","PHED","01/30/2006","02/02/2006",,,,,,,"Expired",,,,,
"05-20","Site Plans - Approval, Amendment & Enforcement","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-20.pdf","15-63","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-63.pdf","Michael Faden","District Council",,"11/29/2005","01/17/2006","7:00 PM","PHED","01/30/2006","02/02/2006",,,,,,,"Adopted","02/28/2006",,"04/01/2006",,
"05-21","Corporate Training Center","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-21.pdf","15-62","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-62.pdf","Ralph D. Wilson","Floreen",,"12/06/2005","01/17/2006","1:30 PM","PHED","01/26/2006",,,,,,,,"Adopted","02/07/2006",,"02/27/2006",,
"05-22","Transit Station Zones - CBD","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-22.pdf","15-61","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-61.pdf","Ralph D. Wilson","Denis & Perez",,"12/13/2005","01/24/2006","1:30 PM","PHED","01/26/2006",,,,,,,,"Adopted","02/07/2006",,"02/27/2006",,
"05-23","TDR Easement - Nonresidential Uses","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/05-23.pdf",,,"Ralph D. Wilson","Subin & Floreen",,"12/13/2005","01/19/2006","7:00 PM","T&E","03/16/2006",,,,,,,,"Expired",,,,,
"06-01","Rural Village Center Overlay Zone - Revisions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-01.pdf","15-71","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-71.pdf","Ralph D. Wilson","District Council at the request of the Planning Board",,"01/24/2006","03/07/2006","1:30 PM","PHED","03/17/2006","03/27/2006","04/04/0006",,,,,,"Adopted","05/25/2006",,"06/14/2006",,
"06-02","Mixed-Use Town Center Zone - Revisions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-02.pdf","15-72","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-72.pdf","Ralph D. Wilson","District Council at the request of the Planning Board",,"01/24/2006","03/07/2006","1:30 PM","PHED","03/17/2006","03/20/2006","03/27/2006",,,,,,"Adopted","05/25/2006",,"06/14/2006",,
"06-03","Rural Neighborhood Cluster Zone - TDR Option","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-03.pdf","15-73","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-73.pdf","Ralph D. Wilson","District Council at the request of the Planning Board",,"01/24/2006","03/07/2006","1:30 PM","PHED","03/17/2006","03/27/2006","04/04/0006",,,,,,"Adopted","05/25/2006",,"06/14/2006",,
"06-04","Rural Neighborhood Cluster Zone - Rural Open Space",,"15-69","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/15-69.pdf","Ralph D. Wilson","Praisner",,"01/24/2006","03/07/2006","1:30 PM","PHED","04/03/2006",,,,,,,,"Adopted","04/18/2006",,"05/08/2006",,
"06-05","C-2 Zone - Site Plan Review","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-05.pdf","15-86","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/15-86.pdf","Ralph D. Wilson","Praisner",,"01/31/2006","03/07/2006","1:30 PM","PHED","06/19/2006",,,,,,,,"Adopted","10/10/2006",,"10/10/2006",,
"06-06","Off-street Parking - RE-200 and RE-1 zones",,"15-70","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/15-70.pdf","Ralph D. Wilson","Praisner",,"02/07/2006","03/14/2006","1:30 PM","PHED","04/28/2006",,,,,,,,"Adopted","05/02/2006",,"05/22/2006",,
"06-07","Farm building supplies and construction - C-1 zone",,"15-76","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/15-76.pdf","Sonya Healy","Knapp",,"02/28/2006","04/04/2006","1:30 PM","PHED","06/19/2006",,,,,,,,"Adopted","07/11/2006",,"07/31/2006",,
"06-08","Accessory buildings - height, lot coverage, and setbacks","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-08.pdf","15-82","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/20061003_15-82.pdf","Ralph D. Wilson","Praisner",,"03/21/2006","04/25/2006","1:30 PM","PHED","06/19/2006",,,,,,,,"Adopted","09/19/2006",,"10/09/2006",,
"06-09","Corrective Map Amendment","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/06-09.pdf",,,"Jeff Zyontz","Silverman",,"03/28/2006","05/02/2006","1:30 PM","PHED","06/21/2006","09/25/2006",,,,,,,"Expired",,,,,
"06-10","Subordinate Structure - Revisions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-10.pdf","15-74","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-74.pdf","Ralph D. Wilson","Praisner & Silverman",,"03/28/2006","05/02/2006","1:30 PM","PHED","06/21/2006",,,,,,,,"Adopted","07/11/2006",,"07/11/2006",,
"06-11","Wheaton Overlay Zone - Revisions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-11.pdf","15-79","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-79.pdf","Jeff Zyontz","Perez & Praisner",,"04/03/2006","06/13/2006","1:30 PM","PHED","06/21/2006",,,,,,,,"Adopted","07/18/2006",,"08/07/2006",,
"06-12","Corner Lots/.MPDUs","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-12.pdf","15-75",,"Jeff Zyontz","Floreen",,"04/25/2006","06/13/2006","1:30 PM","PHED","06/21/2006",,,,,,,,"Adopted","08/11/2006",,"08/11/2006",,
"06-13","Establish Building Line",,"15-78","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/15-78.pdf","Jeff Zyontz","District Council at the request of the County Executive",,"04/25/2006","06/13/2006","1:30 PM","PHED","06/19/2006",,,,,,,,"Adopted","07/18/2006",,"08/07/2006",,
"06-14","Establish a Transit Oriented, Mixed Use/Transfer of Development Rights Zone (TOMX/TDR)","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-14.pdf","15-84","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/20061003_15-84.pdf","Jeff Zyontz","District Council",,"05/09/2006","06/13/2006","1:30 PM","PHED","07/10/2006","09/18/2006",,,,,,,"Adopted","10/03/2006",,"10/23/2006",,
"06-15","Establish a Residential Mixed Use Development, Specialty Center, Commercial Base/Transfer of Development Rights Zone (RMX-2C/TDR)","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-15.pdf","15-85","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-85.pdf","Jeff Zyontz","District Council",,"05/09/2006","06/13/2006","1:30 PM","PHED","07/10/2006","09/18/2006",,,,,,,"Adopted","10/03/2006",,"10/23/2006",,
"06-16","Site Plans - Energy Efficiency and Environmental Design","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/06-16.pdf","Expired",,"Kathleen Boucher","Leventhal, Praisner & Silverman",,"05/16/2006","06/20/2006","1:30 PM","PHED, T&E","07/13/2006","10/12/2006",,,,,,,"Expired",,,,,
"06-17","Accessibility Improvement - Exemption","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-17.pdf","15-80","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-80.pdf","Jeff Zyontz","District Council at the request of the County Executive and Councilmembers Praisner and Floreen",,"05/25/2006","07/11/2006","1:30 PM","PHED","07/17/2006",,,,,,,,"Adopted","07/25/2006",,"08/14/2006",,
"06-18","Planned Retirement Community Zone - Development Standards","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/06-18.pdf",,,"Jeff Zyontz","Knapp",,"06/13/2006","07/18/2006","1:30 PM","PHED","07/24/2006","10/09/2006",,,,,,,"Expired",,,,,
"06-19","Florists - Office Moderate Density (O-M) Zone","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-19.pdf","15-81","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-81.pdf","Jeff Zyontz","Knapp & Praisner",,"06/13/2006","07/18/2006","1:30 PM","PHED","07/24/2006",,,,,,,,"Adopted","08/01/2006",,"08/21/2006",,
"06-20","Mixed-Use Town Center/Transfer Development Rights (MXTC/TDR) Zone - Establishment","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-20.pdf","15-83","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/15-83.pdf","Jeff Zyontz","District Council",,"06/13/2006","07/18/2006","1:30 PM","PHED","09/18/2006",,,,,,,,"Adopted","09/26/2006",,"10/15/2006",,
"06-21","Building coverage - RE-1 Cluster","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-21.pdf",,,"Jeff Zyontz","Leventhal",,"06/27/2006","08/01/2006","1:30 PM","PHED","09/25/2006",,,,,,,,"Expired",,,,,
"06-22","Office, Real Estate - C-1 and C-2 zones",,"15-87","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/15-87.pdf","Jeff Zyontz","Praisner",,"07/18/2006","09/26/2006","1:30 PM","PHED","09/28/2006",,,,,,,,"Adopted","10/10/2006",,"10/30/2006",,
"06-23","Signs - Place of Assembly","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-23.pdf","15-88","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/15-88.pdf","Jeff Zyontz","Leventhal",,"08/01/2006","09/21/2006","7:30 PM","PHED","09/23/2006",,,,,,,,"Adopted","10/17/2006",,"11/06/2006",,
"06-24","Home occupation - Furniture displays","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-24.pdf","15-90","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/15-90.pdf","Jeff Zyontz","Denis",,"09/19/2006","10/24/2006","1:30 PM","PHED","10/26/2006",,,,,,,,"Adopted","10/31/2006",,"10/31/2006",,
"06-25","Signs - Generally and Arts Districts","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/06-25.pdf","16-02","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/16-02.pdf","Jeff Zyontz","Floreen & Ervin",,"12/12/2006","01/16/2007","1:30 PM","PHED","01/29/2007",,,,,,,,"Adopted","02/06/2007",,"02/26/2007",,
"06-26","Development Plan Findings-Amendment","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/06-26.pdf",,,"Jeff Zyontz","Knapp",,"12/12/2006","01/16/2007","1:30 PM","PHED","02/05/2007",,,,,,,,"Expired",,,,,
"06-27","Planned Retirement Community Zone (PRC) Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/06-27.pdf","16-03","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/16-03.pdf","Jeff Zyontz","Knapp",,"12/12/2006","01/16/2007","1:30 PM","PHED","02/05/2007",,,,,,,,"Adopted","02/13/2007",,"03/05/2007",,
"07-01","Outdoor Lighting Standards","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2007/07-01.pdf",,,"Kathleen Boucher","Praisner",,"02/13/2007","03/20/2007","1:30 PM",,,,,,,,,,"Expired",,,,,
"07-02","Buildable Lot - Clarification","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2007/07-02.pdf","16-04","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20070417_16-04.pdf","Jeff Zyontz","Praisner & Berliner",,"02/13/2007","03/27/2007","1:30 PM","PHED","04/09/2007",,,,,,,,"Adopted","04/17/2007",,"04/17/2007",,
"07-03","Workforce Housing - Option","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2007/07-03.pdf",,,"Jeff Zyontz","Floreen",,"02/13/2007","03/27/2007","1:30 PM","PHED","04/09/2007",,,,,,,,"Expired",,,,,
"07-04","Accessory structure standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-04.pdf","16-06","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20070703_16-06.pdf","Jeff Zyontz","Elrich & Berliner",,"04/10/2007","06/12/2007","1:30 PM","PHED","06/18/2007",,,,,,,,"Adopted","07/03/2007",,"07/03/2007",,
"07-05","Site Plan Amendment - Procedures","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-05.pdf","16-11","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20071120_16-11.pdf","Jeff Zyontz","Leventhal, Floreen, Knapp & Ervin",,"05/08/2007","06/12/2007","1:30 PM","PHED","06/18/2007","07/30/2007","11/05/0007",,,,,,"Adopted","11/20/2007",,"11/20/2007",,
"07-06","Rural Density Transfer (RDT) Child Lot Standards","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2007/07-06.pdf",,,"Jeff Zyontz","Council President at request of Ad Hoc Agricultural Policy Working Group",,"06/12/2007","07/19/2007","7:30 PM",,,,,,,,,,"Expired",,,,,
"07-07","Rural Density Transfer (RDT) -  Use Limitations","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-07.pdf","16-08","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20071002_16-08.pdf","Jeff Zyontz","Council President at request of Ad Hoc Agricultural Policy Working Group",,"06/12/2007","07/19/2007","7:30 PM","PHED","09/10/2007",,,,,,,,"Adopted","10/02/2007",,"10/22/2007",,
"07-08","Transferable Development Rights (TDR) - Use Standards","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2007/07-08.pdf",,,"Jeff Zyontz","Council President at request of Ad Hoc Agricutural Policy Working Group",,"06/12/2007","07/19/2007","7:30 PM",,,,,,,,,,"Expired",,,,,
"07-09","Rural Density Transfer (RDT) Child Lot Standards","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2007/07-09.pdf",,,"Jeff Zyontz","Council President at request of the Planning Board",,"06/12/2007","07/19/2007","7:30 PM",,,,,,,,,,"Expired",,,,,
"07-10","Central Business District (CBD) Zones","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-10.pdf","16-18","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20080422_16-18.pdf","Jeff Zyontz","Council President at request of Planning Board and Councilmembers Floreen, and Ervin",,"07/31/2007","09/11/2007","1:30 PM","PHED","01/22/2008","03/31/2008","04/07/0008",,,,,,"Adopted","04/22/2008",,"05/12/2008",,
"07-11","Upper Paint Branch Special Protection Area -Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-11.pdf","16-09","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20071002_16-09.pdf","Jeff Zyontz","Praisner, Trachtenberg, Andrews, Elrich and Ervin",,"07/31/2007","09/11/2007","1:30 PM","PHED","09/24/2007",,,,,,,,"Adopted","10/02/2007",,"10/02/2007",,
"07-12","Accessory Structures - Size","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-12.pdf","16-20","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20080617_16-20.pdf","Jeff Zyontz","Ervin and Praisner",,"07/31/2007","09/11/2007","1:30 PM","PHED","09/24/2007","05/02/2008",,,,,,,"Adopted","06/17/2008",,"07/07/2008",,
"07-13","Planned Development Zones- Requirements","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2007/07-13.pdf",,,"Jeff Zyontz","Council President at request of County Executive",,"09/11/2007","10/16/2007","1:30 p.m.","PHED","01/22/2008",,,,,,,,"Expired",,,,,
"07-14","Ripley/South Silver Spring Overlay Zone - Development Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-14.pdf","16-12","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20071120_16-12.pdf","Jeff Zyontz","Ervin, Floreen, Leventhal, Trachtenberg",,"09/25/2007","10/30/2007","1:30 p.m.","PHED","11/05/2007",,,,,,,,"Adopted","11/20/2007",,"12/10/2007",,
"07-15","Signs - Permit Fees","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-15.pdf","16-13","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20080212_16-13.pdf","Jeff Zyontz","Floreen, Praisner, and Ervin",,"10/30/2007","12/04/2007","1:30 p.m.","PHED","01/22/2008",,,,,,,,"Adopted","02/12/2008",,"03/03/2008",,
"07-16","Rural Cluster-Outdoor Storage","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-16.pdf","16-17","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/20080415_16-17.pdf","Jeff Zyontz","Knapp",,"12/04/2007","01/15/2008","1:30 p.m.","PHED","03/17/2008",,,,,,,,"Adopted","04/15/2008",,"05/05/2008",,
"07-17","Growth Policy - Special Exceptions and Local Zoning Map Amendments","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/07-17.pdf","16-14","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20080212_16-14.pdf","Jeff Zyontz","Knapp",,"12/11/2007","01/29/2008","7:30 p.m.","PHED","02/19/2008",,,,,,,,"Adopted","02/26/2008",,"03/17/2008",,
"08-01","Green Area - Definition","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-01.pdf",,,"Jeff Zyontz","Elrich",,"01/15/2008","02/26/2008","1:30 p.m.","PHED","03/06/2008","03/17/2008","04/07/0008","06/26/0008",,,,,"Expired",,,,,
"08-02","Landscape Contractors - Commercial, Transitional (CT) Zone","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-02.pdf","16-22","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20080708_16-22.pdf","Jeff Zyontz","Knapp",,"02/26/2008","04/01/2008","1:30 pm","PHED","06/26/2008",,,,,,,,"Adopted","07/08/2008",,"07/28/2008",,
"08-03","Executive Branch Reorganization - Department of Transportation","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-03.pdf","16-15","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/20080415_16-15.pdf","Robert Drummer","Council President at the Request of the County Executive",,"03/04/2008","04/08/2008","1:30 p.m.","T&E","04/14/2008",,,,,,,,"Adopted","04/15/2008",,"07/01/2008",,
"08-04","Accessory Structures - Solar Panels","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-04.pdf","16-19","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20080617_16-19.pdf","Jeff Zyontz","Berliner",,"03/18/2008","04/22/2008","1:30 p.m.","PHED","05/02/2008",,,,,,,,"Adopted","06/17/2008",,"07/07/2008",,
"08-05","Transit-Oriented Mixed-Use Zones","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-05.pdf",,,"Jeff Zyontz","District Council at request of the Planning Board",,"04/08/2008","05/20/2008","7:30 p.m.",,,,,,,,,,"Expired",,,,,
"08-06","I-4 Zone Transit Station Development Areas","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-06.pdf","16-30","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20081118_16-30.pdf","Jeff Zyontz","Knapp at request of the Planning Board",,"04/15/2008","05/20/2008","7:30 p.m.","PHED","06/16/2008","06/30/2008","09/08/0008","09/22/0008",,,,,"Adopted as amended","11/18/2008",,"12/08/2008",,
"08-07","To remove the Alternative Review Committee from the development plan and project plan approval process.","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-07.pdf","16-28","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20081021_16-28.pdf","Jeff Zyontz","District Council at the Request of the County Executive",,"04/29/2008","06/17/2008","1:30 p.m.","PHED","10/06/2008",,,,,,,,"Adopted as amended","10/21/2008",,"11/10/2008",,
"08-08","To allow additional building height to accommodate workforce housing in the Fenton Village Overlay Zone","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-08.pdf","16-24","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20080729_16-24.pdf","Jeff Zyontz","District Council at the Request of the County Executive",,"04/29/2008","06/17/2008","1:30 p.m.","PHED","06/26/2008","07/28/2008",,,,,,,"Adopted as amended","07/29/2008",,"08/18/2008",,
