"company","fund","cost_center","grant","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","business_unit","ledger_account","spend_category_as_worktag","supplier_as_worktag","accounting_date","fiscal_year","ledger_budget_debit_minus"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Pure Orange Holdings Inc","2020-06-03T00:00:00.000","FY2020","384620.04"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Designerkorner Inc","2020-06-05T00:00:00.000","FY2020","59508.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Designerkorner Inc","2020-06-05T00:00:00.000","FY2020","35704.80"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Designerkorner Inc","2020-06-05T00:00:00.000","FY2020","201500.70"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Designerkorner Inc","2020-06-05T00:00:00.000","FY2020","27770.40"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Designerkorner Inc","2020-06-05T00:00:00.000","FY2020","43639.20"
"Human Services","136-00 Homeless Document Recording Fee Fund","Rapid Rehousing",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-03 Emergency Homeless Sheltering / Rental Assistance","56540P0 Homeless Services","504100:Other Professional Services","Contracted Professional Services [41.200000]","Share And Care House","2020-06-05T00:00:00.000","FY2020","37495.80"
"Human Services","136-00 Homeless Document Recording Fee Fund","Rapid Rehousing",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-03 Emergency Homeless Sheltering / Rental Assistance","56540P0 Homeless Services","504100:Other Professional Services","Contracted Professional Services [41.200000]","Share And Care House","2020-06-05T00:00:00.000","FY2020","5611.42"
"Facilities Management","503-00 Facilities Management Fund","Security/Lenel",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","Tattletale Portable Alarm Systems Inc","2020-06-01T00:00:00.000","FY2020","1313.86"
"Facilities Management","503-00 Facilities Management Fund","Security/Lenel",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","Tattletale Portable Alarm Systems Inc","2020-06-01T00:00:00.000","FY2020","45.00"
"Facilities Management","503-00 Facilities Management Fund","Security/Lenel",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","Tattletale Portable Alarm Systems Inc","2020-06-01T00:00:00.000","FY2020","1940.00"
"Facilities Management","503-00 Facilities Management Fund","Security/Lenel",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","Tattletale Portable Alarm Systems Inc","2020-06-01T00:00:00.000","FY2020","6228.00"
"Facilities Management","503-00 Facilities Management Fund","Security/Lenel",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","Tattletale Portable Alarm Systems Inc","2020-06-01T00:00:00.000","FY2020","4668.00"
"Facilities Management","503-00 Facilities Management Fund","Security/Lenel",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503500:Minor Equipment - Other","Freight on Minor Equipment - Taxable [35.000001]","Tattletale Portable Alarm Systems Inc","2020-06-01T00:00:00.000","FY2020","573.80"
"Facilities Management","503-00 Facilities Management Fund","Security/Lenel",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503500:Minor Equipment - Other","Freight on Minor Equipment - Taxable [35.000001]","Tattletale Portable Alarm Systems Inc","2020-06-01T00:00:00.000","FY2020","58.53"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-10T00:00:00.000","FY2020","280.99"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502030:Benefits - Fica",,,"2020-12-31T00:00:00.000","FY2020","4.18"
"Public Works","470-01 Solid Waste Mgmt Admin Fund [470.001]","PW Waste Reduction & Recycling",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"53700P0 Solid Waste Utilities","504510:Equipment Rental","Equipment Rental [45.000200]",,"2020-06-15T00:00:00.000","FY2020","7436.37"
"Public Works","150-00 County Road Fund","PW M&O Maintenance Activities",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","344000:Transportation","Other Interfund Services [49.023300]",,"2020-06-15T00:00:00.000","FY2020","-7436.37"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","Gasoline [31.000600]",,"2020-06-12T00:00:00.000","FY2020","23.02"
"Finance and Performance Management","001-00 Current Expense Fund","Budget Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Contact Tracing",,"56200P0 Public Health Services","504100:Other Professional Services","Other Professional Services [41.000900]","Tacoma Pierce County Health Department","2020-06-16T00:00:00.000","FY2020","749000.00"
"Finance and Performance Management","001-00 Current Expense Fund","Budget Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Contact Tracing",,"56200P0 Public Health Services","504100:Other Professional Services","Other Professional Services [41.000900]","Tacoma Pierce County Health Department","2020-06-16T00:00:00.000","FY2020","2567400.00"
"Finance and Performance Management","001-00 Current Expense Fund","Budget Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Contact Tracing",,"56200P0 Public Health Services","504100:Other Professional Services","Other Professional Services [41.000900]","Tacoma Pierce County Health Department","2020-06-16T00:00:00.000","FY2020","515040.00"
"Finance and Performance Management","001-00 Current Expense Fund","Budget Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Public Education Programs",,"56200P0 Public Health Services","504100:Other Professional Services","Other Professional Services [41.000900]","Tacoma Pierce County Health Department","2020-06-16T00:00:00.000","FY2020","435000.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-15T00:00:00.000","FY2020","111.33"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","506400:Capital Equipment","Capital Equipment [64.000000]",,"2020-06-15T00:00:00.000","FY2020","5000.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","506400:Capital Equipment","Capital Equipment [64.000000]",,"2020-06-15T00:00:00.000","FY2020","5000.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-15T00:00:00.000","FY2020","163.14"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Miscellaneous [49.004300]",,"2020-06-01T00:00:00.000","FY2020","500.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Veterans Relief Programs [49.069600]",,"2020-06-10T00:00:00.000","FY2020","1790.55"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Veterans Relief Programs [49.069600]",,"2020-06-10T00:00:00.000","FY2020","1790.55"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Miscellaneous [49.004300]",,"2020-06-11T00:00:00.000","FY2020","491.08"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","504220:Telephone Communication","Cellular/Wireless Telephones [42.001500]","Verizon Wireless","2020-06-01T00:00:00.000","FY2020","1721.82"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","506400:Capital Equipment","Capital Equipment [64.000000]","RV Country Inc","2020-06-08T00:00:00.000","FY2020","49994.35"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","506400:Capital Equipment","Capital Equipment [64.000000]","RV Country Inc","2020-06-08T00:00:00.000","FY2020","51853.16"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","21.46"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","9.99"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","2.33"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","55.17"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","125.45"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.24"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502010:Benefits - Workers Compensation",,,"2020-12-31T00:00:00.000","FY2020","7.78"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.36"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.95"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","41.41"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.80"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","16.13"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","1.73"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","57.41"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.18"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","7.40"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","125.45"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.30"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","2.96"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","52.57"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","188.35"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.93"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.46"
