"the_geom","objectid","propertyid","name","parktype","parkclass","address","postalcity","zipcode","owner","manager","parkhours","acresimproved","acresunimproved","parkweblink","altweblink","ispublicaccessible","maplabel","gisacres","restroom","adacomply","parking","paved_trail","unpaved_trail","trailhead","community_center","picnic","playground","dog_park","baseball","basketball","multipurpose","golf","beach","fishing","boat_launch","skate","tennis","bmx","climbing","equestrian","disc_golf","ice_rink","qtr_midget_track","parksize","description","visibleinapp","camping"
"POINT (-122.712964891352 47.166339346818)","11","63","Jane Cammon Park","Playfield","Special Use","13005 Camus RD AI","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District","7 am to 10:30 pm","0","40","http://www.andersonislandparks.org/Jane_Cammon_Park.html",,"1","Jane Cammon Park","40.63779604",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.238624295279 47.203049521368)","189","306","Ryan House","Community Center","Local","1228 Main Street","Sumner","98390","City of Sumner","Sumner Historical Society","Summer Hours Only Sat/Sunday 1-4pm","0.418","0","http://www.ci.sumner.wa.us/Living/Ryan_House.htm",,"1","Ryan House","0.41874035",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.653766372558 47.330846763885)","185","300","Rosedale Park","Rec Center","Special Use","86th Avenue NW","Gig Harbor","98332","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","7 am to dusk","2","0","http://www.penmetparks.org/26501/27785.html",,"1","Rosedale Park","2.19376457",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.460594885536 47.275175283006)","120","212","Jack Hyde Park on Commencement Bay","Park","Local","1743 N Schuster Pkwy","Tacoma","98402","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","11.56","0","http://www.metroparkstacoma.org/jack-hyde-park",,"1","Jack Hyde Park on Commencement Bay","11.01022331",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.164165391109 47.240915711094)","334","126","North Lake Tapps Park","Park","County","2022 198th Ave E","Bonney Lake","98391","Pierce County","Pierce County Parks and Recreation Services","7:30 am - 8 pm from April through September","2","60","https://www.co.pierce.wa.us/1326/Lake-Tapps-Park",,"1","North Lake Tapps Park","134.56677284","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","135.2","This popular swimming and boat launch area is located on the north side of Lake Tapps. The 135-acre site is mostly wooded and undeveloped with the exception of parking areas, boat launch, and swimming beach along the waterfront.","Yes",
"POINT (-122.45108662072 47.246219769718)","132","225","People's Neighborhood Resource Center","Rec Center","Local","1602 Martin Luther King Jr Way","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Hours vary - see www.metroparkstacoma.org","0.6342","0","http://www.metroparkstacoma.org/page.php?id=48",,"1","People's Neighborhood Resource Center","1.6464625",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.443566981059 47.253782674807)","298","2680","McCormick Park","Park","Local","945 Fawcett Av","Tacoma","98402","City of Tacoma","City of Tacoma",,"0","0",,,"1","McCormick Park","0.43722606",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.529832306014 47.308313561832)","135","229","Point Defiance","Park","Regional","5400 N Pearl St","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","647.858","0","http://www.metroparkstacoma.org/point-defiance-park",,"1","Point Defiance","732.91572357","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","760","This 760-acre park is a popular destination for more than 3.1 million people each year. Natural forest, saltwater beaches and spectacular views offer numerous possibilities for recreation, education and communing with nature.","no","No"
"POINT (-122.671430428283 47.101674646739)","326","3116","Parkview Neighborhood Park","Park","Local","Ridge View Place","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","0.33","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Parkview Neighborhood Park","0.33270477",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.593065451271 47.329070641311)","255","1846","Wilkinson Farm Park","Park Under Construction","Resource Conservancy","4118 Rosedale St","Gig Harbor","98335","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","16","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Wilkinson Farm Park","17.22620357",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.053818213842 47.08322913338)","337","184","Foothills Trail- Carbonado","Trail","Linear Park","SR165 E","Carbonado","98323","Town of Carbonado","Town of Carbonado","Dawn to Dusk","19.74","0","http://www.co.pierce.wa.us/2343/Wilkeson-to-Carbonado",,"1","Foothills Trail- Carbonado","20.37184759","No","No",,"No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","0",,"No",
"POINT (-122.373391527444 47.281815354864)","165","273","Northeast Tacoma Playground","Park","Local","5520 29th St NE","Tacoma","98422","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","3.8545","0","http://www.metroparkstacoma.org/northeast-tacoma-playground",,"1","Northeast Tacoma Playground","3.85541484",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.501469432349 47.196796424291)","151","256","Manitou Community and Art Center","Community Center","Local","4806 South 66th Street","Tacoma","98409","City of Tacoma","Metro Parks Tacoma","Hours vary see website","2.3998","0","http://www.metroparkstacoma.org/page.php?id=803","http://www.metroparkstacoma.org/page.php?id=671","1","Manitou Community and Art Center","2.39595904",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.419392472074 47.217788277384)","139","235","McKinley Playfield","Playfield","Local","4329 McKinley Ave","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","5.198","0","http://www.metroparkstacoma.org/mckinley-playfield",,"1","McKinley Playfield","5.18122936",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.28339654513 46.796056008974)","5","57","Alder Lake Park","Park","Regional","50324 School Rd","Eatonville","98328","City of Tacoma","Tacoma Power","Dawn to Dusk","161","537","http://www.mytpu.org/tacomapower/parks-rec/alder-lake-park/Default.htm",,"1","Alder Lake Park","771.42612432","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","0","Tacoma Power's Alder Lake Park offers expansive campgrounds and access to Alder Lake (formed by Alder Dam) in Pierce County, Washington.","no","Yes"
"POINT (-122.508795237785 47.171164469817)","42","100","Seeley Lake Park","Wildlife Habitat","Resource Conservancy","9112 Lakewood Drive SW","Lakewood","98499","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","0","46","http://www.co.pierce.wa.us/index.aspx?NID=1333",,"1","Seeley Lake Park","46.39982109","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","45.98","Seeley Lake Park is a small park nestled between a busy street, retail stores, and an apartment complex. This 48-acre park includes a 1-mile soft-surface walking trail surrounding wetlands.","Yes",
"POINT (-122.452398509486 47.23754386922)","197","316","Sheridan Park","Park","Local","2347 S Sheridan Ave","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk (unless otherwise posted)","0.4906","0","http://www.metroparkstacoma.org/sheridan-park",,"1","Sheridan Park","0.56743487",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.569293742756 47.388952823227)","26","79","Crescent Lake Park","Park","TBD","14404 Talmo Dr NW","Gig Harbor","98332","Pierce County","Pierce County Public Works Surface Water Management","Dawn to Dusk","0","0.9","http://www.co.pierce.wa.us/pc/services/recreate/fac-list.htm#C",,"1","Crescent Lake Park","0.86035194",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.512450599301 47.232715204346)","97","180","Fircrest Tot Lot","Park","Local","120 Ramsdell St","Fircrest","98466","City of Fircrest","City of Fircrest","Dawn to Dusk","0","1.07",,,"1","Fircrest Tot Lot","1.05400972",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.2944326056 47.189274398731)","134","228","Pioneer Park","Park","Local","324 South Meridian","Puyallup","98371","City of Puyallup","City of Puyallup","May 1-Sep 30 - 6 am - 10 pmOct 1-Apr 30 - 6 am - 8 pm","2","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/pioneer-park/",,"1","Pioneer Park","3.17387323",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.42479351343 47.204768625459)","208","329","Stewart Heights Park","Rec Area","Local","402 E 56th St, E 60th St At E B St","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","22.89","0","http://www.metroparkstacoma.org/stewart-heights-park",,"1","Stewart Heights Park","24.08287043",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.591516929454 47.22866354348)","49","108","Fox Island Fishing Pier","Pier","Special Use","1453 Ozette Drive","Fox Island","98333","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","7 am to dusk","5.5","0","https://penmetparks.org/parks/fox-island-fishing-pier/",,"1","Fox Island Fishing Pier","9.67584825","yes",,"yes","yes",,,,"yes",,,,,,,"yes","yes",,,,,,,,,,"5.5",,"No",
"POINT (-122.411657371321 47.133648771309)","65","125","Mayfair Playfield","Park","Local","13510 13th AVCT E","Parkland","98445","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","4.87","4","https://www.co.pierce.wa.us/4889/Mayfair-Playfield",,"1","Mayfair Playfield","4.90172981","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","4.58","This neighborhood playfield serves the Parkland community and is located along Clover Creek. The park includes a playground and open lawn.","Yes",
"POINT (-122.599156170131 47.173749055748)","321","1898","Pioneer Park","Park","Local","Commercial and Wilkes","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","1","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#pioneer",,"1","Pioneer Park","1.05391331",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.612957397401 47.168474372799)","190","307","Saltar's Point Beach","Beach","Local","91 Champion St","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","1.1","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#saltars_point",,"1","Saltar's Point Beach","0.92458952",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.677528992686 47.095763278118)","267","1860","Chief Leschi Park","Park","Local","1755 Brown Av","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","4.68","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Chief Leschi Park","4.68260073",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.616974825868 47.351101608677)","177","289","McCormick Forest Park","Park","Local","10301 Bujacich Rd NW","Gig Harbor","98332","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","7 am to dusk",,"109.74","https://penmetparks.org/parks/mccormick-forest-park/",,"1","McCormick Forest Park","109.74","yes",,,,"yes",,,"yes",,,,,,,,,,,,,,,,,,"109",,"No",
"POINT (-122.440136381172 47.12358250602)","2","43","Sprinker Recreation Center","Rec Center","Regional","14824 S C ST","Tacoma","98444","Pierce County","Pierce County Parks and Recreation Services","See website","45","0","https://www.co.pierce.wa.us/1310/Sprinker-Recreation-Center",,"1","Sprinker Recreation Center","45.24461158","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","Yes","No","43.76","Sprinker Recreation Center is part of Spanaway Regional Park, and includes many indoor and outdoor recreation facilities, including ice rink, raquet-sports and basketball courts, ballfields, and skatepark with many community activities.","Yes",
"POINT (-122.490962275136 47.231532415041)","169","278","Oakland - Madrona Park","Park","Local","3114 S Madison St.","Tacoma","98409","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2.82","0","http://www.metroparkstacoma.org/oakland-madrona-park",,"1","Oakland - Madrona Park","2.83337656",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.193129386146 47.093552905819)","297","2679","Rainier Meadows Park","Park","Local","Brown Wy SE","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","0","0",,,"1","Rainier Meadows Park","4.21282266",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.449092242332 47.260207819571)","239","371","Wright Park","Park","Local","6th Ave At S Yakima Ave","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","27","0","http://www.metroparkstacoma.org/wright-park",,"1","Wright Park","29.30808637",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.386095791004 47.286997023179)","6","58","Alderwood Park","Park","Local","208 Browns Point Blvd","Tacoma","98422","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","7","0","http://www.metroparkstacoma.org/alderwood-park",,"1","Alderwood Park","6.58836554",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.370460773504 47.100942236953)","84","163","Cross Park","Park","County","4418 Military Road East","Tacoma","98446","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","4","60","https://www.co.pierce.wa.us/6967/Cross-Park",,"1","Cross Park","61.57230146","Yes","Yes","Yes","Yes",,,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","64.03",,"Yes","No"
"POINT (-122.51769408578 47.205433005096)","144","247","Leach Creek Park","Park","Resource Conservancy","Alameda Ave W At Cirque Dr W","University Place","98467","City of University Place","City of University Place","Currently undeveloped","0","17.15","http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf",,"1","Leach Creek Park","19.5307323",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.730313746971 47.146353144694)","200","321","Andy's Marine Park","Wildlife Habitat","Local","12414 Claussen Rd AI","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District","7 am to 10:30 pm","0","11.7","http://www.andersonislandparks.org/Andy_s_Marine_Park.html",,"1","Andy's Marine Park","88.4329159",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.469313892106 47.226941641204)","145","248","Lincoln Heights","Park","Local","3690 South Steele Street","Tacoma","98409","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","3","0","http://www.metroparkstacoma.org/lincoln-heights-park",,"1","Lincoln Heights","3.00893784",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.560709769897 47.141522619819)","9","61","American Lake North Park","Park","Local","9222 Veterans Dr SW","Lakewood","98498","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","5","0","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","American Lake North Park","5.18756516",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.536884627697 47.146144242359)","142","244","Lakewold Gardens","Park","Private","12317 Gravelly Lake Dr SW","Lakewood","98499","Friends of Lakewold","Friends of Lakewold","See website","6.5098","0","http://www.lakewoldgardens.org/general_information.html",,"1","Lakewold Gardens","9.66314635",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.63425929835 47.380616869017)","110","198","Purdy Sand Spit","Beach","Unclassified","Goodrich Dr NW and SR 302","Purdy","98329","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","0","7.5","https://www.co.pierce.wa.us/3947/Purdy-Sand-Spit",,"1","Purdy Sand Spit","67.39233489","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","63.97","The Purdy Sand Spit is an unimproved waterfront public area that runs right along SR 302. Its 7.5 acres includes a boat launch. A great place to see waterfowl such as sea gulls and blue heron.","Yes",
"POINT (-122.533706181707 47.211283226677)","36","93","Cirque/ Bridgeport Park","Park","Local","7250 Cirque Dr W","University Place","98467","City of University Place","City of University Place","Dawn to Dusk (unless otherwise posted)","26.87","0","http://cityofup.com/Media/file/ParksAndRec/WHERE%20ARE%20OUR%20PARKS%202011.pdf",,"1","Cirque/ Bridgeport Park","26.8768516",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.322715252233 47.255120951933)","115","206","Interurban Trail - Milton","Trail","Linear Park","12TH ST E","Tacoma","98424","City of Milton","City of Milton","Dawn to Dusk (unless otherwise posted)","0","12.16","http://cityofmilton.net/page.php?id=96",,"1","Interurban Trail - Milton","17.35956949",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.32245534751 47.186848359774)","72","140","DeCoursey Park","Park","Local","1800 7th Ave Sw","Puyallup","98371","City of Puyallup","City of Puyallup","8 am to Dusk","8.12","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/decoursey-park/",,"1","DeCoursey Park","7.24037302",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.509119177962 47.269954233524)","125","217","Kandle Playfield and Park","Park","Local","2323 N Shirley St","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","10.6","0","http://www.metroparkstacoma.org/kandlepark",,"1","Kandle Playfield and Park","10.57087835",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.245153377677 47.184105668227)","339","2774","Foothills Trail- East Puyallup Trailhead","Trail Head","Linear","13810 80th Street","Puyallup","98372","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk (Unless otherwise posted)","0","0","https://www.piercecountywa.org/1393/Trailheads",,"1","Foothills Trail- East Puyallup Trailhead","2.09037552","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","0","The East Puyallup Trailhead features a restroom facility, kiosk, bicycle rack, equestrian hitching post and 23 parking spaces.","Yes",
"POINT (-122.464283274549 47.247463186041)","130","223","Peck Field","Playfield","Local","2102 S 14th St","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","9.4","0","http://www.metroparkstacoma.org/peck-field",,"1","Peck Field","9.18795377",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.627042692725 47.094303333064)","268","1864","Iafrati Park","Park","Local","Barksdale Av","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","0.61","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Iafrati Park","0.61043492",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.561191490071 47.221196561945)","63","123","Curran Apple Orchard","Park","Local","4009 Curran Lane West","University Place","98466","City of University Place","City of University Place","Dawn to Dusk (unless otherwise posted)","7.33","0","http://cityofup.com/Media/file/ParksAndRec/WHERE%20ARE%20OUR%20PARKS%202011.pdf",,"1","Curran Apple Orchard","7.02080221",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.629969448488 47.100935228116)","329","3112","Bell Hill Community Park","Park","Local","Bell Hill Pl","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","3.34","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Bell Hill Community Park","3.34589393",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.702140134549 47.141797280587)","310","2782","Jacobs Point Park","Park","Local","Eckenstam Johnson Rd","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District",,"0","0",,,"1","Jacobs Point Park","86.13242665",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.565240621118 47.18831637136)","168","277","Oakbrook Park","Park","Local","9701 Onyx DR SW","Lakewood","98498","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","1.548","0","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","Oakbrook Park","1.54815726",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.220737904816 47.198338501413)","254","1845","Rainier View Park","Park","Local","15603 Meade McCumber Road","Sumner","98390","City of Sumner","City of Sumner","Per City Rules","3.85","0","http://www.ci.sumner.wa.us/Living/Rainier_View.htm",,"1","Rainier View Park","3.84584555",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.749648755764 47.299315636307)","244","380","Maple Hollow","Park","Resource Conservancy","4411 Van Beek RD NW","Lakebay","98349","KEY PEN PARKS","Key Pen Parks","Daylight hours only","0","58.5","http://www.keypenparks.com/maple-hollow-park.htm",,"1","Maple Hollow Park","58.34729876","Yes",,"Yes",,"Yes","Yes",,"Yes",,,,,,,"Yes",,,,,,,,,,,"58.5",,"no",
"POINT (-122.471529692443 47.271523045473)","220","348","Ursich Park","Park","Resource Conservancy","2300 N 29th St","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0","6.3668","http://www.metroparkstacoma.org/ursich-park",,"1","Ursich Park","6.381512",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.632862797498 47.098218207666)","262","1855","Ethel Lumsdon Park","Park","Local","Penniman St & Louviers Av","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","0.6","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Ethel Lumsdon Park","0.60552227",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
