"the_geom","objectid","name","address","city","zip","district","dist_no","type","phone","website","prs_id","grade","x_coord","y_coord"
"POINT (-122.504795124214 47.17465796444)","106","Four Heroes Elementary School","9101 LAKEWOOD DR SW","LAKEWOOD","98499","CLOVER PARK","400","ELEM","(253) 583-5340","https://fourheroes.cloverpark.k12.wa.us/",,"6-8","1141868.4293","677822.3946"
"POINT (-122.647992193605 47.101225011499)","213","Pioneer Middle School","1750 BOBS HOLLOW LANE","DUPONT","98327","STEILACOOM","001","MID","(253) 583-7200","https://www.steilacoom.k12.wa.us/Domain/9",,"6-8","1105537.7209","651986.70100001"
"POINT (-122.498282236086 47.174929627096)","50","Clover Park Technical College - Main Campus","4500 STEILACOOM BLVD SW","LAKEWOOD","98499","NOT APPLICABLE",,"TECHNICAL","(253) 598-5800","http://www.cptc.edu/contact",,"Higher Education","1143490.2035","677880.3485"
"POINT (-122.501823722199 47.249393089531)","65","DeLong Elementary School","4901 S 14TH ST","TACOMA","98405","TACOMA","010","ELEM","(253) 571-5800","https://delong.tacomaschools.org/",,"K-5","1143298.9197","705053.5367"
"POINT (-122.611320315955 47.319227198655)","127","Harbor Montessori School","5414 COMTE DR NW","GIG HARBOR","98335","NOT APPLICABLE",,"PRIVATE","(253) 851-5722","http://www.harbormontessori.org",,"K-9","1116795.4209","731225.1789"
"POINT (-122.430512007626 47.092442909372)","40","Challenger High School","18020 B ST E","SPANAWAY","98387","BETHEL","403","HIGH","(253) 800-6800","https://www.bethelsd.org/chs",,"9-12","1159603.4025","647384.4963"
"POINT (-122.370411178317 47.281772138972)","93","Faith Baptist Christian Academy","5714 29TH ST NE","TACOMA","98422","NOT APPLICABLE",,"PRIVATE","(253) 927-7673","http://www.foundedonfaith.com/education-fbca.php",,"K-12","1176206.611","716059.2573"
"POINT (-122.404588129338 47.208379370203)","100","First Creek Middle School","1801 E 56TH ST","TACOMA","98404","TACOMA","010","MID","(253) 571-2700","https://fc.tacomaschools.org/",,"6-8","1167079.6795","689500.6292"
"POINT (-122.510759572419 47.254542407221)","58","Covenant High School","620 S SHIRLEY ST","TACOMA","98465","NOT APPLICABLE",,"HIGH","(253) 759-9570","http://chstacoma.org/",,"9-12","1141128.212","706987.546"
"POINT (-122.467973859081 47.241814188893)","10","Bates Technical College - Central Campus","2320 S 19TH ST","TACOMA","98405","NOT APPLICABLE",,"TECHNICAL","(253) 680-7603","https://batestech.edu/",,"Higher Education","1151634.21600001","702078.521"
"POINT (-122.413172288083 47.106186128387)","242","Spanaway Lake High School","1305 168TH ST E","SPANAWAY","98387","BETHEL","403","HIGH","(253) 800-5600","https://www.bethelsd.org/slhs",,"9-12","1164042.7482","652290.26459999"
"POINT (-122.557422669434 47.207815155023)","41","Chambers Primary School","9101 56TH ST W","UNIVERSITY PLACE","98467","UNIVERSITY PLACE","083","PRIM","(253) 566-5650","https://cp.upsd83.org/",,"K-4","1129099.46520001","690248.855"
"POINT (-122.151590223832 47.144663404472)","163","Liberty Ridge Elementary School","12202 209TH AVE CT E","BONNEY LAKE","98391","SUMNER","320","ELEM","(253) 891-4800","https://www.sumnersd.org/lre",,"K-6","1229459.41869999","664849.0223"
"POINT (-122.539987534178 47.183443271467)","137","Hudtloff Middle School","8102 PHILLIPS RD SW","LAKEWOOD","98498","CLOVER PARK","400","MID","(253) 583-5400","https://hudtloff.cloverpark.k12.wa.us/",,"6-8","1133201.6525","681250.0025"
"POINT (-122.286756282903 47.058348442594)","121","Graham-Kapowsin High School","22100 108TH AVE E","GRAHAM","98338","BETHEL","403","HIGH","(253) 800-6100","https://www.bethelsd.org/gkhs",,"9-12","1195119.17020001","634109.0733"
"POINT (-122.438384293357 47.147249877933)","274","Trinity Lutheran School","12115 PARK AVE S","TACOMA","98444","NOT APPLICABLE",,"PRIVATE","(253) 537-0201","http://trinitylutheranparkland.org/",,"K-6","1158134.3142","667416.0407"
"POINT (-122.479179707759 47.248704133663)","107","Franklin Elementary School","1402 S LAWRENCE ST","TACOMA","98405","TACOMA","010","ELEM","(253) 571-1400","https://franklin.tacomaschools.org/",,"K-5","1148914.67110001","704660.41850001"
"POINT (-122.114495556238 47.160792941305)","103","Foothills Elementary School","10621 234TH AVE E","BUCKLEY","98321","WHITE RIVER","416","ELEM","(360) 829-3355","http://foothills.whiteriver.wednet.edu/",,"K-6","1238808.609","670539.611"
"POINT (-122.603472231326 47.331362060344)","68","Discovery Elementary School","4905 ROSEDALE ST NW","GIG HARBOR","98335","PENINSULA","401","ELEM","(253) 530-1200","https://des.psd401.net/",,"K-6","1118859.35879999","735597.8316"
"POINT (-122.279386796498 47.250888350673)","1","Alice V. Hedden Elementary School","11313 8TH ST E","EDGEWOOD","98372","FIFE","417","ELEM","(253) 517-1500","https://hedden.fifeschools.com/",,"K-6","1198539.56739999","704274.7564"
"POINT (-122.429981050927 47.202109390771)","95","Fawcett Elementary","3702 McKinley Ave","TACOMA","98404","TACOMA","010","ELEM","(253) 571-4700","https://fawcett.tacomaschools.org/",,"K-5","1160714.2145","687367.82189999"
"POINT (-122.424639739015 47.135444102045)","83","Elmhurst Elementary School","420 133RD ST E","TACOMA","98445","FRANKLIN PIERCE","402","ELEM","(253) 298-3500","http://elmhurst.fpschools.org/",,"K-6","1161448.3097","663027.6829"
"POINT (-122.572309985938 47.155440193289)","160","Lakewood Lutheran School","10202 112TH ST SW","LAKEWOOD","98498","NOT APPLICABLE",,"PRIVATE","(253) 584-4615","https://lakewoodlutheran.net/",,"K-6","1124898.6428","671249.41249999"
"POINT (-122.541731313 47.21901197816)","189","Narrows View Intermediate School","7813 44TH ST W","UNIVERSITY PLACE","98466","UNIVERSITY PLACE","083","INTER","(253) 566-5630","https://nvi.upsd83.org/",,"5-7","1133103.9567","694230.0566"
"POINT (-122.446600132128 47.163763209059)","46","Christensen Elementary School","10232 BARNES LN S","TACOMA","98444","FRANKLIN PIERCE","402","ELEM","(253) 298-3300","http://christensen.fpschools.org/",,"K-6","1156239.19949999","673487.4532"
"POINT (-122.759252778841 47.30640702678)","151","Key Peninsula Middle School","5510 KEY PENINSULA HWY NW","LAKEBAY","98349","PENINSULA","401","MID","(253) 530-4200","https://kpm.psd401.net/",,"6-8","1079982.98729999","727567.3627"
"POINT (-122.564030913174 47.215021896243)","260","Sunset Primary School","4523 97TH AVE W","UNIVERSITY PLACE","98466","UNIVERSITY PLACE","083","PRIM","(253) 566-5640","https://sp.upsd83.org/",,"K-2","1127526.31370001","692919.42820001"
"POINT (-122.630001069948 47.28560482653)","116","Gig Harbor Academy","6820 32ND ST NW","GIG HARBOR","98335","NOT APPLICABLE",,"PRIVATE","(253) 265-2150","http://www.gigharboracademy.org",,"K-6","1111832.461","719090.4558"
"POINT (-122.461263439435 47.225669982336)","145","Jennie Reed Elementary","1802 S 36TH ST","TACOMA","98418","TACOMA","010","ELEM","(253) 571-6400","https://reed.tacomaschools.org/",,"K-5","1153154.1275","696150.38789999"
"POINT (-122.441314524151 47.137939005871)","26","Brookdale Elementary School  (Opening Jan 2022)","611 132ND ST S","TACOMA","98444","FRANKLIN PIERCE","402","ELEM","(253) 298-3100","https://brookdale.fpschools.org/",,"K-6","1157321.82889999","664039.06119999"
"POINT (-122.312167000737 47.155824352762)","220","Puyallup Digital Learning","1501 39TH AVE SW","PUYALLUP","988373","PUYALLUP","003","OTHER","(253) 841-8630","https://pdl.puyallup.k12.wa.us/cms/One.aspx",,,"1189604.1059","669795.9595"
"POINT (-122.54085104142 47.18098158485)","63","Custer Elementary School","7801 STEILACOOM BLVD SW","LAKEWOOD","98498","CLOVER PARK","400","ELEM","(253) 583-5230","https://custer.cloverpark.k12.wa.us/",,"K-6","1132963.7726","680357.99779999"
"POINT (-122.380009556628 47.102963458297)","48","Clover Creek Elementary School","16715 36TH AVE E","TACOMA","98446","BETHEL","403","ELEM","(253) 800-7800","https://www.bethelsd.org/cces",,"PRE-6","1172270.5748","650916.66509999"
"POINT (-122.399827217052 47.228008481698)","227","Roosevelt Elementary School","3550 E ROOSEVELT AVE","TACOMA","98404","TACOMA","010","ELEM","(253) 571-4400","https://roosevelt.tacomaschools.org/",,"K-5","1168435.0809","696629.50300001"
"POINT (-122.521904260914 47.128217399927)","32","Carter Lake Elementary School","3420 LINCOLN BLVD SW","JBLM MCCHORD FIELD","98433","CLOVER PARK","400","ELEM","(253) 583-5210","https://carterlake.cloverpark.k12.wa.us/",,"K-6","1137180.551","660998.3223"
"POINT (-122.460462160789 47.254883613895)","29","Bryant Montessori PK-8","717 S GRANT AVE","TACOMA","98405","TACOMA","010","ELEM","(253) 571-2800","https://bryant.tacomaschools.org/",,"PK-8","1153617.9689","706797.56"
"POINT (-122.398227837417 47.056552292715)","81","Elk Plain School of Choice K-8","22015 22ND AVE E","SPANAWAY","98387","BETHEL","403","OTHER","(253) 800-7900","https://www.bethelsd.org/epsoc",,"PRE-8","1167327.54090001","634103.1125"
"POINT (-122.073405074021 47.145384732149)","291","White River High School","26928 120TH ST E","BUCKLEY","98321","WHITE RIVER","416","HIGH","(360) 829-3352","http://wrhs.whiteriver.wednet.edu/",,"9-12","1248916.45640001","664714.3457"
"POINT (-122.440542106522 47.196058065759)","140","iDEA - School of Industrial Design, Engineering and Art","6701 S PARK AVE","TACOMA","98408","TACOMA","010","HIGH","(253) 571-2555","https://idea.tacomaschools.org/",,"9-12","1158035.4665","685225.76100001"
"POINT (-122.403686749486 47.138654840564)","52","Collins Elementary School","1920 128TH ST E","TACOMA","98445","FRANKLIN PIERCE","402","ELEM","(253) 298-3400","https://collins.fpschools.org/",,,"1166689.9403","664071.845"
"POINT (-122.593503254878 47.292993490954)","126","Harbor Heights Elementary School","4002 36TH ST NW","GIG HARBOR","98335","PENINSULA","401","ELEM","(253) 530-1800","https://hhe.psd401.net/",,"K-6","1120959.18790001","721542.0157"
"POINT (-122.285598633246 47.054804603964)","190","Nelson Elementary","22109 108TH AVE E","GRAHAM","98338","BETHEL","403","ELEM","(253) 800-6400","https://www.bethelsd.org/nes",,"PRE-6","1195378.3748","632810.37000001"
"POINT (-122.431125460904 47.145585044627)","132","Hewins Early Learning Center","12223 A ST S","TACOMA","98444","FRANKLIN PIERCE","402","OTHER","(253) 298-4675","http://elc.fpschools.org/",,"PRE","1159925.13160001","666764.70999999"
"POINT (-122.459876568594 47.18051543926)","218","Puget Sound Christian School","1740 S 84TH ST","TACOMA","98444","NOT APPLICABLE",,"PRIVATE","(253) 537-6870","http://www.pschristianschool.com",,"PRE","1153089.4347","679677.41590001"
"POINT (-122.59144283214 47.292577248033)","120","Goodman Middle School","3701 38TH AVE NW","GIG HARBOR","98335","PENINSULA","401","MID","(253) 530-1600","https://gms.psd401.net/",,"6-8","1121466.2921","721376.68250001"
"POINT (-122.554703406514 47.222351594255)","61","Curtis Junior High School","3725 GRANDVIEW DR W","UNIVERSITY PLACE","98466","UNIVERSITY PLACE","083","JRHIGH","(253) 566-5670","https://cjh.upsd83.org/",,"7-9","1129913.21070001","695531.42739999"
"POINT (-122.313040742026 47.090107938793)","31","Carson Elementary School","8615 184TH ST E","PUYALLUP","98375","PUYALLUP","003","ELEM","(253) 840-8808","https://car.puyallup.k12.wa.us/",,"K-6","1188835.8994","645838.8133"
"POINT (-122.580576565188 47.311273566093)","55","Community Transition Program and PIA","5800 SOUNDVIEW DR - BLDG E","GIG HARBOR","98335","PENINSULA","401","OTHER","(253) 530-3850","https://psd401.net/community-transition-program/",,"Higher Education","1124341.7756","728122.4814"
"POINT (-122.58875974817 47.317552921233)","125","Harbor Christian Schools","6509 38TH AVE NW","GIG HARBOR","98335","NOT APPLICABLE",,"PRIVATE","(253) 857-6242","http://www.harborchristianschools.org/",,"K-12","1122373.1041","730465.7291"
"POINT (-122.495266629947 47.260846500646)","144","Jefferson Elementary School","4302 N 13TH ST","TACOMA","98406","TACOMA","010","ELEM","(253) 571-4000","https://jefferson.tacomaschools.org/",,"K-5","1145032.57449999","709188.49519999"
"POINT (-122.433567500525 47.23584809768)","110","Freedom River Out Reach","106 S 28TH ST","TACOMA","98402","NOT APPLICABLE",,"COLLEGE","(253)  442-2040","https://freedomriver.net/contact",,"Higher Education","1160124.6015","699691.752"
"POINT (-122.26282529416 47.155468101422)","259","Sunrise Elementary School","2323 39TH AVE SE","PUYALLUP","98374","PUYALLUP","003","ELEM","(253) 841-8744","https://sun.puyallup.k12.wa.us/",,"K-6","1201873.8601","669387.8874"
"POINT (-122.517432813233 47.241210634248)","284","Wainwright Intermediate School","130 ALAMEDA AVE","FIRCREST","98466","TACOMA","010","MID","(253) 571-2100","https://wainwright.tacomaschools.org/",,"6-8","1139347.19239999","702168.7886"
"POINT (-122.43677884392 47.243270169017)","267","Tacoma School of the Arts - Pacific Ave","1950 PACIFIC AVE","TACOMA","98402","TACOMA","010","HIGH","(253) 571-7900","https://sota.tacomaschools.org/",,"9-12","1159393.5397","702417.6402"
"POINT (-122.177735457413 47.183986686516)","22","Bonney Lake Elementary School","18715 80TH ST E","BONNEY LAKE","98391","SUMNER","320","ELEM","(253) 891-4450","https://www.sumnersd.org/ble",,"K-6","1223259.84450001","679325.4965"
"POINT (-122.521312080515 47.246499361885)","264","Tacoma Community College - Tacoma Campus","6501 S 19TH ST","TACOMA","98466","NOT APPLICABLE",,"COLLEGE","(253) 566-5000","https://www.tacomacc.edu/about/",,"Higher Education","1138433.3381","704121.84110001"
"POINT (-122.284632092077 47.098524385805)","51","Clover Park Technical College - South Hill Campus","17214 110TH AVE E","PUYALLUP","98374","NOT APPLICABLE",,"TECHNICAL","(253) 583-8904","http://www.cptc.edu/contact",,"Higher Education","1195979.9769","648746.324"
"POINT (-122.517956455969 47.157939985911)","49","Clover Park High School","11023 GRAVELLY LAKE DR SW","LAKEWOOD","98499","CLOVER PARK","400","HIGH","(253) 583-5500","https://cphs.cloverpark.k12.wa.us/",,"9-12","1138440.2277","671810.2809"
"POINT (-122.355535837491 47.235046106002)","135","Holy Rosary Bilingual Academy","2323 54TH AVE E","FIFE","98424","NOT APPLICABLE",,"PRIVATE","(253) 272-7012","http://hrrsjda.org/wordpress/",,"K-6","1179496.8888","698933.75399999"
"POINT (-122.45492109202 47.256409128264)","92","Evergreen State College","1210 6TH AVE","TACOMA","98405","NOT APPLICABLE",,"COLLEGE","(253) 680-3000","https://www.evergreen.edu/tacoma",,"Higher Education","1155007.36839999","707319.661"
"POINT (-122.506646900024 47.174609420196)","129","Harrison Preparatory School","9103 LAKEWOOD DR SW","LAKEWOOD","98499","CLOVER PARK","400","HIGH","(253) 583-5418","https://harrisonprep.cloverpark.k12.wa.us/",,"9-12","1141407.5825","677816.40440001"
"POINT (-122.373986113348 47.281828872661)","193","Northeast Tacoma Elementary School","5412 29TH ST NE","TACOMA","98422","TACOMA","010","ELEM","(253) 571-6933","https://nt.tacomaschools.org/",,"K-5","1175320.0202","716101.0044"
"POINT (-122.262698867361 46.868617602908)","76","Eatonville Middle School","207 CARTER ST E","EATONVILLE","98328","EATONVILLE","404","MID","(360) 879-1400","https://www.eatonville.wednet.edu/ems",,"6-8","1199567.5478","564795.1647"
"POINT (-122.393178292465 47.189911518878)","90","Evergreen Lutheran High School","7306 WALLER RD E","TACOMA","98443","NOT APPLICABLE",,"PRIVATE","(253) 946-4488","https://www.elhs.org/",,"9-12","1169753.1012","682698.4223"
"POINT (-122.377322290474 47.0585759332)","19","Bethel Middle School","22001 38TH AVE E","SPANAWAY","98387","BETHEL","403","MID","(253) 800-7200","https://www.bethelsd.org/bms",,"7-9","1172554.3374","634716.264"
"POINT (-122.222402995617 47.168874355279)","35","Cascade Christian School - McAlder Campus","15502 96TH ST E","PUYALLUP","98372","NOT APPLICABLE",,"PRIVATE","(253) 256-4382","https://www.cascadechristian.org/schools/mcalder_campus.cfm",,"K-6","1212034.9727","674054.2291"
"POINT (-122.324383777741 47.175851574712)","112","Fruitland Elementary School","1515 S FRUITLAND","PUYALLUP","98371","PUYALLUP","003","ELEM","(253) 841-8734","https://fru.puyallup.k12.wa.us/",,"K-6","1186734.41580001","677168.6177"
"POINT (-122.20032008005 47.21959995896)","60","Crestwood Elementary School","3914 WEST TAPPS DR E","BONNEY LAKE","98391","SUMNER","320","ELEM","(253) 891-4550","https://www.sumnersd.org/cwe",,"K-6","1217925.19220001","692432.1654"
"POINT (-122.109610029867 46.754935469614)","53","Columbia Crest A-STEM Academy","24503 SR 706 E","ASHFORD","98304","EATONVILLE","404","ELEM","(360) 569-2567","https://www.eatonville.wednet.edu/cca",,"K-6","1237003.3554","522526.274"
"POINT (-122.544262976455 47.200858812308)","42","Charles Wright Academy","7723 CHAMBERS CREEK RD W","TACOMA","98467","NOT APPLICABLE",,"PRIVATE","(253) 620-8300","https://www.charleswright.org/",,"K-12","1132303.46870001","687627.4421"
"POINT (-122.46391324869 47.267957285597)","248","St Patrick Catholic School","1112 N G ST","TACOMA","98403","NOT APPLICABLE",,"PRIVATE","(253) 272-2297","https://www.saintpats.org/school/",,"K-8","1152879.92990001","711585.94310001"
"POINT (-122.439378192524 47.251661230796)","47","City University","1145 BROADWAY PLAZA SUITE 600","TACOMA","98402","NOT APPLICABLE",,"UNIVERSITY","(253) 896-3210","https://www.cityu.edu/about-cityu/locations-overview/",,"Higher Education","1158823.33319999","705493.15099999"
"POINT (-122.332155873433 47.099260504021)","109","Frederickson Elementary","17218 74TH AVE E","PUYALLUP","98375","BETHEL","403","ELEM","(253) 800-6300","https://www.bethelsd.org/fes",,"PRE-6","1184153.20640001","649286.0714"
"POINT (-122.400202671699 47.294679925349)","59","Crescent Heights Elementary School","4110 NASSAU AVE NE","TACOMA","98422","TACOMA","010","ELEM","(253) 571-5500","https://ch.tacomaschools.org/",,"K-5","1168927.60609999","720942.7043"
"POINT (-122.46667870747 47.198340114907)","240","South Sound Christian Academy","2310 S 66TH ST","TACOMA","98409","NOT APPLICABLE",,"PRIVATE","(253) 475-7226","http://www.southsoundchristian.org/",,"K-6","1151560.50210001","686218.7641"
"POINT (-122.523494543679 47.253164682067)","139","Hunt Middle School","6501 S 10TH ST","TACOMA","98465","TACOMA","010","ELEM","(253) 571-2403","https://hunt.tacomaschools.org/",,"K-5","1137953.8134","706566.0631"
"POINT (-122.509258485369 47.261319017075)","238","Silas High School","1202 N ORCHARD ST","TACOMA","98406","TACOMA","010","HIGH","(253) 571-6000","https://silas.tacomaschools.org/",,"9-12","1141563.8202","709448.97040001"
