"the_geom","objectid","name","type","address","city","notes","open_schedule","close_schedule","active","status","zip","phone","picture"
"POINT (-122.40544145982 47.216371596238)","21","Community Healthcare at Salishan","Ballot Deposit Site","1708 E 44th St","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98404",,"https://www.piercecountywa.gov/DocumentCenter/View/42115/CommunityHealthCare"
"POINT (-122.301805715428 46.888825689081)","39","Barney's Corner","Ballot Deposit Site","40512 Meridian E","Eatonville",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98328",,"https://www.piercecountywa.gov/DocumentCenter/View/21768/Barneys-Corner-Drop-Box"
"POINT (-122.680105889521 47.177150101563)","38","Anderson Island Park & Ride","Ballot Deposit Site","Yoman Rd","Anderson Island","near Villa Beach Road","Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98303",,"https://www.piercecountywa.gov/DocumentCenter/View/21766/Anderson-Island-Drop-Box"
"POINT (-122.43641827529 47.132336703746)","8","Parkland Spanaway Library","Ballot Deposit Site","13718 Pacific Ave S","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98444",,"https://www.piercecountywa.gov/DocumentCenter/View/21780/Parkland-Library-Drop-Box"
"POINT (-122.661068340711 47.387586451772)","45","Lake Kathryn Food Market","Ballot Deposit Site","14220 92nd Ave NW","Gig Harbor",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98329",,"https://www.piercecountywa.gov/DocumentCenter/View/73001/Lake_Kathryn_Food_Market"
"POINT (-122.268235947533 46.867156680113)","40","Eatonville Town Hall","Ballot Deposit Site","201 Center St W","Eatonville",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98328",,"https://www.piercecountywa.gov/DocumentCenter/View/71103/Eatonville-Town-Hall"
"POINT (-122.607645749892 47.388740722307)","44","Purdy Fire Station","Ballot Deposit Site","5210 144th St NW","Gig Harbor",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98332",,"https://www.piercecountywa.gov/DocumentCenter/View/21782/Purdy-Fire-Station-Drop-Box"
"POINT (-122.045961029158 47.104145986233)","35","Wilkeson Town Hall","Ballot Deposit Site","540 Church St","Wilkeson",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98396",,"https://www.piercecountywa.gov/DocumentCenter/View/73004/Wilkeson"
"POINT (-122.356159028758 47.237005006764)","26","Fife City Hall","Ballot Deposit Site","5411 23rd St E","Fife",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98424",,"https://www.piercecountywa.gov/DocumentCenter/View/29549/FifeCityHall"
"POINT (-122.468323108281 47.228842083845)","23","Pierce County Annex","Ballot Deposit Site","2401 S 35th St","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98409",,
"POINT (-122.406261141335 47.300337349999)","31","Browns Pt NE Tacoma Police Substation","Ballot Deposit Site","4731 Norpoint Way NE","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98422",,"https://www.piercecountywa.gov/DocumentCenter/View/21779/NE-Police-Substation-Drop-Box"
"POINT (-122.02956266515 47.162540258054)","12","Buckley Library","Ballot Deposit Site","123 S River Rd","Buckley",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98321",,"https://www.piercecountywa.gov/DocumentCenter/View/63276/Buckley"
"POINT (-122.296187533739 47.085931935914)","3","Graham Fire & Rescue","Ballot Deposit Site","10012 187th St E","Puyallup",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98375",,"https://www.piercecountywa.gov/DocumentCenter/View/30569/graham-drop-box"
"POINT (-122.53523617721 47.225070315151)","22","West Pierce Fire & Rescue","Ballot Deposit Site","3631 Drexler Dr W","University Place",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98466",,"https://www.piercecountywa.gov/DocumentCenter/View/21792/University-Place-Fire-Station-Drop-Box"
"POINT (-122.455421852638 47.192228459308)","19","Wapato Park","Ballot Deposit Site","1501 S 72nd St","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98408",,"https://www.piercecountywa.gov/DocumentCenter/View/63247/Wapato-Drop-Box"
"POINT (-122.185820531468 47.173791977684)","15","Bonney Lake Park & Ride","Ballot Deposit Site","Sky Island Dr E & 184th Ave E","Bonney Lake",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98391",,"https://www.piercecountywa.gov/DocumentCenter/View/21769/Bonney-Lake-Park-and-RIde-Drop-Box"
"POINT (-122.434501337529 47.082797897202)","2","Roy Y Park & Ride","Ballot Deposit Site","SR 507 & Pacific Ave S","Spanaway",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98387",,"https://www.piercecountywa.gov/DocumentCenter/View/21785/Roy-Y-Park-and-Ride-Drop-Box"
"POINT (-122.243921078202 47.204887861822)","20","Sumner Library","Ballot Deposit Site","1116 Fryer Ave","Sumner",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98390",,"https://www.piercecountywa.gov/DocumentCenter/View/21788/Sumner-Library-Drop-Box"
"POINT (-122.54320206911 47.002836971935)","1","Roy City Hall","Ballot Deposit Site","216 McNaught Rd S","Roy",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98580",,"https://www.piercecountywa.gov/DocumentCenter/View/37447/RoyCityHall"
"POINT (-122.411319588236 47.192543477815)","18","72nd St Transit Center","Ballot Deposit Site","1319 E 72nd St","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98404",,"https://www.piercecountywa.gov/DocumentCenter/View/21765/72nd-Street-Transit-Center-Drop-Box"
"POINT (-122.505731803564 47.232251803546)","33","Fircrest City Hall","Ballot Deposit Site","115 Ramsdell St","Fircrest",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98466",,"https://www.piercecountywa.gov/DocumentCenter/View/71637/Fircrest-City-Hall"
"POINT (-122.766572743467 47.277382384987)","47","Home Park","Ballot Deposit Site","17220 8th Ave NW","Lakebay",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98349",,"https://www.piercecountywa.gov/DocumentCenter/View/76091/Home-Park-Drop-Box"
"POINT (-122.45362579136 47.253611144747)","29","Hilltop","Ballot Deposit Site","902 South L Street","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98405",,"https://www.piercecountywa.gov/DocumentCenter/View/26767/centraldistrict"
"POINT (-122.483167508594 47.161422529995)","13","Lakewood (SR 512) Park & Ride","Ballot Deposit Site","10417 South Tacoma Way","Lakewood",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98499",,"https://www.piercecountywa.gov/DocumentCenter/View/21778/Lakewood-Park-and-Ride-Drop-Box"
"POINT (-122.094112313527 47.13965271259)","9","South Prairie Fire Department","Ballot Deposit Site","350 State Route 162 E","South Prairie",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98385",,"https://www.piercecountywa.gov/DocumentCenter/View/68522/South-Prairie-Drop-Box"
"POINT (-122.039923208125 46.760330707575)","32","Ashford County Park","Ballot Deposit Site","29801 State Route 706 E","Ashford",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98304",,"https://www.piercecountywa.gov/DocumentCenter/View/71633/Ashford-County-Park"
"POINT (-122.320982259878 47.249443998466)","34","Milton City Hall","Ballot Deposit Site","1000 Laurel St","Milton",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98354",,"https://www.piercecountywa.gov/DocumentCenter/View/73555/Milton"
"POINT (-122.291294216875 47.236381532239)","25","Edgewood City Hall","Ballot Deposit Site","2224 104th Ave E","Edgewood",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98372",,"https://www.piercecountywa.gov/DocumentCenter/View/21772/Edgewood-City-Hall-Drop-Box"
"POINT (-122.578813391962 47.176493372915)","16","Steilacoom Library","Ballot Deposit Site","2950 Steilacoom Blvd","Steilacoom",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98388",,"https://www.piercecountywa.gov/DocumentCenter/View/21787/Steilacoom-Library-Drop-Box"
"POINT (-122.40822390717 47.236325939523)","27","Puyallup Tribal Administration","Ballot Deposit Site","3009 Portland Ave E","Tacoma",,"Open M-F, 8am to 5pm 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98404",,
"POINT (-122.522090567384 47.243443941771)","28","Tacoma Area Coalition of Individuals with Disabilities (TACID)","Ballot Deposit Site","6315 S 19th St","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98466",,"https://www.piercecountywa.gov/DocumentCenter/View/21789/TACID-Drop-Box"
"POINT (-122.745602789852 47.339683857192)","46","Key Center Food Market","Ballot Deposit Site","9021 Key Peninsula Hwy NW","Lakebay",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98349",,"https://www.piercecountywa.gov/DocumentCenter/View/73002/Key_Center_Food_Market"
"POINT (-122.052971643546 47.079413813593)","49","Carbonado City Hall","Ballot Deposit Site","250 Coal Ave","Graham",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98323",,
"POINT (-122.295856123479 47.189269253783)","17","Puyallup Library","Ballot Deposit Site","324 S Meridian","Puyallup",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98371",,"https://www.piercecountywa.gov/DocumentCenter/View/21783/Puyallup-Library-Drop-Box"
"POINT (-122.513969519627 47.29791457484)","50","Ruston","Ballot Deposit Site","5045 N Highland St","Ruston",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98407",,
"POINT (-122.193251123379 46.765961105398)","51","Elbe","Ballot Deposit Site","54102 181st Avenue Ct E","Elbe",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98330",,
"POINT (-122.200279536639 47.095291942485)","4","Orting Valley Fire & Rescue","Ballot Deposit Site","401 Washington Ave SE","Orting",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98360",,"https://www.piercecountywa.gov/DocumentCenter/View/30570/orting-drop-box"
