"the_geom","objectid","zipcode","locname","address","city","state","phone","type","website","zipcode_txt"
"POINT (-122.509825979316 47.235152127205)","8","98466","FIRCREST POLICE DEPARTMENT","302 REGENTS BLVD","FIRCREST","WA","(253) 565-1198","POLICE DEPARTMENT","https://www.cityoffircrest.net/government/fircrest-police/","98466"
"POINT (-122.396054837321 47.154638176114)","32","98445","WSP DISTRICT ONE HEADQUARTERS","2502 112TH ST E","TACOMA","WA","(253) 538-3240","WA STATE PATROL","https://www.wsp.wa.gov/about-us/contact-us/","98445"
"POINT (-122.240014322656 47.201988467845)","29","98390","SUMNER POLICE DEPARTMENT","1104 MAPLE ST, SUITE 140","SUMNER","WA","(253) 863-6384","POLICE DEPARTMENT","https://sumnerwa.gov/police/","98390"
"POINT (-122.028103376355 47.162332953909)","2","98321","BUCKLEY POLICE DEPARTMENT","146 S CEDAR ST","BUCKLEY","WA","(360) 829-3157","POLICE DEPARTMENT","https://www.cityofbuckley.com/police","98321"
"POINT (-122.182620640852 47.177838717313)","1","98391","BONNEY LAKE POLICE DEPARTMENT","18421 VETERANS MEMORIAL DR E","BONNEY LAKE","WA","(253) 863-2218","POLICE DEPARTMENT","https://www.ci.bonney-lake.wa.us/government/departments/police/police_public_records_and_disclosure_requests","98391"
"POINT (-122.453904911778 47.192249298399)","26","98408","SECTOR 3 SUBSTATION","1501 S 72ND ST","TACOMA","WA","(253) 594-7838","POLICE SUBSTATION","https://www.cityoftacoma.org/government/city_departments/police/operations_bureau/community_policing_division/sector_3","98408"
"POINT (-122.425675357294 47.206130850191)","27","98404","SECTOR 4 SUBSTATION","400 E 56TH ST","TACOMA","WA","(253) 594-7947","POLICE SUBSTATION","https://www.cityoftacoma.org/government/city_departments/police/operations_bureau/community_policing_division/sector_4","98404"
"POINT (-122.445091060958 47.253794858421)","20","98402","PCSD - SHERIFFS DEPARTMENT HEADQUARTERS","930 TACOMA AVE S","TACOMA","WA","(253) 798-7530","SHERIFF DEPARTMENT","https://www.co.pierce.wa.us/1945/Locations","98402"
"POINT (-122.291865901656 47.236918571396)","6","98372","PCSD - EDGEWOOD","2224 104TH AVE E","EDGEWOOD","WA","(253) 798-4960","SHERIFF DEPARTMENT","https://www.co.pierce.wa.us/1945/Locations","98372"
"POINT (-122.450849816672 47.246978686471)","3","98405","CENTRAL SUBSTATION","1524 MARTIN LUTHER KING JR WAY","TACOMA","WA","(253) 594-7800","POLICE SUBSTATION","https://www.cityoftacoma.org/government/city_departments/police/operations_bureau/community_policing_division/sector_1","98405"
"POINT (-122.593931207497 47.170510037181)","28","98388","STEILACOOM POLICE DEPARTMENT","601 MAIN ST","STEILACOOM","WA","(253) 581-0110","POLICE DEPARTMENT","http://www.townofsteilacoom.com/160/Public-Safety","98388"
"POINT (-122.321651037606 47.249167929892)","11","98354","MILTON POLICE DEPARTMENT","1000 LAUREL ST","MILTON","WA","(844) 821-8911","POLICE DEPARTMENT","https://www.cityofmilton.net/departments/police/","98354"
