"service_request","date_request_opened","request_status","sla","service_group","agency_responsible","request_name","street_address","latitude","longitude","location","tni_area_description"
"22-00040201","2022-09-08T15:39:37.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","7169 CROSS ST","38.84416589","-76.88155532","
,  
(38.84416589, -76.88155532)","County Address"
"22-00040200","2022-09-08T15:34:34.000","OPEN","OPEN","Multi Family","DPIE","ENF-Rental Issues  Apartment Unit","1332 KAREN BLVD",,,,"County Address"
"22-00040199","2022-09-08T15:33:53.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040198","2022-09-08T15:32:53.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040194","2022-09-08T15:20:09.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040192","2022-09-08T15:14:40.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040187","2022-09-08T14:32:53.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040185","2022-09-08T14:29:44.000","CLOSED","CLOSED","Zoning","DPIE","ENF-Business/Commercial Exterior Concerns","13704 BRANDYWINE RD","38.70216302","-76.87488036","
,  
(38.70216302, -76.87488036)","County Address"
"22-00040184","2022-09-08T14:28:08.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040176","2022-09-08T14:13:11.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040174","2022-09-08T14:07:28.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040173","2022-09-08T14:02:45.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040171","2022-09-08T13:57:56.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040169","2022-09-08T13:46:27.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040168","2022-09-08T13:46:00.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040167","2022-09-08T13:39:09.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040166","2022-09-08T13:37:43.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040165","2022-09-08T13:36:21.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040164","2022-09-08T13:35:02.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040163","2022-09-08T13:33:35.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040162","2022-09-08T13:32:11.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040161","2022-09-08T13:31:57.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040160","2022-09-08T13:30:43.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040159","2022-09-08T13:29:25.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040157","2022-09-08T13:27:37.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040155","2022-09-08T13:23:50.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040154","2022-09-08T13:22:28.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040152","2022-09-08T13:20:53.000","CLOSED","CLOSED","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040151","2022-09-08T13:18:52.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040150","2022-09-08T13:17:19.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040149","2022-09-08T13:16:22.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040146","2022-09-08T13:14:51.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040145","2022-09-08T13:13:15.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040143","2022-09-08T13:11:36.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040139","2022-09-08T13:09:59.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040132","2022-09-08T13:08:29.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040131","2022-09-08T13:08:13.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040128","2022-09-08T13:05:52.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040127","2022-09-08T13:03:43.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040125","2022-09-08T13:02:15.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040124","2022-09-08T13:00:27.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040123","2022-09-08T12:56:59.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040122","2022-09-08T12:55:26.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040120","2022-09-08T12:53:48.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040119","2022-09-08T12:53:26.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040117","2022-09-08T12:51:51.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040114","2022-09-08T12:50:26.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040111","2022-09-08T12:48:47.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040110","2022-09-08T12:48:03.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040109","2022-09-08T12:45:59.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040108","2022-09-08T12:43:51.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040107","2022-09-08T12:42:49.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040106","2022-09-08T12:42:33.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040105","2022-09-08T12:41:04.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040104","2022-09-08T12:39:23.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040102","2022-09-08T12:37:56.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040101","2022-09-08T12:37:48.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040100","2022-09-08T12:35:01.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040097","2022-09-08T12:32:22.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040096","2022-09-08T12:32:11.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","2412 COLEBROOKE DR","38.83660975","-76.95599806","
,  
(38.83660975, -76.95599806)","Hillcrest Heights / Marlow Heights"
"22-00040095","2022-09-08T12:31:27.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040094","2022-09-08T12:30:24.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040093","2022-09-08T12:29:38.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040092","2022-09-08T12:26:56.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040091","2022-09-08T12:25:28.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040090","2022-09-08T12:23:47.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040089","2022-09-08T12:23:11.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040084","2022-09-08T12:05:06.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040083","2022-09-08T12:00:23.000","CLOSED","CLOSED","Zoning","DPIE","ENF-Business Operation Concerns","5639 ANNAPOLIS RD","38.93900915","-76.9191016","
,  
(38.93900915, -76.9191016)","County Address"
"22-00040081","2022-09-08T11:55:32.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040078","2022-09-08T11:50:45.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040077","2022-09-08T11:45:32.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040075","2022-09-08T11:35:14.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
