"timestamp","how_long_have_you_lived_in_somerville","do_you_rent_or_own_your_place_of_residence","if_you_own_what_type_of_home_do_you_own","if_a_condo_how_many_units_are_in_your_building","are_you_interested_in_reducing_your_energy_use","have_you_had_an_energy_audit_done_in_your_home","please_select_any_measures_you_have_taken_to_reduce_your_energy_usage","would_you_be_interested_in_a_program_offered_through_the_city_where_somerville_residents_can_receive_information_on_solar_for_their_homes_and_reduced_pricing_for_solar","if_you_own_a_business_or_commercial_building_are_you_interested_in_a_commercial_solar_program_offered_through_the_city_of_somerville","are_you_interested_in_installing_solar_pv_on_your_house","if_you_ve_been_thinking_about_installing_solar_panels_what_has_held_you_back","if_you_were_to_install_solar_pv_on_your_home_or_business_is_your_preference_to","would_you_like_to_volunteer_on_a_residential_solar_outreach_effort_to_get_your_friends_and_neighbors_to_install_solar_on_their_homes","if_solar_was_not_a_good_fit_for_your_home_the_city_of_somerville_could_potentially_offer_a_community_solar_project_where_people_can_opt_in_to_purchase_solar_shares_of_a_solar_project_located_inside_or_near_somerville_in_essence_retaining_the_same_ben","there_are_various_ways_in_funding_a_community_solar_project_would_you_be_interested_in_purchasing_shares_of_a_community_solar_project_where_you_could_receive_the_same_benefits_of_owning_a_system_of_your_own_knowing_you_could_receive_the_energy_output_f","please_indicate_if_you_would_like_further_information_on_the_following_in_regards_to_solar_panels_select_any_and_all_that_you_may_have","do_you_own_an_electric_vehicle","if_no_have_you_considered_purchasing_one","would_your_preference_be_to_charge_an_electric_vehicle_in_your_driveway_or_charge_it_in_a_public_lot"
"2015-02-18T11:06:23.000","10-15 years","Own","Single family",,"Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more","we were told that the triple decker next door blocks the southern exposure","Lease the system","No","Somewhat interested","No",,"No","No","Driveway"
"2015-01-12T12:44:42.000",,"Own","Single family",,"Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","Cost","Not sure","No","Somewhat interested","No","Permitting, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-25T14:43:57.000","5-10 years","Own","Condo","3","Yes","No","Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Cost","Purchase the system outright","No","Somewhat interested","No","Financing Options","No","No","Driveway"
"2015-01-23T12:07:17.000","5-10 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated","Yes, very interested","No","Yes, but I don't think my roof is suitable","I have a slate roof","Purchase the system outright","No","Somewhat interested","No","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-02-18T16:24:33.000","5-10 years","Own","Condo","2","Yes","Yes","Installed a high efficiency heating system, Installed a high efficiency hot water system, Shut off lights when not in use, Insulation and good windows, thermostat, etc were already installed when we bought our home.","Yes, very interested",,"Yes, but I don't think it's cost effective","Possibility of moving making the cost not effective.  I would want to have solar panels on the home I am in long-term and with a growing family that might not be this home.","Purchase the system outright","No","Somewhat interested","No","Financing Options","No","No","Driveway"
"2015-01-23T18:06:51.000","10-15 years","Own","Single family",,"Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable","roof faces the wrong way","Purchase the system outright","No","Somewhat interested","No",,"No","No","Driveway"
"2015-01-09T18:56:34.000","5-10 years","Rent",,,"Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,,,,"No","Somewhat interested","No",,"No","No","Driveway"
"2015-01-09T11:21:41.000","2-5 years","Own","Condo","3","Yes","No","Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Lack of understanding and would need to discuss with association",,,"Somewhat interested","No","Financing Options","No","No","Driveway"
"2015-01-25T09:42:16.000","10-15 years","Own","Condo","2","Yes","No","Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested","No","Maybe, I need to learn more","How it affects us as a condo association","don't know yet","Maybe, let's talk","Somewhat interested","Yes","Financing Options","No","No","Driveway"
"2015-02-05T20:53:00.000","20+ years","Rent",,,"Yes","Yes","Had your home insulated, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",,"Lease the system","Maybe, let's talk","Somewhat interested","Yes","Financing Options","No","No","Driveway"
"2015-02-19T09:52:08.000","10-15 years","Own","Single family",,"Yes","Yes","Had your home insulated, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","Cost","not sure","Maybe, let's talk","Somewhat interested","Yes","Permitting, Financing Options","No","No","Driveway"
"2015-01-15T14:23:50.000","10-15 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Lack of understanding","open to either","Maybe, let's talk","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-18T17:18:26.000","15-20 years","Own","Condo","2","Yes","Yes","Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","Cost","Purchase the system outright","Maybe, let's talk","Somewhat interested","Yes","Permitting, Interconnection & Net Metering","No","No","Driveway"
"2015-01-14T10:19:17.000","10-15 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable","Cost","Purchase the system outright","Maybe, let's talk","Somewhat interested","Yes","Financing Options","No","No","Driveway"
"2015-01-23T11:42:25.000","2-5 years","Own","Single family",,"Yes","Yes","Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Lack of understanding","Purchase the system outright","Maybe, let's talk","Somewhat interested","Yes","Interconnection & Net Metering","No","No","Driveway"
"2015-01-24T14:34:12.000","10-15 years","Own","Single family",,"Yes","Yes","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","Cost","Unclear which option is best","Maybe, let's talk","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-08T16:44:46.000","20+ years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable","Technology","Allow utility company to install","No","Somewhat interested","Yes","Financing Options","No","No","Driveway"
"2015-02-18T14:39:16.000","2-5 years","Own","Condo","3","Yes","Yes","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, energy efficient shower heads","Yes, very interested",,"Maybe, I need to learn more","Lack of understanding","don't know","No","Somewhat interested","Yes","Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-09T12:57:20.000","20+ years","Own","Multi-family (1-4 units)",,"Yes","No","Installed energy star rated windows, Shut off lights when not in use, insulated attic","Yes, somewhat interested",,"Maybe, I need to learn more","Cost","Lease the system","No","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-27T20:54:14.000","5-10 years","Own","Single family",,"Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, solar panels on roof","Yes, somewhat interested",,"No, I already have solar PV",,"Lease the system","No","Somewhat interested","Yes",,"No","No","Driveway"
"2015-01-24T15:22:05.000","5-10 years","Own","Condo",,"Yes","No","Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",,"Lease the system","No","Somewhat interested","Yes",,"No","No","Driveway"
"2015-01-24T00:52:31.000","10-15 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more","Lack of understanding","Most cost effective","No","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-09T10:45:19.000","10-15 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","expansion plans","need to evaluate","No","Somewhat interested","Yes",,"No","No","Driveway"
"2015-01-23T13:13:56.000","10-15 years","Own","Condo","2","Yes","Yes","Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"Yes","Cost","Purchase the system outright","No","Somewhat interested","Yes","Interconnection & Net Metering, Financing Options","No","No","Driveway"
"2015-01-08T17:02:08.000","20+ years","Own","Single family",,"Yes","No","Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, storm windows","Yes, very interested",,"Yes, but I don't think my roof is suitable","Cost","Purchase the system outright","No","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-26T23:28:18.000","10-15 years","Own","Condo","2","Yes","Yes","Had your home insulated, Installed a high efficiency heating system, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","lack of time","Purchase the system outright","No","Somewhat interested","Yes",,"No","No","Driveway"
"2015-01-09T14:36:58.000","5-10 years","Own","Single family",,"Yes","Yes","Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable","roof orientation","Purchase the system outright","No","Somewhat interested","Yes","Financing Options","No","No","Driveway"
"2015-01-25T21:15:47.000","15-20 years","Rent",,,"Yes","Yes","Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, applied weather stripping and draft dodgers","Yes, very interested",,"Yes","Not the property owner",,"Maybe, let's talk","Somewhat interested",,"Permitting, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-23T17:25:19.000","5-10 years","Own","Condo",,,"No","Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Cost","Lease the system","No","Somewhat interested",,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-09T10:27:40.000","5-10 years","Own","Condo","3","Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more","Cost","Purchase the system outright","No","Somewhat interested",,,"No","No","Driveway"
"2015-01-25T11:16:03.000","20+ years","Own","Single family",,"Yes","Yes","Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, energy star appliances","Yes, very interested",,"Yes, but I don't think it's cost effective","Cost","Purchase the system outright","No","Somewhat interested",,,"No","No","Driveway"
"2015-01-24T15:11:00.000","2-5 years","Own","Multi-family (1-4 units)","2","Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Lack of understanding","Purchase the system outright","No","Somewhat interested",,,"No","No","Driveway"
"2015-01-09T13:01:36.000","10-15 years","Own","Single family",,"Yes","No","Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested","No",,"Cost","would need to better underst","No","Somewhat interested",,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","No","Driveway"
"2015-01-09T11:05:31.000","15-20 years","Own","Condo","2","Yes","No","Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Lack of understanding",,"No","Somewhat interested",,,"No","No","Driveway"
"2015-01-09T13:43:19.000","10-15 years","Rent",,,"Yes","No","Shut off lights when not in use, use public transportation; set the thermostat to ~65; no air conditioner in the summer",,,"That is for my landlord to decide",,,"No","Somewhat interested",,,"No","No","Driveway"
"2015-01-24T16:56:08.000","10-15 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested","No","Maybe, I need to learn more","Cost","Purchase the system outright","No","Somewhat interested","No","Planning & Zoning, Financing Options","Hybrid","Yes","Driveway"
"2015-01-24T15:17:34.000","2-5 years","Own","Multi-family (1-4 units)","2","Yes","Yes","Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Cost","Don't know enough","Maybe, let's talk","Somewhat interested",,"Interconnection & Net Metering","Hybrid","Yes","Driveway"
"2015-01-31T10:06:07.000","20+ years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"No, I already have solar PV",,"Lease the system","Maybe, let's talk","Somewhat interested","No",,"No","Yes","Driveway"
"2015-01-25T15:08:22.000","20+ years","Own","Multi-family (1-4 units)",,"Yes","No","Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","Cost",,"Maybe, let's talk","Somewhat interested","No","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-09T11:50:50.000","15-20 years","Rent",,,,,,,,,,,"Yes","Very interested","Yes","Financing Options","No","No","Driveway"
"2015-01-08T16:34:10.000","20+ years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable","Having slate roof","don't know enough","No","Somewhat interested","No","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-12T15:13:57.000","5-10 years","Own","Condo","2","Yes","No","Installed LED or CFL lighting, Shut off lights when not in use, Building went through a gut rehab in 2011, prior to us moving in. The developer installed high efficiency heating systems, insulation and efficient windows, so our building is pretty current and up-to-date in terms of energy efficiency. It was a factor in us deciding to purchase the condo.","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable","Cost AND lack of understanding AND concerns that savings might not outweigh costs","Don't know.","No","Somewhat interested","No",,"No","Yes","Driveway"
"2015-01-09T16:55:54.000","1-2 years","Own","Condo","4","Yes","No","Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested","No","Maybe, I need to learn more","Coordinate w/condo","Lease the system","No","Somewhat interested","No",,"No","Yes","Driveway"
"2015-01-24T14:33:45.000","5-10 years","Own","Condo","3","Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Cost","Lease the system","No","Somewhat interested","No",,"No","Yes","Driveway"
"2015-01-09T10:29:44.000","2-5 years","Rent","Multi-family (1-4 units)","2","Yes","No","Shut off lights when not in use","Yes, very interested",,"Yes","being a renter","Purchase the system outright","No","Somewhat interested","No",,"No","Yes","Driveway"
"2015-01-24T15:37:09.000","15-20 years","Own","Condo","2","Yes","Yes","Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested","No","Yes","Time to wrangle multiple contractors and bids","Purchase the system outright","No","Somewhat interested","No","Permitting, Planning & Zoning","No","Yes","Driveway"
"2015-01-12T13:35:37.000","1-2 years","Own","Condo","4","Yes","No","Installed a high efficiency hot water system, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think it's cost effective","Lack of understanding",,"No","Somewhat interested","No",,"No","Yes","Driveway"
"2015-01-23T21:24:52.000","15-20 years","Own","Single family",,"Yes","Yes","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think it's cost effective","Cost","Lease the system","No","Somewhat interested","Yes",,"No","Yes","Driveway"
"2015-01-09T12:03:36.000","15-20 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, air sealing wherever possible","Yes, somewhat interested","No","Yes","Need new roof first.","Purchase the system outright","Yes","Somewhat interested","No","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-16T10:40:59.000","< 1 year","Rent",,,"Yes","No","Installed programmable thermostats, Shut off lights when not in use, Keep heat low","Yes, somewhat interested",,"Maybe, I need to learn more","Renter",,,"Somewhat interested","No",,"No","Yes","Driveway"
"2015-01-24T01:13:50.000","20+ years","Own","Single family",,"Yes","Yes","Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Yes","Cost","Lease the system","Maybe, let's talk","Somewhat interested","Yes","Financing Options","No","Yes","Driveway"
"2015-01-24T13:56:16.000","10-15 years","Own","Single family",,"Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested","No","Yes, but I don't think my roof is suitable","Lack of understanding","Lease the system","Maybe, let's talk","Somewhat interested","Yes",,"No","Yes","Driveway"
"2015-01-09T10:31:28.000","20+ years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","Cost","No sure","Maybe, let's talk","Somewhat interested","Yes","Interconnection & Net Metering, Planning & Zoning","No","Yes","Driveway"
"2015-01-09T12:21:58.000","1-2 years","Own","Condo","4","Yes","No","Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested","No","No","Lack of understanding","Purchase the system outright","Maybe, let's talk","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-08T14:57:38.000","5-10 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use, air sealing","Yes, very interested",,"Yes","Return on investment","Purchase the system outright","Maybe, let's talk","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-09T11:51:10.000","15-20 years","Rent",,,"Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","all of the above","rent to own","Maybe, let's talk","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-09T11:32:21.000","2-5 years","Own","Multi-family (1-4 units)","2","Yes","Yes","Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"Yes","Cost",,"Maybe, let's talk","Somewhat interested","Yes","Financing Options","No","Yes","Driveway"
"2015-01-12T10:29:24.000","5-10 years","Rent",,"2","Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","renter",,"Maybe, let's talk","Very interested","Yes",,"No","No",
"2015-01-24T10:04:42.000","2-5 years","Own","Condo","3","Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested","No","Maybe, I need to learn more","Don't think condo association allows for / impact to roof ","Depends","No","Somewhat interested","Yes","Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-08T12:09:37.000","5-10 years","Own","Single family",,"Yes","Yes","Had your home insulated, Installed programmable thermostats, Shut off lights when not in use, Had MassSave do a full audit","Yes, very interested",,"Maybe, I need to learn more","ROI - tech doesn't quite seem to be efficient enough to justify the cost","depends on cost","No","Somewhat interested","Yes",,"No","Yes","Driveway"
"2015-01-24T22:52:26.000","2-5 years","Own","Single family",,"Yes","No","Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested","No","Yes","Time to research and select","depends on the pricing & terms","No","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-27T19:19:03.000","20+ years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed a high efficiency hot water system, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, Keep heat as low as possible; shut off one area of house with a separate thermostat when not in use","Yes, very interested",,"Historic house--wouldn't it show from the street?","Historic house","Don't know enough about it","No","Somewhat interested","Yes","Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-24T19:41:30.000","2-5 years","Own","Multi-family (1-4 units)",,"Yes","No","Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more","Cost","Lease the system","No","Somewhat interested","Yes","Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-08T14:52:49.000","15-20 years","Own","Single family",,"Yes","Yes","Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more","Cost","Lease the system","No","Somewhat interested","Yes",,"No","Yes","Driveway"
"2015-01-23T12:29:31.000","2-5 years","Own","Condo","2","Yes","Yes","Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested","No","Maybe, I need to learn more","Cost","Lease the system","No","Somewhat interested","Yes",,"No","Yes","Driveway"
"2015-02-06T13:50:45.000","15-20 years","Own","Single family",,"Yes","Yes","Installed LED or CFL lighting, Installed programmable thermostats","Yes, very interested",,"Yes","Cost","Lease the system","No","Somewhat interested","Yes",,"No","Yes","Driveway"
"2015-01-09T11:58:37.000","5-10 years","Rent",,,"Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes","Cost","Lease the system","No","Somewhat interested","Yes","Interconnection & Net Metering, Financing Options","No","Yes","Driveway"
