"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2020","STORMWTR INFILT & INFLOW","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","STORMWTR INFILT & INFLOW","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","87500","STORM WATER CONSTRUCTION",
"2020","CITY WIDE MULTIFUNC RPL","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","CITY WIDE MULTIFUNC RPL","CAPITAL-ENTERPRISE","COPIER MACHINE","945","SANITARY SEWER CONSTRUCTI",
"2020","FIBER/NETWORK MGMT PROG","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","FIBER/NETWORK MGMT PROG","CAPITAL-GOV FUNDS","SOFTWARE","47800","STREET CONSTRUCTION",
"2020","EAGLE POINT PARK IMPROV","CULTURE AND REC - CAP","PARK DIVISION","NONE","EAGLE POINT PARK IMPROV","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","47000","DRA DISTRIBUTION",
"2021","HILLCREST ROSEMONT DET","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HILLCREST ROSEMONT DET","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","6170","STORM WATER CONSTRUCTION",
"2020","MFC ADDITION REMODEL","CULTURE AND REC - CAP","MULTICULTURAL FAMILY CTR","NONE","MFC ADDITION REMODEL","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","182000","GENERAL CONSTRUCTION",
"2020","COTTINGHAM RD WATER MAIN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","COTTINGHAM RD WATER MAIN","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","115563","WATER CONSTRUCTION",
"2020","LANDFILL ENVIRON MGMT","NON-PROGRAM - CAPITAL","DMASWA","LANDFILL","LANDFILL ENVIRON MGMT","NOT REPORTED","CONSULTANT SERVICES","8000","DMASWA-GENERAL",
"2021","DUMP TRUCK REPLACEMENT","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","NONE","DUMP TRUCK REPLACEMENT","CAPITAL-GOV FUNDS","TRUCK-REPLACEMENT","182930","STREET CONSTRUCTION",
"2020","GATE REPLC FLOOD MITIGATI","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","GATE REPLC FLOOD MITIGATI","STORMWATER UTILITY","CONST.CONTR-NOT BLDG","484963","STORM WATER CONSTRUCTION",
"2020","ASBURY RD SIGNALIZATION","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ASBURY RD SIGNALIZATION","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","65000","STREET CONSTRUCTION",
"2020","STREET TREE PROGRAM","CULTURE AND REC - CAP","PARK DIVISION","NONE","STREET TREE PROGRAM","CAPITAL-GOV FUNDS","LANDSCAPING CONTRACT","2500","SALES TAX CONSTRUCTION",
"2020","KERPER SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","KERPER SANITARY","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","26232.75","SANITARY SEWER CONSTRUCTI",
"2020","CCTV INSPECT/CLEAN/ASSESS","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CCTV INSPECT/CLEAN/ASSESS","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","5000","SANITARY SEWER CONSTRUCTI",
"2020","CITY WIDE MULTIFUNC RPL","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","CITY WIDE MULTIFUNC RPL","CAPITAL-ENTERPRISE","COPIER MACHINE","3290","DMASWA-GENERAL",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PERIPHERALS, COMPUTER","15209.89","GARAGE SERVICE",
"2020","BUS STORAGE FACILITY","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","BUS STORAGE FACILITY","CAPITAL-ENTERPRISE","CONST CONTRACT-BLDG","0.03","TRANSIT",
"2020","INET FIBER BUILD OUT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","INET FIBER BUILD OUT","CAPITAL-GOV FUNDS","MISCELLANEOUS EQUIPMENT","15000","ROAD USE TAX",
"2020","EXCURSION BOAT DOCKS","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","EXCURSION BOAT DOCKS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","2134","GENERAL",
"2021","CENTRAL AVE COORIDOR INIT","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","GRANTS","CENTRAL AVE COORIDOR INIT","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","50000","GENERAL CONSTRUCTION",
"2018","HVAC HANDLING UNITS","CULTURE AND REC - CAP","LIBRARY","NONE","HVAC HANDLING UNITS","CAPITAL-GOV FUNDS","HVAC","22524","SALES TAX CONSTRUCTION",
"2020","HOMEOWNERSHIP GRANTS-TARG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HOMEOWNERSHIP GRANTS-TARG","CAPITAL-GOV FUNDS","LOANS","85714","GENERAL CONSTRUCTION",
"2020","LED RE-LAMP SCHEDULE","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","LED RE-LAMP SCHEDULE","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","1000","STREET CONSTRUCTION",
"2020","GENERAL REPAIRS","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","GENERAL REPAIRS","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","51344.89","STORM WATER CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-ENTERPRISE","LAND/ACQ-W/IMPROV","30000","STORM WATER CONSTRUCTION",
"2020","SIDEWALK REPAIR/MAINTENAN","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SIDEWALK REPAIR/MAINTENAN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","33866.85","GENERAL",
"2016","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","4104.84","STORM WATER CONSTRUCTION",
"2020","RESIDENTIAL REHAB PROGRAM","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RESIDENTIAL REHAB PROGRAM","CAPITAL-GOV FUNDS","UTILITY EXP-GAS","2562.58","STATE RENTAL REHAB",
"2021","MARQUETTE SAN SEWER","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","MARQUETTE SAN SEWER","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","14213.2","SANITARY SEWER CONSTRUCTI",
"2021","HAM HOUSE EXTERIOR/LANDSC","CULTURE AND REC - CAP","PARK DIVISION","NONE","HAM HOUSE EXTERIOR/LANDSC","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","43200","DRA DISTRIBUTION",
"2020","WRR PLANT RENOVATION","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","NONE","WRR PLANT RENOVATION","CAPITAL-ENTERPRISE","LEGAL SERVICES","0.01","SANITARY SEWER CONSTRUCTI",
"2021","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","177618","STORM WATER CONSTRUCTION",
"2020","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","200000","STORM WATER CONSTRUCTION",
"2020","INET FIBER BUILD OUT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","INET FIBER BUILD OUT","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","ROAD USE TAX",
"2020","BEE BRANCH CREEK RESTORAT","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","BEE BRANCH ALIGNMENT","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","32455.21","SALES TAX INCREMENT",
"2021","AIRPORT IMPROVEMENTS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT IMPROVEMENTS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","2254.75","AIRPORT CONSTRUCTION",
"2020","BUS STORAGE FACILITY","PUBLIC WORKS-CAPITAL","TRANSIT DIVISION","OTHER","BUS STORAGE FACILITY","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","24001","GENERAL CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","5000","GARAGE SERVICE",
"2020","BUNKER CART PATHS","CULTURE AND REC - CAP","RECREATION DIVISION","GOLF","BUNKER CART PATHS","CAPITAL-GOV FUNDS","LANDSCAPING CONTRACT","10000","GOLF CONSTRUCTION",
"2020","SIGNALIZATION PROGRAM","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNALIZATION PROGRAM","CAPITAL-GOV FUNDS","SOFTWARE LICENSE EXP","480","STREET CONSTRUCTION",
"2020","CATFISH CRK WATERSHED PRT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATFISH CRK WATERSHED PRT","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","769.63","STORM WATER CONSTRUCTION",
"2020","COTTINGHAM RD WATER MAIN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","COTTINGHAM RD WATER MAIN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","977344","WATER CONSTRUCTION",
"2020","N CASCADE WATER MAIN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","N CASCADE WATER MAIN","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","80400","WATER CONSTRUCTION",
"2020","DT ADA NON-PROFIT ASSIST","PUBLIC SAFETY-CAPITAL","BUILDING SAFETY","INSPECTION","DT ADA NON-PROFIT ASSIST","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","100000","GENERAL CONSTRUCTION",
"2020","ASPHALT MILLING PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","ASPHALT MILLING PROGRAM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","96916.46","STREET CONSTRUCTION",
"2021","STONE RETAINING WALLS","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","STONE RETAINING WALLS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","113.22","STREET CONSTRUCTION",
"2020","VILLA ST STORM SEWER PROJ","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","VILLA ST STORM SEWER PROJ","CAPITAL-ENTERPRISE","EASEMENT ACQUISITION","330","STORM WATER CONSTRUCTION",
"2021","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO DEBT SERVICE","284944","STREET CONSTRUCTION",
"2014","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STORM WATER","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","4104.84","STORM WATER CONSTRUCTION",
"2020","STREET CONST-GENERAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","STREET CONST-GENERAL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","30000","STREET CONSTRUCTION",
"2021","STREET CONST-GENERAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","STREET CONST-GENERAL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","89177.5","STREET CONSTRUCTION",
"2020","GATE REPLC FLOOD MITIGATI","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","GATE REPLC FLOOD MITIGATI","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","6154.83","SALES TAX INCREMENT",
"2020","CATFISH/GRANGER LIFT IMPR","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CATFISH/GRANGER LIFT IMPR","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","56000","SANITARY SEWER CONSTRUCTI",
"2021","BUS STOP IMPROVEMENTS","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","BUS STOP IMPROVEMENTS","CAPITAL-ENTERPRISE","EQUIP ACQUISITION","6934","COMMUNITY DEVELOPMENT",
"2020","GRNDVW/UNVRSTY ROUNDABOUT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","GRNDVW/UNVSTY ROUNDABOUT","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","4011","STREET CONSTRUCTION",
"2020","CELL 9 PHASE 4","NON-PROGRAM - CAPITAL","PUBLIC WORKS","LANDFILL","CELL 9 PHASE 4","NOT REPORTED","CONST.CONTR-NOT BLDG","1800918","DMASWA-GENERAL",
"2020","BEE BRANCH TRANSFORMER","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","NONE","BEE BRANCH TRANSFORMER","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","112300","STREET CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","PRINTER","2359","SALES TAX CONSTRUCTION",
"2020","HEEB STREET","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HEEB STREET","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","5000","STORM WATER CONSTRUCTION",
"2010","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","25572","STORM WATER CONSTRUCTION",
"2020","CITY-WIDE SECURITY CAMERA","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","CITY-WIDE SECURITY CAMERA","CAPITAL-GOV FUNDS","CAMERA RELATED EQUIPMENT","5687.88","STREET CONSTRUCTION",
"2020","DUMP TRUCK REPLACEMENT","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","NONE","DUMP TRUCK REPLACEMENT","CAPITAL-GOV FUNDS","TRUCK-REPLACEMENT","468339","STREET CONSTRUCTION",
"2020","SOUTHGATE WATER","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SOUTHGATE SANITARY SEWER","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","-12078","WATER CONSTRUCTION",
"2020","SRGE AND GRND IMPR SIGNAL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SRGE AND GRND IMPR SIGNAL","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","7119","STREET CONSTRUCTION",
"2020","RELANDSCAPE SEIPPEL/CHAVE","CULTURE AND REC - CAP","PARK DIVISION","MAINTENANCE","RELANDSCAPE SEIPPEL/CHAVE","CAPITAL-GOV FUNDS","LANDSCAPE/FERT/PLANTS","15000","GENERAL CONSTRUCTION",
"2020","CITY WIDE MULTIFUNC RPL","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","CITY WIDE MULTIFUNC RPL","CAPITAL-GOV FUNDS","COPIER MACHINE","134875","SALES TAX CONSTRUCTION",
"2021","CATFISH CRK WATERSHED PRT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATFISH CRK WATERSHED PRT","CAPITAL-ENTERPRISE","GRANTS","13677","STORM WATER CONSTRUCTION",
"2020","KERPER BLVD FIBER AND CAM","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","KERPER BLVD FIBER AND CAM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","27022.75","DRA DISTRIBUTION",
"2020","CEDAR LIFT PUMP/GEN/TRAIL","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","CEDAR LIFT PUMP/GEN/TRAIL","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","149511","SANITARY SEWER CONSTRUCTI",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO SALES TAX CONSTRUCTION","108632","DRA DISTRIBUTION",
"2020","WHEEL CHAIR RAMPS","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","WHEEL CHAIR RAMPS","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","2000","COMMUNITY DEVELOPMENT",
"2020","STREET TREE PROGRAM","CULTURE AND REC - CAP","PARK DIVISION","NONE","STREET TREE PROGRAM","CAPITAL-GOV FUNDS","LANDSCAPING CONTRACT","2500","DRA DISTRIBUTION",
"2020","SIGNAL INTERSEC RECONSTRU","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNAL INTERSEC RECONSTRU","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","80000","STREET CONSTRUCTION",
