"fiscal_year","fiscal_period","service","department","program","expense_category","fund","vendor_name","vendor_id","vendor_zip","payment_number","payment_issue_date","invoice_number","invoice_line_number","invoice_date","amount","description","purchase_order_number"
"2015","7","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","SPECIAL EVENTS","GENERAL","RESTAURANTS","2631",,"423113","2015-01-06T00:00:00.000",,"0",,"38.75",,"0"
"2014","3","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140940","2013-09-17T00:00:00.000",,"0","2013-09-17T00:00:00.000","116920.39",,"0"
"2014","6","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","REPAIR PARTS/SUPPLIES","WATER UTILITY OPERATION","FASTENAL COMPANY","1835","55987","408378","2013-12-11T00:00:00.000",,"0",,"34.77",,"0"
"2015","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","UNIVERSITY OF TEXAS-AUSTIN","11839","78712-1216","420841","2014-10-31T00:00:00.000",,"0",,"50",,"0"
"2014","8","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","DELTA AIR LINES INC","2457","30320-6001","410968","2014-02-14T00:00:00.000",,"0",,"292",,"0"
"2014","3","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","JANITORIAL SUPPLIES","WATER UTILITY OPERATION","LOWES COMPANIES INC","2644","30353-0954","404566","2013-09-06T00:00:00.000",,"0",,"44.36",,"0"
"2013","12","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","DUES & MEMBERSHIPS","GENERAL","NATIONAL MAIN STREET CENTER","2926","20036-2189","400813","2013-06-13T00:00:00.000",,"0",,"13",,"0"
"2013","9","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","MISC. OPERATING SUPPLIES","WATER UTILITY OPERATION","STAPLES ADVANTAGE","3543","60696-3689","396770","2013-03-11T00:00:00.000",,"0",,"70.73",,"0"
"2014","11","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","CRUST ITALIAN KITCHEN & BAR","4595","52001","415052","2014-05-30T00:00:00.000",,"0",,"93.3",,"0"
"2015","6","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","PROMOTION","GENERAL","HYVEE #1160","2228","50266-8290","422145","2014-12-04T00:00:00.000",,"0",,"16.93",,"0"
"2014","7","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","MACH/EQUIP MAINTENANCE","WATER UTILITY OPERATION","NAPA AUTO PARTS & SUPPLY","2902","61125-0666","409644","2014-01-08T00:00:00.000",,"0",,"14",,"0"
"2015","9","RESIDENTIAL REHAB PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - CAP","LAND/ACQ-W/IMPROV","STATE RENTAL REHAB","CENTRAL TRUE VALUE","9041","52001-3566","425935","2015-03-30T00:00:00.000",,"0",,"7.96",,"0"
"2015","3","CDBG ADMIN/MONITORING","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","COMMUNITY DEVELOPMENT","AMERICAN AIRLINES GROUP INC","5289","76155","419799","2014-09-30T00:00:00.000",,"0",,"619.2",,"0"
"2013","3","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SUBSCRIPTIONS-BOOKS-MAPS","GENERAL","ELSEVIER INC","6744","19170-7684","389839","2012-09-14T00:00:00.000",,"0",,"-14.64",,"0"
"2013","3","ANIMAL CONTROL","HEALTH SERVICES","PUBLIC SAFETY-OPERATING","EDUCATION & TRAINING","GENERAL","GAS STATIONS/TOWING","1031",,"389839","2012-09-14T00:00:00.000",,"0",,"43.68",,"0"
"2015","7","REHAB. PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","423113","2015-01-06T00:00:00.000",,"0",,"99",,"0"
"2014","9","WATER DISTR. SYSTEM","WATER","BUSINESS TYPE - OPERATING","SAFETY RELATED SUPPLIES","WATER UTILITY OPERATION","THEISENS INC","3668","52003-5265","412593","2014-03-31T00:00:00.000",,"0",,"80.98",,"0"
"2022","8","LANDFILL","PUBLIC WORKS","BUSINESS TYPE - OPERATING","CONSULTING ENGINEERS","DMASWA-GENERAL","FOTH INFRASTRUCTURE & ENVIRO LLC","5675","60197-8418","V501488","2022-02-09T00:00:00.000",,"1","2022-01-28T00:00:00.000","38265.24",,"22000551"
"2015","1","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","417389","2014-07-31T00:00:00.000",,"0",,"25",,"0"
"2015","3","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","DOUBLETREE CEDAR RAPIDS CONVENTION","10826","52401","419799","2014-09-30T00:00:00.000",,"0",,"134.42",,"0"
"2019","2","MAINTENANCE SERVICES","LIBRARY","CULTURE AND REC - OPER","UTILITY EXP-ELECTRICITY","GENERAL","ALLIANT ENERGY","1085","52406-3060","468920","2018-08-15T00:00:00.000",,"1","2018-07-23T00:00:00.000","8430.6",,"19000254"
"2014","3","HEALTH HOMES GRANT","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","FUEL, MOTOR VEHICLE","GENERAL","CASEYS GENERAL STORE","9338","50021-9672","404566","2013-09-06T00:00:00.000",,"0",,"40",,"0"
"2015","12","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","VARIDESK","12523","75019-4706","429796","2015-06-30T00:00:00.000",,"0",,"500",,"0"
"2013","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","TAXI SERVICE-SHUTTLE SERVICES","1026",,"400813","2013-06-13T00:00:00.000",,"0",,"4.87",,"0"
"2015","3","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","EVENTBRITE INC","10391","94107-1535","419799","2014-09-30T00:00:00.000",,"0",,"85",,"0"
"2014","11","MAINT OF VACANT/ABANDONED","HOUSING & COMMUNITY DEV","COM AND ECON DEV - CAP","PROPERTY MAINTENANCE","GENERAL","CENTRAL TRUE VALUE","9041","52001-3566","415052","2014-05-30T00:00:00.000",,"0",,"1.99",,"0"
"2014","5","METERS","WATER","BUSINESS TYPE - OPERATING","METER MAINTENANCE","WATER UTILITY OPERATION","LOWES COMPANIES INC","2644","30353-0954","407288","2013-11-07T00:00:00.000",,"0",,"31.94",,"0"
"2013","4","HEALTH SERVICES ADMINISTR","HEALTH SERVICES","HEALTH & SOC SERV - OPER","TRAVEL-CITY BUSINESS","GENERAL","UNIVERSITY OF IOWA","3785","52240","391071","2012-10-10T00:00:00.000",,"0",,"12.2",,"0"
"2013","10","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","OFFICE SUPPLIES","WATER UTILITY OPERATION","STAPLES ADVANTAGE","3543","60696-3689","397857","2013-04-05T00:00:00.000",,"0",,"183.72",,"0"
"2013","11","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CITY BUSINESS","GENERAL","TONY ROMAS","4594","52001","399254","2013-05-10T00:00:00.000",,"0",,"59.85",,"0"
"2016","3","HUMAN RIGHTS GRANT FUNDS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1162","5220","50266-8290","433069","2015-09-30T00:00:00.000",,"0",,"-2.1",,"0"
"2013","7","WATER METER EXCHANGE","WATER","BUSINESS TYPE - CAPITAL","EQUIP ACQUISITION","WATER CONSTRUCTION","WELTER STORAGE EQUIPMENT CO INC","3900","52310-7708","394603","2013-01-11T00:00:00.000",,"0",,"-70",,"0"
"2015","9","CDBG ADMIN/MONITORING","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","424988","2015-03-02T00:00:00.000",,"0",,"23.29",,"0"
"2013","10","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","SUBSCRIPTIONS-BOOKS-MAPS","GENERAL","AMERICAN PLANNING ASSOCIATION","1119","60603-6107","397857","2013-04-05T00:00:00.000",,"0",,"47.95",,"0"
"2014","7","METERS","WATER","BUSINESS TYPE - OPERATING","METER MAINTENANCE","WATER UTILITY OPERATION","CENTRAL TRUE VALUE","9041","52001-3566","409644","2014-01-08T00:00:00.000",,"0",,"29.96",,"0"
"2014","4","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","AMERICAN PLANNING ASSOCIATION","1119","60603-6107","406102","2013-10-14T00:00:00.000",,"0",,"225",,"0"
"2019","5","CITY HALL ANNEX MAINT.","BUILDING SAFETY","GEN GOVERNMENT - OPER","UTILITY EXP-ELECTRICITY","GENERAL","ALLIANT ENERGY","1085","52406-3060","471802","2018-11-14T00:00:00.000",,"1","2018-10-22T00:00:00.000","1443.59",,"19000256"
"2014","9","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HOTEL/MOTEL VENDOR","2889",,"412593","2014-03-31T00:00:00.000",,"0",,"614.84",,"0"
"2015","1","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","INTERCULTURAL COMMUNICATION INST","5876","97225-3452","417389","2014-07-31T00:00:00.000",,"0",,"19.65",,"0"
"2015","4","ADMINISTRATION","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","420841","2014-10-31T00:00:00.000",,"0",,"1.44",,"0"
"2016","2","GENERAL GIFT TRUST","LIBRARY","CULTURE AND REC - OPER","SPEAKERS/PROGRAMS","EXPENDABLE LIBRARY GIFTS","STAPLES ADVANTAGE","3543","60696-3689","431866","2015-08-31T00:00:00.000",,"0",,"18.99",,"0"
"2015","11","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","GEORGE WASHINGTON UNIVERSITY","12420","20037-2303","428371","2015-05-29T00:00:00.000",,"0",,"524.42",,"0"
"2013","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","401865","2013-06-28T00:00:00.000",,"0",,"772.5",,"0"
"2016","3","HUMAN RIGHTS GRANT FUNDS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1162","5220","50266-8290","433069","2015-09-30T00:00:00.000",,"0",,"38.09",,"0"
"2015","3","ADMINISTRATION","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","419799","2014-09-30T00:00:00.000",,"0",,"534.2",,"0"
"2019","2","HUD RESILIENCY ENGINEER","ENGINEERING","PUBLIC WORKS-CAPITAL","CONST.CONTR-NOT BLDG","HUD DISASTER RELIEF","PORTZEN CONSTRUCTION INC","3117","52003-9746","V468962","2018-08-15T00:00:00.000",,"1","2018-07-31T00:00:00.000","471962.77",,"18009142"
"2013","5","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","392203","2012-11-09T00:00:00.000",,"0",,"-2.8",,"0"
"2015","4","ECONOMIC DEVELOPMENT","ECONOMIC DEVELOPMENT","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","DUBUQUE AREA CHAMBER OF COMMERCE","1666","52001-6970","420841","2014-10-31T00:00:00.000",,"0",,"-316",,"0"
"2015","11","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","PAYPAL P-CARD PAYMENTS","1909",,"428371","2015-05-29T00:00:00.000",,"0",,"76",,"0"
"2015","2","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CITY BUSINESS","GENERAL","CENTER FOR ETHICAL LEADERSHIP","11571","98122-5574","418560","2014-08-29T00:00:00.000",,"0",,"150",,"0"
"2013","8","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130223","2013-02-19T00:00:00.000",,"0","2013-02-19T00:00:00.000","95940.39",,"0"
"2013","5","INSP. - FOOD ESTBLMNTS","HEALTH SERVICES","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","GAS STATIONS/TOWING","1031",,"392203","2012-11-09T00:00:00.000",,"0",,"23",,"0"
"2013","5","INSP. - FOOD ESTBLMNTS","HEALTH SERVICES","HEALTH & SOC SERV - OPER","MOTOR VEHICLE MAINT.","GENERAL","MIRACLE CAR WASH CORP","2824","52001-6932","392203","2012-11-09T00:00:00.000",,"0",,"11.68",,"0"
"2014","2","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","SAFETY RELATED SUPPLIES","WATER UTILITY OPERATION","RADIOSHACK CORPORATION","3204","76102","403357","2013-08-08T00:00:00.000",,"0",,"7.49",,"0"
"2015","3","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","419799","2014-09-30T00:00:00.000",,"0",,"83.19",,"0"
"2013","6","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","393340","2012-12-07T00:00:00.000",,"0",,"73.39",,"0"
"2014","5","REFUSE COLLECTION","PUBLIC WORKS","BUSINESS TYPE - OPERATING","FUEL, MOTOR VEHICLE","REFUSE COLLECTION","GAS STATIONS/TOWING","1031",,"407288","2013-11-07T00:00:00.000",,"0",,"33.98",,"0"
"2019","5","TIF -GREATER DOWNTOWN","ECONOMIC DEVELOPMENT","COM AND ECON DEV - OPER","PAY TO OTHER AGENCY","TIF-DOWNTOWN","VICTORY CAFE - DUBUQUE INC","9887","61036-2003","471890","2018-11-14T00:00:00.000",,"1","2018-11-06T00:00:00.000","3022.54",,"19004563"
"2013","12","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","400813","2013-06-13T00:00:00.000",,"0",,"679.5",,"0"
"2014","3","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","GAS STATIONS/TOWING","1031",,"404566","2013-09-06T00:00:00.000",,"0",,"11.97",,"0"
"2014","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1160","2228","50266-8290","406102","2013-10-14T00:00:00.000",,"0",,"24.74",,"0"
"2013","5","ECONOMIC DEVELOPMENT","ECONOMIC DEVELOPMENT","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","DUBUQUE AREA CHAMBER OF COMMERCE","1666","52001-6970","392203","2012-11-09T00:00:00.000",,"0",,"396",,"0"
"2014","10","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","DOLLAR TREE #773","9428","52002","413932","2014-04-30T00:00:00.000",,"0",,"5",,"0"
"2014","6","HEALTH HOMES GRANT","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","MACH/EQUIP MAINTENANCE","GENERAL","GAS STATIONS/TOWING","1031",,"408378","2013-12-11T00:00:00.000",,"0",,"10.18",,"0"
"2013","2","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","OFFICE SUPPLIES","GENERAL","NOTARY ROTARY INC","4572","50313-4908","388392","2012-08-09T00:00:00.000",,"0",,"19.73",,"0"
"2014","3","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","404566","2013-09-06T00:00:00.000",,"0",,"5.96",,"0"
"2014","11","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","415052","2014-05-30T00:00:00.000",,"0",,"35.05",,"0"
"2013","8","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","395659","2013-02-08T00:00:00.000",,"0",,"83.04",,"0"
"2014","11","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SOFTWARE LICENSE EXP","GENERAL","APPLE INC","7184","75284-6095","415052","2014-05-30T00:00:00.000",,"0",,"0.99",,"0"
"2014","8","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140227","2014-02-25T00:00:00.000",,"0","2014-02-25T00:00:00.000","250",,"0"
"2013","4","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","MACH/EQUIP MAINTENANCE","WATER UTILITY OPERATION","MUNICIPAL EMERGENCY SERVICES INC","8840","60675-3135","391071","2012-10-10T00:00:00.000",,"0",,"111.84",,"0"
"2015","7","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","OFFICEMAX CONTRACT INC","5580","60675-2698","423977","2015-01-29T00:00:00.000",,"0",,"99.78",,"0"
"2013","11","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","399254","2013-05-10T00:00:00.000",,"0",,"51.57",,"0"
