Date of event,Organization,Site Name,Start Time,End Time,Language,Free,Workshop,Contact,Location
05/04/2019,Los Angeles Public Library,Exposition Park Regional Branch,2:30PM,5:00PM,Spanish Only,Free,Citizenship Class: Saturday  from 05/04-07/20,(213)814-5248,"3900 S Western Ave
Los Angeles, CA 90062
(34.014404, -118.308909)"
05/25/2019,Los Angeles Public Library,Sun Valley Branch,9:30AM,1:00PM,English & Spanish,Free,Citizenship Class: Saturday from 05/25-08/24,(818)616-6019,"7935 Vineland Ave
Sun Valley, CA 91352
(34.214925, -118.370331)"
05/25/2019,Los Angeles Public Library,Sun Valley Branch Library,9:30AM,1:00PM,English,Free,"Citizenship class, Saturday, 5/25-8/24",(213) 385-7800,"7935 Vineland Ave
Sun Valley, CA 91352
(34.214925, -118.370331)"
06/11/2019,Los Angeles Housing and Community Investment Department,South Office,10:00AM,11:00AM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,"690 Knox St
Los Angeles, CA 90502
(33.854221, -118.287499)"
06/12/2019,Los Angeles Housing and Community Investment Department,Cahuenga Public Library,10:00AM,11:00AM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,"4591 Santa Monica Blvd
Los Angeles, CA 90029
(34.090869, -118.28893)"
06/13/2019,Los Angeles Housing and Community Investment Department,East Office,10:00AM,11:00AM,Spanish,Free,"Protecciones del inquilino por cuando se demuelen las propriedades de estabilizacion del alquiler (o propriedades bajo ""Ellis"" que son retiradas",Please RSVP at (213) 928-9075,"2130 E 1st St
Los Angeles, CA 90033
(34.044735, -118.213384)"
06/15/2019,Los Angeles Public Library,R.L. Stevenson Branch Library,10:00AM,12:30PM,"Spanish only, English exempt",Free,"Citizenship class, Saturday, 6/15-9/17, 9/7-11/16",(213) 385-7800,"803 Spence St
Los Angeles, CA 90023
(34.02755, -118.197954)"
06/19/2019,Los Angeles Housing and Community Investment Department,Downtown (Garland) Office,6:30PM,7:30PM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,"1200 W 7th St
Los Angeles, CA 90017
(34.051395, -118.265556)"
06/20/2019,Los Angeles Housing and Community Investment Department,North (Valley) Office,10:30AM,11:30AM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,"6400 Laurel Canyon Blvd
Los Angeles, CA 91606"
06/26/2019,Los Angeles Housing and Community Investment Department,West LA Office,10:30AM,11:30AM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,"1645 Corinth Ave
Los Angeles, CA 90025
(34.045423, -118.448953)"
06/27/2019,UCLA Dream Resource Center & CHIRLA,Southeast-Rio Vista Family YMCA,6:00PM,8:00PM,English & Spanish,Free,Know Your Rights Workshop,"Email: dreamresourcecenter@gmail.com or Call (213) 480-4155, Ext. 256","4801 East 58th St
Maywood, CA 90270
(33.987415, -118.178804)"
06/27/2019,Los Angeles Housing and Community Investment Department,Downtown (Garland) Office,6:30PM,7:30PM,Spanish,Free,"Protecciones del inquilino por cuando se demuelen las propriedades de estabilizacion del alquiler (o propriedades bajo ""Ellis"" que son retiradas",Please RSVP at (213) 928-9075,"1200 W 7th St
Los Angeles, CA 90017
(34.051395, -118.265556)"
07/01/2019,Program for Torture Victims (PTV),PTV LA Office,3:00PM,4:00PM,English & Spanish,Free,Know Your Rights Workshop,"Space is limited, please RSVP first by email at ktwan@ptvla.org or call (213)384-4788.","3550 Wilshire Blvd
Los Angeles, CA
(34.061737, -118.302322)"
07/02/2019,Los Angeles Public Library,Central Branch Library,5:00PM,7:00PM,English,Free,"Interview tutoring session, by appointment only, Tuesday & Thursday, from 7/2 to 9/26",(888) 839-8682,"630 W 5th St
Los Angeles, CA 90071
(34.050931, -118.254965)"
07/06/2019,Los Angeles Public Library,Wilshire Branch Library,10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 7/6-9/28",(888) 839-8682,"149 North Saint Andrews Place
Los Angeles, CA 90004
(34.073819, -118.311366)"
07/07/2019,"City of LA Board of Public Works, Mayor's Office of Immigrant Affairs, and Target",MacArthur Park- Levvit Pavilion,4:00PM,7:00PM,English & Spanish,Free,Gusto Guatemalteco is a festival featuring some of the best traditional and contemporary music and dance talent Los Angeles has to offer.,RSVP Link: http://concerts.levittlosangeles.org/events/2019/7/7/gusto-guatemalteco,"2230 W 6th St
Los Angeles, CA 90057
(34.060206, -118.276395)"
07/08/2019,Program for Torture Victims (PTV),PTV LA Office,3:00PM,4:00PM,English & Spanish,Free,Know Your Rights Workshop,"Space is limited, please RSVP first by email at ktwan@ptvla.org or call (213)384-4788.","3550 Wilshire Blvd
Los Angeles, CA
(34.061737, -118.302322)"
07/09/2019,Los Angeles Public Library,West L.A. Regional Branch Library,10:00AM,12:30PM,Farsi & English,Free,"Citizenship class, Tuesday, 7/9-9/24",(818) 616-3091,"11350 Santa Monica Blvd
Los Angeles, CA 90025
(34.046002, -118.450234)"
07/09/2019,SALEF/Clinica Romero/El Rescate,Cilinica Romero-Boyle Heights Office,3:00PM,,English & Spanish,Free,Immigration Forum and Know Your Rights workshop,"(213) 989-7700, ext. 2836","2032 Marengo St
Los Angeles, CA 90033
(34.056649, -118.207437)"
07/10/2019,Los Angeles Public Library,Pio Pico Koreatown Branch Library,1:00PM,3:00PM,English,Free,"Citizenship class, Monday & Wednesday, 7/10-9/25",(800) 867-3650,"694 S Oxford Ave
Los Angeles, CA 90005
(34.060041, -118.307829)"
07/10/2019,Central City Neighborhood Partners (CCNP) & Mayor's Office of Immigrant Affairs,Central City Neighborhood Partners (CCNP),10:00AM,11:00AM,Spanish,Free,Know Your Rights Workshop,CCNP at: (213) 482-8618 or MOIA at: (213) 978-0645,"501 South Bixel Street
Los Angeles, CA 90017
(34.05469, -118.261532)"
07/10/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Montecito Heights Recreation Center,7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources",MOIA at: (213) 978-0645,"4545 Homer Street
Los Angeles, CA 90031
(34.094817, -118.203532)"
07/11/2019,SALEF/Clinica Romero/El Rescate,Clinica Romero-Pico Union Office,4:00PM,8:00PM,English & Spanish,Free,"Citizenship workshop, appointment required","(213) 989-7700, ext. 2856 OR (213) 480-1052, ext. 102","123 S Alvarado St
Los Angeles, CA 90057
(34.06591, -118.270789)"
07/12/2019,Los Angeles Public Library,Chinatown Branch Library,10:30AM,12:30PM,Chinese & English,Free,"Citizenship class, Wednesday & Friday, from 7/12-9/25",(800) 520-2356,"639 N Hill St
Los Angeles, CA 90012
(34.060176, -118.240947)"
07/12/2019,Los Angeles Public Library,Platt Branch Library,9:30AM,12:30PM,Farsi & English,Free,"Citizenship class, Friday, 7/12-9/27",(818) 616-3091,"23600 Victory Blvd
Woodland Hills, CA 91367
(34.186597, -118.641938)"
07/13/2019,Los Angeles Public Library,Mar Vista Branch Library,10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 7/13-8/21",(888) 839-8682,"12006 CA
Los Angeles, CA 90066"
07/16/2019,SALEF/Clinica Romero/El Rescate,Clinica Romero-Boyle Heights Office,4:00PM,8:00PM,English & Spanish,Free,"Citizenship workshop, appointment required","(213) 480-1052, ext. 102","2032 Marengo St
Los Angeles, CA 90033
(34.056649, -118.207437)"
07/16/2019,CARECEN,CARECEN Main Office,6:30PM,7:30PM,Spanish,Free,Know Yout Rights and Family Preparedness,(213) 385-7800 ext. 136,"2845 W 7th Street
Los Angeles, CA 90005
(34.059792, -118.285411)"
07/17/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Slauson Recreation Center,7:00PM,9:00PM,English & Spanish,Free,"Legal service providers will provide resources and information regarding Know Your Rights, immigration, expungement, public charge, guardianship, and more",MOIA at: (213) 978-0645,"5306 S Compton Ave
Los Angeles, CA 90011
(33.994756, -118.247761)"
07/20/2019,Los Angeles Public Library,Mid-Valley Regional Branch Library,2:00PM,5:30PM,English,Free,"Citizenship class, Saturday, 7/20-11/2",(213) 385-7800,"16244 Nordhoff St
North Hills, CA 91343
(34.235657, -118.48666)"
07/20/2019,"Catholic Charities of Los Angeles, Archidiocese of Los Angeles, & Burbank Housing Corporation",Burbank Housing Corporation,8:00AM,3:00PM,Spanish; Arabic; Farsi; Armenian; English,Free,Citizenship Workshop,"Appointment recommended, but not required. Walk-in are welcome. To register call (213)318-5713 or (213) 318-5729","1819 Grismer Ave
Burbank, CA 91504
(34.195243, -118.325535)"
07/24/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Van Ness Recreation Center,7:00PM,9:00PM,English & Spanish,Free,"Legal service providers will provide resources and information regarding Know Your Rights, immigration, expungement, public charge, guardianship, and more",MOIA at: (213) 978-0645,"5720 2nd Ave
Los Angeles, CA 90043
(33.990298, -118.319282)"
07/27/2019,Los Angeles Public Library,Vernon Branch Library,10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 7/27-9/28",(888) 839-8682,"4504 S Central Ave
Los Angeles, CA 90011
(34.002689, -118.256482)"
07/27/2019,Los Angeles Public Library,Pacoima Branch Library,10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 7/27-9/28",(888) 839-8682,"13605 Van Nuys Blvd
Pacoima, CA 91331
(34.261029, -118.429034)"
07/27/2019,Catholic Charities of Los Angeles,San Gabriel Mission High School,9:00AM,4:00PM,Spanish; Vitanamese ; Chinese; Arabic; Armenian; Farsi;  English,Free,"Citizenship Workshop, appointment recommended.","To register, please call 213-251-3484","254 S Santa Anita Street
San Gabirel, CA 91776
(34.098521, -118.107635)"
07/30/2019,SALEF/NEW Economics for Women/El Rescate,NEW Economics for Women Headquarters,6:00PM,8:00PM,English & Spanish,Free,"Citizenship workshop, appointment required","(213) 480-1052, ext. 102 OR (213) 480-1052, ext. 308","303 S Loma Dr
Los Angeles, CA 90017
(34.059534, -118.26593)"
07/31/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Jim Gilliam Recreation Center,7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources",MOIA at: (213) 978-0645,"4000 S La Brea Ave
Los Angeles, CA 90008
(34.012817, -118.35541)"
08/02/2019,"Mayor's Office of Immigrant Affairs, Para Los Niños, Bet Tzedek,",Para Los Niños: Gratts Primary Center,5:00PM,6:00PM,Spanish,Free,"Know Your Rights Workshop and Family Preparedness. Children are welcome and light refreshments will be served. There is limited parking, please plan accordingly.",Contact MOIA at (213) 978-0645 or Para Los Niños at (213) 413-1466 ext. 443,"474 Hartford Ave
Los Angeles, CA 90017
(34.056467, -118.263964)"
08/03/2019,Los Angeles Public Library,Exposition Park Regional Branch Library,2:30PM,5:00PM,"Spanish only, English exempt",Free,"Citizenship class, Saturday, 8/3-10/19",(213) 385-7800,"3900 S Western Ave
Los Angeles, CA 90062
(34.014404, -118.308909)"
08/07/2019,COFEM,YWCA GLA Walnut Park,9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,"7515 Pacific Boulevard Walnut Park
CA 90255"
08/09/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Costello Recreation Center,7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources",MOIA at: (213) 978-0645,"3141 E Olympic Blvd
Los Angeles, CA 90032
(34.020569, -118.211393)"
08/10/2019,Clergy and Laity United for Economic Justice (CLUE),Centro de Vida Victoriosa,10:00AM,1:00PM,Spanish,Free,Know Your Rights Workshop; TPS and DACA information will also be provided.,To RSVP please contact Juan Carlos (323)536-0916,"715 Brady Ave
Los Angeles, CA 90022
(34.018258, -118.137478)"
08/10/2019,Los Angeles Public Library,Junipero Serra Branch Library,10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 8/10-11/9",(213) 385-7800,"4607 S Main St
Los Angeles, CA 90037
(34.001719, -118.273971)"
08/10/2019,Catholic Charities of Los Angeles & Archdiocese of Los Angeles,Divine Saviour Catholic Church,9:00AM,3:00PM,Spanish; Arabic; Farsi; Tagalog; English,Free,"Citizenship Workshop, appointment recommended.","To register, please call 213-251-3484 or Veronica at (213) 251-3489.","610 Cypress Ave
Los Angeles, CA 90065
(34.088475, -118.222192)"
08/10/2019,COFEM,Casa Colima,9:00AM,3:00PM,English & Spanish,Free,Citizenship Clinic,COFEM at: (213) 417-8389,"3200 Mulford Ave
Lynwood, CA 90262
(33.927415, -118.212026)"
08/16/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Wilmington Recreation Center,7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources",MOIA at: (213) 978-0645,"325 N Neptune Ave
Wilmington, CA 90744
(33.773451, -118.268461)"
08/17/2019,COFEM,Los Angeles River State Park,8:00AM,5:00PM,Spanish,Free,"COPA COFEM: Conference on Health and Climate, includes panel discussion and recreational activities.",COFEM at: (213) 417-8389,"1900 N San Fernando Rd
Los Angeles, CA 90065
(34.100279, -118.23551)"
08/22/2019,COFEM,YWCA GLA Walnut Park,9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,"7515 Pacific Boulevard Walnut Park
CA 90255"
08/22/2019,Children's Institute & CARECEN,Watts Civic Center/Old Library,6:00PM,8:00PM,Spanish/English,Free,Know Yout Rights Presentation,To RSVP contact Gustavo Medrano at gmedrano@childrensinstitute.org or call 323-491-4595,"1501 E 103rd Street
Los Angeles, CA
(33.943265, -118.248151)"
08/22/2019,Boys & Girls Clubs of the Los Angeles Harbor; Office of Councilman Joe Buscaino,Boys and Girls Club of Wilmington,6:00PM,8:00PM,Spanish/English,Free,Know Yout Rights Presentation,,"1444 W Q Street
Wilmington, CA 90744
(33.794051, -118.281274)"
08/23/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Lemon Grove Recreation Center,7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources such as:  immigration, expungement, public charge, guardianship, and more",MOIA at: (213) 978-0645,"4959 Lemon Grove Ave
Los Angeles, CA 90029
(34.086251, -118.304471)"
08/24/2019,COFEM,Diana's Restaurant,9:00AM,3:00PM,English & Spanish,Free,Citizenship Clinic,COFEM at: (213) 417-8389,"6035 Pacific Blvd
Huntington Park, CA 90255
(33.986198, -118.225205)"
08/29/2019,SALEF; Clinica Romero; El Rescate,Clinica Monseñor Oscar A. Romero,4:00PM,8:00PM,English & Spanish,Free,Citizenship Workshop,Appointment is required. Contact Leonor at: (213) 480-1052 Ext. 102,"123 S Alvarado St
Los Angeles, CA 90057
(34.06591, -118.270789)"
08/31/2019,COFEM,Casa Colima,9:00AM,3:00PM,English & Spanish,Free,Citizenship Clinic,COFEM at: (213) 417-8389,"3200 Mulford Ave
Lynwood, CA 90262
(33.927415, -118.212026)"
09/05/2019,COFEM,YWCA GLA Walnut Park,9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,"7515 Pacific Boulevard Walnut Park
CA 90255"
09/21/2019,Catholic Charities of Los Angeles,Saint Joseph the Worker Church,9:00AM,3:00PM,English; Spanish; Farsi,Free,Citizenship Workshop,"To register, please call (213) 251-3484, (818) 342-4686, or (818) 621-7748.","19855 Sherman Way
Winnetka, CA 91306
(34.201138, -118.566273)"
09/23/2019,COFEM,YWCA GLA Walnut Park,9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,"7515 Pacific Boulevard Walnut Park
CA 90255"
09/28/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Wilshire Branch Library (Near Koreatown),10:00AM,1:30PM,English,Free,"Citizenship Classes, Saturdays, On-going; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","149 N Saint Andrews Pl
Los Angeles, CA 90004
(34.073819, -118.311366)"
10/01/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Panorama City Branch Library,5:30PM,7:30PM,English,Free,"Citizenship Classes, Tue. & Thurs., 10/1-11/26; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","14345 Roscoe Blvd
Panorama City, CA 91402
(34.221598, -118.446208)"
10/01/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Central Library (DTLA)/New Americans Center,5:00PM,7:00PM,English,Free,"Citizenship Classes, Tue. & Thurs., On-going; By appointment only; Students must have a green card - Pre-registration required.","To make an appointment, please call (213) 228-7390.","630 W 5th St
Los Angeles, CA 90071
(34.050931, -118.254965)"
10/01/2019,International Rescue Committee (IRC),Glendale Central Library,6:00PM,7:30PM,English,Free,"Citizenship Classes, Tue. & Thurs., Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","222 E Harvard St
Glendale, CA 91205
(34.14443, -118.253506)"
10/02/2019,International Rescue Committee (IRC),Library Connection @ Adams Square (Glendale),6:00PM,9:00PM,English,Free,"Citizenship Classes, Wednesdays, On-going; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","1100 E Chevy Chase Dr
Glendale, CA 91205
(34.133874, -118.241452)"
10/02/2019,International Rescue Committee (IRC),IRC Main Office,10:00AM,12:00PM,Armenian,Free,"Citizenship Classes, Mon. & Wed., 10/2-11/27; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","625 N Maryland Ave
Glendale, CA 91206
(34.155421, -118.253809)"
10/03/2019,COFEM,YWCA GLA Walnut Park,9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,"7515 Pacific Boulevard Walnut Park
CA 90255"
10/05/2019,Catholic Charities/Archdiocese of Los Angeles,Jesus Sacred Heart Church / Syriac Catholic Rite,9:00AM,2:00PM,Spanish; Arabic; Farsi; Armenian; English,Free,"Citizenship Application Assistance, appointment recommended, but not required. Walk-ins are welcome!",To Register: (213) 318-5713 or (213) 318-5729,"10837 Collins St North
Hollywood, CA 91601
(34.173986, -118.367558)"
10/05/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Pico Union Branch Library,10:00AM,1:30PM,English,Free,"Citizenship Classes, Saturdays, 10/5-12/14; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","1030 S Alvarado St
Los Angeles, CA 90006
(34.050903, -118.280371)"
10/05/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Cahuenga Branch Library,2:00PM,5:00PM,English,Free,"Citizenship Classes, Saturdays 10/5-12/14; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","4591 Santa Monica Blvd
Los Angeles, CA 90029
(34.090869, -118.28893)"
10/07/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Benjamin Franklin Library/New Americans Center,5:30PM,7:30PM,English,Free,"Citizenship Classes, Mon. & Tue., 10/7-12/17; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","2200 E 1st St
Los Angeles, CA 90033
(34.0444, -118.212268)"
10/09/2019,Children's Institute,Providence Little Company of Mary Wellness and Activity Center,6:00PM,7:30PM,English; Interpretation is available,Free,Know Your Rights Presentation; Food and child care will be provided.,"To RSVP, please contact Natalie Ortiz at nortiz@childrensinstitute.org or 323-491-5110.","470 N Hawaiian Ave
Wilmington, CA 90744
(33.774822, -118.276411)"
10/10/2019,International Rescue Committee (IRC)/Los Angeles Public Library,El Sereno Branch Library,5:00PM,7:30PM,English,Free,"Citizenship Classes, Thursdays, 10/10-12/5; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","5226 Huntington Dr
Los Angeles, CA 90032
(34.089494, -118.16855)"
10/10/2019,SALEF & Clinica Romero,Clinica Romero-Boyle Heights Office,4:00PM,8:00PM,English & Spanish,Free,"Citizenship workshop, appointment required","To register, please call Leonor at (213) 480-1052 ext. 102.","2032 Marengo Street
Los Angeles, CA 90033
(34.056649, -118.207437)"
10/12/2019,Catholic Charities/Archdiocese of Los Angeles,St. Joseph Catholic Church,9:00AM,2:00PM,Spanish; Farsi; English,Free,"Citizenship Workshop, appointment recommended.","To register, please call: 213-251-3485","218 East 12th Street
Los Angeles, CA 90015-2568
(34.036703, -118.257937)"
10/12/2019,SALEF,SALEF Main Office,10:00AM,2:00PM,English; Spanish,Free,Coffee with An Attorney,RSVP with Leonor Guzman at (213) 480-1052 ext. 102,"421 S Bixel Street
Los Angeles, CA 90017
(34.056023, -118.260716)"
10/12/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Vernon Branch Library,10:00AM,1:30PM,English,Free,"Citizenship Classes, Saturdays, 10/12-12/14; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","4504 S Central Ave
Los Angeles, CA 90011
(34.002689, -118.256482)"
10/12/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Mar Vista Branch Library,10:00AM,1:30PM,English,Free,"Citizenship Classes, Saturdays, 10/12-12/14; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","12006 Venice Blvd
Los Angeles, CA 90066
(34.006032, -118.429088)"
10/12/2019,International Rescue Committee (IRC)/Los Angeles Public Library,Pacoima Branch Library/New Americans Center,10:00AM,1:30PM,English,Free,"Citizenship Classes, Saturdays, 10/12-12/14; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","13605 Van Nuys Blvd
Pacoima, CA 91331
(34.261029, -118.429034)"
10/15/2019,International Rescue Committee (IRC),West Covina Library,5:00PM,7:30PM,English,Free,"Citizenship Classes, Tuesdays, 10/15-12/10; Students must have a green card - Pre-registration required.","To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.","1601 W West Covina Pkwy West
Covina, CA 91790
(34.070752, -117.940774)"
