Date of event,Organization,Site Name,Location,Start Time,End Time,Language,Free,Workshop,Contact,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
06/11/2019,Los Angeles Housing and Community Investment Department,South Office,"690 Knox St
Los Angeles, CA 90502
(33.854221, -118.287499)",10:00AM,11:00AM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,24685,,1708,798,,
06/13/2019,Los Angeles Housing and Community Investment Department,East Office,"2130 E 1st St
Los Angeles, CA 90033
(34.044735, -118.213384)",10:00AM,11:00AM,Spanish,Free,"Protecciones del inquilino por cuando se demuelen las propriedades de estabilizacion del alquiler (o propriedades bajo ""Ellis"" que son retiradas",Please RSVP at (213) 928-9075,23450,9,522,350,,38
06/12/2019,Los Angeles Housing and Community Investment Department,Cahuenga Public Library,"4591 Santa Monica Blvd
Los Angeles, CA 90029
(34.090869, -118.28893)",10:00AM,11:00AM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,23447,8,435,631,16,58
06/27/2019,Los Angeles Housing and Community Investment Department,Downtown (Garland) Office,"1200 W 7th St
Los Angeles, CA 90017
(34.051395, -118.265556)",6:30PM,7:30PM,Spanish,Free,"Protecciones del inquilino por cuando se demuelen las propriedades de estabilizacion del alquiler (o propriedades bajo ""Ellis"" que son retiradas",Please RSVP at (213) 928-9075,23078,11,567,1378,54,76
06/19/2019,Los Angeles Housing and Community Investment Department,Downtown (Garland) Office,"1200 W 7th St
Los Angeles, CA 90017
(34.051395, -118.265556)",6:30PM,7:30PM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,23078,11,567,1378,54,76
06/20/2019,Los Angeles Housing and Community Investment Department,North (Valley) Office,"6400 Laurel Canyon Blvd
Los Angeles, CA 91606",10:30AM,11:30AM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,,,,,,
06/26/2019,Los Angeles Housing and Community Investment Department,West LA Office,"1645 Corinth Ave
Los Angeles, CA 90025
(34.045423, -118.448953)",10:30AM,11:30AM,English,Free,"Tenant protections when rent stabilization properties are demolished or withdrawn (""Ellis"" withdrawals)",Please RSVP at (213) 928-9075,23443,10,861,746,9,50
07/01/2019,Program for Torture Victims (PTV),PTV LA Office,"3550 Wilshire Blvd
Los Angeles, CA
(34.061737, -118.302322)",3:00PM,4:00PM,English & Spanish,Free,Know Your Rights Workshop,"Space is limited, please RSVP first by email at ktwan@ptvla.org or call (213)384-4788.",22726,12,591,638,,89
07/08/2019,Program for Torture Victims (PTV),PTV LA Office,"3550 Wilshire Blvd
Los Angeles, CA
(34.061737, -118.302322)",3:00PM,4:00PM,English & Spanish,Free,Know Your Rights Workshop,"Space is limited, please RSVP first by email at ktwan@ptvla.org or call (213)384-4788.",22726,12,591,638,,89
09/02/2020,Catholic Charities of Los Angeles,Online: Click here to register,,4:00PM,5:00PM,Spanish,Free,Virtual Public Charge information session. You will have an opportunity to ask questions and register for a free phone consultation.,,,,,,,
09/02/2020,Catholic Charities of Los Angeles,Online: Click here to register,,2:00PM,3:00PM,English,Free,Virtual Citizenship information session. You will have an opportunity to ask questions and register for a free phone consultation.,,,,,,,
09/02/2020,Catholic Charities of Los Angeles,Online: Click here to register,,10:00AM,11:00AM,English,Free,Virtual Public Charge information session. You will have an opportunity to ask questions and register for a free phone consultation.,,,,,,,
09/17/2020,Catholic Charities of Los Angeles,Catholic Charities of Los Angeles,"1530 James M Wood Blvd
Los Angeles, CA 90015
(34.050534, -118.272477)",8:30AM,4:00PM,English,Free,Drop-in event to provide information on the pathway to Citizenship. Guests will receive take-home materials and a free tote bag. This is a walk-in (in-person) event. *Masks and temperature checks are required* Space is limited.,"For more information, please call (213) 251-3411.",23076,11,568,1378,,68
02/01/2020,Catholic Charities of Los Angeles,Pasadena Library,"285 E Walnut Street
Pasadena, CA 91101
(34.149519, -118.144339)",10:00AM,2:00PM,English; Spanish; Arabic; Farsi; Armenian,Free,"Citizenship Workshop, appointment recommended.","To register, please call (213) 318-5713 or email SYaghazarian@ccharities.org.",3224,,1362,,,
07/12/2019,Los Angeles Public Library,Chinatown Branch Library,"639 N Hill St
Los Angeles, CA 90012
(34.060176, -118.240947)",10:30AM,12:30PM,Chinese & English,Free,"Citizenship class, Wednesday & Friday, from 7/12-9/25",(800) 520-2356,22728,11,539,449,,28
07/20/2019,Los Angeles Public Library,Mid-Valley Regional Branch Library,"16244 Nordhoff St
North Hills, CA 91343
(34.235657, -118.48666)",2:00PM,5:30PM,English,Free,"Citizenship class, Saturday, 7/20-11/2",(213) 385-7800,18914,2,118,256,,88
07/02/2019,Los Angeles Public Library,Central Branch Library,"630 W 5th St
Los Angeles, CA 90071
(34.050931, -118.254965)",5:00PM,7:00PM,English,Free,"Interview tutoring session, by appointment only, Tuesday & Thursday, from 7/2 to 9/26",(888) 839-8682,24035,9,545,733,,76
07/27/2019,Los Angeles Public Library,Pacoima Branch Library,"13605 Van Nuys Blvd
Pacoima, CA 91331
(34.261029, -118.429034)",10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 7/27-9/28",(888) 839-8682,18907,1,28,408,,11
05/25/2019,Los Angeles Public Library,Sun Valley Branch Library,"7935 Vineland Ave
Sun Valley, CA 91352
(34.214925, -118.370331)",9:30AM,1:00PM,English,Free,"Citizenship class, Saturday, 5/25-8/24",(213) 385-7800,19335,3,165,1249,,21
07/12/2019,Los Angeles Public Library,Platt Branch Library,"23600 Victory Blvd
Woodland Hills, CA 91367
(34.186597, -118.641938)",9:30AM,12:30PM,Farsi & English,Free,"Citizenship class, Friday, 7/12-9/27",(818) 616-3091,19347,4,301,1479,,49
08/03/2019,Los Angeles Public Library,Exposition Park Regional Branch Library,"3900 S Western Ave
Los Angeles, CA 90062
(34.014404, -118.308909)",2:30PM,5:00PM,"Spanish only, English exempt",Free,"Citizenship class, Saturday, 8/3-10/19",(213) 385-7800,24027,14,731,1016,7,32
07/06/2019,Los Angeles Public Library,Wilshire Branch Library,"149 North Saint Andrews Place
Los Angeles, CA 90004
(34.073819, -118.311366)",10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 7/6-9/28",(888) 839-8682,22721,7,587,848,,86
07/10/2019,Los Angeles Public Library,Pio Pico Koreatown Branch Library,"694 S Oxford Ave
Los Angeles, CA 90005
(34.060041, -118.307829)",1:00PM,3:00PM,English,Free,"Citizenship class, Monday & Wednesday, 7/10-9/25",(800) 867-3650,22726,12,609,638,,89
08/10/2019,Los Angeles Public Library,Junipero Serra Branch Library,"4607 S Main St
Los Angeles, CA 90037
(34.001719, -118.273971)",10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 8/10-11/9",(213) 385-7800,22727,13,737,1342,7,
07/09/2019,Los Angeles Public Library,West L.A. Regional Branch Library,"11350 Santa Monica Blvd
Los Angeles, CA 90025
(34.046002, -118.450234)",10:00AM,12:30PM,Farsi & English,Free,"Citizenship class, Tuesday, 7/9-9/24",(818) 616-3091,23443,10,861,1380,9,50
06/15/2019,Los Angeles Public Library,R.L. Stevenson Branch Library,"803 Spence St
Los Angeles, CA 90023
(34.02755, -118.197954)",10:00AM,12:30PM,"Spanish only, English exempt",Free,"Citizenship class, Saturday, 6/15-9/17, 9/7-11/16",(213) 385-7800,23441,9,525,352,,38
07/13/2019,Los Angeles Public Library,Mar Vista Branch Library,"12006 CA
Los Angeles, CA 90066",10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 7/13-8/21",(888) 839-8682,,,,,,
07/09/2019,SALEF/Clinica Romero/El Rescate,Cilinica Romero-Boyle Heights Office,"2032 Marengo St
Los Angeles, CA 90033
(34.056649, -118.207437)",3:00PM,,English & Spanish,Free,Immigration Forum and Know Your Rights workshop,"(213) 989-7700, ext. 2836",23450,9,510,488,,1
07/11/2019,SALEF/Clinica Romero/El Rescate,Clinica Romero-Pico Union Office,"123 S Alvarado St
Los Angeles, CA 90057
(34.06591, -118.270789)",4:00PM,8:00PM,English & Spanish,Free,"Citizenship workshop, appointment required","(213) 989-7700, ext. 2856 OR (213) 480-1052, ext. 102",24352,8,551,518,,67
07/16/2019,SALEF/Clinica Romero/El Rescate,Clinica Romero-Boyle Heights Office,"2032 Marengo St
Los Angeles, CA 90033
(34.056649, -118.207437)",4:00PM,8:00PM,English & Spanish,Free,"Citizenship workshop, appointment required","(213) 480-1052, ext. 102",23450,9,510,488,,1
07/30/2019,SALEF/NEW Economics for Women/El Rescate,NEW Economics for Women Headquarters,"303 S Loma Dr
Los Angeles, CA 90017
(34.059534, -118.26593)",6:00PM,8:00PM,English & Spanish,Free,"Citizenship workshop, appointment required","(213) 480-1052, ext. 102 OR (213) 480-1052, ext. 308",23078,11,566,836,,67
01/22/2020,Catholic Charities of Los Angeles,Catholic Charities of Los Angeles,"1530 James M Wood Blvd
Los Angeles, CA 90015
(34.050534, -118.272477)",12:30PM,3:30PM,English; Spanish; Mandarin,Free,"Citizenship Classes for those taking the test in English, Wednesdays, 1/22-4/8.","To register, please call (213) 251-3484 or email nmiceli@ccharities.org.",23076,11,568,1378,,68
02/22/2020,Catholic Charities of Los Angeles,Resurrection Church,"3324 East Opal Street
Los Angeles, CA 90023
(34.022949, -118.205644)",9:00AM,3:00PM,English & Spanish,Free,"DACA Workshop, appointment recommended.","To register, please call (213) 251-3484 or email GCebrero@ccharities.org.",23441,9,526,959,,38
01/22/2020,Catholic Charities of Los Angeles,Temple Judea,"5429 Lindley Ave
Tarzana, CA 91356
(34.168826, -118.527276)",7:00PM,9:00PM,English,Free,"Citizenship Classes for those taking the test in English, Wednesdays, 1/22 - 3/25.","To register, please call (213) 700-9363 or email nmiceli@ccharities.org.",19339,4,322,587,,10
07/10/2019,Central City Neighborhood Partners (CCNP) & Mayor's Office of Immigrant Affairs,Central City Neighborhood Partners (CCNP),"501 South Bixel Street
Los Angeles, CA 90017
(34.05469, -118.261532)",10:00AM,11:00AM,Spanish,Free,Know Your Rights Workshop,CCNP at: (213) 482-8618 or MOIA at: (213) 978-0645,23078,11,567,847,54,76
07/10/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Montecito Heights Recreation Center,"4545 Homer Street
Los Angeles, CA 90031
(34.094817, -118.203532)",7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources",MOIA at: (213) 978-0645,23448,11,490,606,,92
02/29/2020,Catholic Charities of Los Angeles,Our Lady of Grace Church,"5011 White Oak Avenue
Encino, CA 91316
(34.160417, -118.518573)",10:00AM,3:00PM,English; Spanish; Arabic; Farsi; Armenian,Free,"Citizenship Workshop, appointment recommended.","To register, please call (213) 251-3484 or email GCebrero@ccharities.org.",4286,6,325,328,,62
01/24/2020,Catholic Charities of Los Angeles,BPACE,"4640 Maine Ave
Baldwin Park, CA 91706
(34.096708, -117.960501)",8:00AM,12:00PM,English & Spanish,Free,"Citizenship Classes for those taking the test in English, Fridays, 1/24 - 4/10.","To register, please call (213) 251-3484 or email nmiceli@ccharities.",8895,,1179,,,
02/01/2020,CARECEN-LA and Mayor's Office of Immigrant Affairs,CARECEN-LA,"2845 W 7th St
Los Angeles, CA 90005
(34.059792, -118.285411)",9:00AM,1:00PM,English & Spanish,Free,"Citizenship Workshop, by appointment only.","To register, please call (213) 814-5248.",22722,11,601,754,,63
08/09/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Costello Recreation Center,"3141 E Olympic Blvd
Los Angeles, CA 90032
(34.020569, -118.211393)",7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources",MOIA at: (213) 978-0645,23441,9,530,961,,38
08/16/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Wilmington Recreation Center,"325 N Neptune Ave
Wilmington, CA 90744
(33.773451, -118.268461)",7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources",MOIA at: (213) 978-0645,3350,15,966,1560,,15
07/17/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Slauson Recreation Center,"5306 S Compton Ave
Los Angeles, CA 90011
(33.994756, -118.247761)",7:00PM,9:00PM,English & Spanish,Free,"Legal service providers will provide resources and information regarding Know Your Rights, immigration, expungement, public charge, guardianship, and more",MOIA at: (213) 978-0645,22727,13,722,983,7,51
08/23/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Lemon Grove Recreation Center,"4959 Lemon Grove Ave
Los Angeles, CA 90029
(34.086251, -118.304471)",7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources such as:  immigration, expungement, public charge, guardianship, and more",MOIA at: (213) 978-0645,23447,8,438,242,,57
07/24/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Van Ness Recreation Center,"5720 2nd Ave
Los Angeles, CA 90043
(33.990298, -118.319282)",7:00PM,9:00PM,English & Spanish,Free,"Legal service providers will provide resources and information regarding Know Your Rights, immigration, expungement, public charge, guardianship, and more",MOIA at: (213) 978-0645,23674,14,752,1046,7,24
07/20/2019,"Catholic Charities of Los Angeles, Archidiocese of Los Angeles, & Burbank Housing Corporation",Burbank Housing Corporation,"1819 Grismer Ave
Burbank, CA 91504
(34.195243, -118.325535)",8:00AM,3:00PM,Spanish; Arabic; Farsi; Armenian; English,Free,Citizenship Workshop,"Appointment recommended, but not required. Walk-in are welcome. To register call (213)318-5713 or (213) 318-5729",20148,,1038,50,,
07/31/2019,Office of Mayor Eric Garcetti; Gang Reduction and Youth Development (GYRD)--Summer Night Lights,Jim Gilliam Recreation Center,"4000 S La Brea Ave
Los Angeles, CA 90008
(34.012817, -118.35541)",7:00PM,9:00PM,English & Spanish,Free,"Know Your Rights Workshop, other information and resources",MOIA at: (213) 978-0645,22725,12,,1029,7,54
07/07/2019,"City of LA Board of Public Works, Mayor's Office of Immigrant Affairs, and Target",MacArthur Park- Levvit Pavilion,"2230 W 6th St
Los Angeles, CA 90057
(34.060206, -118.276395)",4:00PM,7:00PM,English & Spanish,Free,Gusto Guatemalteco is a festival featuring some of the best traditional and contemporary music and dance talent Los Angeles has to offer.,RSVP Link: http://concerts.levittlosangeles.org/events/2019/7/7/gusto-guatemalteco,24352,11,559,884,,63
07/27/2019,Catholic Charities of Los Angeles,San Gabriel Mission High School,"254 S Santa Anita Street
San Gabirel, CA 91776
(34.098521, -118.107635)",9:00AM,4:00PM,Spanish; Vitanamese ; Chinese; Arabic; Armenian; Farsi;  English,Free,"Citizenship Workshop, appointment recommended.","To register, please call 213-251-3484",10137,,1415,,,
08/10/2019,Catholic Charities of Los Angeles & Archdiocese of Los Angeles,Divine Saviour Catholic Church,"610 Cypress Ave
Los Angeles, CA 90065
(34.088475, -118.222192)",9:00AM,3:00PM,Spanish; Arabic; Farsi; Tagalog; English,Free,"Citizenship Workshop, appointment recommended.","To register, please call 213-251-3484 or Veronica at (213) 251-3489.",24030,11,381,1365,,94
07/16/2019,CARECEN,CARECEN Main Office,"2845 W 7th Street
Los Angeles, CA 90005
(34.059792, -118.285411)",6:30PM,7:30PM,Spanish,Free,Know Yout Rights and Family Preparedness,(213) 385-7800 ext. 136,22722,11,601,754,,63
08/02/2019,"Mayor's Office of Immigrant Affairs, Para Los Niños, Bet Tzedek,",Para Los Niños: Gratts Primary Center,"474 Hartford Ave
Los Angeles, CA 90017
(34.056467, -118.263964)",5:00PM,6:00PM,Spanish,Free,"Know Your Rights Workshop and Family Preparedness. Children are welcome and light refreshments will be served. There is limited parking, please plan accordingly.",Contact MOIA at (213) 978-0645 or Para Los Niños at (213) 413-1466 ext. 443,23078,11,565,1047,54,67
01/25/2020,Catholic Charities of Los Angeles,Glendale Central Library - TechSpace,"222 E Harvard St
Glendale, CA 91205
(34.14443, -118.253506)",9:00AM,12:00PM,English; Armenian; Farsi; Arabic,Free,"Citizenship Classes, for those taking the test in English, Saturdays, 1/25-5/2.","To register, please call (213) 251-3484 or email nmiceli@ccharities.org.",3632,,1023,,,
01/21/2020,Catholic Charities of Los Angeles,Mi Casa es Puebla,"328 S Indiana St
Los Angeles, CA 90063
(34.032504, -118.192375)",5:00PM,8:00PM,English & Spanish,Free,"Citizenship Classes for those taking the test in English, Tuesdays, 1/21 - 2/25.","To register, please call (213) 251-3484 or email nmiceli@ccharities.org.",24028,9,516,956,,38
08/17/2019,COFEM,Los Angeles River State Park,"1900 N San Fernando Rd
Los Angeles, CA 90065
(34.100279, -118.23551)",8:00AM,5:00PM,Spanish,Free,"COPA COFEM: Conference on Health and Climate, includes panel discussion and recreational activities.",COFEM at: (213) 417-8389,24030,11,392,1430,,94
08/10/2019,COFEM,Casa Colima,"3200 Mulford Ave
Lynwood, CA 90262
(33.927415, -118.212026)",9:00AM,3:00PM,English & Spanish,Free,Citizenship Clinic,COFEM at: (213) 417-8389,24691,,1660,,,
08/24/2019,COFEM,Diana's Restaurant,"6035 Pacific Blvd
Huntington Park, CA 90255
(33.986198, -118.225205)",9:00AM,3:00PM,English & Spanish,Free,Citizenship Clinic,COFEM at: (213) 417-8389,24689,,1573,,,
10/12/2019,Catholic Charities/Archdiocese of Los Angeles,St. Joseph Catholic Church,"218 East 12th Street
Los Angeles, CA 90015-2568
(34.036703, -118.257937)",9:00AM,2:00PM,Spanish; Farsi; English,Free,"Citizenship Workshop, appointment recommended.","To register, please call: 213-251-3485",23076,9,547,773,,76
10/19/2019,Catholic Charities/Archdiocese of Los Angeles,St. Benedict Church,"1022 W Cleveland Ave
Montebello, CA 90640
(34.012809, -118.111661)",9:00AM,2:00PM,Spanish; Farsi; English,Free,"Citizenship Workshop, appointment recommended. To register, please call: 213-251-3486","To register, please call: 213-251-3485",25733,,1528,127,,
08/31/2019,COFEM,Casa Colima,"3200 Mulford Ave
Lynwood, CA 90262
(33.927415, -118.212026)",9:00AM,3:00PM,English & Spanish,Free,Citizenship Clinic,COFEM at: (213) 417-8389,24691,,1660,,,
08/07/2019,COFEM,YWCA GLA Walnut Park,"7515 Pacific Boulevard Walnut Park
CA 90255",9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,,,,,,
08/22/2019,COFEM,YWCA GLA Walnut Park,"7515 Pacific Boulevard Walnut Park
CA 90255",9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,,,,,,
09/05/2019,COFEM,YWCA GLA Walnut Park,"7515 Pacific Boulevard Walnut Park
CA 90255",9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,,,,,,
09/23/2019,COFEM,YWCA GLA Walnut Park,"7515 Pacific Boulevard Walnut Park
CA 90255",9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,,,,,,
10/03/2019,COFEM,YWCA GLA Walnut Park,"7515 Pacific Boulevard Walnut Park
CA 90255",9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,,,,,,
10/17/2019,COFEM,YWCA GLA Walnut Park,"7515 Pacific Boulevard Walnut Park
CA 90255",9:00AM,11:00AM,Spanish,Free,Workshop: Become a civic promoter by learning tools to help organize and mobilize your community.,COFEM at: (213) 440-2751 or lvalenzuela@cofem.org,,,,,,
08/29/2019,SALEF; Clinica Romero; El Rescate,Clinica Monseñor Oscar A. Romero,"123 S Alvarado St
Los Angeles, CA 90057
(34.06591, -118.270789)",4:00PM,8:00PM,English & Spanish,Free,Citizenship Workshop,Appointment is required. Contact Leonor at: (213) 480-1052 Ext. 102,24352,8,551,518,,67
08/22/2019,Children's Institute & CARECEN,Watts Civic Center/Old Library,"1501 E 103rd Street
Los Angeles, CA
(33.943265, -118.248151)",6:00PM,8:00PM,Spanish/English,Free,Know Yout Rights Presentation,To RSVP contact Gustavo Medrano at gmedrano@childrensinstitute.org or call 323-491-4595,22351,15,820,1182,7,40
08/22/2019,Boys & Girls Clubs of the Los Angeles Harbor; Office of Councilman Joe Buscaino,Boys and Girls Club of Wilmington,"1444 W Q Street
Wilmington, CA 90744
(33.794051, -118.281274)",6:00PM,8:00PM,Spanish/English,Free,Know Yout Rights Presentation,,3350,15,955,1199,,15
