"reg_no","current_premise_name","category","premise_address","suburb","registration_holder_name","radiation_licence","conditions","registration_expiry_date"
"VP050","Capital Veterinary Hospital","4 - Veterinary Hospital","Unit 8, 67 Townsend Street","PHILLIP","Dr Ali Ashrafi","Yes","false","2023-06-30T00:00:00.000"
"VP051","Vets at Amaroo","4 - Veterinary Hospital","Unit 1, 2 Emerald Way","AMAROO","Vetpartners Australia Pty Ltd
Dr Brett Hodgkin","Yes","false","2023-06-30T00:00:00.000"
"VP052","All Creatures Belconnen T/A Advanced Veterinary Imaging Canberra & Belconnen Veterinary Centre","4 - Veterinary Hospital","Unit 2, 30 Totterdell Street","BELCONNEN","Dr Eamon Ryan","Yes","false","2023-06-30T00:00:00.000"
"VP054","Canberra Veterinary Emergency Services","4 - Veterinary Hospital","21 Crinigan Circle","GUNGAHLIN","Dr Tracy Hughes","Yes","false","2023-06-30T00:00:00.000"
"VP056","National Zoo & Aquarium Vet Clinic","2 - Veterinary Clinic","999 Lady Denman Drive","WESTON CREEK","Mr Richard Tindale","Yes","false","2023-06-30T00:00:00.000"
"VP057","The Foreshore Vet","2 - Veterinary Clinic","UG 12/1 The Causeway","KINGSTON","Dr Tanya Caltabiano
Andrew Jolley","No","false","2023-06-30T00:00:00.000"
"VP058","Canine Rehabilitation Canberra","1 - Veterinary Consulting Room","42 Mugga Way","RED HILL","Dr Rosemary Hassett
Mr Timothy Swain","N/A","false","2023-06-30T00:00:00.000"
"VP059","Animal Referral Hospital Canberra","4 - Veterinary Hospital","364 Fairbairn Avenue","PIALLIGO","Dr Jacob Michelsen","Awaiting certificate","false","2023-06-30T00:00:00.000"
"VP060","Melba Veterinary Clinic","2 - Veterinary Clinic","Shop 1, 4 Melba Court","MELBA","Dr Jasmine Hammond                             Mr Henry Gregory","Awaiting certificate","false","2023-06-30T00:00:00.000"
"VP061","The Unusual Pet Vets Canberra","2 - Veterinary Clinic","Unit 1 and 2, 107-109 Wollongong Street","FYSHWICK","Dr Daniella Hsu
Dr James Haberfield
Dr Hamish Baron","Awaiting certificate","false","2023-06-30T00:00:00.000"
"VP062","Kent Street Veterinary Practice","2 - Veterinary Clinic","49 Kent Street","DEAKIN","Dr Nonna Sulieva-Green","Yes","false","2023-06-30T00:00:00.000"
