"id","title","description","constructionflag","department","type","google_event_id","primarycontact","start","end","rrule","geography","geography_description","created","updated"
"12",,"S Laura Way from S Jamie Ln to S Bainbridge Dr
April 30, 2013
Closed to thru traffic, signage in place
The City of Bloomington Street Department has scheduled a milling project
If you have any questions, please contact Street Department at 812-349-3448","true","Street",,"m7g3o1atg9c5inh7bnv7u949k4",,"2013-04-30T00:00:00.000","2013-05-01T00:00:00.000",,,"S Laura Way from S Jamie Ln to S Bainbridge Dr","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"13",,"BPW approved closure on 3-26-13
Kirkwood Ave from Grant Street to Indiana Ave
Indiana Ave from Kirkwood Ave to 7th St
7th St from Indiana Ave to and Dunn St
Dunn St from 7th St to 6th St
6th St from Dunn St to Grant St
Grant St from 6th St to Kirkwood Ave","true","Public Works",,"om1pf1nbrhctn0l9vlbo897q58",,"2013-07-27T00:00:00.000","2013-07-28T00:00:00.000",,,"2:00 PM to 9:00 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"14",,"BPW approved closure on 1-29-13
August 31, 2013 to September 1, 2013 from 5:00 PM on 8/31/13 to Midnight on 9/1/13
E 4th St from N Lincoln St to N Indiana Ave
N Grant St from E 3rd St to E Kirkwood Ave
N Dunn St from E 35rd St to E Kirkwood Ave
4th Street","true","Public Works",,"cd0grebuqum9cm088qgrj6o8ao",,"2013-08-31T00:00:00.000","2013-09-02T00:00:00.000",,,"5:00 PM on 8/30/13 to Midnight on 9/1/13","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"15",,"BPW approved noise permit on 2-26-13
August 30, 2013 to September 1, 2013 from 10:00 AM to 8:00 PM
Waldron, Hill & Buskirk Park
Parking Spaces: 7 on Lincoln St from 8:00 AM to 6:00 PM for food cart
Sponsor: Chris Martin, 339-2805","true","Public Works","Noise Permit","43n9umo68l4tko6gds1ue5vf5o",,"2013-08-30T00:00:00.000","2013-09-02T00:00:00.000",,,"10:00 AM to 8:00 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"16",,"S Walnut Street Pike from E Heather Dr to E Burks Dr
April 30, 2013
Closed to thru traffic, signage in place, from 7:30 AM to 3:30 PM
The City of Bloomington Utilities Department has scheduled a storm water project, weather permitting.
If you have any que","true","Street",,"c8vn98l2mjpvn555ront9n6n8c",,"2013-04-30T00:00:00.000","2013-05-01T00:00:00.000",,,"7:30 AM to 3:30 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"17",,"North Fee Lane from East 10th Street to East Law Lane
January 1, 2013 to August 1, 2013
NORTHBOUND LANE CLOSED; expect to detour, signage and detour route in place.
Indiana University has construction work being done on the IU Kelly School of Business bui","true",,,"ah284kfrrsmuubdnoq2h785bu8",,"2013-04-22T00:00:00.000","2013-08-02T00:00:00.000",,,"N. Fee Ln from E 10th St to E Law Ln","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"18",,"East Wexley Road from Caradon Drive to Kensington Place
May 6, 2013 thru May 10, 2013
Road closed; expect to detour, signage in place.
The City of Bloomington Utilities Department has a storm water project scheduled from approximately 7:30 a.m. to 3:30 p.","true","Utilities","Lane Restriction","n7insifekrbhoa94veaflri44c",,"2013-05-06T00:00:00.000","2013-05-11T00:00:00.000",,,"E Wexley Rd from E Caradon Hill to E Kensington Place","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"19",,"North Smith Road from East 10th Street to East Grandview Drive
May 7, 2013 thru May 8, 2013 
Lane restriction; expect delays, signage in place.
The City of Bloomington Street Department has scheduled a street resurfacing project from approximately 6:30 a.","true","Street","Lane Restriction","q0p8r45u8vlgtk2182or10md54",,"2013-05-07T00:00:00.000","2013-05-09T00:00:00.000",,,"N. Smith Road from E. 10th St. to E. Grandview Dr.","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"20",,"South Smith Road from East Brighton Crest to East Moore’s Pike
May 9, 2013 thru May 10, 2013 
Lane restriction; expect delays, signage in place.
The City of Bloomington Street Department has scheduled a street resurfacing project from approximately 6:30 a","true","Street","Lane Restriction","tcjj1i6rrpiuh56h996r0l247g",,"2013-05-09T00:00:00.000","2013-05-11T00:00:00.000",,,"S. Smith Rd. from E. Brighton Crest to E. Moore's Pike","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"21",,"South Walnut Street Pike from East Allendale Drive to East Heather Drive
May 6, 2013 
Lane restriction; expect delays, signage in place.
The City of Bloomington Street Department has scheduled a street resurfacing project from approximately 6:30 a.m. to 2","true","Street","Lane Restriction","r2h7kv7486in1aa43d2m2gnvek",,"2013-05-06T00:00:00.000","2013-05-07T00:00:00.000",,,"S. Walnut Street Pike from E. Allendale Dr. to E. Heather Dr.","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"22",,"West 4th Street from South College Avenue to B-Line Trail
May 7, 2013 thru May 9, 2013
Road closed; expect to detour, signage in place.
HIS Contractors has scheduled road work in this area.  If you have any questions, please contact City Engineering at 34","true",,,"4r27jtknd0b25gcje5t26an98c",,"2013-05-07T00:00:00.000","2013-05-10T00:00:00.000",,,"Line Trail","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"551",,"200 N College
9/13-9/14/14
5:00 pm - 12:00 pm
211A & B","true",,"Reserved Meter","de0g5pl76takdmk9a5n0klh6hk",,"2014-09-13T17:00:00.000","2014-09-14T12:00:00.000",,,"200 N College 211A & B","2015-09-03T09:03:54.000","2015-09-03T09:03:54.000"
"23",,"BPW approved the closure of 7 parking spaces on 1-29-13 (Res 2013-07)
Strawberry Festival held on Court House Square
Kirkwood Ave from Walnut St to College Ave
May 9, 2013 from 5:00 AM to 4:00 PM
Certificate of Insurance on file
See attachment for further","true","Public Works",,"8kb1nbsn1jr2dgkbbemuir2j9o",,"2013-05-09T00:00:00.000","2013-05-10T00:00:00.000",,,"5:00 AM to 4:00 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"24",,"BPW approved noise permit on 4-23-13
WFHB Acoustic Roots Festival
May 11, 2013 from 3:00 PM to 11:00 PM
Upland Brewing Company, 350 W 11th Street","true","Public Works","Noise Permit","cp939q0u66lpof7fhe1363vcrk",,"2013-05-11T00:00:00.000","2013-05-12T00:00:00.000",,,"3:00 PM to 11:00 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"25",,"BPW approved noise permit on 3-26-13
Lotus Concert
May 16, 2013 from 7:00 PM to 9:00 PM
Waldron, Hill, & Buskirk Park
Sponsor:Lotus Education & Arts
Contact:  Loraine Martin (812-336-6599)","true","Public Works","Noise Permit","nve85cg8hk4998upgvabt61tho",,"2013-05-16T00:00:00.000","2013-05-17T00:00:00.000",,,"7:00 PM to 9:00 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"26",,"BPW approved closure on 4-19-13
N. Madison St from W. 6th St to East-West Alley south of W. 7th St 
National Bike to Work Party
May 17, 2013 from 3:00 PM to 10:00 PM
Sponsor:  Bloomingfoods
Resolution: 2013-30","true","Public Works",,"aoa50hm4ermtlp5n3v6fushsak",,"2013-05-17T00:00:00.000","2013-05-18T00:00:00.000",,,"3:00 PM to 10:00 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"27",,"BPW approved noise permit on 3-26-13
Clips Beer & Film Tour
Bryan Park from 7:00 AM to 11:00 PM
Sponsor:  New Belgium Brewing
Contact:  Jesse Claeys (712-989-9858)","true","Public Works","Noise Permit","2i9vem03g646btctp4m996arso",,"2013-05-31T00:00:00.000","2013-06-01T00:00:00.000",,,"7:00 PM to 11:00 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"28",,"BPW approved use of public streets on 4-23-13
Jill Behrman 5K Run
October 12, 2013 from 10:30 AM to Noon
N. Fee Lane, E. 7th Street, N. Indiana Avenue, N. Union Street, E. 10th Street
See attached map for route","true","Public Works",,"l964umd3rfm4t47us1gg77ebnc",,"2013-10-12T00:00:00.000","2013-10-13T00:00:00.000",,,"10:30 AM to Noon","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"29",,"West 8th Street at north Adams Street
Lane restriction, signage and traffic control personnel in place
City of Bloomington Utilities Department has scheduled a water project, weather permitting, from 7:30 a.m. to 3:30 p.m.
If you have questions concerning","true","Utilities","Lane Restriction","h9tgetug8jjrmgc370ciieebt4",,"2013-05-07T00:00:00.000","2013-05-08T00:00:00.000",,,"W 8th St at N Adams St","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"30",,"BPW approved street closure on 2-12-13
W 6th Street from N College Avenue to N Walnut Street
June 22, 2013 to June 24, 2013 from 2:00 PM to 8:00 AM
Arts Fair on the Square
Parking Spaces: 6, 3 for College and 3 for Walnut
Hold Harmless: Required
Insurance","true","Public Works",,"2metcujtrlbh69vhc05j8ugc14",,"2013-06-22T00:00:00.000","2013-06-25T00:00:00.000",,,"Arts Fair on the Square","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"31",,"BPW Approved:  5/7/13
Sunday, June 23, 2013 from 1:00 pm to 5:00 pm
Cascades Park Sycamore Shelter
Amplified instrumental music
Contact:  Jody Chatelain
812-606-3615
jody.chatelain@centerstone.org","true","Public Works","Noise Permit","g4r5ki2gg5j610es1t9bkmemu4",,"2013-06-23T00:00:00.000","2013-06-24T00:00:00.000",,,"Recovery Fest 2013","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"32",,"BPW approved resolution 2013-33 on 5/7/13
Lemonade Day
Saturday, 5/18/13 from 10 am to 5:00 am
Temporary sidewalk encroachment throughout community for stands
Contact:  Boys and Girls Club of Bloomington","true","Public Works","Sidewalk","8p36f8l4apm32u8ej9oukatq4k",,"2013-05-18T00:00:00.000","2013-05-19T00:00:00.000",,,"Lemonade Day","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"33",,"BPW approved resolution 2013-32 on 5/7/13
Closed:  N. Summit Street between W. 13th Street and N. Monroe Street
Bloomington Housing Authority Family Day
Wednesday, 5/29 from 3:00 pm to 7:00 pm
Noise Permit to allow amplified music and announcements during","true","Public Works",,"o58kta7p6f5t67mfg9vhaaddmg",,"2013-05-29T00:00:00.000","2013-05-30T00:00:00.000",,,"Bloomington Housing Authority Family Day","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"34",,"BPW approved resolution 2013-34 on 5-7-13
Taste of Bloomington, Saturday, 6/22
Multiple Closures prior to and during the event.
Noise permit approved for live music during the event

N. Morton Street from W. 7th St to W. 10th St, Closed, from 10:00 pm on","true","Public Works",,"6h7tvceg73q9i5mpmhafj4a72g",,"2013-06-21T00:00:00.000","2013-06-24T00:00:00.000",,,"Taste of Bloomington","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"35",,"BPW approved resolution 2013-15 on 5/7/13
Flavors of 4th Street
Noise permit approved for live music during the event
Saturday, 8/24, from 1:00 pm to Midnight
E. 4th Street between N. Grant Street and N. Dunn Street 
Sponsor:  Bloomington Independent Rest","true","Public Works",,"of289300ge7qnjj9s4cgjuct78",,"2013-08-24T00:00:00.000","2013-08-25T00:00:00.000",,,"Flavors of 4th Street","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"36",,"May 13, 2013 thru May 14, 2013
Lane restrictions; expect short delays; signage in place
City of Bloomington Street Department has a street resurfacing project scheduled, weather dependent.  If you have any questions, please contact Street at 349-3448.","true","Street","Lane Restriction","9allfc2vdtqlro14ngr9ifq7os",,"2013-05-13T00:00:00.000","2013-05-15T00:00:00.000",,,"S. Smith Rd from E. Moores Pk to E. Brighton Crst","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"37",,"May 15, 2013 thru May 16, 2013
Lane restrictions; expect short delays; signage in place
City of Bloomington Street Department has a street resurfacing project scheduled, weather dependent.  If you have any questions, please contact Street at 349-3448.","true","Street","Lane Restriction","1l4sf6e0s29hr36i7kdb7btus0",,"2013-05-15T00:00:00.000","2013-05-17T00:00:00.000",,,"S. Laura Way from S. Bainbridge Dr to E. Heather Dr","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"38",,"May 16, 2013 thru May 17, 2013
Lane restrictions; expect short delays; signage in place
City of Bloomington Street Department has a street resurfacing project scheduled, weather dependent.  If you have any questions, please contact Street at 349-3448.","true","Street","Lane Restriction","dfffal4jqsph3rbhb34d6l8qp0",,"2013-05-16T00:00:00.000","2013-05-18T00:00:00.000",,,"S. Lincoln St from E. Hillside Dr to E. Grimes Ln","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"39",,"May 13, 2013 to May 19, 2013
Road closed May 13th thru May 14th; Lane restrictions May 15th thru May 19th, signage in place.
Hanna Xcavation, Inc. has scheduled road work in this area.  If you have any questions, please contact City Engineering at 349-341","true",,,"aaa2ojbkfrhsp1halopaceu6vc",,"2013-05-13T00:00:00.000","2013-05-15T00:00:00.000",,,"N. Morton St from W. 10th St to W. 11th St","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"40",,"May 13, 2013 to May 19, 2013
Road closed May 13th thru May 14th; Lane restrictions May 15th thru May 19th, signage in place.
Hanna Xcavation, Inc. has scheduled road work in this area.  If you have any questions, please contact City Engineering at 349-341","true",,"Lane Restriction","ul5eoinbr6mjiohcmc9n1k3f60",,"2013-05-15T00:00:00.000","2013-05-20T00:00:00.000",,,"N. Morton St from W. 10th St to W. 11th St.","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"41",,"East Grandview Drive from East 10th Street to North Kerry Drive
May 24, 2013
Lane restrictions; expect short delays; signage in place
City of Bloomington Street Department has a street resurfacing project scheduled, weather dependent.  If you have any que","true","Street","Lane Restriction","akhunadju4sk7c56vlktbq2bho",,"2013-05-24T00:00:00.000","2013-05-25T00:00:00.000",,,"E. Grandview Dr from E. 10th St to N. Kerry Dr","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"42",,"South Wiemer Road from West Wapehani Road to West Tapp Road
May 20, 2013 thru May 30, 2013
Road closed; expect to detour; local traffic only; signage in place.
Crider & Crider will be rebuilding the intersection of W. Tapp Rd and S. Wiemer Rd.  If you exp","true",,,"n5n45v7e50ta2t9a4h37m4n2fk",,"2013-05-20T00:00:00.000","2013-05-31T00:00:00.000",,,"S. Wiemer Rd from W. Wapehani Rd to W. Tapp Rd","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"43",,"South Bainbridge Drive from South Laura Way to Deadend
May 20, 2013 thru May 21, 2013
Lane restrictions; expect short delays; signage in place
City of Bloomington Street Department has a street resurfacing project scheduled, weather dependent.  If you hav","true","Street",,"r2g0q39cfsm6fp7724ldn2svrs",,"2013-05-20T00:00:00.000","2013-05-22T00:00:00.000",,,"S. Bainbridge Dr from S. Laura Way to Deadend","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"127",,"Lane restrictions; expect short delays, signage and traffic control personnel in place 
O'Mara Contractors has scheduled a crack sealing project, weather dependent.  If you have any questions, please contact City Street at 349-3448.","true",,"Lane Restriction","qs50p5m9cdk32q42a34op0l5o0",,"2013-08-08T00:00:00.000","2013-08-09T00:00:00.000",,,"W Bloomfield Rd from So Walker St to So Basswood Dr","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"44",,"South Lincoln Street from East Hillside Drive to East Grimes Lane
May 22, 2013 thru May 23, 2013
Lane restrictions; expect short delays; signage in place.
City of Bloomington Street Department has a street resurfacing project scheduled, weather dependent.","true","Street","Lane Restriction","jj95bapu8223d06i8p3mo3hfoc",,"2013-05-22T00:00:00.000","2013-05-24T00:00:00.000",,,"S. Lincoln Street from E. Hillside Dr to E. Grimes Lane","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"45",,"West 9th Street from Morton to College
May 23, 2013 to June 4, 2013
Street closure for construction crane for Springhill Suites Hotel
BPW approved May 21, 2013","true","Public Works",,"4bups0pd23bfufnqe3a9vst674",,"2013-05-23T00:00:00.000","2013-06-05T00:00:00.000",,,"West 9th Street from Morton to College","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"46",,"BPW approved event of 5-21-13
4th of July Parade
Closure of 7th St, 8th St, College Ave, Walnut St, Kirkwood Ave, and Indiana Ave from 7:00 AM to Noon
Stage set on Kirkwood in front of Fountain Square Mall on Tuesday, July 2nd
See attachment for further d","true","Public Works",,"tvr43oka3fk7ena48i9dv9ldgk",,"2013-07-04T00:00:00.000","2013-07-05T00:00:00.000",,,"4th of July Parade","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"47",,"BPW approved event of 5-21-13
Parks Performing Arts Series
Wladron, Hill & Buskirk Park, Monroe County Courthouse, Bryan Park, & Peoples Park
Live Bands","true","Public Works","Noise Permit","egsrl4pl0us2q9m9rar3i31bds",,"2013-05-09T00:00:00.000","2013-09-21T00:00:00.000",,,"Parks Concert Series","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"48",,"BPW approved event on 5-21-13
Bloomington Project School Fundraiser
June 1, 2013 from 10:00 AM to 4:00 PM
3rd Street Park","true","Public Works","Noise Permit","ua9mtm3pegu3mb37g30gn1ebqc",,"2013-06-01T00:00:00.000","2013-06-02T00:00:00.000",,,"3rd Street Park","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"49",,"BPW approved event of 5-21-13
Salvation Army Donut Day
2 Parking Spaces on N. Morton Street at the intersection of w. 6th Street to just east of Charlotte's Plaza from 8:00 AM to 11:00 AM","true","Public Works",,"cd44nfv0fjmdqf05fmsb1df8a4",,"2013-06-08T00:00:00.000","2013-06-09T00:00:00.000",,,"N. Morton Street @ intersection of 6th Street and Charlotte's Plaza","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"50",,"BPW approved event on 5-21-13
Eastside Bloomington 5K Race for Literacy
9:00 AM to 11:00 AM","true","Public Works",,"mf42sonilgs321kb7rif4p1jrg",,"2013-06-01T00:00:00.000","2013-06-02T00:00:00.000",,,"Covenanter Drive from College mall Rd to Auto Mall Rd","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"51",,"BPW approved event on 5-21-13
from 10:00 AM to Noon
See attachment for further details","true","Public Works",,"5j7mbfebsbkg9j7bvt3jja9cp4",,"2013-09-28T00:00:00.000","2013-09-29T00:00:00.000",,,"Hoosiers Outrun Cancer","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"52",,"SOUTH HARRELL ROAD, BETWEEN EAST RHORER ROAD AND EAST MOFFETT LANE:
This area will be
restricted to one lane of traffic for striping during working hours on
Tuesday, May 28 and Wednesday, May 29.  Signage and traffic control
personnel will be in place.  Q","true",,"Lane Restriction","e25f7evlli668g7ho3ve6dbn14",,"2013-05-28T00:00:00.000","2013-05-30T00:00:00.000",,,"SOUTH HARRELL ROAD, BETWEEN EAST RHORER ROAD AND EAST MOFFETT LANE:","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"53",,"; This area could be
restricted to one lane of traffic at times for yard restoration during
working hours on May 28 through May 31.   Signage and traffic control
personnel will be in place.  Questions concerning this project are to
be directed to Project","true",,,"68eobvs3lgalih8sp76h2lichk",,"2013-05-28T00:00:00.000","2013-06-01T00:00:00.000",,,"SOUTH HANDY ROAD TO SOUTH SHIELDS RIDGE ROAD","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"54",,"SOUTH SHIELDS RIDGE ROAD: This area could be restricted to one lane of
traffic at times for yard restoration during working hours on May 28
through May 31. Signage and traffic control personnel will be in
place. Questions concerning this project are to be","true",,"Lane Restriction","3v2pj44rnj4acqcc0o48ftrfhc",,"2013-05-28T00:00:00.000","2013-06-01T00:00:00.000",,,"SOUTH SHIELDS RIDGE ROAD","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"55",,"Project Type:  STORMWATER
Project Manager: Kevin Housel
Dates:  May 28 through May 31 (these dates are weather permitting)
Location:  East Wexley Road, between East Caradon Hill and East
Kensington Place, will be limited to local traffic only from 7:30 a.","true",,,"t774pofbgso92v9hhqgu4voa7o",,"2013-05-28T00:00:00.000","2013-06-01T00:00:00.000",,,"East Wexley Road, between East Caradon Hill and East Kensington Place,","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"56",,"Project Type:  STREET REPAIR
Project Manager: Kevin Housel
Dates: May 28 through May 31 (these dates are weather permitting)
Location:  West 8th Street, between North Adams Street and North
Spring Street, will be limited to local traffic only from 7:30 a.","true",,,"mtvrasn8nfeonv78ru87k0a9m4",,"2013-05-28T00:00:00.000","2013-06-01T00:00:00.000",,,"West 8th Street, between North Adams Street and North Spring St","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"57",,"Project Type:  STORMWATER
Project Manager: Tony Eads
Dates: May 28 through May 31 (these dates are weather permitting)
Location:  South Henderson Street, between East 1st Street and East
University Street, will be reduced to one lane from 7:30 a.m. to 3:3","true",,,"tncggu5mp5uumshhnb1mrgjkr0",,"2013-05-28T00:00:00.000","2013-06-01T00:00:00.000",,,"South Henderson Street, between East 1st Street and East University St","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"58",,"Project Type:  STORMWATER
Project Manager: Tony Eads
Dates: May 28 through May 29 (these dates are weather permitting)
Location:  North Kinser Pike, between West Bayles Road and North State
Road 37 will be limited to local traffic only from 7:30 a.m. to 3","true",,,"ej80mgqd36ug1tuf7qbupa5tkg",,"2013-05-28T00:00:00.000","2013-05-30T00:00:00.000",,,"North Kinser Pike, between West Bayles Road and North S R 37","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"59",,"East Wexley Road from East Caradon Hill and East Kensington Place
May 20, 2013 thru May 24, 2013
Road closed; open to local traffic; expect to detour; signage in place.
City of Bloomington Utilities Department has a storm water project under construction.","true","Utilities",,"gk6gptodobmuhgkqme7g13q17k",,"2013-05-20T00:00:00.000","2013-06-01T00:00:00.000",,,"E. Wexley Rd from E. Caradon Hill to E. Kensington Place","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"60",,"May 20, 2013 thru to May 24, 2013
Lane restrictions; expect short delays; signage in place.
Midwestern Electric is installing a traffic signal st Smith Avenue, weather dependent.  If you have any questions, please contact City Engineering at 349-3417.","true",,"Lane Restriction","avcda6blj6tcm17ktvpapsvtso",,"2013-05-20T00:00:00.000","2013-06-01T00:00:00.000",,,"S. Walnut Street from E. Second Street to East Third Street","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"61",,"West 8th Street from North Adams Street to North Spring Street
May 20, 2013 thru May 24, 2013
Road closes; expect to detour; open to local traffic only; signage in place.
City of Bloomington Utilities Department has a street repair scheduled, weather depe","true","Utilities",,"6qfcdipeaqslicodn2mqdjdghg",,"2013-05-20T00:00:00.000","2013-06-01T00:00:00.000",,,"W. 8th Street from N. Adams Street to N. Spring Street","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"62",,"N. College Avenue from 45/45 Bypass to E. 17th Street
May 30, 2013
Lane restrictions; signage and personnel in place","true","Street","Lane Restriction","38sumhvopk67aebs475g6gc4rk",,"2013-05-30T00:00:00.000","2013-05-31T00:00:00.000",,,"N. College Avenue from 45/45 Bypass to E. 17th Street","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
