"work_program_group","work_program","unit","fiscal_year","bank_budget","all_funds","notes"
"Institutional, Governance and Administrative Services","Institutional Services","Chief Risk Office","2015","11.6","13",
"Institutional, Governance and Administrative Services","Institutional Services","CMP-Data Privacy Office","2015","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services","Institutional Services","Development Economics","2015","52.4","87.2",
"Institutional, Governance and Administrative Services","Institutional Services","Development Finance","2015","15.7","36.5","Prior to FY16 Development Finance was known as Concessional Finance & Global Partnerships."
"Institutional, Governance and Administrative Services","Institutional Services","External & Corporate Relations","2015","43.9","54.9",
"Institutional, Governance and Administrative Services","Institutional Services","Global Environment Fund","2015","0","0","The Global Environment Fund only receives funding from External Funds (EF)."
"Institutional, Governance and Administrative Services","Institutional Services","International Centre for Settlement of Investment Disputes","2015","2.2","2.2","World Bank's contribution to the funding for the International Centre for Settlement of Investment Disputes."
"Institutional, Governance and Administrative Services","Institutional Services","Leadership, Learning & Innovation","2015","41.3","50.7","In FY17, the Learning, Leadership, & Innovation VPU was integrated into other Operational and IG&A units."
"Institutional, Governance and Administrative Services","Institutional Services","Legal Services","2015","27.2","32.6",
"Institutional, Governance and Administrative Services","Institutional Services","Operational Policy & Country Services","2015","42.4","43.2",
"Institutional, Governance and Administrative Services","Institutional Services","Strategy, Performance, and Adminstration","2015","0","0",
"Institutional, Governance and Administrative Services","Institutional Services","Treasury","2015","24.4","76.2",
"Institutional, Governance and Administrative Services","Institutional Services","WBG Finance & Accounting","2015","31.1","46.4",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Consultative Group for International Agricultural Research","2015","47","47",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Development Grant Facility","2015","32.8","32.8",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Global Partnership for Social Accountability","2015","5","5",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Institutional Development Fund","2015","0.3","0.3",
"Operational Grant Making Facilities","Operational Grant Making Facilities","State and Peace Building Fund","2015","25","25",
"Program and Practice Management","Practice Groups Program & Practice Management","Equitable Growth, Finance and Institutions","2015","0","0",
"Program and Practice Management","Practice Groups Program & Practice Management","Global Practice","2015","190.5","211.2","In FY17, Global Practice line items were separated into three separate Global Practice units: Sustainable Development, Equitable Growth, Finance and Institutions, and Human Development, plus one additional unit for Other Operational Support."
"Program and Practice Management","Practice Groups Program & Practice Management","Global Themes","2015","4.5","27.1","Prior to FY18 Global Themes were known as Global Practice/Cross Cutting Solutions Areas."
"Program and Practice Management","Practice Groups Program & Practice Management","Human Development","2015","0","0",
"Program and Practice Management","Practice Groups Program & Practice Management","Infrastructure","2015","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Program and Practice Management","Practice Groups Program & Practice Management","Other Operational Support","2015","0","0","FY21 onwards the Program & Practice Management budgets in the Other Operations Support Unit are shared by both the Regions  and Practice Groups."
"Program and Practice Management","Practice Groups Program & Practice Management","Sustainable Development","2015","0","0",
"Program and Practice Management","Regions Program & Practice Management","Africa","2015","133.8","140.1",
"Program and Practice Management","Regions Program & Practice Management","East Asia & Pacific","2015","60.1","61.4",
"Program and Practice Management","Regions Program & Practice Management","Europe & Central Asia","2015","59.4","62.1",
"Program and Practice Management","Regions Program & Practice Management","Latin America & Caribbean","2015","56.7","57.1",
"Program and Practice Management","Regions Program & Practice Management","Middle East & North Africa","2015","38.4","47.6",
"Program and Practice Management","Regions Program & Practice Management","South Asia","2015","57.7","59.4",
"Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","2016","391.7","454.7",
"Client Engagement","Country Engagement","Africa","2016","188.5","366.1",
"Client Engagement","Country Engagement","East Asia & Pacific","2016","80.3","186.3",
"Client Engagement","Country Engagement","Europe & Central Asia","2016","74.6","144.2",
"Client Engagement","Country Engagement","Latin America & Caribbean","2016","85.6","144",
"Client Engagement","Country Engagement","Middle East & North Africa","2016","49.8","120.5",
"Client Engagement","Country Engagement","Other Operational Units' Allocations","2016","0","0",
"Client Engagement","Country Engagement","South Asia","2016","82.6","171",
"Client Engagement","Global Engagement","Global Engagement","2016","77.7","244",
"Funded by External Funds - All Funds","Funded by External Funds - All Funds","Funded by External Funds - All Funds","2016","-163.8","-1338.70","For Bank Budget columns, this line only shows reimbursables."
"Institutional, Governance and Administrative Services","Administrative Services","Global Corporate Solutions","2016","130.9","175.7",
"Institutional, Governance and Administrative Services","Administrative Services","Health and Safety Development","2016","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services","Administrative Services","Human Resources","2016","47.9","60.9",
"Institutional, Governance and Administrative Services","Administrative Services","Information & Technology Solutions","2016","232.8","278.6",
"Institutional, Governance and Administrative Services","Governance Services","Administrative Tribunal","2016","1.6","2.1",
"Institutional, Governance and Administrative Services","Governance Services","Boards","2016","90.1","90.1","Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel."
"Institutional, Governance and Administrative Services","Governance Services","Internal Justice Services","2016","3.7","5",
"Institutional, Governance and Administrative Services","Governance Services","Corporate Secretariat","2016","15.5","16.5",
"Institutional, Governance and Administrative Services","Governance Services","Group Internal Audit","2016","7.5","10.2",
"Institutional, Governance and Administrative Services","Governance Services","Independent Evaluation Group","2016","26.4","35",
"Institutional, Governance and Administrative Services","Governance Services","Accountability Mechanism","2016","0","0","Inspection Panel previously captured under Boards"
"Institutional, Governance and Administrative Services","Governance Services","Integrity Vice Presidency","2016","18.4","18.6",
"Institutional, Governance and Administrative Services","Governance Services","Managing Directors","2016","9.7","9.7","In FY17, Managing Directors line item was separated to show the Office of the CEO, MD and CAO, MD and CFO, and SVPMM separately."
"Institutional, Governance and Administrative Services","Governance Services","Office of Ethics and Business Conduct","2016","4.5","6.1",
"Institutional, Governance and Administrative Services","Governance Services","Office of Managing Director, Development Policy And Partnerships","2016","0","0",
"Institutional, Governance and Administrative Services","Governance Services","Office of Senior Vice President Mahmoud Mohieldin","2016","0","0",
"Institutional, Governance and Administrative Services","Governance Services","Office of Suspension & Debarment","2016","1.5","1.5",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director, Operations","2016","0","0",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Administrative Officer","2016","0","0",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Financial Officer","2016","0","0",
"Institutional, Governance and Administrative Services","Governance Services","Office of the President","2016","7.7","7.7",
"Institutional, Governance and Administrative Services","Governance Services","Sanctions Board","2016","1.6","1.6",
"Institutional, Governance and Administrative Services","Institutional Services","Budget, Performance & Strategy","2016","74.5","77.8",
"Institutional, Governance and Administrative Services","Institutional Services","Chief Risk Office","2016","12.3","13.2",
"Institutional, Governance and Administrative Services","Institutional Services","CMP-Data Privacy Office","2016","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services","Institutional Services","Development Economics","2016","48.9","87.1",
"Institutional, Governance and Administrative Services","Institutional Services","Development Finance","2016","20","58.1","Prior to FY16 Development Finance was known as Concessional Finance & Global Partnerships."
"Institutional, Governance and Administrative Services","Institutional Services","External & Corporate Relations","2016","44.4","57.2",
"Institutional, Governance and Administrative Services","Institutional Services","Global Environment Fund","2016","0","35","The Global Environment Fund only receives funding from External Funds (EF)."
"Institutional, Governance and Administrative Services","Institutional Services","International Centre for Settlement of Investment Disputes","2016","2.2","2.2","World Bank's contribution to the funding for the International Centre for Settlement of Investment Disputes."
"Institutional, Governance and Administrative Services","Institutional Services","Leadership, Learning & Innovation","2016","47.6","64.8","In FY17, the Learning, Leadership, & Innovation VPU was integrated into other Operational and IG&A units."
"Institutional, Governance and Administrative Services","Institutional Services","Legal Services","2016","30.5","32.4",
"Institutional, Governance and Administrative Services","Institutional Services","Operational Policy & Country Services","2016","43.1","44.1",
"Institutional, Governance and Administrative Services","Institutional Services","Strategy, Performance, and Adminstration","2016","0","0",
"Institutional, Governance and Administrative Services","Institutional Services","Treasury","2016","61.8","76.8",
"Institutional, Governance and Administrative Services","Institutional Services","WBG Finance & Accounting","2016","37.6","44.6",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Consultative Group for International Agricultural Research","2016","30","30",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Development Grant Facility","2016","12","12",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Global Partnership for Social Accountability","2016","5","5",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Institutional Development Fund","2016","0","0",
"Operational Grant Making Facilities","Operational Grant Making Facilities","State and Peace Building Fund","2016","21","21",
"Program and Practice Management","Practice Groups Program & Practice Management","Equitable Growth, Finance and Institutions","2016","0","0",
"Program and Practice Management","Practice Groups Program & Practice Management","Global Practice","2016","209.9","258.9","In FY17, Global Practice line items were separated into three separate Global Practice units: Sustainable Development, Equitable Growth, Finance and Institutions, and Human Development, plus one additional unit for Other Operational Support."
"Program and Practice Management","Practice Groups Program & Practice Management","Global Themes","2016","3.9","31.3","Prior to FY18 Global Themes were known as Global Practice/Cross Cutting Solutions Areas."
"Program and Practice Management","Practice Groups Program & Practice Management","Human Development","2016","0","0",
"Program and Practice Management","Practice Groups Program & Practice Management","Infrastructure","2016","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Program and Practice Management","Practice Groups Program & Practice Management","Other Operational Support","2016","0","0","FY21 onwards the Program & Practice Management budgets in the Other Operations Support Unit are shared by both the Regions  and Practice Groups."
"Program and Practice Management","Practice Groups Program & Practice Management","Sustainable Development","2016","0","0",
"Program and Practice Management","Regions Program & Practice Management","Africa","2016","113.4","115.3",
"Program and Practice Management","Regions Program & Practice Management","East Asia & Pacific","2016","54.6","56.9",
"Program and Practice Management","Regions Program & Practice Management","Europe & Central Asia","2016","55","57.3",
"Program and Practice Management","Regions Program & Practice Management","Latin America & Caribbean","2016","50.7","51.6",
"Program and Practice Management","Regions Program & Practice Management","Middle East & North Africa","2016","34.1","35",
"Program and Practice Management","Regions Program & Practice Management","South Asia","2016","50.6","51.3",
"Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","2017","406.6","417.9",
"Client Engagement","Country Engagement","Africa","2017","207","402.7",
"Client Engagement","Country Engagement","East Asia & Pacific","2017","83.9","180.4",
"Client Engagement","Country Engagement","Europe & Central Asia","2017","77.6","153.9",
"Client Engagement","Country Engagement","Latin America & Caribbean","2017","88.7","142.9",
"Client Engagement","Country Engagement","Middle East & North Africa","2017","50.9","149.1",
"Client Engagement","Country Engagement","Other Operational Units' Allocations","2017","0","0",
"Client Engagement","Country Engagement","South Asia","2017","93.2","189.4",
"Client Engagement","Global Engagement","Global Engagement","2017","72.9","246.8",
"Funded by External Funds - All Funds","Funded by External Funds - All Funds","Funded by External Funds - All Funds","2017","-184","-1347.50","For Bank Budget columns, this line only shows reimbursables."
"Institutional, Governance and Administrative Services","Administrative Services","Global Corporate Solutions","2017","138.4","176.4",
"Institutional, Governance and Administrative Services","Administrative Services","Health and Safety Development","2017","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services","Administrative Services","Human Resources","2017","57.3","70.1",
"Institutional, Governance and Administrative Services","Administrative Services","Information & Technology Solutions","2017","224.6","277.1",
"Institutional, Governance and Administrative Services","Governance Services","Administrative Tribunal","2017","1.7","2.2",
"Institutional, Governance and Administrative Services","Governance Services","Boards","2017","91.7","91.7","Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel."
"Institutional, Governance and Administrative Services","Governance Services","Internal Justice Services","2017","4.3","6.9",
"Institutional, Governance and Administrative Services","Governance Services","Corporate Secretariat","2017","15.5","16.7",
"Institutional, Governance and Administrative Services","Governance Services","Group Internal Audit","2017","7.7","10.2",
"Institutional, Governance and Administrative Services","Governance Services","Independent Evaluation Group","2017","26.3","34.9",
"Institutional, Governance and Administrative Services","Governance Services","Accountability Mechanism","2017","0","0","Inspection Panel previously captured under Boards"
"Institutional, Governance and Administrative Services","Governance Services","Integrity Vice Presidency","2017","18.5","18.6",
"Institutional, Governance and Administrative Services","Governance Services","Managing Directors","2017","0","0","In FY17, Managing Directors line item was separated to show the Office of the CEO, MD and CAO, MD and CFO, and SVPMM separately."
"Institutional, Governance and Administrative Services","Governance Services","Office of Ethics and Business Conduct","2017","6.6","8.9",
"Institutional, Governance and Administrative Services","Governance Services","Office of Managing Director, Development Policy And Partnerships","2017","0","0",
"Institutional, Governance and Administrative Services","Governance Services","Office of Senior Vice President Mahmoud Mohieldin","2017","5.6","5.6",
"Institutional, Governance and Administrative Services","Governance Services","Office of Suspension & Debarment","2017","1.6","1.6",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director, Operations","2017","5.4","5.4",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Administrative Officer","2017","2.4","2.4",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Financial Officer","2017","2.9","2.9",
"Institutional, Governance and Administrative Services","Governance Services","Office of the President","2017","7","7",
"Institutional, Governance and Administrative Services","Governance Services","Sanctions Board","2017","1.7","1.7",
"Institutional, Governance and Administrative Services","Institutional Services","Budget, Performance & Strategy","2017","68.8","68.8",
"Institutional, Governance and Administrative Services","Institutional Services","Chief Risk Office","2017","13.4","14.1",
"Institutional, Governance and Administrative Services","Institutional Services","CMP-Data Privacy Office","2017","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services","Institutional Services","Development Economics","2017","47.3","94.3",
"Institutional, Governance and Administrative Services","Institutional Services","Development Finance","2017","22.5","59.5","Prior to FY16 Development Finance was known as Concessional Finance & Global Partnerships."
"Institutional, Governance and Administrative Services","Institutional Services","External & Corporate Relations","2017","34.8","37",
"Institutional, Governance and Administrative Services","Institutional Services","Global Environment Fund","2017","0","32","The Global Environment Fund only receives funding from External Funds (EF)."
"Institutional, Governance and Administrative Services","Institutional Services","International Centre for Settlement of Investment Disputes","2017","0","0","World Bank's contribution to the funding for the International Centre for Settlement of Investment Disputes."
"Institutional, Governance and Administrative Services","Institutional Services","Leadership, Learning & Innovation","2017","0","0","In FY17, the Learning, Leadership, & Innovation VPU was integrated into other Operational and IG&A units."
"Institutional, Governance and Administrative Services","Institutional Services","Legal Services","2017","32","33.9",
"Institutional, Governance and Administrative Services","Institutional Services","Operational Policy & Country Services","2017","45.4","46.1",
"Institutional, Governance and Administrative Services","Institutional Services","Strategy, Performance, and Adminstration","2017","0","0",
"Institutional, Governance and Administrative Services","Institutional Services","Treasury","2017","59.4","75.4",
"Institutional, Governance and Administrative Services","Institutional Services","WBG Finance & Accounting","2017","38.5","44.2",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Consultative Group for International Agricultural Research","2017","30","30",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Development Grant Facility","2017","0","0",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Global Partnership for Social Accountability","2017","0","0",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Institutional Development Fund","2017","0","0",
"Operational Grant Making Facilities","Operational Grant Making Facilities","State and Peace Building Fund","2017","14","14",
"Program and Practice Management","Practice Groups Program & Practice Management","Equitable Growth, Finance and Institutions","2017","71.5","84.3",
"Program and Practice Management","Practice Groups Program & Practice Management","Global Practice","2017","0","0","In FY17, Global Practice line items were separated into three separate Global Practice units: Sustainable Development, Equitable Growth, Finance and Institutions, and Human Development, plus one additional unit for Other Operational Support."
"Program and Practice Management","Practice Groups Program & Practice Management","Global Themes","2017","14.7","55.2","Prior to FY18 Global Themes were known as Global Practice/Cross Cutting Solutions Areas."
"Program and Practice Management","Practice Groups Program & Practice Management","Human Development","2017","37.1","44.9",
"Program and Practice Management","Practice Groups Program & Practice Management","Infrastructure","2017","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Program and Practice Management","Practice Groups Program & Practice Management","Other Operational Support","2017","46.2","46.2","FY21 onwards the Program & Practice Management budgets in the Other Operations Support Unit are shared by both the Regions  and Practice Groups."
"Program and Practice Management","Practice Groups Program & Practice Management","Sustainable Development","2017","83.8","105.4",
"Program and Practice Management","Regions Program & Practice Management","Africa","2017","107.5","110.6",
"Program and Practice Management","Regions Program & Practice Management","East Asia & Pacific","2017","53.7","55.4",
"Program and Practice Management","Regions Program & Practice Management","Europe & Central Asia","2017","57.8","59.3",
"Program and Practice Management","Regions Program & Practice Management","Latin America & Caribbean","2017","49.4","50.3",
"Program and Practice Management","Regions Program & Practice Management","Middle East & North Africa","2017","32.8","38.3",
"Program and Practice Management","Regions Program & Practice Management","South Asia","2017","47.5","49.3",
"Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","2018","101.4","101.8","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Client Engagement","Country Engagement","Africa","2018","265.7","489.2","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Client Engagement","Country Engagement","East Asia & Pacific","2018","105.5","232","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Client Engagement","Country Engagement","Europe & Central Asia","2018","85.6","187.7","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Client Engagement","Country Engagement","Latin America & Caribbean","2018","95.9","150.5","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Client Engagement","Country Engagement","Middle East & North Africa","2018","59.6","166","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Client Engagement","Country Engagement","Other Operational Units' Allocations","2018","0","0","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Client Engagement","Country Engagement","South Asia","2018","120","234.9","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Client Engagement","Global Engagement","Global Engagement","2018","87.7","284.7","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Funded by External Funds - All Funds","Funded by External Funds - All Funds","Funded by External Funds - All Funds","2018","-195.7","-1496.00","For Bank Budget columns, this line only shows reimbursables. FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Administrative Services","Global Corporate Solutions","2018","152.7","193","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Administrative Services","Health and Safety Development","2018","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development. FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Administrative Services","Human Resources","2018","68.4","84.4","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Administrative Services","Information & Technology Solutions","2018","241.4","293.2","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Administrative Tribunal","2018","1.9","2.4","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Boards","2018","100.7","100.7","Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel. FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Internal Justice Services","2018","5","6.4","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Corporate Secretariat","2018","17.1","18.4","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Group Internal Audit","2018","8.6","11.3","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Independent Evaluation Group","2018","29.2","38.2","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Accountability Mechanism","2018","0","0","Inspection Panel previously captured under Boards. FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Integrity Vice Presidency","2018","21","21.4","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Managing Directors","2018","0","0","In FY17, Managing Directors line item was separated to show the Office of the CEO, MD and CAO, MD and CFO, and SVPMM separately. FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Office of Ethics and Business Conduct","2018","7.2","9.3","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Office of Managing Director, Development Policy And Partnerships","2018","0","0","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Office of Senior Vice President Mahmoud Mohieldin","2018","6.3","6.3","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Office of Suspension & Debarment","2018","1.8","1.8","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director, Operations","2018","5.3","5.3","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Administrative Officer","2018","2.7","2.7","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Financial Officer","2018","3.2","3.2","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Office of the President","2018","7.4","7.4","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Governance Services","Sanctions Board","2018","1.9","1.9","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Institutional Services","Budget, Performance & Strategy","2018","74","74","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Institutional Services","Chief Risk Office","2018","17.2","18","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Institutional Services","CMP-Data Privacy Office","2018","0","0","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development. FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
"Institutional, Governance and Administrative Services","Institutional Services","Development Economics","2018","52.4","107.1","FY18 budget includes certain non-salary staff costs in program budgets that up to FY17 were included in Centrally Managed Accounts & Miscellaneous Programs"
