"loan_number","country","borrower","currency_of_commitment","project_name","original_principal_amount","disbursed_amount","repaid_to_ibrd","closed_date_most_recent_"
"IBRD01680","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY II B","19110000.00","19110000.00","19110000.00","1958-12-31T00:00:00.000"
"IBRD01690","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY II C","11200000.00","11200000.00","11200000.00","1958-12-31T00:00:00.000"
"IBRD01700","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY II D","35700000.00","35700000.00","29538000.00","1958-12-31T00:00:00.000"
"IBRD01820","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TATA IRON & STEEL CO","32500000.00","32500000.00","16625000.00","1959-09-30T00:00:00.000"
"IBRD01980","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CALCUTTA PORT","29000000.00","29000000.00","27837000.00","1965-12-31T00:00:00.000"
"IBRD01990","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MADRAS PORT","14000000.00","10465848.60","9673848.60","1966-06-30T00:00:00.000"
"IBRD02030","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"POWER","25000000.00","22000000.00","20097328.70","1965-06-30T00:00:00.000"
"IBRD02070","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY","85000000.00","85000000.00","67183421.94","1959-06-30T00:00:00.000"
"IBRD02230","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KOYNA POWER","25000000.00","18700000.00","17399000.00","1965-04-30T00:00:00.000"
"IBRD02320","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ICICI II (DFC)","10000000.00","9767730.53","9767730.53","1966-03-31T00:00:00.000"
"IBRD02330","India","SENIOR ACCOUNTS OFFICER - MIN OF FIN",,"RAILWAY","50000000.00","50000000.00","46038000.00","1960-06-30T00:00:00.000"
"IBRD02620","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY V","70000000.00","70000000.00","60345200.76","1962-01-31T00:00:00.000"
"IBRD02690","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ICICI III (DFC)","20000000.00","19311107.57","19311107.57","1967-10-31T00:00:00.000"
"IBRD02920","India","SENIOR ACCOUNTS OFFICER - MIN OF FIN",,"COAL MINING","35000000.00","28788187.46","26417187.46","1966-12-31T00:00:00.000"
"IBRD02940","India","THE COMMISSIONERS FOR THE PORT",,"CALCUTTA PORT II","21000000.00","18837037.02","17751037.02","1968-07-31T00:00:00.000"
"IBRD02980","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY VI","50000000.00","50000000.00","43207000.00","1962-12-31T00:00:00.000"
"IBRD03070","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"COAL MINING","19500000.00","18571039.71","18171039.71","1973-12-31T00:00:00.000"
"IBRD03120","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ICICI IV (DFC)","20000000.00","19042918.46","19042918.46","1967-12-31T00:00:00.000"
"IBRD03400","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ICICI V (DFC)","30000000.00","26933533.91","26933533.91","1978-04-30T00:00:00.000"
"IBRD04140","India","ICICI BANK LIMITED",,"ICICI VI (DFC)","50000000.00","47237501.62","47237501.62","1973-06-30T00:00:00.000"
"IBRD04160","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"POWER TRANSMISSION","70000000.00","50000000.00","47784628.35","1970-12-31T00:00:00.000"
"IBRD04170","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KOTHAGUDEM POWER II","14000000.00","13974647.01","13974647.01","1970-12-31T00:00:00.000"
"IBRD04560","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"INDIAN IRON & STEEL","30000000.00","1743018.61","1743018.61","1973-06-30T00:00:00.000"
"IBRD05150","India","ICICI BANK LIMITED",,"ICICI VII (DFC)","25000000.00","23902135.45","23902135.45","1973-12-31T00:00:00.000"
"IBRD06140","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TARAI SEEDS","13000000.00","11449761.73","11449761.73","1977-12-31T00:00:00.000"
"IBRD06150","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TELECOMMUNICATIONS I","27500000.00","27500000.00","27500000.00","1973-06-30T00:00:00.000"
"IBRD06830","India","ICICI BANK LIMITED",,"ICICI VIII DFC","40000000.00","38825513.38","38825513.38","1974-09-30T00:00:00.000"
"IBRD07890","India","ICICI BANK LIMITED",,"DFC ICICI IX","60000000.00","56719562.12","56719562.12","1976-12-31T00:00:00.000"
"IBRD09020","India","ICICI BANK LIMITED",,"DFC-ICICI X","70000000.00","62535002.93","62535002.93","1978-12-31T00:00:00.000"
"IBRD10110","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CHAMBAL I RAJASTHAN","52000000.00","52000000.00","52000000.00","1982-06-30T00:00:00.000"
"IBRD10790","India","INDIAN FARMERS FERT. COOP. LTD",,"IFFCO FERTILIZER","109000000.00","109000000.00","99931602.21","1980-12-31T00:00:00.000"
"IBRD10970","India","ICICI BANK LIMITED",,"DFC-ICICI XI","100000000.00","93807387.25","93807387.25","1981-06-30T00:00:00.000"
"IBRD12510","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CAD ANDHRA PRADESH","145000000.00","136449297.82","136449297.82","1985-06-30T00:00:00.000"
"IBRD12600","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"DFC-IDBI SFC II","40000000.00","26711772.78","26711772.78","1981-05-18T00:00:00.000"
"IBRD12605","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"DFC-IDBI SFC II","13288227.22","13288227.22","13288227.22","1983-03-31T00:00:00.000"
"IBRD12730","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NATIONAL SEEDS I","25000000.00","2509055.55","2509055.55","1981-05-18T00:00:00.000"
"IBRD12735","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NATIONAL SEEDS I","22490944.45","18832334.55","18832334.55","1984-06-30T00:00:00.000"
"IBRD13130","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TELECOMMUNICATIONS V","80000000.00","80000000.00","75915413.80","1983-03-31T00:00:00.000"
"IBRD13350","India","BOMBAY METRO.REGION DEV.AUTH.",,"BOMBAY URBAN TRANSPO","25000000.00","25000000.00","25000000.00","1984-06-30T00:00:00.000"
"IBRD13940","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"GUJARAT FISHERIES","14000000.00","12419507.05","12419507.05","1984-06-30T00:00:00.000"
"IBRD14730","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"BOMBAY HIGH-GAS","150000000.00","150000000.00","141309218.88","1980-12-31T00:00:00.000"
"IBRD14750","India","ICICI BANK LIMITED",,"DFC ICICI XII","80000000.00","76011081.81","76011081.81","1983-03-31T00:00:00.000"
"IBRD15110","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"DFC-IDBI SPECIAL","25000000.00","6095828.23","6095828.23","1981-05-18T00:00:00.000"
"IBRD15115","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"DFC-IDBI SPECIAL","18904171.77","17529590.66","17529590.66","1984-03-31T00:00:00.000"
"IBRD15490","India","TATA ELECTRIC COMPANIES",,"3RD TROMBAY POWER PR","105000000.00","42043003.32","42043003.32","1981-06-17T00:00:00.000"
"IBRD15495","India","TATA ELECTRIC COMPANIES",,"3RD TROMBAY POWER PR","62956996.68","62956996.68","62956996.68","1984-12-31T00:00:00.000"
"IBRD15920","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TELECOMMUNICATIONS V","120000000.00","66134508.87","66134508.87","1981-05-20T00:00:00.000"
"IBRD15925","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TELECOMMUNICATIONS V","53865491.13","46634704.76","46634704.76","1984-06-30T00:00:00.000"
"IBRD16480","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAMAGUNDAM THERMAL I","50000000.00","0.00","0.00","1981-05-18T00:00:00.000"
"IBRD16485","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAMAGUNDAM THERMAL I","50000000.00","50000000.00","50000000.00","1987-06-30T00:00:00.000"
"IBRD17430","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"THAL FERTILIZER","250000000.00","0.00","0.00","1984-11-30T00:00:00.000"
"IBRD18430","India","ICICI BANK LIMITED",,"ICICI XIII","100000000.00","95670851.40","95670851.40","1985-12-31T00:00:00.000"
"IBRD18870","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"FARRAKA THERMAL","25000000.00","12783716.57","12783716.57","1989-06-30T00:00:00.000"
"IBRD18970","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KANDI WATERSHED","30000000.00","26065453.89","26065453.89","1988-03-31T00:00:00.000"
"IBRD19250","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"BOMBAY HIGH II","400000000.00","400000000.00","400000000.00","1984-03-31T00:00:00.000"
"IBRD20500","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TAMIL NADU NEWSPRINT","100000000.00","100000000.00","100000000.00","1985-08-31T00:00:00.000"
"IBRD20510","India","ICICI BANK LIMITED",,"DFC ICICI XIV","150000000.00","147892159.08","147892159.08","1988-03-31T00:00:00.000"
"IBRD20760","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAMAGUNDAM II","300000000.00","277167342.62","277167342.62","1992-03-31T00:00:00.000"
"IBRD20950","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ARDC IV","190000000.00","190000000.00","190000000.00","1984-06-30T00:00:00.000"
"IBRD21230","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"REFINERIES RATIONALI","200000000.00","200000000.00","200000000.00","1988-09-30T00:00:00.000"
"IBRD21650","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RURAL ELEC III","304500000.00","295502342.36","295502342.36","1988-06-30T00:00:00.000"
"IBRD21860","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KALLADA IRRIGATION","20300000.00","20300000.00","20300000.00","1989-03-31T00:00:00.000"
"IBRD22050","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KRISHNA-GODAVARI EXP","165500000.00","165500000.00","165500000.00","1989-03-31T00:00:00.000"
"IBRD22100","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY MODERN.& MAI","200000000.00","200000000.00","200000000.00","1989-09-30T00:00:00.000"
"IBRD22410","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"BASSEIN GAS DEV.","222300000.00","135664596.13","135664596.13","1988-12-31T00:00:00.000"
"IBRD22780","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"UPPER INDRAVATI POWE","156400000.00","390025.00","390025.00","1991-12-31T00:00:00.000"
"IBRD22830","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CENTRAL POWER TRANSM","250700000.00","131493898.01","131493898.01","1992-03-31T00:00:00.000"
"IBRD22950","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"HIMALAYAN WATERSHED","46200000.00","28296714.20","28296714.20","1992-09-30T00:00:00.000"
"IBRD23080","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MAHARASHTRA WATER UT","22700000.00","56608.00","56608.00","1990-08-31T00:00:00.000"
"IBRD23290","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"M.P. URBAN","24100000.00","12456803.70","12456803.70","1991-06-30T00:00:00.000"
"IBRD23870","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NHAVA SHEVA PORT","250000000.00","229010691.53","229010691.53","1992-06-30T00:00:00.000"
"IBRD23930","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"COAL - DUDHICHUA STE","151000000.00","100190097.85","100190097.85","1993-03-31T00:00:00.000"
"IBRD24030","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CAMBAY BASIN PETROLE","242500000.00","213500000.00","213500000.00","1992-10-31T00:00:00.000"
"IBRD24150","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MADHYA PRADESH FERTI","203600000.00","165654913.65","165654913.65","1992-06-30T00:00:00.000"
"IBRD24160","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"BODHGHAT - HYDRO","157400000.00","9077807.33","9077807.33","1993-06-30T00:00:00.000"
"IBRD24170","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAYS ELECTRIFICA","280700000.00","272295725.53","272295725.53","1993-03-31T00:00:00.000"
"IBRD24420","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"FARAKKA II THERMAL P","300800000.00","246066031.50","246066031.50","1994-04-30T00:00:00.000"
"IBRD24520","India","TATA ELECTRIC COMPANIES",,"TROMBAY POWER IV","135400000.00","134409077.98","134409077.98","1992-06-30T00:00:00.000"
"IBRD24970","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NARMADA (GUJARAT) DA","200000000.00","18494654.21","18494654.21","1995-06-30T00:00:00.000"
"IBRD24980","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"COAL - JHARIA COKING","248000000.00","55313925.86","55313925.86","1992-12-31T00:00:00.000"
"IBRD25050","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MAHARASHTRA PETROCHE","300000000.00","300000000.00","300000000.00","1991-09-30T00:00:00.000"
"IBRD25340","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"HIGHWAYS","200000000.00","103400096.04","103400096.04","1993-12-31T00:00:00.000"
"IBRD25440","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CHANDRAPUR THERMAL","300000000.00","191349965.37","191349965.37","1994-03-31T00:00:00.000"
"IBRD25550","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RIHAND POWER TRANSMI","250000000.00","185909053.16","185909053.16","1992-12-31T00:00:00.000"
"IBRD25820","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KERALA POWER","176000000.00","99575190.27","99575190.27","1994-12-31T00:00:00.000"
"IBRD26290","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IND. EX. DEV. FIN I","90000000.00","90000000.00","90000000.00","1992-06-30T00:00:00.000"
"IBRD26300","India","ICICI BANK LIMITED",,"IND. EX. DEV. FIN I","160000000.00","154822323.88","154822323.88","1992-06-30T00:00:00.000"
"IBRD26530","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NABARD I","375000000.00","375000000.00","375000000.00","1991-06-30T00:00:00.000"
"IBRD26600","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CEMENT ENERGY SAVING","165000000.00","161534942.29","161534942.29","1994-06-30T00:00:00.000"
"IBRD26610","India","ICICI BANK LIMITED",,"CEMENT ENERGY SAVING","35000000.00","34955921.15","34955921.15","1994-06-30T00:00:00.000"
"IBRD26620","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"A.P. IRRIGATION II","131000000.00","0.00","0.00","1994-06-30T00:00:00.000"
"IBRD26740","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"COMBINED CYCLE POWER","485000000.00","485000000.00","485000000.00","1993-12-31T00:00:00.000"
"IBRD27290","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"COOPERATIVE FERTILIZER (AONLA)","150200000.00","150200000.00","150200000.00","1992-06-30T00:00:00.000"
"IBRD27300","India","INDIAN FARMERS FERT. COOP. LTD",,"COOPERATIVE FERTILIZER (AONLA)","152000000.00","106723284.97","106723284.97","1993-06-30T00:00:00.000"
"IBRD27690","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"BOMBAY III WATER SUP","40000000.00","0.00","0.00","1995-06-30T00:00:00.000"
"IBRD27850","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"OIL INDIA LIMITED PE","140000000.00","138454662.54","138454662.54","1994-09-30T00:00:00.000"
"IBRD27960","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"COAL MINING AND COAL","340000000.00","300267264.52","300267264.52","1995-09-30T00:00:00.000"
"IBRD27970","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"U.P. URBAN DEVELOPME","20000000.00","0.00","0.00","1996-03-31T00:00:00.000"
"IBRD28130","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TELECOMMUNICATIONS IX","345000000.00","163167083.81","163167083.81","1993-12-31T00:00:00.000"
"IBRD28270","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KARNATAKA POWER","330000000.00","69637007.37","69637007.37","1995-12-31T00:00:00.000"
"IBRD28440","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NAT. CAPITAL POWER S","485000000.00","322830000.00","322830000.00","1995-12-31T00:00:00.000"
"IBRD28450","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TALCHER THERMAL","375000000.00","272798850.65","272798850.65","1997-03-31T00:00:00.000"
"IBRD28460","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MADRAS WATER SUPPLY","53000000.00","48258576.47","48258576.47","1996-03-31T00:00:00.000"
"IBRD28860","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"DROUGHT ASSISTANCE","150000000.00","150000000.00","150000000.00","1989-03-31T00:00:00.000"
"IBRD28930","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NATIONAL DAIRY II","200000000.00","117122600.34","117122600.34","1996-04-30T00:00:00.000"
"IBRD29040","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"WESTERN GAS DEVELOPM","295000000.00","283250000.00","283250000.00","1994-06-30T00:00:00.000"
"IBRD29280","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IND. FINANCE I","310000000.00","272893350.96","272893350.96","1995-12-31T00:00:00.000"
"IBRD29281","India","STEEL AUTHORITY OF INDIA LTD.",,"IND. FINANCE I","50000000.00","39042813.74","39042813.74","1995-06-30T00:00:00.000"
"IBRD29290","India","HOUSING DEVE. FIN. CORP. LTD.",,"HOUSING DEV. CORP.","250000000.00","250000000.00","250000000.00","1991-09-30T00:00:00.000"
"IBRD29350","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAYS MODERNIZ. I","390000000.00","245397766.74","245397766.74","1995-12-31T00:00:00.000"
"IBRD29380","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KARNATAKA POWER II","260000000.00","24004463.97","24004463.97","1996-12-31T00:00:00.000"
"IBRD29570","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"U.P. POWER (SRINAGAR)","350000000.00","24373963.70","24373963.70","1996-12-31T00:00:00.000"
"IBRD29940","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"STATE ROADS I","164745443.83","103335898.72","103335898.72","1998-06-30T00:00:00.000"
"IBRD2994A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"STATE ROADS I","5254556.17","39102.87","39102.87","1998-06-30T00:00:00.000"
"IBRD30240","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NATHPA JHAKRI POWER PROJECT","330604969.95","330604969.95","330604969.95","2002-03-31T00:00:00.000"
"IBRD3024A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NATHPA JHAKRI POWER PROJECT","154395030.05","99706229.50","99706229.50","2002-03-31T00:00:00.000"
"IBRD30440","India","INDIAN OIL CORP. LTD.",,"PETRO. TRANSPORT","340000000.00","43617144.00","43617144.00","1995-06-30T00:00:00.000"
"IBRD30450","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"VOCATIONAL TRAINING","30000000.00","0.00","0.00","1996-12-31T00:00:00.000"
"IBRD30500","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"UPPER KRISHNA PHASE","165000000.00","6817534.42","6817534.42","1997-06-30T00:00:00.000"
"IBRD30580","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"EXPORT DEVELOPMENT","120000000.00","110951053.16","110951053.16","1996-03-31T00:00:00.000"
"IBRD30590","India","ICICI BANK LIMITED",,"EXPORT DEVELOPMENT","175000000.00","76299623.94","76299623.94","1996-03-31T00:00:00.000"
"IBRD30650","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NATIONAL SERICULTURE","30000000.00","0.00","0.00","1996-12-31T00:00:00.000"
"IBRD30930","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ELECTRONICS","8000000.00","7472562.14","7472562.14","1997-03-31T00:00:00.000"
"IBRD30940","India","ICICI BANK LIMITED",,"ELECTRONICS","101000000.00","50265851.20","50265851.20","1995-12-31T00:00:00.000"
"IBRD30950","India","IDBI BANK LTD",,"ELECTRONICS","82733504.65","3078000.00","3078000.00","1995-12-31T00:00:00.000"
"IBRD3095S","India","IDBI BANK LTD",,"ELECTRONICS","18266495.35","18266495.35","18266495.35","1995-12-31T00:00:00.000"
"IBRD30960","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MAHARASHTRA POWER","359455907.43","296785907.43","296785907.43","1998-12-31T00:00:00.000"
"IBRD3096A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MAHARASHTRA POWER","40544092.57","40544092.57","40544092.57","1998-12-31T00:00:00.000"
"IBRD31080","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"FAMILY WELFARE TRG (","11300000.00","0.00","0.00","1997-03-31T00:00:00.000"
"IBRD31190","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TECHNOLOGY DEVELOPME","145000000.00","113914763.75","113914763.75","1997-12-31T00:00:00.000"
"IBRD31440","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"PUNJAB IRR & DRAINAG","15000000.00","0.00","0.00","1998-03-31T00:00:00.000"
"IBRD31750","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"WTRSH HILLS","13000000.00","0.00","0.00","1997-06-30T00:00:00.000"
"IBRD31810","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"HYDERABAD W/S","10000000.00","0.00","0.00","1998-03-31T00:00:00.000"
"IBRD31950","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TECH EDUC I","25000000.00","0.00","0.00","1998-06-30T00:00:00.000"
"IBRD31960","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CEMENT INDUSTRY REST","300000000.00","273849662.10","273849662.10","1997-06-30T00:00:00.000"
"IBRD31970","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"WTRSH PLAINS","7000000.00","0.00","0.00","1998-03-31T00:00:00.000"
"IBRD31990","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"POP. TRG (VII)","10000000.00","0.00","0.00","1998-06-30T00:00:00.000"
"IBRD32370","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NORTHERN REGION TRANSMISSION PROJECT","288588018.74","288588018.74","288588018.74","2000-09-30T00:00:00.000"
"IBRD3237A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NORTHERN REGION TRANSMISSION PROJECT","196411981.26","61539807.26","61539807.26","2000-09-30T00:00:00.000"
"IBRD32390","India","TATA ELECTRIC COMPANIES",,"PRIVATE POWER UTIL (","98000000.00","98000000.00","98000000.00","1995-06-30T00:00:00.000"
"IBRD32530","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ICDS I (ORIS & ANDHR","10000000.00","0.00","0.00","1997-12-31T00:00:00.000"
"IBRD32580","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"PETROCHEMICALS","12000000.00","11864268.89","11864268.89","1997-09-30T00:00:00.000"
"IBRD32590","India","INDIAN PETROCHEMICALS CORP LTD",,"PETROCHEMICALS","214176222.98","143713411.95","143713411.95","1998-03-31T00:00:00.000"
"IBRD3259A","India","INDIAN PETROCHEMICALS CORP LTD",,"PETROCHEMICALS","18823777.02","1725710.89","1725710.89","1998-03-31T00:00:00.000"
"IBRD32600","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"AP CYCLONE EMERGENCY","40000000.00","40000000.00","40000000.00","1994-03-31T00:00:00.000"
"IBRD33000","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"AGR.DEV.I (TN)","0.00","0.00","0.00","1998-12-31T00:00:00.000"
"IBRD3300A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"AGR.DEV.I (TN)","20000000.00","9277715.64","9277715.64","1998-12-31T00:00:00.000"
"IBRD33250","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"DAM SAFETY","23000000.00","0.00","0.00","1997-09-30T00:00:00.000"
"IBRD33340","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IND POLLUTION CONTROL","114417892.49","114417892.49","114417892.49","1999-03-31T00:00:00.000"
"IBRD3334A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IND POLLUTION CONTROL","9582107.51","2077147.41","2077147.41","1999-03-31T00:00:00.000"
"IBRD33440","India","BOMBAY SUBURBAN ELECTRIC SUPPLY LIMITED",,"PRIVATE POWER UTIL I","200000000.00","194986703.27","194986703.27","1996-12-31T00:00:00.000"
"IBRD33640","India","OIL AND NATURAL GAS COMMISSION",,"GAS FLARING REDUCTIO","450000000.00","450000000.00","450000000.00","1997-12-31T00:00:00.000"
"IBRD33910","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"OIL & GAS SECTOR DEVELOPMENT","150000000.00","150000000.00","150000000.00","1992-06-30T00:00:00.000"
"IBRD34210","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"SAL I","250000000.00","250000000.00","250000000.00","1992-12-31T00:00:00.000"
"IBRD34360","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"POWER UTIL EFFIC IMP","245374724.87","195374724.87","195374724.87","1998-06-30T00:00:00.000"
