"fiscal_year","borrower_country","project_name","procurement_category","procurement_method","major_sector","supplier_contract_amount_usd"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","3065.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","7150.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","30738.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","3833.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","113.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","3229.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","167.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","84.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","12954.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1982.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","14812.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1604.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1065.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","596.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","3152.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","3352.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","601.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1588.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","4291.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","2131.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1655.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1818.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","954.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","954.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","15842.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","3622.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","5269.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1749.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1507.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1722.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","630.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","630.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1806.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","630.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","11863.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","681.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","2451.0"
"2017","Poland","ODRA-VISTULA FLOOD MANAGEMENT PROJECT","Consultant Services","Quality And Cost-Based Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","5389454.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1021.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","5021.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1021.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","10266.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","2608.0"
"2017","Bolivia","Bolivia Climate Resilience - Integrated Basin Management","Civil Works","Request for Bids","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","405308.0"
"2017","Niger","Climate Smart Agriculture Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry","3112.0"
"2017","Poland","ODRA-VISTULA FLOOD MANAGEMENT PROJECT","Consultant Services","Quality And Cost-Based Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","3206497.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","2358481.0"
"2017","Niger","Climate Smart Agriculture Support Project","Consultant Services","Consultant Qualification  Selection","Agriculture, Fishing and Forestry","45579.0"
"2017","Niger","Climate Smart Agriculture Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry","21713.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","32800.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","53728.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","43893.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","35443.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","43715.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","58345.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","39438.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","30439.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management","48472.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","26439.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","20256.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","29359.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","24223.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","59446.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","31474.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","27105.0"
"2017","Malawi","Second Agriculture Sector Wide Approach Support Project","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry","109737.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2110.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1760.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5946.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2504.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2506.0"
"2017","Iraq","Transport Corridors Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Transportation;Public Administration","80250.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1527.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1906.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","4294.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","6024.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2625.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","12068.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2730.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1984.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","4817.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","8759.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","2324.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","1728.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","13029.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","5663.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","24211.0"
"2017","Dominican Republic","INTEGRATED SOCIAL PROTECTION AND PROMOTION PROJECT","Goods","Request for Quotations","Social Protection","1112.0"
"2017","Dominican Republic","INTEGRATED SOCIAL PROTECTION AND PROMOTION PROJECT","Goods","Request for Quotations","Social Protection","192418.0"
"2017","Iraq","Transport Corridors Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Transportation;Public Administration","80250.0"
"2017","Iraq","Transport Corridors Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Transportation;Public Administration","80250.0"
"2017","Iraq","Transport Corridors Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Transportation;Public Administration","80250.0"
"2017","Iraq","Transport Corridors Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Transportation;Public Administration","80250.0"
"2017","Iraq","Transport Corridors Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Transportation;Public Administration","80250.0"
"2017","Albania","Project for Integrated Urban and Tourism Development (PIUTD)","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","116925.0"
"2017","Iraq","Transport Corridors Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Transportation;Public Administration","73280.0"
"2017","Iraq","Transport Corridors Project","Goods","Request for Quotations","Information and Communications Technologies;Transportation;Public Administration","3420.0"
"2017","Mexico","Energy Efficiency in Public Facilities Project (PRESEMEH)","Consultant Services","Individual Consultant Selection","Energy and Extractives","29416.0"
"2017","Rwanda","Rwanda Feeder Roads Development Project","Consultant Services","Quality And Cost-Based Selection","Transportation;Public Administration","268773.0"
"2017","Rwanda","Rwanda Feeder Roads Development Project","Non-consulting Services","Request for Bids","Transportation;Public Administration","8655.0"
"2017","Rwanda","Rwanda Feeder Roads Development Project","Non-consulting Services","Request for Bids","Transportation;Public Administration","5770.0"
"2017","Rwanda","Rwanda Feeder Roads Development Project","Non-consulting Services","Request for Bids","Transportation;Public Administration","10579.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","41654.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","7180.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","39500.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Non-consulting Services","Request for Quotations","Education;Social Protection","13075.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","5683.0"
"2017","Kenya","Kenya Youth Employment and Opportunities","Goods","Request for Quotations","Education;Social Protection","7875.0"
"2017","Tanzania","Second Tanzania Water Sector Support Project","Consultant Services","Quality And Cost-Based Selection","Water, Sanitation and Waste Management","518435.0"
"2017","Niger","NIGER Skills Development for Growth Project","Consultant Services","Direct Selection","Education;Public Administration;Industry, Trade and Services","1327.0"
"2017","Mexico","Energy Efficiency in Public Facilities Project (PRESEMEH)","Non-consulting Services","Request for Quotations","Energy and Extractives","39550.0"
"2017","Tajikistan","Higher Education Project","Consultant Services","Individual Consultant Selection","Education","47.0"
"2017","Pakistan","Dasu Hydropower Stage I Project","Civil Works","Request for Bids","Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","364815282.0"
"2017","Niger","NIGER Skills Development for Growth Project","Consultant Services","Direct Selection","Education;Public Administration;Industry, Trade and Services","1122.0"
"2017","Niger","NIGER Skills Development for Growth Project","Consultant Services","Direct Selection","Education;Public Administration;Industry, Trade and Services","518.0"
"2017","Niger","NIGER Skills Development for Growth Project","Consultant Services","Direct Selection","Education;Public Administration;Industry, Trade and Services","431.0"
"2017","Niger","NIGER Skills Development for Growth Project","Consultant Services","Direct Selection","Education;Public Administration;Industry, Trade and Services","431.0"
"2017","Malawi","Malawi Education Sector Improvement Project (MESIP)","Goods","Request for Quotations","Education","6671.0"
"2017","Eastern and Southern Africa","Development Response to Displacement Impacts Project in the HoA","Goods","Request for Bids","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","142010.0"
"2017","Poland","ODRA-VISTULA FLOOD MANAGEMENT PROJECT","Consultant Services","Quality And Cost-Based Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","13728303.0"
"2017","Kenya","Kenya GPE Primary Education Development Project","Consultant Services","Consultant Qualification  Selection","Education","211686.0"
"2017","Kenya","Kenya GPE Primary Education Development Project","Consultant Services","Individual Consultant Selection","Education","8857.0"
"2017","Kyrgyz Republic","AGRICULTURE PRODUCTIVITY AND NUTRITION IMPROVEMENT PROJECT","Consultant Services","Direct Selection","Health;Agriculture, Fishing and Forestry","6791.0"
"2017","Kyrgyz Republic","AGRICULTURE PRODUCTIVITY AND NUTRITION IMPROVEMENT PROJECT","Consultant Services","Direct Selection","Health;Agriculture, Fishing and Forestry","15620.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","49071.0"
"2017","Colombia","Subnational Institutional Strengthening","Consultant Services","Quality And Cost-Based Selection","Public Administration","469048.0"
"2017","Kenya","Kenya GPE Primary Education Development Project","Non-consulting Services","Request for Bids","Education","92977.0"
"2017","Poland","ODRA-VISTULA FLOOD MANAGEMENT PROJECT","Consultant Services","Quality And Cost-Based Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","29195000.0"
"2017","India","MP Higher Education Quality Improvement Project","Consultant Services","Quality And Cost-Based Selection","Education","421513.0"
"2017","Georgia","Third Regional Development Project","Civil Works","Request for Bids","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","390758.0"
"2017","Solomon Islands","Pacific Islands Regional Oceanscape Program - Solomon Islands","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","74843.0"
"2017","Argentina","Access to Longer Term Finance for Micro, Small and Medium Enterprises Project","Consultant Services","Individual Consultant Selection","Financial Sector;Industry, Trade and Services","29801.0"
"2017","Rwanda","Rwanda Electricity Sector Strengthening Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","886.0"
"2017","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","6782.0"
"2017","Rwanda","Landscape Approach to Forest Restoration and Conservation (LAFREC)","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","12113.0"
"2017","Afghanistan","Naghlu Hydropower Rehabilitation Project","Goods","Request for Bids","Energy and Extractives;Water, Sanitation and Waste Management","106433.0"
"2017","Afghanistan","Naghlu Hydropower Rehabilitation Project","Civil Works","Request for Bids","Energy and Extractives;Water, Sanitation and Waste Management","3389603.0"
