"fiscal_year","major_sector","supplier_contract_amount_usd"
"2017","Information and Communications Technologies;Education;Industry, Trade and Services","19507706.0"
"2017","Energy and Extractives;Water, Sanitation and Waste Management","18116278.0"
"2017","Social Protection;Public Administration","18046331.0"
"2017","Health;Education;Public Administration","15591433.0"
"2017","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","15047058.0"
"2017","Education;Public Administration","14454477.0"
"2017","Water, Sanitation and Waste Management;Industry, Trade and Services","14093693.0"
"2017","Health;Social Protection;Public Administration","13798029.0"
"2017","Financial Sector;Public Administration","13570092.0"
"2017","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","12963758.0"
"2017","Financial Sector;Industry, Trade and Services","11943184.0"
"2017","Education;Transportation;Social Protection;Agriculture, Fishing and Forestry;Public Administration","11841774.0"
"2017","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","11834496.0"
"2017","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","11689864.0"
"2017","Information and Communications Technologies;Education;Health;Public Administration","11422747.0"
"2017","Financial Sector;Public Administration;Industry, Trade and Services","9768926.0"
"2017","Transportation;Social Protection;Public Administration","9471137.0"
"2017","Education;Transportation;Public Administration","9153267.0"
"2017","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","9078845.0"
"2017","Transportation;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","8908763.0"
"2017","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","8068997.0"
"2017","Financial Sector;Transportation;Energy and Extractives;Industry, Trade and Services","7854628.0"
"2017","Transportation;Agriculture, Fishing and Forestry","7473037.0"
"2017","Financial Sector;Health;Transportation;Water, Sanitation and Waste Management;Public Administration","6966301.0"
"2017","Education;Health;Agriculture, Fishing and Forestry;Public Administration","6826522.0"
"2017","Information and Communications Technologies;Public Administration;Industry, Trade and Services","6722598.0"
"2017","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","6596643.0"
"2017","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","6331577.0"
"2017","Financial Sector;Social Protection;Public Administration","6087063.0"
"2017","Information and Communications Technologies;Health","5528846.0"
"2017","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","5234017.0"
"2017","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","5210607.0"
"2017","Energy and Extractives;Agriculture, Fishing and Forestry","4516459.0"
"2017","Financial Sector;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","4226414.0"
"2017","Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","4125657.0"
"2017","Financial Sector;Transportation;Industry, Trade and Services","4001156.0"
"2017","Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","3959990.0"
"2017","Education;Public Administration;Industry, Trade and Services","3932320.0"
"2017","Transportation;Agriculture, Fishing and Forestry;Public Administration","3925778.0"
"2017","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration;Industry, Trade and Services","3892452.0"
"2017","Information and Communications Technologies;Transportation;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","3871997.0"
"2017","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","3292644.0"
"2017","Information and Communications Technologies;Agriculture, Fishing and Forestry","2855356.0"
"2017","Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","2842890.0"
"2017","Health;Transportation;Public Administration","2836805.0"
"2017","Transportation;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","2826367.0"
"2017","Education;Health;Public Administration","2805720.0"
"2017","Health;Education;Social Protection;Public Administration","2785237.0"
"2017","Education;Agriculture, Fishing and Forestry;Public Administration","2723495.0"
"2017","Financial Sector;Education;Social Protection","2710487.0"
"2017","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","2648212.0"
"2017","Health;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","2646983.0"
"2017","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","2566080.0"
"2017","Transportation;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","2425366.0"
"2017","Financial Sector;Information and Communications Technologies","2348554.0"
"2017","Education;Social Protection;Industry, Trade and Services","2266636.0"
"2017","Education;Health;Agriculture, Fishing and Forestry","2076165.0"
"2017","Financial Sector;Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","2042627.0"
"2017","Health;Education;Social Protection;Water, Sanitation and Waste Management","1943779.0"
"2017","Education;Health;Transportation;Public Administration","1883378.0"
"2017","Health;Education;Social Protection","1851372.0"
"2017","Health;Education;Transportation;Water, Sanitation and Waste Management;Public Administration","1794108.0"
"2017","Health;Education","1772505.0"
"2017","Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","1752456.0"
"2017","Financial Sector;Agriculture, Fishing and Forestry;Industry, Trade and Services","1721679.0"
"2017","Health;Education;Agriculture, Fishing and Forestry;Public Administration","1501331.0"
"2017","Health;Social Protection;Water, Sanitation and Waste Management","1420348.0"
"2017","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","1370230.0"
"2017","Information and Communications Technologies;Education;Public Administration","1307591.0"
"2017","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1272108.0"
"2017","Education;Social Protection;Public Administration","1219240.0"
"2017","Water, Sanitation and Waste Management;Social Protection","1217400.0"
"2017","Public Administration;Industry, Trade and Services","1207044.0"
"2017","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","1157099.0"
"2017","Transportation;Social Protection;Agriculture, Fishing and Forestry;Public Administration","1012920.0"
"2017","Energy and Extractives;Industry, Trade and Services","990568.0"
"2017","Transportation;Social Protection","892225.0"
"2017","Financial Sector;Energy and Extractives;Industry, Trade and Services","816129.0"
"2017","Health;Public Administration","776249.0"
"2017","Financial Sector;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","757141.0"
"2017","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","674213.0"
"2017","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","670994.0"
"2017","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry;Public Administration","665936.0"
"2017","Financial Sector;Education;Agriculture, Fishing and Forestry;Public Administration","633284.0"
"2017","","501540.0"
"2017","Financial Sector;Social Protection;Water, Sanitation and Waste Management;Industry, Trade and Services","492452.0"
"2017","Information and Communications Technologies;Social Protection;Public Administration","491454.0"
"2017","Information and Communications Technologies;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","476604.0"
"2017","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","470906.0"
"2017","Education;Health","456829.0"
"2017","Education;Transportation;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","446274.0"
"2017","Health;Agriculture, Fishing and Forestry","443979.0"
"2017","Information and Communications Technologies;Education;Energy and Extractives","437831.0"
"2017","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","437030.0"
"2017","Education;Energy and Extractives;Public Administration","407718.0"
"2017","Transportation;Social Protection;Water, Sanitation and Waste Management","395670.0"
"2017","Financial Sector;Social Protection;Agriculture, Fishing and Forestry;Public Administration","395662.0"
"2017","Information and Communications Technologies;Industry, Trade and Services","393749.0"
"2017","Financial Sector;Transportation;Water, Sanitation and Waste Management;Public Administration","353852.0"
"2017","Information and Communications Technologies;Social Protection","347854.0"
"2017","Transportation;Public Administration;Industry, Trade and Services","340135.0"
"2017","Education;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","329289.0"
"2017","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","326309.0"
"2017","Social Protection;Industry, Trade and Services","320785.0"
"2017","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry","304665.0"
"2017","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration","276211.0"
"2017","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","268322.0"
"2017","Information and Communications Technologies;Agriculture, Fishing and Forestry;Industry, Trade and Services","262117.0"
"2017","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","259767.0"
"2017","Transportation;Energy and Extractives;Water, Sanitation and Waste Management","225906.0"
"2017","Education;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","220148.0"
"2017","Transportation;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","209795.0"
"2017","Financial Sector;Energy and Extractives;Agriculture, Fishing and Forestry;Industry, Trade and Services","205075.0"
"2017","Health;Energy and Extractives","201293.0"
"2017","Financial Sector;Energy and Extractives","190893.0"
"2017","Transportation;Water, Sanitation and Waste Management;Social Protection","168000.0"
"2017","Financial Sector;Information and Communications Technologies;Public Administration","167998.0"
"2017","Health;Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","142629.0"
"2017","Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","127410.0"
"2017","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","114000.0"
"2017","Energy and Extractives;Public Administration;Industry, Trade and Services","96000.0"
"2017","Health;Social Protection;Agriculture, Fishing and Forestry","82573.0"
"2017","Information and Communications Technologies;Water, Sanitation and Waste Management;Public Administration","72988.0"
"2017","Financial Sector;Energy and Extractives;Public Administration","59177.0"
"2017","Education;Agriculture, Fishing and Forestry","52500.0"
"2017","Health;Water, Sanitation and Waste Management;Public Administration","49168.0"
"2017","Information and Communications Technologies;Education;Social Protection","48400.0"
"2017","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","39295.0"
"2017","Education;Transportation;Social Protection;Industry, Trade and Services","30525.0"
"2017","Education;Transportation;Energy and Extractives;Public Administration","13105.0"
"2017","Education;Health;Social Protection","9000.0"
"2018","Transportation","3648525909.0"
"2018","Energy and Extractives","1501395867.0"
"2018","Transportation;Water, Sanitation and Waste Management;Public Administration","1254774481.0"
"2018","Water, Sanitation and Waste Management","941636633.0"
"2018","Health","459747618.0"
"2018","Education","421392201.0"
"2018","Agriculture, Fishing and Forestry;Industry, Trade and Services","361878273.0"
"2018","Transportation;Public Administration","256239318.0"
"2018","Agriculture, Fishing and Forestry","228875650.0"
"2018","Water, Sanitation and Waste Management;Social Protection","193102167.0"
"2018","Social Protection;Agriculture, Fishing and Forestry","177985624.0"
"2018","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","172758419.0"
"2018","Information and Communications Technologies;Transportation","143551646.0"
"2018","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","139638657.0"
"2018","Water, Sanitation and Waste Management;Public Administration","134841679.0"
"2018","Information and Communications Technologies;Public Administration","121923764.0"
"2018","Social Protection","121690066.0"
"2018","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","117312112.0"
"2018","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","111561355.0"
"2018","Education;Transportation;Water, Sanitation and Waste Management;Public Administration","102872157.0"
"2018","Public Administration","96293573.0"
"2018","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","93771768.0"
"2018","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","84352625.0"
"2018","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","83841688.0"
"2018","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","81336982.0"
"2018","Health;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","65243743.0"
"2018","Transportation;Public Administration;Industry, Trade and Services","63970748.0"
"2018","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","62279975.0"
"2018","Information and Communications Technologies","58738113.0"
"2018","Industry, Trade and Services","53639707.0"
"2018","Transportation;Agriculture, Fishing and Forestry","47375456.0"
"2018","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","44291193.0"
"2018","Transportation;Agriculture, Fishing and Forestry;Public Administration","43424200.0"
"2018","Transportation;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","43252361.0"
"2018","Information and Communications Technologies;Transportation;Industry, Trade and Services","42905149.0"
"2018","Transportation;Water, Sanitation and Waste Management","37665920.0"
"2018","Health;Water, Sanitation and Waste Management;Public Administration","35801245.0"
"2018","Health;Social Protection","34871573.0"
"2018","Transportation;Social Protection","34831614.0"
"2018","Financial Sector;Energy and Extractives","33470087.0"
"2018","Transportation;Energy and Extractives","32721934.0"
"2018","Energy and Extractives;Public Administration","32610134.0"
"2018","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","32086520.0"
"2018","Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","31677442.0"
"2018","Energy and Extractives;Water, Sanitation and Waste Management","31417223.0"
"2018","Education;Social Protection","28675998.0"
"2018","Health;Water, Sanitation and Waste Management","28555630.0"
"2018","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration;Industry, Trade and Services","27835960.0"
"2018","Financial Sector;Public Administration;Industry, Trade and Services","27247678.0"
"2018","Social Protection;Public Administration","24909359.0"
"2018","Health;Education;Transportation;Water, Sanitation and Waste Management;Public Administration","24634204.0"
"2018","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","24042188.0"
"2018","Health;Education;Social Protection","23882227.0"
"2018","Information and Communications Technologies;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","22109407.0"
"2018","Education;Health;Public Administration","21609189.0"
"2018","Social Protection;Industry, Trade and Services","21438742.0"
"2018","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","21033955.0"
"2018","Agriculture, Fishing and Forestry;Public Administration","20843661.0"
"2018","Transportation;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","20428542.0"
"2018","Energy and Extractives;Agriculture, Fishing and Forestry","19772579.0"
"2018","Public Administration;Industry, Trade and Services","19748417.0"
"2018","Education;Public Administration","18709046.0"
"2018","Water, Sanitation and Waste Management;Industry, Trade and Services","18538980.0"
"2018","Education;Social Protection;Public Administration","18415484.0"
"2018","Financial Sector","17407109.0"
"2018","Transportation;Industry, Trade and Services","15677976.0"
"2018","Information and Communications Technologies;Agriculture, Fishing and Forestry;Industry, Trade and Services","15053125.0"
"2018","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","12708448.0"
"2018","Education;Transportation;Public Administration","11220702.0"
"2018","Financial Sector;Industry, Trade and Services","11151073.0"
"2018","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","10935985.0"
"2018","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","10333265.0"
"2018","Information and Communications Technologies;Education","10288529.0"
"2018","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","10140683.0"
"2018","Health;Transportation;Water, Sanitation and Waste Management","10136883.0"
"2018","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","10136368.0"
"2018","Information and Communications Technologies;Agriculture, Fishing and Forestry","10050385.0"
"2018","Financial Sector;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","9636325.0"
"2018","Education;Health;Transportation;Water, Sanitation and Waste Management;Public Administration","9587718.0"
"2018","Education;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","9383160.0"
"2018","Education;Energy and Extractives","8892899.0"
"2018","Health;Agriculture, Fishing and Forestry","8812780.0"
"2018","Health;Social Protection;Agriculture, Fishing and Forestry","8785185.0"
"2018","Education;Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","8280667.0"
"2018","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","8227800.0"
"2018","Education;Health;Agriculture, Fishing and Forestry;Public Administration","7978339.0"
"2018","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","7962030.0"
"2018","Education;Health","7949515.0"
"2018","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","7930366.0"
"2018","Information and Communications Technologies;Education;Industry, Trade and Services","7760778.0"
"2018","Education;Agriculture, Fishing and Forestry;Public Administration","7611090.0"
"2018","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration","7187469.0"
"2018","Health;Transportation","6130992.0"
"2018","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","5907607.0"
"2018","Health;Energy and Extractives","5803770.0"
"2018","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","5556565.0"
"2018","Health;Transportation;Energy and Extractives;Social Protection","5479149.0"
"2018","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection;Public Administration","5478618.0"
"2018","Financial Sector;Transportation;Energy and Extractives;Industry, Trade and Services","5477406.0"
"2018","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","5313238.0"
"2018","Water, Sanitation and Waste Management;Social Protection;Public Administration","5261880.0"
"2018","Health;Education","5209700.0"
"2018","Transportation;Social Protection;Water, Sanitation and Waste Management","5080585.0"
"2018","Health;Public Administration","5065618.0"
"2018","Education;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","4852387.0"
"2018","Financial Sector;Social Protection;Public Administration","4836702.0"
"2018","Information and Communications Technologies;Health","4806049.0"
"2018","Financial Sector;Education","4655804.0"
"2018","Education;Social Protection;Industry, Trade and Services","4503544.0"
"2018","Information and Communications Technologies;Education;Health;Public Administration","4432123.0"
"2018","Information and Communications Technologies;Education;Public Administration;Industry, Trade and Services","4346648.0"
"2018","Education;Public Administration;Industry, Trade and Services","4268688.0"
"2018","Information and Communications Technologies;Energy and Extractives","4224686.0"
"2018","Social Protection;Agriculture, Fishing and Forestry;Public Administration","4035119.0"
"2018","Energy and Extractives;Social Protection","3983187.0"
"2018","Education;Health;Water, Sanitation and Waste Management;Social Protection;Public Administration","3927905.0"
"2018","","3886716.0"
"2018","Transportation;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","3654073.0"
"2018","Health;Education;Social Protection;Public Administration","3608486.0"
"2018","Health;Education;Agriculture, Fishing and Forestry;Public Administration","3603130.0"
"2018","Information and Communications Technologies;Transportation;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","3441147.0"
"2018","Financial Sector;Public Administration","3351714.0"
"2018","Health;Education;Public Administration","3259399.0"
"2018","Financial Sector;Transportation;Industry, Trade and Services","3135776.0"
"2018","Health;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","2753855.0"
"2018","Information and Communications Technologies;Education;Public Administration","2439312.0"
"2018","Financial Sector;Energy and Extractives;Industry, Trade and Services","2411044.0"
"2018","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","2360354.0"
"2018","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","2318045.0"
"2018","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry;Public Administration","2313775.0"
"2018","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","2257182.0"
"2018","Information and Communications Technologies;Social Protection","2241855.0"
"2018","Financial Sector;Education;Public Administration","2053495.0"
"2018","Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","2010245.0"
"2018","Information and Communications Technologies;Public Administration;Industry, Trade and Services","1982400.0"
"2018","Education;Transportation;Energy and Extractives;Public Administration","1937850.0"
"2018","Education;Transportation;Social Protection;Water, Sanitation and Waste Management","1867473.0"
"2018","Health;Transportation;Industry, Trade and Services","1824547.0"
"2018","Energy and Extractives;Agriculture, Fishing and Forestry;Industry, Trade and Services","1723620.0"
"2018","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1716322.0"
"2018","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry","1656190.0"
"2018","Education;Health;Transportation;Public Administration","1649257.0"
"2018","Energy and Extractives;Public Administration;Industry, Trade and Services","1631624.0"
"2018","Health;Education;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1613657.0"
"2018","Health;Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","1575679.0"
"2018","Financial Sector;Information and Communications Technologies;Public Administration","1521240.0"
"2018","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","1508911.0"
"2018","Education;Health;Transportation;Agriculture, Fishing and Forestry;Public Administration","1497684.0"
"2018","Health;Agriculture, Fishing and Forestry;Industry, Trade and Services","1462621.0"
"2018","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","1383369.0"
"2018","Financial Sector;Information and Communications Technologies","1274874.0"
"2018","Financial Sector;Education;Social Protection","1270844.0"
"2018","Information and Communications Technologies;Health;Agriculture, Fishing and Forestry","1266307.0"
"2018","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","1179019.0"
"2018","Education;Health;Social Protection","1159179.0"
"2018","Education;Social Protection;Agriculture, Fishing and Forestry","1121242.0"
"2018","Financial Sector;Transportation;Energy and Extractives;Public Administration","1097716.0"
"2018","Education;Energy and Extractives;Public Administration","1033930.0"
"2018","Financial Sector;Transportation;Water, Sanitation and Waste Management;Public Administration","947093.0"
"2018","Energy and Extractives;Agriculture, Fishing and Forestry;Public Administration","946237.0"
"2018","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","906350.0"
"2018","Energy and Extractives;Industry, Trade and Services","891412.0"
"2018","Education;Industry, Trade and Services","835077.0"
"2018","Financial Sector;Information and Communications Technologies;Public Administration;Industry, Trade and Services","787030.0"
"2018","Financial Sector;Health;Public Administration","727007.0"
"2018","Health;Social Protection;Public Administration","695062.0"
"2018","Information and Communications Technologies;Energy and Extractives;Industry, Trade and Services","652873.0"
"2018","Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry","630836.0"
"2018","Information and Communications Technologies;Water, Sanitation and Waste Management;Public Administration","600572.0"
"2018","Information and Communications Technologies;Health;Education;Public Administration","561744.0"
"2018","Information and Communications Technologies;Industry, Trade and Services","525424.0"
"2018","Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","500828.0"
"2018","Transportation;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","498722.0"
"2018","Information and Communications Technologies;Education;Energy and Extractives","488177.0"
"2018","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","477297.0"
"2018","Information and Communications Technologies;Social Protection;Agriculture, Fishing and Forestry","444277.0"
"2018","Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","431686.0"
"2018","Transportation;Social Protection;Public Administration","421075.0"
"2018","Financial Sector;Agriculture, Fishing and Forestry;Industry, Trade and Services","419497.0"
"2018","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","392219.0"
"2018","Education;Transportation;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","390552.0"
"2018","Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","373998.0"
"2018","Financial Sector;Social Protection;Public Administration;Industry, Trade and Services","373359.0"
"2018","Information and Communications Technologies;Health;Social Protection","339088.0"
"2018","Education;Agriculture, Fishing and Forestry","323563.0"
