"country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount"
"North Macedonia","2334510123.83","446599786.21","258966036.06","1570526203.29"
"Belarus","2196420000.00","25494802.04","407388274.15","1742591483.78"
"Bosnia and Herzegovina","2150816697.32","145351436.50","341293434.37","1619493555.63"
"Kenya","1986214900.00","270271474.98","137364723.97","1553812959.43"
"Sri Lanka","1856710000.00","352930357.67","576161142.89","944414392.47"
"Albania","1722160000.00","140253250.83","428627812.10","1063338595.11"
"Yugoslavia, former","1672594835.17","984542235.80","0.00","571401374.88"
"Portugal","1391486308.30","365155999.82","0.00","973628417.79"
"Bolivia","1343908794.77","39319264.45","310138372.02","982742363.53"
"Botswana","1292663901.44","140747261.72","338434212.64","802079866.64"
"Gabon","1221500000.00","108632484.18","135782274.33","967285679.87"
"Armenia","1124900000.00","41747486.27","159650664.15","918565291.04"
"Latvia","984615000.00","71408458.64","0.01","887526526.12"
"Zimbabwe","939300000.00","53297024.84","0.00","886002975.16"
"Papua New Guinea","866620000.00","70563079.67","80000000.00","716056920.33"
"Japan","862900000.00","0.00","0.00","857041003.81"
"Mauritius","848116827.96","131873527.77","-0.01","719685767.48"
"Montenegro","817443054.60","88503460.34","228536733.62","450170690.67"
"Honduras","717250000.00","26236959.71","0.00","690980653.04"
"Zambia","635350000.00","51552578.13","0.00","571129983.78"
"Czech Republic","626000000.00","114342545.64","0.00","511686256.67"
"Syrian Arab Republic","613200000.00","194580423.99","0.00","418619576.01"
"Moldova","588680000.00","94516865.09","159023432.23","352457701.53"
"Slovak Republic","574520000.00","27735951.13","-0.01","596975665.27"
"Congo, Republic of","491700000.00","28331631.28","118606884.48","339486315.50"
"Greece","490800000.00","117534339.78","0.00","372340660.22"
"Lithuania","490790000.00","94745349.13","-0.01","404108184.08"
"Spain","478700000.00","868354.51","0.00","416303805.35"
"Cyprus","460743240.17","94656258.01","0.00","324143741.99"
"Australia","417730000.00","0.00","0.00","417730000.00"
"Eswatini","411460295.99","55591797.41","113859255.29","288274449.84"
"Trinidad and Tobago","404600000.00","45778820.54","19950000.00","287871179.46"
"Italy","399628000.00","0.00","0.00","398028000.00"
"Kosovo","385645133.96","0.00","0.00","385645133.97"
"Slovenia","371647501.50","66852188.75","0.00","299278073.74"
"Tanzania","361030400.00","5477944.02","0.00","355552455.98"
"Fiji","354850000.00","9920950.01","28753894.55","316175155.44"
"Congo, Democratic Republic of","330000000.00","67332.27","0.00","301515521.87"
"Taiwan, China","329400000.00","19361620.53","0.00","309785175.75"
"Finland","316779464.39","14297310.07","0.00","302237035.65"
"Israel","284500000.00","701448.93","0.00","283798551.07"
"Barbados","253350000.00","16814302.35","0.00","236535697.65"
"France","250000000.00","0.00","0.00","250000000.00"
"Netherlands","244000000.00","0.00","0.00","236451984.72"
"Mongolia","233800000.00","0.00","199000000.00","34800000.00"
"Nicaragua","233550000.00","1453797.85","0.00","229605030.22"
"Ghana","190500000.00","200780020.83","0.00","189719979.17"
"Singapore","181300000.00","1056542.54","0.00","179353244.55"
"Sudan","166000000.00","27014050.60","0.00","138985949.40"
"Senegal","162950000.00","29946542.57","0.00","126503457.43"
"Belize","162400000.00","6433909.63","31200000.00","124766090.37"
"Ireland","158309733.80","2153546.65","0.00","150346453.35"
"Oman","157050000.00","14739777.51","0.00","142310222.49"
"Seychelles","156700000.00","195885.31","28398002.79","128145256.54"
"Liberia","155950000.00","14693264.56","0.00","141256735.44"
"Lesotho","155000000.00","65649284.26","0.00","89350715.74"
"Estonia","150700000.00","19676222.12","0.00","125411712.32"
"Mauritania","146000000.00","0.00","0.00","146000000.00"
"Norway","145000000.00","0.00","0.00","145000000.00"
"Bahamas, The","142800000.00","3548186.46","0.00","139251813.54"
"New Zealand","126800000.00","17254120.91","0.00","101545879.09"
"Malawi","124100000.00","19583574.31","0.00","104516425.69"
"Eastern and Southern Africa","110955000.00","118750.41","0.00","110782250.58"
"Turkmenistan","109500000.00","51600566.10","4994518.81","52904915.09"
"Ethiopia","108600000.00","3022.78","0.00","108596977.22"
"Austria","106336428.57","0.00","0.00","104860082.57"
"Western and Central Africa","93600000.00","2332957.38","0.00","91267042.62"
"Southern Africa","87700000.00","0.00","0.00","87700000.00"
"Denmark","85000000.00","0.00","0.00","85000000.00"
"Caribbean","83000000.00","30297989.52","0.00","52702010.48"
"Guyana","79950000.00","3407495.12","0.00","76211521.88"
"Belgium","76000000.00","0.00","0.00","76000000.00"
"Guinea","75200000.00","0.00","0.00","73500000.00"
"Cabo Verde","62000000.00","56571.37","3491250.00","56642057.16"
"Suriname","58000000.00","0.00","52330352.58","5669647.42"
"Bangladesh","54895633.38","0.00","0.00","54895633.38"
"Iceland","47014000.00","0.00","0.00","47014000.00"
"Uganda","43199700.00","277411.36","0.00","42922288.63"
"Grenada","40198161.00","5462837.05","5740736.12","28994587.83"
"St. Lucia","40146161.00","2292682.44","0.00","37853478.56"
"Chad","39500000.00","2139893.71","0.00","37360106.29"
"Myanmar","33350000.00","0.00","0.00","33123943.82"
"Madagascar","32850000.00","279119.93","0.00","32570880.07"
"Mozambique","30000000.00","30000000.00","0.00","0.00"
"St. Kitts and Nevis","27319322.00","3118387.99","0.00","24200934.01"
"Sierra Leone","18700000.00","0.00","0.00","18700000.00"
"Timor-Leste","15000000.00","46317.37","0.00","14953682.63"
"Namibia","15000000.00","0.00","0.00","15074534.82"
"St. Vincent and the Grenadines","14642161.00","4943783.71","0.00","9698377.29"
"Antigua and Barbuda","12000000.00","7435745.73","168277.00","4395977.27"
"Luxembourg","12000000.00","0.00","0.00","11761983.02"
"Dominica","7760000.00","2763956.40","0.00","4996043.60"
"Malta","7500000.00","1459920.43","0.00","6040079.57"
"Burundi","4800000.00","0.00","0.00","4800000.00"
"Togo","3500000.00","0.00","0.00","3500000.00"
"Haiti","2600000.00","0.00","0.00","2600000.00"
