"fiscal_year","borrower_country","wb_contract_number","supplier","supplier_contract_amount_usd"
"2019","Nepal","154","Individual Consultant","3954946.0"
"2021","Somalia","154","Individual Consultant","14392093.0"
"2021","Bangladesh","153","Individual Consultant","12238000.0"
"2019","Argentina","149","Individual Consultant","1974121.0"
"2021","Philippines","149","Individual Consultant","647584.0"
"2019","Egypt, Arab Republic of","148","RAMCO PHARM","3964568.0"
"2019","India","144","M/S.AYYA FOOD LIFECARE, ARANMANAIPUDHUR, THENI","169455.0"
"2019","Pakistan","142","Individual Consultant","2419434.0"
"2022","Peru","142","Individual Consultant","2044870.0"
"2017","Argentina","140","Individual Consultant","820349.0"
"2019","Eastern and Southern Africa","138","Individual Consultant","6010468.0"
"2018","Pakistan","137","Individual Consultant","3956957.0"
"2021","Nepal","136","Individual Consultant","1791638.0"
"2022","Somalia","134","Individual Consultant","6753416.0"
"2020","Eastern and Southern Africa","133","Individual Consultant","9589190.0"
"2020","Somalia","132","Individual Consultant","15508839.0"
"2020","Argentina","132","Individual Consultant","771359.0"
"2018","Western and Central Africa","131","Individual Consultant","2836050.0"
"2019","Colombia","130","Individual Consultant","2947584.0"
"2019","Congo, Democratic Republic of","130","Individual Consultant","5440164.0"
"2020","India","129","NIRAV BIOSOLUTIONS PVT LTD.","7515803.0"
"2022","Mongolia","129","Individual Consultant","1852422.0"
"2021","Cameroon","129","Individual Consultant","2849025.0"
"2018","Kyrgyz Republic","128","Individual Consultant","1535314.0"
"2022","Brazil","128","Individual Consultant","6156458.0"
"2021","Mozambique","128","Individual Consultant","8164820.0"
"2022","Lao People's Democratic Republic","127","Individual Consultant","3978580.0"
"2020","Bangladesh","126","Individual Consultant","12531288.0"
"2020","Nigeria","126","Individual Consultant","6413987.0"
"2021","Kyrgyz Republic","123","Individual Consultant","794848.0"
"2021","Vietnam","122","Individual Consultant","2489335.0"
"2019","Brazil","121","Individual Consultant","36719476.0"
"2021","West Bank and Gaza","120","Individual Consultant","3150957.0"
"2020","Pakistan","119","Individual Consultant","2494897.0"
"2019","Kyrgyz Republic","117","Individual Consultant","1313010.0"
"2022","Kyrgyz Republic","116","Individual Consultant","667861.0"
"2020","Vietnam","114","Individual Consultant","3053710.0"
"2019","Nicaragua","113","Individual Consultant","1840645.0"
"2020","India","112","QIAGEN INDIA PVT. LTD.","6382170.0"
"2020","Mongolia","110","Individual Consultant","66755840.0"
"2022","Pakistan","110","Individual Consultant","3101689.0"
"2022","West Bank and Gaza","109","Individual Consultant","2554283.0"
"2018","Burkina Faso","107","Individual Consultant","2588971.0"
"2021","Cote d'Ivoire","107","Individual Consultant","3127711.0"
"2019","Uruguay","106","Individual Consultant","2150383.0"
"2019","Papua New Guinea","106","Individual Consultant","6375407.0"
"2018","Mozambique","105","Individual Consultant","7555521.0"
"2018","Colombia","105","Individual Consultant","2101742.0"
"2021","Mongolia","104","Individual Consultant","14801847.0"
"2019","Egypt, Arab Republic of","104","PHARCO","7402738.0"
"2020","Kyrgyz Republic","104","Individual Consultant","1007005.0"
"2019","Mozambique","104","Individual Consultant","7693740.0"
"2021","Niger","103","Individual Consultant","2550169.0"
"2021","Indonesia","103","Individual Consultant","2280294.0"
"2021","Pakistan","103","Individual Consultant","4880337.0"
"2020","Brazil","102","Individual Consultant","5947027.0"
"2020","Congo, Democratic Republic of","102","Individual Consultant","3956600.0"
"2018","Angola","102","Individual Consultant","15508938.0"
"2019","Philippines","101","Individual Consultant","1228835.0"
"2022","Nicaragua","101","Individual Consultant","835203.0"
"2018","India","100","Individual Consultant","2289512.0"
"2020","Congo, Republic of","100","Individual Consultant","4537089.0"
"2022","Niger","98","Individual Consultant","2648512.0"
"2021","India","97","Individual Consultant","1335593.0"
"2017","Colombia","96","Individual Consultant","2772528.0"
"2022","Turkiye","95","Individual Consultant","1688551.0"
"2022","Indonesia","94","Individual Consultant","1543894.0"
"2021","Nigeria","93","Individual Consultant","6966422.0"
"2020","Lao People's Democratic Republic","92","Individual Consultant","4358574.0"
"2022","Cameroon","92","Individual Consultant","1491273.0"
"2019","Mongolia","92","Individual Consultant","2303749.0"
"2021","Benin","92","Individual Consultant","2449543.0"
"2021","Burkina Faso","91","Individual Consultant","3141551.0"
"2017","Nicaragua","90","Individual Consultant","2003453.0"
"2020","Ecuador","89","Individual Consultant","1890276.0"
"2022","Dominican Republic","88","Individual Consultant","1011298.0"
"2018","St. Vincent and the Grenadines","87","Individual Consultant","430410.0"
"2022","Congo, Democratic Republic of","87","Individual Consultant","3114816.0"
"2020","Ghana","87","Individual Consultant","3236344.0"
"2019","India","86","COMMUNITY CONTRACTING","8084959.0"
"2019","Togo","86","Individual Consultant","2314848.0"
"2020","Mozambique","86","Individual Consultant","4788328.0"
"2019","Egypt, Arab Republic of","86","Individual Consultant","2954399.0"
"2018","Mongolia","85","Individual Consultant","2581756.0"
"2021","Moldova","84","Individual Consultant","968320.0"
"2020","Nepal","84","Individual Consultant","745702.0"
"2021","Malawi","83","Individual Consultant","3058616.0"
"2018","Eastern and Southern Africa","82","Individual Consultant","9790320.0"
"2022","Burundi","82","Individual Consultant","2710567.0"
"2020","Malawi","81","Individual Consultant","3457767.0"
"2020","Ethiopia","81","Individual Consultant","2244492.0"
"2020","Cote d'Ivoire","79","Individual Consultant","2135680.0"
"2019","Ethiopia","79","Individual Consultant","1624632.0"
"2017","Somalia","78","Individual Consultant","9156383.0"
"2018","Peru","78","Individual Consultant","2219347.0"
"2022","Angola","78","Individual Consultant","6558549.0"
"2022","India","76","Individual Consultant","1254131.0"
"2019","Malawi","76","Individual Consultant","5773970.0"
"2019","Egypt, Arab Republic of","76","EIPICO","8000264.0"
"2022","Senegal","75","Individual Consultant","9135920.0"
"2018","Vietnam","75","Individual Consultant","2388457.0"
"2017","Armenia","75","Individual Consultant","249780.0"
"2022","Malawi","73","Individual Consultant","2148550.0"
"2020","Chad","73","Individual Consultant","1848731.0"
"2021","Congo, Republic of","72","Individual Consultant","2386022.0"
"2019","Rwanda","72","Individual Consultant","1177150.0"
"2021","Mauritania","72","Individual Consultant","2108636.0"
"2019","Nigeria","72","Individual Consultant","4243849.0"
"2021","Comoros","71","Individual Consultant","1142400.0"
"2019","Ecuador","71","Individual Consultant","1955920.0"
"2021","Turkiye","70","Individual Consultant","2344074.0"
"2020","Central African Republic","70","Individual Consultant","2402019.0"
"2017","Congo, Democratic Republic of","69","Individual Consultant","4812880.0"
"2021","Georgia","69","Individual Consultant","2528529.0"
"2022","Liberia","69","Individual Consultant","2690279.0"
"2021","Ecuador","69","Individual Consultant","1844764.0"
"2018","Brazil","69","Individual Consultant","2471787.0"
"2020","Cambodia","69","Individual Consultant","5293420.0"
"2019","Lao People's Democratic Republic","68","Individual Consultant","4889361.0"
"2019","Jamaica","68","Individual Consultant","3952872.0"
"2019","Burkina Faso","68","Individual Consultant","2337479.0"
"2022","Ghana","68","Individual Consultant","2116766.0"
"2017","Kyrgyz Republic","66","Individual Consultant","1303085.0"
"2021","Senegal","66","Individual Consultant","3046210.0"
"2017","Pakistan","66","Individual Consultant","1853907.0"
"2017","Bangladesh","66","Individual Consultant","5760223.0"
"2020","Angola","66","Individual Consultant","10552658.0"
"2018","Congo, Democratic Republic of","65","Individual Consultant","7018230.0"
"2022","Serbia","65","Individual Consultant","3489927.0"
"2021","Belarus","65","Individual Consultant","342452.0"
"2019","Sri Lanka","65","Individual Consultant","374807.0"
"2017","Bolivia","64","Individual Consultant","1238690.0"
"2018","Nigeria","63","Individual Consultant","3111445.0"
"2022","Cambodia","63","Individual Consultant","2411682.0"
"2020","Dominican Republic","62","Individual Consultant","860630.0"
"2020","Tajikistan","62","Individual Consultant","595972.0"
"2018","Cambodia","62","Individual Consultant","4351873.0"
"2022","Burkina Faso","62","Individual Consultant","1534517.0"
"2021","Cambodia","62","Individual Consultant","2548336.0"
"2021","Central African Republic","61","Individual Consultant","1466821.0"
"2018","Gabon","60","Individual Consultant","3701343.0"
"2020","Senegal","60","Individual Consultant","4503531.0"
"2018","Georgia","60","Individual Consultant","948080.0"
"2019","Egypt, Arab Republic of","60","SAFE PHARMACEUTICALS","6129861.0"
"2021","St. Vincent and the Grenadines","59","Individual Consultant","651262.0"
"2019","Kenya","59","Individual Consultant","5171589.0"
"2020","Uruguay","59","Individual Consultant","655052.0"
"2019","Burundi","59","Individual Consultant","1619481.0"
"2018","Nepal","59","Individual Consultant","559930.0"
"2022","Nigeria","59","Individual Consultant","2119332.0"
"2018","Congo, Republic of","58","Individual Consultant","2109859.0"
"2019","Egypt, Arab Republic of","58","UNITED COMPANY OF PHARMACISTS","5989441.0"
"2020","Armenia","57","Individual Consultant","757178.0"
"2021","Southern Africa","57","Individual Consultant","3240275.0"
"2018","Uruguay","57","Individual Consultant","2106695.0"
"2020","Indonesia","56","Individual Consultant","1810580.0"
"2018","Sri Lanka","56","Individual Consultant","445906.0"
"2018","Ecuador","56","Individual Consultant","1958360.0"
"2019","Gabon","56","Individual Consultant","2839843.0"
"2022","Belarus","56","Individual Consultant","167481.0"
"2021","Liberia","56","Individual Consultant","2734151.0"
"2022","Philippines","56","Individual Consultant","538233.0"
"2019","Somalia","56","Individual Consultant","6435469.0"
"2020","West Bank and Gaza","55","Individual Consultant","1378371.0"
"2019","Benin","55","Individual Consultant","1583710.0"
"2020","Burundi","55","Individual Consultant","1668853.0"
"2020","Togo","54","Individual Consultant","1221690.0"
"2017","Mozambique","54","Individual Consultant","3715308.0"
"2017","Uruguay","54","Individual Consultant","4354005.0"
"2022","Nepal","54","Individual Consultant","1192098.0"
"2019","India","53","Individual Consultant","1468995.0"
"2019","Vietnam","53","Individual Consultant","1875753.0"
"2021","Togo","52","Individual Consultant","1224020.0"
"2021","Gabon","52","Individual Consultant","2233506.0"
"2022","Bosnia and Herzegovina","52","Individual Consultant","598339.0"
"2021","Ethiopia","51","Individual Consultant","1145897.0"
"2019","Kosovo","51","Individual Consultant","820264.0"
"2018","Somalia","51","Individual Consultant","4739235.0"
"2020","Egypt, Arab Republic of","51","AKHNATON","4818817.0"
"2019","Ghana","51","Individual Consultant","1958156.0"
"2020","Niger","50","Individual Consultant","2029659.0"
"2018","Chad","50","Individual Consultant","493124.0"
"2021","Jordan","50","Individual Consultant","1892470.0"
"2021","Ghana","50","Individual Consultant","1913433.0"
"2022","Armenia","50","Individual Consultant","608914.0"
"2018","Niger","50","Individual Consultant","1642221.0"
"2022","Cote d'Ivoire","49","Individual Consultant","2042872.0"
"2019","Central African Republic","49","Individual Consultant","2816576.0"
"2021","India","49","AJAY KUMAR","433760.0"
"2022","Honduras","49","Individual Consultant","1790425.0"
"2021","South Asia","48","Individual Consultant","1579395.0"
"2021","Tajikistan","47","Individual Consultant","502056.0"
"2017","Eastern and Southern Africa","47","Individual Consultant","5079763.0"
"2019","Angola","47","Individual Consultant","15596030.0"
"2022","Comoros","47","Individual Consultant","953856.0"
"2018","Liberia","46","Individual Consultant","1473245.0"
"2019","Liberia","46","Individual Consultant","2569486.0"
"2019","Solomon Islands","46","Individual Consultant","3253126.0"
"2020","Comoros","46","Individual Consultant","387104.0"
"2019","Myanmar","46","Individual Consultant","2290602.0"
"2018","Lao People's Democratic Republic","46","Individual Consultant","1934292.0"
"2020","Georgia","46","Individual Consultant","1489483.0"
"2018","Kenya","45","Individual Consultant","2300185.0"
"2018","Ethiopia","45","Individual Consultant","1667026.0"
"2021","Guinea","45","Individual Consultant","892838.0"
"2020","Serbia","45","Individual Consultant","1738937.0"
"2020","Philippines","44","Individual Consultant","206388.0"
"2019","India","44","AYYA FOODS LIFE CARE","153881.0"
"2022","India","44","AJAY KUMAR","712084.0"
"2021","Solomon Islands","44","Individual Consultant","1166014.0"
"2018","Senegal","43","Individual Consultant","2006040.0"
"2017","Madagascar","43","Individual Consultant","425902.0"
"2022","India","43","HEM RAJ S/O SH. MUNASI RAM","162529.0"
"2017","Ecuador","43","Individual Consultant","2164969.0"
"2018","Jamaica","43","Individual Consultant","1686129.0"
"2019","Chad","43","Individual Consultant","1067657.0"
"2021","Lesotho","43","Individual Consultant","2347545.0"
"2020","Solomon Islands","42","Individual Consultant","3505395.0"
"2020","Gabon","42","Individual Consultant","1671539.0"
"2020","Ethiopia","42","LIMINE TREE TRADING P.L.C","69240.0"
"2021","Burundi","41","Individual Consultant","1183336.0"
"2020","Egypt, Arab Republic of","41","Individual Consultant","808186.0"
"2018","Mauritania","41","Individual Consultant","756776.0"
"2021","Bosnia and Herzegovina","41","Individual Consultant","574989.0"
"2022","Southern Africa","41","Individual Consultant","4353638.0"
"2022","Tonga","41","Individual Consultant","2619611.0"
"2020","Mauritania","41","Individual Consultant","1733796.0"
"2021","Angola","41","Individual Consultant","5220057.0"
"2019","Egypt, Arab Republic of","40","PHARMAOVERSEAS","4124909.0"
"2022","Georgia","40","Individual Consultant","1078698.0"
"2021","Central Asia","40","Individual Consultant","374411.0"
"2021","Egypt, Arab Republic of","40","Individual Consultant","740980.0"
"2020","Rwanda","39","Individual Consultant","1687625.0"
"2019","Kazakhstan","39","Individual Consultant","984121.0"
"2020","Jamaica","39","Individual Consultant","1703338.0"
"2022","Uzbekistan","39","Individual Consultant","2030364.0"
"2019","St. Vincent and the Grenadines","39","Individual Consultant","405272.0"
"2018","Malawi","39","Individual Consultant","2116201.0"
"2019","Guinea","39","Individual Consultant","1270726.0"
"2020","India","39","Individual Consultant","846921.0"
"2020","Myanmar","38","Individual Consultant","1642009.0"
"2021","India","38","ASHOK KUMAR","871935.0"
"2018","Mexico","38","Individual Consultant","836418.0"
"2019","Indonesia","38","Individual Consultant","1159616.0"
"2020","Sri Lanka","38","Individual Consultant","1072645.0"
"2022","Lebanon","38","Individual Consultant","1207216.0"
"2023","Madagascar","38","Individual Consultant","674859.0"
"2021","Kosovo","38","Individual Consultant","545911.0"
"2022","Mauritania","37","Individual Consultant","977956.0"
"2019","Cote d'Ivoire","37","Individual Consultant","1496170.0"
"2017","Myanmar","37","Individual Consultant","1971258.0"
"2021","Serbia","37","Individual Consultant","3381216.0"
"2022","India","37","DALER SINGH","153223.0"
"2019","Egypt, Arab Republic of","37","MINAPHARM PHARMACEUTICALS","96473.0"
"2022","India","36","TNAU/ DEPARTMENT OF AGRICULTURE, TN","12929.0"
"2021","India","36","SAGAR SINGH","120157.0"
"2021","India","36","SD BIOSENSOR HEALTH CARE PVT LTD","31132027.0"
"2021","Djibouti","36","Individual Consultant","1442100.0"
"2019","Mexico","36","Individual Consultant","868127.0"
"2018","Haiti","36","Individual Consultant","1940310.0"
"2020","Lesotho","36","Individual Consultant","2278353.0"
"2021","Kazakhstan","36","Individual Consultant","379656.0"
"2021","Egypt, Arab Republic of","36","IBNSINAPHARMA","3178266.0"
"2017","India","36","Individual Consultant","644563.0"
"2022","Haiti","35","Individual Consultant","1028274.0"
"2019","Serbia","35","Individual Consultant","2957067.0"
"2018","Myanmar","35","Individual Consultant","2230059.0"
"2022","India","35","SURINDER KUMAR","126982.0"
"2020","Uzbekistan","35","Individual Consultant","771480.0"
"2021","Philippines","35","ELENA V.CO HARDWARE","209878.0"
"2021","Mexico","35","Individual Consultant","533717.0"
"2021","India","35","NIRAV BIOSOLUTIONS PVT LTD.","1430050.0"
"2022","Congo, Republic of","35","Individual Consultant","968255.0"
"2022","Ukraine","34","Individual Consultant","1246296.0"
"2019","Cambodia","34","Individual Consultant","1344245.0"
"2022","Togo","34","Individual Consultant","863264.0"
"2021","North Macedonia","34","Individual Consultant","2797499.0"
"2020","Uganda","34","Individual Consultant","2978230.0"
"2018","Chile","34","Individual Consultant","997138.0"
"2021","China","34","Individual Consultant","1050653.0"
"2021","Haiti","34","Individual Consultant","783168.0"
"2022","Uruguay","34","Individual Consultant","326424.0"
"2020","Thailand","34","Individual Consultant","533403.0"
"2020","Mali","33","Individual Consultant","1513908.0"
"2021","Uzbekistan","33","Individual Consultant","2488947.0"
"2020","Belarus","33","Individual Consultant","12411.0"
"2022","Benin","33","Individual Consultant","1110399.0"
"2021","Honduras","33","Individual Consultant","1027196.0"
"2018","Philippines","33","Individual Consultant","595221.0"
"2021","Guatemala","33","Individual Consultant","1860673.0"
"2017","Nigeria","33","Individual Consultant","1082322.0"
"2019","Tajikistan","32","Individual Consultant","788805.0"
"2017","Mongolia","32","Individual Consultant","369062.0"
"2022","Vietnam","32","Individual Consultant","666026.0"
"2022","Ecuador","32","Individual Consultant","765443.0"
"2017","Sudan","32","Individual Consultant","1112162.0"
"2021","Chile","31","Individual Consultant","339177.0"
"2019","Egypt, Arab Republic of","31","IBNSINAPHARMA","3109076.0"
"2020","Tonga","31","Individual Consultant","1925371.0"
"2021","Gambia, The","31","Individual Consultant","1419962.0"
"2017","Western and Central Africa","31","Individual Consultant","2508309.0"
"2019","China","31","Individual Consultant","1578921.0"
"2020","China","31","Individual Consultant","955113.0"
"2017","Sri Lanka","31","Individual Consultant","279580.0"
"2017","Togo","30","Individual Consultant","481682.0"
"2021","Pacific Islands","30","Individual Consultant","2703513.0"
"2020","Nicaragua","30","TECNOLOGIA COMPUTARIZADA SOCIEDAD ANONIMA (COMTECH,S.A)","373658.0"
"2017","Nepal","30","Individual Consultant","478653.0"
"2023","Niger","30","Individual Consultant","363936.0"
"2022","India","30","AYYA FOODS LIFE CARE","186628.0"
"2022","Central African Republic","30","Individual Consultant","904792.0"
"2019","Egypt, Arab Republic of","30","MAGICPHARMA","3141598.0"
"2019","Georgia","30","Individual Consultant","777761.0"
"2021","India","30","SUNIL DUTT","42059.0"
"2022","Sri Lanka","29","Individual Consultant","189117.0"
"2019","Afghanistan","29","Individual Consultant","1852577.0"
"2018","Argentina","29","WEKUME AGRO SERVICIOS SRL","179853.0"
"2021","Ukraine","29","Individual Consultant","963360.0"
"2021","Armenia","29","Individual Consultant","476868.0"
"2020","India","29","HIMEDIA LABORATORIES PVT. LTD.","5168005.0"
"2018","Central African Republic","29","Individual Consultant","824573.0"
"2021","Tonga","29","Individual Consultant","1573139.0"
"2022","India","29","ASHOK KUMAR","978430.0"
"2019","Senegal","29","Individual Consultant","1290181.0"
"2022","Tuvalu","29","Individual Consultant","2459077.0"
"2021","Sierra Leone","29","Individual Consultant","1211242.0"
"2020","Afghanistan","29","Individual Consultant","2624390.0"
"2022","Djibouti","28","Individual Consultant","1411356.0"
"2020","Liberia","28","Individual Consultant","2067527.0"
"2018","Uganda","28","Individual Consultant","2128867.0"
"2021","Chad","28","Individual Consultant","899980.0"
"2022","Ethiopia","28","Individual Consultant","558264.0"
"2018","Egypt, Arab Republic of","28","Individual Consultant","409615.0"
"2019","India","28","M/S ARVEE BIOTECH, 134, EAST CAR STREET, CHIDAMBARAM, 608001","29782.0"
"2017","Congo, Republic of","28","Individual Consultant","1710409.0"
"2019","Niger","28","Individual Consultant","628425.0"
"2019","Uzbekistan","28","Individual Consultant","1032370.0"
"2018","China","28","Individual Consultant","1380198.0"
"2019","Ethiopia","28","ABRIHAM SHEWAREGA TRADING","115837.0"
"2020","Honduras","28","Individual Consultant","989271.0"
"2021","Sri Lanka","28","Individual Consultant","709003.0"
"2018","Burundi","28","Individual Consultant","1044964.0"
"2022","Paraguay","27","Individual Consultant","219928.0"
"2021","Dominican Republic","27","Individual Consultant","495986.0"
"2021","Maldives","27","Individual Consultant","1640408.0"
"2020","Djibouti","27","Individual Consultant","445758.0"
"2021","India","27","MANOJ KUMAR","49006.0"
"2019","Mali","27","Individual Consultant","2917943.0"
"2018","Togo","27","Individual Consultant","775834.0"
"2017","Ukraine","27","Individual Consultant","2875853.0"
"2022","Maldives","27","Individual Consultant","1624220.0"
"2019","West Bank and Gaza","27","Individual Consultant","798635.0"
"2019","Guyana","27","Individual Consultant","469519.0"
"2022","South Asia","27","Individual Consultant","705396.0"
"2017","Kenya","27","Individual Consultant","1275394.0"
"2021","Mali","27","Individual Consultant","1091414.0"
"2017","Mauritania","27","Individual Consultant","420575.0"
"2019","Uganda","27","Individual Consultant","2821336.0"
"2021","Nicaragua","27","BUHLER PHARMA,S.A","918284.0"
"2022","El Salvador","26","Individual Consultant","622525.0"
"2020","Pacific Islands","26","Individual Consultant","2422575.0"
"2019","Tonga","26","Individual Consultant","2727715.0"
"2021","Madagascar","26","SODIM","178458.0"
"2021","Philippines","26","UNI GENERAL MERCH","17018.0"
"2017","Lebanon","26","Individual Consultant","3321231.0"
"2021","India","26","VIKAS CHAND","89350.0"
"2017","Russian Federation","26","Individual Consultant","899530.0"
"2019","Tanzania","26","Individual Consultant","3701544.0"
"2017","Romania","26","Individual Consultant","2504762.0"
"2021","India","26","THE PROFESSOR AND HEAD","10108.0"
"2019","Costa Rica","26","Individual Consultant","1044818.0"
"2020","Tunisia","26","Individual Consultant","912604.0"
"2019","India","26","WORLD BANK (WB)","147.0"
"2021","India","26","KARAN KUMAR","63285.0"
"2021","Afghanistan","26","Individual Consultant","1225205.0"
"2020","Haiti","26","Individual Consultant","560160.0"
"2022","Gabon","25","Individual Consultant","425314.0"
"2017","Solomon Islands","25","Individual Consultant","1524668.0"
"2022","Jordan","25","Individual Consultant","805805.0"
"2022","Micronesia, Federated States of","25","Individual Consultant","1670064.0"
"2021","India","25","SURINDER KUMAR","122553.0"
"2021","India","25","RAJNISH KUMAR","1419949.0"
"2022","Chad","25","Individual Consultant","966290.0"
"2018","Ghana","25","Individual Consultant","1680910.0"
"2022","India","25","THE PROFESSOR AND HEAD","13438.0"
"2020","Jordan","25","Individual Consultant","1601701.0"
"2021","India","25","PARTEEK THAKUR","129245.0"
"2019","Dominican Republic","25","Individual Consultant","1038499.0"
"2018","Costa Rica","25","TIENDA INTERNACIONAL DE PRODUCTOS SENSACIONALES","58697.0"
"2020","Ghana","24","SAFE-SOL ENTERPRISE","267291.0"
"2017","Egypt, Arab Republic of","24","Individual Consultant","700689.0"
"2017","Angola","24","Individual Consultant","2276578.0"
"2022","Solomon Islands","24","Individual Consultant","2101946.0"
"2018","Honduras","24","Individual Consultant","470909.0"
"2021","Zambia","24","Individual Consultant","1562605.0"
"2019","Chile","24","Individual Consultant","287949.0"
"2019","Egypt, Arab Republic of","24","FPI","2392487.0"
"2019","Honduras","24","Individual Consultant","681837.0"
"2020","Papua New Guinea","24","Individual Consultant","1364127.0"
"2021","Nicaragua","24","PRODUCTIVE BUSINESS SOLUTIONS NICARAGUA,S.A (PBS NICARAGUA,S.A)","2333759.0"
"2021","India","24","AMAN JARYAL","74904.0"
"2017","Cambodia","24","Individual Consultant","2056357.0"
"2022","Nicaragua","24","BUHLER PHARMA,S.A","136473.0"
"2022","Mexico","24","Individual Consultant","473283.0"
"2020","Tanzania","24","Individual Consultant","2145612.0"
"2018","Morocco","24","Individual Consultant","1434449.0"
"2019","Micronesia, Federated States of","24","Individual Consultant","5626086.0"
"2019","Dominica","23","Individual Consultant","2678273.0"
"2022","India","23","DALJEET SINGH","94431.0"
"2021","Marshall Islands","23","Individual Consultant","4776889.0"
"2020","Moldova","23","Individual Consultant","838566.0"
"2020","Guatemala","23","Individual Consultant","1067158.0"
"2017","Liberia","23","Individual Consultant","1950027.0"
"2019","Sudan","23","Individual Consultant","847829.0"
"2022","Tajikistan","23","Individual Consultant","482034.0"
"2022","Pacific Islands","23","Individual Consultant","1943246.0"
"2018","Kazakhstan","23","Individual Consultant","1162971.0"
"2022","North Macedonia","23","Individual Consultant","1120779.0"
"2021","India","23","SOURABH PATHANIA","121317.0"
"2021","India","23","SANDEEP JAMWAL","53839.0"
"2018","Argentina","23","MATERYN EQUIPAMIENTOS SRL","38509.0"
"2018","Kosovo","22","Individual Consultant","580615.0"
"2022","Sao Tome and Principe","22","Individual Consultant","1084159.0"
"2021","India","22","VIRENDER PUNDIR","34303.0"
"2020","Southern Africa","22","Individual Consultant","2456922.0"
"2019","India","22","M/S.PLANTGENE BIOLOGICALS PVT. LTD.,ARIYAMANGALAM, TRICHY","53869.0"
"2019","India","22","JEYPEE FARM SEEDS","34724.0"
"2019","Mauritania","22","Individual Consultant","576798.0"
"2022","India","22","RAJINDER KUMAR SHARMA","79919.0"
"2021","India","22","RAJEEV KUMAR","1101313.0"
"2020","Benin","22","Individual Consultant","1331274.0"
"2023","India","22","Individual Consultant","226475.0"
"2021","Cabo Verde","22","Individual Consultant","897258.0"
"2022","St Maarten","22","Individual Consultant","2756084.0"
"2018","Lesotho","22","Individual Consultant","1508819.0"
"2021","Argentina","22","JUAN IGNACIO BACIGALUPO","72870.0"
"2020","Kenya","22","Individual Consultant","1473060.0"
"2020","Marshall Islands","22","Individual Consultant","5548563.0"
"2020","Ukraine","22","Individual Consultant","602858.0"
"2021","India","21","HEM CHAND SHARMA","65528.0"
"2022","India","21","RANBIR SINGH S/O SH. KARTAR SINGH","58160.0"
"2022","Indonesia","21","REYCOM DOCUMENT SOLUSI","2380269.0"
"2023","Colombia","21","Individual Consultant","280535.0"
"2020","North Macedonia","21","Individual Consultant","2137803.0"
"2021","India","21","NIRMAL SINGH","50577.0"
"2021","India","21","RAJESH KUMAR","57735.0"
"2022","India","21","PARTEEK THAKUR","97892.0"
"2022","East Asia and Pacific","21","Individual Consultant","174526.0"
"2017","Georgia","21","Individual Consultant","723893.0"
"2017","Cote d'Ivoire","21","Individual Consultant","2521779.0"
"2018","Dominican Republic","21","Individual Consultant","931373.0"
