"fiscal_year","region","borrower_country","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd","borrower_contract_reference_number"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO Rio Bogota Environmental Recuperation and Flood Control Project","Civil Works","Request for Bids","Transportation;Water, Sanitation and Waste Management;Public Administration","1540469","Desembocadura del Rio Juan Amarillo hasta Puente La Vi","2016-07-15T00:00:00.000","CONSORCIO DRAGADOS RIO BOGOTA 2015","Republic of Colombia","8487877.0","BM_LPI_01_2015"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556276","2162042","2016-07-07T00:00:00.000","FRANCISCO BAUTISTA","Republic of Colombia","38094.0","CO-DNP-22688-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia FCPF REDD Readiness","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1567271","Enlace regional andina","2017-06-12T00:00:00.000","Individual Consultant","Republic of Colombia","21619.0","CO-FONDOACCION-17550-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia FCPF REDD Readiness","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1567267","Realizar coordinaci&#243;n, ejecuci&#243;n, supervisi&#243;n y control y seguimiento de los procesos de contrataci&#243;n y adquisiciones","2016-07-18T00:00:00.000","Individual Consultant","Republic of Colombia","44235.0","CO-FONDOACCION-17533-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia FCPF REDD Readiness","Goods","Request for Quotations","Agriculture, Fishing and Forestry","1588305","1000 bolsas elaboradas en tela biodegradable, lona coste&#241;a de algod&#243;n 100 por ciento cruda","2017-06-02T00:00:00.000","BRAND SOLUTIONS LTDA","Republic of Colombia","3252.0","OC RPP 08-2017"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Individual Consultant Selection","Public Administration","1556331","2163011","2016-12-28T00:00:00.000","Individual Consultant","Republic of Colombia","80761.0","CO-DNP-22712-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1563046","Consultor&#237;a para caracterizar los ecotipos de Tithonia diversifolia usados en fincas del proyecto, en cuanto a sus rasgos bot&#225;nicos y morfol&#243;gicos. Participar en evaluaci&#243;n de plagas y publicaciones.","2016-10-10T00:00:00.000","Individual Consultant","Republic of Colombia","29500.0","CO-CIPAV-30566-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Support to the National Urban Transit Program Project","Consultant Services","Individual Consultant Selection","Transportation","1552669","Asesorar t&#233;cnicamente al Ministerio de Transporte y a las Entidades Ejecutoras en las labores de acompa&#241;amiento y seguimiento t&#233;cnico de obras y adquisiciones, as&#237; como en los procesos pre y contractu","2017-01-18T00:00:00.000","Individual Consultant","Republic of Colombia","14169.0","CO-MINTRANSPORTE-19724-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1553346","Suministro de &#224;rboles frutales Guayaba, Guamo, Rambut&#224;n","2017-02-15T00:00:00.000","JIMMY ALEXANDER GOMEZ GOMEZ","Republic of Colombia","2815.0","CO-FEDEGAN-19988-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1559686","Fincas demostrativas BYS - Compra material vegetal Nopal","2017-03-27T00:00:00.000","FUNDACIÓN ESTACIÓN BIOLÓGICA GUAYACANAL","Republic of Colombia","322.0","CO-CIPAV-25752-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Support to the National Urban Transit Program Project","Consultant Services","Individual Consultant Selection","Transportation","1552667","Asesor&#237;a al Ministerio de Transporte y a los Entes Gestores en asistencia  t&#233;cnica  y  apoyo  para  la  formulaci&#243;n,  ejecuci&#243;n  y seguimiento de los planes de reasentamiento y adquisici&#243;n predial","2017-02-10T00:00:00.000","Individual Consultant","Republic of Colombia","20320.0","CO-MINTRANSPORTE-19722-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1553285","Adquisici&#243;n de 169 bultos x 50 kilos de Cal Dolomita tipo agr&#237;cola.","2017-04-24T00:00:00.000","RUBIANO HENRY ALEXANDER","Republic of Colombia","785.0","CO-FEDEGAN-19815-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556326","2170038","2017-01-05T00:00:00.000","GABRIEL TIRADO MUÑOZ","Republic of Colombia","19751.0","CO-DNP-22424-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1551774","Desarrollar e implementar&#225; la ampliaci&#243;n de la herramienta para el monitoreo de las fincas demostrativas y los (SSPi) en el proyecto","2016-10-28T00:00:00.000","Individual Consultant","Republic of Colombia","11756.0","CO-CIPAV-30575-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1564893","Asesor Territorial de Asistencia T&#233;cnica Cundinamarca","2017-02-10T00:00:00.000","ASTRID LILIANA CHAPARRO","Republic of Colombia","33849.0","CO-DNP-22421-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Public Administration","1556613","Otro si 015 2016","2017-06-27T00:00:00.000","Individual Consultant","Republic of Colombia","1923.0","CO-PNF-26463-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556272","2170040","2017-01-11T00:00:00.000","ÁLVARO ANDRÉS RANDAZZO","Republic of Colombia","59568.0","CO-DNP-22695-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Individual Consultant Selection","Public Administration","1556379","2170906","2017-04-20T00:00:00.000","Individual Consultant","Republic of Colombia","75035.0","CO-DNP-22419-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1551803","Consultor&#237;a para brindar capacitaci&#243;n y asistencia t&#233;cnica en establecimiento y mantenimiento de SSP, supervisar levantamiento de l&#237;nea base y monitoreo de fincas demostrativas para ""G.C.S""","2017-05-03T00:00:00.000","Individual Consultant","Republic of Colombia","14350.0","CO-CIPAV-30610-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1562979","Coordinar las giras de intercambio de experiencias con grupos de productores, t&#233;cnicos y profesionales, en fincas demostrativas y otros predios, con el objetivo de difundir las bondades de los SSPI","2017-05-01T00:00:00.000","Individual Consultant","Republic of Colombia","14100.0","CO-CIPAV-30637-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO Plan PAZcifico:Water Supply and Basic Sanitation Infrastructure and Service Delivery Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1565834","Brindar apoyo profesional en la gesti&#243;n de planificaci&#243;n, monitoreo y seguimiento a las actividades del Fondo para el Desarrollo del Plan Todos Somos Pazc&#237;fico","2017-03-31T00:00:00.000","Individual Consultant","Republic of Colombia","41575.0","PTSP-BIRF8649-032"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia: Collective Reparation for Victims through Social Reconstruction Project","Consultant Services","Direct Selection","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","1566605","Consultor Apoyo Subdirecci&#243;n General formulaci&#243;n lineamientos fortalecimiento programas reparaci&#243;n colectiva y retornos y reubicaciones, con el fin de cumplir con los compromisos que se derivan los ac","2017-04-11T00:00:00.000","CARMELITA SERNA RIOS","Republic of Colombia","32679.0","1049-2017"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556275","2170041","2017-01-06T00:00:00.000","ROBERTO PARDO","Republic of Colombia","116240.0","CO-DNP-22410-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Public Administration","1556220","APOYAR AL IDEAM EN LA IMPLEMENTACI&#211;N DE LOS MECANISMOS INTERNACIONALES RELACIONADOS CON MONITOREO, REPORTE Y VERIFICACI&#211;N (MRV) BAJO LA CONVENCI&#211;N MARCO DE NACIONES UNIDAS","2017-02-15T00:00:00.000","Individual Consultant","Republic of Colombia","34164.0","CO-PNF-26465-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia FCPF REDD Readiness","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1567353","Coordinadora del Proyecto.","2017-03-16T00:00:00.000","Individual Consultant","Republic of Colombia","77898.0","CO-FONDOACCION-17541-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO Plan PAZcifico:Water Supply and Basic Sanitation Infrastructure and Service Delivery Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1567196","Brindar apoyo a la gesti&#243;n en los procedimientos administrativos, financieros y operativos propios del equipo ejecutor del ""Plan Todos Somos PAZc&#237;fico""","2017-05-19T00:00:00.000","Individual Consultant","Republic of Colombia","12961.0","PTSP-BIRF8649-024"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556333","2170452","2017-02-10T00:00:00.000","PAOLA CASTRO","Republic of Colombia","35308.0","CO-DNP-22422-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia: Collective Reparation for Victims through Social Reconstruction Project","Consultant Services","Individual Consultant Selection","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","1566601","Contrataci&#243;n de un consultor experto en procedimientos financieros","2017-06-07T00:00:00.000","Individual Consultant","Republic of Colombia","21200.0","1190-2017"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia: Collective Reparation for Victims through Social Reconstruction Project","Non-consulting Services","Request for Quotations","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","1566606","SUMINISTRO TIQUETES","2017-03-21T00:00:00.000","MAYATUR SAS","Republic of Colombia","92425.0","OC-001-2017"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1552668","SUMINISTRO DE 16 BALDES METALICOS CAPACIDAD 11 LITROS","2017-02-08T00:00:00.000","RUBIANO HENRY ALEXANDER","Republic of Colombia","434.0","CO-FEDEGAN-19833-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia FCPF REDD Readiness","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1565812","Enlace regional Amazon&#237;a","2016-12-05T00:00:00.000","Individual Consultant","Republic of Colombia","9705.0","CO-FONDOACCION-17526-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Public Administration","1557085","COMPRAVENTA DE UN MOTOR FUERA DE BORDA DE 40 hp PATA CORTA DE ESTR&#205;A JUNTO CON UNA EMBARCACI&#211;N DE M&#205;NIMO 20 PIES EN FIBRA DE VIDRIO CON CARPA, MARCADO.","2017-05-24T00:00:00.000","EDUARDOÑO","Republic of Colombia","11124.0","CO-PNF-17981-GO-RFQ"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Support to the National Urban Transit Program Project","Consultant Services","Individual Consultant Selection","Transportation","1552435","Asistencia t&#233;cnica para apoyar a la UMUS y a los Entes Gestores de los proyectos SITM y SETP, en las labores de acompa&#241;amiento y seguimiento contable y financiero, requeridas para la presentaci&#243;n","2017-03-07T00:00:00.000","Individual Consultant","Republic of Colombia","8051.0","CO-MINTRANSPORTE-19721-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Support to the National Urban Transit Program Project","Consultant Services","Individual Consultant Selection","Transportation","1552677","ASESORAR AL MINISTERIO DE TRANSPORTE Y A LAS ENTIDADES EJECUTORAS EN LAS LABORES DE APOYO Y SEGUIMIENTO EN EL TEMA AMBIENTAL DE LOS PROYECTOS SITM Y SETP DEL PAIS","2017-01-20T00:00:00.000","Individual Consultant","Republic of Colombia","10776.0","CO-MINTRANSPORTE-19730-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556382","2170007","2017-01-03T00:00:00.000","MARCOS ANTONIO ATAYA SARAY","Republic of Colombia","55729.0","CO-DNP-22699-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO Plan PAZcifico:Water Supply and Basic Sanitation Infrastructure and Service Delivery Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1567187","Brindar apoyo al Fondo para el Desarrollo del Plan Todos Somos PAZc&#237;fico que adelanta como entidad ejecutora la Unidad Nacional para la Gesti&#243;n del riesgo de Desastre, en la viabilizaci&#243;n de proyectos","2017-06-27T00:00:00.000","Individual Consultant","Republic of Colombia","36452.0","PTSP-BIRF8649-007"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556369","2170029","2017-01-05T00:00:00.000","DIANA MARCELA CHAVES MANCERA","Republic of Colombia","28145.0","CO-DNP-22423-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Support to the National Urban Transit Program Project","Consultant Services","Individual Consultant Selection","Transportation","1552675","Prestar servicios de asesor jur&#237;dico, espec&#237;ficamente a la Coordinaci&#243;n de la Unidad de Movilidad Urbana Sostenible en las funciones de seguimiento a los proyectos SITM y SETP del pa&#237;s, formulaci&#243;n de","2017-01-02T00:00:00.000","Individual Consultant","Republic of Colombia","20383.0","CO-MINTRANSPORTE-19728-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1552670","ADQUISICI&#211;N DE 500 ARBOLES FOCALES","2017-03-03T00:00:00.000","PINTO VIDAL HERNAN JOSE","Republic of Colombia","205.0","CO-FEDEGAN-19984-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Public Administration","1556545","APOYAR LA GENERACI&#211;N DE INFORMACI&#211;N TEM&#193;TICA DE MONITOREO DE LA SUPERFICIE DE BOSQUE Y DEFORESTACI&#211;N A NIVEL NACIONAL Y/O REGIONAL EN EL MARCO","2017-02-15T00:00:00.000","Individual Consultant","Republic of Colombia","3427.0","CO-PNF-17977-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1551796","Consultor&#237;a para caracterizar los ecotipos de Tithonia diversifolia usados en fincas del proyecto, en cuanto a sus aspectos productivos, de contenido nutricional y variabilidad gen&#233;tica.","2016-10-28T00:00:00.000","Individual Consultant","Republic of Colombia","15972.0","CO-CIPAV-30593-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1559814","Fincas Demostrativas Valle R&#237;o Cesar - Compra material vegetal Nopal","2017-03-27T00:00:00.000","FUNDACIÓN ESTACIÓN BIOLÓGICA GUAYACANAL","Republic of Colombia","573.0","CO-CIPAV-25895-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1552710","ADQUISICI&#211;N DE 100 TALONARIOS  X 50 JUEGOS DE COMPROBANTES DE INGRESO PARA EL PROGRAMA DE PRODUCCI&#211;N VEGETAL","2017-04-04T00:00:00.000","RAMIREZ IMPRESORAS LTDA","Republic of Colombia","152.0","CO-FEDEGAN-19826-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1553030","Adquisici&#243;n de un  (01) Dummie publicitario para ser montado en los diferentes eventos en el que participe el proyecto como parte de la estrategia de comunicaciones.","2017-04-06T00:00:00.000","ALLENDALE SAS","Republic of Colombia","374.0","CO-FEDEGAN-19829-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1551808","Consultor&#237;a para realizar montaje y desarrollo de planes de trabajo y agenda de monitoreo e innovaci&#243;n de (5) fincas demostrativas, en regiones Amazon&#237;a, Andina y Caribe, en ""G.C.S""","2017-04-01T00:00:00.000","Individual Consultant","Republic of Colombia","15131.0","CO-CIPAV-30643-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Support to the National Urban Transit Program Project","Consultant Services","Quality And Cost-Based Selection","Transportation","1629684","INTERVENTOR&#205;A PARA EL SEGUIMIENTO T&#201;CNICO, LEGAL Y FINANCIERO, DE LA CONSTRUCCI&#211;N DEL PROYECTO METROPL&#218;S EN EL SUR DEL VALLE DE ABURR&#193; FASE I Y OBRAS COMPLEMENTARIAS.","2017-05-30T00:00:00.000","CONSORCIO METROPLUS","Republic of Colombia","1378395.0","SBCC-001-2016"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia FCPF REDD Readiness","Consultant Services","Least Cost Selection","Agriculture, Fishing and Forestry","1578199","auditor&#237;a financiera externa y evaluaci&#243;n del sistema de control interno del proyecto para el per&#237;odo comprendido entre el 1 de enero a 31 de diciembre de 2016","2017-06-29T00:00:00.000","MGI PÁEZ ASOCIADOS","Republic of Colombia","15073.0","CO-FONDOACCION-17556-CS-LCS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Public Administration","1556633","PRESTAR LOS SERVICIOS DE INTERVENTOR&#205;A T&#201;CNICA, ADMINISTRATIVA Y FINANCIERA AL CONTRATO  GEF CA-CO-001 DE 2017","2017-02-20T00:00:00.000","Individual Consultant","Republic of Colombia","11699.0","CO-PNF-18001-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556371","2170001","2017-01-03T00:00:00.000","ROSA ELENA ESPITIA","Republic of Colombia","96800.0","CO-DNP-22411-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1552704","SUMINISTRO DE 16 BALANZAS DINAMOMETRICAS DE 40 KILOGRAMOS","2017-02-08T00:00:00.000","JCM BASCULAS Y BALANZAS","Republic of Colombia","229.0","CO-FEDEGAN-19822-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1552672","ADQUISICI&#211;N DE 80 KILOS SE SEMILLA SEXUAL DE BOT&#211;N DE ORO (TITHONIA DIVERSIFOLIA)","2017-03-03T00:00:00.000","LUIS PIÑERES","Republic of Colombia","1637.0","CO-FEDEGAN-19820-GO-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556338","2170493","2017-02-10T00:00:00.000","JAIME LEDEZMA","Republic of Colombia","69080.0","CO-DNP-22408-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Goods","Direct Selection","Agriculture, Fishing and Forestry","1552489","ADQUISICI&#211;N DE 27 KILOS DE SEMILLA SEXUAL MATARRATON","2017-04-24T00:00:00.000","EL SEMILLERO S.A.S","Republic of Colombia","968.0","CO-FEDEGAN-19991-GO-CP"
