"classification","units","businessname","address","city","state","zipcode","withincity","telephone","opened","controlnum","taxcertnum","expires","owner","mailingaddress1","mailingaddress2","mailingcity","mailingstate","mailingzip","ownershiptype","location"
"MOBILE MECHANIC",,"CALIFORNIA AUTO & CUSTOM SHOP","1265 HILL ST","OXNARD","CA","93033","Yes","000 486-1508","1984-12-17T00:00:00.000","13170","23-001944","2022-11-30T00:00:00.000","DIAZ, RAYMOND E","1265 W HILL ST",,"OXNARD","CA","93033-3071","S","1265 HILL ST
OXNARD, CA 93033
(34.186374, -119.192072)"
"CONTRACTOR LOC OUTSIDE CITY",,"QWIK RESPONSE DISASTER CONTROL","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 962-6626","1994-05-05T00:00:00.000","27123","23-018034","2023-04-30T00:00:00.000","SO COAST FUNDING GROUP","165 AERO CAMINO",,"GOLETA","CA","93117","C",
"UPHOLSTERY/VINYL REPAIR & SERVICE",,"TRIPLE AAA UPHOLSTREY","3911 S F ST","OXNARD","CA","93033","Yes","805 483-1239","2015-01-12T00:00:00.000","105056","23-111946","2023-02-28T00:00:00.000","ASCENCIO, ADOLFO JOSE","3911 S F ST",,"OXNARD","CA","93033","S","3911 S F ST
OXNARD, CA 93033
(34.164035, -119.18404)"
"FAST FOOD:HAMBURGER/HOT DOG/TACO/SHAKES",,"BURGER KING #6439","2800 PASEO MERCADO","OXNARD","CA","93036","Yes","310 455-6276","2010-12-15T00:00:00.000","96986","23-100103","2022-11-30T00:00:00.000","CALIFORNIA FOOD MGMNT LLC","PMB 5002","8306 WILSHIRE BLVD","BEVERLY HILLS","CA","90211","LL","2800 PASEO
MERCADO OXNARD, CA 93036"
"FAST FOOD:HAMBURGER/HOT DOG/TACO/SHAKES",,"TACO BELL #19899","201 W CHANNEL ISLANDS BLVD","OXNARD","CA","93033","Yes","805 487-7696","2004-03-04T00:00:00.000","79610","23-076792","2023-02-28T00:00:00.000","COTTI FOODS CORPORATION","29801 SANTA MARGARITA PKWY",,"RANCHO STA MARG","CA","92688-3609","C","201 W CHANNEL ISLANDS BLVD
OXNARD, CA 93033
(34.173557, -119.179413)"
"CATERING TRUCK/VEHICLE (T-4)",,"TACOS ARANDA","3201 STURGIS RD","OXNARD","CA","93030","Yes","805 612-6615","2008-03-05T00:00:00.000","91648","23-098660","2023-02-28T00:00:00.000","ESTRADA, MARIO","1231 S N ST",,"OXNARD","CA","93033","S","3201 STURGIS RD
OXNARD, CA 93030"
"MISC SERVICE",,"HIBU INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","516 730-1968","2004-04-01T00:00:00.000","82552","23-079867","2023-03-31T00:00:00.000","HIBU INC","120 S CENTRAL AVE STE 350",,"SAINT LOUIS","MO","63105","C",
"RESTAURANT/CAFE",,"EL POLLO LOCO #3401","3750 W FIFTH ST","OXNARD","CA","93035","Yes","805 382-9975","1999-04-28T00:00:00.000","57636","23-050698","2023-03-31T00:00:00.000","POLLO WEST CORP","ATTN: BUSINESS OFFICE","5050 KANAN RD","AGOURA HILLS","CA","91301","C","3750 W FIFTH ST
OXNARD, CA 93035
(34.19751, -119.219768)"
"PROPERTY MANAGEMENT",,"TOPA PROPERTY GROUP, INC","300 E ESPLANADE DR","OXNARD","CA","93036","Yes","805 485-3193","2001-03-01T00:00:00.000","71312","23-066843","2023-02-28T00:00:00.000","TOPA PROPERTY GROUP, INC","1800 AVE OF THE STARS #650",,"LOS ANGELES","CA","90067","C","300 E ESPLANADE DR
OXNARD, CA 93036
(34.229587, -119.173908)"
"RESTAURANT/CAFE",,"STARBUCKS COFFEE #25052","1921 N ROSE AVE","OXNARD","CA","93036","Yes","206 318-4994","2015-05-12T00:00:00.000","107107","23-115040","2023-04-30T00:00:00.000","STARBUCKS CORPORATION","PO BOX 34442",,"SEATTLE","WA","98124","C","1921 N ROSE AVE
OXNARD, CA 93036
(34.21994, -119.15839)"
"CONTRACTOR LOC OUTSIDE CITY",,"CUTTING EDGE BUILDERS INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","909 989-4900","2021-03-01T00:00:00.000","115165","23-127263","2023-01-31T00:00:00.000","CUTTING EDGE BUILDERS, INC","9242 19TH ST",,"RANCHO CUCAMONGA","CA","91701","C",
"COMMERCIAL PROPERTY OWNER/SUB-LEASING",,"LEHRER FAMILY PROPERTIES, LP","520 GRAVES AVE","OXNARD","CA","93030","Yes","805 565-5775","2014-01-28T00:00:00.000","105072","23-111981","2023-03-31T00:00:00.000","LEHRER FAMILY PROPERTIES, LP","150 OLIVE MILL LANE",,"SANTA BARBARA","CA","93108","LP","520 GRAVES AVE
OXNARD, CA 93030
(34.206835, -119.146551)"
"BEAUTY SHOP:COSMETOLOGY BOARD EST",,"NAIL ENVY","1730 E CHANNEL ISLANDS BLVD","OXNARD","CA","93033","Yes","805 486-4800","2013-05-01T00:00:00.000","101379","23-120855","2023-02-28T00:00:00.000","NAIL ENVY & SPA INC","1730 E CHANNEL ISLANDS BLVD",,"OXNARD","CA","93033","C","1730 E CHANNEL ISLANDS BLVD
OXNARD, CA 93033
(34.173227, -119.161029)"
"CONTRACTOR LOC OUTSIDE CITY",,"DYNAMIC DESIGN BUILD INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","310 315-5411","2013-01-24T00:00:00.000","101114","23-129736","2023-02-28T00:00:00.000","DYNAMIC DESIGN BUILD INC","11777 SAN VICENTE BLVD STE 800",,"LOS ANGELES","CA","90049","C",
"CONTRACTOR LOC OUTSIDE CITY",,"SOUTHLAND TECHNOLOGY, INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","858 694-0932","2022-02-14T00:00:00.000","116486","23-129482","2023-01-31T00:00:00.000","SOUTHLAND TECHNOLOGY, INC","8053 VICKERS ST",,"SAN DIEGO","CA","92111","C",
"MISC SERVICES",,"GENTLEMAN SPORTFISHING","4151 S VICTORIA AVE","OXNARD","CA","93035","Yes","805 689-0336","2014-01-15T00:00:00.000","102882","23-108710","2022-12-31T00:00:00.000","D.L.R SPORTFISHING, INC","1519 RADNOR AVE",,"VENTURA","CA","93004","C","4151 S VICTORIA AVE
OXNARD, CA 93035"
"RESTAURANT/CAFE",,"KIKI'S KITCHEN","1751 N LOMBARD ST","OXNARD","CA","93030","Yes","805 604-1763","2022-01-21T00:00:00.000","116389","23-129489","2023-01-31T00:00:00.000","KIKIS KITCHEN OXNARD L.L.C.","1751 N LOMBARD ST",,"OXNARD","CA","93035","LL","1751 N LOMBARD ST
OXNARD, CA 93030"
"MFG,PROCESS,PACK,ASSEMBLE OR FABRICATION",,"MERCURY SYSTEMS INC","300 N DEL NORTE BLVD","OXNARD","CA","93030","Yes","978 967-1200","2017-04-03T00:00:00.000","110852","23-120814","2023-03-31T00:00:00.000","MERCURY SYSTEMS INC","50 MINUTEMAN RD",,"ANDOVER","MA","01810","C","300 N DEL NORTE BLVD
OXNARD, CA 93030
(34.203763, -119.127148)"
"MFG,PROCESS,PACK,ASSEMBLE OR FABRICATION",,"XTREME PERFORMANCE HEATCOATING","515 N ELEVAR ST","OXNARD","CA","93030","Yes","805 981-3888","2006-04-17T00:00:00.000","87444","23-086376","2023-03-31T00:00:00.000","TPS ENTERPRISES","515 N ELEVAR ST",,"OXNARD","CA","93030","C","515 N ELEVAR ST
OXNARD, CA 93030
(34.206729, -119.138151)"
"COMMERCIAL PROPERTY OWNER/SUB-LEASING",,"HALAMA LLC","4238 SAVIERS RD","OXNARD","CA","93033","Yes","818 434-2869","2007-03-13T00:00:00.000","89623","23-089381","2023-02-28T00:00:00.000","HALAMA LLC","PO BOX 50709",,"NASHVILLE","TN","37205","LL","4238 SAVIERS RD
OXNARD, CA 93033
(34.161458, -119.177618)"
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,"FAYE'S FINANCIAL","3107 LISBON LN","OXNARD","CA","93036","Yes","805 793-8642","2021-12-08T00:00:00.000","116228","23-129151","2022-11-30T00:00:00.000","SEBASTIAN, TERYN","3107 LISBON LN",,"OXNARD","CA","93036","S","3107 LISBON LN
OXNARD, CA 93036
(34.247342, -119.175976)"
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","4","PAMPAS DEL CIELO LLC","5325 DRIFTWOOD ST","OXNARD","CA","93035","Yes","661 335-2494","2022-02-03T00:00:00.000","116500","23-129511","2023-01-31T00:00:00.000","PAMPAS DEL CIELO LLC","5400 WOODMERE DR",,"BAKERSFIELD","CA","93313","LL","5325 DRIFTWOOD ST
OXNARD, CA 93035
(34.195589, -119.243539)"
"CONTRACTOR LOC OUTSIDE CITY",,"KEB CONSTRUCTION INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","323 599-8975","2022-02-15T00:00:00.000","116495","23-129503","2023-01-31T00:00:00.000","KEB CONSTRUCTION INC","4528 W 164 ST",,"LAWNDALE","CA","90260","C",
"MISC SERVICE",,"CALNRG OPERATING, LLC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 477-9805","2021-11-04T00:00:00.000","116499","23-129508","2023-01-31T00:00:00.000","CALNRG OPERATING, LLC","1746-F S VICTORIA AVE #245",,"VENTURA","CA","93003","LL",
"MISC SERVICE",,"MR. SOLAR SUDZ LLC","3521 SAN JUAN AVE","OXNARD","CA","93033","Yes","805 946-1414","2022-03-01T00:00:00.000","116502","23-129514","2023-01-31T00:00:00.000","MR. SOLAR SUDZ LLC","3521 SAN JUAN AVE",,"OXNARD","CA","93033","LL","3521 SAN JUAN AVE
OXNARD, CA 93033
(34.167108, -119.168699)"
"WASTEWATER PERMIT",,"PARRA'S AUTO REPAIR","2368 N OXNARD BLVD","OXNARD","CA","93036","Yes","805 983-2676","2007-12-06T00:00:00.000","91193","23-029901","2023-06-30T00:00:00.000","PARRA, VERONICA,ET AL","113 N F ST",,"OXNARD","CA","93030","S","2368 N OXNARD BLVD
OXNARD, CA 93036
(34.22872, -119.177997)"
"CONTRACTOR LOC OUTSIDE CITY",,"MD AIR SOLUTIONS","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","661 390-0155","2016-12-14T00:00:00.000","108285","23-129507","2023-01-31T00:00:00.000","MD AIR SOLUTIONS INC","25011 AVENUE STANFORD #D",,"VALENCIA","CA","91355","C",
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,"E.Z. TAX SERVICES","309 S A ST","OXNARD","CA","93030","Yes","805 656-5333","2022-02-15T00:00:00.000","116492","23-129498","2023-01-31T00:00:00.000","DELGADO H, JESUS","247 E B ST",,"PORT HUENEME","CA","93041","S","309 S A ST
OXNARD, CA 93030
(34.200045, -119.178573)"
"ADULT RESIDENTIAL CARE",,"JRN SERVICES","1014 CHEYENNE WAY","OXNARD","CA","93033","Yes","805 663-2900","2022-07-26T00:00:00.000","116498","23-129506","2023-01-31T00:00:00.000","MACALAWA, MARNIE J","1014 CHEYENNE WAY",,"OXNARD","CA","93033","S","1014 CHEYENNE WAY
OXNARD, CA 93033
(34.171133, -119.16571)"
"GENERAL MERCHANDISE",,"FAMILY DOLLAR #31932","445 W HUENEME RD","OXNARD","CA","93033","Yes","805 429-6002","2019-03-30T00:00:00.000","112347","23-123043","2023-03-31T00:00:00.000","FAMILY DOLLAR, INC.","ATT: LICENSING","500 VOLVO PARKWAY","CHESAPEAKE","VA","23320","C","445 W HUENEME RD
OXNARD, CA 93033
(34.147544, -119.182)"
"MISC SERVICE",,"ATLAS COPCO COMPRESSORS LLC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","973 397-3442","2016-01-01T00:00:00.000","106587","23-114264","2023-01-31T00:00:00.000","ATLAS COPCO COMPRESSORS LLC","120 S CENTRAL AVE STE 350",,"SAINT LOUIS","MO","63105","LL",
"JANITORIAL OR MAID SERVICE",,"K & J SITE SERVICES","733 N M ST","OXNARD","CA","93030","Yes","805 416-9233","2021-11-25T00:00:00.000","116627","23-129725","2023-02-28T00:00:00.000","ARELLANO, JULIO C","733 N M ST APT B",,"OXNARD","CA","93030","S","733 N M ST
OXNARD, CA 93030
(34.209522, -119.192275)"
"CONTRACTOR LOC OUTSIDE CITY",,"SOCAL BUILDERS SERVICES","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","323 252-3071","2022-07-07T00:00:00.000","117138","23-130523","2023-06-30T00:00:00.000","SOCAL BUILDERS SERVICES INC","19725 STRATHERN ST",,"WINNETKA","CA","91306","C",
"CONTRACTOR LOC OUTSIDE CITY",,"DUNBAR PLUMBING","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 499-6070","2019-06-01T00:00:00.000","113841","23-125281","2022-12-31T00:00:00.000","JENNETT'S PLUMBING INC","801 MITCHELL RD #406",,"NEWBURY PARK","CA","91320","C",
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","3","TAPPERO PROPERTY MNGMNT LLC","401 S D ST","OXNARD","CA","93030","Yes","805 487-8945","2014-04-21T00:00:00.000","113871","23-125422","2023-03-31T00:00:00.000","TAPPERO PROPERTY MNGMNT LLC","401 S G ST",,"OXNARD","CA","93030","LL","401 S D ST
OXNARD, CA 93030
(34.198766, -119.18235)"
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","5","FRASER APARTMENTS","5230 W WOOLEY RD","OXNARD","CA","93035","Yes","805 987-0697","1984-03-02T00:00:00.000","12189","23-002319","2023-02-28T00:00:00.000","FRASER, BRUCE ELLIOT, ET AL","76 MESA DR",,"CAMARILLO","CA","93010-1232","P","5230 W WOOLEY RD
OXNARD, CA 93035
(34.190001, -119.241992)"
"CONTRACTOR LOC OUTSIDE CITY",,"RIDAN FLOORING","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","818 997-8205","2015-04-23T00:00:00.000","105187","23-112150","2023-03-31T00:00:00.000","RIDAN ENTERPRISES","16135 RUNNYMEDE ST",,"VAN NUYS","CA","91406","C",
"CONTRACTOR LOC OUTSIDE CITY",,"LOS ANGELES PLUMBING & BACKFLO","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","626 814-0818","2021-06-01T00:00:00.000","115627","23-128066","2023-06-30T00:00:00.000","LOS ANGELES PLUMBING & BLACK","12698 SCHABARUM AVE",,"BALDWIN PARK","CA","91706","C",
"CONTRACTOR LOC OUTSIDE CITY",,"PRICE PLUMBING INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 832-0349","2021-06-23T00:00:00.000","115608","23-128029","2023-05-31T00:00:00.000","PRICE PLUMBING INC","663 MONTGOMERY AVE",,"VENTURA","CA","93004","C",
"COMMERCIAL PROPERTY OWNER/SUB-LEASING",,"ZACHAREE LP","1901 VENTURA BLVD","OXNARD","CA","93036","Yes","805 654-9300","2004-12-30T00:00:00.000","105169","23-112873","2022-11-30T00:00:00.000","ZACHAREE LP","C/O RICK SINGER","600 E BROKAW RD","SAN JOSE","CA","95112","PL","1901 VENTURA BLVD
OXNARD, CA 93036
(34.223775, -119.150814)"
"CONTRACTOR LOC OUTSIDE CITY",,"LUSARDI CONSTRUCTION CO","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","760 744-3133","2012-02-15T00:00:00.000","99256","23-122856","2023-02-28T00:00:00.000","LUSARDI CONSTRUCTION CO","1570 LINDA VISTA DR",,"SAN MARCOS","CA","92078","C",
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","4","TERESA JURADO","2008 N VENTURA RD","OXNARD","CA","93036","Yes","805 895-9689","2011-10-31T00:00:00.000","109414","23-123739","2022-09-30T00:00:00.000","JURADO, TERESA","532 N ALISOS ST",,"SANTA BARBARA","CA","93103","S","2008 N VENTURA RD
OXNARD, CA 93036
(34.221341, -119.194513)"
"PROPERTY MANAGEMENT",,"REGENCY PALMS SENIOR LIVING","901 CHEYENNE WAY","OXNARD","CA","93033","Yes","949 222-9119","2018-02-01T00:00:00.000","110223","23-119802","2022-12-31T00:00:00.000","GLOBAL REGENCY OXNARD SENIOR","1020 BISMARK WAY",,"OXNARD","CA","93033","LL","901 CHEYENNE WAY
OXNARD, CA 93033
(34.17113, -119.166761)"
"CONTRACTOR LOC OUTSIDE CITY",,"MILLER PANELING SPECIALTIES IN","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","703 944-0369","2012-10-08T00:00:00.000","100651","23-127295","2023-02-28T00:00:00.000","MILLER PANELING SPCLTIES,INC","22611 MARKEY CT SUITE 109",,"STERLING","VA","20166","C",
"WHOLESALE",,"SCOSCHE INDUSTRIES, INC","1550 PACIFIC AVE","OXNARD","CA","93033","Yes","805 486-4450","1997-08-25T00:00:00.000","50638","23-103786","2023-01-31T00:00:00.000","SCOSCHE INDUSTRIES, INC","PO BOX 2901",,"OXNARD","CA","93034","C","1550 PACIFIC AVE
OXNARD, CA 93033
(34.185552, -119.165145)"
"CONTRACTOR LOC OUTSIDE CITY",,"WESTAIRE HEATNG&AIR CNDTNG INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 642-9993","2007-03-15T00:00:00.000","89646","23-089408","2023-02-28T00:00:00.000","WESTAIRE HEATING&AIR CONDITNG","4350 TRANSPORT ST #105",,"VENTURA","CA","93003","C",
"DOCTOR:PHYSICIAN/SURGEON/MD",,"DAVID SCHARF M.D.,INC","2001 SOLAR DR","OXNARD","CA","93036","Yes","805 988-4707","1998-03-03T00:00:00.000","53170","23-045343","2023-02-28T00:00:00.000","DAVID SCHARF M.D.,INC","4910 VAN NUYS BL #302",,"SHERMAN OAKS","CA","91403","C","2001 SOLAR DR
OXNARD, CA 93036
(34.220259, -119.144894)"
"JANITORIAL OR MAID SERVICE",,"RIGO'S JANITORIAL SERVICES","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 383-6645","2004-01-27T00:00:00.000","79240","23-076123","2022-12-31T00:00:00.000","PALMA, RIGOBERTO","PO BOX 1834",,"CAMARILLO","CA","93011","S",
"CONTRACTOR LOC OUTSIDE CITY",,"SUNLUX ENERGY","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","909 390-1786","2017-04-26T00:00:00.000","108940","23-124673","2022-09-30T00:00:00.000","SUNLUX ENERGY","1061 SEGOVIA CIRCLE",,"PLACENTIA","CA","92870","C",
