Classification,Units,BusinessName,Address,City,State,ZipCode,WithinCity,Telephone,Opened,ControlNum,TaxCertNum,Expires,Owner,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,OwnershipType,Location,Zip Codes
RESTAURANT/CAFE,,EL TACO DE MEXICO,210 E FIFTH ST,OXNARD,CA,93030,Yes,805 486-6883,04/01/1985 12:00:00 AM,13602,23-004848,03/31/2023 12:00:00 AM,"GARCIA, AMPARO",210 E FIFTH ST,,OXNARD,CA,93030-7104,S,"210 E FIFTH ST
OXNARD, CA 93030
(34.197642, -119.175373)",1872
REGISTERED NON-PROFIT,,MISSIONARY CHRCH DISCIPLES J.C,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,818 896-1227,07/10/1989 12:00:00 AM,19501,23-008467,06/30/2023 12:00:00 AM,MISSIONARY CHURCH OF THE,15906 E SAN BERNARDINO,,COVINA,CA,91722,C,,
PRIVATE PATROL OPER/INVESTIGATOR,,BOYD & ASSOCIATES,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 650-3267,02/08/1996 12:00:00 AM,30018,23-057908,01/31/2023 12:00:00 AM,BOYD & ASSOCIATES,2191 E THOMPSON BL,,VENTURA,CA,93001,C,,
CONTRACTOR LOC OUTSIDE CITY,,CENTIMARK CORPORATION,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,724 743-7777,12/09/1999 12:00:00 AM,60572,23-054061,11/30/2022 12:00:00 AM,CENTIMARK CORPORATION,ATTN: ERIC B EFAW,12 GRANDVIEW CR,CANONSBURG,PA,15317,C,,
RESTAURANT/CAFE,,TACO BELL #18682,900 N VENTURA RD,OXNARD,CA,93030,Yes,805 983-7771,12/16/1996 12:00:00 AM,31438,23-023853,11/30/2022 12:00:00 AM,"TACO BUCKS, INC",C/O CONTROLLER,PO BOX 449,BANDON,OR,97411,C,"900 N VENTURA RD
OXNARD, CA 93030
(34.210049, -119.194149)",1872
DENTIST,,ISLAND VISTA DENTAL,451 W GONZALES RD,OXNARD,CA,93036,Yes,805 988-4050,01/26/1990 12:00:00 AM,20428,23-023636,12/31/2022 12:00:00 AM,"VAN BLARGEN DDS, TRACY C",451 W GONZALES RD #360,,OXNARD,CA,93030,C,"451 W GONZALES RD
OXNARD, CA 93036
(34.219179, -119.181712)",1875
RESTAURANT/CAFE,,TOPPERS PIZZA PLACE,111 E GONZALES RD,OXNARD,CA,93036,Yes,805 385-4444,11/22/1983 12:00:00 AM,11878,23-059582,10/31/2022 12:00:00 AM,"J & S RESTAURANTS, INC.",121 N FIR ST STE F,,VENTURA,CA,93001,C,"111 E GONZALES RD
OXNARD, CA 93036
(34.219136, -119.175823)",1875
DELIVERY ONLY,,CENTRAL COAST PIPING PRODUCTS,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 983-1701,10/09/1984 12:00:00 AM,12941,23-004741,09/30/2022 12:00:00 AM,"C C P P, INC.",PO BOX 1030,,SOMIS,CA,93066,C,,
PROPERTY MANAGEMENT,,COMMUNITY PROPERTY MANAGEMENT,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 987-8945,10/07/1993 12:00:00 AM,26199,23-016861,09/30/2022 12:00:00 AM,"S. H. CHAVIN, INC.",PO BOX 2817,,CAMARILLO,CA,93011-2817,C,,
GAS/SERVICE STATION,,S & S CHEVRON,2901 SAVIERS RD,OXNARD,CA,93033,Yes,805 483-9561,12/23/1997 12:00:00 AM,52575,23-044576,11/30/2022 12:00:00 AM,"SHAHEEN OIL COMPANY, INC",2901 SAVIERS RD,,OXNARD,CA,93033,C,"2901 SAVIERS RD
OXNARD, CA 93033
(34.173099, -119.177646)",1873
CONSULTANT,,"TKC ENTERPRISES, INC",3102 BROOKWOOD LN,OXNARD,CA,93036,Yes,805 981-8099,11/21/2002 12:00:00 AM,73358,23-069253,10/31/2022 12:00:00 AM,"TKC ENTERPRISES, INC",1237 S VICTORIA AVE #161,,OXNARD,CA,93035-1292,C,"3102 BROOKWOOD LN
OXNARD, CA 93036
(34.220889, -119.210198)",1875
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,RAUL VILLANUEVA,706 NILE RIVER DR,OXNARD,CA,93036,Yes,805 830-2554,01/30/2006 12:00:00 AM,86867,23-085601,12/31/2022 12:00:00 AM,"VILLANUEVA, RAUL OCAMPO",706 NILE RIVER DR,,OXNARD,CA,93036,S,"706 NILE RIVER DR
OXNARD, CA 93036
(34.250288, -119.174727)",1875
TRUCKING/BUSES (EXEMPT),,ESTES WEST,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,714 523-1122,01/04/2005 12:00:00 AM,84243,23-081847,12/31/2022 12:00:00 AM,G.I. TRUCKING COMPANY,14727 ALONDRA BL,,LA MIRADA,CA,90638,C,,
MOBILE WASH/DETAIL,,MOBIL CAR WASH & PROFESSIONAL,1100 BOGOTA CT,OXNARD,CA,93035,Yes,805 551-6273,05/23/1994 12:00:00 AM,27206,23-018140,04/30/2023 12:00:00 AM,"GUTIERREZ, OSCAR H",1100 BOGOTA CT,,OXNARD,CA,93035,S,"1100 BOGOTA CT
OXNARD, CA 93035
(34.18973, -119.201737)",1874
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,SUZANNE M DOBSON,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 290-6025,01/01/2003 12:00:00 AM,92015,23-092837,12/31/2022 12:00:00 AM,"DOBSON, SUZANNE M",249 THIRD STREET,,FILLMORE,CA,93015,S,,
REGISTERED NON-PROFIT,,COMMUNITY BIBLE MISSION CHURCH,1500 MARINER DR,OXNARD,CA,93033,Yes,805 486-9489,01/21/2004 12:00:00 AM,79168,23-076042,11/30/2022 12:00:00 AM,COMMUNITY BIBLE MISSION CHURCH,1500 MARINER DR #L,,OXNARD,CA,93033,C,"1500 MARINER DR
OXNARD, CA 93033
(34.186283, -119.167042)",1873
WHOLESALE SALES,,BRIDGFORD MARKETING COMPANY,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,714 526-5533,12/01/2000 12:00:00 AM,1996,23-001422,11/30/2022 12:00:00 AM,BRIDGFORD FOODS CORP,PO BOX 3773,,ANAHEIM,CA,92803-3773,C,,
DRUG STORE/PHARMACEUTICAL HOUSE,,STAN'S DRUGS,3001 SAVIERS RD,OXNARD,CA,93033,Yes,805 486-2678,10/10/1989 12:00:00 AM,19977,23-008607,09/30/2022 12:00:00 AM,"STAN'S DRUGS,INC",3001 SAVIERS RD,,OXNARD,CA,93033-5312,C,"3001 SAVIERS RD
OXNARD, CA 93033
(34.172306, -119.177654)",1873
WHOLESALE SALES,,"MUTUAL TRADING CO, INC",OUTSIDE OF OXNARD,OXNARD,CA,93030,No,213 626-9458,12/01/2000 12:00:00 AM,3868,23-001286,11/30/2022 12:00:00 AM,"MUTUAL TRADING CO, INC",4200 SHIRLEY AVE,,EL MONTE,CA,91731,C,,
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,ANGEL'S TAX SERVICES,5533 PERKINS RD,OXNARD,CA,93033,Yes,805 986-4379,12/16/2004 12:00:00 AM,84158,23-081745,11/30/2022 12:00:00 AM,"GARCIA, JOSE ANGEL",5537 PERKINS RD,,OXNARD,CA,93033,S,"5533 PERKINS RD
OXNARD, CA 93033
(34.14807, -119.183904)",1873
BROKER (EXEMPT),,JERRY'S DISCOUNT PRINT,450 FAIRBOURNE PL,OXNARD,CA,93033,Yes,805 986-1523,06/01/1990 12:00:00 AM,32099,23-024322,05/31/2023 12:00:00 AM,"SPUNT, GERALD A",450 FAIRBOURNE PL,,OXNARD,CA,93033,S,"450 FAIRBOURNE PL
OXNARD, CA 93033
(34.151997, -119.182139)",1873
"MFG,PROCESS,PACK,ASSEMBLE OR FABRICATION",,"JEAN LARRIVEE GUITARS USA,INC",1070 YARNELL PL,OXNARD,CA,93033,Yes,805 487-9980,10/25/2001 12:00:00 AM,68589,23-063653,09/30/2022 12:00:00 AM,"JEAN LARRIVEE GUITARS USA,INC",1070 YARNELL PL,,OXNARD,CA,93033,C,"1070 YARNELL PL
OXNARD, CA 93033
(34.185438, -119.16729)",1873
AUTO SUPPLY STORE,,AUTOZONE #5715,600 N VENTURA RD,OXNARD,CA,93030,Yes,805 988-7550,11/08/1996 12:00:00 AM,31262,23-023640,10/31/2022 12:00:00 AM,"AUTO ZONE WEST, INC",PO BOX 2198 DEPT 8088,,MEMPHIS,TN,38101,C,"600 N VENTURA RD
OXNARD, CA 93030
(34.210043, -119.193666)",1872
RETAIL OR WHOLESALE SALES,,AMERICAN PLASTICS CORP,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 484-3333,04/03/1997 12:00:00 AM,47551,23-039184,03/31/2023 12:00:00 AM,AMERICAN PLASTICS CORP,463 DAWSON DR,,CAMARILLO,CA,93012,C,,
MISC OCCUPATION,,TVWORKS4U,3051 LEEWARD WAY,OXNARD,CA,93035,Yes,805 382-4433,04/10/2008 12:00:00 AM,91821,23-092584,11/30/2022 12:00:00 AM,"HUNTER, TRACEY",3051 LEEWARD WY,,OXNARD,CA,93035,S,"3051 LEEWARD WAY
OXNARD, CA 93035
(34.185407, -119.211035)",1874
"MFG,PROCESS,PACK,ASSEMBLE OR FABRICATION",,"SOUTHERN CALIF GOLD PROD, INC",2350 SANTIAGO CT,OXNARD,CA,93030,Yes,805 445-8370,03/10/2005 12:00:00 AM,84706,23-082583,02/28/2023 12:00:00 AM,SOUTHERN CALIFORNIA GOLD,PO BOX 1933,,CAMARILLO,CA,93011,C,"2350 SANTIAGO CT
OXNARD, CA 93030
(34.214655, -119.145391)",1872
APARTMENT COMPLEX/RESIDENTIAL RENTAL,10,PAUL FAMILY TRUST,1031 S PATTERSON RD,OXNARD,CA,93035,Yes,805 483-5899,12/01/2000 12:00:00 AM,7977,23-002776,11/30/2022 12:00:00 AM,PAUL FAMILY TRUST,C/O WALKER AND PAUL,PO BOX 6211,OXNARD,CA,93031,S,"1031 S PATTERSON RD
OXNARD, CA 93035
(34.191157, -119.208063)",1874
CONTRACTOR LOC OUTSIDE CITY,,INSTANT LAWN,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 485-6887,12/01/2000 12:00:00 AM,4435,23-003643,11/30/2022 12:00:00 AM,"PYLE, DALE C",1127 COLLINS ST,,OXNARD,CA,93030,S,,
CONTRACTOR LOC OUTSIDE CITY,,CENTRAL CITY ENTERPRISES,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,951 343-2000,09/01/2011 12:00:00 AM,98395,23-130699,06/30/2023 12:00:00 AM,"CENTRAL CITY WRECKING, INC",963 MAIN ST,,RIVERSIDE,CA,92501,C,,
FAMILY APPAREL,,TILLY'S,161 W ESPLANADE DR,OXNARD,CA,93036,Yes,949 609-5599,11/06/2001 12:00:00 AM,68780,23-063860,10/31/2022 12:00:00 AM,WORLD OF JEANS & TOPS,10 WHATNEY,,IRVINE,CA,92618-2807,C,"161 W ESPLANADE DR
OXNARD, CA 93036
(34.231859, -119.175956)",1875
MOBILE MECHANIC,,MOVE N' LUBE,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 798-4171,10/22/2002 12:00:00 AM,72983,23-068821,09/30/2022 12:00:00 AM,"LEIB, GARRETT F",PO BOX 881,,OJAI,CA,93024,S,,
APARTMENT COMPLEX/RESIDENTIAL RENTAL,4,ESPINOSA AND RODRIGUEZ,537 W SEVENTH ST,OXNARD,CA,93030,Yes,805 895-3625,11/15/2002 12:00:00 AM,76953,23-073439,10/31/2022 12:00:00 AM,"PELCASTRE, ESPINOSA FELIPA",622 W ORTEGA ST,,SANTA BARBARA,CA,93101,S,"537 W SEVENTH ST
OXNARD, CA 93030
(34.19513, -119.183508)",1872
RETAIL SALES,,FAY PRODUCTIONS,4842 ISLAND VIEW ST,OXNARD,CA,93035,Yes,805 985-0405,11/30/2001 12:00:00 AM,69046,23-064184,10/31/2022 12:00:00 AM,"FAY, LINDA FERN",4842 ISLAND VIEW ST,,OXNARD,CA,93035,S,"4842 ISLAND VIEW ST
OXNARD, CA 93035
(34.185773, -119.237297)",1874
DELIVERY ONLY,,PORTA-STORE,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 643-3862,01/01/2011 12:00:00 AM,98588,23-102410,12/31/2022 12:00:00 AM,WITHERSPOON INDUSTRIES INC,PO BOX 1435,,VENTURA,CA,93002,C,,
CONTRACTOR LOC INSIDE CITY,,"VOGUE SIGN, INC",715 COMMERCIAL AVE,OXNARD,CA,93030,Yes,805 487-7222,05/15/2003 12:00:00 AM,75917,23-072207,04/30/2023 12:00:00 AM,"VOGUE SIGN, INC",715 COMMERCIAL AV,,OXNARD,CA,93030,C,"715 COMMERCIAL AVE
OXNARD, CA 93030
(34.19314, -119.172632)",1872
WASTEWATER PERMIT,,VENTURA COUNTY RESCUE MISSION,234 E SIXTH ST,OXNARD,CA,93030,Yes,805 487-1234,10/28/1989 12:00:00 AM,20097,23-023406,06/30/2023 12:00:00 AM,RESCUE MISSION ALLIANCE,PO BOX 5545,,OXNARD,CA,93031-5545,C,"234 E SIXTH ST
OXNARD, CA 93030
(34.196372, -119.175397)",1872
REGISTERED NON-PROFIT,,NEW WEST SYMPHONY,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 497-5800,07/27/1995 12:00:00 AM,29129,23-020929,06/30/2023 12:00:00 AM,NEW WEST SYMPHONY,2100 E THOUSAND OAKS BL #D,,THOUSAND OAKS,CA,91362,C,,
LIQUOR STORE,,COOPER LIQUOR,406 COOPER RD,OXNARD,CA,93030,Yes,805 201-7796,10/12/2004 12:00:00 AM,83366,23-080805,09/30/2022 12:00:00 AM,"DH ENTERPRISE, INC",406 COOPER RD,,OXNARD,CA,93030,C,"406 COOPER RD
OXNARD, CA 93030
(34.204559, -119.174064)",1872
MISC SERVICE,,"WILLIAMS SCOTSMAN, INC",OUTSIDE OF OXNARD,OXNARD,CA,93030,No,562 903-9200,10/20/2004 12:00:00 AM,83512,23-080977,09/30/2022 12:00:00 AM,"WILLIAMS SCOTSMAN, INC","901 SOUTH BOND ST, SUITE 600",,BALTIMORE,MD,21231,C,,
REGISTERED NON-PROFIT,,"VOCATIONAL SKILLS SERVICES,INC",549 W HUENEME RD,OXNARD,CA,93033,Yes,805 986-8300,11/29/2004 12:00:00 AM,83971,23-081507,10/31/2022 12:00:00 AM,"VOCATIONAL SKILLS SERVICES,INC",3543 SPANISH GATE DR,,NEWBURY PARK,CA,91320,C,"549 W HUENEME RD
OXNARD, CA 93033
(34.147553, -119.183335)",1873
APARTMENT COMPLEX/RESIDENTIAL RENTAL,4,LOPEZ APARTMENTS,510 S I ST,OXNARD,CA,93030,Yes,805 252-2156,11/24/2004 12:00:00 AM,83950,23-081487,10/31/2022 12:00:00 AM,"LOPEZ, DENNIS",C/O DENNIS LOPEZ,268 SARATOGA CT,GOLETA,CA,93117,S,"510 S I ST
OXNARD, CA 93030
(34.197483, -119.19014)",1872
CONTRACTOR LOC OUTSIDE CITY,,QCP INC,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 650-0800,10/24/2005 12:00:00 AM,86374,23-084936,09/30/2022 12:00:00 AM,QCP INC,2734 JOHNSON DR #G,,VENTURA,CA,93003,C,,
GARDENING/LANDSCAPING,,J & J GARDENING SERVICE,620 PASEO MARGARITA,OXNARD,CA,93030,Yes,805 986-2057,10/01/2003 12:00:00 AM,77850,23-074512,09/30/2022 12:00:00 AM,"SALDIVAR, JUAN",PO BOX 395,,PORT HUENEME,CA,93044,S,"620 PASEO
MARGARITA OXNARD, CA 93030",
"MFG,PROCESS,PACK,ASSEMBLE OR FABRICATION",,PACIFIC VIEW DRAPERY,1613 PACIFIC AVE,OXNARD,CA,93033,Yes,805 830-3423,10/17/2005 12:00:00 AM,86340,23-084890,09/30/2022 12:00:00 AM,"NUNO, ALFONSO F",1613 PACIFIC AV #183,,OXNARD,CA,93033,S,"1613 PACIFIC AVE
OXNARD, CA 93033
(34.183622, -119.165171)",1872
JANITORIAL OR MAID SERVICE,,SUNRISE CLEANING SERVICE,1214 DAHLIA ST,OXNARD,CA,93036,Yes,805 754-5267,02/08/2012 12:00:00 AM,99253,23-103377,01/31/2023 12:00:00 AM,"CISNEROS, MARIA M",1214 DAHLIA ST,,OXNARD,CA,93036,S,"1214 DAHLIA ST
OXNARD, CA 93036
(34.223068, -119.190807)",1875
CONTRACTOR LOC OUTSIDE CITY,,CALIFORNIA CUSTOM LIFT INC,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,714 554-1300,01/01/2016 12:00:00 AM,106700,23-114433,01/31/2023 12:00:00 AM,CALIFORNIA CUSTOM LIFT INC,13802 WEST ST,,GARDEN GROVE,CA,92843,C,,
DELIVERY ONLY,,ARGO CHEMICAL INC,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,661 322-2222,12/30/2014 12:00:00 AM,104638,23-111299,11/30/2022 12:00:00 AM,ARGO CHEMICAL INC,30933 IMPERIAL ST,,SHAFTER,CA,93263,C,,
CONTRACTOR LOC OUTSIDE CITY,,"GATES & RODRIGUEZ BUILDERS,INC",OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 650-3249,10/22/1998 12:00:00 AM,55950,23-048563,09/30/2022 12:00:00 AM,"GATES & RODRIGUEZ BUILDERS,INC",2100 GOODYEAR AV #16,,VENTURA,CA,93003,C,,
MISC OCCUPATION,,"JULC, INC",510 IVYWOOD DR,OXNARD,CA,93030,Yes,805 407-0670,10/31/2007 12:00:00 AM,95251,23-097580,09/30/2022 12:00:00 AM,"JULC, INC",2081N OXNARD BLVD #327,,OXNARD,CA,93036,C,"510 IVYWOOD DR
OXNARD, CA 93030
(34.215768, -119.182231)",1872
MOBILE HOME PARK,140,SUNNY ACRES MOBILE HOME PARK,2177 E PLEASANT VALLEY RD,OXNARD,CA,93033,Yes,805 488-2112,10/31/1962 12:00:00 AM,1896,23-002827,09/30/2022 12:00:00 AM,SUNNY ACRES PARK LLC,6243 ELLENVIEW AV,,WEST HILLS,CA,91307,LL,"2177 E PLEASANT VALLEY RD
OXNARD, CA 93033
(34.162368, -119.150658)",1873
WINDOW CLEANING SERVICE,,3D WINDOW WASHING,131 W COLLINS ST,OXNARD,CA,93036,Yes,805 485-4566,11/30/2007 12:00:00 AM,91166,23-091655,10/31/2022 12:00:00 AM,"ALVAREZ, ELADIO",PO BOX 51041,,OXNARD,CA,93031,S,"131 W COLLINS ST
OXNARD, CA 93036
(34.239113, -119.168629)",1875
PROPERTY MANAGEMENT,,BUENA PROPERTIES,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 658-2531,11/01/2009 12:00:00 AM,95872,23-098414,10/31/2022 12:00:00 AM,"LASHRARI, HAMID",3445 TELEGRAPH RD #205,,VENTURA,CA,93003,S,,
CONTRACTOR LOC INSIDE CITY,,A & C PAINTING,431 RODERICK AVE,OXNARD,CA,93030,Yes,805 607-8122,12/01/2010 12:00:00 AM,106918,23-114748,11/30/2022 12:00:00 AM,"LUNA, AARON",431 W RODERICK AVE,,OXNARD,CA,93030,S,"431 RODERICK AVE
OXNARD, CA 93030
(34.209789, -119.181718)",1872
CONTRACTOR LOC OUTSIDE CITY,,FIBERTEL COMMUNICATIONS,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,818 698-4508,01/15/2016 12:00:00 AM,106503,23-114138,12/31/2022 12:00:00 AM,FIBERTEL COMMUNICATIONS,12969 ARROYO ST,,SAN FERNANDO,CA,91340,C,,
CONTRACTOR LOC INSIDE CITY,,WAGEMANN CONSTRUCTION CO,2049 NEWCASTLE DR,OXNARD,CA,93036,Yes,805 290-5733,10/29/2010 12:00:00 AM,97172,23-100348,09/30/2022 12:00:00 AM,"WAGEMANN, MICHAEL T",2049 NEWCASTLE DR,,OXNARD,CA,93036,S,"2049 NEWCASTLE DR
OXNARD, CA 93036
(34.222491, -119.215243)",1875
AUTO SUPPLY STORE,,O'REILLY AUTO PARTS #2737,1941 N OXNARD BLVD,OXNARD,CA,93036,Yes,805 485-6226,11/12/2011 12:00:00 AM,98766,23-102666,10/31/2022 12:00:00 AM,O'REILLY AUTO ENTERPRISES LLC,TAX DEPT,PO BOX 9167,SPRINGFIELD,MO,65801,C,"1941 N OXNARD BLVD
OXNARD, CA 93036
(34.220236, -119.177194)",1875
CONTRACTOR LOC OUTSIDE CITY,,H & H ENGINEERING CONSTRUCTION,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,209 983-0708,02/01/2013 12:00:00 AM,101170,23-106215,01/31/2023 12:00:00 AM,H & H ENGINEERING CONST INC,212 INDUSTRIAL DR,,STOCKTON,CA,95206,C,,
COMMERCIAL PROPERTY OWNER/SUB-LEASING,,SISSON TRYON & D LIVING TRUST,2360 N OXNARD BLVD,OXNARD,CA,93036,Yes,805 379-3151,11/20/2009 12:00:00 AM,96966,23-100072,10/31/2022 12:00:00 AM,SISSON TRYON & D LIVING TRUST,1279 WESTWIND CIRCLE,,WESTLAKE,CA,91361,T,"2360 N OXNARD BLVD
OXNARD, CA 93036
(34.228275, -119.177859)",1875
DOCTOR:CHIROPRACTIC,,DR KENNETH PLAUT-CLASSIC CHIRO,210 ST MARYS DR,OXNARD,CA,93036,Yes,805 983-6267,01/02/2013 12:00:00 AM,101565,23-106749,03/31/2023 12:00:00 AM,"PLAUT, KENNETH",210 ST MARYS DR #D,,OXNARD,CA,93036,S,"210 ST MARYS DR
OXNARD, CA 93036
(34.227052, -119.175504)",1875
CONTRACTOR LOC OUTSIDE CITY,,SMART SYSTEMS TECHNOLOGIES INC,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,949 367-9375,08/01/2011 12:00:00 AM,98218,24-101867,07/31/2023 12:00:00 AM,SMART SYSTEMS TECHNOLOGIES INC,9 GOODYEAR,,IRVINE,CA,92618,C,,
MISC PROFESSION,,LINCOLN FINANCIAL ADVISORS COR,300 E ESPLANADE DR,OXNARD,CA,93036,Yes,805 973-5908,10/10/2011 12:00:00 AM,104385,23-110927,09/30/2022 12:00:00 AM,LINCOLN FINANCIAL ADVISORS,100 N GREENE ST,,GREENSBORO,NC,27401,C,"300 E ESPLANADE DR
OXNARD, CA 93036
(34.229587, -119.173908)",1875
"ARCHITECT,ENGINEER,DRAFT,DESIGN OR SVY'G",,BRR ARCHITECTURE INC,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,913 262-9095,12/20/2012 12:00:00 AM,102403,23-108009,09/30/2022 12:00:00 AM,BRR ARCHITECTURE INC,8131 METCALF AVE,,OVERLAND PARK,KS,66204,C,,
GRAPHICS,,CHANNEL ISLANDS DESIGN,2434 MONACO DR,OXNARD,CA,93035,Yes,805 382-4243,10/24/2002 12:00:00 AM,73028,23-068877,09/30/2022 12:00:00 AM,CHANNEL ISLANDS ADVRTSNG INC,2434 MONACO DR,,OXNARD,CA,93035,C,"2434 MONACO DR
OXNARD, CA 93035
(34.177062, -119.222936)",1874
AUTO REPAIR/SERVICE,,CHAPO MUFFLERS,1802 SUNKIST CIR,OXNARD,CA,93033,Yes,805 758-8142,11/01/2014 12:00:00 AM,104347,23-110882,09/30/2022 12:00:00 AM,"GORDILLO, RENE,ET AL",1802 SUNKIST CIR # 4,,OXNARD,CA,93033,P,"1802 SUNKIST CIR
OXNARD, CA 93033
(34.181605, -119.168002)",1873
CONTRACTOR LOC OUTSIDE CITY,,AIRPLUS REFRIGERATION INC,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,818 340-3644,09/01/2015 12:00:00 AM,106184,23-113673,10/31/2022 12:00:00 AM,AIRPLUS REFRIGERATION INC,23705 VANOWEN ST #131,,WEST HILLS,CA,91307,C,,
REGISTERED NON-PROFIT,,"KINGDOM CENTER, THE",1450 S ROSE AVE,OXNARD,CA,93033,Yes,805 643-7675,11/01/2011 12:00:00 AM,99184,23-103278,10/31/2022 12:00:00 AM,"KINGDOM CENTER, THE",PO BOX 654,,OXNARD,CA,93032,C,"1450 S ROSE AVE
OXNARD, CA 93033
(34.186027, -119.159811)",1872
