"year","region","sex","category","rank_category","age_group","daly","daly_rank"
"2011","ACT","Female","Dental caries","32. Dental caries","25–74","1.3","32"
"2011","ACT","Female","Schizophrenia","33. Schizophrenia","25–74","1.3","33"
"2011","ACT","Female","Alcohol use disorders","34. Alcohol use disorders","25–74","1.3","34"
"2011","ACT","Female","Motor neurone disease","35. Motor neurone disease","25–74","1.2","35"
"2011","ACT","Female","Functional gastrointestinal disorders (FGID)","36. Functional gastrointestinal disorders (FGID)","25–74","1.1","36"
"2011","ACT","Female","Dementia","37. Dementia","25–74","1.1","37"
"2011","ACT","Female","Hearing loss","38. Hearing loss","25–74","1.1","38"
"2011","ACT","Female","Multiple sclerosis","39. Multiple sclerosis","25–74","1.1","39"
"2011","ACT","Female","Other neurological conditions","40. Other neurological conditions","25–74","1.1","40"
"2011","ACT","Female","Inflammatory bowel disease (IBD)","41. Inflammatory bowel disease (IBD)","25–74","1","41"
"2011","ACT","Female","Uterine cancer","42. Uterine cancer","25–74","1","42"
"2011","ACT","Female","Pancreatic cancer","43. Pancreatic cancer","25–74","0.9","43"
"2011","ACT","Female","Other blood and metabolic disorders","44. Other blood and metabolic disorders","25–74","0.9","44"
"2011","ACT","Female","Iron-deficiency anaemia","45. Iron-deficiency anaemia","25–74","0.9","45"
"2011","ACT","Female","Unknown primary","46. Unknown primary","25–74","0.9","46"
"2011","ACT","Female","Melanoma of the skin","47. Melanoma of the skin","25–74","0.8","47"
"2011","ACT","Female","Severe tooth loss","48. Severe tooth loss","25–74","0.8","48"
"2011","ACT","Female","Atrial fibrillation and flutter","49. Atrial fibrillation and flutter","25–74","0.8","49"
"2011","ACT","Female","Liver cancer","50. Liver cancer","25–74","0.7","50"
"2011","ACT","Female","Dementia","1. Dementia","75+","109.1","1"
"2011","ACT","Female","Coronary heart disease","2. Coronary heart disease","75+","90.2","2"
"2011","ACT","Female","Stroke","3. Stroke","75+","61","3"
"2011","ACT","Female","COPD","4. COPD","75+","47","4"
"2011","ACT","Female","Other musculoskeletal","5. Other musculoskeletal","75+","25.8","5"
"2011","ACT","Female","Breast cancer","6. Breast cancer","75+","21.1","6"
"2011","ACT","Female","Hearing loss","7. Hearing loss","75+","19.9","7"
"2011","ACT","Female","Osteoarthritis","8. Osteoarthritis","75+","19.7","8"
"2011","ACT","Female","Bowel cancer","9. Bowel cancer","75+","18.2","9"
"2011","ACT","Female","Atrial fibrillation and flutter","10. Atrial fibrillation and flutter","75+","15.9","10"
"2011","ACT","Female","Parkinson disease","11. Parkinson disease","75+","15.9","11"
"2011","ACT","Female","Type 2 diabetes","12. Type 2 diabetes","75+","15.3","12"
"2011","ACT","Female","Rheumatoid arthritis","13. Rheumatoid arthritis","75+","12.8","13"
"2011","ACT","Female","Other cardiovascular diseases","14. Other cardiovascular diseases","75+","12.5","14"
"2011","ACT","Female","Chronic kidney disease","15. Chronic kidney disease","75+","12.4","15"
"2011","ACT","Female","Lung cancer","16. Lung cancer","75+","11","16"
"2011","ACT","Female","Other respiratory disease","17. Other respiratory disease","75+","10.9","17"
"2011","ACT","Female","Asthma","18. Asthma","75+","10.2","18"
"2011","ACT","Female","Back pain and problems","19. Back pain and problems","75+","8.7","19"
"2011","ACT","Female","Non-rheumatic valvular disease","20. Non-rheumatic valvular disease","75+","8.7","20"
"2011","ACT","Female","Pancreatic cancer","21. Pancreatic cancer","75+","8.6","21"
"2011","ACT","Female","Hip fracture","22. Hip fracture","75+","7.4","22"
"2011","ACT","Female","Urinary tract infections","23. Urinary tract infections","75+","6.9","23"
"2011","ACT","Female","Lower respiratory infections","24. Lower respiratory infections","75+","6.6","24"
"2011","ACT","Female","Interstitial lung disease","25. Interstitial lung disease","75+","6.5","25"
"2011","ACT","Female","Other gastrointestinal diseases","26. Other gastrointestinal diseases","75+","6.2","26"
"2011","ACT","Female","Severe tooth loss","27. Severe tooth loss","75+","6.1","27"
"2011","ACT","Female","Age-related macular degeneration","28. Age-related macular degeneration","75+","5.4","28"
"2011","ACT","Female","Hypertensive heart disease","29. Hypertensive heart disease","75+","5.2","29"
"2011","ACT","Female","Other neurological conditions","30. Other neurological conditions","75+","5","30"
"2011","ACT","Female","Aortic aneurysm","31. Aortic aneurysm","75+","5","31"
"2011","ACT","Female","Non-Hodgkin lymphoma","32. Non-Hodgkin lymphoma","75+","5","32"
"2011","ACT","Female","Epilepsy","33. Epilepsy","75+","4.9","33"
"2011","ACT","Female","Other fractures","34. Other fractures","75+","4.7","34"
"2011","ACT","Female","Traumatic brain injury","35. Traumatic brain injury","75+","4.6","35"
"2011","ACT","Female","Rheumatic heart disease","36. Rheumatic heart disease","75+","4.3","36"
"2011","ACT","Female","Other cancers","37. Other cancers","75+","4.2","37"
"2011","ACT","Female","Protein-energy deficiency","38. Protein-energy deficiency","75+","3.9","38"
"2011","ACT","Female","Liver cancer","39. Liver cancer","75+","3.6","39"
"2011","ACT","Female","Refractive errors","40. Refractive errors","75+","3.4","40"
"2011","ACT","Female","Other injuries","41. Other injuries","75+","3.2","41"
"2011","ACT","Female","Periodontal disease","42. Periodontal disease","75+","3.1","42"
"2011","ACT","Female","Unknown primary","43. Unknown primary","75+","3","43"
"2011","ACT","Female","Inflammatory bowel disease (IBD)","44. Inflammatory bowel disease (IBD)","75+","3","44"
"2011","ACT","Female","Peripheral vascular disease","45. Peripheral vascular disease","75+","2.8","45"
"2011","ACT","Female","Gastro Oesophageal Reflux Disease (GORD)","46. Gastro Oesophageal Reflux Disease (GORD)","75+","2.8","46"
"2011","ACT","Female","Cardiomyopathy","47. Cardiomyopathy","75+","2.6","47"
"2011","ACT","Female","Oesophageal cancer","48. Oesophageal cancer","75+","2.4","48"
"2011","ACT","Female","Depressive disorders","49. Depressive disorders","75+","2.4","49"
"2011","ACT","Female","Other blood and metabolic disorders","50. Other blood and metabolic disorders","75+","2.4","50"
"2015","ACT","Female","Anxiety disorders","1. Anxiety disorders","0–24","7.7","1"
"2015","ACT","Female","Asthma","2. Asthma","0–24","4.7","2"
"2015","ACT","Female","Other injuries","3. Other injuries","0–24","3.9","3"
"2015","ACT","Female","Depressive disorders","4. Depressive disorders","0–24","3.4","4"
"2015","ACT","Female","Other disorders of infancy","5. Other disorders of infancy","0–24","2.8","5"
"2015","ACT","Female","Other neurological conditions","6. Other neurological conditions","0–24","2.5","6"
"2015","ACT","Female","Back pain and problems","7. Back pain and problems","0–24","2.4","7"
"2015","ACT","Female","Bipolar affective disorder","8. Bipolar affective disorder","0–24","2.2","8"
"2015","ACT","Female","Acne","9. Acne","0–24","1.7","9"
"2015","ACT","Female","Other congenital conditions","10. Other congenital conditions","0–24","1.7","10"
"2015","ACT","Female","Autism spectrum disorders","11. Autism spectrum disorders","0–24","1.6","11"
"2015","ACT","Female","Migraine","16. Migraine","25–74","2.8","16"
"2015","ACT","Female","Other musculoskeletal","12. Other musculoskeletal","0–24","1.5","12"
"2015","ACT","Female","Brain and CNS cancer","13. Brain and CNS cancer","0–24","1.4","13"
"2015","ACT","Female","Eating disorders","14. Eating disorders","0–24","1.4","14"
"2015","ACT","Female","Polycystic ovarian syndrome","15. Polycystic ovarian syndrome","0–24","1.3","15"
"2015","ACT","Female","Dermatitis and eczema","16. Dermatitis and eczema","0–24","1.3","16"
"2015","ACT","Female","Other chromosomal abnormalities","17. Other chromosomal abnormalities","0–24","1.3","17"
"2015","ACT","Female","Dental caries","18. Dental caries","0–24","1.2","18"
"2015","ACT","Female","Migraine","19. Migraine","0–24","1.1","19"
"2015","ACT","Female","Other gastrointestinal infections","20. Other gastrointestinal infections","0–24","1.1","20"
"2015","ACT","Female","Epilepsy","21. Epilepsy","0–24","1","21"
"2015","ACT","Female","Conduct disorder","22. Conduct disorder","0–24","1","22"
"2015","ACT","Female","Drug use disorders (excluding alcohol)","23. Drug use disorders (excluding alcohol)","0–24","1","23"
"2015","ACT","Female","Alcohol use disorders","24. Alcohol use disorders","0–24","1","24"
"2015","ACT","Female","Upper respiratory conditions","25. Upper respiratory conditions","0–24","0.7","25"
"2015","ACT","Female","Rheumatoid arthritis","26. Rheumatoid arthritis","0–24","0.7","26"
"2015","ACT","Female","Iron-deficiency anaemia","27. Iron-deficiency anaemia","0–24","0.6","27"
"2015","ACT","Female","Poisoning","28. Poisoning","0–24","0.6","28"
"2015","ACT","Female","Sudden infant death syndrome","29. Sudden infant death syndrome","0–24","0.5","29"
"2015","ACT","Female","Intellectual disability","30. Intellectual disability","0–24","0.5","30"
"2015","ACT","Female","Functional gastrointestinal disorders (FGID)","31. Functional gastrointestinal disorders (FGID)","0–24","0.5","31"
"2015","ACT","Female","Other mental and substance use disorders","32. Other mental and substance use disorders","0–24","0.5","32"
"2015","ACT","Female","Schizophrenia","33. Schizophrenia","0–24","0.4","33"
"2015","ACT","Female","Traumatic brain injury","34. Traumatic brain injury","0–24","0.4","34"
"2015","ACT","Female","Lower respiratory infections","35. Lower respiratory infections","0–24","0.4","35"
"2015","ACT","Female","Attention deficit hyperactivity disorder","36. Attention deficit hyperactivity disorder","0–24","0.4","36"
"2015","ACT","Female","Cerebral palsy","37. Cerebral palsy","0–24","0.3","37"
"2015","ACT","Female","Inflammatory bowel disease (IBD)","38. Inflammatory bowel disease (IBD)","0–24","0.3","38"
"2015","ACT","Female","Psoriasis","39. Psoriasis","0–24","0.3","39"
"2015","ACT","Female","Brain malformations","40. Brain malformations","0–24","0.2","40"
"2015","ACT","Female","Other fractures","41. Other fractures","0–24","0.2","41"
"2015","ACT","Female","Tibia and ankle fracture","42. Tibia and ankle fracture","0–24","0.2","42"
"2015","ACT","Female","Pre-term birth and low birth weight  complications","43. Pre-term birth and low birth weight  complications","0–24","0.2","43"
"2015","ACT","Female","Birth trauma and asphyxia","44. Birth trauma and asphyxia","0–24","0.2","44"
"2015","ACT","Female","Other reproductive conditions","45. Other reproductive conditions","0–24","0.2","45"
"2015","ACT","Female","Cardiovascular defects","46. Cardiovascular defects","0–24","0.2","46"
"2015","ACT","Female","Type 1 diabetes","47. Type 1 diabetes","0–24","0.2","47"
"2015","ACT","Female","Internal and crush injury","48. Internal and crush injury","0–24","0.2","48"
"2015","ACT","Female","Gastro Oesophageal Reflux Disease (GORD)","49. Gastro Oesophageal Reflux Disease (GORD)","0–24","0.2","49"
"2015","ACT","Female","Osteoarthritis","50. Osteoarthritis","0–24","0.2","50"
"2015","ACT","Female","Anxiety disorders","1. Anxiety disorders","25–74","12.3","1"
"2015","ACT","Female","Back pain and problems","2. Back pain and problems","25–74","11.9","2"
"2015","ACT","Female","Other musculoskeletal","3. Other musculoskeletal","25–74","11.2","3"
"2015","ACT","Female","Osteoarthritis","4. Osteoarthritis","25–74","7.8","4"
"2015","ACT","Female","Breast cancer","5. Breast cancer","25–74","7.3","5"
"2015","ACT","Female","Rheumatoid arthritis","6. Rheumatoid arthritis","25–74","7.1","6"
"2015","ACT","Female","Depressive disorders","7. Depressive disorders","25–74","6.1","7"
"2015","ACT","Female","Lung cancer","8. Lung cancer","25–74","5.8","8"
"2015","ACT","Female","COPD","9. COPD","25–74","5.7","9"
"2015","ACT","Female","Asthma","10. Asthma","25–74","5.7","10"
"2015","ACT","Female","Bowel cancer","11. Bowel cancer","25–74","4.5","11"
"2015","ACT","Female","Coronary heart disease","12. Coronary heart disease","25–74","3.6","12"
"2015","ACT","Female","Other injuries","13. Other injuries","25–74","3.4","13"
"2015","ACT","Female","Poisoning","14. Poisoning","25–74","3.3","14"
"2015","ACT","Female","Bipolar affective disorder","15. Bipolar affective disorder","25–74","3","15"
"2015","ACT","Female","Chronic liver disease","17. Chronic liver disease","25–74","2.6","17"
"2015","ACT","Female","Other cardiovascular diseases","18. Other cardiovascular diseases","25–74","2.5","18"
"2015","ACT","Female","Type 2 diabetes","19. Type 2 diabetes","25–74","2.5","19"
"2015","ACT","Female","Hearing loss","20. Hearing loss","25–74","2.4","20"
"2015","ACT","Female","Dementia","21. Dementia","25–74","2","21"
"2015","ACT","Female","Stroke","22. Stroke","25–74","1.9","22"
"2015","ACT","Female","Eating disorders","23. Eating disorders","25–74","1.7","23"
"2015","ACT","Female","Ovarian cancer","24. Ovarian cancer","25–74","1.6","24"
"2015","ACT","Female","Liver cancer","25. Liver cancer","25–74","1.6","25"
"2015","ACT","Female","Pancreatic cancer","26. Pancreatic cancer","25–74","1.5","26"
"2015","ACT","Female","Periodontal disease","27. Periodontal disease","25–74","1.5","27"
"2015","ACT","Female","Drug use disorders (excluding alcohol)","28. Drug use disorders (excluding alcohol)","25–74","1.5","28"
"2015","ACT","Female","Dermatitis and eczema","29. Dermatitis and eczema","25–74","1.5","29"
"2015","ACT","Female","Multiple sclerosis","30. Multiple sclerosis","25–74","1.4","30"
"2015","ACT","Female","Dental caries","31. Dental caries","25–74","1.3","31"
"2015","ACT","Female","Schizophrenia","32. Schizophrenia","25–74","1.3","32"
"2015","ACT","Female","Iron-deficiency anaemia","33. Iron-deficiency anaemia","25–74","1.2","33"
"2015","ACT","Female","Brain and CNS cancer","34. Brain and CNS cancer","25–74","1.2","34"
"2015","ACT","Female","Inflammatory bowel disease (IBD)","35. Inflammatory bowel disease (IBD)","25–74","1.2","35"
"2015","ACT","Female","Functional gastrointestinal disorders (FGID)","36. Functional gastrointestinal disorders (FGID)","25–74","1.1","36"
"2015","ACT","Female","Upper respiratory conditions","37. Upper respiratory conditions","25–74","1.1","37"
"2015","ACT","Female","Other blood and metabolic disorders","38. Other blood and metabolic disorders","25–74","1.1","38"
"2015","ACT","Female","Uterine cancer","39. Uterine cancer","25–74","1","39"
"2015","ACT","Female","Epilepsy","40. Epilepsy","25–74","1","40"
"2015","ACT","Female","Alcohol use disorders","41. Alcohol use disorders","25–74","1","41"
"2015","ACT","Female","Lower respiratory infections","42. Lower respiratory infections","25–74","0.9","42"
"2015","ACT","Female","Traumatic brain injury","43. Traumatic brain injury","25–74","0.8","43"
"2015","ACT","Female","Other respiratory disease","44. Other respiratory disease","25–74","0.8","44"
"2015","ACT","Female","Polycystic ovarian syndrome","45. Polycystic ovarian syndrome","25–74","0.8","45"
"2015","ACT","Female","Severe tooth loss","46. Severe tooth loss","25–74","0.8","46"
"2015","ACT","Female","Myeloma","47. Myeloma","25–74","0.8","47"
"2015","ACT","Female","Psoriasis","48. Psoriasis","25–74","0.8","48"
"2015","ACT","Female","Other cancers","49. Other cancers","25–74","0.7","49"
"2015","ACT","Female","Other mental and substance use disorders","50. Other mental and substance use disorders","25–74","0.7","50"
"2015","ACT","Female","Dementia","1. Dementia","75+","96.1","1"
"2015","ACT","Female","Stroke","2. Stroke","75+","50.6","2"
"2015","ACT","Female","Coronary heart disease","3. Coronary heart disease","75+","50.5","3"
"2015","ACT","Female","COPD","4. COPD","75+","42.1","4"
"2015","ACT","Female","Other musculoskeletal","5. Other musculoskeletal","75+","28.2","5"
"2015","ACT","Female","Osteoarthritis","6. Osteoarthritis","75+","25.7","6"
"2015","ACT","Female","Rheumatoid arthritis","7. Rheumatoid arthritis","75+","23.1","7"
"2015","ACT","Female","Atrial fibrillation and flutter","8. Atrial fibrillation and flutter","75+","20.9","8"
"2015","ACT","Female","Hearing loss","9. Hearing loss","75+","18.9","9"
"2015","ACT","Female","Non-rheumatic valvular disease","10. Non-rheumatic valvular disease","75+","18.1","10"
"2015","ACT","Female","Type 2 diabetes","11. Type 2 diabetes","75+","17.3","11"
"2015","ACT","Female","Parkinson disease","12. Parkinson disease","75+","12.9","12"
"2015","ACT","Female","Bowel cancer","13. Bowel cancer","75+","12.7","13"
"2015","ACT","Female","Lung cancer","14. Lung cancer","75+","12.4","14"
"2015","ACT","Female","Breast cancer","15. Breast cancer","75+","12.1","15"
"2015","ACT","Female","Lower respiratory infections","16. Lower respiratory infections","75+","11.8","16"
"2015","ACT","Female","Chronic kidney disease","17. Chronic kidney disease","75+","11.6","17"
"2015","ACT","Female","Pancreatic cancer","18. Pancreatic cancer","75+","10.5","18"
"2015","ACT","Female","Back pain and problems","19. Back pain and problems","75+","10.4","19"
"2015","ACT","Female","Other cardiovascular diseases","20. Other cardiovascular diseases","75+","10.2","20"
"2015","ACT","Female","Asthma","21. Asthma","75+","9.1","21"
"2015","ACT","Female","Hip fracture","22. Hip fracture","75+","7.8","22"
"2015","ACT","Female","Other injuries","23. Other injuries","75+","7.7","23"
"2015","ACT","Female","Non-Hodgkin lymphoma","24. Non-Hodgkin lymphoma","75+","7.1","24"
"2015","ACT","Female","Traumatic brain injury","25. Traumatic brain injury","75+","6.2","25"
"2015","ACT","Female","Other cancers","26. Other cancers","75+","6.1","26"
"2015","ACT","Female","Severe tooth loss","27. Severe tooth loss","75+","5.9","27"
"2015","ACT","Female","Age-related macular degeneration","28. Age-related macular degeneration","75+","5.8","28"
"2015","ACT","Female","Other fractures","29. Other fractures","75+","5.4","29"
"2015","ACT","Female","Hypertensive heart disease","30. Hypertensive heart disease","75+","4.8","30"
"2015","ACT","Female","Interstitial lung disease","31. Interstitial lung disease","75+","4.8","31"
"2015","ACT","Female","Oesophageal cancer","32. Oesophageal cancer","75+","4.7","32"
"2015","ACT","Female","Protein-energy deficiency","33. Protein-energy deficiency","75+","4.6","33"
"2015","ACT","Female","Cardiomyopathy","34. Cardiomyopathy","75+","4.5","34"
"2015","ACT","Female","Multiple sclerosis","35. Multiple sclerosis","75+","4.4","35"
"2015","ACT","Female","Epilepsy","36. Epilepsy","75+","4.3","36"
"2015","ACT","Female","Unknown primary","37. Unknown primary","75+","4.1","37"
"2015","ACT","Female","Peripheral vascular disease","38. Peripheral vascular disease","75+","3.9","38"
"2015","ACT","Female","Rheumatic heart disease","39. Rheumatic heart disease","75+","3.3","39"
"2015","ACT","Female","Myeloma","40. Myeloma","75+","3.3","40"
"2015","ACT","Female","Other mental and substance use disorders","41. Other mental and substance use disorders","75+","3.2","41"
"2015","ACT","Female","Brain and CNS cancer","42. Brain and CNS cancer","75+","3.1","42"
"2015","ACT","Female","Ovarian cancer","43. Ovarian cancer","75+","3.1","43"
"2015","ACT","Female","Kidney cancer","44. Kidney cancer","75+","3","44"
"2015","ACT","Female","Depressive disorders","45. Depressive disorders","75+","2.9","45"
"2015","ACT","Female","Other gastrointestinal infections","46. Other gastrointestinal infections","75+","2.9","46"
"2015","ACT","Female","Periodontal disease","47. Periodontal disease","75+","2.9","47"
"2015","ACT","Female","Other gastrointestinal diseases","48. Other gastrointestinal diseases","75+","2.8","48"
"2015","ACT","Female","Other blood and metabolic disorders","49. Other blood and metabolic disorders","75+","2.8","49"
"2015","ACT","Female","Gallbladder and bile duct disease","50. Gallbladder and bile duct disease","75+","2.7","50"
"2011","ACT","Female","Anxiety disorders","1. Anxiety disorders","0–24","8","1"
"2011","ACT","Female","Other neurological conditions","2. Other neurological conditions","0–24","5","2"
"2011","ACT","Female","Asthma","3. Asthma","0–24","4.2","3"
"2011","ACT","Female","Depressive disorders","4. Depressive disorders","0–24","3.6","4"
"2011","ACT","Female","Other injuries","5. Other injuries","0–24","3.5","5"
"2011","ACT","Female","Birth trauma and asphyxia","6. Birth trauma and asphyxia","0–24","2.9","6"
"2011","ACT","Female","Polycystic ovarian syndrome","7. Polycystic ovarian syndrome","0–24","2.4","7"
"2011","ACT","Female","Bipolar affective disorder","8. Bipolar affective disorder","0–24","2.3","8"
"2011","ACT","Female","Acne","9. Acne","0–24","1.8","9"
"2011","ACT","Female","Other disorders of infancy","10. Other disorders of infancy","0–24","1.5","10"
"2011","ACT","Female","Back pain and problems","11. Back pain and problems","0–24","1.5","11"
"2011","ACT","Female","Neural tube defects","12. Neural tube defects","0–24","1.5","12"
"2011","ACT","Female","Other musculoskeletal","13. Other musculoskeletal","0–24","1.5","13"
"2011","ACT","Female","Eating disorders","14. Eating disorders","0–24","1.4","14"
"2011","ACT","Female","Dermatitis and eczema","15. Dermatitis and eczema","0–24","1.3","15"
"2011","ACT","Female","Other blood and metabolic disorders","16. Other blood and metabolic disorders","0–24","1.3","16"
"2011","ACT","Female","Stroke","17. Stroke","0–24","1.2","17"
"2011","ACT","Female","Dental caries","18. Dental caries","0–24","1.2","18"
"2011","ACT","Female","Epilepsy","19. Epilepsy","0–24","1","19"
"2011","ACT","Female","Alcohol use disorders","20. Alcohol use disorders","0–24","1","20"
"2011","ACT","Female","Drug use disorders (excluding alcohol)","21. Drug use disorders (excluding alcohol)","0–24","1","21"
"2011","ACT","Female","Conduct disorder","22. Conduct disorder","0–24","1","22"
"2011","ACT","Female","Migraine","23. Migraine","0–24","0.9","23"
"2011","ACT","Female","Upper respiratory conditions","24. Upper respiratory conditions","0–24","0.7","24"
"2011","ACT","Female","Rheumatoid arthritis","25. Rheumatoid arthritis","0–24","0.6","25"
"2011","ACT","Female","Sudden infant death syndrome","26. Sudden infant death syndrome","0–24","0.5","26"
"2011","ACT","Female","Intellectual disability","27. Intellectual disability","0–24","0.5","27"
"2011","ACT","Female","Functional gastrointestinal disorders (FGID)","28. Functional gastrointestinal disorders (FGID)","0–24","0.5","28"
"2011","ACT","Female","Other gastrointestinal infections","29. Other gastrointestinal infections","0–24","0.5","29"
"2011","ACT","Female","Iron-deficiency anaemia","30. Iron-deficiency anaemia","0–24","0.5","30"
"2011","ACT","Female","Schizophrenia","31. Schizophrenia","0–24","0.4","31"
"2011","ACT","Female","Other mental and substance use disorders","32. Other mental and substance use disorders","0–24","0.4","32"
"2011","ACT","Female","Autism spectrum disorders","33. Autism spectrum disorders","0–24","0.4","33"
"2011","ACT","Female","Attention deficit hyperactivity disorder","34. Attention deficit hyperactivity disorder","0–24","0.3","34"
"2011","ACT","Female","Hearing loss","35. Hearing loss","0–24","0.3","35"
"2011","ACT","Female","Traumatic brain injury","36. Traumatic brain injury","0–24","0.3","36"
"2011","ACT","Female","Internal and crush injury","37. Internal and crush injury","0–24","0.3","37"
"2011","ACT","Female","Inflammatory bowel disease (IBD)","38. Inflammatory bowel disease (IBD)","0–24","0.3","38"
"2011","ACT","Female","Poisoning","39. Poisoning","0–24","0.3","39"
"2011","ACT","Female","Psoriasis","40. Psoriasis","0–24","0.3","40"
"2011","ACT","Female","Lower respiratory infections","41. Lower respiratory infections","0–24","0.2","41"
"2011","ACT","Female","Tibia and ankle fracture","42. Tibia and ankle fracture","0–24","0.2","42"
"2011","ACT","Female","Endometriosis","43. Endometriosis","0–24","0.2","43"
"2011","ACT","Female","Other fractures","44. Other fractures","0–24","0.2","44"
"2011","ACT","Female","Type 1 diabetes","45. Type 1 diabetes","0–24","0.2","45"
"2011","ACT","Female","Other reproductive conditions","46. Other reproductive conditions","0–24","0.2","46"
"2011","ACT","Female","Pre-term birth and low birth weight  complications","47. Pre-term birth and low birth weight  complications","0–24","0.2","47"
"2011","ACT","Female","Gastro Oesophageal Reflux Disease (GORD)","48. Gastro Oesophageal Reflux Disease (GORD)","0–24","0.2","48"
"2011","ACT","Female","Other skin disorders","49. Other skin disorders","0–24","0.1","49"
"2011","ACT","Female","Cerebral palsy","50. Cerebral palsy","0–24","0.1","50"
"2011","ACT","Male","Coronary heart disease","1. Coronary heart disease","25–74","12.6","1"
"2011","ACT","Male","Other musculoskeletal","2. Other musculoskeletal","25–74","11.2","2"
"2011","ACT","Male","Back pain and problems","3. Back pain and problems","25–74","10.8","3"
"2011","ACT","Male","Other injuries","4. Other injuries","25–74","9","4"
"2011","ACT","Male","Anxiety disorders","5. Anxiety disorders","25–74","8.2","5"
"2011","ACT","Male","Lung cancer","6. Lung cancer","25–74","6.1","6"
"2011","ACT","Male","Poisoning","7. Poisoning","25–74","5.8","7"
"2011","ACT","Male","COPD","8. COPD","25–74","5.5","8"
"2011","ACT","Male","Depressive disorders","9. Depressive disorders","25–74","4.8","9"
"2011","ACT","Male","Epilepsy","10. Epilepsy","25–74","4.4","10"
"2011","ACT","Male","Chronic liver disease","11. Chronic liver disease","25–74","4.2","11"
"2011","ACT","Male","Alcohol use disorders","12. Alcohol use disorders","25–74","4.1","12"
"2011","ACT","Male","Prostate cancer","13. Prostate cancer","25–74","3.8","13"
"2011","ACT","Male","Type 2 diabetes","14. Type 2 diabetes","25–74","3.8","14"
"2011","ACT","Male","Asthma","15. Asthma","25–74","3.8","15"
"2011","ACT","Male","Drug use disorders (excluding alcohol)","16. Drug use disorders (excluding alcohol)","25–74","3.6","16"
"2011","ACT","Male","Hearing loss","17. Hearing loss","25–74","3.3","17"
"2011","ACT","Male","Bowel cancer","18. Bowel cancer","25–74","3.2","18"
"2011","ACT","Male","Brain and CNS cancer","19. Brain and CNS cancer","25–74","3","19"
"2011","ACT","Male","Protein-energy deficiency","20. Protein-energy deficiency","25–74","3","20"
"2011","ACT","Male","Schizophrenia","21. Schizophrenia","25–74","2.7","21"
"2011","ACT","Male","Stroke","22. Stroke","25–74","2.7","22"
"2011","ACT","Male","Bipolar affective disorder","23. Bipolar affective disorder","25–74","2.6","23"
"2011","ACT","Male","Osteoarthritis","24. Osteoarthritis","25–74","2.6","24"
"2011","ACT","Male","Rheumatoid arthritis","25. Rheumatoid arthritis","25–74","2.4","25"
"2011","ACT","Male","Liver cancer","26. Liver cancer","25–74","2.4","26"
"2011","ACT","Male","Aortic aneurysm","27. Aortic aneurysm","25–74","2.2","27"
