"title","artist","medium","suburb","date","commissioned_details","aquisition_details","description","longitude"
"A Short Walk","Matthew Calvert","Steel, highly polished concrete aggreage mixture hand seeded with textured and coloured broken tail light reflectors","South Canberra","2011","artsACT",,"A landmark for the main turn into the Weston Creek Centre, A Short Walk consists of figure silhouettes of a big sister, little brother and little sister that derive from the pedestrian crossing sign. The grouping suggests friendship, family and community, while the incorporation of broken tail light reflectors betrays the artist’s longstanding concern with car culture and road safety issues.","(-35.343608, 149.051578)"
"Civic Carousel","Herbert Thompson","Timber and steel","Civic",,"artsACT",,"The Civic Carousel commenced operation at the St Kilda Esplanade in Melbourne in 1915. It was designed and built by Herbert Thompson, designer of Australia’s first successful motor car. The outside of the carousel roof is adorned with paintings of horses, elephants and tigers, whilst inside are paintings of more contemplative scenes.","(-35.279559, 149.131909)"
"On The Square","Dorothea Saaghy","Bronze","Civic","2011","Royal Military College",,"The sculpture was a gift to the Royal Military College by the Class of 61 on the occasion in 2011 of their fiftieth anniversary and the centenary of the College.","(-35.303046, 149.162094)"
"Toku","Shinki Kato","Steel, granite, mirror","South Canberra","2010","artsACT",,"The ACT Government commissioned Toku by Japanese artist Shinki Kato to celebrate the 1300th anniversary of Japan’s ancient capital, Nara.","(-35.298124, 149.12164)"
"Angel Wings","Phil Price","Wind activated kinetic sculpture, heat cured epoxy glass, carbon","Tuggeranong","2008","artsACT",,"Angel Wings has been described by New Zealand sculptor, Phil Price as a celebration of being alive. “It brings together the enjoyment of being outside in the environment, movement and colour – all the simple things,” he says. The aerodynamic wings move in response to the wind. The 10 metre tall sculpture uses fullysealed rolling bearing systems designed for longevity and environmental resilience.","(-35.41536, 149.072674)"
"The Canberra Times Fountain","Robert Woodward","Tube and rod fabricated stainless steel","Civic","1979","Territory and Municipal Services Directorate",,"The Canberra Times Fountain by Bob Woodward was commissioned by Federal Capital Press in 1976 and installed as a gift to the people of Canberra in 1979. This dramatic fountain marks the intersection of Ainslie Avenue with City Walk.","(-35.280535, 149.13251)"
"Father and Son","John Dowie","Bronze figures in fountain with marble and tile basin","Civic","1986","National Capital Authority",,"This artwork was presented to the people of Canberra by the Hon. Alex Downer in memory of his father Sir John Downer. Originally installed in 1964, it was restored and relocated in Garema Place with a new marble base in 1986.","(-35.27832, 149.131736)"
"Ginninginderry Light","Geoff FarquharStill","Stainless steel, glass bead embeded concrete, powdercoated aluminium","Gungahlin","2013","artsACT",,"Ginninginderry Light is an elegant stainless steel structure embedded with millions of tiny reflective glass beads designed to reflect light from the sun, the moon and even passing cars.","(-35.202016, 149.108623)"
"The Glebe","Hew Chee Fong and L M Noonan","Grandee granite and porphyry pavers","Civic","2002","artsACT",,"Inspired by Glebe House, previously located on this site, the Glebe is made from a single block of grandee granite, segmented into house shaped blocks to represent European settlement of the area and the subdivision of the original Glebe allotment of 119 acres.","(-35.280239, 149.135971)"
"Two to Tango","Michael Le Grand","Painted Steel","Civic","2011","artsACT",,"Two to Tango is two curvy linear metal forms that can be viewed as subtly referring to couples or plant shoots reflecting the growth and rise of the city centre and its changing demographic. The blue colour of the forms echo the blue skies of Canberra.","(-35.280546, 149.125666)"
"Rain Pools","Stephen Newton","Carved granite","North Canberra","2008","artsACT",,"Rain Pools is a series of granite discs that respond to the tranquillity of Lake Burley Griffin. The sculpture creates a calming environment for the patients, families and staff of Clare Holland House. They symbolise circles of support and the bonds of a common humanity.","(-35.304478, 149.152314)"
"Fractal Weave","David Jensz","Copper pipe filled with concrete","Civic","2006","Cultural Facilities Corporation",,"Fractal Weave is made from two woven curved forms in copper piping and sits on the pedestal in front of the Canberra Theatre and the Civic Library. The sculpture has been described as a physical and symbolic manifestation of the interrelated aspects of our diverse culture and heritage.","(-35.281336, 149.130542)"
"The Other Side of Midnight","Anne Ross","Bronze, stainless steel","Civic","2012","artsACT",,"This whimsical artwork consists of a painted doll with a decorated carousel dog on either side, linking closely with the much loved Civic carousel.","(-35.280472, 149.13271)"
"La Perouse","Suzie Bleach and Andrew Townsend","Bronze","South Canberra","2014","Territory and Municipal Services Directorate",,"JeanFrançois de Galaup, compte de La Pérouse led a French naval expedition to the Pacific Ocean in 1785.","(-35.340948, 149.131507)"
"Ainslie's Sheep","Les Kossatz","Cast aluminium","Civic","2001","artsACT",,"The national capital has memorably been described as a good sheep paddock spoiled. This sculpture is a satirical salute to one of Canberra's early pastoralists  James Ainslie who came to the region in 1825.","(-35.280535, 149.13251)"
"Resting Place of the Dragonfly","Mary Kayser","Painted steel","Parliamentary Triangle","1989","artsACT","Floriade Sculpture Project","Resting Place of the Dragonfly was exhibited in the 1989 Floriade Sculpture Project.In 2011 it was refurbished and relocated within Commonwealth Park.","(-35.290381, 149.137473)"
"Moai","Pedro Atan and Matthew Harding","Carved from an unseasoned radiata pine log","Civic","1998","artsACT",,"The figure represents an Easter Island stone Moai and was carved during the 1998 Multicultural Festival as a collaboration between artists from Easter Island and Australia.","(-35.281564, 149.131186)"
"Gravity Circle","Haruyuki Uchida","Stainless steel, magnet, paint","Civic","2007",,"artsACT","Gravity Circle consists of a series of bold geometric forms arranged to evoke a feeling of carefully balanced energy or poise. The artwork's brushed stainless steel and bright crimson finish alludes to an elemental purity or essence. The large central element of the artwork balances across a narrow edge and references the scales of justice in the setting of the ACT Magistrate's Court.","(-35.280302, 149.128205)"
"Statue of Confucius","Jiaxiang Stone Carving Studio of Shandong (山東嘉祥杏花石雕厂) Established 1910","Limestone","North Canberra","2010","artsACT",,"Confucius, a Chinese philosopher and teacher who lived in fifth century BC, has had a profound influence on Chinese culture and thought. This sculpture was carved in the birth place of Confucius, Qufu, Shandong Province, China. The sculpture was gifted to the people of Canberra by the Australian Confucius Research Society in association with the Canberra Chinese Community Preparatory Committee of the Statue of Confucius to celebrate the tenth anniversary of the signing of the Sister City Agreement between Canberra and Beijing.","(-35.251205, 149.136627)"
"Living Space","KunstForce (Angela Dufty and Geoffrey Farquhar Still)","Welded and painted metal, existing metal strap benches","Civic","2003","artsACT",,"Living Space was part of 'Domain II' a series of temporary artworks commissioned from artists with an association with the ANU School of Art.","(-35.280709, 149.132825)"
"Kambah Firestorm Storytree Memorial","Bryan Carrick and Mount Taylor Estate community","Carved tree trunk, paint","Tuggeranong","2005","artsACT",,"The Kambah Firestorm Storytree commemorates the bushfire that hit the Mount Taylor Estate community on 18 January 2003.","(-35.3724, 149.062293)"
"Sculpture No 23 (The Parcel)","Alex Seton","Western Australian jade green marble, white marble and resin inlay (2003)","Civic","2007",,"artsACT","Sculpture No 23 (The Parcel) is a carved illusion where an everyday object is transformed into and object of art. The artist has sculpted green and white marble to recreate a package with the creases and dents of a long journey. The contents are yet to be revealed.","(-35.278406, 149.127656)"
"Folding Ground Across the In Between","Jon Tarry","Steel and paint","Civic","2011","artsACT",,"A folded form balanced on a point, painted red, and sitting opposite the partner piece 'sky shard above the in between', the artwork amplifies and gives form to the architectural forms of the building on one side and of the sculpture and the natural forms of the trees on the other.","(-35.27698, 149.128049)"
"Icarus","Jan Brown AM","Bronze","Civic","2009","artsACT",,"These four bronze figures are inspired by the ancient Greek myth of Icarus. In this story Icarus' father, Daedalus, created wings made from feathers and wax for himself and his son to flee from captivity on the island of Crete. Icarus is warned by his father not to fly too close to the sun or the sea. However, exhilarated by the experience of flight Icarus flies too high, his waxen wings melt and he falls to his death. Brown's sculpture encourages sympathy with Icarus' unbridled exuberance and an acceptance of its ineveitable tragic consequences.","(-35.279416, 149.132345)"
"The World Peace Flame Monument","Jim Williams et al","Sandstone","Civic","2001","artsACT",,"This monument represents the steps each person takes for peace. Bogong moths are shown being drawn to a flame by Ngunnawal artist Jim Williams. Bogong moths migrate through this area each year and were a traditional food source for local aboriginal people.","(-35.281107, 149.135317)"
"Bogong Moths","Jim Williams and Matthew Harding","Cast concrete","North Canberra","2001","artsACT",,"These large bogong moths are based on a design by Ngunnawal artist Jim Williams and are located between the National Museum of Australia and the Australian Institute for Aboriginal and Torres Strait Islander Studies.","(-35.292465, 149.121208)"
"Eternity","John Robinson","Polished bronze ring and black painted steel","Civic","1981",,"artsACT","This sculpture is said to symbolize the sculptor’s faith in the future of mankind. It was cast in Italy and donated to the people of Canberra by an anonymous donor in 1981.","(-35.279902, 149.131044)"
"Dream Lens for the Future","Keizo Ushio","Japanese Granite","Civic","2012","artsACT",,"Oushi Zokei, Dream Lens for the Future, by Keizo Ushio is a circular granite form carved from one piece of stone. The work is positioned creating a view of City Hill looking through the centre.","(-35.279375, 149.129089)"
"Decollete","Michael Le Grand","Three coated steel elements","Tuggeranong","1997","artsACT",,"This work was initially designed for the entryway to the Tuggeranong Arts Centre. It resembles a ships bow and wave reflecting the riverside location and nautical references in the design of the Arts Centre. The work was intended to pull the building’s flat façade into the street's pedestrian space. Following changes to the Arts Centre's entryway the artwork was moved to Manning Clarke Offices, Tuggeranong in 2000.","(-35.415635, 149.071341)"
"Lady With Flowers","Dean Bowen","Bronze","Gungahlin","2011","artsACT",,"A figurative bronze animated by a whimsical naivety that will touch the child in people of all ages, Lady With Flowers is located near a bus stop on Flemington Road, Gungahlin and one imagines she is about to take an ACTION bus to the City to meet her bronze counterpart, the Big Little Man.","(-35.201095, 149.149318)"
"Prime Minister John Curtin and Treasurer Ben Chifley, ca 1945","Peter Corlett, OAM","Bronze","Parliamentary Triangle","2011","artsACT",,"This sculpture recreates an iconic photograph of John Curtin (18851945), Australia’s fourteenth Prime Minister (194145), and Treasurer Joseph Benedict (Ben) Chifley (18851951), who would become Australia’s sixteenth Prime Minister (194549). Curtin and Chifley routinely walked along this route to the Provisional (Old) Parliament House from the nearby Kurrajong Hotel  where Labor Members of Parliament generally stayed, while Parliament was sitting. Curtin and Chifley are two of Australia’s most respected Prime Ministers and they were strong supporters of the development of Canberra as the nation’s capital.","(-35.278397, 149.131981)"
"Touching Lightly","Warren Langley","Glass, Steel, Light Emitting Diodes (LEDs)","South Canberra","2010","artsACT",,"Touching Lightly was funded in partnership by the ACT Government, ActewAGL and the ACTEW Corporation and the Land Development Agency.","(-35.311919, 149.143986)"
"ACT Bushfire Memorial","Tess Horwitz, Tony Steel and Martyn Jolly","Mixed media and landscaping","South Canberra","2006","artsACT",,"The ACT Bushfire Memorial was commissioned by the ACT Government to acknowledge the impact of the 2003 bushfires, to mark the process of recovery, and to thank the many organisations and individuals who played crucial roles in the fire fighting and recovery efforts.","(-35.32433, 149.026768)"
"Honey Eater Rising","Phil Nizette and Jennifer Jones","Laser cut and painted steel","North Canberra","2009","artsACT",,"This artwork depicts the Honey Eater bird rising up over the water at Billabong Park in North Watson.","(-35.232202, 149.156495)"
"Oyster","Geoffrey Bartlett","Bronze, aluminiumm various timbers, steel","Civic","2004","artsACT",,"Oyster is one of two indoor public art sculptures by Geoffrey Bartlett located within the ACT Magistrates Court.","(-35.280349, 149.127908)"
"Civic Memory Quilt","Urban Art Projects (Floor Design) and Mary Hutchinson (writer)","Aluminium cores, plaques and sandblasted paving","Civic","2003","artsACT",,"The quiltlike image of this work references Canberra’s Aboriginal and European cultural and natural history. The design features the Molonglo River, the bogong moth, kangaroo grass and oral histories. It also includes reminiscences by Paul McDermott from the celebrated comedy troupe 'The Doug Anthony All Stars' who busked on the site in the late 1980s.","(-35.279515, 149.132058)"
"The Big Little Man","Dean Bowen","Bronze","Civic","2008","artsACT",,"The Big Little Man is a whimsical sculpture that appears both larger and smaller than life at the same time.","(-35.279582, 149.13168)"
"Untitled (Bert Flugelman, 1979)","Bert Flugelman","Polished stainless steel cubes.","Belconnen","1979","Territory and Municipal Services Directorate",,"A series of highlypolished metal cubes appear to tumble across Margaret Timpson Park in the heart of the Belconnen Town Centre. This is one of three works by this celebrated Australian artist in Canberra: one work is permanently displayed in the Sculpture Garden at The National Gallery of Australia and another conceptual work is buried in the earth at Commonwealth Park.","(-35.237912, 149.067961)"
"Chalchiuhtlicue","Jesus Mayagoitia","Steel","Civic","2012",,"Donated by Mission Foods subsidiary of Gruma Corp and the Government of Mexico.","Chalchiuhtlicue is inspired by the preHispanic stone sculpture of the same name, found at the archaeological site of Teotihuacan, Mexico.","(-35.277345, 149.125588)"
