"the_geom","asset_cate","external_i","asset_id","asset_name","asset_clas","asset_sub_","asset_type","asset_su00","suburb","location","traffic_si","installati","power_sour","installa00","asset_hand","constructi","notes","maintained","ownership","longitude","latitude"
"POINT (149.1421658295936 -35.31093664642624)","ICT Hardware","11286836.0","BLTS89","WENTWORTH AV / TELOPEA PK, KINGSTON BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","KINGSTON","WENTWORTH AV / TELOPEA PK, KINGSTON","TRAFFIC SIGNAL SITE 45","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.142160268","-35.3109450467"
"POINT (149.20018438207265 -35.34441286920458)","ICT Hardware","11286853.0","BLTS15","CANBERRA AVE / WOODS LANE, HARMAN BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","JERRABOMBERRA (RURAL DIST.)","CANBERRA AVE / WOODS LANE, HARMAN","TRAFFIC SIGNAL SITE 202","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.200179027","-35.3444212751"
"POINT (149.13107639758636 -35.21850350270151)","ICT Hardware","11286859.0","BLTS21","GUNGAHLIN DR / STANDFORD ST, MITCHELL BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","MITCHELL","GUNGAHLIN DR / STANDFORD ST, MITCHELL","TRAFFIC SIGNAL SITE 158","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.13107092","-35.2185118504"
"POINT (149.0754046469573 -35.25042677236094)","ICT Hardware","11286830.0","BLTS83","BELCONNEN WAY / BINDUBI ST, MACQUARIE BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","BRUCE","BELCONNEN WAY / BINDUBI ST, MACQUARIE","TRAFFIC SIGNAL SITE 36","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.075399039","-35.2504351404"
"POINT (149.12534103618324 -35.43424632181331)","ICT Hardware","11286907.0","BLTS93","MONARO HIGHWAY NEAR JOHNSON DRIVE BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","RICHARDSON","MONARO HIGHWAY NEAR JOHNSON DRIVE",,"STANDALONE INSTALLATION","SOLAR PANEL",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.125335559","-35.4342548375"
"POINT (149.13396734560283 -35.28649628069617)","ICT Hardware","11286910.0","BLTS94","PARKES WAY/CORANDERRK STREET BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","CITY","PARKES WAY/CORANDERRK STREET",,"STANDALONE INSTALLATION","SOLAR PANEL",,"CAPITAL WORKS",,"UNIT WAS REPLACED IN JUNE 18 DUE TO LOW READINGS","ROADS ACT","ROADS ACT","149.133961763","-35.2865046405"
"POINT (149.11016435448943 -35.24331212782704)","ICT Hardware","11286879.0","BLTS40","GINNINDERRA DR / GUNGAHLIN DR (WEST), BRUCE BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","BRUCE","GINNINDERRA DR / GUNGAHLIN DR (WEST), BRUCE","TRAFFIC SIGNAL SITE 213","MODIFIED INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.110158807","-35.2433204437"
"POINT (149.08283577954253 -35.31276577026206)","ICT Hardware","11286900","BLTS61","LADY DENMAN DR / COTTER RD BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","WESTON CREEK (RURAL DIST.)","LADY DENMAN DR / COTTER RD","TRAFFIC SIGNAL SITE 236","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.082830151","-35.312774258"
"POINT (149.07414434032748 -35.41527163933224)","ICT Hardware","11286869.0","BLTS30","DRAKEFORD DR / ERINDALE DR, GREENWAY BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","OXLEY","DRAKEFORD DR / ERINDALE DR, GREENWAY","TRAFFIC SIGNAL SITE 100","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.074138684","-35.4152800751"
"POINT (149.164947023737 -35.200178965252405)","ICT Hardware","11286814.0","BLTS67","CNR HORSE PARK DR / WELL STALION DR, HARRISON BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","HARRISON","CNR HORSE PARK DR / WELL STALION DR, HARRISON","TRAFFIC SIGNAL SITE 260","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.164941644","-35.2001872435"
"POINT (149.1690809942216 -35.37222658119086)","ICT Hardware","11286883.0","BLTS44","MONARO HIGHWAY / ALEXANDER MACONAOCHIE CENTRE, HUME BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","HUME","MONARO HIGHWAY / ALEXANDER MACONAOCHIE CENTRE, HUME","TRAFFIC SIGNAL SITE 212","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.169075533","-35.3722349993"
"POINT (149.136511954307 -35.26106753862514)","ICT Hardware","11286819.0","BLTS72","LIMESTONE AV / WAKEFIELD AV, AINSLIE BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","AINSLIE","LIMESTONE AV / WAKEFIELD AV, AINSLIE","TRAFFIC SIGNAL SITE 5","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.136506401","-35.261075852"
"POINT (149.0436015152511 -35.217937083176096)","ICT Hardware","11286840.0","BLTS2","GINNINDERRA DR / KINGSFORD SMITH DR, FLOREY BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","FLYNN","GINNINDERRA DR / KINGSFORD SMITH DR, FLOREY","TRAFFIC SIGNAL SITE 51","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.043595855","-35.2179454612"
"POINT (149.15521999477667 -35.25025342396934)","ICT Hardware","11286896.0","BLTS57","PHILLIP AVE / MAJURA AVE, DICKSON BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","DICKSON","PHILLIP AVE / MAJURA AVE, DICKSON","TRAFFIC SIGNAL SITE 228","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.155214484","-35.2502617101"
"POINT (149.1336127030378 -35.2482869076951)","ICT Hardware","11286845.0","BLTS7","NORTHBOURNE AV / ANTILL ST, LYNEHAM BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","LYNEHAM","NORTHBOURNE AV / ANTILL ST, LYNEHAM","TRAFFIC SIGNAL SITE 14","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.13360717","-35.2482952058"
"POINT (149.03220584146652 -35.30481081018107)","ICT Hardware","11286882.0","BLTS43","JOHN GORTON DR / WYNDHAM AV BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","DENMAN PROSPECT","JOHN GORTON DR / WYNDHAM AV","TRAFFIC SIGNAL SITE 283","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.032200128","-35.3048194069"
"POINT (149.10645994080713 -35.40316829608142)","ICT Hardware","11286815.0","BLTS68","ERINDALE DR / STERNBERG CRES BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","GOWRIE","ERINDALE DR / STERNBERG CRES","TRAFFIC SIGNAL SITE 281","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.106454346","-35.4031767364"
"POINT (149.07133775645363 -35.21508840224102)","ICT Hardware","11286868.0","BLTS29","WILLIAM WEBB DR / MOYNIHAN ST, EVATT BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","MCKELLAR","WILLIAM WEBB DR / MOYNIHAN ST, EVATT","TRAFFIC SIGNAL SITE 99","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.071332149","-35.2150967572"
"POINT (149.06323476377054 -35.32049644304869)","ICT Hardware","11286822.0","BLTS75","COTTER RD / TUGG PKWY (NTH RAMP), CURTIN BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","WESTON","COTTER RD / TUGG PKWY (NTH RAMP), CURTIN","TRAFFIC SIGNAL SITE 95","MODIFIED INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.063229138","-35.3205049716"
"POINT (149.1443676659613 -35.186878351604335)","ICT Hardware","11286892.0","BLTS53","FLEMINGTON RD / MANNING CLARK CR NORTH, GUNGAHLIN BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","GUNGAHLIN","FLEMINGTON RD / MANNING CLARK CR NORTH, GUNGAHLIN","TRAFFIC SIGNAL SITE 233","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.144362341","-35.1868866715"
"POINT (149.12275666087882 -35.225649947703815)","ICT Hardware","11286860.0","BLTS22","GUNGAHLIN DR / BARTON HWY, MITCHELL BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","KALEEN","GUNGAHLIN DR / BARTON HWY, MITCHELL","TRAFFIC SIGNAL SITE 159","MODIFIED INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.122751155","-35.2256582864"
"POINT (149.1370280668927 -35.240208865489386)","ICT Hardware","11286873.0","BLTS34","NORTHBOURNE AV / BARTON HWY, LYNEHAM BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","DOWNER","NORTHBOURNE AV / BARTON HWY, LYNEHAM","TRAFFIC SIGNAL SITE 72","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.137022554","-35.2402171755"
"POINT (149.17418435197914 -35.301864587473396)","ICT Hardware","11286887.0","BLTS48","PIALLIGO AVE / MORSEHEAD DR / MONARO HWY, PIALLIGO BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","PIALLIGO","PIALLIGO AVE / MORSEHEAD DR / MONARO HWY, PIALLIGO","TRAFFIC SIGNAL SITE 223","MODIFIED INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.17417883","-35.3018729076"
"POINT (149.12591099001227 -35.30070804026592)","ICT Hardware","11286848.0","BLTS10","COMMONWEALTH AV / CORONATION DR, YARRALUMLA BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","PARKES","COMMONWEALTH AV / CORONATION DR, YARRALUMLA","TRAFFIC SIGNAL SITE 22","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.125905404","-35.300716446"
"POINT (149.146003060242 -35.318245132557706)","ICT Hardware","11286837.0","BLTS90","WENTWORTH AV / CUNNINGHAM ST, KINGSTON BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","KINGSTON","WENTWORTH AV / CUNNINGHAM ST, KINGSTON","TRAFFIC SIGNAL SITE 46","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.145997501","-35.3182535086"
"POINT (149.07918817581796 -35.42366024707109)","ICT Hardware","11286899.0","BLTS60","ISABELLA DR / DRAKFORD DR BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","ISABELLA PLAINS","ISABELLA DR / DRAKFORD DR","TRAFFIC SIGNAL SITE 290","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.079182529","-35.4236686774"
"POINT (149.14234831108254 -35.179942664375815)","ICT Hardware","11286852.0","BLTS14","GUNDAROO DR / HORSE PARK DR, GUNGAHLIN BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","GUNGAHLIN","GUNDAROO DR / HORSE PARK DR, GUNGAHLIN","TRAFFIC SIGNAL SITE 196","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.142342977","-35.1799509676"
"POINT (149.09318691912583 -35.37209383333896)","ICT Hardware","11286825.0","BLTS78","ATHLLON DR / BEASLEY ST, FARRER BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","TORRENS","ATHLLON DR / BEASLEY ST, FARRER","TRAFFIC SIGNAL SITE 62","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.093181286","-35.3721022706"
"POINT (149.10714512064314 -35.28352431089463)","ICT Hardware","11286895.0","BLTS56","CLUNIES ROSS ST / LADY DENMAN DR / PARKES WAY OFF RAMP - ACTON BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","ACTON","CLUNIES ROSS ST / LADY DENMAN DR / PARKES WAY OFF RAMP - ACTON","TRAFFIC SIGNAL SITE 224","MODIFIED INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.107139504","-35.2835326936"
"POINT (149.126388812236 -35.243069890597845)","ICT Hardware","11286841.0","BLTS3","GINNINDERRA DR / ELLENBOROUGH ST, LYNEHAM BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","LYNEHAM","GINNINDERRA DR / ELLENBOROUGH ST, LYNEHAM","TRAFFIC SIGNAL SITE 53","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.126383283","-35.2430782002"
"POINT (149.07233418185194 -35.39588860532654)","ICT Hardware","11286872.0","BLTS33","DRAKEFORD DR / ATHLLON DR, KAMBAH BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","KAMBAH","DRAKEFORD DR / ATHLLON DR, KAMBAH","TRAFFIC SIGNAL SITE 111","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.07232853","-35.395897061"
"POINT (149.07481715971946 -35.22591975510115)","ICT Hardware","11286874.0","BLTS35","GINNINDERRA DR / WILLIAM SLIM DR, MCKELLAR BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","MCKELLAR","GINNINDERRA DR / WILLIAM SLIM DR, MCKELLAR","TRAFFIC SIGNAL SITE 74","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.07481155","-35.2259281076"
"POINT (149.08900518619396 -35.256930877982875)","ICT Hardware","11286829.0","BLTS82","BELCONNEN WAY / CASWELL DR, ARANDA BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","ARANDA","BELCONNEN WAY / CASWELL DR, ARANDA","TRAFFIC SIGNAL SITE 35","MODIFIED INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.088999599","-35.2569392284"
"POINT (149.14775927320122 -35.208854965578304)","ICT Hardware","11286886.0","BLTS47","FLEMINGTON RD / WELL STATION DR, KENNY BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","HARRISON","FLEMINGTON RD / WELL STATION DR, KENNY","TRAFFIC SIGNAL SITE 221","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.147753872","-35.2088633024"
"POINT (149.09053297428235 -35.31306367019492)","ICT Hardware","11286856.0","BLTS18","COTTER RD / DUDLEY ST, YARRALUMLA BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","CURTIN","COTTER RD / DUDLEY ST, YARRALUMLA","TRAFFIC SIGNAL SITE 179","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.09052735","-35.313072137"
"POINT (149.12811599845756 -35.24751614044736)","ICT Hardware","11286861.0","BLTS23","MOUAT ST / BRIGALOW ST, LYNEHAM BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","LYNEHAM","MOUAT ST / BRIGALOW ST, LYNEHAM","TRAFFIC SIGNAL SITE 162","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.128110463","-35.2475244422"
"POINT (149.05431533385686 -35.2201216700032)","ICT Hardware","11286828.0","BLTS81","GINNINDERRA DR / JOHN CLELAND CR, FLOREY BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","FLOREY","GINNINDERRA DR / JOHN CLELAND CR, FLOREY","TRAFFIC SIGNAL SITE 70","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.0543097","-35.2201300543"
"POINT (149.18726328433894 -35.214094932765775)","ICT Hardware","11286881.0","BLTS42","MAJURA PKY / HORSE PARK DR / FEDERAL HWY SOUTH BOUND ON RAMP BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","GUNGAHLIN (RURAL DIST.)","MAJURA PKY / HORSE PARK DR / FEDERAL HWY SOUTH BOUND ON RAMP","TRAFFIC SIGNAL SITE 270","MODIFIED INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.18725786","-35.2141031915"
"POINT (149.10880735093562 -35.36810721295794)","ICT Hardware","11286867.0","BLTS28","YAMBA DR / BEASLEY ST, ISAACS BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","ISAACS","YAMBA DR / BEASLEY ST, ISAACS","TRAFFIC SIGNAL SITE 145","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.108801747","-35.3681156347"
