"year","region","category","topic","indicator","age","sex","result","unit","_95_ci_l","_95_ci_u","se","rse_25","notes","sex_indicator","year_sex","sex_year"
"2013/14","ACT","Health","Self-rated health","2. Good","25 to 44","Person","27.7","Per cent","22.3","33.8","2.9",,,"25 to 44 _ 2. Good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","25 to 44","Person","24.3","Per cent","18.8","30.9","3.1",,,"25 to 44 _ 2. Good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","25 to 44","Person","30.5","Per cent","25.8","35.7","2.5",,,"25 to 44 _ 2. Good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","2. Good","25 to 44","Person","32","Per cent","27.5","37","2.4",,,"25 to 44 _ 2. Good","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","2. Good","25 to 44","Person","28.4","Per cent","23.4","33.9","2.7",,,"25 to 44 _ 2. Good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","25 to 44","Person","14.5","Per cent","11","18.8","2",,,"25 to 44 _ 3. Fair/poor","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","25 to 44","Person","16.7","Per cent","12.4","22.1","2.5",,,"25 to 44 _ 3. Fair/poor","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","25 to 44","Person","14.9","Per cent","10.5","20.7","2.6",,,"25 to 44 _ 3. Fair/poor","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","25 to 44","Person","19.5","Per cent","15.5","24.3","2.3",,,"25 to 44 _ 3. Fair/poor","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","3. Fair/poor","25 to 44","Person","15.5","Per cent","12.3","19.5","1.8",,,"25 to 44 _ 3. Fair/poor","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","3. Fair/poor","25 to 44","Person","13.9","Per cent","10.5","18.3","2",,,"25 to 44 _ 3. Fair/poor","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","45 to 64","Person","53.5","Per cent","48.9","58.1","2.4",,,"45 to 64 _ 1. Excellent/very good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","45 to 64","Person","49.5","Per cent","44.7","54.4","2.5",,,"45 to 64 _ 1. Excellent/very good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","45 to 64","Person","56.8","Per cent","51.5","61.9","2.7",,,"45 to 64 _ 1. Excellent/very good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","45 to 64","Person","45.9","Per cent","40.7","51.1","2.7",,,"45 to 64 _ 1. Excellent/very good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","1. Excellent/very good","45 to 64","Person","57","Per cent","52.9","61","2.1",,,"45 to 64 _ 1. Excellent/very good","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","45 to 64","Person","51.3","Per cent","45.5","57.1","3",,,"45 to 64 _ 1. Excellent/very good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","45 to 64","Person","26.8","Per cent","23.1","31","2",,,"45 to 64 _ 2. Good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","2. Good","45 to 64","Person","30.2","Per cent","25.9","34.9","2.3",,,"45 to 64 _ 2. Good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","45 to 64","Person","26.4","Per cent","22","31.4","2.4",,,"45 to 64 _ 2. Good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","45 to 64","Person","34.2","Per cent","29.2","39.5","2.6",,,"45 to 64 _ 2. Good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","2. Good","45 to 64","Person","26.7","Per cent","23.2","30.5","1.8",,,"45 to 64 _ 2. Good","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","2. Good","45 to 64","Person","34.6","Per cent","29","40.6","3",,,"45 to 64 _ 2. Good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","45 to 64","Person","19.7","Per cent","16.2","23.7","1.9",,,"45 to 64 _ 3. Fair/poor","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","45 to 64","Person","20.3","Per cent","16.5","24.6","2.1",,,"45 to 64 _ 3. Fair/poor","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","45 to 64","Person","16.8","Per cent","13.4","20.9","1.9",,,"45 to 64 _ 3. Fair/poor","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","45 to 64","Person","20","Per cent","15.9","24.8","2.3",,,"45 to 64 _ 3. Fair/poor","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","3. Fair/poor","45 to 64","Person","16.3","Per cent","13.5","19.6","1.5",,,"45 to 64 _ 3. Fair/poor","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","3. Fair/poor","45 to 64","Person","14.1","Per cent","11","18","1.8",,,"45 to 64 _ 3. Fair/poor","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","65+","Person","44.9","Per cent","39.7","50.2","2.7",,,"65+ _ 1. Excellent/very good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","65+","Person","44.3","Per cent","39.6","49.1","2.4",,,"65+ _ 1. Excellent/very good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","65+","Person","52.1","Per cent","47.5","56.7","2.4",,,"65+ _ 1. Excellent/very good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","65+","Person","45.2","Per cent","38.8","51.8","3.3",,,"65+ _ 1. Excellent/very good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","1. Excellent/very good","65+","Person","49.2","Per cent","44.4","54","2.4",,,"65+ _ 1. Excellent/very good","2019 Person","Person 2019"
