School Name,Street Address,Suburb,Sector,Location 1,Zip Codes
Good Shepherd Primary School,Burdekin Avenue,Amaroo,Non-Government,"(-35.166843, 149.123922)",
Mother Teresa - campus of Good Shepherd,Wimmera St,Harrison,Non-Government,,
St John Paul II College - secondary campus of Good Shepherd,Gungahlin Drive,Nicholls,Non-Government,,
Holy Family Parish Primary,Castleton Crescent,Gowrie,Non-Government,"(-35.410301, 149.116552)",
Holy Spirit Primary,Kelleway Avenue,Nicholls,Non-Government,"(-35.180246, 149.101809)",
Holy Trinity Primary,Theodore Street,Curtin,Non-Government,"(-35.327679, 149.081951)",
Islamic School of Canberra,Heysen Street,Weston,Non-Government,"(-35.240588, 149.15037)",
Marist College Canberra,Marr Street,Pearce,Non-Government,"(-35.357959, 149.088697)",
Merici College,Wise Street,Braddon,Non-Government,"(-35.266525, 149.137037)",
Orana Steiner School,Unwin Place,Weston,Non-Government,"(-35.327858, 149.058949)",
Radford College,College Street,Bruce,Non-Government,"(-35.243503, 149.089323)",
Rosary Primary,Fleming Street,Watson,Non-Government,"(-35.24641, 149.154682)",
Sacred Heart Primary,Murphy Street,Pearce,Non-Government,"(-35.366936, 149.084391)",
St Anthony's Primary,Wheeler Crescent,Wanniassa,Non-Government,"(-35.394049, 149.080086)",
St Bede's Primary,Nuyts Street,Red Hill,Non-Government,"(-35.338847, 149.128788)",
St Benedict's Primary,Tallara Parkway,Narrabundah,Non-Government,"(-35.33483, 149.148034)",
St Clare of Assisi Primary,Heidelberg Street,Conder,Non-Government,"(-35.45791, 149.096766)",
St Clare's College,McMillan Crescent,Griffith,Non-Government,"(-35.323929, 149.14765)",
St Edmund's College,Canberra Avenue,Griffith,Non-Government,"(-35.32282, 149.144242)",
St Francis of Assisi Primary,Casey Crescent,Calwell,Non-Government,"(-35.440799, 149.119593)",
St Francis Xavier College,Barnard Circuit,Florey,Non-Government,"(-35.223979, 149.040615)",
St John the Apostle Primary,Pawsey Circuit,Florey,Non-Government,"(-35.225664, 149.041696)",
St John Vianney's Primary,Namatjira Drive,Waramanga,Non-Government,"(-35.351057, 149.055559)",
St Joseph's Primary,Boronia Drive,O'Connor,Non-Government,"(-35.259648, 149.126375)",
St Jude's Primary,Mulley Street,Holder,Non-Government,"(-35.333941, 149.049819)",
St Mary MacKillop College - Isabella Plains Campus,Ellerston Avenue,Isabella Plains,Non-Government,"(-35.404923, 149.089258)",
St Mary MacKillop College - Wanniassa Campus,Mackinnon Street,Wanniassa,Non-Government,"(-35.404923, 149.089258)",
St Matthew's Primary,Stutchbury Street,Page,Non-Government,"(-35.240755, 149.041555)",
St Michael's Primary,Tyrell Circuit,Kaleen,Non-Government,"(-35.223474, 149.109707)",
St Monica's Primary,Moynihan Street,Evatt,Non-Government,"(-35.213525, 149.061289)",
St's Peter & Paul,Wisdom Street,Garran,Non-Government,"(-35.339376, 149.092732)",
St Thomas Aquinas Primary,Lhotsky Street,Charnwood,Non-Government,"(-35.205121, 149.029638)",
St Thomas More's Primary,White Crescent,Campbell,Non-Government,"(-35.286717, 149.156836)",
St Thomas the Apostle Primary,Boddington Crescent,Kambah,Non-Government,"(-35.382449, 149.051977)",
St Vincent's Primary,Bindel Street,Aranda,Non-Government,"(-35.254993, 149.076661)",
Taqwa School,Crofts Crescent,Spence,Non-Government,,
The Galilee School,PO Box 1066,Tuggeranong,Non-Government,"(-35.380778, 149.035968)",
Trinity Christian School,McBryde Crescent,Wanniassa,Non-Government,"(-35.408265, 149.086051)",
Harrison School,Nullabor Avenue,Harrison,Government,"(-35.1975306, 149.15164)",
Harrison School,Wimmera Street,Harrison,Government,"(-35.1975306, 149.1516423)",
