"year","region","category","indicator","region_sex","sex","age"
"2018","Vic.","Mortality","Median age at death","Vic., Females","Females","85.3"
"2019","Vic.","Mortality","Median age at death","Vic., Females","Females","85.5"
"2009","Vic.","Mortality","Median age at death","Vic., Persons","Persons","81.6"
"2010","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.0"
"2011","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.2"
"2012","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.6"
"2013","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.6"
"2014","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.6"
"2015","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.8"
"2016","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.6"
"2017","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.7"
"2018","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.6"
"2019","Vic.","Mortality","Median age at death","Vic., Persons","Persons","82.8"
"2009","Qld","Mortality","Median age at death","Qld, Males","Males","76.7"
"2010","Qld","Mortality","Median age at death","Qld, Males","Males","76.9"
"2011","Qld","Mortality","Median age at death","Qld, Males","Males","76.9"
"2012","Qld","Mortality","Median age at death","Qld, Males","Males","77.3"
"2013","Qld","Mortality","Median age at death","Qld, Males","Males","76.9"
"2014","Qld","Mortality","Median age at death","Qld, Males","Males","77.3"
"2015","Qld","Mortality","Median age at death","Qld, Males","Males","77.4"
"2016","Qld","Mortality","Median age at death","Qld, Males","Males","77.5"
"2017","Qld","Mortality","Median age at death","Qld, Males","Males","77.7"
"2018","Qld","Mortality","Median age at death","Qld, Males","Males","77.5"
"2019","Qld","Mortality","Median age at death","Qld, Males","Males","78.0"
"2009","Qld","Mortality","Median age at death","Qld, Females","Females","83.1"
"2010","Qld","Mortality","Median age at death","Qld, Females","Females","83.6"
"2011","Qld","Mortality","Median age at death","Qld, Females","Females","83.9"
"2012","Qld","Mortality","Median age at death","Qld, Females","Females","83.9"
"2013","Qld","Mortality","Median age at death","Qld, Females","Females","83.6"
"2014","Qld","Mortality","Median age at death","Qld, Females","Females","84.1"
"2015","Qld","Mortality","Median age at death","Qld, Females","Females","84.1"
"2016","Qld","Mortality","Median age at death","Qld, Females","Females","84.1"
"2017","Qld","Mortality","Median age at death","Qld, Females","Females","83.9"
"2018","Qld","Mortality","Median age at death","Qld, Females","Females","83.9"
"2019","Qld","Mortality","Median age at death","Qld, Females","Females","83.7"
"2009","Qld","Mortality","Median age at death","Qld, Persons","Persons","79.9"
"2010","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.3"
"2011","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.3"
"2012","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.6"
"2013","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.3"
"2014","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.7"
"2015","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.5"
"2016","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.5"
"2017","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.6"
"2018","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.4"
"2019","Qld","Mortality","Median age at death","Qld, Persons","Persons","80.6"
"2009","SA","Mortality","Median age at death","SA, Males","Males","79.1"
"2010","SA","Mortality","Median age at death","SA, Males","Males","79.5"
"2011","SA","Mortality","Median age at death","SA, Males","Males","79.4"
"2012","SA","Mortality","Median age at death","SA, Males","Males","80.2"
"2013","SA","Mortality","Median age at death","SA, Males","Males","79.7"
"2014","SA","Mortality","Median age at death","SA, Males","Males","79.9"
"2015","SA","Mortality","Median age at death","SA, Males","Males","79.9"
"2016","SA","Mortality","Median age at death","SA, Males","Males","80.1"
"2017","SA","Mortality","Median age at death","SA, Males","Males","79.5"
"2018","SA","Mortality","Median age at death","SA, Males","Males","80.1"
"2019","SA","Mortality","Median age at death","SA, Males","Males","80.1"
"2009","SA","Mortality","Median age at death","SA, Females","Females","84.4"
"2010","SA","Mortality","Median age at death","SA, Females","Females","84.8"
"2011","SA","Mortality","Median age at death","SA, Females","Females","85.3"
"2012","SA","Mortality","Median age at death","SA, Females","Females","85.5"
"2013","SA","Mortality","Median age at death","SA, Females","Females","85.4"
"2014","SA","Mortality","Median age at death","SA, Females","Females","85.6"
"2015","SA","Mortality","Median age at death","SA, Females","Females","85.7"
"2016","SA","Mortality","Median age at death","SA, Females","Females","86.0"
"2017","SA","Mortality","Median age at death","SA, Females","Females","85.7"
"2018","SA","Mortality","Median age at death","SA, Females","Females","85.4"
"2019","SA","Mortality","Median age at death","SA, Females","Females","85.9"
"2009","SA","Mortality","Median age at death","SA, Persons","Persons","81.8"
"2010","SA","Mortality","Median age at death","SA, Persons","Persons","82.3"
"2011","SA","Mortality","Median age at death","SA, Persons","Persons","82.6"
"2012","SA","Mortality","Median age at death","SA, Persons","Persons","83.1"
"2013","SA","Mortality","Median age at death","SA, Persons","Persons","82.7"
"2014","SA","Mortality","Median age at death","SA, Persons","Persons","82.9"
"2015","SA","Mortality","Median age at death","SA, Persons","Persons","83.0"
"2016","SA","Mortality","Median age at death","SA, Persons","Persons","83.1"
"2017","SA","Mortality","Median age at death","SA, Persons","Persons","82.8"
"2018","SA","Mortality","Median age at death","SA, Persons","Persons","82.6"
"2019","SA","Mortality","Median age at death","SA, Persons","Persons","83.0"
"2009","WA","Mortality","Median age at death","WA, Males","Males","76.5"
"2010","WA","Mortality","Median age at death","WA, Males","Males","77.0"
"2011","WA","Mortality","Median age at death","WA, Males","Males","76.8"
"2012","WA","Mortality","Median age at death","WA, Males","Males","77.0"
"2013","WA","Mortality","Median age at death","WA, Males","Males","77.1"
"2014","WA","Mortality","Median age at death","WA, Males","Males","77.0"
"2015","WA","Mortality","Median age at death","WA, Males","Males","77.4"
"2016","WA","Mortality","Median age at death","WA, Males","Males","77.7"
"2017","WA","Mortality","Median age at death","WA, Males","Males","77.5"
"2018","WA","Mortality","Median age at death","WA, Males","Males","77.4"
"2019","WA","Mortality","Median age at death","WA, Males","Males","78.2"
"2009","WA","Mortality","Median age at death","WA, Females","Females","83.2"
"2010","WA","Mortality","Median age at death","WA, Females","Females","83.7"
"2011","WA","Mortality","Median age at death","WA, Females","Females","84.1"
"2012","WA","Mortality","Median age at death","WA, Females","Females","84.0"
"2013","WA","Mortality","Median age at death","WA, Females","Females","83.8"
"2014","WA","Mortality","Median age at death","WA, Females","Females","84.0"
"2015","WA","Mortality","Median age at death","WA, Females","Females","84.1"
"2016","WA","Mortality","Median age at death","WA, Females","Females","84.4"
"2017","WA","Mortality","Median age at death","WA, Females","Females","84.2"
"2018","WA","Mortality","Median age at death","WA, Females","Females","83.7"
"2019","WA","Mortality","Median age at death","WA, Females","Females","84.5"
"2009","WA","Mortality","Median age at death","WA, Persons","Persons","79.7"
"2010","WA","Mortality","Median age at death","WA, Persons","Persons","80.2"
"2011","WA","Mortality","Median age at death","WA, Persons","Persons","80.4"
"2012","WA","Mortality","Median age at death","WA, Persons","Persons","80.5"
"2013","WA","Mortality","Median age at death","WA, Persons","Persons","80.4"
"2014","WA","Mortality","Median age at death","WA, Persons","Persons","80.4"
"2015","WA","Mortality","Median age at death","WA, Persons","Persons","80.6"
"2016","WA","Mortality","Median age at death","WA, Persons","Persons","80.9"
"2017","WA","Mortality","Median age at death","WA, Persons","Persons","80.5"
"2018","WA","Mortality","Median age at death","WA, Persons","Persons","80.3"
"2019","WA","Mortality","Median age at death","WA, Persons","Persons","81.2"
"2009","Tas.","Mortality","Median age at death","Tas., Males","Males","77.3"
"2010","Tas.","Mortality","Median age at death","Tas., Males","Males","78.0"
"2011","Tas.","Mortality","Median age at death","Tas., Males","Males","78.0"
"2012","Tas.","Mortality","Median age at death","Tas., Males","Males","78.0"
"2013","Tas.","Mortality","Median age at death","Tas., Males","Males","78.0"
"2014","Tas.","Mortality","Median age at death","Tas., Males","Males","78.3"
"2015","Tas.","Mortality","Median age at death","Tas., Males","Males","78.3"
"2016","Tas.","Mortality","Median age at death","Tas., Males","Males","77.3"
"2017","Tas.","Mortality","Median age at death","Tas., Males","Males","77.9"
"2018","Tas.","Mortality","Median age at death","Tas., Males","Males","78.6"
"2019","Tas.","Mortality","Median age at death","Tas., Males","Males","78.2"
"2009","Tas.","Mortality","Median age at death","Tas., Females","Females","83.4"
"2010","Tas.","Mortality","Median age at death","Tas., Females","Females","83.5"
"2011","Tas.","Mortality","Median age at death","Tas., Females","Females","83.8"
"2012","Tas.","Mortality","Median age at death","Tas., Females","Females","83.7"
"2013","Tas.","Mortality","Median age at death","Tas., Females","Females","84.0"
"2014","Tas.","Mortality","Median age at death","Tas., Females","Females","83.2"
"2015","Tas.","Mortality","Median age at death","Tas., Females","Females","83.9"
"2016","Tas.","Mortality","Median age at death","Tas., Females","Females","83.7"
"2017","Tas.","Mortality","Median age at death","Tas., Females","Females","84.1"
"2018","Tas.","Mortality","Median age at death","Tas., Females","Females","83.6"
"2019","Tas.","Mortality","Median age at death","Tas., Females","Females","83.6"
"2009","Tas.","Mortality","Median age at death","Tas., Persons","Persons","80.2"
"2010","Tas.","Mortality","Median age at death","Tas., Persons","Persons","80.7"
"2011","Tas.","Mortality","Median age at death","Tas., Persons","Persons","81.0"
"2012","Tas.","Mortality","Median age at death","Tas., Persons","Persons","81.3"
"2013","Tas.","Mortality","Median age at death","Tas., Persons","Persons","80.9"
"2014","Tas.","Mortality","Median age at death","Tas., Persons","Persons","80.7"
"2015","Tas.","Mortality","Median age at death","Tas., Persons","Persons","81.2"
"2016","Tas.","Mortality","Median age at death","Tas., Persons","Persons","80.7"
"2017","Tas.","Mortality","Median age at death","Tas., Persons","Persons","81.0"
"2018","Tas.","Mortality","Median age at death","Tas., Persons","Persons","81.0"
"2019","Tas.","Mortality","Median age at death","Tas., Persons","Persons","80.7"
"2009","NT","Mortality","Median age at death","NT, Males","Males","59.2"
"2010","NT","Mortality","Median age at death","NT, Males","Males","61.4"
"2011","NT","Mortality","Median age at death","NT, Males","Males","59.9"
"2012","NT","Mortality","Median age at death","NT, Males","Males","59.4"
"2013","NT","Mortality","Median age at death","NT, Males","Males","63.9"
"2014","NT","Mortality","Median age at death","NT, Males","Males","62.7"
"2015","NT","Mortality","Median age at death","NT, Males","Males","63.6"
"2016","NT","Mortality","Median age at death","NT, Males","Males","65.1"
"2017","NT","Mortality","Median age at death","NT, Males","Males","62.0"
"2018","NT","Mortality","Median age at death","NT, Males","Males","64.5"
"2019","NT","Mortality","Median age at death","NT, Males","Males","68.1"
"2009","NT","Mortality","Median age at death","NT, Females","Females","64.2"
"2010","NT","Mortality","Median age at death","NT, Females","Females","64.1"
"2011","NT","Mortality","Median age at death","NT, Females","Females","62.0"
"2012","NT","Mortality","Median age at death","NT, Females","Females","63.5"
"2013","NT","Mortality","Median age at death","NT, Females","Females","62.7"
"2014","NT","Mortality","Median age at death","NT, Females","Females","63.9"
"2015","NT","Mortality","Median age at death","NT, Females","Females","64.5"
"2016","NT","Mortality","Median age at death","NT, Females","Females","67.2"
"2017","NT","Mortality","Median age at death","NT, Females","Females","65.6"
"2018","NT","Mortality","Median age at death","NT, Females","Females","67.0"
"2019","NT","Mortality","Median age at death","NT, Females","Females","70.4"
"2009","NT","Mortality","Median age at death","NT, Persons","Persons","60.7"
"2010","NT","Mortality","Median age at death","NT, Persons","Persons","62.1"
"2011","NT","Mortality","Median age at death","NT, Persons","Persons","60.4"
"2012","NT","Mortality","Median age at death","NT, Persons","Persons","61.0"
"2013","NT","Mortality","Median age at death","NT, Persons","Persons","63.3"
"2014","NT","Mortality","Median age at death","NT, Persons","Persons","63.2"
"2015","NT","Mortality","Median age at death","NT, Persons","Persons","63.9"
"2016","NT","Mortality","Median age at death","NT, Persons","Persons","65.9"
"2017","NT","Mortality","Median age at death","NT, Persons","Persons","63.4"
"2018","NT","Mortality","Median age at death","NT, Persons","Persons","65.5"
"2019","NT","Mortality","Median age at death","NT, Persons","Persons","68.7"
"2009","ACT","Mortality","Median age at death","ACT, Males","Males","76.7"
"2010","ACT","Mortality","Median age at death","ACT, Males","Males","77.4"
"2011","ACT","Mortality","Median age at death","ACT, Males","Males","77.9"
"2012","ACT","Mortality","Median age at death","ACT, Males","Males","78.3"
"2013","ACT","Mortality","Median age at death","ACT, Males","Males","76.8"
"2014","ACT","Mortality","Median age at death","ACT, Males","Males","78.5"
"2015","ACT","Mortality","Median age at death","ACT, Males","Males","77.7"
"2016","ACT","Mortality","Median age at death","ACT, Males","Males","78.2"
"2017","ACT","Mortality","Median age at death","ACT, Males","Males","78.2"
"2018","ACT","Mortality","Median age at death","ACT, Males","Males","79.1"
"2019","ACT","Mortality","Median age at death","ACT, Males","Males","79.3"
"2009","ACT","Mortality","Median age at death","ACT, Females","Females","83.1"
"2010","ACT","Mortality","Median age at death","ACT, Females","Females","84.4"
"2011","ACT","Mortality","Median age at death","ACT, Females","Females","84.3"
"2012","ACT","Mortality","Median age at death","ACT, Females","Females","84.6"
"2013","ACT","Mortality","Median age at death","ACT, Females","Females","84.1"
"2014","ACT","Mortality","Median age at death","ACT, Females","Females","84.6"
"2015","ACT","Mortality","Median age at death","ACT, Females","Females","84.5"
"2016","ACT","Mortality","Median age at death","ACT, Females","Females","84.7"
"2017","ACT","Mortality","Median age at death","ACT, Females","Females","85.1"
"2018","ACT","Mortality","Median age at death","ACT, Females","Females","85.0"
"2019","ACT","Mortality","Median age at death","ACT, Females","Females","85.4"
"2009","ACT","Mortality","Median age at death","ACT, Persons","Persons","79.9"
"2010","ACT","Mortality","Median age at death","ACT, Persons","Persons","81.1"
"2011","ACT","Mortality","Median age at death","ACT, Persons","Persons","81.4"
"2012","ACT","Mortality","Median age at death","ACT, Persons","Persons","81.5"
"2013","ACT","Mortality","Median age at death","ACT, Persons","Persons","80.7"
"2014","ACT","Mortality","Median age at death","ACT, Persons","Persons","81.5"
"2015","ACT","Mortality","Median age at death","ACT, Persons","Persons","80.9"
"2016","ACT","Mortality","Median age at death","ACT, Persons","Persons","81.7"
"2017","ACT","Mortality","Median age at death","ACT, Persons","Persons","81.6"
"2018","ACT","Mortality","Median age at death","ACT, Persons","Persons","81.8"
"2019","ACT","Mortality","Median age at death","ACT, Persons","Persons","82.7"
"2009","Aust.","Mortality","Median age at death","Aust., Males","Males","77.8"
"2010","Aust.","Mortality","Median age at death","Aust., Males","Males","78.2"
"2011","Aust.","Mortality","Median age at death","Aust., Males","Males","78.3"
"2012","Aust.","Mortality","Median age at death","Aust., Males","Males","78.7"
"2013","Aust.","Mortality","Median age at death","Aust., Males","Males","78.3"
"2014","Aust.","Mortality","Median age at death","Aust., Males","Males","78.5"
"2015","Aust.","Mortality","Median age at death","Aust., Males","Males","78.7"
"2016","Aust.","Mortality","Median age at death","Aust., Males","Males","78.9"
"2017","Aust.","Mortality","Median age at death","Aust., Males","Males","78.8"
"2018","Aust.","Mortality","Median age at death","Aust., Males","Males","78.9"
"2019","Aust.","Mortality","Median age at death","Aust., Males","Males","79.2"
"2009","Aust.","Mortality","Median age at death","Aust., Females","Females","83.9"
"2010","Aust.","Mortality","Median age at death","Aust., Females","Females","84.2"
"2011","Aust.","Mortality","Median age at death","Aust., Females","Females","84.5"
"2012","Aust.","Mortality","Median age at death","Aust., Females","Females","84.6"
"2013","Aust.","Mortality","Median age at death","Aust., Females","Females","84.6"
"2014","Aust.","Mortality","Median age at death","Aust., Females","Females","84.8"
"2015","Aust.","Mortality","Median age at death","Aust., Females","Females","85.0"
"2016","Aust.","Mortality","Median age at death","Aust., Females","Females","85.0"
"2017","Aust.","Mortality","Median age at death","Aust., Females","Females","85.0"
"2018","Aust.","Mortality","Median age at death","Aust., Females","Females","84.8"
"2019","Aust.","Mortality","Median age at death","Aust., Females","Females","85.0"
"2009","Aust.","Mortality","Median age at death","Aust., Persons","Persons","80.9"
"2010","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.3"
"2011","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.5"
"2012","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.8"
"2013","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.6"
"2014","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.8"
"2015","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.9"
"2016","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.9"
"2017","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.9"
"2018","Aust.","Mortality","Median age at death","Aust., Persons","Persons","81.7"
"2019","Aust.","Mortality","Median age at death","Aust., Persons","Persons","82.0"
