"year","region","category","indicator","characteristic","age","sex","result","unit","significants_g","comments","table"
"2019","Qld","Alcohol","Drinking status","Daily","14+","Females","4.8","Per cent",,,"S.12"
"2007","WA","Alcohol","Drinking status","Daily","14+","Females","7.1","Per cent",,,"S.12"
"2010","WA","Alcohol","Drinking status","Daily","14+","Females","3.7","Per cent",,,"S.12"
"2013","WA","Alcohol","Drinking status","Daily","14+","Females","4.5","Per cent",,,"S.12"
"2016","WA","Alcohol","Drinking status","Daily","14+","Females","4.8","Per cent",,,"S.12"
"2019","WA","Alcohol","Drinking status","Daily","14+","Females","4.1","Per cent",,,"S.12"
"2007","SA","Alcohol","Drinking status","Daily","14+","Females","5","Per cent",,,"S.12"
"2010","SA","Alcohol","Drinking status","Daily","14+","Females","4.7","Per cent",,,"S.12"
"2013","SA","Alcohol","Drinking status","Daily","14+","Females","5.2","Per cent",,,"S.12"
"2016","SA","Alcohol","Drinking status","Daily","14+","Females","3.6","Per cent",,,"S.12"
"2019","SA","Alcohol","Drinking status","Daily","14+","Females","3.5","Per cent",,,"S.12"
"2007","Tas","Alcohol","Drinking status","Daily","14+","Females","5","Per cent",,,"S.12"
"2010","Tas","Alcohol","Drinking status","Daily","14+","Females","3.9","Per cent",,,"S.12"
"2013","Tas","Alcohol","Drinking status","Daily","14+","Females","4.9","Per cent",,,"S.12"
"2016","Tas","Alcohol","Drinking status","Daily","14+","Females","4.6","Per cent",,,"S.12"
"2019","Tas","Alcohol","Drinking status","Daily","14+","Females","3.8","Per cent",,,"S.12"
"2007","ACT","Alcohol","Drinking status","Daily","14+","Females","5.6","Per cent",,,"S.12"
"2010","ACT","Alcohol","Drinking status","Daily","14+","Females","3.9","Per cent",,"*","S.12"
"2013","ACT","Alcohol","Drinking status","Daily","14+","Females","4.1","Per cent",,,"S.12"
"2016","ACT","Alcohol","Drinking status","Daily","14+","Females","3.7","Per cent",,"*","S.12"
"2019","ACT","Alcohol","Drinking status","Daily","14+","Females","4.2","Per cent",,,"S.12"
"2007","NT","Alcohol","Drinking status","Daily","14+","Females","6.6","Per cent",,,"S.12"
"2010","NT","Alcohol","Drinking status","Daily","14+","Females","3.4","Per cent",,,"S.12"
"2013","NT","Alcohol","Drinking status","Daily","14+","Females","6.3","Per cent",,,"S.12"
"2016","NT","Alcohol","Drinking status","Daily","14+","Females","4.9","Per cent",,,"S.12"
"2019","NT","Alcohol","Drinking status","Daily","14+","Females","5.2","Per cent",,"(b)","S.12"
"2007","Australia","Alcohol","Drinking status","Daily","14+","Females","5.7","Per cent",,,"S.12"
"2010","Australia","Alcohol","Drinking status","Daily","14+","Females","5","Per cent",,,"S.12"
"2013","Australia","Alcohol","Drinking status","Daily","14+","Females","4.7","Per cent",,,"S.12"
"2016","Australia","Alcohol","Drinking status","Daily","14+","Females","4.3","Per cent",,,"S.12"
"2019","Australia","Alcohol","Drinking status","Daily","14+","Females","3.9","Per cent",,,"S.12"
"2007","NSW","Alcohol","Drinking status","Daily","14+","Persons","8.4","Per cent",,,"S.12"
"2010","NSW","Alcohol","Drinking status","Daily","14+","Persons","7.5","Per cent",,,"S.12"
"2013","NSW","Alcohol","Drinking status","Daily","14+","Persons","6.7","Per cent",,,"S.12"
"2016","NSW","Alcohol","Drinking status","Daily","14+","Persons","6.4","Per cent",,,"S.12"
"2019","NSW","Alcohol","Drinking status","Daily","14+","Persons","5.7","Per cent",,,"S.12"
"2007","Vic","Alcohol","Drinking status","Daily","14+","Persons","7.4","Per cent",,,"S.12"
"2010","Vic","Alcohol","Drinking status","Daily","14+","Persons","6.7","Per cent",,,"S.12"
"2013","Vic","Alcohol","Drinking status","Daily","14+","Persons","5.7","Per cent",,,"S.12"
"2016","Vic","Alcohol","Drinking status","Daily","14+","Persons","5","Per cent",,,"S.12"
"2019","Vic","Alcohol","Drinking status","Daily","14+","Persons","4.3","Per cent",,,"S.12"
"2007","Qld","Alcohol","Drinking status","Daily","14+","Persons","8.5","Per cent",,,"S.12"
"2010","Qld","Alcohol","Drinking status","Daily","14+","Persons","8.5","Per cent",,,"S.12"
"2013","Qld","Alcohol","Drinking status","Daily","14+","Persons","7.6","Per cent",,,"S.12"
"2016","Qld","Alcohol","Drinking status","Daily","14+","Persons","6.5","Per cent",,,"S.12"
"2019","Qld","Alcohol","Drinking status","Daily","14+","Persons","6.5","Per cent",,,"S.12"
"2007","WA","Alcohol","Drinking status","Daily","14+","Persons","10","Per cent",,,"S.12"
"2010","WA","Alcohol","Drinking status","Daily","14+","Persons","7.7","Per cent",,,"S.12"
"2013","WA","Alcohol","Drinking status","Daily","14+","Persons","7.1","Per cent",,,"S.12"
"2016","WA","Alcohol","Drinking status","Daily","14+","Persons","6.5","Per cent",,,"S.12"
"2019","WA","Alcohol","Drinking status","Daily","14+","Persons","5","Per cent",,,"S.12"
"2007","SA","Alcohol","Drinking status","Daily","14+","Persons","8","Per cent",,,"S.12"
"2010","SA","Alcohol","Drinking status","Daily","14+","Persons","6.1","Per cent",,,"S.12"
"2013","SA","Alcohol","Drinking status","Daily","14+","Persons","6.6","Per cent",,,"S.12"
"2016","SA","Alcohol","Drinking status","Daily","14+","Persons","6","Per cent",,,"S.12"
"2019","SA","Alcohol","Drinking status","Daily","14+","Persons","5.8","Per cent",,,"S.12"
"2007","Tas","Alcohol","Drinking status","Daily","14+","Persons","7","Per cent",,,"S.12"
"2010","Tas","Alcohol","Drinking status","Daily","14+","Persons","6.5","Per cent",,,"S.12"
"2013","Tas","Alcohol","Drinking status","Daily","14+","Persons","6","Per cent",,,"S.12"
"2016","Tas","Alcohol","Drinking status","Daily","14+","Persons","5.7","Per cent",,,"S.12"
"2019","Tas","Alcohol","Drinking status","Daily","14+","Persons","5.1","Per cent",,,"S.12"
"2007","ACT","Alcohol","Drinking status","Daily","14+","Persons","6.8","Per cent",,,"S.12"
"2010","ACT","Alcohol","Drinking status","Daily","14+","Persons","5.5","Per cent",,,"S.12"
"2013","ACT","Alcohol","Drinking status","Daily","14+","Persons","6.7","Per cent",,,"S.12"
"2016","ACT","Alcohol","Drinking status","Daily","14+","Persons","3.7","Per cent",,,"S.12"
"2019","ACT","Alcohol","Drinking status","Daily","14+","Persons","4.4","Per cent",,,"S.12"
"2007","NT","Alcohol","Drinking status","Daily","14+","Persons","10.9","Per cent",,,"S.12"
"2010","NT","Alcohol","Drinking status","Daily","14+","Persons","7.5","Per cent",,,"S.12"
"2013","NT","Alcohol","Drinking status","Daily","14+","Persons","9.3","Per cent",,,"S.12"
"2016","NT","Alcohol","Drinking status","Daily","14+","Persons","7.5","Per cent",,,"S.12"
"2019","NT","Alcohol","Drinking status","Daily","14+","Persons","8.2","Per cent",,"(b)","S.12"
"2007","Australia","Alcohol","Drinking status","Daily","14+","Persons","8.3","Per cent",,,"S.12"
"2010","Australia","Alcohol","Drinking status","Daily","14+","Persons","7.4","Per cent",,,"S.12"
"2013","Australia","Alcohol","Drinking status","Daily","14+","Persons","6.7","Per cent",,,"S.12"
"2016","Australia","Alcohol","Drinking status","Daily","14+","Persons","6","Per cent",,,"S.12"
"2019","Australia","Alcohol","Drinking status","Daily","14+","Persons","5.4","Per cent",,"#","S.12"
"2007","NSW","Alcohol","Drinking status","Weekly","14+","Males","45.1","Per cent",,,"S.12"
"2010","NSW","Alcohol","Drinking status","Weekly","14+","Males","44.4","Per cent",,,"S.12"
"2013","NSW","Alcohol","Drinking status","Weekly","14+","Males","41","Per cent",,,"S.12"
"2016","NSW","Alcohol","Drinking status","Weekly","14+","Males","40.4","Per cent",,,"S.12"
"2019","NSW","Alcohol","Drinking status","Weekly","14+","Males","38.3","Per cent",,,"S.12"
"2007","Vic","Alcohol","Drinking status","Weekly","14+","Males","45.9","Per cent",,,"S.12"
"2010","Vic","Alcohol","Drinking status","Weekly","14+","Males","43.5","Per cent",,,"S.12"
"2013","Vic","Alcohol","Drinking status","Weekly","14+","Males","42.8","Per cent",,,"S.12"
"2016","Vic","Alcohol","Drinking status","Weekly","14+","Males","40.7","Per cent",,,"S.12"
"2019","Vic","Alcohol","Drinking status","Weekly","14+","Males","41.6","Per cent",,,"S.12"
"2007","Qld","Alcohol","Drinking status","Weekly","14+","Males","47.4","Per cent",,,"S.12"
"2010","Qld","Alcohol","Drinking status","Weekly","14+","Males","46.8","Per cent",,,"S.12"
"2013","Qld","Alcohol","Drinking status","Weekly","14+","Males","43.4","Per cent",,,"S.12"
"2016","Qld","Alcohol","Drinking status","Weekly","14+","Males","42.2","Per cent",,,"S.12"
"2019","Qld","Alcohol","Drinking status","Weekly","14+","Males","41.5","Per cent",,,"S.12"
"2007","WA","Alcohol","Drinking status","Weekly","14+","Males","51.9","Per cent",,,"S.12"
"2010","WA","Alcohol","Drinking status","Weekly","14+","Males","47.3","Per cent",,,"S.12"
"2013","WA","Alcohol","Drinking status","Weekly","14+","Males","51.4","Per cent",,,"S.12"
"2016","WA","Alcohol","Drinking status","Weekly","14+","Males","40.8","Per cent",,,"S.12"
"2019","WA","Alcohol","Drinking status","Weekly","14+","Males","42","Per cent",,,"S.12"
"2007","SA","Alcohol","Drinking status","Weekly","14+","Males","47.7","Per cent",,,"S.12"
"2010","SA","Alcohol","Drinking status","Weekly","14+","Males","47.6","Per cent",,,"S.12"
"2013","SA","Alcohol","Drinking status","Weekly","14+","Males","47.4","Per cent",,,"S.12"
"2016","SA","Alcohol","Drinking status","Weekly","14+","Males","40.6","Per cent",,,"S.12"
"2019","SA","Alcohol","Drinking status","Weekly","14+","Males","42","Per cent",,,"S.12"
"2007","Tas","Alcohol","Drinking status","Weekly","14+","Males","49.6","Per cent",,,"S.12"
"2010","Tas","Alcohol","Drinking status","Weekly","14+","Males","47.6","Per cent",,,"S.12"
"2013","Tas","Alcohol","Drinking status","Weekly","14+","Males","46.4","Per cent",,,"S.12"
"2016","Tas","Alcohol","Drinking status","Weekly","14+","Males","41.7","Per cent",,,"S.12"
"2019","Tas","Alcohol","Drinking status","Weekly","14+","Males","43.2","Per cent",,,"S.12"
"2007","ACT","Alcohol","Drinking status","Weekly","14+","Males","53","Per cent",,,"S.12"
"2010","ACT","Alcohol","Drinking status","Weekly","14+","Males","51.6","Per cent",,,"S.12"
"2013","ACT","Alcohol","Drinking status","Weekly","14+","Males","47.9","Per cent",,,"S.12"
"2016","ACT","Alcohol","Drinking status","Weekly","14+","Males","49","Per cent",,,"S.12"
"2019","ACT","Alcohol","Drinking status","Weekly","14+","Males","43.3","Per cent",,,"S.12"
"2007","NT","Alcohol","Drinking status","Weekly","14+","Males","50","Per cent",,,"S.12"
"2010","NT","Alcohol","Drinking status","Weekly","14+","Males","46","Per cent",,,"S.12"
"2013","NT","Alcohol","Drinking status","Weekly","14+","Males","49.3","Per cent",,,"S.12"
"2016","NT","Alcohol","Drinking status","Weekly","14+","Males","42","Per cent",,,"S.12"
"2019","NT","Alcohol","Drinking status","Weekly","14+","Males","40.8","Per cent",,"(b)","S.12"
"2007","Australia","Alcohol","Drinking status","Weekly","14+","Males","46.9","Per cent",,,"S.12"
"2010","Australia","Alcohol","Drinking status","Weekly","14+","Males","45.4","Per cent",,,"S.12"
"2013","Australia","Alcohol","Drinking status","Weekly","14+","Males","43.8","Per cent",,,"S.12"
"2016","Australia","Alcohol","Drinking status","Weekly","14+","Males","41.1","Per cent",,,"S.12"
"2019","Australia","Alcohol","Drinking status","Weekly","14+","Males","40.6","Per cent",,,"S.12"
"2007","NSW","Alcohol","Drinking status","Weekly","14+","Females","34.5","Per cent",,,"S.12"
"2010","NSW","Alcohol","Drinking status","Weekly","14+","Females","32.6","Per cent",,,"S.12"
"2013","NSW","Alcohol","Drinking status","Weekly","14+","Females","31.1","Per cent",,,"S.12"
"2016","NSW","Alcohol","Drinking status","Weekly","14+","Females","31.8","Per cent",,,"S.12"
"2019","NSW","Alcohol","Drinking status","Weekly","14+","Females","28.4","Per cent",,"#","S.12"
"2007","Vic","Alcohol","Drinking status","Weekly","14+","Females","34.6","Per cent",,,"S.12"
"2010","Vic","Alcohol","Drinking status","Weekly","14+","Females","32.7","Per cent",,,"S.12"
"2013","Vic","Alcohol","Drinking status","Weekly","14+","Females","30.9","Per cent",,,"S.12"
"2016","Vic","Alcohol","Drinking status","Weekly","14+","Females","30.2","Per cent",,,"S.12"
"2019","Vic","Alcohol","Drinking status","Weekly","14+","Females","29.2","Per cent",,,"S.12"
"2007","Qld","Alcohol","Drinking status","Weekly","14+","Females","37.4","Per cent",,,"S.12"
"2010","Qld","Alcohol","Drinking status","Weekly","14+","Females","34.7","Per cent",,,"S.12"
"2013","Qld","Alcohol","Drinking status","Weekly","14+","Females","32.6","Per cent",,,"S.12"
"2016","Qld","Alcohol","Drinking status","Weekly","14+","Females","29.9","Per cent",,,"S.12"
"2019","Qld","Alcohol","Drinking status","Weekly","14+","Females","29","Per cent",,,"S.12"
"2007","WA","Alcohol","Drinking status","Weekly","14+","Females","42.4","Per cent",,,"S.12"
"2010","WA","Alcohol","Drinking status","Weekly","14+","Females","40.1","Per cent",,,"S.12"
"2013","WA","Alcohol","Drinking status","Weekly","14+","Females","35.7","Per cent",,,"S.12"
"2016","WA","Alcohol","Drinking status","Weekly","14+","Females","33.6","Per cent",,,"S.12"
"2019","WA","Alcohol","Drinking status","Weekly","14+","Females","30.2","Per cent",,,"S.12"
"2007","SA","Alcohol","Drinking status","Weekly","14+","Females","36.5","Per cent",,,"S.12"
"2010","SA","Alcohol","Drinking status","Weekly","14+","Females","34.6","Per cent",,,"S.12"
"2013","SA","Alcohol","Drinking status","Weekly","14+","Females","29.7","Per cent",,,"S.12"
"2016","SA","Alcohol","Drinking status","Weekly","14+","Females","31.7","Per cent",,,"S.12"
"2019","SA","Alcohol","Drinking status","Weekly","14+","Females","31.8","Per cent",,,"S.12"
"2007","Tas","Alcohol","Drinking status","Weekly","14+","Females","32.3","Per cent",,,"S.12"
"2010","Tas","Alcohol","Drinking status","Weekly","14+","Females","32.5","Per cent",,,"S.12"
"2013","Tas","Alcohol","Drinking status","Weekly","14+","Females","32.2","Per cent",,,"S.12"
"2016","Tas","Alcohol","Drinking status","Weekly","14+","Females","33.4","Per cent",,,"S.12"
"2019","Tas","Alcohol","Drinking status","Weekly","14+","Females","33.1","Per cent",,,"S.12"
"2007","ACT","Alcohol","Drinking status","Weekly","14+","Females","43.9","Per cent",,,"S.12"
"2010","ACT","Alcohol","Drinking status","Weekly","14+","Females","40.6","Per cent",,,"S.12"
"2013","ACT","Alcohol","Drinking status","Weekly","14+","Females","40.9","Per cent",,,"S.12"
"2016","ACT","Alcohol","Drinking status","Weekly","14+","Females","32.8","Per cent",,,"S.12"
"2019","ACT","Alcohol","Drinking status","Weekly","14+","Females","33.6","Per cent",,,"S.12"
"2007","NT","Alcohol","Drinking status","Weekly","14+","Females","38","Per cent",,,"S.12"
"2010","NT","Alcohol","Drinking status","Weekly","14+","Females","45","Per cent",,,"S.12"
"2013","NT","Alcohol","Drinking status","Weekly","14+","Females","39.8","Per cent",,,"S.12"
"2016","NT","Alcohol","Drinking status","Weekly","14+","Females","33.2","Per cent",,,"S.12"
"2019","NT","Alcohol","Drinking status","Weekly","14+","Females","34.6","Per cent",,"(b)","S.12"
"2007","Australia","Alcohol","Drinking status","Weekly","14+","Females","36.2","Per cent",,,"S.12"
"2010","Australia","Alcohol","Drinking status","Weekly","14+","Females","34.2","Per cent",,,"S.12"
"2013","Australia","Alcohol","Drinking status","Weekly","14+","Females","32","Per cent",,,"S.12"
"2016","Australia","Alcohol","Drinking status","Weekly","14+","Females","31.3","Per cent",,,"S.12"
"2019","Australia","Alcohol","Drinking status","Weekly","14+","Females","29.4","Per cent",,"#","S.12"
"2007","NSW","Alcohol","Drinking status","Weekly","14+","Persons","39.7","Per cent",,,"S.12"
"2010","NSW","Alcohol","Drinking status","Weekly","14+","Persons","38.4","Per cent",,,"S.12"
"2013","NSW","Alcohol","Drinking status","Weekly","14+","Persons","36","Per cent",,,"S.12"
"2016","NSW","Alcohol","Drinking status","Weekly","14+","Persons","36","Per cent",,,"S.12"
"2019","NSW","Alcohol","Drinking status","Weekly","14+","Persons","33.3","Per cent",,"#","S.12"
"2007","Vic","Alcohol","Drinking status","Weekly","14+","Persons","40.2","Per cent",,,"S.12"
"2010","Vic","Alcohol","Drinking status","Weekly","14+","Persons","38","Per cent",,,"S.12"
"2013","Vic","Alcohol","Drinking status","Weekly","14+","Persons","36.7","Per cent",,,"S.12"
"2016","Vic","Alcohol","Drinking status","Weekly","14+","Persons","35.4","Per cent",,,"S.12"
"2019","Vic","Alcohol","Drinking status","Weekly","14+","Persons","35.3","Per cent",,,"S.12"
"2007","Qld","Alcohol","Drinking status","Weekly","14+","Persons","42.4","Per cent",,,"S.12"
"2010","Qld","Alcohol","Drinking status","Weekly","14+","Persons","40.7","Per cent",,,"S.12"
"2013","Qld","Alcohol","Drinking status","Weekly","14+","Persons","37.9","Per cent",,,"S.12"
"2016","Qld","Alcohol","Drinking status","Weekly","14+","Persons","35.9","Per cent",,,"S.12"
"2019","Qld","Alcohol","Drinking status","Weekly","14+","Persons","35.1","Per cent",,,"S.12"
"2007","WA","Alcohol","Drinking status","Weekly","14+","Persons","47.1","Per cent",,,"S.12"
"2010","WA","Alcohol","Drinking status","Weekly","14+","Persons","43.8","Per cent",,,"S.12"
"2013","WA","Alcohol","Drinking status","Weekly","14+","Persons","43.6","Per cent",,,"S.12"
"2016","WA","Alcohol","Drinking status","Weekly","14+","Persons","37.2","Per cent",,,"S.12"
"2019","WA","Alcohol","Drinking status","Weekly","14+","Persons","36","Per cent",,,"S.12"
"2007","SA","Alcohol","Drinking status","Weekly","14+","Persons","42","Per cent",,,"S.12"
"2010","SA","Alcohol","Drinking status","Weekly","14+","Persons","41","Per cent",,,"S.12"
"2013","SA","Alcohol","Drinking status","Weekly","14+","Persons","38.5","Per cent",,,"S.12"
"2016","SA","Alcohol","Drinking status","Weekly","14+","Persons","36","Per cent",,,"S.12"
"2019","SA","Alcohol","Drinking status","Weekly","14+","Persons","36.8","Per cent",,,"S.12"
"2007","Tas","Alcohol","Drinking status","Weekly","14+","Persons","40.7","Per cent",,,"S.12"
"2010","Tas","Alcohol","Drinking status","Weekly","14+","Persons","39.9","Per cent",,,"S.12"
"2013","Tas","Alcohol","Drinking status","Weekly","14+","Persons","39.3","Per cent",,,"S.12"
"2016","Tas","Alcohol","Drinking status","Weekly","14+","Persons","37.5","Per cent",,,"S.12"
"2019","Tas","Alcohol","Drinking status","Weekly","14+","Persons","38.1","Per cent",,,"S.12"
"2007","ACT","Alcohol","Drinking status","Weekly","14+","Persons","48.3","Per cent",,,"S.12"
"2010","ACT","Alcohol","Drinking status","Weekly","14+","Persons","46.1","Per cent",,,"S.12"
"2013","ACT","Alcohol","Drinking status","Weekly","14+","Persons","44.4","Per cent",,,"S.12"
"2016","ACT","Alcohol","Drinking status","Weekly","14+","Persons","40.8","Per cent",,,"S.12"
"2019","ACT","Alcohol","Drinking status","Weekly","14+","Persons","38.2","Per cent",,,"S.12"
"2007","NT","Alcohol","Drinking status","Weekly","14+","Persons","44.3","Per cent",,,"S.12"
"2010","NT","Alcohol","Drinking status","Weekly","14+","Persons","45.5","Per cent",,,"S.12"
"2013","NT","Alcohol","Drinking status","Weekly","14+","Persons","44.8","Per cent",,,"S.12"
"2016","NT","Alcohol","Drinking status","Weekly","14+","Persons","37.9","Per cent",,,"S.12"
"2019","NT","Alcohol","Drinking status","Weekly","14+","Persons","37.7","Per cent",,"(b)","S.12"
"2007","Australia","Alcohol","Drinking status","Weekly","14+","Persons","41.5","Per cent",,,"S.12"
"2010","Australia","Alcohol","Drinking status","Weekly","14+","Persons","39.7","Per cent",,,"S.12"
"2013","Australia","Alcohol","Drinking status","Weekly","14+","Persons","37.8","Per cent",,,"S.12"
"2016","Australia","Alcohol","Drinking status","Weekly","14+","Persons","36.1","Per cent",,,"S.12"
"2019","Australia","Alcohol","Drinking status","Weekly","14+","Persons","34.9","Per cent",,,"S.12"
"2007","NSW","Alcohol","Drinking status","Monthly","14+","Males","17.9","Per cent",,,"S.12"
"2010","NSW","Alcohol","Drinking status","Monthly","14+","Males","17.9","Per cent",,,"S.12"
"2013","NSW","Alcohol","Drinking status","Monthly","14+","Males","19.4","Per cent",,,"S.12"
"2016","NSW","Alcohol","Drinking status","Monthly","14+","Males","18.9","Per cent",,,"S.12"
"2019","NSW","Alcohol","Drinking status","Monthly","14+","Males","19.1","Per cent",,,"S.12"
"2007","Vic","Alcohol","Drinking status","Monthly","14+","Males","17.6","Per cent",,,"S.12"
"2010","Vic","Alcohol","Drinking status","Monthly","14+","Males","19.4","Per cent",,,"S.12"
"2013","Vic","Alcohol","Drinking status","Monthly","14+","Males","20.3","Per cent",,,"S.12"
"2016","Vic","Alcohol","Drinking status","Monthly","14+","Males","21.1","Per cent",,,"S.12"
"2019","Vic","Alcohol","Drinking status","Monthly","14+","Males","20.9","Per cent",,,"S.12"
"2007","Qld","Alcohol","Drinking status","Monthly","14+","Males","17.2","Per cent",,,"S.12"
"2010","Qld","Alcohol","Drinking status","Monthly","14+","Males","17.6","Per cent",,,"S.12"
"2013","Qld","Alcohol","Drinking status","Monthly","14+","Males","19.2","Per cent",,,"S.12"
"2016","Qld","Alcohol","Drinking status","Monthly","14+","Males","19.4","Per cent",,,"S.12"
"2019","Qld","Alcohol","Drinking status","Monthly","14+","Males","19.6","Per cent",,,"S.12"
"2007","WA","Alcohol","Drinking status","Monthly","14+","Males","15.7","Per cent",,,"S.12"
"2010","WA","Alcohol","Drinking status","Monthly","14+","Males","17.4","Per cent",,,"S.12"
"2013","WA","Alcohol","Drinking status","Monthly","14+","Males","17.7","Per cent",,,"S.12"
"2016","WA","Alcohol","Drinking status","Monthly","14+","Males","18.4","Per cent",,,"S.12"
"2019","WA","Alcohol","Drinking status","Monthly","14+","Males","16.2","Per cent",,,"S.12"
"2007","SA","Alcohol","Drinking status","Monthly","14+","Males","17.5","Per cent",,,"S.12"
"2010","SA","Alcohol","Drinking status","Monthly","14+","Males","16.7","Per cent",,,"S.12"
"2013","SA","Alcohol","Drinking status","Monthly","14+","Males","16.8","Per cent",,,"S.12"
"2016","SA","Alcohol","Drinking status","Monthly","14+","Males","20.1","Per cent",,,"S.12"
