"category","topic","region","age","question","year","per_cent","lower_95_confidence_interval","upper_95_confidence_interval","sex","notes"
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2009","25.4","22.1","29.01","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2012","23.93","20.86","27.3","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2015","27.15","23.76","30.82","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2018","28.7","24.5","33.29","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2006","13.42","10.66","16.76","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2009","15.31","12.32","18.87","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2012","16.45","13.98","19.26","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2015","16.34","13.68","19.41","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2018","16.09","13.39","19.21","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2006","21.8","19.95","23.76","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2009","20.66","18.82","22.63","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2012","18.43","16.54","20.49","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2015","18.05","16.09","20.21","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2018","20.01","18.09","22.07","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2006","57.33","53.76","60.82","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2009","54.08","51.28","56.85","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2012","58.04","55.13","60.89","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2015","52.62","49.87","55.35","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2018","54.11","50.72","57.46","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2006","20.88","18.28","23.74","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2009","25.26","22.95","27.71","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2012","23.53","21.05","26.21","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2015","29.33","27.07","31.7","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2018","25.88","22.84","29.18","Person",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2006","25.57","22.49","28.92","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2009","23.69","20.99","26.61","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2012","21.17","18.29","24.37","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2015","19.5","16.86","22.44","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2018","23.42","20.87","26.18","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2006","53.62","48.62","58.55","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2009","50.48","46.74","54.21","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2012","57.34","53.29","61.31","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2015","55.64","52.26","58.97","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2018","55.24","51.22","59.19","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2006","20.81","16.7","25.63","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2009","25.83","22.52","29.44","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2012","21.48","18.78","24.47","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2015","24.85","22.29","27.61","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2018","21.34","17.97","25.16","Male",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2006","17.97","15.69","20.5","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2009","17.77","15.16","20.72","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2012","15.88","13.64","18.42","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2015","16.47","14.16","19.07","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Underweight","2018","16.17","13.76","18.91","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2006","61.02","56.81","65.08","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2009","57.52","52.83","62.08","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2012","58.68","54.67","62.58","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2015","49.31","45.87","52.75","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","About the right weight","2018","52.84","48.54","57.1","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2006","21.01","17.32","25.25","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2009","24.71","21.52","28.21","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2012","25.44","22.09","29.11","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2015","34.22","31.16","37.42","Female",
"Weight status","Self perceived weight status","ACT","Year 6 students","Overweight","2018","30.99","27.21","35.04","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2006","6.93","5.21","9.15","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2009","6.83","5.91","7.87","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2012","6.11","4.94","7.54","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2015","8.24","6.9","9.81","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2018","8.23","6.62","10.2","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2006","67.99","65","70.83","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2009","68.49","64.7","72.06","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2012","71.7","69.35","73.94","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2015","70.48","67.4","73.38","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2018","72.69","69.91","75.31","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2006","19.92","17.84","22.19","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2009","19.49","16.58","22.78","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2012","17.36","15.23","19.71","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2015","16.68","14.32","19.35","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2018","15.21","12.85","17.91","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2006","5.16","3.79","6.99","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2009","5.19","3.83","7","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2012","4.83","3.65","6.36","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2015","4.6","3.45","6.1","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2018","3.87","2.57","5.78","Person",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2006","5.77","3.33","9.81","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2009","5.25","3.73","7.35","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2012","6.23","4.41","8.73","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2015","8.37","6.44","10.81","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2018","8.29","6.46","10.57","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2006","66.51","61.75","70.95","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2009","68.58","63.8","73","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2012","69.78","66.59","72.79","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2015","69.73","65.91","73.3","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2018","74.31","70.81","77.53","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2006","21.28","17.96","25.03","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2009","20.48","17.15","24.28","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2012","18.07","15.66","20.75","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2015","17.67","14.89","20.85","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2018","13.8","11.42","16.58","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2006","6.45","4.26","9.65","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2009","5.68","3.9","8.2","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2012","5.92","4.04","8.6","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2015","4.23","2.79","6.35","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2018","3.6","2.2","5.84","Male",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2006","8.06","6.17","10.46","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2009","8.31","6.68","10.3","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2012","6","4.6","7.8","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Underweight","2015","8.09","6.64","9.82","Female",
"Weight status","Body Mass Index",,"Year 6 students","Underweight","2018","8.17","5.77","11.43","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2006","69.43","64.34","74.08","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2009","68.41","64.3","72.25","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2012","73.5","69.84","76.86","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2015","71.32","67.61","74.76","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Healthy weight","2018","70.77","67","74.27","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2006","18.61","15.04","22.79","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2009","18.56","15.24","22.4","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2012","16.69","13.77","20.09","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2015","15.57","12.63","19.04","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Overweight","2018","16.88","13.7","20.62","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2006","3.91","2.74","5.54","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2009","4.72","3.34","6.64","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2012","3.81","2.48","5.8","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2015","5.02","3.51","7.14","Female",
"Weight status","Body Mass Index","ACT","Year 6 students","Obese","2018","4.19","2.69","6.46","Female",
