"category","type","age","year","regionage","region","sex","participants","crude_rate","as_rate"
"Screening","Breast cancer","50-74 years","2017-2018","Qld, 50-74 years","Qld","Female","372916","55.1","54.6"
"Screening","Breast cancer","50-74 years","2017-2018","WA, 50-74 years","WA","Female","189156","55.8","55.4"
"Screening","Breast cancer","50-74 years","2017-2018","SA , 50-74 years","SA","Female","153694","59.5","58.7"
"Screening","Breast cancer","50-74 years","2017-2018","Tas , 50-74 years","Tas","Female","51389","60.1","59.3"
"Screening","Breast cancer","50-74 years","2017-2018","ACT, 50-74 years","ACT","Female","28911","56.9","56.4"
"Screening","Breast cancer","50-74 years","2017-2018","NT , 50-74 years","NT","Female","9724","38.4","38.4"
"Screening","Breast cancer","50-74 years","2017-2018","Australia, 50-74 years","Australia","Female","1841333","54.8","54.3"
"Screening","Breast cancer","50-69 years","2018-2019","NSW, 50-69 years","NSW","Female","499955","54.1","53.4"
"Screening","Breast cancer","50-69 years","2018-2019","Vic, 50-69 years","Vic","Female","390348","53.4","53"
"Screening","Breast cancer","50-69 years","2018-2019","Qld, 50-69 years","Qld","Female","319949","54.6","54"
"Screening","Breast cancer","50-69 years","2018-2019","WA, 50-69 years","WA","Female","160826","54.3","53.7"
"Screening","Breast cancer","50-69 years","2018-2019","SA , 50-69 years","SA","Female","128679","58.9","57.9"
"Screening","Breast cancer","50-69 years","2018-2019","Tas , 50-69 years","Tas","Female","43692","60.3","59.5"
"Screening","Breast cancer","50-69 years","2018-2019","ACT, 50-69 years","ACT","Female","25766","58.5","57.9"
"Screening","Breast cancer","50-69 years","2018-2019","NT , 50-69 years","NT","Female","8889","37.9","37.8"
"Screening","Breast cancer","50-69 years","2018-2019","Australia, 50-69 years","Australia","Female","1578104","54.5","53.9"
"Screening","Breast cancer","50-74 years","2018-2019","NSW, 50-74 years","NSW","Female","595509","54.3","53.8"
"Screening","Breast cancer","50-74 years","2018-2019","Vic, 50-74 years","Vic","Female","462126","53.5","53.2"
"Screening","Breast cancer","50-74 years","2018-2019","Qld, 50-74 years","Qld","Female","380124","54.9","54.4"
"Screening","Breast cancer","50-74 years","2018-2019","WA, 50-74 years","WA","Female","190219","54.9","54.4"
"Screening","Breast cancer","50-74 years","2018-2019","SA , 50-74 years","SA","Female","155025","59.2","58.4"
"Screening","Breast cancer","50-74 years","2018-2019","Tas , 50-74 years","Tas","Female","52578","60.6","59.8"
"Screening","Breast cancer","50-74 years","2018-2019","ACT, 50-74 years","ACT","Female","30353","58.6","58.1"
"Screening","Breast cancer","50-74 years","2018-2019","NT , 50-74 years","NT","Female","9817","38","38"
"Screening","Breast cancer","50-74 years","2018-2019","Australia, 50-74 years","Australia","Female","1875751","54.8","54.2"
