"month","strategy_c_metric_3_number_of_veterans_linked_to_employment","strategy_c_metric_3_analysis","strategy_c_metric_3_correlations"
"13-Nov","14","Percent Change Since Previous Month: -39%. Absolute Change Since Previous Month: -9. Rolling Twelve Month Mean: 10.33. Mean to Date: 9.75. Median to Date: 10.5. Rolling Twelve Month Sum: 124. Sum to Date: 234. The Magnitude of the Change this Month is 2.83x the Magnitude of the Average Monthly Change (3.18).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 24, r = 0.54, p = 0.007**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 24, r = 0.45, p = 0.029*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 24, r = 0.58, p = 0.003**) ... Strategy C Metric 2. Number of veterans linked to medical services  (N = 24, r = 0.49, p = 0.016*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 24, r = 0.53, p = 0.007**) "
"13-Dec","15","Percent Change Since Previous Month: 7%. Absolute Change Since Previous Month: 1. Rolling Twelve Month Mean: 11.08. Mean to Date: 9.96. Median to Date: 11. Rolling Twelve Month Sum: 133. Sum to Date: 249. The Magnitude of the Change this Month is 0.32x the Magnitude of the Average Monthly Change (3.09).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 25, r = 0.56, p = 0.004**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 25, r = 0.4, p = 0.047*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 25, r = 0.58, p = 0.002**) ... Strategy C Metric 2. Number of veterans linked to medical services  (N = 25, r = 0.51, p = 0.009**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 25, r = 0.56, p = 0.004**) "
"14-Jan","15","Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: 0. Rolling Twelve Month Mean: 12. Mean to Date: 10.15. Median to Date: 11. Rolling Twelve Month Sum: 144. Sum to Date: 264. The Magnitude of the Change this Month is 0x the Magnitude of the Average Monthly Change (2.96).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 26, r = 0.57, p = 0.003**) ... Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 18, r = 0.4, p = 0.098*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 26, r = 0.41, p = 0.04*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 26, r = 0.58, p = 0.002**) ... Strategy C Metric 2. Number of veterans linked to medical services  (N = 26, r = 0.53, p = 0.006**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 26, r = 0.52, p = 0.007**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 26, r = -0.34, p = 0.091*) "
"14-Feb","18","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: 20%. Absolute Change Since Previous Month: 3. Rolling Twelve Month Mean: 13.25. Mean to Date: 10.44. Median to Date: 11. Rolling Twelve Month Sum: 159. Sum to Date: 282. The Magnitude of the Change this Month is 1.01x the Magnitude of the Average Monthly Change (2.96).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 27, r = 0.61, p = 0.001***) ... Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 19, r = 0.43, p = 0.066*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 27, r = 0.44, p = 0.02*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 27, r = 0.59, p = 0.001**) ... Strategy C Metric 2. Number of veterans linked to medical services  (N = 27, r = 0.57, p = 0.002**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 27, r = 0.54, p = 0.004**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 27, r = -0.34, p = 0.079*) "
"14-Mar","20","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: 11%. Absolute Change Since Previous Month: 2. Rolling Twelve Month Mean: 14.67. Mean to Date: 10.79. Median to Date: 11.5. Rolling Twelve Month Sum: 176. Sum to Date: 302. The Magnitude of the Change this Month is 0.68x the Magnitude of the Average Monthly Change (2.92).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 20, r = 0.52, p = 0.018*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 28, r = 0.49, p = 0.009**) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 28, r = 0.61, p = 0.001***) ... Strategy C Metric 2. Number of veterans linked to medical services  (N = 28, r = 0.61, p = 0.001***) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 28, r = 0.57, p = 0.002**) "
"14-Apr","27","More than 2 Standard Deviations Above the Mean. Percent Change Since Previous Month: 35%. Absolute Change Since Previous Month: 7. Rolling Twelve Month Mean: 16. Mean to Date: 11.34. Median to Date: 12. Rolling Twelve Month Sum: 192. Sum to Date: 329. The Magnitude of the Change this Month is 2.28x the Magnitude of the Average Monthly Change (3.07).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 29, r = 0.38, p = 0.04*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 29, r = 0.54, p = 0.002**) ... Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 21, r = 0.52, p = 0.017*) ... Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 21, r = 0.48, p = 0.028*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 29, r = 0.55, p = 0.002**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 29, r = 0.59, p = 0.001***) "
"14-May","20","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: -26%. Absolute Change Since Previous Month: -7. Rolling Twelve Month Mean: 16.83. Mean to Date: 11.63. Median to Date: 12. Rolling Twelve Month Sum: 202. Sum to Date: 349. The Magnitude of the Change this Month is 2.18x the Magnitude of the Average Monthly Change (3.21).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 30, r = 0.38, p = 0.039*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 30, r = 0.58, p = 0.001***) ... Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 22, r = 0.54, p = 0.01**) ... Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 22, r = 0.43, p = 0.045*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 30, r = 0.57, p = 0.001***) "
"14-Jun","20","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: 0. Rolling Twelve Month Mean: 17.5. Mean to Date: 11.9. Median to Date: 12. Rolling Twelve Month Sum: 210. Sum to Date: 369. The Magnitude of the Change this Month is 0x the Magnitude of the Average Monthly Change (3.1).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 31, r = 0.32, p = 0.082*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 31, r = 0.57, p = 0.001***) ... Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 23, r = 0.57, p = 0.004**) "
"14-Jul","18","Percent Change Since Previous Month: -10%. Absolute Change Since Previous Month: -2. Rolling Twelve Month Mean: 18. Mean to Date: 12.09. Median to Date: 12. Rolling Twelve Month Sum: 216. Sum to Date: 387. The Magnitude of the Change this Month is 0.65x the Magnitude of the Average Monthly Change (3.07).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 32, r = 0.58, p = 0.001***) ... Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 24, r = 0.58, p = 0.003**) "
"14-Aug","14","Percent Change Since Previous Month: -22%. Absolute Change Since Previous Month: -4. Rolling Twelve Month Mean: 18.17. Mean to Date: 12.15. Median to Date: 12. Rolling Twelve Month Sum: 218. Sum to Date: 401. The Magnitude of the Change this Month is 1.29x the Magnitude of the Average Monthly Change (3.1).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 33, r = 0.57, p = 0.001***) ... Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 25, r = 0.57, p = 0.003**) "
"14-Sep","23","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: 64%. Absolute Change Since Previous Month: 9. Rolling Twelve Month Mean: 18.92. Mean to Date: 12.47. Median to Date: 12. Rolling Twelve Month Sum: 227. Sum to Date: 424. The Magnitude of the Change this Month is 2.74x the Magnitude of the Average Monthly Change (3.28).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 34, r = 0.31, p = 0.079*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 34, r = 0.54, p = 0.001***) ... Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 26, r = 0.59, p = 0.002**) "
