"program_name","technology","application_received_date","award_date","award_amount","actual_start_date","actual_end_date","award_status","last_invoice_received_date","total_disbursed_amount","capacity","capacity_units","total_project_cost","ownership","city","zip_code","county","location_1"
"Residential Clean Energy Grant Program","Solar PV","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-06-01T00:00:00.000","2014-07-18T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","8.9250000000000007","kW","28400","Purchased","La Plata","20646","Charles","
La Plata, Maryland 20646
(38.52460647800007, -76.98236676299996)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-20T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-01T00:00:00.000","2014-10-15T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","6.12","kW","26885","Purchased","Waldorf","20602","Charles","
Waldorf, Maryland 20602
(38.59849764200004, -76.90249687199997)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-05T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-15T00:00:00.000","2014-09-16T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","4","kW","12757.5","Purchased","Hayattsville","20782","Prince George's","
Hayattsville, Maryland 20782
(38.96334775400004, -76.96464783099998)"
"Residential Clean Energy Grant Program","Solar Hot Water","2014-03-04T00:00:00.000","2014-11-25T00:00:00.000","500.00","2013-12-17T00:00:00.000","2013-12-18T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","500.00","48","sqft","10000","Purchased","Upper Marlboro","20774","Prince George's","
Upper Marlboro, Maryland 20774
(38.88555912000004, -76.80645921499996)"
"Residential Clean Energy Grant Program","Solar PV","2014-07-11T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-06-27T00:00:00.000","2014-06-27T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","2","kW","16121","Purchased","Finkburg","21048","Carroll","
Finkburg, Maryland 21048
(39.50509607400005, -76.91115646799994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-06T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-09T00:00:00.000","2014-09-09T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","6.48","kW","22032","Purchased","Beltsville","20705","Prince George's","
Beltsville, Maryland 20705
(39.047406230000036, -76.91870808699997)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-06T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-08-21T00:00:00.000","2014-08-22T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","2","kW","17821","Purchased","Ijamsville","21754","Frederick","
Ijamsville, Maryland 21754
(39.33386809800004, -77.30524846699996)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-01T00:00:00.000","2014-10-30T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","11.515000000000001","kW","43484","Purchased","Millersville","21108","Anne Arundel","
Millersville, Maryland 21108
(39.100428332000035, -76.62169654699994)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-15T00:00:00.000","2014-09-16T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","4","kW","32221","Purchased","Hampstead","21074","Carroll","
Hampstead, Maryland 21074
(39.61344747600003, -76.85100855699994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-30T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-17T00:00:00.000","2014-09-30T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","9","kW","24638","Purchased","Smithsburg","21783","Frederick","
Smithsburg, Maryland 21783
(39.64937632700003, -77.56873828999994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-27T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-01T00:00:00.000","2014-10-24T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","8.5749999999999993","kW","33729","Purchased","Glen Burnie","21061","Anne Arundel","
Glen Burnie, Maryland 21061
(39.15703940900005, -76.62936982599996)"
"Residential Clean Energy Grant Program","Solar PV","2014-08-01T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-05-02T00:00:00.000","2014-07-18T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","8","kW","44000","Purchased","Clarksville","21029","Howard","
Clarksville, Maryland 21029
(39.202579411000045, -76.94147591599994)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-01T00:00:00.000","2014-10-28T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","14.58","kW","46975","Purchased","Mount Airy","21771","Frederick","
Mount Airy, Maryland 21771
(39.38343592000007, -77.15170900699997)"
"Residential Clean Energy Grant Program","Solar PV","2014-04-22T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-01-13T00:00:00.000","2014-02-21T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","10.6","kW","21413","Purchased","Timonium","21093","Baltimore","
Timonium, Maryland 21093
(39.44221950000008, -76.63706917599995)"
"Residential Clean Energy Grant Program","Solar Hot Water","2014-11-06T00:00:00.000","2014-11-25T00:00:00.000","500.00","2014-08-21T00:00:00.000","2014-08-22T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","500.00","48","sqft","10000","Purchased","Ijamsville","21754","Frederick","
Ijamsville, Maryland 21754
(39.33386809800004, -77.30524846699996)"
"Residential Clean Energy Grant Program","Geothermal","2014-09-25T00:00:00.000","2014-11-25T00:00:00.000","3000.00","2014-07-15T00:00:00.000","2014-08-06T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","7","ton","65771","Purchased","Barnesville","20838","Montgomery","
Barnesville, Maryland 20838
(39.22348757800006, -77.37442964399997)"
"Residential Clean Energy Grant Program","Solar PV","2014-09-08T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-08-19T00:00:00.000","2014-09-05T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","4.95","kW","21250","Purchased","Chestertown","21620","Kent","
Chestertown, Maryland 21620
(39.215766503000054, -76.09079770499994)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-06T00:00:00.000","2014-11-25T00:00:00.000","700.00","2014-10-09T00:00:00.000","2014-10-09T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","52000","BTUs/hr","5272.61","Purchased","Bel Air","21015","Harford","
Bel Air, Maryland 21015
(39.53091844200003, -76.31172819899996)"
"Residential Clean Energy Grant Program","Solar Hot Water","2014-07-29T00:00:00.000","2014-11-25T00:00:00.000","500.00","2014-05-20T00:00:00.000","2014-06-04T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","500.00","54","sqft","13800","Purchased","Glen Burnie","21060","Anne Arundel","
Glen Burnie, Maryland 21060
(39.16437812300006, -76.59467930199997)"
"Residential Clean Energy Grant Program","Solar PV","2014-09-23T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-05-05T00:00:00.000","2014-06-23T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","8.64","kW","36288","Purchased","Forest Hill","21050","Harford","
Forest Hill, Maryland 21050
(39.57348646100007, -76.38543687199996)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-19T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-06-02T00:00:00.000","2014-07-31T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","12","kW","49500","Purchased","Fulton","20759","Howard","
Fulton, Maryland 20759
(39.15038720500007, -76.91764790599996)"
"Residential Clean Energy Grant Program","Solar Hot Water","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","500.00","2014-03-05T00:00:00.000","2014-03-17T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","500.00","54","sqft","13800","Purchased","Owings Mills","21117","Baltimore","
Owings Mills, Maryland 21117
(39.41734868800006, -76.78600727499997)"
"Residential Clean Energy Grant Program","Geothermal","2014-10-12T00:00:00.000","2014-11-25T00:00:00.000","3000.00","2014-05-01T00:00:00.000","2014-06-13T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","4","ton","31992","Purchased","Monkton","21111","Baltimore","
Monkton, Maryland 21111
(39.570518822000054, -76.59309771999995)"
"Residential Clean Energy Grant Program","Geothermal","2014-10-01T00:00:00.000","2014-11-25T00:00:00.000","3000.00","2014-05-02T00:00:00.000","2014-09-11T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","6","ton","56224","Purchased","Gambrills","21054","Anne Arundel","
Gambrills, Maryland 21054
(39.03853807400003, -76.67840755799995)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-06T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-03T00:00:00.000","2014-09-03T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","2","kW","17321","Purchased","Hanover","21076","Anne Arundel","
Hanover, Maryland 21076
(39.16066748800006, -76.71930709499998)"
"Commercial Clean Energy Grant Program","Solar PV","2014-10-28T00:00:00.000","2014-11-25T00:00:00.000","2970.00","2014-07-01T00:00:00.000","2014-10-10T00:00:00.000","Award Complete","2015-01-20T00:00:00.000","2970.00","49.5","kW","116869","Purchased","Union Bridge","21791","Carroll","
Union Bridge, Maryland 21791
(39.551657153000065, -77.18372735299994)"
"Residential Clean Energy Grant Program","Solar PV","2014-06-27T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2013-07-24T00:00:00.000","2013-11-19T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","6.3","kW","21700","Purchased","Laurel","20723","Howard","
Laurel, Maryland 20723
(39.127289156000074, -76.85436724599998)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-08T00:00:00.000","2014-09-11T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","9.6","kW","35330","Purchased","Lothian","20711","Anne Arundel","
Lothian, Maryland 20711
(38.80348631100003, -76.65940684899994)"
"Residential Clean Energy Grant Program","Solar PV","2014-07-21T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-05-15T00:00:00.000","2014-05-22T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","6.5","kW","26325","Purchased","Saint Leonard","20685","Calvert","
Saint Leonard, Maryland 20685
(38.450619724000035, -76.50614981499996)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","500.00","2014-10-24T00:00:00.000","2014-11-03T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","500.00","35000","BTUs/hr","2249","Purchased","Stevensville","21666","Queen Anne's","
Stevensville, Maryland 21666
(38.93701702000004, -76.33129810399998)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-10-31T00:00:00.000","2014-11-14T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","50000","BTUs/hr","1488.83","Purchased","Huntingtown","20639","Calvert","
Huntingtown, Maryland 20639
(38.61067669200003, -76.59910686299997)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-10-31T00:00:00.000","2014-10-31T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","34400","BTUs/hr","3878.07","Purchased","Kingsville","21087","Harford","
Kingsville, Maryland 21087
(39.45222604700007, -76.41363595799999)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-11-01T00:00:00.000","2014-11-01T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","52460","BTUs/hr","4534.12","Purchased","Bel Air","21015","Harford","
Bel Air, Maryland 21015
(39.53091844200003, -76.31172819899996)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-10-22T00:00:00.000","2014-10-22T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","52000","BTUs/hr","6200","Purchased","Saint Leonard","20685","Calvert","
Saint Leonard, Maryland 20685
(38.450619724000035, -76.50614981499996)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-11-01T00:00:00.000","2014-11-02T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","49880","BTUs/hr","1939.07","Purchased","Jarrettsville","21084","Harford","
Jarrettsville, Maryland 21084
(39.613677762000066, -76.47504826599999)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-10-29T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-09-26T00:00:00.000","2014-09-26T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","52000","BTUs/hr","5558.3","Purchased","Abingdon","21009","Harford","
Abingdon, Maryland 21009
(39.47183940200006, -76.30175641199997)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-09-15T00:00:00.000","2014-09-23T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","43000","BTUs/hr","4083.24","Purchased","Leonardtown","20650","St. Mary's","
Leonardtown, Maryland 20650
(38.270236821000026, -76.62544628599994)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-10-03T00:00:00.000","2014-10-03T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","52460","BTUs/hr","4694.03","Purchased","Huntingtown","20639","Calvert","
Huntingtown, Maryland 20639
(38.61067669200003, -76.59910686299997)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-11-03T00:00:00.000","2014-11-03T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","68000","BTUs/hr","5669.84","Purchased","Prince Frederick","20678","Calvert","
Prince Frederick, Maryland 20678
(38.53302709900004, -76.59167690399994)"
"Residential Clean Energy Grant Program","Wood Burning Stove","2014-11-10T00:00:00.000","2014-11-24T00:00:00.000","700.00","2014-11-01T00:00:00.000","2014-11-01T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","700.00","50000","BTUs/hr","2440.84","Purchased","Dunkirk","20754","Calvert","
Dunkirk, Maryland 20754
(38.736508051000044, -76.65571793999999)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-24T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-07-28T00:00:00.000","2014-10-21T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","5.5","kW","22775","Purchased","Glen Burnie","21061","Anne Arundel","
Glen Burnie, Maryland 21061
(39.15703940900005, -76.62936982599996)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-27T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-08-01T00:00:00.000","2014-09-30T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","9.8000000000000007","kW","37240","Purchased","Hagerstown","21740","Washington","
Hagerstown, Maryland 21740
(39.63407756300006, -77.73109811099994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-28T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-09-29T00:00:00.000","2014-09-29T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","2","kW","16221","Purchased","Sykesville","21784","Carroll","
Sykesville, Maryland 21784
(39.39994694100005, -76.96244925799994)"
"Residential Clean Energy Grant Program","Solar PV","2014-09-20T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2013-12-30T00:00:00.000","2014-01-24T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","9.8000000000000007","kW","38000","Purchased","Beltsville","20705","Prince George's","
Beltsville, Maryland 20705
(39.047406230000036, -76.91870808699997)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-27T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-07-31T00:00:00.000","2014-09-13T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","3","kW","11527","Purchased","Severna Park","21146","Anne Arundel","
Severna Park, Maryland 21146
(39.08100615700005, -76.55652580899994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-22T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-09-02T00:00:00.000","2014-09-08T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","3","kW","26521","Purchased","Rocky Ridge","21778","Frederick","
Rocky Ridge, Maryland 21778
(39.62385811000007, -77.33472932899997)"
"Residential Clean Energy Grant Program","Geothermal","2014-10-29T00:00:00.000","2014-11-19T00:00:00.000","3000.00","2014-04-04T00:00:00.000","2014-07-30T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","3000.00","3","ton","26296","Purchased","Ijamsville","21754","Frederick","
Ijamsville, Maryland 21754
(39.33386809800004, -77.30524846699996)"
"Residential Clean Energy Grant Program","Solar PV","2014-09-03T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2013-11-29T00:00:00.000","2014-01-03T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","3.27","kW","16499","Purchased","Nottingham","21236","Baltimore","
Nottingham, Maryland 21236
(39.38926691800003, -76.48624968999997)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-29T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-09-29T00:00:00.000","2014-10-03T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","11","kW","66000","Purchased","PHOENIX","21131","Baltimore","
PHOENIX, Maryland 21131
(39.508267928000066, -76.56927839999997)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-15T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-09-25T00:00:00.000","2014-10-01T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","15.96","kW","51836","Purchased","Elkton","21921","Cecil","
Elkton, Maryland 21921
(39.62498781100004, -75.84664749999996)"
"Residential Clean Energy Grant Program","Solar PV","2014-08-25T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-07-01T00:00:00.000","2014-08-18T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","9.69","kW","30961","Purchased","Greenbelt","20770","Prince George's","
Greenbelt, Maryland 20770
(38.99959813400005, -76.88794979399995)"
"Residential Clean Energy Grant Program","Geothermal","2014-09-17T00:00:00.000","2014-11-19T00:00:00.000","3000.00","2014-05-17T00:00:00.000","2014-09-11T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","3","ton","33400","Purchased","Millersville","21108","Anne Arundel","
Millersville, Maryland 21108
(39.100428332000035, -76.62169654699994)"
"Residential Clean Energy Grant Program","Solar PV","2014-09-02T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-07-22T00:00:00.000","2014-07-25T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","8.83","kW","34360","Purchased","Parkton","21120","Baltimore","
Parkton, Maryland 21120
(39.64775998500005, -76.67041709299997)"
"Residential Clean Energy Grant Program","Geothermal","2014-10-29T00:00:00.000","2014-11-19T00:00:00.000","3000.00","2014-09-09T00:00:00.000","2014-10-24T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","3","ton","23655","Purchased","Pasadena","21122","Anne Arundel","
Pasadena, Maryland 21122
(39.12741950600008, -76.51930649199994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-28T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-10-14T00:00:00.000","2014-10-27T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","6.76","kW","25950","Purchased","Fallston","21047","Harford","
Fallston, Maryland 21047
(39.52147674500003, -76.42653627899995)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-27T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-08-21T00:00:00.000","2014-08-21T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","2","kW","17121","Purchased","Upper Marlboro","20774","Prince George's","
Upper Marlboro, Maryland 20774
(38.88555912000004, -76.80645921499996)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-27T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-10-02T00:00:00.000","2014-10-03T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","4","kW","30000","Purchased","Glenn Dale","20769","Prince George's","
Glenn Dale, Maryland 20769
(38.98073646600005, -76.80882724299994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-24T00:00:00.000","2014-11-19T00:00:00.000","1000.00","2014-10-07T00:00:00.000","2014-10-07T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","1000.00","2","kW","13521","Purchased","Perryville","21903","Cecil","
Perryville, Maryland 21903
(39.567377383000064, -76.05853603899999)"
