"month","strategy_d_metric_1_number_of_veterans_and_their_families_served_by_the_mental_hygiene_administration","strategy_d_metric_1_analysis","strategy_d_metric_1_correlations"
"12-May","338","Percent Change Since Previous Month: 9%. Absolute Change Since Previous Month: 28. Rolling Twelve Month Mean: 335.2. Mean to Date: 335.2. Median to Date: 342. Rolling Twelve Month Sum: 3352. Sum to Date: 3352. The Magnitude of the Change this Month is 1.07x the Magnitude of the Average Monthly Change (26.13).","No Correlations Lower than the 0.1 Level were Found."
"12-Jun","310","Percent Change Since Previous Month: -8%. Absolute Change Since Previous Month: -28. Rolling Twelve Month Mean: 332.91. Mean to Date: 332.91. Median to Date: 338. Rolling Twelve Month Sum: 3662. Sum to Date: 3662. The Magnitude of the Change this Month is 1.06x the Magnitude of the Average Monthly Change (26.33).","No Correlations Lower than the 0.1 Level were Found."
"12-Jul","337","Percent Change Since Previous Month: 9%. Absolute Change Since Previous Month: 27. Rolling Twelve Month Mean: 331.09. Mean to Date: 333.25. Median to Date: 337.5. Rolling Twelve Month Sum: 3642. Sum to Date: 3999. The Magnitude of the Change this Month is 1.02x the Magnitude of the Average Monthly Change (26.4).","No Correlations Lower than the 0.1 Level were Found."
"12-Aug","290","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -14%. Absolute Change Since Previous Month: -47. Rolling Twelve Month Mean: 323.73. Mean to Date: 329.92. Median to Date: 337. Rolling Twelve Month Sum: 3561. Sum to Date: 4289. The Magnitude of the Change this Month is 1.66x the Magnitude of the Average Monthly Change (28.27).","No Correlations Lower than the 0.1 Level were Found."
"12-Sep","301","Percent Change Since Previous Month: 4%. Absolute Change Since Previous Month: 11. Rolling Twelve Month Mean: 319.64. Mean to Date: 327.86. Median to Date: 335. Rolling Twelve Month Sum: 3516. Sum to Date: 4590. The Magnitude of the Change this Month is 0.41x the Magnitude of the Average Monthly Change (26.83).","Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 14, r = -0.48, p = 0.081*) "
"12-Oct","326","Percent Change Since Previous Month: 8%. Absolute Change Since Previous Month: 25. Rolling Twelve Month Mean: 316.09. Mean to Date: 327.73. Median to Date: 333. Rolling Twelve Month Sum: 3477. Sum to Date: 4916. The Magnitude of the Change this Month is 0.94x the Magnitude of the Average Monthly Change (26.69).","No Correlations Lower than the 0.1 Level were Found."
"12-Nov","269","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -17%. Absolute Change Since Previous Month: -57. Rolling Twelve Month Mean: 308.36. Mean to Date: 324.06. Median to Date: 329.5. Rolling Twelve Month Sum: 3392. Sum to Date: 5185. The Magnitude of the Change this Month is 1.98x the Magnitude of the Average Monthly Change (28.86).","Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 16, r = -0.53, p = 0.037*) "
"12-Dec","268","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: -1. Rolling Twelve Month Mean: 308.09. Mean to Date: 320.76. Median to Date: 326. Rolling Twelve Month Sum: 3389. Sum to Date: 5453. The Magnitude of the Change this Month is 0.04x the Magnitude of the Average Monthly Change (27).","Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 17, r = -0.58, p = 0.015*) "
"13-Jan","307","Percent Change Since Previous Month: 15%. Absolute Change Since Previous Month: 39. Rolling Twelve Month Mean: 308. Mean to Date: 320. Median to Date: 318. Rolling Twelve Month Sum: 3696. Sum to Date: 5760. The Magnitude of the Change this Month is 1.41x the Magnitude of the Average Monthly Change (27.75).","Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 18, r = -0.58, p = 0.012*) "
"13-Feb","285","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -7%. Absolute Change Since Previous Month: -22. Rolling Twelve Month Mean: 304. Mean to Date: 318.16. Median to Date: 310. Rolling Twelve Month Sum: 3648. Sum to Date: 6045. The Magnitude of the Change this Month is 0.8x the Magnitude of the Average Monthly Change (27.41).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 19, r = -0.39, p = 0.098*) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 19, r = -0.6, p = 0.007**) "
"13-Mar","240","More than 2 Standard Deviations Below the Mean. Percent Change Since Previous Month: -16%. Absolute Change Since Previous Month: -45. Rolling Twelve Month Mean: 298.42. Mean to Date: 314.25. Median to Date: 310. Rolling Twelve Month Sum: 3581. Sum to Date: 6285. The Magnitude of the Change this Month is 1.59x the Magnitude of the Average Monthly Change (28.39).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 20, r = -0.57, p = 0.009**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 16, r = 0.43, p = 0.092*) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 20, r = -0.63, p = 0.003**) "
"13-Apr","240","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: 0. Rolling Twelve Month Mean: 292.58. Mean to Date: 310.71. Median to Date: 310. Rolling Twelve Month Sum: 3511. Sum to Date: 6525. The Magnitude of the Change this Month is 0x the Magnitude of the Average Monthly Change (26.89).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 21, r = -0.58, p = 0.005**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 21, r = -0.66, p = 0.001**) "
"13-May","286","Percent Change Since Previous Month: 19%. Absolute Change Since Previous Month: 46. Rolling Twelve Month Mean: 288.25. Mean to Date: 309.59. Median to Date: 308.5. Rolling Twelve Month Sum: 3459. Sum to Date: 6811. The Magnitude of the Change this Month is 1.65x the Magnitude of the Average Monthly Change (27.85).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 22, r = -0.55, p = 0.008**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 22, r = -0.67, p = 0.001***) "
"13-Jun","300","Percent Change Since Previous Month: 5%. Absolute Change Since Previous Month: 14. Rolling Twelve Month Mean: 287.42. Mean to Date: 309.17. Median to Date: 307. Rolling Twelve Month Sum: 3449. Sum to Date: 7111. The Magnitude of the Change this Month is 0.51x the Magnitude of the Average Monthly Change (27.19).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 23, r = -0.55, p = 0.007**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 23, r = -0.65, p = 0.001***) "
"13-Jul","291","Percent Change Since Previous Month: -3%. Absolute Change Since Previous Month: -9. Rolling Twelve Month Mean: 283.58. Mean to Date: 308.42. Median to Date: 307. Rolling Twelve Month Sum: 3403. Sum to Date: 7402. The Magnitude of the Change this Month is 0.34x the Magnitude of the Average Monthly Change (26.36).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 24, r = -0.55, p = 0.006**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 24, r = -0.36, p = 0.082*) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 24, r = -0.65, p = 0.001***) "
"13-Aug","274","Percent Change Since Previous Month: -6%. Absolute Change Since Previous Month: -17. Rolling Twelve Month Mean: 282.25. Mean to Date: 307.04. Median to Date: 307. Rolling Twelve Month Sum: 3387. Sum to Date: 7676. The Magnitude of the Change this Month is 0.65x the Magnitude of the Average Monthly Change (25.96).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 25, r = -0.49, p = 0.014*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 25, r = -0.4, p = 0.049*) "
"13-Sep","285","Percent Change Since Previous Month: 4%. Absolute Change Since Previous Month: 11. Rolling Twelve Month Mean: 280.92. Mean to Date: 306.19. Median to Date: 304. Rolling Twelve Month Sum: 3371. Sum to Date: 7961. The Magnitude of the Change this Month is 0.43x the Magnitude of the Average Monthly Change (25.33).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 26, r = -0.49, p = 0.01*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 26, r = -0.4, p = 0.04*) "
"13-Oct","296","Percent Change Since Previous Month: 4%. Absolute Change Since Previous Month: 11. Rolling Twelve Month Mean: 278.42. Mean to Date: 305.81. Median to Date: 301. Rolling Twelve Month Sum: 3341. Sum to Date: 8257. The Magnitude of the Change this Month is 0.44x the Magnitude of the Average Monthly Change (24.76).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 27, r = -0.49, p = 0.009**) "
"13-Nov","270","Percent Change Since Previous Month: -9%. Absolute Change Since Previous Month: -26. Rolling Twelve Month Mean: 278.5. Mean to Date: 304.54. Median to Date: 300.5. Rolling Twelve Month Sum: 3342. Sum to Date: 8527. The Magnitude of the Change this Month is 1.05x the Magnitude of the Average Monthly Change (24.81).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 28, r = -0.48, p = 0.009**) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 28, r = -0.33, p = 0.09*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 28, r = -0.36, p = 0.063*) "
"13-Dec","222","More than 2 Standard Deviations Below the Mean. Percent Change Since Previous Month: -18%. Absolute Change Since Previous Month: -48. Rolling Twelve Month Mean: 274.67. Mean to Date: 301.69. Median to Date: 300. Rolling Twelve Month Sum: 3296. Sum to Date: 8749. The Magnitude of the Change this Month is 1.87x the Magnitude of the Average Monthly Change (25.67).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 29, r = -0.48, p = 0.008**) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 29, r = -0.39, p = 0.038*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 25, r = -0.5, p = 0.012*) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 29, r = -0.59, p = 0.001***) "
"14-Jan","270","Percent Change Since Previous Month: 22%. Absolute Change Since Previous Month: 48. Rolling Twelve Month Mean: 271.58. Mean to Date: 300.63. Median to Date: 298. Rolling Twelve Month Sum: 3259. Sum to Date: 9019. The Magnitude of the Change this Month is 1.81x the Magnitude of the Average Monthly Change (26.46).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 30, r = -0.46, p = 0.012*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 30, r = -0.41, p = 0.026*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 26, r = -0.5, p = 0.009**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 30, r = -0.58, p = 0.001***) "
"14-Feb","255","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -6%. Absolute Change Since Previous Month: -15. Rolling Twelve Month Mean: 269.08. Mean to Date: 299.16. Median to Date: 296. Rolling Twelve Month Sum: 3229. Sum to Date: 9274. The Magnitude of the Change this Month is 0.58x the Magnitude of the Average Monthly Change (26.07).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 31, r = -0.46, p = 0.009**) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 31, r = -0.45, p = 0.011*) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 31, r = -0.31, p = 0.089*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 27, r = -0.51, p = 0.006**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 31, r = -0.56, p = 0.001**) "
"14-Mar","279","Percent Change Since Previous Month: 9%. Absolute Change Since Previous Month: 24. Rolling Twelve Month Mean: 272.33. Mean to Date: 298.53. Median to Date: 293.5. Rolling Twelve Month Sum: 3268. Sum to Date: 9553. The Magnitude of the Change this Month is 0.92x the Magnitude of the Average Monthly Change (26).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 32, r = -0.47, p = 0.007**) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 32, r = -0.45, p = 0.009**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 32, r = -0.32, p = 0.072*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 28, r = -0.51, p = 0.005**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 32, r = -0.56, p = 0.001***) "
"14-Apr","298","Percent Change Since Previous Month: 7%. Absolute Change Since Previous Month: 19. Rolling Twelve Month Mean: 277.17. Mean to Date: 298.52. Median to Date: 296. Rolling Twelve Month Sum: 3326. Sum to Date: 9851. The Magnitude of the Change this Month is 0.74x the Magnitude of the Average Monthly Change (25.77).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 33, r = -0.36, p = 0.041*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 33, r = -0.45, p = 0.008**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 33, r = -0.31, p = 0.081*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 29, r = -0.48, p = 0.008**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 33, r = -0.56, p = 0.001***) "
"14-May","266","Percent Change Since Previous Month: -11%. Absolute Change Since Previous Month: -32. Rolling Twelve Month Mean: 275.5. Mean to Date: 297.56. Median to Date: 293.5. Rolling Twelve Month Sum: 3306. Sum to Date: 10117. The Magnitude of the Change this Month is 1.23x the Magnitude of the Average Monthly Change (25.97).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 34, r = -0.36, p = 0.037*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 34, r = -0.47, p = 0.005**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 34, r = -0.33, p = 0.057*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 30, r = -0.5, p = 0.005**) "
"14-Jun","260","Percent Change Since Previous Month: -2%. Absolute Change Since Previous Month: -6. Rolling Twelve Month Mean: 272.17. Mean to Date: 296.49. Median to Date: 291. Rolling Twelve Month Sum: 3266. Sum to Date: 10377. The Magnitude of the Change this Month is 0.24x the Magnitude of the Average Monthly Change (25.36).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 35, r = -0.32, p = 0.062*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 35, r = -0.47, p = 0.004**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 35, r = -0.37, p = 0.03*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 31, r = -0.52, p = 0.003**) "
"14-Jul","285","Percent Change Since Previous Month: 10%. Absolute Change Since Previous Month: 25. Rolling Twelve Month Mean: 271.67. Mean to Date: 296.17. Median to Date: 290.5. Rolling Twelve Month Sum: 3260. Sum to Date: 10662. The Magnitude of the Change this Month is 0.99x the Magnitude of the Average Monthly Change (25.35).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 36, r = -0.31, p = 0.064*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 36, r = -0.47, p = 0.004**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 36, r = -0.37, p = 0.026*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 32, r = -0.49, p = 0.004**) "
"14-Aug","275","Percent Change Since Previous Month: -4%. Absolute Change Since Previous Month: -10. Rolling Twelve Month Mean: 271.75. Mean to Date: 295.59. Median to Date: 290. Rolling Twelve Month Sum: 3261. Sum to Date: 10937. The Magnitude of the Change this Month is 0.4x the Magnitude of the Average Monthly Change (24.91).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 37, r = -0.3, p = 0.072*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 37, r = -0.46, p = 0.004**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 37, r = -0.37, p = 0.023*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 33, r = -0.5, p = 0.003**) "
"14-Sep","279","Percent Change Since Previous Month: 1%. Absolute Change Since Previous Month: 4. Rolling Twelve Month Mean: 271.25. Mean to Date: 295.16. Median to Date: 288. Rolling Twelve Month Sum: 3255. Sum to Date: 11216. The Magnitude of the Change this Month is 0.16x the Magnitude of the Average Monthly Change (24.33).","Key Outcome 1. Number of veterans and family members linked to behavioral health services through the public mental health system  (MHA and ADAA). (N = 38, r = -0.31, p = 0.062*) ... Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 38, r = -0.46, p = 0.004**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 38, r = -0.37, p = 0.023*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 34, r = -0.5, p = 0.003**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 38, r = -0.52, p = 0.001***) "
