"month","strategy_a_metric_3_number_of_referrals_received_from_local_health_departments","strategy_a_metric_3_analysis","strategy_a_metric_3_correlations"
"13-Mar","80","Percent Change Since Previous Month: -13%. Absolute Change Since Previous Month: -12. Rolling Twelve Month Mean: 132. Mean to Date: 132. Median to Date: 92. Rolling Twelve Month Sum: 1452. Sum to Date: 1452. The Magnitude of the Change this Month is 0.13x the Magnitude of the Average Monthly Change (89.1).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 8, r = 0.91, p = 0.002**) "
"13-Apr","80","Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: 0. Rolling Twelve Month Mean: 127.67. Mean to Date: 127.67. Median to Date: 86. Rolling Twelve Month Sum: 1532. Sum to Date: 1532. The Magnitude of the Change this Month is 0x the Magnitude of the Average Monthly Change (81).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 9, r = 0.81, p = 0.008**) "
"13-May","97","Percent Change Since Previous Month: 21%. Absolute Change Since Previous Month: 17. Rolling Twelve Month Mean: 133. Mean to Date: 125.31. Median to Date: 92. Rolling Twelve Month Sum: 1596. Sum to Date: 1629. The Magnitude of the Change this Month is 0.22x the Magnitude of the Average Monthly Change (75.67).","No Correlations Lower than the 0.1 Level were Found."
"13-Jun","138","Percent Change Since Previous Month: 42%. Absolute Change Since Previous Month: 41. Rolling Twelve Month Mean: 130.58. Mean to Date: 126.21. Median to Date: 94.5. Rolling Twelve Month Sum: 1567. Sum to Date: 1767. The Magnitude of the Change this Month is 0.56x the Magnitude of the Average Monthly Change (73).","No Correlations Lower than the 0.1 Level were Found."
"13-Jul","86","Percent Change Since Previous Month: -38%. Absolute Change Since Previous Month: -52. Rolling Twelve Month Mean: 131.17. Mean to Date: 123.53. Median to Date: 92. Rolling Twelve Month Sum: 1574. Sum to Date: 1853. The Magnitude of the Change this Month is 0.73x the Magnitude of the Average Monthly Change (71.5).","Key Outcome 3. Number of veterans linked to behavioral health services through community providers. (Begin tracking April 2013) (N = 4, r = -0.97, p = 0.027*) "
"13-Aug","73","Percent Change Since Previous Month: -15%. Absolute Change Since Previous Month: -13. Rolling Twelve Month Mean: 132.83. Mean to Date: 120.38. Median to Date: 89. Rolling Twelve Month Sum: 1594. Sum to Date: 1926. The Magnitude of the Change this Month is 0.19x the Magnitude of the Average Monthly Change (67.6).","Strategy C Metric 3. Number of veterans linked to employment (N = 16, r = -0.45, p = 0.078*) "
"13-Sep","110","Percent Change Since Previous Month: 51%. Absolute Change Since Previous Month: 37. Rolling Twelve Month Mean: 135.42. Mean to Date: 119.76. Median to Date: 92. Rolling Twelve Month Sum: 1625. Sum to Date: 2036. The Magnitude of the Change this Month is 0.56x the Magnitude of the Average Monthly Change (65.69).","Strategy C Metric 3. Number of veterans linked to employment (N = 17, r = -0.44, p = 0.077*) "
"13-Oct","493","More than 3 Standard Deviations Above the Mean. Percent Change Since Previous Month: 348%. Absolute Change Since Previous Month: 383. Rolling Twelve Month Mean: 150.17. Mean to Date: 140.5. Median to Date: 94.5. Rolling Twelve Month Sum: 1802. Sum to Date: 2529. The Magnitude of the Change this Month is 4.54x the Magnitude of the Average Monthly Change (84.35).","Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 18, r = 0.44, p = 0.071*) ... Strategy C Metric 2. Number of veterans linked to medical services  (N = 18, r = 0.56, p = 0.015*) "
"13-Nov","111","Percent Change Since Previous Month: -77%. Absolute Change Since Previous Month: -382. Rolling Twelve Month Mean: 138.5. Mean to Date: 138.95. Median to Date: 97. Rolling Twelve Month Sum: 1662. Sum to Date: 2640. The Magnitude of the Change this Month is 3.79x the Magnitude of the Average Monthly Change (100.89).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 16, r = 0.43, p = 0.099*) ... Strategy C Metric 2. Number of veterans linked to medical services  (N = 19, r = 0.47, p = 0.041*) "
"13-Dec","94","Percent Change Since Previous Month: -15%. Absolute Change Since Previous Month: -17. Rolling Twelve Month Mean: 136.75. Mean to Date: 136.7. Median to Date: 95.5. Rolling Twelve Month Sum: 1641. Sum to Date: 2734. The Magnitude of the Change this Month is 0.18x the Magnitude of the Average Monthly Change (96.47).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 17, r = 0.42, p = 0.095*) "
"14-Jan","86","Percent Change Since Previous Month: -9%. Absolute Change Since Previous Month: -8. Rolling Twelve Month Mean: 128.33. Mean to Date: 134.29. Median to Date: 94. Rolling Twelve Month Sum: 1540. Sum to Date: 2820. The Magnitude of the Change this Month is 0.09x the Magnitude of the Average Monthly Change (92.05).","No Correlations Lower than the 0.1 Level were Found."
"14-Feb","65","Percent Change Since Previous Month: -24%. Absolute Change Since Previous Month: -21. Rolling Twelve Month Mean: 126.08. Mean to Date: 131.14. Median to Date: 93. Rolling Twelve Month Sum: 1513. Sum to Date: 2885. The Magnitude of the Change this Month is 0.24x the Magnitude of the Average Monthly Change (88.67).","No Correlations Lower than the 0.1 Level were Found."
"14-Mar","47","Percent Change Since Previous Month: -28%. Absolute Change Since Previous Month: -18. Rolling Twelve Month Mean: 123.33. Mean to Date: 127.48. Median to Date: 92. Rolling Twelve Month Sum: 1480. Sum to Date: 2932. The Magnitude of the Change this Month is 0.21x the Magnitude of the Average Monthly Change (85.45).","No Correlations Lower than the 0.1 Level were Found."
"14-Apr","62","Percent Change Since Previous Month: 32%. Absolute Change Since Previous Month: 15. Rolling Twelve Month Mean: 121.83. Mean to Date: 124.75. Median to Date: 89. Rolling Twelve Month Sum: 1462. Sum to Date: 2994. The Magnitude of the Change this Month is 0.18x the Magnitude of the Average Monthly Change (82.39).","No Correlations Lower than the 0.1 Level were Found."
"14-May","44","Percent Change Since Previous Month: -29%. Absolute Change Since Previous Month: -18. Rolling Twelve Month Mean: 117.42. Mean to Date: 121.52. Median to Date: 86. Rolling Twelve Month Sum: 1409. Sum to Date: 3038. The Magnitude of the Change this Month is 0.23x the Magnitude of the Average Monthly Change (79.71).","No Correlations Lower than the 0.1 Level were Found."
"14-Jun","22","Percent Change Since Previous Month: -50%. Absolute Change Since Previous Month: -22. Rolling Twelve Month Mean: 107.75. Mean to Date: 117.69. Median to Date: 86. Rolling Twelve Month Sum: 1293. Sum to Date: 3060. The Magnitude of the Change this Month is 0.28x the Magnitude of the Average Monthly Change (77.4).","No Correlations Lower than the 0.1 Level were Found."
"14-Jul","97","Percent Change Since Previous Month: 341%. Absolute Change Since Previous Month: 75. Rolling Twelve Month Mean: 108.67. Mean to Date: 116.93. Median to Date: 86. Rolling Twelve Month Sum: 1304. Sum to Date: 3157. The Magnitude of the Change this Month is 0.97x the Magnitude of the Average Monthly Change (77.31).","Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 27, r = -0.32, p = 0.099*) "
"14-Aug","83","Percent Change Since Previous Month: -14%. Absolute Change Since Previous Month: -14. Rolling Twelve Month Mean: 109.5. Mean to Date: 115.71. Median to Date: 86. Rolling Twelve Month Sum: 1314. Sum to Date: 3240. The Magnitude of the Change this Month is 0.19x the Magnitude of the Average Monthly Change (74.96).","No Correlations Lower than the 0.1 Level were Found."
"14-Sep","115","Percent Change Since Previous Month: 39%. Absolute Change Since Previous Month: 32. Rolling Twelve Month Mean: 109.92. Mean to Date: 115.69. Median to Date: 86. Rolling Twelve Month Sum: 1319. Sum to Date: 3355. The Magnitude of the Change this Month is 0.44x the Magnitude of the Average Monthly Change (73.43).","Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 29, r = -0.31, p = 0.097*) "
