"title","event_start","event_end","subcategory_1","subcategory_2","location"
"35 Spring Street Drone Imagery","2017-04-04T00:00:00.000","2017-04-04T00:00:00.000","Filming - Other",,"Fitzroy Gardens, Treasury Gardens"
"Nike Photoshoot","2014-01-08T00:00:00.000","2014-01-09T00:00:00.000","Filming - Photo shoot",,"Carlton Gardens, Queensbridge Square"
"Mazda BT50 Photography","2014-01-11T00:00:00.000","2014-01-12T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"Myer Mens Photo Shoot","2014-02-17T00:00:00.000","2014-02-19T00:00:00.000","Filming - Photo shoot",,"Bourke Street, Spring Street, Crossley Street, Meyers Place (Green Laneway), Punch Lane, Ridgway Place, Windsor Place"
"Wedding Ceremony","2014-05-31T00:00:00.000","2014-05-31T00:00:00.000","Wedding",,"Carlton Gardens"
"Flemington Grazing Trail Photo Shoot","2014-03-07T00:00:00.000","2014-03-07T00:00:00.000","Filming - Photo shoot",,"Union Lane"
"2xu Photo Shoot","2014-03-14T00:00:00.000","2014-03-21T00:00:00.000","Filming - Photo shoot",,"Privately Managed Event Spaces"
"Honda City Photo Shoot","2014-03-23T00:00:00.000","2014-03-31T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"Honda City Photo Shoot","2014-03-29T00:00:00.000","2014-03-30T00:00:00.000","Filming - Photo shoot",,"Flinders Lane, Bank Place"
"Aboriginal Tourism Victoria","2014-04-17T00:00:00.000","2014-04-17T00:00:00.000","Filming - Photo shoot",,"Birrarung Marr"
"Reece Plumbing Diary Photography","2014-04-29T00:00:00.000","2014-04-29T00:00:00.000","Filming - Photo shoot",,"Guildford Lane (Green Laneway("
"Vic Uni","2014-05-08T00:00:00.000","2014-05-08T00:00:00.000","Filming - Photo shoot",,"Evan Walker Bridge"
"Holmesglen Photo Shoot","2014-05-12T00:00:00.000","2014-05-14T00:00:00.000","Filming - Photo shoot",,"Birrarung Marr"
"Work Cover","2014-05-14T00:00:00.000","2014-05-14T00:00:00.000","Filming - Photo shoot",,"Inner Suburb Locations"
"Equus SS14","2014-05-21T00:00:00.000","2014-05-23T00:00:00.000","Filming - Photo shoot",,"Carlton Gardens"
"Feathers Ss14","2014-05-27T00:00:00.000","2014-05-28T00:00:00.000","Filming - Photo shoot",,"Treasury Gardens, Other Park Locations"
"Tourism Australia","2014-06-12T00:00:00.000","2014-06-15T00:00:00.000","Filming - Photo shoot",,"Flinders Street"
"HSV MY15 Photo Shoot","2014-08-08T00:00:00.000","2014-08-08T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"Floate Photoshoot","2014-09-16T00:00:00.000","2014-09-16T00:00:00.000","Filming - Photo shoot",,"Centre Place"
"Mazda Stills","2014-09-23T00:00:00.000","2014-09-23T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"Jaggad Photoshoot","2014-10-02T00:00:00.000","2014-10-02T00:00:00.000","Filming - Photo shoot",,"Rainbow Alley, Royal Lane"
"Energy Australia Photo Shoot","2014-10-09T00:00:00.000","2014-10-09T00:00:00.000","Filming - Photo shoot",,"Flagstaff Gardens"
"Honda HRV Photo Shoot","2014-11-26T00:00:00.000","2014-11-26T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"Photoshoot - Kiss FM","2014-12-10T00:00:00.000","2014-12-10T00:00:00.000","Filming - Photo shoot",,"Inner Suburb Locations, ACDC Lane"
"Mazda 3 Stills","2015-01-31T00:00:00.000","2015-02-01T00:00:00.000","Filming - Photo shoot",,"Flinders Lane, Little Bourke Street, Little Collins Street, Spring Street"
"Just Jeans Photography","2015-02-05T00:00:00.000","2015-02-06T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"Filming- Kmart Easter Catalogue","2015-02-17T00:00:00.000","2015-02-17T00:00:00.000","Filming - Photo shoot",,"Fawkner Park"
"Toyota Plate Shots","2015-02-25T00:00:00.000","2015-02-26T00:00:00.000","Filming - Photo shoot",,"Treasury Gardens"
"Toyota Plate Shots","2015-03-01T00:00:00.000","2015-03-01T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"Black Magic Design Cameras","2015-03-30T00:00:00.000","2015-03-31T00:00:00.000","Filming - Photo shoot",,"Fitzroy Gardens, All Other Spaces"
"Myer Miss Shop","2015-04-14T00:00:00.000","2015-04-14T00:00:00.000","Filming - Photo shoot",,"Inner Suburb Locations"
"Australian Unity Photography","2015-04-15T00:00:00.000","2015-04-15T00:00:00.000","Filming - Photo shoot",,"Fitzroy Gardens"
"Maserati Magazine Photoshoot","2015-05-14T00:00:00.000","2015-05-15T00:00:00.000","Filming - Photo shoot",,"Parks"
"Mazda MX5 Photography","2015-05-31T00:00:00.000","2015-06-01T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"Mso Herald Sun Photoshoot","2015-07-23T00:00:00.000","2015-07-23T00:00:00.000","Filming - Photo shoot",,"ACDC Lane"
"Dryburgh Street Photo Shoot","2015-08-11T00:00:00.000","2015-08-11T00:00:00.000","Filming - Photo shoot",,"Inner Suburb Locations"
"Saba Summer 15/16 Campaign","2015-08-26T00:00:00.000","2015-08-26T00:00:00.000","Filming - Photo shoot",,"Centre Place, Degraves Street"
"Toyota 86 Photo Shoot","2015-08-28T00:00:00.000","2015-08-29T00:00:00.000","Filming - Photo shoot",,"Roads / Public Access Spaces"
"VRC Herald Sun Photo Shoot","2015-08-31T00:00:00.000","2015-08-31T00:00:00.000","Filming - Photo shoot",,"Flagstaff Gardens"
"Deakin Uni Photo Shoot","2015-09-11T00:00:00.000","2015-09-14T00:00:00.000","Filming - Photo shoot",,"Centre Place"
"Deakin Uni Photo Shoot","2015-09-18T00:00:00.000","2015-09-18T00:00:00.000","Filming - Photo shoot",,"Bourke Street, Swanston Street"
"Nab Lifestyle Image Library Stills","2015-10-22T00:00:00.000","2015-10-23T00:00:00.000","Filming - Photo shoot",,"Inner Suburb Locations"
"Millswyn Fashion Photoshoot","2015-11-23T00:00:00.000","2015-11-24T00:00:00.000","Filming - Photo shoot",,"Queen Victoria Gardens"
"Holden Spark","2015-12-07T00:00:00.000","2015-12-07T00:00:00.000","Filming - Photo shoot",,"Queen Victoria Gardens"
"Agl Electric Vehicle","2015-12-08T00:00:00.000","2015-12-08T00:00:00.000","Filming - Photo shoot",,"Bridges, All Other Spaces"
"Taxi Services Photography","2016-02-08T00:00:00.000","2016-02-12T00:00:00.000","Filming - Photo shoot",,"St Kilda Road, Bridges, Meyers Place (Green Laneway)"
"Hesta Corporate Portraits -","2016-03-31T00:00:00.000","2016-03-31T00:00:00.000","Filming - Photo shoot",,"Treasury Gardens, Other Park Locations"
"Eastbourne Property Marketing","2016-04-14T00:00:00.000","2016-04-15T00:00:00.000","Filming - Photo shoot",,"Fitzroy Gardens"
"Holden Commodore Black Photos","2016-04-21T00:00:00.000","2016-04-22T00:00:00.000","Filming - Photo shoot",,"Franklin Street"
"Pop Up Runway","2016-05-25T00:00:00.000","2016-05-25T00:00:00.000","Filming - Photo shoot",,"Bourke Street, Collins Street, Swanston Street"
"Redbubble Fashion Photoshoot","2016-06-15T00:00:00.000","2016-06-16T00:00:00.000","Filming - Photo shoot",,"Carlton Gardens, Other Park Locations, Inner Suburb Locations"
"Allure Magazine Photoshoot","2016-07-28T00:00:00.000","2016-07-28T00:00:00.000","Filming - Photo shoot",,"Carlton Gardens, Elizabeth Street, Flinders Lane, Inner Suburb Locations, Centre Place, Degraves Street, Hosier Lane"
"Ptv Stills","2016-08-12T00:00:00.000","2016-08-20T00:00:00.000","Filming - Photo shoot",,"Inner Suburb Locations, Promotional Sites"
"Falun Dafa Character Formation","2016-09-03T00:00:00.000","2016-09-03T00:00:00.000","Filming - Photo shoot",,"Fitzroy Gardens"
"Royal Melbourne Show","2016-09-15T00:00:00.000","2016-09-15T00:00:00.000","Filming - Photo shoot",,"Queensbridge Square"
"Mpavilion Uav Shoot","2016-09-30T00:00:00.000","2016-10-02T00:00:00.000","Filming - Photo shoot",,"Queen Victoria Gardens"
"Smiling Minds Mass Meditation","2016-10-07T00:00:00.000","2016-10-07T00:00:00.000","Filming - Photo shoot",,"Birrarung Marr"
"Myer Aw17","2016-11-28T00:00:00.000","2016-11-29T00:00:00.000","Filming - Photo shoot",,"Carlton Gardens"
"Sussan Campaign","2016-11-29T00:00:00.000","2016-11-30T00:00:00.000","Filming - Photo shoot",,"Other Park Locations, Collins Street, Russell Street, Inner Suburb Locations, Ridgway Place"
"Myer Christmas Windows","2016-12-04T00:00:00.000","2016-12-14T00:00:00.000","Filming - Photo shoot",,"Bourke Street, Bourke St Mall - next to Tourism booth"
"Crown","2016-12-09T00:00:00.000","2016-12-09T00:00:00.000","Filming - Photo shoot",,"Bridges"
"Isuzu","2017-01-23T00:00:00.000","2017-01-24T00:00:00.000","Filming - Photo shoot",,"All Other Spaces"
"Micchecker","2017-02-01T00:00:00.000","2017-02-05T00:00:00.000","Filming - Photo shoot",,"Inner Suburb Locations"
"Holden Trax","2017-02-11T00:00:00.000","2017-02-12T00:00:00.000","Filming - Photo shoot",,"Treasury Gardens, Parks"
"Mecca Brands Photoshoot","2017-03-02T00:00:00.000","2017-03-02T00:00:00.000","Filming - Photo shoot",,"Little Collins Street, Russell Street"
"Australia Post","2017-03-07T00:00:00.000","2017-03-08T00:00:00.000","Filming - Photo shoot",,"Parks"
"Eyebrow/true White Bb","2017-03-15T00:00:00.000","2017-03-18T00:00:00.000","Filming - Photo shoot",,"Promotional Sites"
"Rubi Shoes May Campaign","2017-03-15T00:00:00.000","2017-03-15T00:00:00.000","Filming - Photo shoot",,"Collins Street, Queen Street, William Street"
"130th Year Anniversary Photo","2017-03-20T00:00:00.000","2017-03-20T00:00:00.000","Filming - Photo shoot",,"NMCC Soccer"
"Nike Run By Rebels","2017-04-19T00:00:00.000","2017-04-21T00:00:00.000","Filming - Photo shoot",,"Kings Domain, Flinders Lane, Bridges, Inner Suburb Locations, ACDC Lane, Celestial Avenue, Croft Alley, Duckboard Place, Rankins Lane, Stevenson Lane, Tattersalls Lane, Warburton Lane"
"Enterprize Park Uav Shoot","2016-08-22T00:00:00.000","2016-08-24T00:00:00.000","Filming - Photo shoot","Filming - Other","EP - Lawn 2"
"Arts Center Uav Shoot","2016-10-24T00:00:00.000","2016-10-26T00:00:00.000","Filming - Photo shoot","Filming - Other","Alexandra Gardens, Kings Domain"
"Daniel Ricciardo Photo And VisionOpportunity","2014-12-11T00:00:00.000","2014-12-11T00:00:00.000","Filming - Photo shoot","Public Event","Flinders Street, Flinders St Station"
"Do You Ever - Music Video","2014-05-03T00:00:00.000","2014-05-03T00:00:00.000","Filming - Student",,"Fitzroy Gardens"
"VCA - Student Short Film","2014-05-06T00:00:00.000","2014-05-06T00:00:00.000","Filming - Student",,"Fawkner Park"
"Chalk (student)","2014-07-05T00:00:00.000","2014-07-07T00:00:00.000","Filming - Student",,"Bourke Street, Flinders Lane, Little Bourke Street, Little Lonsdale Street, Queen Street, Guildford Lane (Green Laneway("
"Pulitzer","2014-07-13T00:00:00.000","2014-07-13T00:00:00.000","Filming - Student",,"Lingham Lane"
"ARYO","2014-07-15T00:00:00.000","2014-07-15T00:00:00.000","Filming - Student",,"Collins Street"
"ARYO (student)","2014-07-16T00:00:00.000","2014-07-17T00:00:00.000","Filming - Student",,"All Other Spaces"
"Match (student)","2014-07-21T00:00:00.000","2014-07-21T00:00:00.000","Filming - Student",,"Inner Suburb Locations"
"No One Hears The Screams (student)","2014-07-23T00:00:00.000","2014-07-23T00:00:00.000","Filming - Student",,"Flagstaff Gardens"
"Sister Mother Sister (student)","2014-07-23T00:00:00.000","2014-07-23T00:00:00.000","Filming - Student",,"Other Park Locations"
"O.D. (student)","2014-07-23T00:00:00.000","2014-07-23T00:00:00.000","Filming - Student",,"Croft Alley, Union Lane"
"Psychotherapy","2014-07-28T00:00:00.000","2014-07-29T00:00:00.000","Filming - Student",,"Inner Suburb Locations"
"Nothing To Write Home About (student)","2014-07-31T00:00:00.000","2014-07-31T00:00:00.000","Filming - Student",,"Inner Suburb Locations"
"VCA - Glitter","2014-08-16T00:00:00.000","2014-08-16T00:00:00.000","Filming - Student",,"Inner Suburb Locations"
"Swinburne - Breathe","2014-08-16T00:00:00.000","2014-08-16T00:00:00.000","Filming - Student",,"Other Laneways/Places/Alleys"
"Glitter","2014-08-17T00:00:00.000","2014-08-17T00:00:00.000","Filming - Student",,"La Trobe Street"
"VCA - It's All Okay","2014-08-22T00:00:00.000","2014-08-24T00:00:00.000","Filming - Student",,"Inner Suburb Locations"
"VCA - John And Belle","2014-08-29T00:00:00.000","2014-08-29T00:00:00.000","Filming - Student",,"Queen Victoria Gardens, St Kilda Road, Bridges"
"VCA - Artemis","2014-09-04T00:00:00.000","2014-09-08T00:00:00.000","Filming - Student",,"Corrs Lane, Roads / Public Access Spaces"
"Swinburne - Tin Man","2014-09-07T00:00:00.000","2014-09-07T00:00:00.000","Filming - Student",,"Campbell Arcade"
"Being A Good Bloke","2014-09-12T00:00:00.000","2014-09-13T00:00:00.000","Filming - Student",,"Other Park Locations"
"Hourglass (student)","2014-09-20T00:00:00.000","2014-09-20T00:00:00.000","Filming - Student",,"Flagstaff Gardens"
"The Waterer","2014-10-05T00:00:00.000","2014-10-07T00:00:00.000","Filming - Student",,"Argyle Square Stage Only, Other Park Locations"
"Rmit - Hourglass","2014-10-17T00:00:00.000","2014-10-17T00:00:00.000","Filming - Student",,"Flagstaff Gardens"
"Fever (student)","2014-10-19T00:00:00.000","2014-10-19T00:00:00.000","Filming - Student",,"All Other Spaces"
"Innocence (student)","2015-05-08T00:00:00.000","2015-05-08T00:00:00.000","Filming - Student",,"Princes Park , Inner Suburb Locations"
"Hospitality (student)","2015-06-25T00:00:00.000","2015-06-25T00:00:00.000","Filming - Student",,"Promotional Sites"
"After Today (student)","2015-07-31T00:00:00.000","2015-07-31T00:00:00.000","Filming - Student",,"Bridges, Promotional Sites"
"Hatchet Man (student)","2015-08-25T00:00:00.000","2015-08-28T00:00:00.000","Filming - Student",,"Campbell Arcade"
"Saint Paul (student)","2015-08-29T00:00:00.000","2015-08-30T00:00:00.000","Filming - Student",,"Fitzroy Gardens"
"Jilted","2015-09-07T00:00:00.000","2015-09-08T00:00:00.000","Filming - Student",,"Flagstaff Gardens"
"Cloud Gazer (student)","2015-09-09T00:00:00.000","2015-09-11T00:00:00.000","Filming - Student",,"Kings Domain"
"Theres's A Bluebird In My Heart(student)","2015-09-19T00:00:00.000","2015-09-19T00:00:00.000","Filming - Student",,"Royal Park"
"Swordcraft Tv","2015-11-13T00:00:00.000","2015-11-13T00:00:00.000","Filming - Student",,"Royal Park"
"Green Door (student)","2015-12-17T00:00:00.000","2015-12-22T00:00:00.000","Filming - Student",,"Carlton Gardens, Flinders Lane, Campbell Arcade, Centre Place"
"Adieu (student)","2016-04-18T00:00:00.000","2016-04-18T00:00:00.000","Filming - Student",,"Tom's Block"
"The Spirit","2016-06-03T00:00:00.000","2016-06-04T00:00:00.000","Filming - Student",,"Other Park Locations, Bridges"
"I Tip My Hat","2016-06-25T00:00:00.000","2016-06-30T00:00:00.000","Filming - Student",,"Kings Domain, Bridges"
"My Friend, The Clown","2016-08-25T00:00:00.000","2016-08-25T00:00:00.000","Filming - Student",,"Carlton Gardens"
"I Tip My Hat","2016-08-26T00:00:00.000","2016-09-04T00:00:00.000","Filming - Student",,"Kings Domain, Bridges"
"Dog Eats Dog","2016-09-02T00:00:00.000","2016-09-02T00:00:00.000","Filming - Student",,"Croft Alley, Paynes Place"
"Finality","2016-09-11T00:00:00.000","2016-09-11T00:00:00.000","Filming - Student",,"Carlton Gardens"
"The One Thousand Dollar Fruit Platter","2016-09-20T00:00:00.000","2016-09-20T00:00:00.000","Filming - Student",,"Corrs Lane"
"Pot Of Gold","2016-10-07T00:00:00.000","2016-10-09T00:00:00.000","Filming - Student",,"Inner Suburb Locations"
"I Tip My Hat","2016-10-16T00:00:00.000","2016-10-16T00:00:00.000","Filming - Student",,"Bridges"
"Icontrol","2016-11-14T00:00:00.000","2016-11-14T00:00:00.000","Filming - Student",,"Flagstaff Gardens"
"Connoisseurs","2016-12-01T00:00:00.000","2016-12-01T00:00:00.000","Filming - Student",,"Alexandra Gardens"
"Offspring S5","2014-01-06T00:00:00.000","2014-01-06T00:00:00.000","Filming - TV Series",,"Carlton Gardens"
"Offspring","2014-01-15T00:00:00.000","2014-01-15T00:00:00.000","Filming - TV Series",,"Carlton Gardens"
"House Husbands","2014-01-28T00:00:00.000","2014-01-28T00:00:00.000","Filming - TV Series",,"Other Park Locations, Inner Suburb Locations"
"Offspring Series 5","2014-02-03T00:00:00.000","2014-02-03T00:00:00.000","Filming - TV Series",,"Fitzroy Gardens"
"Offspring","2014-02-10T00:00:00.000","2014-02-10T00:00:00.000","Filming - TV Series",,"Fitzroy Gardens, Inner Suburb Locations"
"Time Of Our Lives Series 2","2014-02-14T00:00:00.000","2014-02-14T00:00:00.000","Filming - TV Series",,"Princes Park"
"Please Like Me Series 2","2014-02-27T00:00:00.000","2014-02-27T00:00:00.000","Filming - TV Series",,"Treasury Gardens, Other Park Locations, Inner Suburb Locations"
"Please Like Me Series 2","2014-02-28T00:00:00.000","2014-03-03T00:00:00.000","Filming - TV Series",,"Promotional Sites, Roads / Public Access Spaces"
"Please Like Me Series 2","2014-03-06T00:00:00.000","2014-03-06T00:00:00.000","Filming - TV Series",,"Bridges, Inner Suburb Locations"
"Please Like Me","2014-03-07T00:00:00.000","2014-03-07T00:00:00.000","Filming - TV Series",,"Inner Suburb Locations, Roads / Public Access Spaces"
"Please Like Me","2014-03-17T00:00:00.000","2014-03-17T00:00:00.000","Filming - TV Series",,"Alexandra Gardens, Tom's Block"
"Wentworth","2014-04-02T00:00:00.000","2014-04-02T00:00:00.000","Filming - TV Series",,"Inner Suburb Locations"
"The Recruit","2014-04-07T00:00:00.000","2014-04-07T00:00:00.000","Filming - TV Series",,"Birrarung Marr, Southbank Promenade, Queensbridge Square , Evan Walker Bridge, Parks"
"Winners & Losers","2014-05-01T00:00:00.000","2014-05-01T00:00:00.000","Filming - TV Series",,"Roads / Public Access Spaces"
"Party Tricks","2014-05-07T00:00:00.000","2014-05-07T00:00:00.000","Filming - TV Series",,"Inner Suburb Locations"
"Party Tricks","2014-05-08T00:00:00.000","2014-05-08T00:00:00.000","Filming - TV Series",,"Other Park Locations, Inner Suburb Locations"
"House Husbands Series 3","2014-05-09T00:00:00.000","2014-05-09T00:00:00.000","Filming - TV Series",,"Other Park Locations, Inner Suburb Locations"
"The Block","2014-05-11T00:00:00.000","2014-05-11T00:00:00.000","Filming - TV Series",,"Batman Park"
"Winners & Losers","2014-05-14T00:00:00.000","2014-05-14T00:00:00.000","Filming - TV Series",,"Alexandra Gardens, Southbank Promenade"
"House Husbands Series 3","2014-05-23T00:00:00.000","2014-05-23T00:00:00.000","Filming - TV Series",,"Other Park Locations, Inner Suburb Locations"
"It's A Date - Series 2","2014-05-26T00:00:00.000","2014-05-26T00:00:00.000","Filming - TV Series",,"Inner Suburb Locations"
"Party Tricks","2014-05-27T00:00:00.000","2014-05-27T00:00:00.000","Filming - TV Series",,"Bridges"
"It's A Date - Series 2","2014-05-27T00:00:00.000","2014-05-27T00:00:00.000","Filming - TV Series",,"Flagstaff Gardens"
"It's A Date - Series 2","2014-05-29T00:00:00.000","2014-05-29T00:00:00.000","Filming - TV Series",,"Treasury Gardens, St Kilda Road"
"Party Tricks","2014-05-30T00:00:00.000","2014-05-30T00:00:00.000","Filming - TV Series",,"Collins Street"
"Winners & Losers","2014-06-02T00:00:00.000","2014-06-02T00:00:00.000","Filming - TV Series",,"Roads / Public Access Spaces"
"The George Megalogenis Project","2014-06-05T00:00:00.000","2014-06-05T00:00:00.000","Filming - TV Series",,"Birrarung Marr"
"Party Tricks","2014-06-07T00:00:00.000","2014-06-07T00:00:00.000","Filming - TV Series",,"Spring Street"
"Party Tricks","2014-06-09T00:00:00.000","2014-06-10T00:00:00.000","Filming - TV Series",,"Flinders Street, Little Collins Street, Bank Place"
"Winners & Losers","2014-06-25T00:00:00.000","2014-06-25T00:00:00.000","Filming - TV Series",,"Other Park Locations"
"Winners & Losers - Series 4","2014-07-16T00:00:00.000","2014-07-16T00:00:00.000","Filming - TV Series",,"Promotional Sites"
"The George Megalogenis Project","2014-08-06T00:00:00.000","2014-08-06T00:00:00.000","Filming - TV Series",,"Birrarung Marr, Bridges"
"Dancing With The Stars Promo","2014-08-25T00:00:00.000","2014-08-26T00:00:00.000","Filming - TV Series",,"Carlton Gardens"
"The George Megalogenis Project","2014-08-27T00:00:00.000","2014-08-27T00:00:00.000","Filming - TV Series",,"Bridges, Promotional Sites"
"Winners & Losers","2014-09-02T00:00:00.000","2014-09-02T00:00:00.000","Filming - TV Series",,"Promotional Sites"
"Nowhere Boys Series 2","2014-09-10T00:00:00.000","2014-09-11T00:00:00.000","Filming - TV Series",,"Inner Suburb Locations"
"Friday Night Crack Up","2014-09-23T00:00:00.000","2014-09-23T00:00:00.000","Filming - TV Series",,"City Square"
"Winners & Losers Series 4","2014-09-30T00:00:00.000","2014-09-30T00:00:00.000","Filming - TV Series",,"Inner Suburb Locations"
"Winners & Losers Series 4","2014-10-08T00:00:00.000","2014-10-08T00:00:00.000","Filming - TV Series",,"Promotional Sites"
"Miss Fisher Murder Mysteries Series 3","2014-10-14T00:00:00.000","2014-10-14T00:00:00.000","Filming - TV Series",,"Royal Park, Inner Suburb Locations"
"Australia's Next Top Model","2014-10-17T00:00:00.000","2014-10-17T00:00:00.000","Filming - TV Series",,"Hosier Lane"
