"indicator","type","topic","description","response","year","respondent_group","sample_size","result","format"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","East Melbourne 3002","95","46.7","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","Kensington / Flemington 3031","113","44.0","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","Melbourne 3000","265","67.9","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","North Melbourne 3051 / West Melbourne 3003","216","50.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","Parkville 3052","94","67.2","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","South Wharf / Southbank 3006","138","66.7","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","53.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","Male","605","59.3","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","Female","648","61.9","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","18-24 years","298","68.3","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","25-34 years","323","68.5","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","35-44 years","161","58.5","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","45-54 years","94","40.7","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","55-64 years","109","47.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","65+ years","274","26.1","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","City of Melbourne","1259","23.1","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","Carlton 3053","132","27.7","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","Docklands 3008","105","27.1","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","East Melbourne 3002","95","14.9","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","Kensington / Flemington 3031","113","22.1","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","Melbourne 3000","265","25.0","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","North Melbourne 3051 / West Melbourne 3003","216","17.1","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","Parkville 3052","94","31.0","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","South Wharf / Southbank 3006","138","17.5","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","25.3","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","Male","605","23.2","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","Female","648","23.3","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","18-24 years","298","35.2","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","25-34 years","323","20.6","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","35-44 years","161","20.4","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","45-54 years","94","12.7","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","55-64 years","109","14.8","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2019","65+ years","274","6.4","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","City of Melbourne","1259","10.5","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","Carlton 3053","132","11.2","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","Docklands 3008","105","13.5","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","East Melbourne 3002","95","4.0","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","Kensington / Flemington 3031","113","9.7","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","Melbourne 3000","265","11.1","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","North Melbourne 3051 / West Melbourne 3003","216","7.6","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","Parkville 3052","94","8.4","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","South Wharf / Southbank 3006","138","11.0","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","16.2","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","Male","605","10.4","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","Female","648","10.6","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","18-24 years","298","18.6","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","25-34 years","323","7.2","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","35-44 years","161","10.4","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","45-54 years","94","7.3","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","55-64 years","109","2.1","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2019","65+ years","274","2.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","City of Melbourne","1259","10.7","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","Carlton 3053","132","11.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","Docklands 3008","105","15.2","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","East Melbourne 3002","95","9.9","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","Kensington / Flemington 3031","113","18.5","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","Melbourne 3000","265","10.9","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","North Melbourne 3051 / West Melbourne 3003","216","10.8","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","Parkville 3052","94","9.4","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","South Wharf / Southbank 3006","138","5.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","7.3","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","Male","605","11.3","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","Female","648","10.2","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","18-24 years","298","15.2","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","25-34 years","323","9.3","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","35-44 years","161","11.8","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","45-54 years","94","4.3","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","55-64 years","109","11.2","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2019","65+ years","274","2.3","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","City of Melbourne","1259","53.4","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","Carlton 3053","132","50.5","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","Docklands 3008","105","54.3","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","East Melbourne 3002","95","57.3","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","Kensington / Flemington 3031","113","48.1","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","Melbourne 3000","265","53.5","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","North Melbourne 3051 / West Melbourne 3003","216","52.3","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","Parkville 3052","94","48.0","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","South Wharf / Southbank 3006","138","57.8","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","63.5","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","Male","605","51.2","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","Female","648","55.5","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","18-24 years","298","58.8","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","25-34 years","323","50.2","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","35-44 years","161","55.0","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","45-54 years","94","50.2","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","55-64 years","109","56.6","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2019","65+ years","274","43.3","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","City of Melbourne","1259","49.3","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","Carlton 3053","132","48.8","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","Docklands 3008","105","33.6","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","East Melbourne 3002","95","58.7","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","Kensington / Flemington 3031","113","63.7","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","Melbourne 3000","265","47.9","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","North Melbourne 3051 / West Melbourne 3003","216","47.7","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","Parkville 3052","94","67.9","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","South Wharf / Southbank 3006","138","46.6","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","48.3","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","Male","605","50.1","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","Female","648","48.8","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","18-24 years","298","42.5","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","25-34 years","323","41.5","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","35-44 years","161","52.4","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","45-54 years","94","74.5","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","55-64 years","109","69.9","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2019","65+ years","274","64.6","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","City of Melbourne","1259","38.3","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","Carlton 3053","132","36.0","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","Docklands 3008","105","15.8","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","East Melbourne 3002","95","43.0","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","Kensington / Flemington 3031","113","54.1","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","Melbourne 3000","265","38.4","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","North Melbourne 3051 / West Melbourne 3003","216","37.0","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","Parkville 3052","94","56.6","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","South Wharf / Southbank 3006","138","38.5","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","37.5","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","Male","605","41.4","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","Female","648","35.6","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","18-24 years","298","33.8","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","25-34 years","323","33.2","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","35-44 years","161","38.9","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","45-54 years","94","50.2","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","55-64 years","109","48.9","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2019","65+ years","274","58.9","Per cent"
"6","Other","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","City of Melbourne","1255","25.8","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","Carlton 3053","132","28.9","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","Docklands 3008","104","15.6","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","East Melbourne 3002","94","20.6","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","Kensington / Flemington 3031","113","25.8","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","Melbourne 3000","265","32.8","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","North Melbourne 3051 / West Melbourne 3003","214","24.0","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","Parkville 3052","94","19.6","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","South Wharf / Southbank 3006","138","19.2","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","29.1","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","Male","605","26.6","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","Female","645","25.0","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","18-24 years","297","32.5","Per cent"
"6","Other","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","25-34 years","322","28.1","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","35-44 years","160","22.9","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","45-54 years","93","20.8","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","55-64 years","109","11.0","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2019","65+ years","274","9.8","Per cent"
"6a","Council Plan Indicator","Food security","Worried food would run out","Yes, in the last 12 months","2019","City of Melbourne","1250","20.4","Per cent"
"6a","Council Plan Indicator","Food security","Worried food would run out","Yes, in the last 12 months","2019","Carlton 3053","131","22.1","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","Docklands 3008","104","10.1","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","East Melbourne 3002","94","15.5","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","Kensington / Flemington 3031","113","19.6","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","Melbourne 3000","264","26.3","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","North Melbourne 3051 / West Melbourne 3003","213","19.3","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","Parkville 3052","93","18.1","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","South Wharf / Southbank 3006","138","16.5","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","100","18.9","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","Male","603","20.5","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","Female","642","20.2","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","18-24 years","294","25.7","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","25-34 years","323","22.1","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","35-44 years","159","19.6","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","45-54 years","93","12.7","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","55-64 years","108","8.4","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2019","65+ years","273","8.9","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2019","City of Melbourne","1252","15.2","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2019","Carlton 3053","132","18.0","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2019","Docklands 3008","104","9.9","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2019","East Melbourne 3002","94","12.7","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2019","Kensington / Flemington 3031","113","15.4","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2019","Melbourne 3000","263","18.7","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2019","North Melbourne 3051 / West Melbourne 3003","214","15.1","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2019","Parkville 3052","94","10.8","Per cent"
