"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"Re-creating Communities: Amsterdam, Tel Aviv, Snn Francisco and Melbourne","Monday 18 April 2016 Deaking Edge, Fed Square",,"280","Ms Krista Canellakis – Deputy Innovation Officer, Deputy Innovation Officer, Mayor's Office of Civic Innovation, City and County of San Francisco
Ms Michelle Fitzgerald - Chief Digital Officer and Manager Smart City Office, City Of Melbourne 
Ms Hila Oren - CEO The Tel Aviv Foundation and former CEO and Founder, Tel Aviv Global 
Mr Frans-Anton Vermast - Senior Strategy Advisor, Amsterdam Smart City 
Moderator Ms Catherine Caruana-McManus - Director, Giant Ideas, Sydney
Michael Dixon - VP Watson-IoT Asia-Pacific, IBM Australia
","ConnectExpo - External ","Smart Cities and how they can positively impact the lives of those in the city."
"Climate Action: Cities and citizens - the new leaders","Thursday 17 March 2016 Deakin Edge, Fed Square",,"230","Mark Watts – Executive Director, C40 Cities Climate Leadership Group, Professor Kate Auty – Ambassador Future Melbourne, Vice-Chancellor’s Fellow, University of Melbourne, Professor John Thwaites – Professorial Fellow, Monash University, Chair of ClimateWorks Australia and the Monash Sustainability Institute, MC Kate Vinot – Group Director City Strategy and Place, City of Melbourne","Future Melbourne","Post Paris C40 what have we learned about the role of cities and citizens and how they can activly reduce the impacts of global warming."
"Nature in our livable city: past, present and future","Thursday 25 February 2016 Swanston Room, Town Hall",,"250","A/Prof. Sarah Bekessy – Future Fellow, Centre for Urban Research, RMIT University Prof. Tim Entwisle – Director and Chief Executive, Royal Botanic Gardens Dr Mark Norman – Head of Sciences, Museum Victoria A/Prof.  Kirsten Parris – Urban Ecology, School of Ecosystem and Forest Sciences, University of Melbourne Dr Gary Presland – Writer and historian  Host: Rob Gell AM – Consultant, environmentalist and media personality","Urban Sustainability","While Melbourne is frequently awarded most liveable city status, what’s it like for all the little things, from miniscule plant life to the mighty powerful owl, that also call the city home?"
"After Russel Brand - Rethinging democracy in Melbourne","Wednesday 17 February 2016 Deaking Edge, Fed Square",,"280","Maria Katsonis - Future Melbourne 2026 Ambassador; Director Equality, Victorian Department of Premier and Cabinet Ms Samah Hadid - Human rights and humanitarian campaigner (via skype) Mr Nicholas Reece - Principal Fellow, University of Melbourne Dr Travers McLeod - CEO Centre for Policy Development, Melbourne Host/MC Dr Leslie Cannold - Ethicist and public educator","Future Melbourne","Globally, democracies are under pressure and local government is no exception. A crucial factor for citizens is real power and influence over the decisions that affect their lives. State and local governments are implementing new measures to enable more direct and meaningful citizen participation but it's rare for real power to be given freely. So what’s the catch? Who supports true citizen-empowerment and why? What power-sharing arrangements are on the table, and on what issues? What can you do to make sure democratic innovations like citizens juries and participatory budgeting aren't a passing fad, but the new way your city, your state and the nation do business? This is one where you must have your say!"
"Climate Change Impact: Paris Ambitions – Melbourne Actions ","Thursday 12 November 2015",,"200","Rowan Dowland – General Manager, Corporate Development, Bank Australia 
Professor Don Henry – Public Policy Fellow for Environmentalism, Melbourne Sustainable Society Institute, the University of Melbourne
Stephanie Niall – Community Member, City of Yarra Environment Advisory Committee 
Cr Cathy Oke – Melbourne City Councillor and Chair, ICLEI Oceania Regional Executive Committee
MC: Cr Arron Wood – Melbourne City Councillor, Chair of the Environment Portfolio
","Urban Sustainability","
COP21, the Paris climate change convention, is on soon and the stakes are high: a legally binding agreement between 140 states and a boost for the transition towards resilient, low-carbon societies. 

 While 1,000 city mayors and local leaders have been invited to the side event, Climate Summit for Local Leaders, cities still contribute 80% of global greenhouse emission. On the up-side, they are at the forefront of dealing with the impact of climate change. 

 How can our local communities, organisations and business lead the way and progress the target to a carbon neutral city by 2020? What will it mean for you? Have your say."
"Convergent Ready City? ","Monday 28 October 2013, Swanston Town Hall",,"290","Dr Flora Salim – School of Computer Science and Information Technology, RMIT University Associate Professor Clare Scott – Medical Oncologist RoyalMelbourne Hospital and Royal Women's Hospital and Laboratory Head Walter and Eliza Hall Institute of Medical Research Ms Bronwen Clune – Journalist, Writer, Digital News Consultant Professor George Cairns – School of Management, RMIT University Professor Nikos Papastergiadis – Cultural Studies and Media & Communications, The University of Melbourne MC and host Antony Funnell – Presenter ABC RN 'Future Tense'",,"Convergence has revolutionised media and communications and the sciences. Are there lessons for our growing cities consumed with digital ambitions?"
"Melbourne - A City with a Healthy Heart? A talk about growth and density","Tuesday 27 October 2015",,"280","Panelists:
- Kate Roffey, CEO, Committee for Melbourne 
- Professor Jago Dodson, Professor of Urban Policy and Director of the Centre for Urban Research, RMIT University
- Dr Andrea Sharam, Research Fellow, Swinburne Institute for Social Research, Swinburne University
- Ivan Motley, Founding Director of .id Consulting (informed decisions)","Future Melbourne","Inner Melbourne is already a compact, densely populated place to live, work and learn and urban renewal will attract more people to the heart of the city. 

How do we accommodate more residents and maintain liveability? What trade-offs might we have to make? Is the central city friendly for raising children, for being a student, for growing old? How will climate change and the digital economy affect the inner city? What kind of planning and design rules will foster a vibrant urban economy, quality dwellings at affordable prices, welcoming, walkable streets and enjoyable open spaces?"
"Jobs in the Knowledge Economy: Threat or opportunity","Wednesday 21 October 2015 ",,"210","Panelists:
- Sherri Bruinhout, Director of Homelessness and Justice, Melbourne City Mission
- Dr Janine Dixon, economic modeller, Senior Research Fellow, Centre of Policy Studies, Victoria University 
- Bernard Salt, writer, speaker and media commentator, columnist, KPMG Partner
- Marcus Westbury, broadcaster, writer, media maker and festival director. Hosted by Peter Mares, contributor, radio presenter. ","Future Melbourne","Technology changes through computerisation and automation, and disruptive innovation are celebrated by many. But for some it mean a loss of a job. 

Will being a nimble knowledge worker save you? What skills will you need? How are educational institutions responding? Social commentator Bernard Salt leads a panel of experts to make some sense of future uncertainty and opportunity.
"
"Smart City Leadership","Monday 19 October 2015",,"250","Marita Cheng – CEO 2MarRobotics, Robogals Founder 2008, Young Australian of the Year 2012
Dr Nicholas Gruen – CEO Lateral Economics 
Prof Sharon Lewin – Director, Doherty Institute, 2015 Melburnian of the Year and Club Melbourne Ambassador
Darren Sharp – Sharing Economy Strategist, Director of Social Surplus
Host: Peter Mares – Contributing editor Inside Story, Adjunct Fellow Swinburne Institute for Social Research, Writer and Journalist","Future Melbourne/  MCEC External ","Prominent thought leaders discuss the nature, shape and future of our rapidly changing city. What does Melbourne do best and what are the future opportunities? How can we manage rapid change and community expectations? Hear about the latest science, robotics, economics and digital opportunities and join in."
"Domain Parklands Future: ","Wednesday 07 October 2015",,"150","
Kate Dundas – Landscape architect and urban designer, Planisphere 
Prof Billie Giles Corti – Director of the McCaughey VicHealth Community Wellbeing Unit, University of Melbourne
Brian Goldsmith – Local resident, park user and Melbourne identity
Jefa Greenaway – Director, Indigenous Architecture and Design Victoria [IADV]

MC Michael Short – Journalist, Editor of 'The Zone', Fairfax Media","Urban Sustainability","Our city is reshaping and demands on the Domain Parklands* and its assets are growing and changing. As the City of Melbourne is about to review its Domain Parklands Master Plan it’s time to celebrate the rich history, look to the future and hear what you have to say. 

How do we bring all that is wonderful about Domain Parklands into the future and manage the tension between vulnerable assets and extra demands, urban growth, community expectations and the impacts of climate change? Panellists will consider an Indigenous perspective of caring for country; the value of the place to our health and wellbeing; the impact of growth and how to manage increased usage. Come along and have your say and hear how to participate in the review of the City of Melbourne Domain Parklands Master Plan."
"Domain Parklands History: heritage, horticulture and society","Tuesday 29 September 2015, Deakin Edge, Fed Square",,"190","Stuart Harrison – Architect, Broadcaster, Writer and Academic
John Hawker – Heritage Officer (Horticulture), Heritage Victoria
Dr Matthew Klugman – Deputy Director of the Sport in Society Research Program, Victoria University
Georgina Whitehead – Landscape Historian and Consultant

MC Professor Andrew J May – Historian and writer, University of Melbourne","Urban Sustainability","Our city is reshaping and demands on the Domain Parklands* and its assets are growing and changing. As the City of Melbourne is about to review its Domain Parklands Master Plan it’s time to celebrate the rich history, look to the future and hear what you have to say.

Join our panel of experts as they take you from the earliest days through to recent times and discuss aspects of history, horticulture, plantings and garden design. Learn how the landscape was civilised and discover the nature of evolving civil and civic functions. Historian Professor Andrew May from the University of Melbourne will lead the panel to unpack the past. Keep in touch for an update on panellists."
"UN World Peace Day:  Building a safer and more peaceful city","Monday 21 September 2015, Swanston Room, Melbourne Town Hall",,"180","Prof Megan Davis – Director UNSW Indigenous Law Centre, Chair United Nations Permanent Forum on Indigenous Issues
Ms Laura John – 2014 UN Australian Youth Ambassador
Dr Dina McMillan – Social Psychologist and Consultant
Acting Assistant Commissioner Glenn Weir – Victorian Police
HOST Michael Short – Journalist and Editor of The Zone Fairfax Media

Supported by Australians for Peace and Future Leaders","Australians for Peace External / Future Leaders","Most of us enjoy our liveable city, yet we continue to grapple with unacceptable domestic and street violence. What can everyday Melburnians do about this? What’s going right and what isn’t and why? Hear from the panel, celebrate UN World Peace Day and discuss the issues around securing greater peace in the home and the street."
"Water Stories Past and Present ","Wednesday 27 November 2013, 6pm - 7:30pmSwanston Hall, Melbourne Town Hall ",,"210","Dr Tony Birch – Writer and Historian 
Dr Gary Presland – Historian and Archaeologist
Uncle Larry Walsh – Aboriginal Story Teller 
Professor Joy Murphy AO – Wurundjeri Elder 

MC Genevieve Grieves –Lead Curator, Bunjilaka, Museum Victoria
",,"Our waterways and their many stories are central to an understanding of Aboriginal and European Melbourne. The rivers, the wharves, the long gone swamps or water gardens are part of our city’s natural and cultural ecology. Join our Aboriginal and non-Aboriginal story tellers for an evening of waters stories, facts and fiction. "
"Bike Cultures: Celebrating riding in Melbourne ","12 October 2011, BMW Edge, Fed Square",,"150","Anthony Aisenberg 
Kathy Watt OAM 
Pip Carroll 
Timothy Papandreou 
","Ride to Work Day
Future Leaders
Treadlie Magazine","How will Cadel’s ride FOR work affect our ride TO work? Can athletic and utility Cycling co-exist or do fixie hipsters and cycle chic rule the lanes? Compare San Francisco’s bikeculture with ours. Forget the arguments around lanes, laws and helmets for a night and roll up for a celebration of our increasing love affair with bikes and riding.  
"
"Democracy Fractures: can citizens' juries rebuild trust & solve hard problems?","Thursday 25 June, 2015, Supper Room, Melbourne Town Hall",,"205","Host| Rob Gell AM – Consultant, environmentalist, geomorphologist and media personality
Cr Stephen Mayne – Melbourne City Council, award winning journalist, shareholder activist.
Linda Macleod – People’s Panel member
Kirsty Carter – People’s Panel member
Nicholas Reece – Public Policy Fellow, Centre for Public Policy, the University of Melbourne and author of academic report on Melbourne City Council's 'People’s Panel'
Hon Anna Burke MP - Fed. Member for Chisholm and former Speaker of the House of Representatives
","CEO Office/ Community Engagement","Public trust in existing representative democracies seems to be at a low point. While elected to make legitimate decisions, politicians are increasingly seeking advice through the process of deliberative community engagement. In 2014, Melbourne City Council took the plunge and recruited a 'People's Panel' – a random selection of everyday people – a citizens' jury – to recommend council spending priorities for the next ten years. The results were surprising!
Can citizens' juries rebuild trust in representative democracies? Are they legitimate? What constitutes genuine engagement? How do you convince politicians to take the plunge into highly participatory community engagement? What’s it like to be a citizen jurist? What difference will the recommendations of the 'People's Panel' make for the City of Melbourne and greater Melbourne?
"
"Service Before Self: Stories that bind our communities ","Tuesday 23 June, 2015, Deakin Edge - Federations Square, Melbourne",,"150","Host | Hon. Robert Doyle – Melbourne Lord Mayor
Danielle Thomas – Park Ranger Co-ordinator, City of Melbourne
Tara Piazza – Program Director for Public Transport Victoria Marketing and Product Development
Terry Moran AC – National President of Institute of Public Administration Australia and former Secretary of the Department of the Prime Minister and Cabinet
Barrie Cassidy – Presenter Insiders ABC TV, political journalist, radio and television host, writer and commentator
Philippa Hall – Acting Nurse Unit Manager, Intensive Care Unit, Royal Melbourne Hospital
","IPAA/CEO Office / LM Office","Public sector workers connect with most Melburnians daily but we rarely celebrate their work or hear their stories. Teachers, nurses, emergency workers, rangers, scientists and public servants are among those who make a lasting difference to our lives, towns and cities. What motivates them? What is it like working for politicians? Is it really 'a calling'?
Celebrate United Nations Public Service Day and join host Lord Mayor Robert Doyle and his guests to hear how and why they make a difference and share your stories through an extended Q&A session.
"
"Making Babies in Melbourne - The IVF Story","Wednesday 10 June, 2015 , Fairfax Studio - Arts Centre Melbourne",,"250","
Professor Loane Skene – Professor of Law, The University of Melbourne
Emeritus Professor Alan Trounson – Distinguished scientist, MIMR-PHI Institute, Monash University 
Kylie Trounson – Playwright, actor and lawyer 
MC Dr Leslie Cannold – Writer commentator and ethicist
","Melbourne Theatre Company","Melbourne Conversations: Making Babies in Melbourne - The IVF Story
Melbourne Conversations and Melbourne Theatre Company present Making Babies in Melbourne: The IVF Story.
In 1970s Melbourne, the IVF technique gave couples everywhere new hope. The breakthroughs were exciting but divided society. Kylie Trounson, daughter of IVF pioneer Alan Trounson, was young at the time but watched and listened. Now, as an adult, she has a fertility story of her own.
Join playwright Kylie Trounson, author of the new MTC production The Waiting Room, her father and IVF researcher Alan Trounson and eminent medical lawyer Loane Skene on stage for a unique and deeply personal insight into the story behind the story of IVF."
"Indigenous Knowledge: Law, Country, Cultural Heritage","Thursday 28, May, 2015, Melbourne Town Hall",,"320","Rueben Berg – Architect and Adjunct Lecturer Monash University

Prof. Megan Davis – Lawyer UNSW and Chair of UN Permanent Forum on Indigenous Issues

Gary Murray – Traditional owner and Land Rights Activist 

MC Prof. Kate Auty – Vice Chancellor’s Fellow University of Melbourne and Chair of Advisory Board of Melbourne Sustainable Society Institute ","Future Leaders/Community Strengthening ","Melbourne enjoys a growing reputation as a 'knowledge city', yet the understanding and appreciation of Indigenous knowledge is modest. 

Join the conversation and celebrate National Reconciliation Week with three prominent Aboriginal Australians as they share their knowledge on law, reform, country and Aboriginal cultural heritage. 

After the event join Professor Davis for the launch of the book 'Proof of Birth', a collection of perspectives on universal and Indigenous birth registration issues in Australia, by Melissa Castan and Paula Gerber (eds), published by Future Leaders."
"Who speaks for the Earth: Energy, Art and Politics","Thursday 7 May, Deakin Edge Fed Square",,"280","Dr Helen Caldicott (Author and environmental activist) will speak on how conflicting interests are represented in public debates on nuclear power.

William L. Fox (Author, Nevada Center for Art + Environment) will talk about the age of the Anthropocene and its cultural representation

Professor Paul James (UWS & RMIT) will speak on how the issue of climate change is addressed in politics.

Professor Kate Rigby (Monash University) will focus on how writers and poets have responded to the issue.

David Buckland (Cape Farewell ) will speak about how the Cape Farewell Project has enabled artists and people from other fields to interpret climate change.

Chair: Associate Professor Linda Williams, RMIT University.
","RMIT / Fed Sq ","A free public forum how climate change and environmental risks are represented from different positions in the arts, politics and in debates on nuclear energy."
"A decent place to live? The housing talk","Monday 4, May, 2015, Melbourne Town Hall",,"290","Marc Jahr - Principal of an affordable housing consulting firm and former President New York City Housing Development Corporation, NYC
Michael Shapcott - Director, Housing and Innovation Wellesley Institute, Toronto
Dr Carolyn Whitzman - Professor of Urban Planning, The University of Melbourne
MC - Peter Mares - Moderator The Cranlana Programme, Contributing editor Inside Story and Adjunct fellow Swinburne Institute for Social Research
","Melbourne University","Decent, affordable housing is scarce. Public housing is in decline, the private rental market is tight and buying is a stretch even on a reasonable wage. Maybe the great Australian dream is just a dream. There is no sign that government will step to fund affordable housing. So what is to be done? Hear from Australian and international experts about how decent housing has been created in other global cities using innovative financing, policy changes, industry partnerships, and community action."
"What is the Future of Anzac Day? ","Monday, 20 April, 2015, Deakin Edge Fed Sq ",,"230","Michael Brissenden is a Walkley Award-winning journalist and host of the ABC’s AM program.
James Brown is a defence analyst, former army officer and author of Anzac’s Long Shadow.
Dr Carolyn Holbrook is an historian and author of Anzac: The Unauthorised Biography
Celeste Liddle  is a social commentator, trade unionist and Indigenous activist.
Curated and hosted by historian, author and broadcaster Dr Clare Wright.
","Federation Square, Future Leaders and GriffithReview ","A century on from WW1, Anzac Day marches and pilgrimages to Gallipoli are attracting record crowds.  But it hasn’t always been that way.  So will today’s patriotic fervour continue to grow?  How will we commemorate the 125th or 150th anniversaries of Gallipoli? We ask four astute thinkers to gaze into their crystal balls and project what the future holds for war commemoration.. "
"Moving and Shaping Melbourne: Communities, Roads, Public Transport and Development","Thursday, 26 March 2015, Deakin Edge, Fed Square",,"500","David Shelton - Executive Director Strategy and Planning/Road Safety Coordinator, VicRoads
Jennifer Cunich - Executive Director of the Victorian Division of the Property Council of Australia. 
Paul Donegan - Fellow, Cities Program, Grattan Institute 
Prof John Stone - Lecturer in Transport Planning in Urban Planning Program in the Faculty of Architecture, Building and Planning, University of Melbourne 
William McDougall - Transport planner, engineer and economist 
","Fed Square/Vic Roads / Strategic Planning","Moving and Shaping Melbourne: Communities, Roads, Public Transport and Development
 
This is the urban century. Around the world people are moving to cities, drawn by jobs, culture, lifestyle, services, opportunity and everything else that a buzzing metropolis has to offer. Melbourne is no exception. Yet with growth come challenges. How do we avoid gridlock as more and more people move through our streets? Can we build an urban transport system that supports a dynamic economy and enhances the quality of public space? Our expert panel will share their knowledge in a focussed discussion on the way transport shapes the city, greases the economic wheels and the influences community life. 
"
"New Learning: spaces, tech & pedagogies","Thursday 17 March, 2015,  Library at the Dock, Docklands ",,"120","Panellists:
Professor Stephen Heppell – Educator, Teacher, Academic and CEO of Heppell.net, UK
Leone Lorrimer - CEO, dwp suters Architecture + Interior design, Sydney
Dr Gary Stager – Progressive Educator, Journalist and Consultant
Shirley Tan - President, Robogals, Melbourne
MC/Host  Michael Short – Journalist and Editor of The Zone, The Age
","Library at The Dock, Docklands","While digital technologies enhance and complicate our lives, they give us better access to vital knowledge and enable most people and communities to prosper and thrive. Hear the latest on how innovative design solutions for formal and informal learning spaces, new digital technologies and evolving pedagogies shape where, when, how and what we learn. Join expert practitioners and knowledge leaders and contribute. Decision makers in the school and public learning programs arena cannot afford to miss this important discussion and networking opportunity.
 
"
"Personalised Medicine: Me and My Genome","Wednesday 18 February 2015
Deakin Edge, Fed Square",,"610","Professor Michael Snyder – Stanford Ascherman Professor and Chair of Genetics, Director of the Center of Genomics and Personalized Medicine, Stanford University, USA
Professor Andrew Sinclair – Associate Director, Murdoch Children’s Research Institute, Royal Children’s Hospital, Melbourne and Professor, Dept. of Paediatrics, University of Melbourne
Professor Loane Skene – Professor of Law in the Faculty of Law and an Adjunct Professor in the Faculty of Medicine Dentistry and Health Sciences,  University of Melbourne
MC Natasha Mitchell – Presenter Life Matters ABC RN 
","University of Melbourne
Fed Square 
Future Leaders","Global genomics expert Professor Michael Snyder from Stanford University sequenced his genome and got a shock! Hear his story, get the latest on the work around personalised medicine and join in as the panel considers the ethics, legal issues and the potential of realising the best possible health for you, your family and friends."
"Libraries and Learning: Borrowing from digital ","Wednesday 19 November 2014, Dock Library",,"70","Professor Stephen Heppell, educator, academic and CEO of Heppell.net, UK
Brad Hammond, Creative Technologist and Director of Ethno Tekh, Melbourne
Paula Kelly, Library Services Manager, City of Melbourne
MC Peter Mares – writer, journalist, researcher and academic","Community Strengthening","The growth of mobile and informal learning has meant that libraries and community spaces are changing and stepping up. Through new approaches to learning and creative digital technology, libraries are cultivating and employing 'digital literacy', imperative for lifelong learning, work and civic belonging.

Famous educator, ICT expert and advocate of fun and games, Professor Stephen Heppell will join with local creative technologist Brad Hammond and City Of Melbourne Library Services Manager Paula Kelly, to discuss what learning and libraries look like today and what they might look like tomorrow. (P.S. They still have books!)
"
"Design Commissions for creative cities: Ben Evans","Thursday 13 November 2014, Clemenger Auditorium, NGV",,"180","Ben Evans - Director, London Design Festival
Dr Ann Stephen - Senior Curator, University Art Gallery and Art Collection, The University of Sydney
","NGV
Naomi Milgrom Foundation","Ben Evans, Director of the London Design Festival is the special guest for this Melbourne Conversations. Ben will discuss his latest festival and exhibition program, commissioning temporary design projects, London’s position as a design capital and the festival’s impact on London’s cultural identity. Because Melbourne is a strong design city and interest in design is on the rise, are there lessons to be learned from London’s experience? Ben will discuss his future plans with facilitator Dr Ann Stephen.
With increasing interest in design and architecture, are conditions right for our own Melbourne Design Festival?
"
"Arts strategy – public talk with general public / artists and arts orgs.  ","Wednesday 20 November 2013 ",,"145","Louise Adler – CE Melbourne University Publishing  
Deborah Cheetham – Performing Artist, Head of Wilin Centre for Indigenous Arts VCA & MCM, University of Melbourne  
Tasneem Chopra – Curator and Cross Cultural Consultant
Ash Keating – Visual Artist
Gideon Obarzanek – Freelance choreographer and Director 
Alice Pung – Writer and Editor  
Host and MC Dr Leslie Cannold – Author and Philosopher 
",,"This was a planning workshop with presentations by guests to assist in research for development of CoM Arts Strategy published in June 2014"
