"indicator","type","topic","description","response","year","respondent_group","sample_size","result","format"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","45-54 years","131","60.4","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","55-64 years","146","52.8","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","65+ years","280","42.9","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","City of Melbourne","1247","28.8","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","Carlton 3053","126","38.2","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","Docklands 3008","103","23.7","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","East Melbourne 3002","82","23.9","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","Kensington/ Flemingon 3031","142","32.1","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","Melbourne 3000","285","28.1","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","North Melbourne 3051 / West Melbourne 3003","184","27.4","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","Parkville 3052","72","37.5","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","Southbank/ South Wharf 3006","123","22.4","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","26.9","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","Male","549","28.2","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","Female","687","29.8","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","18-24 years","290","36.8","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","25-34 years","262","29.0","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","35-44 years","138","25.8","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","45-54 years","131","20.4","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","55-64 years","146","21.4","Per cent"
"3a","Other","Physical activity","Participate in organised physical activity","Yes, in the last 3 months","2018","65+ years","280","15.3","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","City of Melbourne","1247","13.2","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","Carlton 3053","126","19.7","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","Docklands 3008","103","7.9","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","East Melbourne 3002","82","8.4","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","Kensington/ Flemingon 3031","142","17.8","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","Melbourne 3000","285","14.6","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","North Melbourne 3051 / West Melbourne 3003","184","11.8","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","Parkville 3052","72","19.6","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","Southbank/ South Wharf 3006","123","5.7","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","10.7","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","Male","549","12.2","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","Female","687","14.4","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","18-24 years","290","16.1","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","25-34 years","262","16.4","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","35-44 years","138","7.3","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","45-54 years","131","6.1","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","55-64 years","146","10.9","Per cent"
"3b","Other","Physical activity","Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months","2018","65+ years","280","5.3","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","City of Melbourne","1247","11.9","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","Carlton 3053","126","18.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","Docklands 3008","103","11.6","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","East Melbourne 3002","82","12.2","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","Kensington/ Flemingon 3031","142","20.6","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","Melbourne 3000","285","9.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","North Melbourne 3051 / West Melbourne 3003","184","12.7","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","Parkville 3052","72","15.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","Southbank/ South Wharf 3006","123","4.5","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","14.1","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","Male","549","15.1","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","Female","687","9.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","18-24 years","290","13.2","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","25-34 years","262","12.2","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","35-44 years","138","11.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","45-54 years","131","13.9","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","55-64 years","146","6.0","Per cent"
"3c","Other","Physical activity","Participate in physical activity organised by a sports club or association","Yes, in the last 3 months","2018","65+ years","280","8.3","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","City of Melbourne","1247","51.1","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","Carlton 3053","126","61.5","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","Docklands 3008","103","48.5","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","East Melbourne 3002","82","66.5","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","Kensington/ Flemingon 3031","142","42.3","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","Melbourne 3000","285","47.7","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","North Melbourne 3051 / West Melbourne 3003","184","56.0","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","Parkville 3052","72","44.4","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","Southbank/ South Wharf 3006","123","44.6","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","60.9","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","Male","549","53.8","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","Female","687","48.7","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","18-24 years","290","53.1","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","25-34 years","262","52.4","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","35-44 years","138","47.2","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","45-54 years","131","51.7","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","55-64 years","146","47.9","Per cent"
"4","Other","Health","Self reported health","Reported as excellent or very good","2018","65+ years","280","45.6","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","City of Melbourne","1247","56.4","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","Carlton 3053","126","58.7","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","Docklands 3008","103","40.3","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","East Melbourne 3002","82","66.9","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","Kensington/ Flemingon 3031","142","61.2","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","Melbourne 3000","285","55.6","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","North Melbourne 3051 / West Melbourne 3003","184","53.9","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","Parkville 3052","72","69.8","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","Southbank/ South Wharf 3006","123","57.2","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","57.6","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","Male","549","56.1","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","Female","687","56.9","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","18-24 years","290","47.2","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","25-34 years","262","54.2","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","35-44 years","138","54.1","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","45-54 years","131","75.3","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","55-64 years","146","75.2","Per cent"
"5a","Council Plan Indicator","Decision making","Participate in activities to influence government decision making","Yes, in the last 12 months","2018","65+ years","280","74.4","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","Docklands 3008","102","13.2","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","City of Melbourne","1247","40.1","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","Carlton 3053","126","39.5","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","Docklands 3008","103","24.9","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","East Melbourne 3002","82","46.6","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","Kensington/ Flemingon 3031","142","47.1","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","Melbourne 3000","285","42.2","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","North Melbourne 3051 / West Melbourne 3003","184","37.4","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","Parkville 3052","72","59.1","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","Southbank/ South Wharf 3006","123","37.7","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","32.6","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","Male","549","42.5","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","Female","687","37.8","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","18-24 years","290","33.4","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","25-34 years","262","38.2","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","35-44 years","138","35.7","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","45-54 years","131","56.4","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","55-64 years","146","58.5","Per cent"
"5b","Other","Decision making","Participate in activities in City of Melbourne to influence government decision making","Yes, in the last 12 months","2018","65+ years","280","52.3","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","City of Melbourne","1243","26.2","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","Carlton 3053","126","29.6","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","Docklands 3008","103","23.4","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","East Melbourne 3002","82","33.5","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","Kensington/ Flemingon 3031","142","27.3","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","Melbourne 3000","282","25.8","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","North Melbourne 3051 / West Melbourne 3003","184","28.7","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","Parkville 3052","72","18.0","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","Southbank/ South Wharf 3006","122","24.3","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","23.6","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","Male","546","22.7","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","Female","686","29.0","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","Carlton 3053","126","16.6","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","18-24 years","287","35.4","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","25-34 years","262","28.8","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","35-44 years","138","22.7","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","45-54 years","131","15.3","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","55-64 years","146","11.9","Per cent"
"6","Council Plan Indicator","Food security","Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food)","Yes, in the last 12 months","2018","65+ years","279","4.5","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","City of Melbourne","1242","19.7","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","Carlton 3053","125","25.6","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","Docklands 3008","103","21.7","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","East Melbourne 3002","82","28.6","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","Kensington/ Flemingon 3031","142","21.8","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","Melbourne 3000","283","19.3","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","North Melbourne 3051 / West Melbourne 3003","184","19.7","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","Parkville 3052","71","11.0","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","Southbank/ South Wharf 3006","123","15.3","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","129","15.3","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","Male","545","17.0","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","Female","686","22.2","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","18-24 years","286","25.8","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","25-34 years","262","23.2","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","35-44 years","138","18.9","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","45-54 years","131","9.1","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","55-64 years","145","5.6","Per cent"
"6a","Other","Food security","Worried food would run out","Yes, in the last 12 months","2018","65+ years","280","2.0","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","City of Melbourne","1237","17.3","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","Carlton 3053","125","23.3","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","East Melbourne 3002","81","21.6","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","Kensington/ Flemingon 3031","141","16.4","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","Melbourne 3000","281","18.0","Per cent"
