"name","what","who","address_1","address_2","suburb","phone","phone_2","free_call","email","website","twitter","social_media","monday","tuesday","wednesday","thursday","friday","saturday","sunday","public_holidays","cost","tram_routes","bus_routes","nearest_train_station","category_1","category_2","category_3","category_4","category_5","category_6","longitude","latitude","geocoded_location"
"AL–ANON Family Groups","Support group for family and friends of alcoholics. Alateen is also for adolescents whose lives have been affected by an alcoholic.",,"Level 7, Suite 2","51 Queen Street","Melbourne","1300 252 666",,,"alanonvsa@netspace.net.au","al-anon.alateen.org/australia/",,,"10.30am to 2.30pm","10.30am to 2.30pm","10.30am to 2.30pm","10.30am to 2.30pm","Closed","Closed","Closed","Closed",,"11, 48, 109, 12 (stop 4 Queen St)",,"Flinders Street","Drug and Alcohol","N/A","N/A","N/A","N/A","N/A","144.961614","-37.817737999999999","(-37.817738, 144.961614)"
"Alcoholics Anonymous Victoria","AA is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. Two gay and lesbian groups and two Koori groups are held weekly.  24 hour Help Line ",,"Level 1","36 Church Street","Richmond","9429 1833",,,,"aavictoria.org.au","@AAMelbourne","facebook.com/Alcoholics.Anonymous.Victoria","9:00am – 5:00pm","9:00am – 5:00pm","9:00am – 5:00pm","9:00am – 5:00pm","9:00am – 5:00pm","10:00 am. – 2:00 pm","Closed","Closed",,"24, 78, 79, 109  (stop 21 Church St)",,,"Drug and Alcohol","N/A","N/A","N/A","N/A","N/A","145.00030699999999","-37.811647999999998","(-37.811648, 145.000307)"
"Royal Melbourne Hospital","Outpatients’ emergency service",,,"300 Grattan Street","Parkville","9342 7000",,,"enquiries@mh.org.au","rmh.mh.org.au","@TheRMH","facebook.com/RoyalMelbourneHospital","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours",,"19 (stop 10 Royal Melbourne Hospital), 55, 59 (stop 14 Royal Melbourne Hospital)","401, 402 (Royal Melbourne Hospital/Grattan St (Parkville) stop ID 7587)",,"Hospitals / Emergency","N/A","N/A","N/A","N/A","N/A","144.956177","-37.798876999999997","(-37.798877, 144.956177)"
"Anglicare Victoria – Lazarus Centre","Breakfast seven days a week, BBQ lunch every Friday, Clothes, Toiletries",,"St. Peter’s East Melbourne ","15 Gisborne Street","East Melbourne","9419 3288",,,,"anglicarevic.org.au","@AnglicareVic",,"7.30 am to 9.00 am","7.30 am to 9.00 am","7.30 am to 9.00 am","7.30 am to 9.00 am","7.30 am to 9.00 am, 11:00 am – 12:00 pm (BBQ lunch Friday's)","7.30 am to 9.00 am","7.30 am to 9.00 am","Closed",,"11, 12, 42, 109 (stop 11 Albert St)",,,"Food","Clothes and Blankets","Showers / Laundry","N/A","N/A","N/A","144.97548599999999","-37.809910000000002","(-37.80991, 144.975486)"
"Anglicare Victoria – St.Mark’s Community Centre","St Mark’s provides assistance to homeless people.  Drop-in centre Monday to Friday.
Bread, fruit, vegetables, weekly food parcels are available.
Lunch, Tea and Coffee facilities, Showers, Washing machines and dryers, Toiletries, Public telephones, Advice and referral.
St Mark’s will provide up to five PBS prescriptions per month for homeless people through the co-payment prescription scheme.  (Not Methadone / Buprenorphine).",,,"250 George Street ","Fitzroy","9419 3288",,,,"anglicarevic.org.au","@AnglicareVic",,"11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","Closed","Closed","Closed",,"11 (stop 40), 86 (stop 18 Grant St)",,,"Food","Clothes and Blankets","Showers / Laundry","N/A","N/A","N/A","144.98183499999999","-37.801611000000001","(-37.801611, 144.981835)"
"Anglicare Victoria – Mission House","Provides Emergency Relief to people living in Public Housing and rental properties with a Health Care Card.  ","Assistance may be given to those living in the following postcodes: 3000, 3051, 3053, 3054, 3065, 3066, 3067, 3068, 3070.",,"122 Napier Street","Fitzroy","9486 0445",,,,"anglicarevic.org.au","@AnglicareVic",,"Closed","10.00am – 12.00 Noon (Utility & Pharmaceutical ), 10.00am – 3.00pm (Op Shop), 1.30pm – 3.30pm (Food Parcels)","Closed","10.00am – 12.00 Noon (Utility & Pharmaceutical ), 10.00am – 3.00pm (Op Shop), 1.30pm – 3.30pm (Food Parcels)","Closed","Closed","Closed","Closed",,"12, 86 (stop 14 Napier St)",,,"Food","Clothes and Blankets","Showers / Laundry","N/A","N/A","N/A","144.97996000000001","-37.804544","(-37.804544, 144.97996)"
"Australian College of Optometry Outreach Services","Homeless Persons Eyecare Program, Supported Residential Services Project, Residential Aged Care Project, Older Persons High Rise, Aboriginal and Torres Strait Island Outreach, Visiting Disability Service","Low cost eye care for those of limited means.  Appointments bulk billed to Medicare.  Glasses subsidized for pension/health care card holders.",,"Corner Keppel and Cardigan Streets","Carlton","9349 7400",,,,"aco.org.au","@auscollegeoptom","facebook.com/australiancollegeofoptometry","8.30am – 5.30pm","8.30am – 5.30pm","8.30am – 5.30pm","8.30am – 5.30pm","8.30am – 5.30pm","8.30am – 5.00pm","Closed","Closed",,"1, 8 (stop 113 Lytton St)",,,"Health Services / Pharmacy","N/A","N/A","N/A","N/A","N/A",,,
"Brotherhood of St Laurence Coolibah Centre","Breakfast $1.00 
lunch $3, afternoon tea $0.20
showers
laundry facilities
health services
short-term case management
accommodation referral
social engagement activities
psychiatric referral
optometry every second month.","A person may be eligible for the Coolibah Centre if:

they are 55 years of age or over and live in the City of Yarra
they are experiencing homelessness or living in insecure housing
they are socially and financially disadvantaged
they have a disability and are receiving an Individual Support Plan (ISP) funding (45 years and over)
have a carer who needs respite.",,"67A Brunswick Street","Fitzroy ","1300 147 147",,,"bacci@bsl.org.au","bsl.org.au/services/older-people/day-and-respite-services/the-coolibah-centre/",,,"9.30am - 4.30pm","Closed","9.30am - 4.30pm","Closed","9.30am - 4.30pm","Closed","Closed","Closed","Member-based services only - $20.00 per year","11, 12, 86 (stop 13 Brunswick St)",,,"Food","Accommodation","Health Services / Pharmacy","Showers / Laundry","Counselling and Psychiatric Services","N/A","144.97726499999999","-37.805286000000002","(-37.805286, 144.977265)"
"CASA House Centre Against Sexual Assault","counselling, advocacy, health services, legal advice

The crisis-care unit at the Royal Women’s Hospital is available for recent assault victims.",,"3rd Floor Queen Victoria Women’s Centre","210 Lonsdale Street","Melbourne","9635 3600","9635 3610",,"casa@thewomens.org.au","casahouse.com.au",,,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"1, 3, 3a, 5, 6, 8, 16, 64, 67, 72 (stop  8 Melbourne Central Station)",,"Melbourne Central Station","Hospitals / Emergency","Counselling and Psychiatric Services","Legal / Financial Advice","N/A","N/A","N/A","144.965833","-37.810904000000001","(-37.810904, 144.965833)"
"CatholicCare/St Mary of the Cross Centre","referral, drug education, counselling, group support
outreach, multicultural support, families with drug and alcohol issues, 
spiritual support, HIV/AIDS ministry",,,"23 Brunswick Street","Fitzroy","8417 1200",,,,"ccam.org.au",,,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"11, 86, 12 (stop 13 Brunswick St)",,,"Needle Exchange","Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","144.976675","-37.806595000000002","(-37.806595, 144.976675)"
"Central City Community Health Service","Outreach support services for people experiencing or at risk of becoming homelessness, Allied Health Outreach Services, Mental Health Outreach Services, Royal Women’s Hospital Clinic
RDNS HPP Nurses, Legal Services – Justice Connect and Inner Melbourne Community Legall, Wintringham Over 50’s Planned Activity Group, Optometry, PESP Workers

Ask to speak to the Duty Worker.  Please refer to cohealth entry in this booklet for additional information",,,"53 Victoria Street","Melbourne","1300 022 247",,,,"cohealth.org.au",,,"10.00am - 4.00pm","10.00am - 4.00pm","10.00am - 4.00pm","10.00am - 4.00pm","10.00am - 4.00pm","Closed","Closed","Closed",,"19, 57, 59 (stop 7 RMIT University)",,"Melbourne Central Station","Health Services / Pharmacy","Counselling and Psychiatric Services","Legal / Financial Advice","N/A","N/A","N/A","144.96121400000001","-37.806517999999997","(-37.806518, 144.961214)"
"Centrelink","Centrelink is an Australian Government agency delivering a range of services to the community, including social security payments.",,,"94 York Street","South Melbourne","132850",,,,"humanservices.gov.au/customer/dhs/centrelink","@Centrelink",,"8.30am - 4.30pm","8.30am - 4.30pm","8.30am - 4.30pm","8.30am - 4.30pm","8.30am - 4.30pm","Closed","Closed","Closed",,"12 (stop 127 York St) ",,,"Legal / Financial Advice","Employment Assistance","Tenancy Assistance","N/A","N/A","N/A","144.95891399999999","-37.830941000000003","(-37.830941, 144.958914)"
"Church of All Nations","Lunch on Tuesdays, Food pantry, lnternet kiosk and drop-in centre, Carlton No Interest Loans Scheme, Carlton Worker Learning Centre, 
Referral and Advocacy, Women’s program, Family Learning Program/Children and Parents (Homework Club)",,,"180 Palmerston Street","Carlton","9347 7077",,,,"carlton-uca.org",,"facebook.com/CarltonChurchofAllNations","Worker Learning Centre 10.00 am – 5.00 pm, Homework Club 4.00 pm – 6.00 pm","Worker Learning Centre 10.00 am – 5.00 pm, Food pantry 10.00 am – 12.00 pm, No Interest Loans 10.00 am – 4.00pm, Women’s program 11.00 am – 3.00 pm, Homework Club 4.00 pm – 6.00 pm","Worker Learning Centre 10.00 am – 5.00 pm, Food pantry 10.00 am – 12.00 pm, No Interest Loans 10.00 am – 4.00pm, Women’s program 11.00 am – 3.00 pm, Homework Club 4.00 pm – 6.00 pm","Worker Learning Centre 10.00 am – 5.00 pm, Food pantry 10.00 am – 12.00 pm, No Interest Loans 10.00 am – 4.00pm","Worker Learning Centre 10.00 am – 5.00 pm","Closed","Closed","Closed",,"1, 8 (stop 112 Elgin St)",,,"Accommodation","N/A","N/A","N/A","N/A","N/A","144.96864199999999","-37.795940999999999","(-37.795941, 144.968642)"
"Clarendon Clinic","psychiatric services for people with serious mental illness, crisis assessment",,,"52 Albert Street","East Melbourne","9417 5696",,,,,,,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"24, 109 (stop 18 Grant St)",,,"Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","N/A","144.98892699999999","-37.810921","(-37.810921, 144.988927)"
"COHEALTH","allied health services, social welfare services, 
health promotion programs, dental services,
medical services, counselling and  mental health services",,,"12 Gower Street","Kensington","8378 1600",,,,"cohealth.org.au","@cohealth_au","facebook.com/cohealth","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,,"402 (Kensington Railway Station/Macaulay Rd (Kensington) Stop ID 7578)","Kensington (Craigieburn Line)","Health Services / Pharmacy","Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","144.92907400000001","-37.795025000000003","(-37.795025, 144.929074)"
"COHEALTH","Outreach Support Services for people experiencing or at risk of becoming homelessness., Homeless Mental Health and Housing Service,
Allied Health Outreach Services, Dietetics and Café Meals, Podiatry, Occupational Therapy, Physiotherapy",,,"53 Victoria Street","Melbourne","1300 022 247",,,,"cohealth.org.au","@cohealth_au","facebook.com/cohealth","10.00am - 4.00pm","10.00am - 4.00pm","10.00am - 4.00pm","10.00am - 4.00pm","10.00am - 4.00pm","Closed","Closed","Closed",,"19, 57, 59 (stop 7 RMIT University)",,"Melbourne Central Station","Counselling and Psychiatric Services","Food","Health Services / Pharmacy","N/A","N/A","N/A","144.96121400000001","-37.806517999999997","(-37.806518, 144.961214)"
"COHEALTH","Provides a broad range of health and welfare services 
Drop-in Clinic for homeless people every Monday from 9am -12 noon. Services include physiotherapy, podiatry, occupational therapy, dietetics, and nursing.

Aboriginal engagement worker available, café meals program for homeless people, drop-in social work/counselling sessions, showers, needle and syringe program

dental services for homeless people and for people with drug and/or alcohol issues – phone dental reception:  9411 3505",,,"75 Brunswick Street","Fitzroy","9411 3555",,,,"cohealth.org.au","@cohealth_au","facebook.com/cohealth","9.00am - 5.30pm","9.00am - 5.30pm","9.00am - 5.30pm","9.00am - 5.30pm","9.00am - 5.30pm","9.00am - 12.00 Noon","Closed","Closed",,"11, 86, 12 (stop 13 Brunswick St)",,,"Health Services / Pharmacy","Food","Drug and Alcohol","Needle Exchange","N/A","N/A","144.97696999999999","-37.805149","(-37.805149, 144.97697)"
"COHEALTH","range of health and welfare services, drug and alcohol counseling, drop in social work/counselling sessions
needle and syringe programs, mental health community  support, doctors and nurses.",,,"365 Hoddle Street","Collingwood","9411 4333",,,,"cohealth.org.au","@cohealth_au","facebook.com/cohealth","8.30am - 5.30pm","8.30am - 5.30pm","8.30am - 5.30pm","8.30am - 5.30pm","8.30am - 5.30pm","9.00am - 12.00 Noon","Closed","Closed",,,"905, 907, 908, 318, 309, 246, 906, 305, 302, 304, 350, 303 (Johnston St/Hoddle St (Collingwood) Stop ID 934)","Victoria Park (South Morang  or Hurstbridge Line)","Drug and Alcohol","Needle Exchange","Counselling and Psychiatric Services","Health Services / Pharmacy","N/A","N/A","144.99259799999999","-37.798881000000002","(-37.798881, 144.992598)"
"COHEALTH","broad range of allied health and counselling services, social work/counselling sessions (by appointment only), secondary needle and syringe exchange",,,"622 Lygon Street","Carlton North","9349 7333",,,,"cohealth.org.au","@cohealth_au","facebook.com/cohealth","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"1, 8 (stop 114 Princes St) ",,,"Counselling and Psychiatric Services","Needle Exchange","N/A","N/A","N/A","N/A","144.968594","-37.791715000000003","(-37.791715, 144.968594)"
"COHEALTH - Inner Space","Cohealth’s primary health service for people who inject drugs plus primary needle and syringe program.
Services include:
doctors
drug and alcohol counseling
nursing (including psychiatric nurse)
breakfast program
phone, shower and laundry facilities
advocacy, support and referral
needle and syringe program.

There are Allied Health Outreach Workers situated at the Centre.  These workers include the following:
Nutrionist
Physiotherapist
Podiatrist
Legal
Financial

Drop in Centre:
Monday to Friday
11.00am – 1.00pm
3.00pm. – 5.00pm

The needle syringe program operates Monday to Friday: from 10.30am – 6.30pm",,,"4 Johnston Street","Collingwood","9468 2800",,,,"cohealth.org.au","@cohealth_au","facebook.com/cohealth","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","Closed","Closed","Closed",,"86 (stop 19 Johnston St)",,,"Health Services / Pharmacy","Needle Exchange","Drug and Alcohol","N/A","N/A","N/A","144.98485400000001","-37.799008000000001","(-37.799008, 144.984854)"
"Depaul House","residential drug withdrawal service

Self referrals via the centralized hub.
Contact Direct Line on 1800 888 236 for your local hub.  You can also go on line to find your local service.",,,"9 Brunswick Street","Fitzroy","9231 2624",,,,"health.vic.gov.au/aod/help",,,"1.30 pm and 3.30pm","1.30 pm and 3.30pm","1.30 pm and 3.30pm","1.30 pm and 3.30pm","1.30 pm and 3.30pm","Open","Open","Open",,"86, 109, 12 (stop 11 Victoria Pde)",,,"Drug and Alcohol","N/A","N/A","N/A","N/A","N/A","144.976911","-37.807402000000003","(-37.807402, 144.976911)"
"Fitzroy Legal Service","A Community Legal Centre offering free legal advice, and some legal representation, community legal education, publications and law reform advocacy.",,,"124 Johnston Street","Fitzroy","9419 3744",,,"enquiries@fitzroy-legal.org.au","fitzroy-legal.org.au","@FitzroyLegal","facebook.com/fitzroylegal","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","Closed","Closed","Closed",,"12 (stop 16 Johnston St)",,,"Legal / Financial Advice","N/A","N/A","N/A","N/A","N/A","144.97908899999999","-37.798628999999998","(-37.798629, 144.979089)"
"Flagstaff Crisis Accommodation","supported accommodation, health services, psychiatric referral, drug and alcohol referral

free legal advice and assistance provided by Justice Connect –Tuesdays (fortnightly) at 1.00 pm. (by appointment)

Access to vacancies is only through Homeground Services. The local Homeground Service for the CBD area is located at 68 Oxford Street, Collingwood or telephone 9288 9611 or
Free call:  1800 048 325.","Accommodates men aged 18 years and over. ",,"Corner King and Roden Streets","West Melbourne","9329 4800",,,"adultservices@aus.salvationarmy.org","salvationarmy.org.au",,,"24 Hours","24 Hours, Free legal advice and assistance fortnightly at 1.00 pm. (by appointment)","24 Hours","24 Hours","24 Hours","Closed","Closed","Closed","Accommodation cost $25 per day, or $175 per week.","57 (stop 24 Victoria St)",,,"Hospitals / Emergency","Dentistry","Drug and Alcohol","Counselling and Psychiatric Services","N/A","N/A","144.949896","-37.806305999999999","(-37.806306, 144.949896)"
"Flemington & Kensington Community Legal Centre","free legal advice and assistance for residents of Flemington and Kensington","residents of Flemington and Kensington",,"22 Bellair Street","Kensington","9376 4355",,,"fklegal@fkclc.org.au","communitylaw.org.au/flemingtonkensington","@Flemlegal","facebook.com/FlemKenlegal","9:00am – 5:00pm (Closed:  12:30pm – 1:30pm for Lunch),  6.00 pm -7.00pm (appointments only)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","Closed","Closed","Closed",,"57 (stop 26 Newmarket Station)",,"Newmarket (Craigieburn Line)","Legal / Financial Advice","Tenancy Assistance","N/A","N/A","N/A","N/A","144.92872700000001","-37.789147999999997","(-37.789148, 144.928727)"
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
"Foot Patrol","needle exchange/health outreach program",,,,,"0412 155 491",,"1800 700 102",,"youthprojects.org.au/health/programs/foot-patrol","@Youth_Projects","facebook.com/YouthProjects","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12pm - 3.45pm, 7.30pm - 11.15pm","12pm - 3.45pm, 7.30pm - 11.15pm","12pm - 3.45 pm, 7.30pm - 11.15pm",,,,,"Needle Exchange","N/A","N/A","N/A","N/A","N/A",,,
"Frontyard Youth Services","accommodation referral, centrelink, youth connections, gateway reconnect, legal advice, health services, 
Job Services Australia, family reconciliation and mediation program","aged between 12 to 25
homeless, at risk of homelessness, disengaged or requiring support.",,"19 King Street","Melbourne","9611 2411",,"1800 800 531","frontyard@mcm.org.au","www.frontyard.org",,,"9.00 am – 8.00 pm","9.00 am – 8.00 pm","9.00 am – 8.00 pm","9.00 am – 8.00 pm","9.00 am – 8.00 pm","10.00 am– 6.00 pm","10.00 am– 6.00 pm","Open",,"City Circle, 70, 75 (stop  2 Melbourne Aquarium)",,"Southern Cross","Accommodation","Health Services / Pharmacy","Legal / Financial Advice","Employment Assistance","N/A","N/A","144.95730499999999","-37.819927999999997","(-37.819928, 144.957305)"
"GROW","A movement of community mental health and mutual support self-help groups.  Weekly groups are available for people who have been through a breakdown, or who are overwhelmed by problems and painful life experiences. ",,,"707 Glenhuntly Road","Caulfield South","9528 2977",,"1800 558 268","vic@grow.org.au","grow.org.au","@GrowAu","facebook.com/growau","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"67 (stop 50 Royal Pde)",,,"Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","N/A","145.01906099999999","-37.886526000000003","(-37.886526, 145.019061)"
"Hanover Fitzroy","The Assertive Outreach Team offers support to people sleeping out.  Support can include:
accommodation information and referral , sleeping gear and food bags, referral to other services such as health or legal services, visiting people who are sleeping out.",,,"145 Smith Street","Fitzroy","9288 9800",,,"fitzroy@hanover.org.au","hanover.org.au","@Hanovermelb","facebook.com/hanover.welfare.services","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"86 (stop 16 Peel St)",,,"Accommodation","Health Services / Pharmacy","Clothes and Blankets","N/A","N/A","N/A","144.98273599999999","-37.804577999999999","(-37.804578, 144.982736)"
"Hanover Southbank","short term supported crisis accommodation for men, women and couples

accommodation support and referrals, case management and planning, health services, learning and activities, drug and alcohol support, shared kitchen and bathroom facilities",,,"52 Haig Street","South Melbourne","9699 4566",,,"southbank@hanover.org.au","hanover.org.au","@Hanovermelb","facebook.com/hanover.welfare.services","12:00 AM - 11:59 AM","12:00 AM - 11:59 AM","12:00 AM - 11:59 AM","12:00 AM - 11:59 AM","12:00 AM - 11:59 AM","12:00 AM - 11:59 AM","Closed","Closed","Lodging fee arrangements are prepared on the below costs:
Working/Pension - $18.00 per night
New Start - $15.50 per night
Youth Allowance - $11.00 per night
(Breakfast is included)","96, 109, 12 (stop 124B Whiteman St)",,,"Accommodation","Health Services / Pharmacy","Showers / Laundry","N/A","N/A","N/A","144.95626799999999","-37.827398000000002","(-37.827398, 144.956268)"
"Hare Krishna Temple","free meals",,"Food for Life","197 Danks Street","Albert Park","9699 5122",,,,"harekrishnamelbourne.com.au","@harekrishnamelb","facebook.com/harekrishnamelbourne","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 6pm - 7pm","1pm - 1:30pm, 6pm - 7pm","Closed",,"12 (stop 136 Danks St)",,,"Food","N/A","N/A","N/A","N/A","N/A","144.954037","-37.848050999999998","(-37.848051, 144.954037)"
