"id_number","status","photo","type","city_owned","category","site","last_name","first_name","artist_city_state","title","medium","cost","date_purchased_installed","dimensions","funding","installed","deinstall","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"7","Permanent",,"Indoor","Yes","City Indoor","City Hall/ 3rd floor","Howard","Jim Ann","Pelham, TN","Fiery Gizzard","ink, casein, pastel","1800","1999",,"Purchased with funds from City of Chattanooga",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"126","Permanent","yes","Outdoor","Yes","City Outdoor","Bluff View Overlook","Rogers","Sally","Penland, NC","Continuum","stainless steel and Dakota mahogany granite","55000","2012",,"Purchased with private funds/The Lyndhurst Foundation",,,"35.05489","-85.30443","POINT (-85.30443 35.05489)",,,,
"89","Permanent","yes","Outdoor","Yes","City Outdoor","The Passage Ross's Landing","Scott","Knokovtee","Oklahoma","Weeping Eye Mask","glazed ceramic",,"2005",,"Purchased with private funds/21st Century Waterfront",,,,,,,,,
"140","Permanent","yes","Outdoor","Yes","City Outdoor","Stringer's Ridge","Van Lusk","Kyle","Brevard, NC","Trailhead Marker (Bell Ave.)","corten steel, stainless steel","22500","2013",,"Purchased with private funds/The Lyndhurst Foundation",,,,,,,,,
"38","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Segal","Joe","St. Augustine, FL","Untitled","wood, aluminum","2800","2000","50"" x 30""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"71","Permanent","yes","Outdoor","Yes","Masonry","Market St sidewalk @ Barber College","Collins","Jim","Signal Mountain, TN","Paddlewheel Boat","masonry","1000","1996",,"Purchased with private funds/Assocation for Visual Arts & Chattanooga Masonry Association",,,,,,,,,
"98","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #1","Collins","Jim","Signal Mountain, TN","Bluegrass Mandoliin","powder coated steel","8000","2007",,"Purchased with private funds/Thorpe and Francie McKenzie",,,"35.09949","-85.24859","POINT (-85.24859 35.09949)",,,,
"28","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Folsom","John","Atlanta, GA",,"mixed media","3500","2000","30"" x 40""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"42","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Stryk","Suzanne","Virginia","Triptych (birds)","oil on canvas","7350","2000","38"" x 48""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"66","Permanent","yes","Outdoor","Yes","Masonry","Broad St Sidewalk @ Big River Grille","Collins","Jim","Signal Mountain, TN","The Boat","masonry","1000","1993",,"Purchased with private funds/Assocation for Visual Arts & Chattanooga Masonry Association",,,"35.05407","-85.31058","POINT (-85.31058 35.05407)",,,,
"105","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #7.5","Collins","Jim","Signal Mountain, TN","Family Group","powder coated steel","8000","2007",,"Purchased with private funds/Hamilton County/The Benwood Foundation",,,"35.05584","-85.31542","POINT (-85.31542 35.05584)",,,,
"148","Permanent","yes","Outdoor","Yes","City Outdoor","Glass Street @ N. Chamberlain Ave.","Lambert","Weston","New Orleans, LA","Carved Glass & Stone Benches","glass, stone","12000","2013","2'10"" x 3'dia. X 1'6""","Purchased with private funds/Glass House Collective",,,"35.06556","-85.24899","POINT (-85.24899 35.06556)",,,,
"130","Permanent","yes","Outdoor","Yes","Art in Neighborhoods","Jefferson Heights Park","Burns","Samuel","Chattanooga, TN","Geometry in a Box","painted steel","7500","2012",,"Purchased with private funds/Lyndhurst Foundation, private donations",,,"35.03085","-85.30132","POINT (-85.30132 35.03085)",,,,
"4","Permanent","yes","Indoor","Yes","City Indoor","City Hall","Cope","Nancy","Fort Payne, AL","Copper Kettle with Fruit","oil on canvas","1600","1999",,"Purchased with funds from City of Chattanooga",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"146","Permanent","yes","Outdoor","Yes","City Outdoor","West Main Street @ CBR Auto Care","Manson","Joey","Central, SC","New Again","steel, concrete, paint","15000","2014","9' x 7' x 6'","Purchased with private funds/The Lyndhurst Foundation",,,"35.03768","-85.31108","POINT (-85.31108 35.03768)",,,,
"95","Permanent","yes","Outdoor","Yes","City Outdoor","Heritage Park","Van Houten","Skip","Ellisville, MS","Hub","steel, cast iron, stone, bronze","20000","2006",,"Purchased with private funds/21st Century Waterfront",,,"35.00943","-85.15188","POINT (-85.15188 35.00943)",,,,
"104","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #7","Collins","Jim","Signal Mountain, TN","Red Bicycle","powder coated steel","8000","2007",,"Purchased with private funds/The Cobb and Bowers Families",,,"35.05593","-85.30692","POINT (-85.30692 35.05593)",,,,
"88","Permanent","yes","Outdoor","Yes","City Outdoor","The Passage Ross's Landing","Scott","Knokovtee","Oklahoma","Connections","glazed ceramic",,"2005",,"Purchased with private funds/21st Century Waterfront",,,,,,,,,
"152","Permanent","yes","Outdoor","Yes","City Outdoor","St Elmo and Tenessee Avenues","Pilkey","Charles","Mint Hill, NC","St Elmo (A Hgistory in Steel)","painted steel","20000","2014","14'","Purchased with Lyndhurst Foundation funds, and funds raised by Historic  St Elmo Community Assoc.",,,"35.00976","-85.3281","POINT (-85.3281 35.00976)",,,,
"91","Permanent","yes","Outdoor","Yes","City Outdoor","The Passage Ross's Landing","Glass","Demos","Oklahoma","Little Waterspider","stainless steel","15237","2005",,"Purchased with private funds/21st Century Waterfront",,,"35.05658","-85.3099","POINT (-85.3099 35.05658)",,,,
"54","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Spencer ?","Jack","Kosciusko, MS","(man with cigarette)","photography",,,"28.5"" x 28.5""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"13","Permanent",,"Indoor","Yes","City Indoor","City Hall Annex/ 2nd Floor City Attorney's Office","Rogers","Andrew","Signal Mountain, TN","Greene County, TN","Type C print","300","1999",,"Purchased with funds from City of Chattanooga",,,"35.043108","-85.307899","POINT (-85.307899 35.043108)",,,,
"75","Permanent","yes","Outdoor","Yes","Masonry","Frazier Ave & Mr. Zip","Kelly","Lorri","Chattanooga, TN","The Piano","masonry","1000","2000",,"Purchased with private funds/Assocation for Visual Arts & Chattanooga Masonry Association",,,"35.06221","-85.30575","POINT (-85.30575 35.06221)",,,,
"174","Temporary","yes","Outdoor","Yes","7th Biennial","First Street Sculpure Garden","Klema","Stephen","Winstead, CT","Wood's Revenge--Resawn II","wood, metal, plastic","7500",,"4’ H x 9’ W x 5’ D",,"16-May","18-May",,,,,,,
"82","Permanent","yes","Outdoor","Yes","City Outdoor","The Passage Ross's Landing","Team Gadugi",,"Locust, OK","Disks (7 see below for titles)","glazed ceramic","217158","2005",,"Purchased with private funds/21st Century Waterfront",,,"35.05625","-85.30992","POINT (-85.30992 35.05625)",,,,
"136","Permanent","yes","Outdoor","Yes","Art on Main","West Main and Williams Streets","LeQuire","Alan","Nashville, TN","Casey Standing","bronze","40000","2013","6.9’ x 3’ x 2’","Purchased with private funds/The Lyndhurst Foundation",,,"35.03697","-85.30912","POINT (-85.30912 35.03697)",,,,
"158","Temporary","yes","Outdoor","Yes","Quilted","Convention Center","Jomir","Onorina","Paris, France","Fabric Wall","digital print on vinyl","500",,"4'W x 4' H",,"Sept-14","Dec-14",,,,,,,
"151","Permanent","yes","Outdoor","Yes","City Outdoor","Glass Street @ Wheeler Ave.","Woods","Catherine","St. Petersburg, FL","Storyteller Grouping","fabricated polychromed metal, concrete","12000","2013",,"Purchased with private funds/Glass House Collective",,,"35.06511","-85.25031","POINT (-85.25031 35.06511)",,,,
"36","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Mode","Carol","Nashville, TN","Untitled","oil on board","3600","2000","48"" x 36""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"145","Permanent","yes","Outdoor","Yes","City Outdoor","West Main Street @ Cowart St.","Jubran","Hanna","Grimesland, NC","Out of Nature","steel, paint","8800","2014","11' x 2' x 2'","Purchased with private funds/The Lyndhurst Foundation",,,"35.0373","-85.31011","POINT (-85.31011 35.0373)",,,,
"39","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Spencer","Jack","Kosciusko, MS","Cooter in the Corn with Horn","photography","1700","2000","20"" x 30""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"125","Permanent","yes","Outdoor","Yes","City Outdoor","Broad and Second Streets","Davis","John","Denver, CO","Landing","corten steel","30000","2012",,"Purchased with private funds/Benwood Foundation",,,"35.05463","-85.31049","POINT (-85.31049 35.05463)",,,,
"50","Permanent",,"Indoor","Yes","City Indoor","City Hall/All Floors","Vespermann","Seranda","Atlanta, GA","Dynamic City","stained glass","70000","2007",,"Purchased with funds from City of Chattanooga",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"3","Permanent",,"Indoor","Yes","City Indoor","City Hall/Storage (attic)","Chumley","Jere","Georgetown, TN","Prarie Schooner","oil on canvas","2000","1999",,"Purchased with funds from City of Chattanooga",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"93","Permanent","yes","Outdoor","Yes","City Outdoor","First Street Sculpure Garden","Conner","Angela","London","Poise","marble dust and cast resin","54000","2005","9' diameter","Purchased with private funds/Chattanooga Rotary Club",,,"35.05567","-85.30858","POINT (-85.30858 35.05567)",,,,
"64","Permanent","yes","Outdoor","Yes","City Outdoor","TN Aquarium Plaza","Hartmann","Jud","Blue Hill, ME","Cherokee","bronze","100000","1992",,"Purchased with private funds/gift from Elizabeth B Patten",,,"35.05594","-85.31165","POINT (-85.31165 35.05594)",,,,
"2","Permanent",,"Indoor","Yes","City Indoor","City Hall","Aplin","Liz","Lookout Mountain, TN","Summer's Abundance","pastel","700","1999",,"Purchased with funds from City of Chattanooga",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"58","Permanent",,"Indoor","Yes","City Indoor","City Hall/Foyer (by elevator)","Carlstrom","Lucinda","Atlanta, GA","Power of Gold/Gold","mixed media","1495",,,,,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"55","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Spencer ?","Jack","Kosciusko, MS","(woman with hand on forehead)","photography",,,"28.5"" x 28.5""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"141","Permanent","yes","Outdoor","Yes","City Outdoor","Stringer's Ridge","Van Lusk","Kyle","Brevard, NC","Trailhead Marker (Spears Ave.)","corten steel, stainless steel","22500","2013",,"Purchased with private funds/The Lyndhurst Foundation",,,,,,,,,
"6","Permanent","yes","Indoor","Yes","City Indoor","City Hall/3rd Floor Mayor's Office Hallway","Holsomback","Michael","Fort Oglethorpe, GA","Bird II","oil and collage on wood","550","1999",,"Purchased with funds from City of Chattanooga",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"133","Permanent","yes","Outdoor","Yes","Art on Main","East Main Street @ Main Street Meats","Brouwer","Charlie","Willis, VA","From Whence Cometh My Help?","locust wood","5000","2013","7.5’ x 3’ x 3’","Purchased with private funds/The Lyndhurst Foundation",,,"35.03519","-85.304604","POINT (-85.304604 35.03519)",,,,
"1","Permanent","yes","Indoor","Yes","City Indoor","City Hall","Allen","Elilzabeth","Lookout Mountain,TN","Pansies","watercolor","475","1999",,"Purchased with funds from City of Chattanooga",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"155","Permanent","yes","Outdoor","Yes","City Outdoor","Fire Station #1  @ Main Street","White","Bruce","Nokomis, FL","Scatter","painted aluminum, concrete","75000","2015","17' x 17' x 17'","Purchased with Lyndhurst Foundation funds",,,"35.035106","-85.305085","POINT (-85.305085 35.035106)",,,,
"46","Permanent",,"Indoor","Yes","City Indoor","Development Resource Center","Yon","Erin","Chattanooga, TN","5 Doors","acid etch on glass","25000","2000",,"Purchased with funds from City of Chattanooga",,,"35.040926","-85.308049","POINT (-85.308049 35.040926)",,,,
"173","Temporary","yes","Outdoor","Yes","7th Biennial","Renaissance Park","Proctor","Phil","Atlanta, GA","Cumulon","aluminum, polycarbonate, steel, LED lights","55000",,"15’ H x 8’ W x 12’ D",,"16-May","18-May",,,,,,,
"101","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #4","Collins","Jim","Signal Mountain, TN","Yellow Bicycle","powder coated steel","8000","2007",,"Purchased with private funds/Mary Eastman and Joe Sliger",,,"35.06964","-85.27172","POINT (-85.27172 35.06964)",,,,
"56","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Stryk","Suzanne","Virginia","Beetle",,,,"23"" x 17""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"147","Permanent","yes","Outdoor","Yes","City Outdoor","Glass Street @ N. Chamberlain Ave.","Falkenhayn","Nicky","Portland, OR","Glass Houses","mild blackened steel, trex, recycled glass","12000","2014","8'x5'x6'4""","Purchased with private funds/Glass House Collective",,,"35.06535","-85.24896","POINT (-85.24896 35.06535)",,,,
"172","Temporary","yes","Outdoor","Yes","7th Biennial","Phillips Park","Jubran","Hanna","Grimesland, NC","Allegro","steel & paint","25000",,"12' x 4' x 5'",,"16-Apr","18-Apr",,,,,,,
"39","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Spencer","Jack","Kosciusko, MS","Jack Owens","photography","1700","2000","20"" x 30""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"122","Permanent","yes","Outdoor","Yes","Art in Neighborhoods","Brainerd Rd + Seminole","Lueza","Cecilia","St. Petersburg, FL","Winds of Change","stainless steel, epoxy, resin","15000","2011/2009",,"Purchased with private funds/Lyndhurst Foundation, private donations",,,"35.028222","-85.25544","POINT (-85.25544 35.028222)",,,,
"100","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #3","Collins","Jim","Signal Mountain, TN","Wheelchair Watcher","powder coated steel","8000","2007",,"Purchased with private funds/Hamilton County/City of Chattanooga",,,"35.08031","-85.26646","POINT (-85.26646 35.08031)",,,,
"52","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Koehler","James","Santa Fe, NM","Tapestry (blue)","hand dyed wool",,,"54"" x 54""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"127","Permanent","yes","Outdoor","Yes","City Outdoor","Woodland & Frazier Aves","Simon","James","Pittsburgh, PA","Chattanooga Music Man","fiber reinforced concrete, oxide pigment","30000","2012",,"Purchased with private funds/Lyndhurst Foundation, private donations",,,"35.06271","-85.30788","POINT (-85.30788 35.06271)",,,,
"44","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Witherspoon","Robert","Atlanta, GA","Wall relief sculpture","mixed media","5000","2000",,,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"149","Permanent","yes","Outdoor","Yes","City Outdoor","Glass Street @ Awtry St.","Weed","Christopher","Colorado Springs, CO","Purple Cone Flowers","powder coated mild steel, stainless steel","12000","2014","8' x 3'10"" x 12'","Purchased with private funds/Glass House Collective",,,"35.06518","-85.24934","POINT (-85.24934 35.06518)",,,,
"48","Permanent",,"Indoor","Yes","City Indoor","Development Resource Center","Holsomback","Michael","Fort Oglethorpe, GA","Shine Like a Roosevelt Dime","oil on canvas","1500","2004",,"Purchased with private funds/gift from Stroud and Cynthia Watson",,,"35.040926","-85.308049","POINT (-85.308049 35.040926)",,,,
"12","Permanent",,"Indoor","Yes","City Indoor","City Hall Annex/ 2nd Floor City Attorney's Office","Ringhofer","John","Collegedale, TN","Drawing for Modern Space: C","mixed media","275","1999",,"Purchased with funds from City of Chattanooga",,,"35.043108","-85.307899","POINT (-85.307899 35.043108)",,,,
"124","Permanent","yes","Outdoor","Yes","City Outdoor","Market and Second Streets","Davis","John","Denver, CO","Atrack","corten steel","30000","2012",,"Purchased with private funds/Benwood Foundation",,,"35.05464","-85.3099","POINT (-85.3099 35.05464)",,,,
"119","Permanent","yes","Outdoor","Yes","City Outdoor","Hixson Pike at Access Rd","Light","Andrew","Lexington, KY","Arise","steel and stainless steel","12000","2010/2009",,"Purchased with private funds/The Lyndhurst Foundation and private donations",,,"35.11425","-85.25723","POINT (-85.25723 35.11425)",,,,
"128","Permanent","yes","Outdoor","Yes","City Outdoor","450 West Main Street","Sayre","Thomas","Raleigh, NC","The Main Terrain","corten steel, concrete, terazzo","250000","2012 / 2013",,"Purchases with funds from an NEA Our Town Grant",,,"35.038965","-85.311778","POINT (-85.311778 35.038965)",,,,
"109","Permanent","yes","Outdoor","Yes","City Outdoor","TN Aquarium Plaza","Fennell","Chris","Birmingham, AL","Railwave","wood, concrete, steel","27685","2008",,"Purchased with funds from City of Chattanooga",,,"35.05609","-85.31183","POINT (-85.31183 35.05609)",,,,
"154","Permanent","yes","Outdoor","Yes","City Outdoor","AT&T Building @ MLK Blvd.","Saligman","Meg","Philadelphia, PA","We Will Not Be Satisfied Until…","mural","250000","2015","42,000 sq.ft.","Purchased with Lyndhurst Foundation & Benwood Foundation funds",,,"35.04432","-85.305361","POINT (-85.305361 35.04432)",,,,
"107","Permanent","yes","Outdoor","Yes","City Outdoor","Renaissance Park","Hussey","Aaron & Brad Bourgoyne","Baton Rouge, LA","Ascending Path","cast resin, bronze, corten steel","69953.86","2007",,"Purchased with private funds/The Tonya Foundation",,,"35.06016","-85.3098","POINT (-85.3098 35.06016)",,,,
"41","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Steltemeir","Butler","Leiper's Fork, TN","Cherries + Olives Study (3)","oil on board","9150","2000","36.5"" x 47""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"103","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #6","Collins","Jim","Signal Mountain, TN","Father/Daughter","powder coated steel","8000","2007",,"Purchased with private funds/Erlanger Health Systems",,,"35.05311","-85.29653","POINT (-85.29653 35.05311)",,,,
"102","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #5","Collins","Jim","Signal Mountain, TN","Walking Man","powder coated steel","8000","2007",,"Purchased with private funds/The Lyndhurst Foundation",,,"35.05719","-85.28114","POINT (-85.28114 35.05719)",,,,
"74","Permanent","yes","Outdoor","Yes","Masonry","Howard Highschool","Collins","Jim","Signal Mountian, TN","Mascot gateway","masonry","1000","2000",,"Purchased with private funds/Assocation for Visual Arts & Chattanooga Masonry Association",,,"35.025799","-85.31119","POINT (-85.31119 35.025799)",,,,
"90","Permanent","yes","Outdoor","Yes","City Outdoor","The Passage Ross's Landing","McMurtry","Robbie","Morris, OK","Stickball players","stainless steel","44180","2005",,"Purchased with private funds/21st Century Waterfront",,,"35.05679","-85.3101","POINT (-85.3101 35.05679)",,,,
"85","Permanent","yes","Outdoor","Yes","City Outdoor","The Passage Ross's Landing","Foster","Ken","Coarsegold, GA","The Four Journey Directions","glazed ceramic",,"2005",,"Purchased with private funds/21st Century Waterfront",,,,,,,,,
"33","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Jorjorian","Byron","Thomson's Station, TN","Fall Leaves (6)","photography","11400","2000","30"" x 72""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"45","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Yon","Erin","Chattanooga, TN","Eureka","stained glass","6000","2000",,,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"35","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Mode","Carol","Nashville, TN","Untitled","oil on board","3600","2000","48"" x 36""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"37","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Redmond","Carole","Denver, CO","Pears and Bowls (4)","oil on paper","3100","2000","30"" x 30""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"153","Permanent","yes","Outdoor","Yes","City Outdoor","E. Brainerd @ Bass Rd.","Light","Andrew","Lexington, KY","Fiercely (Over I)","steel","25000","2014","18'x12'x14'","Purchased with private funds/Discretionary funds County Commisssioner Tim Boyd",,,"35.01554","-85.2018","POINT (-85.2018 35.01554)",,,,
"135","Permanent","yes","Outdoor","Yes","Art on Main","63 East Main Street @ Green | Spaces","Krucke","Mark","Garner, NC","Fortitude","steel, oil-based paint, rust","25000","2013","4’ x 4’ x 4’","Purchased with private funds/The Lyndhurst Foundation",,,"35.0355","-85.30543","POINT (-85.30543 35.0355)",,,,
"16","Permanent",,"Indoor","Yes","City Indoor","City Hall/3rd Floor Mayor's Office Hallway","Williams","Martha","Signal Mountain, TN","Intermission at the Tivoli","acrylic","500","1999",,"Purchased with funds from City of Chattanooga",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"142","Permanent","yes","Outdoor","Yes","City Outdoor","Stringer's Ridge","Van Lusk","Kyle","Brevard, NC","Trailhead Marker","corten steel, stainless steel","22500","2013",,"Purchased with private funds/The Lyndhurst Foundation",,,,,,,,,
"110","Permanent","yes","Outdoor","Yes","City Outdoor","First Street Sculpure Garden","Peterson","Louise","Guffey, CO","High Four","bronze","16000","2008",,"Purchased with private funds/21st Century Waterfront",,,"35.05578","-85.30773","POINT (-85.30773 35.05578)",,,,
"175","Temporary","yes","Outdoor","Yes","7th Biennial","First Street Sculpure Garden","Chew","Mark","Northport, FL","Tonight","structural steel, powder coated","40000",,"18' H x 6' D x 5' W",,"16-Oct","18-Oct",,,,,,,
"150","Permanent","yes","Outdoor","Yes","City Outdoor","Glass Street @ N. Chamberlain Ave.","Weed","Christopher","Colorado Springs, CO","Colored Building Blocks","steel, epoxy, urethane","12000","2014","8' x 3' x 3'7""","Purchased with private funds/Glass House Collective",,,"35.06571","-85.24799","POINT (-85.24799 35.06571)",,,,
"96","Permanent","yes","Outdoor","Yes","City Outdoor","Tennessee Riverwalk","Collins","Jim","Signal Mountain, TN","(9) Riverwalk Milemarkers see below","powder coated steel",,"2007",,,,,,,,,,,
"144","Permanent","yes","Outdoor","Yes","City Outdoor","West Main Street @ Pilgrim's Pride","Connelly","Mark","Brevard, NC","An Scealai","steel, cast iron","12500","2014","9' x 2' x 3'8""","Purchased with private funds/The Lyndhurst Foundation",,,"35.0377","-85.31172","POINT (-85.31172 35.0377)",,,,
"174","Temporary","yes","Outdoor","Yes","7th Biennial","Riverfront Parkway @ Aquarium","Gallucci","Jim","Greensboro, NC","Next Milllenium Gate","steel & paint","25000",,"15’ H x 14’ W x 8’ D",,"16-May","18-May",,,,,,,
"112","Permanent","yes","Outdoor","Yes","City Outdoor","Market St Bridge/southend","Akhriev","Daud","Chattanooga, TN","Summer","bronze","75000","2009",,"Purchased with private funds",,,"35.05618","-85.30985","POINT (-85.30985 35.05618)",,,,
"30","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Holsomback","Michael","Chattanooga, TN","Untitled","mixed media on board","925","2000","48"" x 48""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"25","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Collins","Jim","Chattanooga, TN","Chattanooga's First Philanthropist","mixed media collage","3000","2000","36"" x 48""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"38","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Sanders","Mary Beth","Chattanooga, TN","Untitled","mixed media","500","2000","49"" x 36""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"111","Permanent","yes","Outdoor","Yes","City Outdoor","Market St Bridge/southend","Akhriev","Daud","Chattanooga, TN","Spring","bronze","75000","2009",,"Purchased with private funds",,,"35.05615","-85.30963","POINT (-85.30963 35.05615)",,,,
