"exam_number","general_government_gru","department","division","job_title","ethnic_code","applicant_ethnicity","gender_code","applicant_gender","date_application_received","applicant_state","city","applicant_zip_code","zip_code_location"
"010-04751","GRU",,,"Power Plant Maintenance Planner","WH","White Alone Hispanic","M","Male","2013-10-23T00:00:00.000","Puerto Rico",,"00952-0572",
"010-04787","GRU",,,"Account Clerk, Senior","WH","White Alone Hispanic","M","Male","2013-10-14T00:00:00.000","Puerto Rico",,"00662",
"4715","GG",,,"Latent Fingerprint Examiner","WNH","White Alone Non-Hispanic","F","Female","2013-10-07T00:00:00.000","Armed Forces Africa/Canada/Europe/Middle East",,"N8R 2B8",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2013-10-05T00:00:00.000","Puerto Rico",,"00718",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2013-10-04T00:00:00.000","Puerto Rico",,"00767",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2013-10-04T00:00:00.000","Puerto Rico",,"00987",
"4148","GG",,,"POLICE SERVICE TECHNICIAN I","OH","Other Hispanic or Latino","M","Male","2013-09-04T00:00:00.000","Florida",,"00957",
"4389","GG",,,"Recreation Supervisor-Athletic Programs","WNH","White Alone Non-Hispanic","M","Male","2013-09-03T00:00:00.000","Florida",,"333024",
"4725","GG",,,"Technical Support Specialist 3","OH","Other Hispanic or Latino","M","Male","2013-09-01T00:00:00.000","Puerto Rico",,"00731",
"010-04672","GRU",,,"W/WW Engineering Director","WNH","White Alone Non-Hispanic","M","Male","2013-08-27T00:00:00.000","Nevada",,"M8V1E5",
"010-04672","GRU",,,"W/WW Engineering Director","WH","White Alone Hispanic","M","Male","2013-08-25T00:00:00.000","Puerto Rico",,"00979",
"4653","GG",,,"Nature Assistant","BNH","Black Alone Non-Hispanic","M","Male","2013-07-22T00:00:00.000","Florida",,"35607",
"4632","GG",,,"Maintenance Worker I - RTS","BNH","Black Alone Non-Hispanic","M","Male","2013-07-22T00:00:00.000","Florida",,"35607",
"4621","GG",,,"Entomologist","ANH","Asian Alone Non-Hispanic","M","Male","2013-07-18T00:00:00.000","Arizona",,"46000",
"010-04648","GRU",,,"ACCOUNTANT II","OH","Other Hispanic or Latino","F","Female","2013-07-17T00:00:00.000","Puerto Rico",,"00726",
"010-04649","GRU",,,"TSA II","OH","Other Hispanic or Latino","M","Male","2013-07-15T00:00:00.000","Puerto Rico",,"00725",
"010-04648","GRU",,,"ACCOUNTANT II","ANH","Asian Alone Non-Hispanic","M","Male","2013-07-15T00:00:00.000","Tennessee",,"600049",
"04535-A","GG",,,"Transit Operator Trainee","WNH","White Alone Non-Hispanic","F","Female","2013-07-12T00:00:00.000","Florida",,"23656",
"010-04670","GRU",,,"Technical Support Specialist III","OH","Other Hispanic or Latino","M","Male","2013-07-10T00:00:00.000","Puerto Rico",,"00617",
"04535-A","GG",,,"Transit Operator Trainee","BNH","Black Alone Non-Hispanic","M","Male","2013-07-10T00:00:00.000","Florida",,"35607",
"4501","GG",,,"Temporary Park Maintenance Worker II","BNH","Black Alone Non-Hispanic","M","Male","2013-07-10T00:00:00.000","Florida",,"35607",
"4640","GG",,,"Legal Staff Assistant","UNK","Unknown","F","Female","2013-07-08T00:00:00.000","Florida",,"03500",
"010-04674","GRU",,,"Staff Specialist","OH","Other Hispanic or Latino","F","Female","2013-07-01T00:00:00.000","Puerto Rico",,"00926",
"010-04651","GRU",,,"Water/Wastewater Instrumentation, Controls and Electrical (ICE) Technician","OH","Other Hispanic or Latino","M","Male","2013-06-29T00:00:00.000","Puerto Rico",,"00617",
"010-04475A","GRU",,,"Network Administrator - IT IDA, Sr.","WNH","White Alone Non-Hispanic","M","Male","2013-06-28T00:00:00.000","Florida",,,
"4640","GG",,,"Legal Staff Assistant","OH","Other Hispanic or Latino","M","Male","2013-06-17T00:00:00.000","Maine",,"75950",
"4621","GG",,,"Entomologist","WNH","White Alone Non-Hispanic","F","Female","2013-06-11T00:00:00.000","Alabama",,"KY1-9006",
"4498","GG",,,"Parking Operations Attendant II","OH","Other Hispanic or Latino","M","Male","2013-06-03T00:00:00.000","Florida",,"03208",
"4554","GG",,,"Temporary Support Staff I","OH","Other Hispanic or Latino","M","Male","2013-06-03T00:00:00.000","Florida",,"03208",
"4621","GG",,,"Entomologist","AWNH","Asian and White Non-Hispanic","M","Male","2013-06-03T00:00:00.000","International",,"55050",
"4621","GG",,,"Entomologist","ANH","Asian Alone Non-Hispanic","M","Male","2013-06-03T00:00:00.000","International",,"520001",
"4578","GG",,,"ENGINEER IV/UTILITY DESIGNER IV","OH","Other Hispanic or Latino","M","Male","2013-05-31T00:00:00.000","Puerto Rico",,"00987",
"4303","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2013-05-27T00:00:00.000","Florida",,"00957",
"4573","GG",,,"Labor Crew Leader","BNH","Black Alone Non-Hispanic","M","Male","2013-05-14T00:00:00.000","U.S. Virgin Islands",,"00804",
"3479","GG",,,"Operations Supervisor - Stormwater Construction","WNH","White Alone Non-Hispanic","M","Male","2013-05-11T00:00:00.000","Florida",,"34776",
"4303","GG",,,"POLICE OFFICER","WH","White Alone Hispanic","M","Male","2013-05-09T00:00:00.000","Puerto Rico",,"00921",
"4005","GG",,,"Building Attendant","BNH","Black Alone Non-Hispanic","F","Female","2013-05-09T00:00:00.000","Florida",,"32069",
"4578","GG",,,"ENGINEER IV/UTILITY DESIGNER IV","OH","Other Hispanic or Latino","M","Male","2013-05-07T00:00:00.000","Puerto Rico",,"00982",
"010-04552","GRU",,,"Meter Reader","OH","Other Hispanic or Latino","M","Male","2013-04-30T00:00:00.000","Puerto Rico",,"00735",
"010-04552","GRU",,,"Meter Reader","OH","Other Hispanic or Latino","M","Male","2013-04-29T00:00:00.000","Puerto Rico",,"00735",
"010-04607","GRU",,,"Accounting Supervisor","BNH","Black Alone Non-Hispanic","F","Female","2013-04-25T00:00:00.000","U.S. Virgin Islands",,"00823",
"010-04552","GRU",,,"Meter Reader","BNH","Black Alone Non-Hispanic","M","Male","2013-04-25T00:00:00.000","Florida",,"36241",
"4611","GG",,,"GIS Specialist - Planning","PND","Prefer Not to Disclose","M","Male","2013-04-24T00:00:00.000","Puerto Rico",,,
"4599","GG",,,"Clerk II","WNH","White Alone Non-Hispanic","F","Female","2013-04-17T00:00:00.000","Florida",,"32652",
"010-04427","GRU",,,"POWER PLANT LABORATORY TECHNICIAN","ANH","Asian Alone Non-Hispanic","F","Female","2013-04-12T00:00:00.000","Florida",,"31174",
"010-04427","GRU",,,"POWER PLANT LABORATORY TECHNICIAN","WNH","White Alone Non-Hispanic","M","Male","2013-04-12T00:00:00.000","International",,"L9H5Y2",
"010-04427","GRU",,,"POWER PLANT LABORATORY TECHNICIAN","OH","Other Hispanic or Latino","M","Male","2013-04-07T00:00:00.000","Puerto Rico",,"00795",
"4553","GG",,,"Temp Professional - HR/OD Representative","IWNH","American Indian, Alaskan Native and White Non-Hispanic","F","Female","2013-04-05T00:00:00.000","International",,"110023",
"010-04570","GRU",,,"Analyst","WNH","White Alone Non-Hispanic","M","Male","2013-04-04T00:00:00.000","Armed Forces Africa/Canada/Europe/Middle East",,"N6G4V8",
"010-04427","GRU",,,"POWER PLANT LABORATORY TECHNICIAN","OH","Other Hispanic or Latino","M","Male","2013-04-01T00:00:00.000","Puerto Rico",,"00683",
"010-04427","GRU",,,"POWER PLANT LABORATORY TECHNICIAN","OH","Other Hispanic or Latino","M","Male","2013-03-29T00:00:00.000","Puerto Rico",,"00795",
"4433","GG",,,"Intergovermental Affairs Coordinator","OH","Other Hispanic or Latino","F","Female","2013-03-26T00:00:00.000","Puerto Rico",,"00738",
"4497","GG",,,"Park Maintenance Worker III","OH","Other Hispanic or Latino","M","Male","2013-03-23T00:00:00.000","Puerto Rico",,"00729",
"4535","GG",,,"TRANSIT OPERATOR TRAINEE","WNH","White Alone Non-Hispanic","M","Male","2013-03-20T00:00:00.000","Florida",,"32543",
"4502","GG",,,"Park Maintenance Worker III","WNH","White Alone Non-Hispanic","M","Male","2013-03-16T00:00:00.000","Florida",,"32690",
"4548","GG",,,"Parks Maintenance Worker I","WNH","White Alone Non-Hispanic","M","Male","2013-03-16T00:00:00.000","Florida",,"32690",
"4148","GG",,,"POLICE SERVICE TECHNICIAN I","OH","Other Hispanic or Latino","M","Male","2013-03-13T00:00:00.000","Puerto Rico",,"00729",
"4548","GG",,,"Parks Maintenance Worker I","OH","Other Hispanic or Latino","M","Male","2013-03-13T00:00:00.000","Puerto Rico",,"00729",
"4502","GG",,,"Park Maintenance Worker III","OH","Other Hispanic or Latino","M","Male","2013-03-12T00:00:00.000","Puerto Rico",,"00729",
"4535","GG",,,"TRANSIT OPERATOR TRAINEE","OH","Other Hispanic or Latino","M","Male","2013-03-11T00:00:00.000","Puerto Rico",,"00729",
"4497","GG",,,"Park Maintenance Worker III","BNH","Black Alone Non-Hispanic","M","Male","2013-03-11T00:00:00.000","Florida",,"35607",
"4520","GG",,,"Traffic Signs and Markings Technician I","OH","Other Hispanic or Latino","M","Male","2013-02-25T00:00:00.000","Puerto Rico",,"00729",
"4498","GG",,,"Parking Operations Attendant II","OH","Other Hispanic or Latino","M","Male","2013-02-25T00:00:00.000","Puerto Rico",,"00729",
"4390","GG",,,"Recreation Supervisor- Educational Recreational Programming","WNH","White Alone Non-Hispanic","M","Male","2013-02-25T00:00:00.000","International",,"47400",
"4389","GG",,,"Recreation Supervisor-Athletic Programs","WNH","White Alone Non-Hispanic","F","Female","2013-02-23T00:00:00.000","North Carolina",,"27653",
"4390","GG",,,"Recreation Supervisor- Educational Recreational Programming","WH","White Alone Hispanic","M","Male","2013-02-21T00:00:00.000","Puerto Rico",,"00969",
"4303","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2013-02-08T00:00:00.000","Puerto Rico",,"00959",
"4505","GG",,,"Water/Wastewater ICE Tech.","ANH","Asian Alone Non-Hispanic","M","Male","2013-02-05T00:00:00.000","Pennsylvania",,"01047",
"4493","GG",,,"Temporary/Seasonal Pool Attendant","BNH","Black Alone Non-Hispanic","F","Female","2013-01-30T00:00:00.000","Florida",,"32069",
"03597A","GG",,,"SCHOOL CROSSING GUARD","BNH","Black Alone Non-Hispanic","F","Female","2013-01-30T00:00:00.000","Florida",,"32069",
"4402","GG",,,"Housing and Community Development Supervisor","OH","Other Hispanic or Latino","F","Female","2013-01-21T00:00:00.000","Puerto Rico",,"00780",
"4493","GG",,,"Temporary/Seasonal Pool Attendant","WNH","White Alone Non-Hispanic","M","Male","2013-01-21T00:00:00.000","International",,"614600",
"4480","GG",,,"Analyst, Senior","PND","Prefer Not to Disclose","F","Female","2013-01-17T00:00:00.000","Puerto Rico",,"00961",
"04069-A","GG",,,"Temporary Lifeguard","UNK","Unknown","M","Male","2013-01-16T00:00:00.000","International",,"456770",
"4439","GG",,,"Broadcast/Digital Media Assistant Producer","OH","Other Hispanic or Latino","M","Male","2013-01-13T00:00:00.000","Puerto Rico",,"00602",
"010-04440","GRU",,,"Staff Assistant","OH","Other Hispanic or Latino","F","Female","2012-12-28T00:00:00.000","Florida",,"35696",
"010-04154","GRU",,,"Business System Analyst II - IT","ANH","Asian Alone Non-Hispanic","M","Male","2012-12-24T00:00:00.000","Armed Forces Africa/Canada/Europe/Middle East",,"400703",
"010-04440","GRU",,,"Staff Assistant","OH","Other Hispanic or Latino","M","Male","2012-12-20T00:00:00.000","Puerto Rico",,"00729",
"4148","GG",,,"POLICE SERVICE TECHNICIAN I","BNH","Black Alone Non-Hispanic","F","Female","2012-12-18T00:00:00.000","Florida",,"32416",
"3799","GG",,,"Maintenance Worker 1","WNH","White Alone Non-Hispanic","M","Male","2012-11-19T00:00:00.000","Florida",,"32021",
"4409","GG",,,"Tree Surgeon I","OH","Other Hispanic or Latino","M","Male","2012-11-16T00:00:00.000","Puerto Rico",,"00729",
"010-04394","GRU",,,"POWER PLANT MAINTENANCE PLANNER","ANH","Asian Alone Non-Hispanic","M","Male","2012-11-16T00:00:00.000","Florida",,"00841",
"010-04408","GRU",,,"POWER SYSTEMS OPERATIONS MANAGER","WNH","White Alone Non-Hispanic","M","Male","2012-11-16T00:00:00.000","Maine",,"11111",
"010-04382","GRU",,,"POWER PLANT OPERATOR JOURNEY LEVEL","BNH","Black Alone Non-Hispanic","M","Male","2012-11-15T00:00:00.000","U.S. Virgin Islands",,"00841",
"010-04382","GRU",,,"POWER PLANT OPERATOR JOURNEY LEVEL","BNH","Black Alone Non-Hispanic","M","Male","2012-11-14T00:00:00.000","U.S. Virgin Islands",,"00823",
"010-04382","GRU",,,"POWER PLANT OPERATOR JOURNEY LEVEL","BNH","Black Alone Non-Hispanic","M","Male","2012-11-14T00:00:00.000","U.S. Virgin Islands",,"00851",
"010-04382","GRU",,,"POWER PLANT OPERATOR JOURNEY LEVEL","WNH","White Alone Non-Hispanic","M","Male","2012-11-13T00:00:00.000","International",,"06015",
"010-04382","GRU",,,"POWER PLANT OPERATOR JOURNEY LEVEL","WH","White Alone Hispanic","M","Male","2012-11-12T00:00:00.000","Puerto Rico",,"00795",
"010-04387","GRU",,,"WATER RECLAMATION LABORATORY TECHNICIAN","ANH","Asian Alone Non-Hispanic","F","Female","2012-11-02T00:00:00.000","Florida",,"31174",
"010-04181","GRU",,,"Water Plant Operator/Mechanic Apprentice - Murphree Plant","BNH","Black Alone Non-Hispanic","M","Male","2012-10-28T00:00:00.000","Puerto Rico",,"00959",
"010-04335","GRU",,,"Wastewater Mechanic Trainee","WNH","White Alone Non-Hispanic","M","Male","2012-10-27T00:00:00.000","Florida",,"23625",
"010-04387","GRU",,,"WATER RECLAMATION LABORATORY TECHNICIAN","PND","Prefer Not to Disclose","P","Prefer not to disclose","2012-10-23T00:00:00.000","Georgia",,"00803-3606",
"4346","GG",,,"General Services Director","WH","White Alone Hispanic","M","Male","2012-10-19T00:00:00.000","Puerto Rico",,"00969",
"4346","GG",,,"General Services Director","OH","Other Hispanic or Latino","M","Male","2012-10-04T00:00:00.000","Puerto Rico",,"00953",
"4304","GG",,,"Park Maintenance Worker II","WNH","White Alone Non-Hispanic","M","Male","2012-10-02T00:00:00.000","Florida",,"34880",
"4303","GG",,,"POLICE OFFICER","BNH","Black Alone Non-Hispanic","M","Male","2012-09-22T00:00:00.000","U.S. Virgin Islands",,"00802",
"4341","GG",,,"Firefighter - Gainesville Fire Rescue","WNH","White Alone Non-Hispanic","M","Male","2012-09-20T00:00:00.000","International",,"G71 6EN",
"4341","GG",,,"Firefighter - Gainesville Fire Rescue","BNH","Black Alone Non-Hispanic","M","Male","2012-09-20T00:00:00.000","International",,"m3n 2w1",
"4307","GG",,,"HR/OD Representative II","OH","Other Hispanic or Latino","F","Female","2012-09-17T00:00:00.000","Florida",,"00656",
"04105-A","GG",,,"Transit Operator Trainee","BNH","Black Alone Non-Hispanic","M","Male","2012-09-17T00:00:00.000","Florida",,"43382",
"4148","GG",,,"POLICE SERVICE TECHNICIAN I","BNH","Black Alone Non-Hispanic","M","Male","2012-09-04T00:00:00.000","Florida",,"35605",
"010-03788","GRU",,,"TEMPORARY ENGINEERING INTERN","PND","Prefer Not to Disclose","P","Prefer not to disclose","2012-09-01T00:00:00.000","International",,"247001",
"4143","GG",,,"TRANSIT PLANNER","WNH","White Alone Non-Hispanic","M","Male","2012-08-18T00:00:00.000","International",,"2661 RB",
"4219","GG",,,"GIS Specialist - Planning - Public Works","OH","Other Hispanic or Latino","M","Male","2012-08-08T00:00:00.000","Puerto Rico",,"00718",
"4219","GG",,,"GIS Specialist - Planning - Public Works","ANH","Asian Alone Non-Hispanic","M","Male","2012-08-08T00:00:00.000","Indiana",,"721401",
"010-03788","GRU",,,"TEMPORARY ENGINEERING INTERN","OH","Other Hispanic or Latino","M","Male","2012-07-24T00:00:00.000","Puerto Rico",,"00976",
"4264","GG",,,"Analyst, Senior - Public Works","WH","White Alone Hispanic","F","Female","2012-07-23T00:00:00.000","Florida",,"00918",
"4264","GG",,,"Analyst, Senior - Public Works","WH","White Alone Hispanic","M","Male","2012-07-22T00:00:00.000","Puerto Rico",,"00959",
"010-04256","GRU",,,"Customer Accounts Representative","PND","Prefer Not to Disclose","F","Female","2012-07-22T00:00:00.000","Florida",,"31615",
"010-04256","GRU",,,"Customer Accounts Representative","WH","White Alone Hispanic","F","Female","2012-07-16T00:00:00.000","Puerto Rico",,"00680",
"010-04257","GRU",,,"NETWORK ANALYST - GRU IT","OH","Other Hispanic or Latino","M","Male","2012-07-16T00:00:00.000","Puerto Rico",,"00987",
"010-04217","GRU",,,"Temporary Engineering Intern - Strategic Planning","WNH","White Alone Non-Hispanic","F","Female","2012-07-08T00:00:00.000","Florida",,"32691",
"010-04229","GRU",,,"Information Technology Infrastructure Designer & Administrator, Sr.","OH","Other Hispanic or Latino","M","Male","2012-07-02T00:00:00.000","Puerto Rico",,"00987",
"010-03788","GRU",,,"TEMPORARY ENGINEERING INTERN","WH","White Alone Hispanic","M","Male","2012-06-25T00:00:00.000","Puerto Rico",,"00953",
"010-04194","GRU",,,"ENGINEER IV/UTILITY DESIGNER IV","WH","White Alone Hispanic","M","Male","2012-06-24T00:00:00.000","Puerto Rico",,"00953",
"010-04212","GRU",,,"Staff Assistant - Water/Wastewater","WH","White Alone Hispanic","F","Female","2012-06-18T00:00:00.000","Puerto Rico",,"00956",
"010-04183","GRU",,,"PRODUCTION ASSURANCE SUPPORT DIRECTOR","WNH","White Alone Non-Hispanic","M","Male","2012-05-25T00:00:00.000","Florida",,"32165-6749",
"010-04074","GRU",,,"Electric Measurement Technician - Energy Delivery","OH","Other Hispanic or Latino","M","Male","2012-04-26T00:00:00.000","Puerto Rico",,"00784",
"4143","GG",,,"TRANSIT PLANNER","WNH","White Alone Non-Hispanic","M","Male","2012-04-11T00:00:00.000","International",,"2661 RB",
"4143","GG",,,"TRANSIT PLANNER","ANH","Asian Alone Non-Hispanic","M","Male","2012-04-08T00:00:00.000","International",,"161002",
"010-04120","GRU",,,"POWER PLANT LABORATORY TECHNICIAN - Deerhaven","UNK","Unknown","M","Male","2012-04-02T00:00:00.000","U.S. Virgin Islands",,"00840",
"4105","GG",,,"Transit Operator Trainee","BNH","Black Alone Non-Hispanic","M","Male","2012-04-02T00:00:00.000","Florida",,"320641",
"4103","GG",,,"Temporary Rec Counselor - Summer Camp","WNH","White Alone Non-Hispanic","M","Male","2012-04-01T00:00:00.000","International",,,
"4123","GG",,,"Mosquito Control/Stormwater Services Technician","OH","Other Hispanic or Latino","M","Male","2012-03-28T00:00:00.000","Puerto Rico",,"00740",
"010-04092","GRU",,,"Production Technician - Kelly Plant","BNH","Black Alone Non-Hispanic","M","Male","2012-03-22T00:00:00.000","U.S. Virgin Islands",,"00851",
"4079","GG",,,"Operations Supervisor - Public Works","WNH","White Alone Non-Hispanic","M","Male","2012-03-02T00:00:00.000","Florida",,"34776",
